Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dan Mailer,Irene Mathyssen,David McLaughlin,Glen Douglas Pearson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"London--Fanshawe/London--Fanshawe"," 26","London",40,95,15,57,0,207,402
"London--Fanshawe/London--Fanshawe"," 27A","London",43,110,10,64,2,229,378
"London--Fanshawe/London--Fanshawe"," 27B","London",29,77,23,70,0,199,228
"London--Fanshawe/London--Fanshawe"," 28","London",41,133,22,78,0,274,574
"London--Fanshawe/London--Fanshawe"," 29","London",66,57,23,77,0,223,498
"London--Fanshawe/London--Fanshawe"," 30A","London",27,46,4,56,3,136,208
"London--Fanshawe/London--Fanshawe"," 30B","Mobile poll/Bureau itinérant",20,16,5,29,3,73,80
"London--Fanshawe/London--Fanshawe"," 31","London",48,86,6,68,0,208,334
"London--Fanshawe/London--Fanshawe"," 32","London",56,107,9,63,1,236,394
"London--Fanshawe/London--Fanshawe"," 33","London",60,84,5,72,6,227,394
"London--Fanshawe/London--Fanshawe"," 34","London",17,62,2,43,1,125,352
"London--Fanshawe/London--Fanshawe"," 35","London",55,70,8,43,0,176,323
"London--Fanshawe/London--Fanshawe"," 36","London",31,99,10,49,0,189,330
"London--Fanshawe/London--Fanshawe"," 37","London",50,88,9,87,1,235,326
"London--Fanshawe/London--Fanshawe"," 38","London",41,56,14,54,2,167,339
"London--Fanshawe/London--Fanshawe"," 39","London",53,109,7,46,0,215,410
"London--Fanshawe/London--Fanshawe"," 40","London",26,91,2,50,0,169,327
"London--Fanshawe/London--Fanshawe"," 41","London",59,85,8,72,0,224,404
"London--Fanshawe/London--Fanshawe"," 42","London",43,46,6,34,0,129,281
"London--Fanshawe/London--Fanshawe"," 43","London",60,65,12,69,0,206,421
"London--Fanshawe/London--Fanshawe"," 44","London",52,88,2,64,0,206,372
"London--Fanshawe/London--Fanshawe"," 45","London",64,70,8,65,0,207,400
"London--Fanshawe/London--Fanshawe"," 46","London",40,85,9,59,0,193,368
"London--Fanshawe/London--Fanshawe"," 47","London",53,85,7,82,0,227,406
"London--Fanshawe/London--Fanshawe"," 48","London",32,77,19,37,0,165,411
"London--Fanshawe/London--Fanshawe"," 49","London",100,149,8,67,1,325,603
"London--Fanshawe/London--Fanshawe"," 50","London",37,76,13,52,2,180,320
"London--Fanshawe/London--Fanshawe"," 51","London",45,105,10,65,1,226,401
"London--Fanshawe/London--Fanshawe"," 52","London",67,81,9,49,1,207,428
"London--Fanshawe/London--Fanshawe"," 53","London",50,110,8,71,0,239,425
"London--Fanshawe/London--Fanshawe"," 54","London",67,96,12,56,3,234,450
"London--Fanshawe/London--Fanshawe"," 55","London",81,139,12,86,0,318,579
"London--Fanshawe/London--Fanshawe"," 56","London",66,124,7,73,0,270,531
"London--Fanshawe/London--Fanshawe"," 57","London",34,45,8,48,0,135,226
"London--Fanshawe/London--Fanshawe"," 58","London",68,74,10,34,0,186,329
"London--Fanshawe/London--Fanshawe"," 59","London",43,67,8,73,0,191,368
"London--Fanshawe/London--Fanshawe"," 60","London",61,100,9,47,3,220,423
"London--Fanshawe/London--Fanshawe"," 61","London",39,70,9,55,0,173,353
"London--Fanshawe/London--Fanshawe"," 62","London",41,80,5,71,0,197,401
"London--Fanshawe/London--Fanshawe"," 63","London",77,99,10,63,3,252,372
"London--Fanshawe/London--Fanshawe"," 64","London",19,31,2,16,0,68,141
"London--Fanshawe/London--Fanshawe"," 65A","London",41,84,4,45,1,175,396
"London--Fanshawe/London--Fanshawe"," 65B","London",27,74,6,35,0,142,316
"London--Fanshawe/London--Fanshawe"," 66","London",57,105,10,66,2,240,443
"London--Fanshawe/London--Fanshawe"," 67","London",52,113,10,35,2,212,482
"London--Fanshawe/London--Fanshawe"," 68","London",53,114,12,87,2,268,533
"London--Fanshawe/London--Fanshawe"," 69","London",25,35,10,27,0,97,154
"London--Fanshawe/London--Fanshawe"," 70","London",61,78,10,62,2,213,326
"London--Fanshawe/London--Fanshawe"," 71","London",93,120,10,76,1,300,562
"London--Fanshawe/London--Fanshawe"," 72","London",61,65,7,41,1,175,328
"London--Fanshawe/London--Fanshawe"," 73","London",92,118,9,101,1,321,583
"London--Fanshawe/London--Fanshawe"," 74","London",90,132,13,71,0,306,609
"London--Fanshawe/London--Fanshawe"," 75","London",60,81,9,78,6,234,487
"London--Fanshawe/London--Fanshawe"," 76","London",42,13,2,35,0,92,152
"London--Fanshawe/London--Fanshawe"," 77","London",62,42,3,41,2,150,313
"London--Fanshawe/London--Fanshawe"," 78","London",71,53,7,48,0,179,340
"London--Fanshawe/London--Fanshawe"," 79","London",16,41,3,35,0,95,175
"London--Fanshawe/London--Fanshawe"," 80","London",96,97,15,96,1,305,482
"London--Fanshawe/London--Fanshawe"," 81","London",67,109,13,114,0,303,548
"London--Fanshawe/London--Fanshawe"," 82","London",66,95,13,80,0,254,411
"London--Fanshawe/London--Fanshawe"," 83","London",67,94,11,74,1,247,395
"London--Fanshawe/London--Fanshawe"," 84","London",48,110,9,78,1,246,392
"London--Fanshawe/London--Fanshawe"," 85","London",53,107,5,62,0,227,375
"London--Fanshawe/London--Fanshawe"," 86","London",72,95,9,80,0,256,392
"London--Fanshawe/London--Fanshawe"," 87","London",59,71,3,95,0,228,383
"London--Fanshawe/London--Fanshawe"," 88","London",69,106,6,47,0,228,405
"London--Fanshawe/London--Fanshawe"," 89","London",74,99,9,66,1,249,515
"London--Fanshawe/London--Fanshawe"," 90","London",123,111,10,146,0,390,603
"London--Fanshawe/London--Fanshawe"," 91","London",93,57,8,88,1,247,389
"London--Fanshawe/London--Fanshawe"," 92A","London",113,80,16,159,2,370,573
"London--Fanshawe/London--Fanshawe"," 92B","London",108,103,20,117,2,350,551
"London--Fanshawe/London--Fanshawe"," 93","London",49,43,6,49,2,149,309
"London--Fanshawe/London--Fanshawe"," 94","London",95,92,14,71,1,273,560
"London--Fanshawe/London--Fanshawe"," 95","London",63,67,1,80,2,213,377
"London--Fanshawe/London--Fanshawe"," 96A","London",31,39,4,41,1,116,247
"London--Fanshawe/London--Fanshawe"," 96B","London",49,46,5,76,1,177,268
"London--Fanshawe/London--Fanshawe"," 97","London",11,30,3,32,1,77,200
"London--Fanshawe/London--Fanshawe"," 98","London",78,74,12,76,0,240,431
"London--Fanshawe/London--Fanshawe"," 99","London",63,51,8,75,2,199,329
"London--Fanshawe/London--Fanshawe"," 100","London",71,48,5,82,2,208,348
"London--Fanshawe/London--Fanshawe"," 101","London",43,72,9,56,0,180,349
"London--Fanshawe/London--Fanshawe"," 102","London",65,61,10,79,2,217,406
"London--Fanshawe/London--Fanshawe"," 103","London",42,63,4,50,0,159,405
"London--Fanshawe/London--Fanshawe"," 104","London",49,57,8,45,2,161,305
"London--Fanshawe/London--Fanshawe"," 105","London",73,112,8,61,0,254,524
"London--Fanshawe/London--Fanshawe"," 106","London",39,80,17,74,0,210,361
"London--Fanshawe/London--Fanshawe"," 107","London",40,67,9,49,0,165,369
"London--Fanshawe/London--Fanshawe"," 108","London",40,62,4,51,4,161,363
"London--Fanshawe/London--Fanshawe"," 109","London",61,71,8,82,0,222,356
"London--Fanshawe/London--Fanshawe"," 110","London",58,53,5,58,0,174,317
"London--Fanshawe/London--Fanshawe"," 111","London",72,61,9,74,3,219,467
"London--Fanshawe/London--Fanshawe"," 112","London",72,115,8,85,1,281,558
"London--Fanshawe/London--Fanshawe"," 113","London",66,73,5,61,1,206,417
"London--Fanshawe/London--Fanshawe"," 114","London",60,88,0,85,1,234,359
"London--Fanshawe/London--Fanshawe"," 115","London",44,58,14,38,0,154,263
"London--Fanshawe/London--Fanshawe"," 116","London",80,71,10,88,1,250,410
"London--Fanshawe/London--Fanshawe"," 117","London",59,70,6,63,0,198,363
"London--Fanshawe/London--Fanshawe"," 118","London",64,62,4,44,0,174,248
"London--Fanshawe/London--Fanshawe"," 119","London",81,59,8,79,1,228,369
"London--Fanshawe/London--Fanshawe"," 120","London",58,56,2,72,0,188,301
"London--Fanshawe/London--Fanshawe"," 121","London",86,82,13,104,0,285,484
"London--Fanshawe/London--Fanshawe"," 122","London",60,73,6,81,5,225,412
"London--Fanshawe/London--Fanshawe"," 123","London",44,67,4,70,0,185,390
"London--Fanshawe/London--Fanshawe"," 124","London",58,49,7,82,0,196,412
"London--Fanshawe/London--Fanshawe"," 125","London",67,63,11,76,0,217,355
"London--Fanshawe/London--Fanshawe"," 126","London",60,80,8,79,2,229,372
"London--Fanshawe/London--Fanshawe"," 127","London",28,31,5,45,1,110,195
"London--Fanshawe/London--Fanshawe"," 128","London",95,131,12,98,0,336,614
"London--Fanshawe/London--Fanshawe"," 129","London",56,59,4,72,1,192,363
"London--Fanshawe/London--Fanshawe"," 130","London",92,93,11,89,0,285,453
"London--Fanshawe/London--Fanshawe"," 131","London",50,63,5,44,0,162,285
"London--Fanshawe/London--Fanshawe"," 132","London",80,99,3,95,2,279,444
"London--Fanshawe/London--Fanshawe"," 133","London",71,72,8,92,5,248,421
"London--Fanshawe/London--Fanshawe"," 134","London",72,102,13,85,0,272,457
"London--Fanshawe/London--Fanshawe"," 135","London",42,70,6,72,0,190,293
"London--Fanshawe/London--Fanshawe"," 136","London",84,84,12,84,0,264,443
"London--Fanshawe/London--Fanshawe"," 137","London",75,70,3,79,0,227,347
"London--Fanshawe/London--Fanshawe"," 138","London",64,60,11,63,1,199,296
"London--Fanshawe/London--Fanshawe"," 139","London",89,95,16,109,1,310,432
"London--Fanshawe/London--Fanshawe"," 140","London",41,87,4,57,3,192,307
"London--Fanshawe/London--Fanshawe"," 141","London",68,108,7,76,1,260,513
"London--Fanshawe/London--Fanshawe"," 142","London",20,20,2,25,0,67,238
"London--Fanshawe/London--Fanshawe"," 143A","London",49,79,9,88,1,226,393
"London--Fanshawe/London--Fanshawe"," 143B","London",42,26,7,48,1,124,263
"London--Fanshawe/London--Fanshawe"," 143C","Mobile poll/Bureau itinérant",Merged with No. 30B/Fusionné avec le nº 30B,,,,,,1
"London--Fanshawe/London--Fanshawe"," 144","London",100,64,3,86,0,253,386
"London--Fanshawe/London--Fanshawe"," 145","London",99,62,3,140,0,304,436
"London--Fanshawe/London--Fanshawe"," 146","London",81,43,6,100,1,231,414
"London--Fanshawe/London--Fanshawe"," 147","London",74,84,12,90,2,262,546
"London--Fanshawe/London--Fanshawe"," 148","London",44,53,5,62,0,164,324
"London--Fanshawe/London--Fanshawe"," 149","London",76,72,9,116,0,273,448
"London--Fanshawe/London--Fanshawe"," 150","London",77,63,9,82,1,232,392
"London--Fanshawe/London--Fanshawe"," 151","London",50,81,9,60,2,202,297
"London--Fanshawe/London--Fanshawe"," 152","London",60,47,6,83,0,196,338
"London--Fanshawe/London--Fanshawe"," 153","London",76,68,9,98,3,254,393
"London--Fanshawe/London--Fanshawe"," 154","London",64,73,5,56,0,198,393
"London--Fanshawe/London--Fanshawe"," 155","London",84,104,15,93,1,297,536
"London--Fanshawe/London--Fanshawe"," 156","London",94,93,13,155,2,357,651
"London--Fanshawe/London--Fanshawe"," 157","London",Void/Supprimé,,,,,,
"London--Fanshawe/London--Fanshawe"," 158","London",72,92,18,111,2,295,521
"London--Fanshawe/London--Fanshawe"," 159","London",80,61,9,87,1,238,399
"London--Fanshawe/London--Fanshawe"," 160","London",79,115,22,94,1,311,461
"London--Fanshawe/London--Fanshawe"," 161","London",40,84,11,79,1,215,395
"London--Fanshawe/London--Fanshawe"," 162","London",39,44,7,58,1,149,356
"London--Fanshawe/London--Fanshawe"," 163","London",80,95,6,115,2,298,488
"London--Fanshawe/London--Fanshawe"," 164","London",121,75,7,160,4,367,577
"London--Fanshawe/London--Fanshawe"," 165","London",48,51,8,63,2,172,305
"London--Fanshawe/London--Fanshawe"," 166","London",56,58,6,112,1,233,467
"London--Fanshawe/London--Fanshawe"," 167","London",44,44,10,86,0,184,333
"London--Fanshawe/London--Fanshawe"," 168","London",60,80,5,99,1,245,411
"London--Fanshawe/London--Fanshawe"," 169","London",62,85,10,85,0,242,454
"London--Fanshawe/London--Fanshawe"," 170","London",34,39,8,45,1,127,232
"London--Fanshawe/London--Fanshawe"," 171","London",36,35,3,42,1,117,242
"London--Fanshawe/London--Fanshawe"," 172","London",83,92,10,73,0,258,558
"London--Fanshawe/London--Fanshawe"," 173","London",49,83,10,89,1,232,430
"London--Fanshawe/London--Fanshawe"," 174","London",92,84,9,90,3,278,475
"London--Fanshawe/London--Fanshawe"," 175","London",56,91,8,84,0,239,423
"London--Fanshawe/London--Fanshawe"," 176","London",28,51,5,36,3,123,313
"London--Fanshawe/London--Fanshawe"," 177","London",81,96,12,108,3,300,622
"London--Fanshawe/London--Fanshawe"," 178","London",58,84,10,92,0,244,479
"London--Fanshawe/London--Fanshawe"," 179","London",82,91,8,113,1,295,489
"London--Fanshawe/London--Fanshawe"," 180","London",41,68,3,42,1,155,381
"London--Fanshawe/London--Fanshawe"," 181","London",26,45,9,31,2,113,347
"London--Fanshawe/London--Fanshawe"," 182","London",93,66,8,185,1,353,555
"London--Fanshawe/London--Fanshawe"," 183","London",59,64,5,35,1,164,324
"London--Fanshawe/London--Fanshawe"," 184","London",71,94,6,94,4,269,498
"London--Fanshawe/London--Fanshawe"," 185A","London",41,64,9,64,1,179,354
"London--Fanshawe/London--Fanshawe"," 185B","London",40,44,8,56,1,149,302
"London--Fanshawe/London--Fanshawe"," 600","London",205,169,19,147,6,546,
"London--Fanshawe/London--Fanshawe"," 601","London",81,70,5,60,0,216,
"London--Fanshawe/London--Fanshawe"," 602","London",163,133,17,117,3,433,
"London--Fanshawe/London--Fanshawe"," 603","London",236,218,21,185,0,660,
"London--Fanshawe/London--Fanshawe"," 604","London",213,163,12,118,2,508,
"London--Fanshawe/London--Fanshawe"," 605","London",119,80,12,84,2,297,
"London--Fanshawe/London--Fanshawe"," 606","London",144,84,15,126,1,370,
"London--Fanshawe/London--Fanshawe"," 607","London",176,90,12,135,0,413,
"London--Fanshawe/London--Fanshawe"," 608","London",288,151,24,237,0,700,
"London--Fanshawe/London--Fanshawe"," 609","London",239,149,26,205,4,623,
"London--Fanshawe/London--Fanshawe",,Group 1/Groupe 1,45,20,4,41,2,112,259
"London--Fanshawe/London--Fanshawe",,Group 2/Groupe 2,291,214,19,274,7,805,
