Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ishrat Alam,Fernand Deschamps,Stéphane Dion,Liz Elder,William Fayad,Gilles Mercier,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 26","Montréal",30,1,170,19,31,2,7,260,612
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 27","Montréal",24,1,103,4,18,4,6,160,362
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 28","Montréal",32,1,258,30,33,9,5,368,620
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 29","Montréal",35,4,178,15,10,5,6,253,545
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 30","Saint-Laurent",20,0,130,16,28,11,1,206,446
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 31","Saint-Laurent",20,1,110,18,16,5,1,171,389
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 32","Saint-Laurent",32,0,131,19,25,9,3,219,422
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 33","Saint-Laurent",19,2,102,6,18,10,1,158,321
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 34","Saint-Laurent",37,1,114,24,14,11,0,201,417
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 35","Saint-Laurent",24,3,146,43,74,17,0,307,468
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 36","Saint-Laurent",18,0,148,18,36,10,2,232,457
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 37","Saint-Laurent",31,0,143,27,53,13,6,273,459
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 38","Saint-Laurent",27,2,158,23,31,11,1,253,498
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 39","Saint-Laurent",34,0,129,20,35,6,1,225,553
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 40","Saint-Laurent",24,2,97,33,47,23,3,229,333
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 41","Saint-Laurent",13,2,97,37,66,20,2,237,397
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 42","Saint-Laurent",23,1,108,18,32,11,0,193,387
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 43","Saint-Laurent",24,2,135,30,50,12,6,259,431
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 44","Saint-Laurent",33,0,117,21,52,8,0,231,507
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 45","Saint-Laurent",29,3,116,15,27,4,2,196,481
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 46","Saint-Laurent",52,5,207,18,17,12,4,315,608
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 47","Saint-Laurent",36,0,163,25,19,7,2,252,501
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 48","Saint-Laurent",41,4,195,25,20,12,1,298,698
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 49","Saint-Laurent",24,1,77,17,18,0,0,137,303
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 50","Saint-Laurent",23,0,84,11,14,8,1,141,343
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 51","Saint-Laurent",10,0,113,10,27,5,2,167,396
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 52","Saint-Laurent",40,4,146,23,26,14,2,255,521
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 53","Saint-Laurent",17,2,155,6,20,7,1,208,415
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 54","Saint-Laurent",Merged with No. 55/Fusionné avec le nº 55,,,,,,,,199
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 55","Saint-Laurent",37,1,126,15,40,13,1,233,290
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 56","Saint-Laurent",21,1,99,13,14,3,1,152,412
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 57","Saint-Laurent",10,0,94,12,19,0,2,137,372
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 58","Saint-Laurent",35,0,113,12,34,10,1,205,457
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 59","Saint-Laurent",23,0,108,13,28,22,1,195,315
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 60","Saint-Laurent",35,2,156,22,28,8,2,253,440
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 61","Saint-Laurent",39,0,196,32,13,8,6,294,543
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 62","Saint-Laurent",23,2,158,27,41,17,2,270,472
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 63","Saint-Laurent",25,1,130,19,32,10,2,219,409
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 64","Saint-Laurent",41,0,149,16,46,9,2,263,560
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 65","Saint-Laurent",33,0,132,7,25,4,0,201,358
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 66","Saint-Laurent",26,1,138,15,37,10,3,230,353
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 67","Saint-Laurent",25,0,139,11,21,3,2,201,420
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 68","Saint-Laurent",28,0,116,21,45,8,4,222,462
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 69","Saint-Laurent",26,1,160,27,23,8,5,250,478
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 70","Saint-Laurent",23,0,133,31,41,8,3,239,413
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 71","Saint-Laurent",18,1,97,16,35,14,2,183,348
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 72","Saint-Laurent",37,0,110,12,34,10,2,205,506
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 73A","Saint-Laurent",14,0,86,18,36,9,2,165,327
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 73B","Mobile poll/Bureau itinérant",Merged with No. 501A/Fusionné avec le nº 501A,,,,,,,,144
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 74","Saint-Laurent",24,0,127,20,70,9,0,250,529
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 75","Saint-Laurent",25,0,131,16,35,4,2,213,525
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 76","Saint-Laurent",18,2,97,7,29,4,0,157,472
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 77","Saint-Laurent",22,1,72,11,42,5,3,156,463
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 78","Saint-Laurent",8,0,42,7,10,1,2,70,246
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 79","Saint-Laurent",23,0,103,15,31,10,4,186,519
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 80","Saint-Laurent",23,3,139,7,19,2,2,195,447
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 81","Saint-Laurent",17,3,119,14,19,5,0,177,586
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 82","Saint-Laurent",12,2,136,12,27,7,4,200,387
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 83","Saint-Laurent",21,2,144,17,28,3,3,218,451
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 84","Saint-Laurent",37,0,162,20,21,9,2,251,462
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 85","Saint-Laurent",27,0,146,7,19,1,3,203,351
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 86","Saint-Laurent",28,0,120,11,20,6,3,188,592
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 87","Saint-Laurent",14,1,61,7,8,2,1,94,298
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 88","Saint-Laurent",35,1,112,13,25,1,2,189,407
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 89","Saint-Laurent",45,1,190,26,40,8,4,314,944
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 90","Saint-Laurent",Merged with No. 89/Fusionné avec le nº 89,,,,,,,,9
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 91","Saint-Laurent",29,2,108,24,23,10,0,196,358
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 92","Saint-Laurent",27,2,136,18,11,7,2,203,453
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 93","Saint-Laurent",42,0,128,25,34,16,1,246,402
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 94","Saint-Laurent",27,1,71,30,62,10,0,201,445
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 95","Saint-Laurent",24,1,92,40,122,23,7,309,539
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 96","Saint-Laurent",Merged with No. 95/Fusionné avec le nº 95,,,,,,,,94
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 97","Saint-Laurent",29,2,73,20,91,10,1,226,432
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 98","Saint-Laurent",45,2,184,33,88,21,3,376,716
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 99","Saint-Laurent",11,2,102,25,31,12,1,184,405
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 100","Saint-Laurent",23,1,99,22,51,18,1,215,352
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 101","Saint-Laurent",30,2,119,36,70,25,3,285,444
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 102","Saint-Laurent",51,1,101,39,114,50,5,361,540
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 103","Saint-Laurent",30,1,133,20,51,13,1,249,486
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 104A","Saint-Laurent",120,0,305,78,70,29,0,602,1078
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 104B","Saint-Laurent",54,2,152,7,43,8,3,269,325
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 105A","Saint-Laurent",57,0,128,30,56,12,3,286,520
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 105B","Saint-Laurent",56,0,130,25,44,16,3,274,508
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 106","Saint-Laurent",52,1,179,35,68,21,1,357,650
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 107","Saint-Laurent",18,0,120,9,17,2,1,167,481
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 108","Saint-Laurent",26,1,128,20,12,4,2,193,543
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 109","Saint-Laurent",35,2,245,27,24,9,8,350,687
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 110","Saint-Laurent",59,0,188,37,80,25,0,389,708
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 111","Saint-Laurent",15,1,67,16,5,0,1,105,282
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 112","Saint-Laurent",33,1,114,8,6,1,3,166,370
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 113","Saint-Laurent",22,0,107,13,5,2,1,150,384
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 114","Saint-Laurent",19,0,107,7,24,17,2,176,275
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 115","Saint-Laurent",23,0,147,19,12,14,0,215,458
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 116","Saint-Laurent",24,1,92,27,44,24,0,212,357
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 117","Saint-Laurent",23,1,151,9,12,10,3,209,407
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 118","Saint-Laurent",23,0,151,7,9,10,2,202,432
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 119","Saint-Laurent",13,1,124,20,22,13,0,193,342
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 120","Saint-Laurent",27,0,134,9,9,13,2,194,393
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 121","Saint-Laurent",22,0,100,16,11,2,0,151,440
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 122","Saint-Laurent",26,1,111,12,12,12,1,175,396
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 123","Saint-Laurent",19,0,96,10,8,3,2,138,309
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 124","Saint-Laurent",26,0,102,9,4,6,1,148,389
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 125","Saint-Laurent",32,0,129,15,11,4,2,193,440
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 126","Saint-Laurent",12,1,132,12,11,5,1,174,420
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 127","Saint-Laurent",21,0,185,13,0,6,0,225,423
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 128","Saint-Laurent",22,0,187,11,2,8,0,230,415
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 129","Saint-Laurent",31,0,132,15,5,8,1,192,363
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 130","Saint-Laurent",30,2,141,2,1,1,0,177,368
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 131","Saint-Laurent",22,1,124,17,5,9,1,179,412
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 132","Saint-Laurent",13,0,92,2,8,2,3,120,398
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 133","Saint-Laurent",30,0,89,14,12,2,0,147,411
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 134","Saint-Laurent",35,1,120,8,10,4,0,178,522
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 135","Saint-Laurent",20,0,91,15,9,3,0,138,371
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 136","Saint-Laurent",17,1,118,7,5,3,1,152,375
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 137","Saint-Laurent",38,1,148,22,11,3,0,223,408
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 138","Saint-Laurent",11,1,77,7,3,1,0,100,286
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 139","Saint-Laurent",46,1,138,21,14,9,1,230,635
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 140","Saint-Laurent",25,0,123,15,18,4,2,187,288
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 141","Saint-Laurent",Merged with No. 140/Fusionné avec le nº 140,,,,,,,,243
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 142","Saint-Laurent",26,1,184,17,6,8,1,243,550
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 143","Saint-Laurent",31,1,186,16,4,7,0,245,538
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 144","Saint-Laurent",30,0,127,10,7,7,5,186,473
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 145","Saint-Laurent",36,0,232,17,2,7,1,295,573
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 146","Montréal",58,0,133,24,91,14,0,320,623
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 147","Montréal",21,1,113,12,40,7,2,196,450
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 148","Saint-Laurent",26,0,63,23,48,8,1,169,353
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 149","Saint-Laurent",22,2,122,12,20,11,1,190,390
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 150","Montréal",44,1,149,12,22,8,0,236,491
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 151","Saint-Laurent",22,4,158,16,18,11,1,230,451
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 152","Saint-Laurent",17,0,130,13,14,9,1,184,368
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 153","Saint-Laurent",25,1,178,17,11,7,3,242,512
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 154","Saint-Laurent",18,1,151,16,19,7,1,213,412
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 155","Saint-Laurent",32,2,163,21,17,6,2,243,427
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 156","Montréal",22,1,146,13,10,7,3,202,344
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 157","Montréal",42,4,181,21,33,18,0,299,494
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 158","Montréal",29,1,159,14,27,12,2,244,392
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 159","Montréal",30,2,159,27,38,13,1,270,428
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 160","Saint-Laurent",25,0,130,22,54,21,0,252,387
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 161","Saint-Laurent",32,0,181,13,32,10,2,270,438
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 162","Saint-Laurent",39,1,163,16,42,10,4,275,428
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 163","Montréal",61,0,162,20,32,11,2,288,519
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 164","Montréal",53,4,155,18,45,15,3,293,354
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 165","Montréal",28,0,137,24,74,16,3,282,447
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 166","Saint-Laurent",27,1,127,24,39,15,0,233,491
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 167","Saint-Laurent",27,0,100,12,63,14,11,227,475
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 168","Saint-Laurent",19,0,100,7,15,1,2,144,318
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 169","Saint-Laurent",40,0,217,29,33,17,3,339,602
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 170","Saint-Laurent",47,2,165,8,22,6,1,251,523
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 171A","Saint-Laurent",33,2,107,12,22,3,0,179,417
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 171B","Saint-Laurent",34,1,126,16,19,11,0,207,462
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 400","Saint-Laurent",28,1,163,7,14,10,1,224,357
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 401","Saint-Laurent",30,0,152,15,27,5,0,229,346
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 402","Saint-Laurent",26,1,113,13,36,7,1,197,293
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 403","Saint-Laurent",30,3,167,15,19,4,0,238,391
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 500","Mobile poll/Bureau itinérant",18,2,141,4,8,0,9,182,247
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 501A","Mobile poll/Bureau itinérant",11,1,41,1,9,1,2,66,62
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 501B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,,73
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 600","Montréal",38,2,147,23,61,8,0,279,
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 601","Montréal",60,3,219,26,57,15,2,382,
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 602","Montréal",117,2,403,31,93,16,8,670,
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 603","Montréal",34,1,146,8,24,3,3,219,
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 604","Montréal",103,0,331,40,92,21,1,588,
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 605","Montréal",49,1,285,23,20,5,1,384,
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 606","Montréal",64,0,309,22,59,15,3,472,
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville",,Group 1/Groupe 1,7,0,41,4,18,5,6,81,129
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville",,Group 2/Groupe 2,96,1,851,45,158,25,21,1197,
