Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Marie Martine Bédard,Francis Chartrand,Robert Frégeau,Érick Gauthier,Gilles-A. Perron,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 28A","Boisbriand",2,1,15,26,15,1,60,323
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 28B","Boisbriand",0,3,13,21,8,0,45,303
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 29","Boisbriand",10,17,29,43,137,8,244,443
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 30","Boisbriand",12,21,27,51,163,5,279,416
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 31","Boisbriand",19,28,52,83,183,6,371,572
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 32","Boisbriand",13,18,25,42,124,3,225,320
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 33","Boisbriand",16,33,14,41,136,4,244,406
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 34","Boisbriand",14,18,28,49,192,1,302,502
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 35","Boisbriand",18,11,39,58,165,6,297,431
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 36","Boisbriand",16,23,36,34,141,5,255,433
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 37","Boisbriand",9,21,20,43,161,0,254,398
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 38","Boisbriand",12,8,24,32,100,5,181,305
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 39","Boisbriand",21,24,41,72,204,5,367,575
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 40","Boisbriand",23,36,38,70,152,0,319,473
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 41","Boisbriand",17,23,19,69,182,2,312,472
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 42","Boisbriand",12,18,28,50,142,5,255,461
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 43","Boisbriand",11,13,25,30,125,2,206,381
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 44","Saint-Eustache",19,4,20,67,123,2,235,421
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 45","Saint-Eustache",11,6,18,48,87,2,172,316
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 46A","Saint-Eustache",10,19,24,70,144,5,272,486
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 46B","Saint-Eustache",11,21,22,46,140,9,249,447
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 47","Saint-Eustache",21,23,25,81,233,9,392,544
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 48","Saint-Eustache",10,25,30,67,197,6,335,472
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 49","Saint-Eustache",12,25,11,47,114,4,213,301
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 50","Saint-Eustache",21,24,21,75,203,13,357,519
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 51","Saint-Eustache",14,20,35,69,221,7,366,536
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 52","Saint-Eustache",21,25,21,66,212,2,347,487
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 53","Saint-Eustache",7,21,15,43,135,1,222,309
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 54A","Saint-Eustache",10,11,12,36,114,4,187,284
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 54B","Saint-Eustache",20,20,16,42,131,5,234,336
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 55A","Saint-Eustache",12,12,12,40,123,7,206,311
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 55B","Saint-Eustache",11,7,20,66,132,4,240,339
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 56","Saint-Eustache",15,15,20,64,192,6,312,478
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 57","Saint-Eustache",12,16,18,41,124,2,213,329
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 58","Saint-Eustache",13,19,11,43,153,7,246,338
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 59A","Saint-Eustache",8,11,12,24,121,5,181,296
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 59B","Saint-Eustache",11,9,13,40,131,2,206,326
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 60A","Saint-Eustache",13,15,21,49,130,3,231,380
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 60B","Saint-Eustache",9,11,20,41,106,3,190,340
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 61A","Saint-Eustache",12,14,19,46,120,5,216,435
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 61B","Saint-Eustache",6,12,19,74,133,4,248,485
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 62","Saint-Eustache",19,15,33,64,105,7,243,370
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 63","Saint-Eustache",5,12,45,81,96,2,241,445
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 64","Saint-Eustache",10,4,62,75,118,8,277,393
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 65","Saint-Eustache",10,19,25,85,136,9,284,542
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 66","Saint-Eustache",16,45,37,46,114,8,266,508
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 67","Saint-Eustache",7,19,30,31,124,8,219,517
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 68","Saint-Eustache",15,15,38,50,144,4,266,452
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 69","Saint-Eustache",9,24,31,69,133,2,268,399
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 70","Saint-Eustache",15,26,37,61,186,5,330,539
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 71","Saint-Eustache",11,15,27,56,108,5,222,384
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 72","Saint-Eustache",13,20,28,70,158,4,293,466
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 73","Saint-Eustache",14,11,11,35,156,3,230,382
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 74","Saint-Eustache",5,3,21,35,148,3,215,367
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 75","Saint-Eustache",13,23,37,87,150,13,323,553
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 76","Saint-Eustache",8,16,20,29,118,2,193,319
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 77","Saint-Eustache",15,31,27,65,164,6,308,432
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 78","Saint-Eustache",16,21,27,49,130,8,251,383
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 79","Saint-Eustache",13,14,31,47,133,8,246,438
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 80","Saint-Eustache",13,14,16,35,135,4,217,368
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 81","Saint-Eustache",17,15,30,56,147,9,274,402
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 82","Saint-Eustache",8,22,40,52,155,3,280,436
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 83","Saint-Eustache",7,16,30,52,161,2,268,407
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 84","Saint-Eustache",6,30,24,55,153,2,270,448
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 85","Saint-Eustache",8,23,32,58,136,8,265,482
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 86","Saint-Eustache",17,20,26,35,138,4,240,394
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 87","Saint-Eustache",15,14,25,51,173,1,279,394
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 88","Saint-Eustache",18,20,19,68,139,7,271,425
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 89","Saint-Eustache",24,13,44,55,186,1,323,427
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 90","Saint-Eustache",13,26,16,51,166,3,275,389
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 91","Saint-Eustache",14,20,28,45,173,4,284,440
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 92","Saint-Eustache",16,24,26,68,147,4,285,414
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 93","Saint-Eustache",22,23,30,59,160,5,299,456
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 94","Saint-Eustache",9,20,32,54,122,3,240,416
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 95","Saint-Eustache",19,15,31,54,154,9,282,396
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 96","Saint-Eustache",10,8,13,24,124,2,181,503
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 97","Saint-Eustache",9,14,22,33,162,9,249,459
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 98","Saint-Eustache",19,18,37,44,147,2,267,424
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 99","Saint-Eustache",10,17,31,63,194,4,319,474
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 100","Saint-Eustache",7,10,10,33,119,4,183,331
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 101","Saint-Eustache",11,16,32,58,92,4,213,318
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 102","Saint-Eustache",10,12,28,41,118,6,215,404
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 103","Saint-Eustache",13,17,38,83,124,4,279,399
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 104","Saint-Eustache",3,2,31,30,95,10,171,401
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 105","Saint-Eustache",10,11,28,33,93,7,182,368
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 106","Saint-Eustache",19,16,29,64,157,5,290,442
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 107","Saint-Eustache",16,11,41,54,105,7,234,442
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 108","Saint-Eustache",6,12,14,42,104,4,182,438
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 109","Saint-Eustache",11,21,21,65,98,2,218,422
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 110","Saint-Eustache",14,23,16,50,124,4,231,384
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 111","Saint-Eustache",9,19,23,45,135,5,236,495
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 112","Saint-Eustache",23,19,28,58,101,6,235,485
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 113","Saint-Eustache",11,14,37,49,102,3,216,485
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 114","Saint-Eustache",13,6,38,42,94,0,193,419
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 115","Saint-Eustache",17,14,31,41,128,3,234,441
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 116","Saint-Eustache",14,16,39,44,85,8,206,421
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 117","Deux-Montagnes",18,13,22,46,137,5,241,422
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 118","Deux-Montagnes",13,9,22,44,147,6,241,472
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 119","Deux-Montagnes",19,28,43,92,200,6,388,622
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 120","Deux-Montagnes",22,32,44,37,124,5,264,475
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 121","Deux-Montagnes",16,19,39,54,124,1,253,465
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 122","Deux-Montagnes",16,31,74,58,132,2,313,531
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 123","Deux-Montagnes",15,19,23,54,109,6,226,418
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 124","Deux-Montagnes",8,6,19,16,90,3,142,314
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 125","Deux-Montagnes",25,38,49,48,129,0,289,494
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 126","Deux-Montagnes",15,15,45,33,73,1,182,363
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 127","Deux-Montagnes",26,30,35,42,101,5,239,460
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 128","Deux-Montagnes",18,38,38,45,82,0,221,425
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 129","Deux-Montagnes",27,26,54,40,93,2,242,397
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 130","Deux-Montagnes",14,35,16,42,84,3,194,340
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 131","Deux-Montagnes",20,16,28,57,144,2,267,459
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 132","Deux-Montagnes",24,18,16,44,95,2,199,365
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 133","Deux-Montagnes",19,25,25,73,158,4,304,482
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 134","Deux-Montagnes",4,13,26,37,75,1,156,317
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 135","Deux-Montagnes",37,33,45,66,155,7,343,561
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 136","Deux-Montagnes",20,31,39,53,111,2,256,443
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 137","Deux-Montagnes",25,22,47,30,103,5,232,501
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 138","Deux-Montagnes",29,29,41,54,136,2,291,494
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 139","Deux-Montagnes",24,28,28,44,68,0,192,386
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 140","Deux-Montagnes",12,20,40,58,114,3,247,478
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 141","Deux-Montagnes",11,12,19,41,109,9,201,488
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 142A","Deux-Montagnes",14,8,16,36,65,3,142,285
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 142B","Deux-Montagnes",15,9,24,41,93,4,186,342
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 143","Deux-Montagnes",16,38,52,73,133,2,314,549
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 144","Deux-Montagnes",22,20,32,33,67,2,176,358
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 145","Deux-Montagnes",14,11,32,68,65,3,193,423
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 146","Sainte-Marthe-sur-le-Lac",20,19,48,90,201,3,381,607
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 147A","Sainte-Marthe-sur-le-Lac",18,25,26,60,144,4,277,418
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 147B","Sainte-Marthe-sur-le-Lac",18,20,16,61,143,3,261,422
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 148","Sainte-Marthe-sur-le-Lac",12,17,27,83,157,5,301,555
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 149","Sainte-Marthe-sur-le-Lac",19,19,32,40,129,1,240,410
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 150","Sainte-Marthe-sur-le-Lac",17,11,20,47,162,2,259,525
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 151","Sainte-Marthe-sur-le-Lac",9,26,22,52,171,5,285,495
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 152","Sainte-Marthe-sur-le-Lac",10,14,14,40,124,2,204,353
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 153","Sainte-Marthe-sur-le-Lac",13,13,9,29,87,3,154,298
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 154","Sainte-Marthe-sur-le-Lac",11,7,18,39,110,5,190,354
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 155","Sainte-Marthe-sur-le-Lac",20,15,31,44,174,6,290,493
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 156","Sainte-Marthe-sur-le-Lac",16,23,32,79,194,12,356,616
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 157","Sainte-Marthe-sur-le-Lac",14,14,21,46,151,8,254,443
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 158","Sainte-Marthe-sur-le-Lac",9,12,15,48,150,6,240,425
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 159","Sainte-Marthe-sur-le-Lac",18,14,23,47,186,4,292,531
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 160","Sainte-Marthe-sur-le-Lac",19,14,17,48,156,4,258,427
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 161","Sainte-Marthe-sur-le-Lac",17,8,25,54,140,1,245,501
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 162","Sainte-Marthe-sur-le-Lac",16,22,21,46,139,0,244,452
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 600","Boisbriand",24,28,116,113,226,6,513,
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 601","Boisbriand",28,36,113,177,390,8,752,
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 602","Saint-Eustache",24,35,141,226,411,9,846,
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 603","Saint-Eustache",26,36,107,150,319,6,644,
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 604","Saint-Eustache",21,27,113,149,273,19,602,
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 605","Deux-Montagnes",75,81,361,281,427,18,1243,
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 606","Sainte-Marthe-sur-le-Lac",23,29,102,152,339,9,654,
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles",,Group 1/Groupe 1,5,7,12,24,21,3,72,132
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles",,Group 2/Groupe 2,41,62,338,225,883,24,1573,
