Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Benoît Beauchamp,Nicole Demers,Alia Haddad,Philippe Mari,Emilio Migliozzi,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Laval/Laval"," 60","Laval",21,71,100,6,50,4,252,377
"Laval/Laval"," 61","Laval",18,76,61,2,40,0,197,347
"Laval/Laval"," 62","Laval",23,62,62,10,42,2,201,338
"Laval/Laval"," 63","Laval",22,95,54,3,36,5,215,362
"Laval/Laval"," 64","Laval",16,83,62,8,21,1,191,407
"Laval/Laval"," 65","Laval",19,77,76,3,33,5,213,484
"Laval/Laval"," 66","Laval",20,79,68,7,56,6,236,362
"Laval/Laval"," 67","Laval",31,98,67,10,47,3,256,413
"Laval/Laval"," 68","Laval",17,81,20,5,25,1,149,417
"Laval/Laval"," 69","Laval",9,128,19,6,35,3,200,356
"Laval/Laval"," 70","Laval",16,106,15,4,22,3,166,371
"Laval/Laval"," 71","Laval",24,106,49,6,43,3,231,404
"Laval/Laval"," 72","Laval",17,120,21,7,35,3,203,376
"Laval/Laval"," 73","Laval",16,99,26,4,25,5,175,354
"Laval/Laval"," 74","Laval",15,46,37,16,39,2,155,284
"Laval/Laval"," 75","Laval",16,106,33,9,38,3,205,392
"Laval/Laval"," 76","Laval",29,93,34,9,36,2,203,417
"Laval/Laval"," 77","Laval",23,142,42,10,47,4,268,473
"Laval/Laval"," 78","Laval",8,68,30,1,26,3,136,290
"Laval/Laval"," 79","Laval",24,182,46,12,52,4,320,596
"Laval/Laval"," 80","Laval",14,31,96,6,63,1,211,357
"Laval/Laval"," 81A","Laval",22,64,99,3,60,4,252,435
"Laval/Laval"," 81B","Laval",27,69,79,5,60,2,242,404
"Laval/Laval"," 82","Laval",40,148,117,10,89,7,411,773
"Laval/Laval"," 83","Laval",8,48,20,7,42,3,128,253
"Laval/Laval"," 84","Laval",16,96,53,6,29,3,203,477
"Laval/Laval"," 85","Laval",14,103,16,8,17,3,161,403
"Laval/Laval"," 86","Laval",16,106,78,5,53,3,261,499
"Laval/Laval"," 87","Laval",18,69,51,7,43,2,190,408
"Laval/Laval"," 88","Laval",8,81,14,1,37,3,144,329
"Laval/Laval"," 89","Laval",13,69,96,9,37,6,230,460
"Laval/Laval"," 90","Laval",14,60,81,8,27,3,193,384
"Laval/Laval"," 91A","Laval",8,28,11,0,22,1,70,116
"Laval/Laval"," 91B","Laval",Merged with No. 400/Fusionné avec le nº 400,,,,,,,246
"Laval/Laval"," 92","Laval",9,65,43,1,46,1,165,404
"Laval/Laval"," 93","Laval",23,49,84,7,40,3,206,410
"Laval/Laval"," 94","Laval",12,63,92,7,32,3,209,410
"Laval/Laval"," 95","Laval",14,78,80,6,39,3,220,376
"Laval/Laval"," 96","Laval",9,53,59,3,24,6,154,308
"Laval/Laval"," 97","Laval",12,61,68,6,34,4,185,402
"Laval/Laval"," 98","Laval",19,101,16,4,20,0,160,400
"Laval/Laval"," 99","Laval",8,58,63,3,37,3,172,380
"Laval/Laval"," 100","Laval",8,84,32,5,32,2,163,324
"Laval/Laval"," 101","Laval",17,88,54,11,39,4,213,398
"Laval/Laval"," 102","Laval",14,53,79,5,45,6,202,320
"Laval/Laval"," 103","Laval",26,68,76,5,37,6,218,370
"Laval/Laval"," 104","Laval",14,131,22,13,42,9,231,409
"Laval/Laval"," 105","Laval",3,111,20,5,25,8,172,311
"Laval/Laval"," 106","Laval",15,96,38,8,40,2,199,365
"Laval/Laval"," 107","Laval",9,95,26,10,22,6,168,348
"Laval/Laval"," 108","Laval",46,139,64,7,45,5,306,590
"Laval/Laval"," 109","Laval",14,55,25,6,36,2,138,296
"Laval/Laval"," 110","Laval",43,193,76,19,59,4,394,728
"Laval/Laval"," 111","Laval",28,77,74,12,54,5,250,377
"Laval/Laval"," 112","Laval",15,95,26,4,22,0,162,371
"Laval/Laval"," 113","Laval",14,85,68,10,34,2,213,411
"Laval/Laval"," 114","Laval",17,91,25,10,29,2,174,365
"Laval/Laval"," 115","Laval",12,105,15,7,22,3,164,333
"Laval/Laval"," 116","Laval",23,83,17,9,26,3,161,356
"Laval/Laval"," 117","Laval",12,107,41,10,41,4,215,391
"Laval/Laval"," 118","Laval",9,64,28,3,19,5,128,222
"Laval/Laval"," 119","Laval",20,108,58,14,36,4,240,432
"Laval/Laval"," 120","Laval",19,91,65,8,38,1,222,336
"Laval/Laval"," 121","Laval",18,78,83,12,42,5,238,357
"Laval/Laval"," 122","Laval",12,85,58,13,41,4,213,358
"Laval/Laval"," 123","Laval",15,91,49,11,44,3,213,336
"Laval/Laval"," 124","Laval",18,89,73,8,64,9,261,514
"Laval/Laval"," 125","Laval",6,82,43,4,30,0,165,372
"Laval/Laval"," 126","Laval",10,101,55,4,42,3,215,393
"Laval/Laval"," 127","Laval",11,83,45,8,22,5,174,381
"Laval/Laval"," 128","Laval",12,86,54,2,24,4,182,326
"Laval/Laval"," 129","Laval",17,89,70,7,37,3,223,390
"Laval/Laval"," 130","Laval",13,75,52,6,28,2,176,362
"Laval/Laval"," 131","Laval",17,100,23,6,22,3,171,461
"Laval/Laval"," 132","Laval",14,109,30,6,34,3,196,508
"Laval/Laval"," 133","Laval",13,97,57,6,19,2,194,389
"Laval/Laval"," 134","Laval",24,72,58,7,34,6,201,293
"Laval/Laval"," 135","Laval",7,54,26,8,13,3,111,240
"Laval/Laval"," 136","Laval",18,126,28,10,24,2,208,365
"Laval/Laval"," 137","Laval",25,109,31,8,34,6,213,438
"Laval/Laval"," 138","Laval",23,98,37,9,36,4,207,333
"Laval/Laval"," 139","Laval",12,106,23,8,13,3,165,312
"Laval/Laval"," 140","Laval",14,84,69,7,26,3,203,397
"Laval/Laval"," 141","Laval",12,95,67,10,36,7,227,345
"Laval/Laval"," 142","Laval",14,53,43,5,22,2,139,223
"Laval/Laval"," 143","Laval",22,89,46,11,23,3,194,429
"Laval/Laval"," 144","Laval",14,70,38,10,30,0,162,347
"Laval/Laval"," 145","Laval",31,132,81,8,51,5,308,530
"Laval/Laval"," 146","Laval",11,61,48,6,27,2,155,370
"Laval/Laval"," 147","Laval",10,92,43,0,27,2,174,458
"Laval/Laval"," 148","Laval",14,70,44,4,30,4,166,400
"Laval/Laval"," 149","Laval",22,97,29,8,34,0,190,312
"Laval/Laval"," 150","Laval",24,102,67,9,36,1,239,386
"Laval/Laval"," 151","Laval",13,65,27,4,32,3,144,296
"Laval/Laval"," 152","Laval",18,161,46,8,41,3,277,418
"Laval/Laval"," 153","Laval",18,132,28,9,35,5,227,408
"Laval/Laval"," 154","Laval",31,157,77,9,48,8,330,504
"Laval/Laval"," 155","Laval",17,154,17,19,34,7,248,445
"Laval/Laval"," 156","Laval",30,107,32,6,27,0,202,367
"Laval/Laval"," 157","Laval",19,123,28,12,22,2,206,362
"Laval/Laval"," 158","Laval",29,107,44,9,31,7,227,367
"Laval/Laval"," 159","Laval",18,73,70,3,45,11,220,328
"Laval/Laval"," 160","Laval",20,82,46,8,33,2,191,301
"Laval/Laval"," 161","Laval",17,78,36,8,45,1,185,322
"Laval/Laval"," 162","Laval",18,66,70,9,39,5,207,350
"Laval/Laval"," 163","Laval",23,141,72,10,58,4,308,433
"Laval/Laval"," 164","Laval",26,109,72,16,52,5,280,433
"Laval/Laval"," 165","Laval",19,105,80,17,58,1,280,458
"Laval/Laval"," 166","Laval",13,67,48,5,36,3,172,334
"Laval/Laval"," 167","Laval",16,81,42,8,35,1,183,369
"Laval/Laval"," 168","Laval",28,111,71,12,69,1,292,542
"Laval/Laval"," 169","Laval",25,62,78,8,33,1,207,339
"Laval/Laval"," 170","Laval",12,71,112,4,26,3,228,408
"Laval/Laval"," 171","Laval",20,42,79,7,34,3,185,340
"Laval/Laval"," 172","Laval",21,27,150,5,33,3,239,372
"Laval/Laval"," 173","Laval",16,76,87,15,54,6,254,529
"Laval/Laval"," 174","Laval",18,73,62,6,13,4,176,331
"Laval/Laval"," 175","Laval",14,32,75,2,17,3,143,282
"Laval/Laval"," 176","Laval",34,88,65,5,51,2,245,394
"Laval/Laval"," 177","Laval",14,77,81,5,84,4,265,533
"Laval/Laval"," 178","Laval",15,81,69,6,48,1,220,390
"Laval/Laval"," 179","Laval",9,63,71,3,22,2,170,339
"Laval/Laval"," 180","Laval",17,90,49,4,36,2,198,377
"Laval/Laval"," 181","Laval",9,145,39,14,34,3,244,442
"Laval/Laval"," 182","Laval",25,87,81,4,42,7,246,375
"Laval/Laval"," 183A","Laval",17,75,66,7,45,0,210,422
"Laval/Laval"," 183B","Mobile poll/Bureau itinérant",Merged with No. 500B/Fusionné avec le nº 500B,,,,,,,27
"Laval/Laval"," 184A","Laval",17,82,89,9,49,3,249,438
"Laval/Laval"," 184B","Laval",14,38,70,2,34,2,160,133
"Laval/Laval"," 184C","Laval",6,35,46,0,26,4,117,127
"Laval/Laval"," 185A","Laval",20,65,61,0,29,0,175,333
"Laval/Laval"," 185B","Laval",Merged with No. 184B/Fusionné avec le nº 184B,,,,,,,133
"Laval/Laval"," 186","Laval",17,92,69,10,23,2,213,435
"Laval/Laval"," 187","Laval",13,76,36,3,28,3,159,362
"Laval/Laval"," 188","Laval",11,59,45,5,17,4,141,335
"Laval/Laval"," 189","Laval",13,53,63,3,27,1,160,430
"Laval/Laval"," 190","Laval",11,64,52,7,24,3,161,392
"Laval/Laval"," 191","Laval",9,64,51,3,38,3,168,398
"Laval/Laval"," 192","Laval",23,50,48,3,21,1,146,350
"Laval/Laval"," 193","Laval",12,75,36,5,33,6,167,406
"Laval/Laval"," 194","Laval",13,51,84,6,23,5,182,429
"Laval/Laval"," 195","Laval",6,82,35,2,41,5,171,448
"Laval/Laval"," 196","Laval",27,101,68,13,33,3,245,488
"Laval/Laval"," 400","Laval",26,115,106,10,49,8,314,253
"Laval/Laval"," 401","Laval",20,76,116,2,54,5,273,358
"Laval/Laval"," 402","Laval",7,57,38,5,44,1,152,403
"Laval/Laval"," 403","Laval",10,60,63,3,36,1,173,396
"Laval/Laval"," 404","Laval",3,14,22,2,8,4,53,187
"Laval/Laval"," 500A","Mobile poll/Bureau itinérant",2,15,19,0,9,0,45,212
"Laval/Laval"," 500B","Mobile poll/Bureau itinérant",3,5,12,2,5,1,28,37
"Laval/Laval"," 600","Laval",43,250,107,13,141,9,563,
"Laval/Laval"," 601","Laval",30,201,151,7,126,5,520,
"Laval/Laval"," 602","Laval",23,205,142,16,99,2,487,
"Laval/Laval"," 603","Laval",26,242,181,19,114,10,592,
"Laval/Laval"," 604","Laval",30,165,182,8,87,4,476,
"Laval/Laval"," 605","Laval",21,203,95,14,100,9,442,
"Laval/Laval"," 606","Laval",23,192,83,4,80,1,383,
"Laval/Laval"," 607","Laval",23,153,75,11,52,7,321,
"Laval/Laval"," 608","Laval",32,249,131,16,99,2,529,
"Laval/Laval"," 609","Laval",25,176,230,12,119,8,570,
"Laval/Laval"," 610","Laval",20,106,66,9,51,5,257,
"Laval/Laval",,Group 1/Groupe 1,2,33,23,5,22,5,90,155
"Laval/Laval",,Group 2/Groupe 2,51,507,423,18,150,31,1180,
