Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Guy Dumas,Tony Martin,Christian Provenzano,Mike Taffarel,Mark Viitala,Ken Walker,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Sault Ste. Marie/Sault Ste. Marie"," 24","Sault Ste. Marie",0,109,46,0,6,44,0,205,438
"Sault Ste. Marie/Sault Ste. Marie"," 25","Sault Ste. Marie",0,98,89,0,8,41,0,236,357
"Sault Ste. Marie/Sault Ste. Marie"," 26","Sault Ste. Marie",0,64,130,1,5,35,3,238,357
"Sault Ste. Marie/Sault Ste. Marie"," 27","Sault Ste. Marie",1,59,67,1,1,30,1,160,264
"Sault Ste. Marie/Sault Ste. Marie"," 28","Sault Ste. Marie",0,61,45,2,2,27,0,137,290
"Sault Ste. Marie/Sault Ste. Marie"," 29","Sault Ste. Marie",1,79,48,0,3,30,1,162,314
"Sault Ste. Marie/Sault Ste. Marie"," 30","Sault Ste. Marie",0,83,88,0,6,29,2,208,347
"Sault Ste. Marie/Sault Ste. Marie"," 31","Sault Ste. Marie",0,79,70,0,1,16,0,166,329
"Sault Ste. Marie/Sault Ste. Marie"," 32","Sault Ste. Marie",0,60,33,0,2,30,0,125,237
"Sault Ste. Marie/Sault Ste. Marie"," 33","Sault Ste. Marie",1,95,64,0,5,41,4,210,342
"Sault Ste. Marie/Sault Ste. Marie"," 34","Sault Ste. Marie",0,81,88,3,6,62,0,240,331
"Sault Ste. Marie/Sault Ste. Marie"," 35","Sault Ste. Marie",0,112,83,0,6,54,1,256,453
"Sault Ste. Marie/Sault Ste. Marie"," 36","Sault Ste. Marie",0,118,66,0,6,67,1,258,429
"Sault Ste. Marie/Sault Ste. Marie"," 37","Sault Ste. Marie",0,120,43,0,2,32,0,197,382
"Sault Ste. Marie/Sault Ste. Marie"," 38","Sault Ste. Marie",0,63,46,0,8,29,2,148,351
"Sault Ste. Marie/Sault Ste. Marie"," 39","Sault Ste. Marie",1,111,59,0,1,24,2,198,385
"Sault Ste. Marie/Sault Ste. Marie"," 40","Sault Ste. Marie",0,98,62,0,4,97,0,261,405
"Sault Ste. Marie/Sault Ste. Marie"," 41","Sault Ste. Marie",0,47,54,0,1,51,0,153,237
"Sault Ste. Marie/Sault Ste. Marie"," 42","Sault Ste. Marie",0,105,70,0,6,51,0,232,367
"Sault Ste. Marie/Sault Ste. Marie"," 43","Sault Ste. Marie",2,117,103,1,6,88,0,317,474
"Sault Ste. Marie/Sault Ste. Marie"," 44","Sault Ste. Marie",1,113,48,0,2,32,1,197,325
"Sault Ste. Marie/Sault Ste. Marie"," 45","Sault Ste. Marie",0,66,69,0,3,19,0,157,286
"Sault Ste. Marie/Sault Ste. Marie"," 46","Sault Ste. Marie",1,95,161,1,5,27,0,290,413
"Sault Ste. Marie/Sault Ste. Marie"," 47","Sault Ste. Marie",0,81,69,1,3,28,0,182,294
"Sault Ste. Marie/Sault Ste. Marie"," 48","Sault Ste. Marie",2,88,50,0,4,51,0,195,350
"Sault Ste. Marie/Sault Ste. Marie"," 49","Sault Ste. Marie",0,71,167,0,8,53,0,299,454
"Sault Ste. Marie/Sault Ste. Marie"," 50","Sault Ste. Marie",0,69,93,0,4,46,2,214,302
"Sault Ste. Marie/Sault Ste. Marie"," 51","Sault Ste. Marie",0,70,71,1,3,25,3,173,321
"Sault Ste. Marie/Sault Ste. Marie"," 52","Sault Ste. Marie",3,85,96,0,5,33,2,224,370
"Sault Ste. Marie/Sault Ste. Marie"," 53","Sault Ste. Marie",2,83,100,0,1,23,1,210,315
"Sault Ste. Marie/Sault Ste. Marie"," 54","Sault Ste. Marie",1,81,73,0,3,32,3,193,357
"Sault Ste. Marie/Sault Ste. Marie"," 55","Sault Ste. Marie",2,74,58,1,3,20,0,158,299
"Sault Ste. Marie/Sault Ste. Marie"," 56","Sault Ste. Marie",3,65,68,0,2,20,1,159,310
"Sault Ste. Marie/Sault Ste. Marie"," 57","Sault Ste. Marie",0,96,84,0,4,27,1,212,317
"Sault Ste. Marie/Sault Ste. Marie"," 58","Sault Ste. Marie",0,53,82,0,3,36,0,174,238
"Sault Ste. Marie/Sault Ste. Marie"," 59","Sault Ste. Marie",1,74,60,0,8,43,2,188,295
"Sault Ste. Marie/Sault Ste. Marie"," 60","Sault Ste. Marie",0,76,48,0,5,27,0,156,291
"Sault Ste. Marie/Sault Ste. Marie"," 61","Sault Ste. Marie",1,79,62,0,10,52,2,206,347
"Sault Ste. Marie/Sault Ste. Marie"," 62","Sault Ste. Marie",1,144,85,0,11,89,0,330,511
"Sault Ste. Marie/Sault Ste. Marie"," 63","Sault Ste. Marie",0,92,94,1,6,52,1,246,359
"Sault Ste. Marie/Sault Ste. Marie"," 64","Sault Ste. Marie",0,52,168,0,7,57,3,287,400
"Sault Ste. Marie/Sault Ste. Marie"," 65","Sault Ste. Marie",0,73,83,0,4,50,3,213,324
"Sault Ste. Marie/Sault Ste. Marie"," 66","Sault Ste. Marie",1,87,90,1,2,30,2,213,305
"Sault Ste. Marie/Sault Ste. Marie"," 67","Sault Ste. Marie",2,92,52,0,3,19,1,169,271
"Sault Ste. Marie/Sault Ste. Marie"," 68","Sault Ste. Marie",1,97,59,0,6,27,0,190,345
"Sault Ste. Marie/Sault Ste. Marie"," 69","Sault Ste. Marie",2,107,101,1,7,72,3,293,439
"Sault Ste. Marie/Sault Ste. Marie"," 70","Sault Ste. Marie",1,53,158,0,5,60,1,278,369
"Sault Ste. Marie/Sault Ste. Marie"," 71","Sault Ste. Marie",2,88,59,0,5,48,2,204,373
"Sault Ste. Marie/Sault Ste. Marie"," 72","Sault Ste. Marie",0,73,48,0,8,34,1,164,277
"Sault Ste. Marie/Sault Ste. Marie"," 73","Sault Ste. Marie",0,70,69,0,1,44,1,185,339
"Sault Ste. Marie/Sault Ste. Marie"," 74","Sault Ste. Marie",0,106,68,0,1,38,1,214,353
"Sault Ste. Marie/Sault Ste. Marie"," 75","Sault Ste. Marie",0,67,106,1,3,53,1,231,383
"Sault Ste. Marie/Sault Ste. Marie"," 76","Sault Ste. Marie",2,106,55,1,7,38,2,211,335
"Sault Ste. Marie/Sault Ste. Marie"," 77","Sault Ste. Marie",3,80,56,0,4,30,1,174,333
"Sault Ste. Marie/Sault Ste. Marie"," 78","Sault Ste. Marie",0,83,38,0,1,28,1,151,292
"Sault Ste. Marie/Sault Ste. Marie"," 79","Sault Ste. Marie",1,41,37,2,0,22,1,104,190
"Sault Ste. Marie/Sault Ste. Marie"," 80","Sault Ste. Marie",0,114,61,0,8,36,3,222,414
"Sault Ste. Marie/Sault Ste. Marie"," 81","Sault Ste. Marie",3,83,42,0,4,33,0,165,339
"Sault Ste. Marie/Sault Ste. Marie"," 82","Sault Ste. Marie",2,77,35,1,4,18,2,139,301
"Sault Ste. Marie/Sault Ste. Marie"," 83","Sault Ste. Marie",1,54,44,1,2,16,0,118,249
"Sault Ste. Marie/Sault Ste. Marie"," 84","Sault Ste. Marie",1,98,43,0,1,25,0,168,253
"Sault Ste. Marie/Sault Ste. Marie"," 85","Sault Ste. Marie",3,104,76,1,4,52,2,242,485
"Sault Ste. Marie/Sault Ste. Marie"," 86","Sault Ste. Marie",0,141,95,1,16,86,0,339,529
"Sault Ste. Marie/Sault Ste. Marie"," 87","Sault Ste. Marie",0,84,111,0,10,104,0,309,478
"Sault Ste. Marie/Sault Ste. Marie"," 88A","Sault Ste. Marie",0,108,151,0,6,115,0,380,609
"Sault Ste. Marie/Sault Ste. Marie"," 88B","Mobile poll/Bureau itinérant",Merged with No. 502/Fusionné avec le nº 502,,,,,,,,346
"Sault Ste. Marie/Sault Ste. Marie"," 89","Sault Ste. Marie",0,61,50,0,2,43,1,157,256
"Sault Ste. Marie/Sault Ste. Marie"," 90","Sault Ste. Marie",1,74,69,0,11,56,0,211,311
"Sault Ste. Marie/Sault Ste. Marie"," 91","Sault Ste. Marie",0,109,34,1,3,35,0,182,305
"Sault Ste. Marie/Sault Ste. Marie"," 92","Sault Ste. Marie",1,81,54,0,7,47,0,190,293
"Sault Ste. Marie/Sault Ste. Marie"," 93","Sault Ste. Marie",0,63,57,0,3,39,0,162,268
"Sault Ste. Marie/Sault Ste. Marie"," 94","Sault Ste. Marie",0,81,100,0,3,46,0,230,328
"Sault Ste. Marie/Sault Ste. Marie"," 95A","Sault Ste. Marie",1,65,91,0,3,52,0,212,325
"Sault Ste. Marie/Sault Ste. Marie"," 95B","Sault Ste. Marie",2,67,92,0,4,48,1,214,334
"Sault Ste. Marie/Sault Ste. Marie"," 96","Sault Ste. Marie",0,40,70,0,3,70,3,186,349
"Sault Ste. Marie/Sault Ste. Marie"," 97","Sault Ste. Marie",2,105,124,1,8,78,1,319,441
"Sault Ste. Marie/Sault Ste. Marie"," 98","Sault Ste. Marie",2,86,85,0,6,56,1,236,348
"Sault Ste. Marie/Sault Ste. Marie"," 99","Sault Ste. Marie",0,73,100,0,3,49,0,225,356
"Sault Ste. Marie/Sault Ste. Marie"," 100","Sault Ste. Marie",4,102,38,0,7,43,1,195,334
"Sault Ste. Marie/Sault Ste. Marie"," 101","Sault Ste. Marie",0,65,75,0,1,44,0,185,298
"Sault Ste. Marie/Sault Ste. Marie"," 102","Sault Ste. Marie",1,85,42,0,2,32,2,164,318
"Sault Ste. Marie/Sault Ste. Marie"," 103","Sault Ste. Marie",0,107,72,0,6,54,3,242,382
"Sault Ste. Marie/Sault Ste. Marie"," 104A","Sault Ste. Marie",1,62,45,0,6,23,0,137,342
"Sault Ste. Marie/Sault Ste. Marie"," 104B","Sault Ste. Marie",2,80,29,1,3,32,0,147,303
"Sault Ste. Marie/Sault Ste. Marie"," 105","Sault Ste. Marie",1,71,84,0,10,58,0,224,357
"Sault Ste. Marie/Sault Ste. Marie"," 106","Sault Ste. Marie",1,85,72,0,3,53,4,218,371
"Sault Ste. Marie/Sault Ste. Marie"," 107","Sault Ste. Marie",5,113,43,0,9,37,0,207,337
"Sault Ste. Marie/Sault Ste. Marie"," 108","Sault Ste. Marie",0,85,65,0,5,52,0,207,320
"Sault Ste. Marie/Sault Ste. Marie"," 109","Sault Ste. Marie",2,80,68,0,2,50,2,204,323
"Sault Ste. Marie/Sault Ste. Marie"," 110","Sault Ste. Marie",0,90,95,1,7,64,1,258,471
"Sault Ste. Marie/Sault Ste. Marie"," 111","Sault Ste. Marie",1,89,109,1,5,54,0,259,405
"Sault Ste. Marie/Sault Ste. Marie"," 112","Sault Ste. Marie",2,73,119,0,5,82,1,282,402
"Sault Ste. Marie/Sault Ste. Marie"," 113A","Sault Ste. Marie",0,105,70,0,5,63,0,243,410
"Sault Ste. Marie/Sault Ste. Marie"," 113B","Mobile poll/Bureau itinérant",0,28,32,1,0,29,3,93,71
"Sault Ste. Marie/Sault Ste. Marie"," 114","Sault Ste. Marie",1,73,48,0,3,24,0,149,271
"Sault Ste. Marie/Sault Ste. Marie"," 115A","Sault Ste. Marie",1,85,36,1,13,22,1,159,366
"Sault Ste. Marie/Sault Ste. Marie"," 115B","Mobile poll/Bureau itinérant",Merged with No. 113B/Fusionné avec le nº 113B,,,,,,,,43
"Sault Ste. Marie/Sault Ste. Marie"," 116","Sault Ste. Marie",2,60,29,0,4,15,0,110,246
"Sault Ste. Marie/Sault Ste. Marie"," 117","Sault Ste. Marie",3,56,45,0,4,24,0,132,346
"Sault Ste. Marie/Sault Ste. Marie"," 118","Sault Ste. Marie",3,101,108,0,0,57,0,269,523
"Sault Ste. Marie/Sault Ste. Marie"," 119","Sault Ste. Marie",1,57,35,0,3,18,0,114,273
"Sault Ste. Marie/Sault Ste. Marie"," 120","Sault Ste. Marie",1,81,41,0,5,23,0,151,266
"Sault Ste. Marie/Sault Ste. Marie"," 121","Sault Ste. Marie",3,98,47,3,8,29,0,188,334
"Sault Ste. Marie/Sault Ste. Marie"," 122","Sault Ste. Marie",3,82,83,1,4,46,0,219,344
"Sault Ste. Marie/Sault Ste. Marie"," 123","Sault Ste. Marie",0,86,81,0,6,46,0,219,359
"Sault Ste. Marie/Sault Ste. Marie"," 124","Sault Ste. Marie",1,67,104,0,5,42,1,220,360
"Sault Ste. Marie/Sault Ste. Marie"," 125","Sault Ste. Marie",2,95,71,0,18,55,0,241,357
"Sault Ste. Marie/Sault Ste. Marie"," 126","Sault Ste. Marie",0,105,125,0,9,62,3,304,448
"Sault Ste. Marie/Sault Ste. Marie"," 127","Sault Ste. Marie",0,54,87,0,5,64,0,210,376
"Sault Ste. Marie/Sault Ste. Marie"," 128","Sault Ste. Marie",0,122,54,0,6,62,0,244,360
"Sault Ste. Marie/Sault Ste. Marie"," 129","Sault Ste. Marie",2,102,52,0,4,58,0,218,307
"Sault Ste. Marie/Sault Ste. Marie"," 130","Sault Ste. Marie",0,81,29,0,2,39,1,152,242
"Sault Ste. Marie/Sault Ste. Marie"," 131","Sault Ste. Marie",1,116,90,0,9,70,1,287,450
"Sault Ste. Marie/Sault Ste. Marie"," 132","Sault Ste. Marie",0,72,45,2,6,26,0,151,356
"Sault Ste. Marie/Sault Ste. Marie"," 133","Sault Ste. Marie",2,57,83,0,8,35,0,185,322
"Sault Ste. Marie/Sault Ste. Marie"," 134","Sault Ste. Marie",0,86,127,0,7,65,1,286,425
"Sault Ste. Marie/Sault Ste. Marie"," 135","Sault Ste. Marie",1,81,90,0,6,56,1,235,352
"Sault Ste. Marie/Sault Ste. Marie"," 136","Sault Ste. Marie",1,79,81,0,6,39,0,206,312
"Sault Ste. Marie/Sault Ste. Marie"," 137","Sault Ste. Marie",1,75,102,0,7,61,1,247,380
"Sault Ste. Marie/Sault Ste. Marie"," 138","Sault Ste. Marie",0,62,79,0,2,43,0,186,298
"Sault Ste. Marie/Sault Ste. Marie"," 139","Sault Ste. Marie",0,101,66,1,10,56,0,234,382
"Sault Ste. Marie/Sault Ste. Marie"," 140","Sault Ste. Marie",0,73,100,0,6,82,2,263,381
"Sault Ste. Marie/Sault Ste. Marie"," 141","Sault Ste. Marie",1,81,102,0,5,78,1,268,393
"Sault Ste. Marie/Sault Ste. Marie"," 142A","Sault Ste. Marie",0,65,57,0,4,46,1,173,347
"Sault Ste. Marie/Sault Ste. Marie"," 142B","Sault Ste. Marie",1,84,47,0,6,39,2,179,392
"Sault Ste. Marie/Sault Ste. Marie"," 143","Sault Ste. Marie",0,38,52,1,4,17,2,114,193
"Sault Ste. Marie/Sault Ste. Marie"," 144","Sault Ste. Marie",0,54,97,0,3,59,1,214,350
"Sault Ste. Marie/Sault Ste. Marie"," 145","Sault Ste. Marie",1,68,126,0,5,38,3,241,367
"Sault Ste. Marie/Sault Ste. Marie"," 146","Sault Ste. Marie",1,56,75,2,10,50,0,194,334
"Sault Ste. Marie/Sault Ste. Marie"," 147","Sault Ste. Marie",1,75,73,0,8,59,0,216,380
"Sault Ste. Marie/Sault Ste. Marie"," 148","Sault Ste. Marie",0,59,109,0,8,58,0,234,385
"Sault Ste. Marie/Sault Ste. Marie"," 149","Sault Ste. Marie",2,84,118,1,12,47,0,264,413
"Sault Ste. Marie/Sault Ste. Marie"," 150","Sault Ste. Marie",0,51,113,1,6,68,0,239,407
"Sault Ste. Marie/Sault Ste. Marie"," 151","Sault Ste. Marie",1,48,116,0,10,46,0,221,363
"Sault Ste. Marie/Sault Ste. Marie"," 152","Sault Ste. Marie",0,88,94,0,10,90,0,282,437
"Sault Ste. Marie/Sault Ste. Marie"," 153","Sault Ste. Marie",2,107,71,1,5,75,0,261,505
"Sault Ste. Marie/Sault Ste. Marie"," 154","Sault Ste. Marie",0,74,33,0,4,13,0,124,270
"Sault Ste. Marie/Sault Ste. Marie"," 155","Sault Ste. Marie",1,65,47,0,3,30,2,148,269
"Sault Ste. Marie/Sault Ste. Marie"," 156","Sault Ste. Marie",3,78,38,0,2,38,0,159,284
"Sault Ste. Marie/Sault Ste. Marie"," 157","Sault Ste. Marie",0,94,65,0,3,61,2,225,375
"Sault Ste. Marie/Sault Ste. Marie"," 158","Sault Ste. Marie",0,87,44,0,2,43,0,176,295
"Sault Ste. Marie/Sault Ste. Marie"," 159","Sault Ste. Marie",0,116,60,0,8,51,0,235,377
"Sault Ste. Marie/Sault Ste. Marie"," 160","Sault Ste. Marie",1,134,66,0,7,74,0,282,443
"Sault Ste. Marie/Sault Ste. Marie"," 161","Sault Ste. Marie",2,84,75,0,5,93,1,260,384
"Sault Ste. Marie/Sault Ste. Marie"," 162","Sault Ste. Marie",3,59,68,1,0,43,1,175,279
"Sault Ste. Marie/Sault Ste. Marie"," 163","Sault Ste. Marie",3,114,84,1,5,55,0,262,407
"Sault Ste. Marie/Sault Ste. Marie"," 164","Sault Ste. Marie",2,86,75,0,1,56,1,221,360
"Sault Ste. Marie/Sault Ste. Marie"," 165","Sault Ste. Marie",0,116,97,0,2,64,0,279,396
"Sault Ste. Marie/Sault Ste. Marie"," 166","Sault Ste. Marie",0,133,163,0,10,82,0,388,597
"Sault Ste. Marie/Sault Ste. Marie"," 167","Sault Ste. Marie",0,86,85,1,4,38,1,215,358
"Sault Ste. Marie/Sault Ste. Marie"," 168","Sault Ste. Marie",0,60,95,0,6,74,1,236,396
"Sault Ste. Marie/Sault Ste. Marie"," 169","Sault Ste. Marie",0,78,98,0,6,61,0,243,353
"Sault Ste. Marie/Sault Ste. Marie"," 170","Sault Ste. Marie",1,64,103,0,2,63,1,234,395
"Sault Ste. Marie/Sault Ste. Marie"," 171","Sault Ste. Marie",0,46,149,0,5,68,1,269,440
"Sault Ste. Marie/Sault Ste. Marie"," 172","Rankin Location 15D",8,78,22,0,0,11,0,119,194
"Sault Ste. Marie/Sault Ste. Marie"," 173","Garden River 14",20,171,41,0,3,8,1,244,573
"Sault Ste. Marie/Sault Ste. Marie"," 174","Echo Bay",0,160,40,0,4,122,0,326,546
"Sault Ste. Marie/Sault Ste. Marie"," 175","Sylvan Valley",0,69,32,0,1,40,0,142,225
"Sault Ste. Marie/Sault Ste. Marie"," 176","Echo Bay",2,141,48,1,6,115,0,313,538
"Sault Ste. Marie/Sault Ste. Marie"," 177","Bar River",0,106,47,1,5,64,1,224,354
"Sault Ste. Marie/Sault Ste. Marie"," 178","Laird",0,101,42,0,5,84,0,232,353
"Sault Ste. Marie/Sault Ste. Marie"," 179","MacLennan",1,52,49,0,3,64,2,171,268
"Sault Ste. Marie/Sault Ste. Marie"," 180","Gordon Lake",0,37,21,0,1,25,2,86,162
"Sault Ste. Marie/Sault Ste. Marie"," 181","Desbarats",1,88,29,1,6,59,1,185,337
"Sault Ste. Marie/Sault Ste. Marie"," 182","Bruce Mines",3,87,38,0,4,80,1,213,340
"Sault Ste. Marie/Sault Ste. Marie"," 183","Bruce Mines",2,50,38,0,4,53,1,148,242
"Sault Ste. Marie/Sault Ste. Marie"," 184","Bruce Station",0,99,46,0,9,107,0,261,392
"Sault Ste. Marie/Sault Ste. Marie"," 185","Hilton",0,110,55,0,11,95,2,273,388
"Sault Ste. Marie/Sault Ste. Marie"," 186","Richards Landing",0,111,41,0,3,113,1,269,374
"Sault Ste. Marie/Sault Ste. Marie"," 187","Richards Landing",1,87,69,0,11,108,1,277,408
"Sault Ste. Marie/Sault Ste. Marie"," 188","St. Joseph--Jocelyn",0,72,36,0,4,82,2,196,287
"Sault Ste. Marie/Sault Ste. Marie"," 500","Mobile poll/Bureau itinérant",3,96,79,2,9,42,1,232,300
"Sault Ste. Marie/Sault Ste. Marie"," 501","Mobile poll/Bureau itinérant",0,18,13,0,0,2,0,33,36
"Sault Ste. Marie/Sault Ste. Marie"," 502","Mobile poll/Bureau itinérant",0,76,36,2,3,36,2,155,52
"Sault Ste. Marie/Sault Ste. Marie"," 503","Mobile poll/Bureau itinérant",3,52,59,0,4,20,2,140,224
"Sault Ste. Marie/Sault Ste. Marie"," 600","Algoma",2,123,53,1,7,79,0,265,
"Sault Ste. Marie/Sault Ste. Marie"," 601","Algoma--Sault Ste. Marie",3,174,189,0,4,126,0,496,
"Sault Ste. Marie/Sault Ste. Marie"," 602","Sault Ste. Marie",1,103,112,0,2,58,0,276,
"Sault Ste. Marie/Sault Ste. Marie"," 603","Sault Ste. Marie",2,119,114,0,4,78,0,317,
"Sault Ste. Marie/Sault Ste. Marie"," 604","Sault Ste. Marie",1,105,137,0,4,101,0,348,
"Sault Ste. Marie/Sault Ste. Marie"," 605","Sault Ste. Marie",2,179,241,0,14,128,1,565,
"Sault Ste. Marie/Sault Ste. Marie"," 606","Sault Ste. Marie",4,172,274,0,9,183,3,645,
"Sault Ste. Marie/Sault Ste. Marie"," 607","Sault Ste. Marie",4,140,179,0,9,144,2,478,
"Sault Ste. Marie/Sault Ste. Marie"," 608","Sault Ste. Marie",0,72,62,0,8,81,2,225,
"Sault Ste. Marie/Sault Ste. Marie",,Group 1/Groupe 1,1,29,44,0,4,38,4,120,273
"Sault Ste. Marie/Sault Ste. Marie",,Group 2/Groupe 2,2,436,689,1,24,376,14,1542,
