Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kren Clausen,Deborah Coyne,Al Hart,Jack Layton,Marcell Rodden,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Toronto--Danforth/Toronto--Danforth"," 27","East York",44,110,16,89,1,0,260,413
"Toronto--Danforth/Toronto--Danforth"," 28","East York",38,63,9,61,0,2,173,323
"Toronto--Danforth/Toronto--Danforth"," 29","East York",15,73,6,77,1,0,172,337
"Toronto--Danforth/Toronto--Danforth"," 30","East York",29,92,10,118,0,0,249,430
"Toronto--Danforth/Toronto--Danforth"," 31","East York",28,67,13,87,3,1,199,353
"Toronto--Danforth/Toronto--Danforth"," 32","East York",37,106,24,141,2,1,311,490
"Toronto--Danforth/Toronto--Danforth"," 33","East York",12,89,13,62,2,0,178,285
"Toronto--Danforth/Toronto--Danforth"," 34","East York",22,94,18,98,0,0,232,396
"Toronto--Danforth/Toronto--Danforth"," 35","East York",35,85,12,143,5,0,280,457
"Toronto--Danforth/Toronto--Danforth"," 36","East York",20,75,13,155,0,2,265,391
"Toronto--Danforth/Toronto--Danforth"," 37","East York",35,100,13,114,0,1,263,414
"Toronto--Danforth/Toronto--Danforth"," 38","East York",18,68,7,102,0,0,195,370
"Toronto--Danforth/Toronto--Danforth"," 39","East York",21,46,9,77,1,0,154,318
"Toronto--Danforth/Toronto--Danforth"," 40","East York",24,87,11,100,0,2,224,396
"Toronto--Danforth/Toronto--Danforth"," 41","East York",7,42,5,44,0,2,100,202
"Toronto--Danforth/Toronto--Danforth"," 42","East York",33,89,5,92,1,0,220,424
"Toronto--Danforth/Toronto--Danforth"," 43","East York",28,72,2,72,1,0,175,335
"Toronto--Danforth/Toronto--Danforth"," 44","East York",16,41,4,51,0,0,112,224
"Toronto--Danforth/Toronto--Danforth"," 45","East York",16,69,4,74,0,0,163,367
"Toronto--Danforth/Toronto--Danforth"," 46","East York",38,118,20,146,2,12,336,478
"Toronto--Danforth/Toronto--Danforth"," 47","East York",21,63,8,83,1,0,176,324
"Toronto--Danforth/Toronto--Danforth"," 48","East York",29,86,10,98,0,4,227,387
"Toronto--Danforth/Toronto--Danforth"," 49","East York",17,76,23,111,0,0,227,367
"Toronto--Danforth/Toronto--Danforth"," 50","East York",33,66,27,59,1,2,188,313
"Toronto--Danforth/Toronto--Danforth"," 51","East York",40,89,17,83,2,3,234,346
"Toronto--Danforth/Toronto--Danforth"," 52","East York",32,133,31,151,2,3,352,479
"Toronto--Danforth/Toronto--Danforth"," 53","East York",30,91,20,94,0,6,241,398
"Toronto--Danforth/Toronto--Danforth"," 54","East York",12,88,6,71,0,0,177,342
"Toronto--Danforth/Toronto--Danforth"," 55","East York",19,89,14,82,0,0,204,346
"Toronto--Danforth/Toronto--Danforth"," 56","East York",23,91,21,113,1,1,250,402
"Toronto--Danforth/Toronto--Danforth"," 57","East York",34,80,24,88,0,0,226,396
"Toronto--Danforth/Toronto--Danforth"," 58","Toronto",24,85,26,109,1,0,245,376
"Toronto--Danforth/Toronto--Danforth"," 59","Toronto",21,46,28,113,1,0,209,294
"Toronto--Danforth/Toronto--Danforth"," 60","Toronto",15,98,38,123,0,0,274,401
"Toronto--Danforth/Toronto--Danforth"," 61","Toronto",11,91,12,98,0,1,213,343
"Toronto--Danforth/Toronto--Danforth"," 62","Toronto",27,104,20,177,1,0,329,500
"Toronto--Danforth/Toronto--Danforth"," 63","Toronto",22,97,22,105,0,0,246,363
"Toronto--Danforth/Toronto--Danforth"," 64","Toronto",18,84,24,112,0,0,238,384
"Toronto--Danforth/Toronto--Danforth"," 65","Toronto",21,81,17,111,2,0,232,348
"Toronto--Danforth/Toronto--Danforth"," 66A","Toronto",24,65,13,98,1,0,201,305
"Toronto--Danforth/Toronto--Danforth"," 66B","Toronto",18,71,13,100,0,0,202,327
"Toronto--Danforth/Toronto--Danforth"," 67","Toronto",10,59,15,95,3,1,183,344
