Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Pauline Browes,Peter Campbell,Mike Flanagan,Farooq Khan,John McKay,Andrew C. Thomas,Brenda Thompson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Scarborough--Guildwood/Scarborough--Guildwood"," 34","Scarborough",51,34,11,1,116,0,0,0,213,443
"Scarborough--Guildwood/Scarborough--Guildwood"," 35","Scarborough",65,31,4,1,119,1,1,3,225,385
"Scarborough--Guildwood/Scarborough--Guildwood"," 36","Scarborough",34,31,2,0,136,0,0,1,204,593
"Scarborough--Guildwood/Scarborough--Guildwood"," 37","Scarborough",77,30,3,0,164,0,0,0,274,437
"Scarborough--Guildwood/Scarborough--Guildwood"," 38","Scarborough",69,48,4,2,143,0,0,0,266,413
"Scarborough--Guildwood/Scarborough--Guildwood"," 39","Scarborough",64,37,5,3,127,0,0,5,241,422
"Scarborough--Guildwood/Scarborough--Guildwood"," 40","Scarborough",68,40,7,4,112,0,1,0,232,387
"Scarborough--Guildwood/Scarborough--Guildwood"," 41","Scarborough",76,46,8,0,187,0,0,2,319,475
"Scarborough--Guildwood/Scarborough--Guildwood"," 42","Scarborough",73,37,6,0,127,0,0,0,243,425
"Scarborough--Guildwood/Scarborough--Guildwood"," 43","Scarborough",46,22,5,0,125,0,1,1,200,347
"Scarborough--Guildwood/Scarborough--Guildwood"," 44","Scarborough",60,35,9,1,110,0,0,2,217,383
"Scarborough--Guildwood/Scarborough--Guildwood"," 45","Scarborough",90,20,10,3,179,1,0,3,306,512
"Scarborough--Guildwood/Scarborough--Guildwood"," 46","Scarborough",78,33,5,0,92,0,0,0,208,394
"Scarborough--Guildwood/Scarborough--Guildwood"," 47","Scarborough",36,28,4,0,98,0,0,3,169,357
"Scarborough--Guildwood/Scarborough--Guildwood"," 48","Scarborough",46,17,6,2,101,0,0,1,173,334
"Scarborough--Guildwood/Scarborough--Guildwood"," 49","Scarborough",62,21,6,1,102,0,0,1,193,345
"Scarborough--Guildwood/Scarborough--Guildwood"," 50","Scarborough",40,30,9,2,102,0,2,5,190,439
"Scarborough--Guildwood/Scarborough--Guildwood"," 51","Scarborough",24,11,0,1,91,0,1,2,130,313
"Scarborough--Guildwood/Scarborough--Guildwood"," 52","Scarborough",69,48,14,2,138,0,2,0,273,515
"Scarborough--Guildwood/Scarborough--Guildwood"," 53","Scarborough",69,40,7,1,89,0,0,3,209,351
"Scarborough--Guildwood/Scarborough--Guildwood"," 54","Scarborough",68,30,10,0,111,0,0,2,221,350
"Scarborough--Guildwood/Scarborough--Guildwood"," 55","Scarborough",34,29,1,0,73,3,0,1,141,251
"Scarborough--Guildwood/Scarborough--Guildwood"," 56","Scarborough",92,40,9,0,162,1,1,0,305,563
"Scarborough--Guildwood/Scarborough--Guildwood"," 57","Scarborough",11,9,2,0,51,0,0,0,73,209
"Scarborough--Guildwood/Scarborough--Guildwood"," 58","Scarborough",39,32,3,2,164,0,0,2,242,461
"Scarborough--Guildwood/Scarborough--Guildwood"," 59","Scarborough",39,46,6,1,167,0,1,6,266,536
"Scarborough--Guildwood/Scarborough--Guildwood"," 60","Scarborough",79,34,6,0,125,0,0,3,247,435
"Scarborough--Guildwood/Scarborough--Guildwood"," 61","Scarborough",60,55,10,0,123,1,0,2,251,527
"Scarborough--Guildwood/Scarborough--Guildwood"," 62","Scarborough",25,22,0,0,41,0,0,2,90,182
"Scarborough--Guildwood/Scarborough--Guildwood"," 63","Scarborough",180,43,17,1,117,0,1,2,361,609
"Scarborough--Guildwood/Scarborough--Guildwood"," 64","Scarborough",55,38,6,0,99,1,0,0,199,358
"Scarborough--Guildwood/Scarborough--Guildwood"," 65","Scarborough",97,24,6,0,113,0,1,1,242,453
"Scarborough--Guildwood/Scarborough--Guildwood"," 66","Scarborough",20,12,1,0,102,0,0,0,135,333
"Scarborough--Guildwood/Scarborough--Guildwood"," 67","Scarborough",61,31,4,1,207,1,0,1,306,461
"Scarborough--Guildwood/Scarborough--Guildwood"," 68","Scarborough",32,45,4,2,114,0,0,2,199,469
"Scarborough--Guildwood/Scarborough--Guildwood"," 69","Scarborough",64,20,5,2,175,0,1,2,269,479
"Scarborough--Guildwood/Scarborough--Guildwood"," 70","Scarborough",51,40,7,1,173,1,0,1,274,587
"Scarborough--Guildwood/Scarborough--Guildwood"," 71","Scarborough",12,7,1,1,31,0,0,0,52,95
"Scarborough--Guildwood/Scarborough--Guildwood"," 72","Scarborough",118,30,10,2,178,0,1,1,340,598
"Scarborough--Guildwood/Scarborough--Guildwood"," 73","Scarborough",20,22,1,1,100,1,0,1,146,357
"Scarborough--Guildwood/Scarborough--Guildwood"," 74","Scarborough",32,22,2,2,70,0,0,0,128,366
"Scarborough--Guildwood/Scarborough--Guildwood"," 75","Scarborough",65,25,7,0,79,0,1,2,179,292
"Scarborough--Guildwood/Scarborough--Guildwood"," 76","Scarborough",71,35,6,1,128,0,0,0,241,362
"Scarborough--Guildwood/Scarborough--Guildwood"," 77","Scarborough",50,33,6,0,111,0,0,0,200,343
"Scarborough--Guildwood/Scarborough--Guildwood"," 78","Scarborough",68,55,10,1,130,0,4,0,268,442
"Scarborough--Guildwood/Scarborough--Guildwood"," 79","Scarborough",71,41,6,2,126,1,0,0,247,408
"Scarborough--Guildwood/Scarborough--Guildwood"," 80","Scarborough",56,46,8,0,112,0,0,1,223,478
"Scarborough--Guildwood/Scarborough--Guildwood"," 81","Scarborough",60,27,8,0,129,0,2,1,227,415
"Scarborough--Guildwood/Scarborough--Guildwood"," 82","Scarborough",20,12,0,0,89,0,0,0,121,294
"Scarborough--Guildwood/Scarborough--Guildwood"," 83","Scarborough",25,28,0,3,112,0,0,1,169,445
"Scarborough--Guildwood/Scarborough--Guildwood"," 84","Scarborough",17,7,0,1,68,0,0,1,94,244
"Scarborough--Guildwood/Scarborough--Guildwood"," 85A","Scarborough",44,30,2,0,100,0,1,0,177,347
"Scarborough--Guildwood/Scarborough--Guildwood"," 85B","Scarborough",82,31,2,0,133,1,0,0,249,505
"Scarborough--Guildwood/Scarborough--Guildwood"," 86","Scarborough",48,15,1,0,170,1,0,5,240,442
"Scarborough--Guildwood/Scarborough--Guildwood"," 87","Scarborough",Void/Supprimé,,,,,,,,,
"Scarborough--Guildwood/Scarborough--Guildwood"," 88","Scarborough",18,11,1,0,53,0,1,0,84,173
"Scarborough--Guildwood/Scarborough--Guildwood"," 89","Scarborough",52,32,1,1,117,1,0,4,208,359
"Scarborough--Guildwood/Scarborough--Guildwood"," 90","Scarborough",14,22,0,1,79,0,1,1,118,244
"Scarborough--Guildwood/Scarborough--Guildwood"," 91","Scarborough",51,49,6,1,191,2,3,2,305,679
"Scarborough--Guildwood/Scarborough--Guildwood"," 92","Scarborough",50,25,7,1,133,0,1,4,221,346
"Scarborough--Guildwood/Scarborough--Guildwood"," 93","Scarborough",85,35,13,0,126,0,0,0,259,429
"Scarborough--Guildwood/Scarborough--Guildwood"," 94","Scarborough",67,49,14,0,99,1,0,1,231,321
"Scarborough--Guildwood/Scarborough--Guildwood"," 95","Scarborough",60,31,12,0,117,0,1,0,221,411
"Scarborough--Guildwood/Scarborough--Guildwood"," 96","Scarborough",49,38,5,0,71,0,1,1,165,305
"Scarborough--Guildwood/Scarborough--Guildwood"," 97","Scarborough",13,2,0,0,19,0,0,2,36,104
"Scarborough--Guildwood/Scarborough--Guildwood"," 98","Scarborough",58,24,3,3,85,0,0,0,173,347
"Scarborough--Guildwood/Scarborough--Guildwood"," 99","Scarborough",72,60,4,0,152,0,0,1,289,559
"Scarborough--Guildwood/Scarborough--Guildwood"," 100","Scarborough",37,31,3,1,78,1,0,2,153,294
"Scarborough--Guildwood/Scarborough--Guildwood"," 101","Scarborough",68,57,7,0,125,2,4,2,265,463
"Scarborough--Guildwood/Scarborough--Guildwood"," 102","Scarborough",28,37,4,1,68,2,0,4,144,333
"Scarborough--Guildwood/Scarborough--Guildwood"," 103","Scarborough",7,10,1,0,22,0,0,0,40,165
"Scarborough--Guildwood/Scarborough--Guildwood"," 104","Scarborough",34,39,3,2,177,0,0,0,255,505
"Scarborough--Guildwood/Scarborough--Guildwood"," 105","Scarborough",58,16,2,1,141,1,0,0,219,400
"Scarborough--Guildwood/Scarborough--Guildwood"," 106","Scarborough",49,30,4,0,102,0,4,2,191,275
"Scarborough--Guildwood/Scarborough--Guildwood"," 107","Scarborough",41,27,9,0,95,2,1,1,176,305
"Scarborough--Guildwood/Scarborough--Guildwood"," 108","Scarborough",40,24,10,0,100,0,1,1,176,276
"Scarborough--Guildwood/Scarborough--Guildwood"," 109","Scarborough",60,44,4,3,137,1,0,1,250,470
"Scarborough--Guildwood/Scarborough--Guildwood"," 110","Scarborough",55,43,10,0,90,0,0,0,198,339
"Scarborough--Guildwood/Scarborough--Guildwood"," 111","Scarborough",69,27,4,1,131,3,1,4,240,509
"Scarborough--Guildwood/Scarborough--Guildwood"," 112","Scarborough",13,12,5,0,12,0,0,0,42,122
"Scarborough--Guildwood/Scarborough--Guildwood"," 113","Scarborough",61,17,9,1,93,0,0,0,181,283
"Scarborough--Guildwood/Scarborough--Guildwood"," 114","Scarborough",40,48,8,0,93,2,1,5,197,345
"Scarborough--Guildwood/Scarborough--Guildwood"," 115","Scarborough",87,45,19,0,130,0,1,0,282,424
"Scarborough--Guildwood/Scarborough--Guildwood"," 116","Scarborough",49,51,10,0,84,2,0,0,196,362
"Scarborough--Guildwood/Scarborough--Guildwood"," 117","Scarborough",49,22,9,0,112,0,1,1,194,339
"Scarborough--Guildwood/Scarborough--Guildwood"," 118","Scarborough",69,46,15,0,95,0,0,0,225,338
"Scarborough--Guildwood/Scarborough--Guildwood"," 119","Scarborough",91,27,15,0,124,1,0,0,258,368
"Scarborough--Guildwood/Scarborough--Guildwood"," 120","Scarborough",20,14,6,0,56,0,0,0,96,209
"Scarborough--Guildwood/Scarborough--Guildwood"," 121","Scarborough",93,34,11,0,121,0,0,0,259,365
"Scarborough--Guildwood/Scarborough--Guildwood"," 122","Scarborough",70,27,8,0,94,0,0,0,199,341
"Scarborough--Guildwood/Scarborough--Guildwood"," 123","Scarborough",49,26,7,1,96,0,0,0,179,279
"Scarborough--Guildwood/Scarborough--Guildwood"," 124","Scarborough",52,34,15,0,107,2,1,1,212,311
"Scarborough--Guildwood/Scarborough--Guildwood"," 125","Scarborough",58,33,9,0,92,0,0,0,192,307
"Scarborough--Guildwood/Scarborough--Guildwood"," 126","Scarborough",97,34,17,3,132,1,2,4,290,517
"Scarborough--Guildwood/Scarborough--Guildwood"," 127","Scarborough",94,26,6,0,110,0,0,2,238,371
"Scarborough--Guildwood/Scarborough--Guildwood"," 128","Scarborough",113,27,9,0,112,0,0,1,262,381
"Scarborough--Guildwood/Scarborough--Guildwood"," 129","Scarborough",81,37,10,0,89,1,1,1,220,371
"Scarborough--Guildwood/Scarborough--Guildwood"," 130","Scarborough",100,30,10,1,154,0,2,0,297,402
"Scarborough--Guildwood/Scarborough--Guildwood"," 131","Scarborough",74,22,17,0,145,0,0,1,259,350
"Scarborough--Guildwood/Scarborough--Guildwood"," 132","Scarborough",83,43,13,0,130,1,0,2,272,394
"Scarborough--Guildwood/Scarborough--Guildwood"," 133","Scarborough",55,37,8,0,98,0,0,2,200,338
"Scarborough--Guildwood/Scarborough--Guildwood"," 134","Scarborough",89,23,11,0,92,0,4,2,221,349
"Scarborough--Guildwood/Scarborough--Guildwood"," 135","Scarborough",99,45,20,2,103,0,0,1,270,467
"Scarborough--Guildwood/Scarborough--Guildwood"," 136","Scarborough",119,51,14,2,167,2,0,1,356,687
"Scarborough--Guildwood/Scarborough--Guildwood"," 137","Scarborough",58,55,8,0,153,0,2,4,280,592
"Scarborough--Guildwood/Scarborough--Guildwood"," 138","Scarborough",70,18,8,2,105,0,1,0,204,364
"Scarborough--Guildwood/Scarborough--Guildwood"," 139","Scarborough",40,27,3,0,121,1,0,0,192,358
"Scarborough--Guildwood/Scarborough--Guildwood"," 140","Scarborough",38,40,8,0,119,2,0,0,207,413
"Scarborough--Guildwood/Scarborough--Guildwood"," 141","Scarborough",42,26,4,1,67,0,0,0,140,235
"Scarborough--Guildwood/Scarborough--Guildwood"," 142","Scarborough",52,32,9,0,69,0,0,0,162,265
"Scarborough--Guildwood/Scarborough--Guildwood"," 143","Scarborough",73,37,10,1,99,0,1,4,225,383
"Scarborough--Guildwood/Scarborough--Guildwood"," 144","Scarborough",53,51,3,0,128,0,0,0,235,389
"Scarborough--Guildwood/Scarborough--Guildwood"," 145","Scarborough",22,32,1,0,51,0,0,0,106,241
"Scarborough--Guildwood/Scarborough--Guildwood"," 146","Scarborough",74,43,9,2,163,0,0,2,293,596
"Scarborough--Guildwood/Scarborough--Guildwood"," 147","Scarborough",29,44,3,0,33,0,1,0,110,295
"Scarborough--Guildwood/Scarborough--Guildwood"," 148","Scarborough",37,34,2,1,167,0,0,1,242,511
"Scarborough--Guildwood/Scarborough--Guildwood"," 149","Scarborough",51,29,7,0,126,1,0,2,216,380
"Scarborough--Guildwood/Scarborough--Guildwood"," 150","Scarborough",63,36,11,0,77,0,1,0,188,368
"Scarborough--Guildwood/Scarborough--Guildwood"," 151","Scarborough",76,45,6,1,153,0,1,0,282,511
"Scarborough--Guildwood/Scarborough--Guildwood"," 152","Scarborough",36,42,8,2,107,0,0,1,196,390
"Scarborough--Guildwood/Scarborough--Guildwood"," 153","Scarborough",66,37,6,1,146,0,0,6,262,446
"Scarborough--Guildwood/Scarborough--Guildwood"," 154","Scarborough",79,32,14,0,91,0,0,5,221,375
"Scarborough--Guildwood/Scarborough--Guildwood"," 155","Scarborough",62,49,14,0,146,2,0,1,274,506
"Scarborough--Guildwood/Scarborough--Guildwood"," 156","Scarborough",65,47,12,0,91,1,0,0,216,333
"Scarborough--Guildwood/Scarborough--Guildwood"," 157","Scarborough",93,25,7,1,73,0,1,3,203,337
"Scarborough--Guildwood/Scarborough--Guildwood"," 400","Scarborough",40,22,2,1,40,0,2,4,111,215
"Scarborough--Guildwood/Scarborough--Guildwood"," 401","Scarborough",11,10,0,0,43,0,0,0,64,176
"Scarborough--Guildwood/Scarborough--Guildwood"," 402","Scarborough",31,11,3,0,55,0,0,2,102,264
"Scarborough--Guildwood/Scarborough--Guildwood"," 403","Scarborough",12,8,1,0,36,0,1,1,59,154
"Scarborough--Guildwood/Scarborough--Guildwood"," 404","Scarborough",21,15,2,1,67,0,1,1,108,207
"Scarborough--Guildwood/Scarborough--Guildwood"," 405","Scarborough",18,19,0,1,35,0,0,0,73,196
"Scarborough--Guildwood/Scarborough--Guildwood"," 406","Scarborough",64,32,1,0,104,0,1,5,207,446
"Scarborough--Guildwood/Scarborough--Guildwood"," 407","Scarborough",15,7,2,1,43,1,0,0,69,177
"Scarborough--Guildwood/Scarborough--Guildwood"," 408","Scarborough",30,15,1,3,83,0,0,1,133,281
"Scarborough--Guildwood/Scarborough--Guildwood"," 409","Scarborough",94,19,1,0,123,1,0,2,240,321
"Scarborough--Guildwood/Scarborough--Guildwood"," 410","Scarborough",85,20,3,0,103,0,0,0,211,322
"Scarborough--Guildwood/Scarborough--Guildwood"," 411","Scarborough",15,35,2,1,122,0,0,0,175,448
"Scarborough--Guildwood/Scarborough--Guildwood"," 412","Scarborough",39,31,3,0,129,0,1,6,209,318
"Scarborough--Guildwood/Scarborough--Guildwood"," 413","Scarborough",45,31,3,3,113,0,1,5,201,312
"Scarborough--Guildwood/Scarborough--Guildwood"," 414","Scarborough",35,23,10,0,84,0,1,1,154,258
"Scarborough--Guildwood/Scarborough--Guildwood"," 415","Scarborough",89,47,7,0,119,0,1,0,263,352
"Scarborough--Guildwood/Scarborough--Guildwood"," 500","Mobile poll/Bureau itinérant",34,15,3,3,40,0,0,8,103,171
"Scarborough--Guildwood/Scarborough--Guildwood"," 600","Toronto",186,41,10,0,234,3,0,0,474,
"Scarborough--Guildwood/Scarborough--Guildwood"," 601","Toronto",174,57,14,0,259,0,0,0,504,
"Scarborough--Guildwood/Scarborough--Guildwood"," 602","Toronto",256,71,21,1,317,0,2,3,671,
"Scarborough--Guildwood/Scarborough--Guildwood"," 603","Toronto",161,43,22,5,249,1,0,0,481,
"Scarborough--Guildwood/Scarborough--Guildwood"," 604","Toronto",49,19,9,0,119,0,4,0,200,
"Scarborough--Guildwood/Scarborough--Guildwood"," 605","Toronto",194,46,15,0,221,2,0,2,480,
"Scarborough--Guildwood/Scarborough--Guildwood"," 606","Toronto",208,59,18,0,242,1,7,2,537,
"Scarborough--Guildwood/Scarborough--Guildwood"," 607","Toronto",264,77,15,3,329,3,1,0,692,
"Scarborough--Guildwood/Scarborough--Guildwood",,Group 1/Groupe 1,22,11,1,1,37,1,0,12,85,136
"Scarborough--Guildwood/Scarborough--Guildwood",,Group 2/Groupe 2,266,83,13,1,435,2,0,20,820,
