Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Raymonde Folco,Alain Giguère,Qais Hamidi,Theodore Kouretas,Christiane Pichette,Polyvios Tsakanikas,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Laval--Les Îles/Laval--Les Îles"," 40B","Laval",59,29,69,8,151,0,6,322,496
"Laval--Les Îles/Laval--Les Îles"," 41","Laval",84,21,48,5,134,1,3,296,484
"Laval--Les Îles/Laval--Les Îles"," 42","Laval",73,28,58,10,135,0,4,308,476
"Laval--Les Îles/Laval--Les Îles"," 43","Laval",42,19,49,8,134,0,5,257,412
"Laval--Les Îles/Laval--Les Îles"," 44","Laval",55,23,33,5,148,1,6,271,417
"Laval--Les Îles/Laval--Les Îles"," 45","Laval",80,32,49,5,161,0,7,334,510
"Laval--Les Îles/Laval--Les Îles"," 46","Laval",59,12,38,0,100,0,1,210,343
"Laval--Les Îles/Laval--Les Îles"," 47","Laval",51,9,31,4,105,0,5,205,365
"Laval--Les Îles/Laval--Les Îles"," 48","Laval",42,15,31,5,74,0,2,169,272
"Laval--Les Îles/Laval--Les Îles"," 49","Laval",54,23,28,6,105,1,3,220,374
"Laval--Les Îles/Laval--Les Îles"," 50","Laval",66,8,23,7,116,0,2,222,367
"Laval--Les Îles/Laval--Les Îles"," 51","Laval",67,29,71,13,169,1,0,350,506
"Laval--Les Îles/Laval--Les Îles"," 52","Laval",69,17,62,12,125,0,3,288,398
"Laval--Les Îles/Laval--Les Îles"," 53","Laval",106,12,49,9,91,0,2,269,442
"Laval--Les Îles/Laval--Les Îles"," 54","Laval",60,17,52,11,131,1,3,275,465
"Laval--Les Îles/Laval--Les Îles"," 55","Laval",56,21,64,4,206,2,11,364,629
"Laval--Les Îles/Laval--Les Îles"," 56","Laval",Void/Supprimé,,,,,,,,
"Laval--Les Îles/Laval--Les Îles"," 57","Laval",73,8,59,9,38,0,0,187,388
"Laval--Les Îles/Laval--Les Îles"," 58","Laval",82,17,52,16,154,2,2,325,562
"Laval--Les Îles/Laval--Les Îles"," 59","Laval",90,38,45,11,148,0,2,334,495
"Laval--Les Îles/Laval--Les Îles"," 60","Laval",84,26,67,12,115,0,3,307,427
"Laval--Les Îles/Laval--Les Îles"," 61","Laval",64,29,55,6,134,1,5,294,452
"Laval--Les Îles/Laval--Les Îles"," 62","Laval",59,15,35,11,106,1,2,229,421
"Laval--Les Îles/Laval--Les Îles"," 63","Laval",54,25,37,23,118,0,4,261,419
"Laval--Les Îles/Laval--Les Îles"," 64","Laval",81,20,32,13,117,1,1,265,399
"Laval--Les Îles/Laval--Les Îles"," 65","Laval",35,12,30,7,91,0,2,177,278
"Laval--Les Îles/Laval--Les Îles"," 66","Laval",150,25,74,13,102,1,2,367,581
"Laval--Les Îles/Laval--Les Îles"," 67A","Laval",70,17,47,8,82,1,3,228,389
"Laval--Les Îles/Laval--Les Îles"," 67B","Laval",65,29,30,7,86,1,4,222,380
"Laval--Les Îles/Laval--Les Îles"," 68","Laval",31,9,24,3,121,0,2,190,351
"Laval--Les Îles/Laval--Les Îles"," 69","Laval",75,29,44,4,83,1,4,240,413
"Laval--Les Îles/Laval--Les Îles"," 70","Laval",36,14,33,2,90,0,1,176,305
"Laval--Les Îles/Laval--Les Îles"," 71","Laval",53,5,26,7,63,0,2,156,262
"Laval--Les Îles/Laval--Les Îles"," 72","Laval",30,2,29,5,86,0,4,156,266
"Laval--Les Îles/Laval--Les Îles"," 73","Laval",41,20,27,5,76,1,3,173,296
"Laval--Les Îles/Laval--Les Îles"," 74","Laval",84,37,76,15,159,0,2,373,588
"Laval--Les Îles/Laval--Les Îles"," 75","Laval",58,18,30,5,113,0,2,226,418
"Laval--Les Îles/Laval--Les Îles"," 76","Laval",38,23,23,2,114,0,2,202,388
"Laval--Les Îles/Laval--Les Îles"," 77","Laval",91,24,55,6,137,0,2,315,525
"Laval--Les Îles/Laval--Les Îles"," 78","Laval",45,17,38,10,119,0,5,234,406
"Laval--Les Îles/Laval--Les Îles"," 79","Laval",56,16,47,13,99,0,2,233,356
"Laval--Les Îles/Laval--Les Îles"," 80","Laval",109,22,6,92,0,40,2,271,486
"Laval--Les Îles/Laval--Les Îles"," 81","Laval",81,20,41,5,128,0,4,279,433
"Laval--Les Îles/Laval--Les Îles"," 82","Laval",65,21,39,11,108,0,2,246,395
"Laval--Les Îles/Laval--Les Îles"," 83","Laval",67,16,34,7,72,0,2,198,316
"Laval--Les Îles/Laval--Les Îles"," 84","Laval",73,22,39,6,84,0,0,224,379
"Laval--Les Îles/Laval--Les Îles"," 85","Laval",48,13,31,5,43,2,4,146,225
"Laval--Les Îles/Laval--Les Îles"," 86","Laval",47,21,34,4,118,0,3,227,415
"Laval--Les Îles/Laval--Les Îles"," 87","Laval",113,27,72,11,89,1,3,316,558
"Laval--Les Îles/Laval--Les Îles"," 88","Laval",187,17,64,6,19,0,5,298,614
"Laval--Les Îles/Laval--Les Îles"," 89","Laval",98,15,48,6,54,0,4,225,410
"Laval--Les Îles/Laval--Les Îles"," 90","Laval",93,8,14,3,39,0,1,158,279
"Laval--Les Îles/Laval--Les Îles"," 91","Laval",109,26,31,8,72,2,3,251,397
"Laval--Les Îles/Laval--Les Îles"," 92","Laval",129,26,49,14,80,1,5,304,552
"Laval--Les Îles/Laval--Les Îles"," 93","Laval",123,22,40,8,64,3,1,261,488
"Laval--Les Îles/Laval--Les Îles"," 94","Laval",81,32,19,5,70,1,3,211,381
"Laval--Les Îles/Laval--Les Îles"," 95","Laval",69,19,33,7,87,0,6,221,349
"Laval--Les Îles/Laval--Les Îles"," 96","Laval",113,23,55,5,87,1,7,291,489
"Laval--Les Îles/Laval--Les Îles"," 97","Laval",99,19,48,9,86,1,5,267,426
"Laval--Les Îles/Laval--Les Îles"," 98","Laval",150,24,66,14,84,4,5,347,576
"Laval--Les Îles/Laval--Les Îles"," 99","Laval",100,32,33,4,51,0,2,222,385
