Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Irwin Cotler,Neil Martin Drabkin,Guillaume Dussault,Diane Johnston,Damien Pichereau,Nicolas R. Thibodeau,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Mount Royal/Mont-Royal"," 34","Mont-Royal",133,48,26,0,8,30,1,246,501
"Mount Royal/Mont-Royal"," 35","Mont-Royal",106,23,13,1,9,11,1,164,365
"Mount Royal/Mont-Royal"," 36","Mont-Royal",138,17,8,1,7,13,0,184,514
"Mount Royal/Mont-Royal"," 37","Montréal",67,25,16,0,10,18,0,136,241
"Mount Royal/Mont-Royal"," 38","Montréal",84,21,28,0,6,20,0,159,299
"Mount Royal/Mont-Royal"," 39","Montréal",93,27,17,3,7,19,1,167,530
"Mount Royal/Mont-Royal"," 40","Montréal",161,43,25,0,10,20,3,262,584
"Mount Royal/Mont-Royal"," 41","Montréal",117,16,2,0,3,10,2,150,351
"Mount Royal/Mont-Royal"," 42","Montréal",169,33,9,1,7,11,3,233,469
"Mount Royal/Mont-Royal"," 43","Montréal",182,46,9,2,4,11,0,254,488
"Mount Royal/Mont-Royal"," 44A","Montréal",121,25,5,2,5,10,0,168,308
"Mount Royal/Mont-Royal"," 44B","Montréal",124,17,2,2,3,4,2,154,330
"Mount Royal/Mont-Royal"," 45","Montréal",181,33,3,4,4,6,2,233,484
"Mount Royal/Mont-Royal"," 46A","Montréal",109,23,8,1,0,9,1,151,327
"Mount Royal/Mont-Royal"," 46B","Montréal",89,25,4,1,2,5,0,126,312
"Mount Royal/Mont-Royal"," 47","Montréal",208,38,8,1,3,9,3,270,521
"Mount Royal/Mont-Royal"," 48A","Montréal",95,16,6,0,4,3,0,124,324
"Mount Royal/Mont-Royal"," 48B","Montréal",66,12,6,0,0,1,0,85,285
"Mount Royal/Mont-Royal"," 49A","Montréal",82,25,4,0,0,8,1,120,278
"Mount Royal/Mont-Royal"," 49B","Montréal",71,25,3,1,3,3,0,106,282
"Mount Royal/Mont-Royal"," 50","Montréal",108,30,15,1,15,12,1,182,347
"Mount Royal/Mont-Royal"," 51","Montréal",111,33,18,1,5,18,2,188,465
"Mount Royal/Mont-Royal"," 52A","Montréal",64,19,7,0,5,7,0,102,401
"Mount Royal/Mont-Royal"," 52B","Montréal",92,28,7,0,6,8,0,141,373
"Mount Royal/Mont-Royal"," 53","Montréal",179,19,13,0,3,19,4,237,437
"Mount Royal/Mont-Royal"," 54","Montréal",103,42,17,0,11,16,1,190,563
"Mount Royal/Mont-Royal"," 55","Montréal",95,37,21,0,10,26,1,190,357
"Mount Royal/Mont-Royal"," 56","Montréal",111,27,40,1,11,34,1,225,561
"Mount Royal/Mont-Royal"," 57","Montréal",110,29,32,2,8,22,1,204,444
"Mount Royal/Mont-Royal"," 58","Montréal",153,51,8,0,6,10,0,228,483
"Mount Royal/Mont-Royal"," 59","Montréal",145,43,8,2,3,22,2,225,518
"Mount Royal/Mont-Royal"," 60","Montréal",145,32,12,0,4,11,3,207,473
"Mount Royal/Mont-Royal"," 61","Montréal",59,24,2,2,0,5,2,94,319
"Mount Royal/Mont-Royal"," 62","Montréal",134,22,3,1,3,10,1,174,415
"Mount Royal/Mont-Royal"," 63","Montréal",95,42,4,0,2,9,2,154,498
"Mount Royal/Mont-Royal"," 64","Montréal",60,35,1,0,1,2,0,99,356
"Mount Royal/Mont-Royal"," 65","Montréal",95,30,2,0,5,7,0,139,435
"Mount Royal/Mont-Royal"," 66","Montréal",114,34,10,0,1,5,1,165,471
"Mount Royal/Mont-Royal"," 67A","Montréal",70,14,5,2,4,5,0,100,201
"Mount Royal/Mont-Royal"," 67B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,,6
"Mount Royal/Mont-Royal"," 68","Montréal",154,22,1,0,7,11,2,197,429
"Mount Royal/Mont-Royal"," 69","Montréal",144,42,6,1,2,5,2,202,444
"Mount Royal/Mont-Royal"," 70","Montréal",134,19,7,0,7,7,1,175,427
"Mount Royal/Mont-Royal"," 71","Montréal",122,17,3,1,3,12,1,159,354
"Mount Royal/Mont-Royal"," 72","Montréal",161,24,1,1,5,4,8,204,344
"Mount Royal/Mont-Royal"," 73","Montréal",123,32,7,2,6,17,3,190,496
"Mount Royal/Mont-Royal"," 74","Montréal",136,39,26,3,14,20,3,241,485
"Mount Royal/Mont-Royal"," 75","Montréal",127,30,30,2,12,15,3,219,356
"Mount Royal/Mont-Royal"," 76","Montréal",102,21,35,0,8,28,2,196,405
"Mount Royal/Mont-Royal"," 77","Montréal",83,31,25,2,19,27,0,187,373
"Mount Royal/Mont-Royal"," 78","Montréal",117,33,44,1,14,35,0,244,472
"Mount Royal/Mont-Royal"," 79","Montréal",73,12,31,1,8,21,2,148,395
"Mount Royal/Mont-Royal"," 80","Montréal",103,34,30,1,15,38,2,223,495
"Mount Royal/Mont-Royal"," 81","Montréal",60,7,22,2,5,18,1,115,299
"Mount Royal/Mont-Royal"," 82","Montréal",69,23,9,0,1,12,0,114,377
"Mount Royal/Mont-Royal"," 83","Montréal",46,7,8,0,2,4,0,67,320
"Mount Royal/Mont-Royal"," 84","Montréal",106,31,9,2,4,13,3,168,439
"Mount Royal/Mont-Royal"," 85","Montréal",124,35,17,3,10,19,3,211,492
"Mount Royal/Mont-Royal"," 86","Montréal",142,51,26,0,9,17,3,248,527
"Mount Royal/Mont-Royal"," 87","Montréal",90,33,22,0,16,33,1,195,435
"Mount Royal/Mont-Royal"," 88","Montréal",54,27,23,0,10,26,0,140,295
"Mount Royal/Mont-Royal"," 89","Montréal",51,8,31,1,11,18,0,120,290
"Mount Royal/Mont-Royal"," 90","Montréal",84,21,6,0,8,15,1,135,294
"Mount Royal/Mont-Royal"," 91","Montréal",92,33,16,1,10,26,0,178,396
"Mount Royal/Mont-Royal"," 92","Montréal",89,23,19,1,11,13,1,157,451
"Mount Royal/Mont-Royal"," 93","Montréal",119,30,11,0,5,14,1,180,503
"Mount Royal/Mont-Royal"," 94A","Côte-Saint-Luc",89,34,1,0,4,6,0,134,249
"Mount Royal/Mont-Royal"," 94B","Côte-Saint-Luc",66,23,2,0,5,8,2,106,201
"Mount Royal/Mont-Royal"," 95","Hampstead",79,36,3,0,5,11,2,136,349
"Mount Royal/Mont-Royal"," 96","Hampstead",145,32,7,2,9,11,4,210,567
"Mount Royal/Mont-Royal"," 97","Côte-Saint-Luc",53,16,1,0,4,7,1,82,269
"Mount Royal/Mont-Royal"," 98A","Côte-Saint-Luc",63,20,4,1,6,7,0,101,295
"Mount Royal/Mont-Royal"," 98B","Côte-Saint-Luc",53,8,5,1,3,8,0,78,293
"Mount Royal/Mont-Royal"," 99","Hampstead",106,22,9,1,15,17,0,170,391
"Mount Royal/Mont-Royal"," 100","Hampstead",89,15,8,0,11,17,0,140,380
"Mount Royal/Mont-Royal"," 101","Hampstead",110,38,9,0,20,15,1,193,432
"Mount Royal/Mont-Royal"," 102","Hampstead",161,40,7,1,12,5,0,226,420
"Mount Royal/Mont-Royal"," 103","Hampstead",94,30,0,0,1,2,0,127,369
"Mount Royal/Mont-Royal"," 104","Hampstead",84,15,1,0,2,2,0,104,317
"Mount Royal/Mont-Royal"," 105","Hampstead",140,35,0,0,4,6,0,185,476
"Mount Royal/Mont-Royal"," 106","Hampstead",101,21,0,0,1,1,1,125,344
"Mount Royal/Mont-Royal"," 107","Hampstead",122,41,5,0,11,4,2,185,366
"Mount Royal/Mont-Royal"," 108","Hampstead",111,22,0,0,6,14,0,153,435
"Mount Royal/Mont-Royal"," 109","Hampstead",93,27,1,0,4,3,0,128,282
"Mount Royal/Mont-Royal"," 110","Hampstead",137,16,0,0,2,2,0,157,369
"Mount Royal/Mont-Royal"," 111","Côte-Saint-Luc",128,56,0,0,4,4,0,192,484
"Mount Royal/Mont-Royal"," 112","Côte-Saint-Luc",87,9,0,0,0,4,1,101,404
"Mount Royal/Mont-Royal"," 113A","Côte-Saint-Luc",84,19,0,0,2,6,0,111,308
"Mount Royal/Mont-Royal"," 113B","Côte-Saint-Luc",79,22,0,0,1,2,0,104,311
"Mount Royal/Mont-Royal"," 114","Côte-Saint-Luc",160,34,0,0,2,2,0,198,433
"Mount Royal/Mont-Royal"," 115","Côte-Saint-Luc",63,16,2,0,6,1,0,88,221
"Mount Royal/Mont-Royal"," 116","Côte-Saint-Luc",73,33,0,0,3,1,0,110,430
"Mount Royal/Mont-Royal"," 117","Côte-Saint-Luc",97,25,2,0,2,4,0,130,435
"Mount Royal/Mont-Royal"," 118","Côte-Saint-Luc",133,24,1,0,4,2,0,164,447
"Mount Royal/Mont-Royal"," 119A","Côte-Saint-Luc",101,18,2,0,2,1,1,125,315
"Mount Royal/Mont-Royal"," 119B","Côte-Saint-Luc",89,29,0,0,3,1,3,125,287
"Mount Royal/Mont-Royal"," 120","Côte-Saint-Luc",119,34,3,1,3,9,2,171,417
"Mount Royal/Mont-Royal"," 121","Côte-Saint-Luc",85,26,2,3,0,3,3,122,303
"Mount Royal/Mont-Royal"," 122","Côte-Saint-Luc",71,7,4,0,3,5,2,92,213
"Mount Royal/Mont-Royal"," 123","Côte-Saint-Luc",Merged with No. 122/Fusionné avec le nº 122,,,,,,,,120
"Mount Royal/Mont-Royal"," 124A","Côte-Saint-Luc",103,32,3,0,4,6,1,149,296
"Mount Royal/Mont-Royal"," 124B","Côte-Saint-Luc",73,10,0,0,3,4,1,91,321
"Mount Royal/Mont-Royal"," 125","Côte-Saint-Luc",151,40,0,0,9,8,0,208,372
"Mount Royal/Mont-Royal"," 126","Côte-Saint-Luc",125,29,0,0,1,5,0,160,408
"Mount Royal/Mont-Royal"," 127","Côte-Saint-Luc",136,42,0,2,7,7,1,195,404
"Mount Royal/Mont-Royal"," 128","Côte-Saint-Luc",111,36,2,0,3,5,2,159,356
"Mount Royal/Mont-Royal"," 129","Côte-Saint-Luc",91,38,6,0,2,14,1,152,327
"Mount Royal/Mont-Royal"," 130","Côte-Saint-Luc",123,30,1,0,1,16,0,171,337
"Mount Royal/Mont-Royal"," 131","Côte-Saint-Luc",128,39,2,1,16,22,0,208,418
"Mount Royal/Mont-Royal"," 132","Côte-Saint-Luc",113,34,1,0,3,7,2,160,418
"Mount Royal/Mont-Royal"," 133","Côte-Saint-Luc",139,33,2,0,10,13,0,197,386
"Mount Royal/Mont-Royal"," 134","Côte-Saint-Luc",115,45,3,0,5,8,1,177,351
"Mount Royal/Mont-Royal"," 135","Côte-Saint-Luc",124,49,1,0,3,7,0,184,387
"Mount Royal/Mont-Royal"," 136","Côte-Saint-Luc",131,24,0,0,2,9,1,167,429
"Mount Royal/Mont-Royal"," 137","Côte-Saint-Luc",116,24,2,0,1,1,0,144,380
"Mount Royal/Mont-Royal"," 138","Côte-Saint-Luc",91,21,5,1,1,3,0,122,349
"Mount Royal/Mont-Royal"," 139","Côte-Saint-Luc",Merged with No. 138/Fusionné avec le nº 138,,,,,,,,20
"Mount Royal/Mont-Royal"," 140A","Côte-Saint-Luc",84,41,0,0,3,5,0,133,387
"Mount Royal/Mont-Royal"," 140B","Côte-Saint-Luc",92,34,0,0,1,3,0,130,403
"Mount Royal/Mont-Royal"," 141","Côte-Saint-Luc",158,35,0,0,10,6,3,212,431
"Mount Royal/Mont-Royal"," 142","Côte-Saint-Luc",128,43,1,0,12,6,0,190,473
"Mount Royal/Mont-Royal"," 143","Côte-Saint-Luc",141,30,3,0,2,4,1,181,359
"Mount Royal/Mont-Royal"," 144","Côte-Saint-Luc",106,24,4,1,0,5,3,143,267
"Mount Royal/Mont-Royal"," 145","Côte-Saint-Luc",100,40,2,0,1,0,1,144,359
"Mount Royal/Mont-Royal"," 146","Côte-Saint-Luc",108,38,0,0,4,4,0,154,391
"Mount Royal/Mont-Royal"," 147","Côte-Saint-Luc",122,28,1,0,5,6,0,162,350
"Mount Royal/Mont-Royal"," 148","Côte-Saint-Luc",124,33,1,0,0,3,0,161,383
"Mount Royal/Mont-Royal"," 149","Côte-Saint-Luc",127,43,1,0,4,4,0,179,408
"Mount Royal/Mont-Royal"," 150","Côte-Saint-Luc",72,16,1,0,4,2,0,95,302
"Mount Royal/Mont-Royal"," 151","Côte-Saint-Luc",161,30,1,0,3,9,1,205,440
"Mount Royal/Mont-Royal"," 152","Côte-Saint-Luc",120,19,1,0,4,5,2,151,342
"Mount Royal/Mont-Royal"," 153","Côte-Saint-Luc",128,32,3,1,7,7,0,178,367
"Mount Royal/Mont-Royal"," 154A","Côte-Saint-Luc",108,23,3,0,8,9,0,151,324
"Mount Royal/Mont-Royal"," 154B","Côte-Saint-Luc",105,17,1,2,3,11,3,142,297
"Mount Royal/Mont-Royal"," 155","Côte-Saint-Luc",189,49,0,0,10,13,1,262,449
"Mount Royal/Mont-Royal"," 156","Côte-Saint-Luc",147,44,1,1,4,8,0,205,478
"Mount Royal/Mont-Royal"," 157","Côte-Saint-Luc",86,26,0,0,4,9,3,128,289
"Mount Royal/Mont-Royal"," 158","Côte-Saint-Luc",131,25,2,0,6,13,1,178,325
"Mount Royal/Mont-Royal"," 159A","Côte-Saint-Luc",67,21,1,0,3,16,1,109,315
"Mount Royal/Mont-Royal"," 159B","Côte-Saint-Luc",78,19,1,1,3,5,0,107,290
"Mount Royal/Mont-Royal"," 160","Côte-Saint-Luc",181,41,0,0,5,15,5,247,469
"Mount Royal/Mont-Royal"," 161","Côte-Saint-Luc",128,35,4,3,11,12,5,198,499
"Mount Royal/Mont-Royal"," 400","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,,217
"Mount Royal/Mont-Royal"," 401","Hampstead",35,12,0,0,2,3,0,52,323
"Mount Royal/Mont-Royal"," 402","Côte-Saint-Luc",63,8,0,0,1,5,0,77,264
"Mount Royal/Mont-Royal"," 403","Côte-Saint-Luc",56,7,1,0,0,1,0,65,244
"Mount Royal/Mont-Royal"," 404","Côte-Saint-Luc",53,9,2,1,6,4,0,75,244
"Mount Royal/Mont-Royal"," 405","Côte-Saint-Luc",39,9,0,0,0,1,3,52,241
"Mount Royal/Mont-Royal"," 406","Côte-Saint-Luc",55,5,2,0,2,1,0,65,258
"Mount Royal/Mont-Royal"," 407","Côte-Saint-Luc",165,42,2,0,7,9,2,227,281
"Mount Royal/Mont-Royal"," 408","Côte-Saint-Luc",99,11,1,1,1,0,0,113,326
"Mount Royal/Mont-Royal"," 409","Côte-Saint-Luc",114,18,4,0,2,1,1,140,321
"Mount Royal/Mont-Royal"," 410","Côte-Saint-Luc",51,15,1,1,0,5,0,73,222
"Mount Royal/Mont-Royal"," 500","Mobile poll/Bureau itinérant",67,20,5,0,0,3,0,95,149
"Mount Royal/Mont-Royal"," 600","Montréal",329,167,53,2,25,41,5,622,
"Mount Royal/Mont-Royal"," 601","Montréal",406,167,41,1,26,49,3,693,
"Mount Royal/Mont-Royal"," 602","Montréal",126,32,11,2,11,13,0,195,
"Mount Royal/Mont-Royal"," 603","Montréal",188,51,17,2,6,8,0,272,
"Mount Royal/Mont-Royal"," 604","Montréal",155,26,37,0,7,14,1,240,
"Mount Royal/Mont-Royal"," 605","Montréal",232,48,15,0,12,13,4,324,
"Mount Royal/Mont-Royal"," 606","Montréal",504,104,1,0,15,15,4,643,
"Mount Royal/Mont-Royal"," 607","Montréal",315,83,3,0,8,7,0,416,
"Mount Royal/Mont-Royal"," 608","Montréal",192,39,2,1,9,7,1,251,
"Mount Royal/Mont-Royal"," 609","Montréal",320,52,1,0,6,13,0,392,
"Mount Royal/Mont-Royal"," 610","Montréal",200,45,0,0,8,17,1,271,
"Mount Royal/Mont-Royal",,Group 1/Groupe 1,49,7,6,0,7,6,5,80,141
"Mount Royal/Mont-Royal",,Group 2/Groupe 2,1861,172,54,4,28,60,22,2201,
