Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ed Baye,Ron Gray,Malcolm James,Dorothy-Jean O'Donnell,Chuck Strahl,Myra Sweeney,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 71A","Chilliwack",2,5,51,0,107,29,0,194,369
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 71B","Chilliwack",3,0,42,1,134,33,0,213,370
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 72","Chilliwack",3,2,35,2,62,36,0,140,251
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 73","Chilliwack",6,2,49,0,91,45,0,193,380
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 74","Chilliwack",15,2,49,0,124,36,0,226,398
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 75","Chilliwack",10,1,52,0,127,40,1,231,468
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 76A","Chilliwack",6,0,28,0,94,25,0,153,279
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 76B","Chilliwack",7,4,31,0,94,20,0,156,285
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 77","Chilliwack",4,0,38,0,155,58,0,255,477
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 78","Chilliwack",1,1,30,0,93,29,1,155,266
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 79A","Chilliwack",13,3,43,0,111,36,0,206,300
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 79B","Chilliwack",7,4,26,2,102,47,0,188,312
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 80","Chilliwack",8,5,55,0,190,31,0,289,447
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 81","Chilliwack",9,5,42,0,130,38,0,224,384
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 82","Chilliwack",10,5,46,0,164,55,0,280,456
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 83","Chilliwack",5,7,67,0,168,41,1,289,507
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 84A","Chilliwack",3,5,30,0,119,38,0,195,334
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 84B","Chilliwack",13,6,15,0,99,30,1,164,313
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 85","Chilliwack",2,5,45,2,132,38,0,224,461
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 86","Chilliwack",3,2,31,0,78,28,0,142,305
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 87A","Chilliwack",0,4,27,0,79,26,0,136,279
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 87B","Chilliwack",3,4,25,0,74,14,0,120,297
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 88","Chilliwack",9,1,39,0,123,19,0,191,363
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 89","Chilliwack",13,3,33,1,155,60,0,265,445
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 90A","Chilliwack",10,8,55,0,195,40,0,308,417
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 90B","Chilliwack",7,4,58,0,178,54,0,301,483
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 90C","Mobile poll/Bureau itinérant",Merged with No. 502A/Fusionné avec le nº 502A,,,,,,,,40
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 91","Chilliwack",6,3,46,0,149,30,0,234,362
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 92","Chilliwack",9,4,35,0,146,42,1,237,394
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 93A","Chilliwack",4,6,25,0,129,33,0,197,313
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 93B","Chilliwack",6,1,28,0,104,37,0,176,299
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 94A","Chilliwack",4,2,14,0,117,17,0,154,317
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 94B","Chilliwack",2,11,24,0,98,12,0,147,299
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 95A","Chilliwack",10,6,24,0,113,15,0,168,331
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 95B","Chilliwack",3,11,22,0,125,36,0,197,316
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 96","Chilliwack",3,32,34,0,148,29,2,248,441
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 97","Chilliwack",6,38,33,0,187,30,0,294,432
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 98","Chilliwack",7,19,30,1,181,22,1,261,452
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 99","Chilliwack",4,23,28,0,210,29,0,294,464
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 100","Chilliwack",2,19,19,0,234,13,0,287,441
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 101","Chilliwack",4,24,34,0,230,40,0,332,509
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 102","Chilliwack",11,9,51,0,185,25,1,282,456
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 103","Chilliwack",4,6,42,0,141,26,1,220,474
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 104","Chilliwack",11,6,44,0,66,27,0,154,383
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 105","Chilliwack",10,5,48,0,197,42,0,302,544
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 106A","Chilliwack",5,1,22,0,83,29,0,140,308
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 106B","Chilliwack",5,0,27,0,103,32,0,167,290
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 107","Chilliwack",1,0,26,0,78,21,1,127,310
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 108","Chilliwack",6,3,47,1,113,41,0,211,390
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 109","Chilliwack",6,7,62,1,137,40,0,253,413
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 110","Chilliwack",7,8,52,0,88,30,1,186,374
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 111","Chilliwack",11,3,39,1,105,34,0,193,496
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 112","Chilliwack",4,0,22,0,119,25,1,171,312
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 113","Chilliwack",2,7,45,1,165,45,0,265,465
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 114","Chilliwack",12,5,29,1,118,49,0,214,414
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 115","Chilliwack",15,4,39,0,143,31,0,232,382
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 116","Chilliwack",16,3,37,0,136,29,1,222,393
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 117","Chilliwack",8,6,44,0,182,31,0,271,539
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 118","Chilliwack",4,8,37,0,129,24,1,203,352
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 119","Chilliwack",6,6,42,1,87,33,0,175,371
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 120","Chilliwack",9,4,25,1,64,24,0,127,318
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 121","Chilliwack",9,0,33,0,80,34,0,156,327
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 122","Chilliwack",9,5,39,0,74,36,1,164,417
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 123","Chilliwack",15,9,33,1,124,37,0,219,419
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 124A","Chilliwack",9,8,35,2,116,42,0,212,406
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 124B","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,,,130
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 125","Chilliwack",12,6,47,0,121,32,0,218,431
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 126","Chilliwack",7,3,35,0,97,45,0,187,367
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 127","Chilliwack",9,0,30,0,87,29,0,155,357
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 128A","Chilliwack",6,3,38,0,66,25,2,140,287
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 128B","Chilliwack",8,1,21,3,75,33,0,141,291
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 129","Chilliwack",4,3,32,0,107,16,0,162,351
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 130","Chilliwack",12,6,48,0,103,34,1,204,477
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 131","Chilliwack",11,3,51,0,60,27,1,153,394
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 132","Chilliwack",7,3,49,1,113,37,0,210,405
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 133","Chilliwack",7,2,56,1,92,37,0,195,353
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 134","Chilliwack",11,2,46,0,110,49,0,218,443
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 135","Chilliwack",14,6,61,0,93,33,0,207,360
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 136","Chilliwack",12,3,37,0,78,24,0,154,331
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 137","Chilliwack",8,2,35,0,49,8,0,102,276
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 138","Chilliwack",9,3,44,2,71,15,5,149,336
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 139","Chilliwack",9,4,33,1,142,34,0,223,372
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 140","Chilliwack",11,7,42,1,136,29,0,226,346
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 141","Chilliwack",6,2,59,1,167,24,0,259,382
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 142","Chilliwack",8,5,46,0,129,29,0,217,387
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 143","Chilliwack",5,3,23,0,134,31,0,196,332
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 144","Chilliwack",21,4,52,0,135,27,0,239,372
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 145","Chilliwack",9,5,62,0,172,47,1,296,468
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 146","Chilliwack",5,11,28,0,97,28,0,169,311
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 147","Chilliwack",5,4,17,0,64,17,0,107,210
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 148","Chilliwack",6,1,36,1,56,17,0,117,247
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 149","Chilliwack",14,2,50,1,175,43,0,285,502
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 150","Chilliwack",7,3,46,0,115,29,0,200,461
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 151A","Chilliwack",4,3,38,0,89,15,2,151,288
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 151B","Chilliwack",5,2,29,0,95,19,0,150,264
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 152","Chilliwack",10,5,36,0,127,25,0,203,415
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 153","Chilliwack",8,3,56,0,122,46,0,235,422
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 154","Chilliwack",9,14,41,0,160,31,0,255,447
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 155A","Chilliwack",7,2,20,0,139,35,0,203,311
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 155B","Chilliwack",4,1,35,0,126,29,0,195,315
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 156","Dewdney",13,1,41,0,79,27,0,161,325
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 157","Dewdney",5,2,8,0,34,13,1,63,99
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 158","Dewdney",4,3,31,0,90,36,0,164,272
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 159","Nicomen",8,2,69,1,146,66,0,292,452
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 160A","Deroche",5,3,49,0,50,42,0,149,284
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 160B","Deroche",4,1,52,1,65,29,0,152,267
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 161","Lake Errock",15,0,62,1,69,24,0,171,347
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 162","Chilliwack",15,16,42,0,188,26,1,288,450
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 163","Chilliwack",4,15,34,0,223,35,0,311,469
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 164","Chilliwack",4,12,24,1,157,25,0,223,359
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 165","Chilliwack",10,4,31,0,187,36,2,270,466
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 166","Chilliwack",5,3,45,0,194,49,0,296,481
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 167","Chilliwack",9,11,60,0,176,41,0,297,449
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 168A","Chilliwack",1,2,20,0,102,37,0,162,282
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 168B","Chilliwack",9,3,27,1,107,33,0,180,278
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 169A","Chilliwack",11,4,37,0,140,27,2,221,326
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 169B","Chilliwack",6,3,24,1,162,27,0,223,356
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 170A","Chilliwack",5,0,33,2,101,28,0,169,275
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 170B","Chilliwack",5,2,19,0,105,28,0,159,282
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 171","Chilliwack",7,4,25,1,95,15,0,147,297
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 172","Chilliwack",11,12,38,1,177,36,2,277,430
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 173","Chilliwack",11,6,62,1,182,33,1,296,438
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 174","Chilliwack",14,10,30,0,168,44,0,266,416
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 175","Chilliwack",20,6,31,0,217,25,0,299,486
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 176","Cultus Lake",10,0,60,3,96,46,4,219,356
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 177","Cultus Lake",3,0,25,1,7,14,0,50,98
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 178A","Cultus Lake",8,2,42,0,95,26,0,173,303
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 178B","Cultus Lake",13,2,35,0,84,32,0,166,293
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 179","Lindell Beach",14,2,64,1,158,56,0,295,466
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 180","Slesse Park",7,2,30,0,160,29,0,228,361
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 181","Slesse Park",8,2,23,0,54,14,0,101,163
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 182","Slesse Park",24,1,53,0,133,45,0,256,409
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 500","Mobile poll/Bureau itinérant",0,2,16,0,19,16,0,53,49
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 501","Mobile poll/Bureau itinérant",4,1,28,3,83,31,5,155,122
