Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Alan Hill,Rakesh Khosla,Geoff Regan,Thomas Trappenberg,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Halifax West/Halifax-Ouest"," 36","Halifax",47,65,143,4,1,260,396
"Halifax West/Halifax-Ouest"," 37","Halifax",35,67,91,7,2,202,259
"Halifax West/Halifax-Ouest"," 38","Halifax",36,58,114,14,0,222,410
"Halifax West/Halifax-Ouest"," 39","Halifax",47,45,124,6,0,222,435
"Halifax West/Halifax-Ouest"," 40A","Halifax",Merged with No. 37/Fusionné avec le nº 37,,,,,,188
"Halifax West/Halifax-Ouest"," 40B","Halifax",40,45,97,0,0,182,418
"Halifax West/Halifax-Ouest"," 41A","Halifax",38,79,152,11,1,281,501
"Halifax West/Halifax-Ouest"," 41B","Mobile poll/Bureau itinérant",Merged with No. 102E/Fusionné avec le nº 102E,,,,,,58
"Halifax West/Halifax-Ouest"," 42","Halifax",14,78,153,5,0,250,465
"Halifax West/Halifax-Ouest"," 43","Halifax",38,83,163,11,3,298,600
"Halifax West/Halifax-Ouest"," 44","Halifax",51,86,167,11,0,315,554
"Halifax West/Halifax-Ouest"," 45","Halifax",36,43,121,4,1,205,441
"Halifax West/Halifax-Ouest"," 46A","Halifax",42,57,112,4,0,215,421
"Halifax West/Halifax-Ouest"," 46B","Halifax",54,46,129,7,0,236,495
"Halifax West/Halifax-Ouest"," 46C","Halifax",33,51,101,5,1,191,379
"Halifax West/Halifax-Ouest"," 47","Halifax",48,35,95,1,1,180,442
"Halifax West/Halifax-Ouest"," 48","Halifax",39,96,178,8,0,321,499
"Halifax West/Halifax-Ouest"," 49A","Halifax",68,68,151,7,0,294,508
"Halifax West/Halifax-Ouest"," 49B","Halifax",76,61,129,6,1,273,539
"Halifax West/Halifax-Ouest"," 50","Halifax",Merged with No. 49B/Fusionné avec le nº 49B,,,,,,12
"Halifax West/Halifax-Ouest"," 51","Halifax",Void/Supprimé,,,,,,
"Halifax West/Halifax-Ouest"," 52","Halifax",39,50,98,9,0,196,336
"Halifax West/Halifax-Ouest"," 53A","Halifax",52,66,169,8,1,296,533
"Halifax West/Halifax-Ouest"," 53B","Halifax",46,53,160,17,2,278,543
"Halifax West/Halifax-Ouest"," 54","Halifax",85,61,139,13,1,299,457
"Halifax West/Halifax-Ouest"," 55","Halifax",49,26,96,6,1,178,386
"Halifax West/Halifax-Ouest"," 56A","Halifax",36,37,100,1,2,176,373
"Halifax West/Halifax-Ouest"," 56B","Halifax",64,35,82,3,1,185,373
"Halifax West/Halifax-Ouest"," 57","Halifax",57,27,83,3,2,172,315
"Halifax West/Halifax-Ouest"," 58","Halifax",69,35,86,9,0,199,483
"Halifax West/Halifax-Ouest"," 59","Halifax",Merged with No. 60/Fusionné avec le nº 60,,,,,,132
"Halifax West/Halifax-Ouest"," 60","Halifax",26,47,125,6,2,206,269
"Halifax West/Halifax-Ouest"," 61A","Halifax",25,30,91,2,0,148,304
"Halifax West/Halifax-Ouest"," 61B","Halifax",26,26,82,4,1,139,308
"Halifax West/Halifax-Ouest"," 62A","Halifax",65,40,111,8,0,224,542
"Halifax West/Halifax-Ouest"," 62B","Halifax",72,52,141,9,0,274,605
"Halifax West/Halifax-Ouest"," 63","Halifax",56,62,130,14,0,262,415
"Halifax West/Halifax-Ouest"," 64A","Halifax",67,40,95,6,0,208,394
"Halifax West/Halifax-Ouest"," 64B","Halifax",62,49,109,8,2,230,430
"Halifax West/Halifax-Ouest"," 65","Halifax",86,66,204,13,0,369,666
"Halifax West/Halifax-Ouest"," 66","Halifax",40,59,107,14,0,220,405
"Halifax West/Halifax-Ouest"," 67","Halifax",28,68,111,10,1,218,332
"Halifax West/Halifax-Ouest"," 68","Halifax",67,26,73,5,0,171,402
"Halifax West/Halifax-Ouest"," 69","Halifax",41,16,70,9,2,138,341
"Halifax West/Halifax-Ouest"," 70","Halifax",54,41,69,5,0,169,317
"Halifax West/Halifax-Ouest"," 71","Halifax",42,41,87,5,2,177,347
"Halifax West/Halifax-Ouest"," 72","Halifax",52,45,125,5,1,228,476
"Halifax West/Halifax-Ouest"," 73","Halifax",60,69,147,15,0,291,433
"Halifax West/Halifax-Ouest"," 74","Halifax",57,42,86,3,1,189,326
"Halifax West/Halifax-Ouest"," 75","Halifax",75,81,171,3,2,332,576
"Halifax West/Halifax-Ouest"," 76","Halifax",67,53,122,9,2,253,524
"Halifax West/Halifax-Ouest"," 77","Halifax",37,52,177,8,0,274,460
"Halifax West/Halifax-Ouest"," 78","Halifax",60,68,125,14,1,268,492
"Halifax West/Halifax-Ouest"," 79","Halifax",46,34,78,7,0,165,411
"Halifax West/Halifax-Ouest"," 80","Halifax",65,53,145,5,0,268,567
"Halifax West/Halifax-Ouest"," 81","Halifax",57,16,44,11,1,129,439
"Halifax West/Halifax-Ouest"," 82","Halifax",58,11,51,6,0,126,321
"Halifax West/Halifax-Ouest"," 83","Halifax",35,12,46,5,0,98,304
"Halifax West/Halifax-Ouest"," 84","Halifax",77,33,69,3,0,182,308
"Halifax West/Halifax-Ouest"," 85","Halifax",46,19,49,6,0,120,290
"Halifax West/Halifax-Ouest"," 86","Halifax",80,49,112,10,2,253,514
"Halifax West/Halifax-Ouest"," 87","Halifax",73,14,69,7,1,164,523
"Halifax West/Halifax-Ouest"," 88","Halifax",74,31,72,2,0,179,346
"Halifax West/Halifax-Ouest"," 89","Halifax",73,33,96,8,1,211,381
"Halifax West/Halifax-Ouest"," 90","Halifax",63,28,93,8,2,194,346
"Halifax West/Halifax-Ouest"," 91","Halifax",63,23,49,2,0,137,375
"Halifax West/Halifax-Ouest"," 92","Halifax",72,26,64,8,0,170,324
"Halifax West/Halifax-Ouest"," 93","Halifax",92,27,72,12,0,203,460
"Halifax West/Halifax-Ouest"," 94","Halifax",62,19,72,2,0,155,330
"Halifax West/Halifax-Ouest"," 95","Halifax",56,33,89,11,1,190,423
"Halifax West/Halifax-Ouest"," 96","Halifax",97,41,143,8,1,290,468
"Halifax West/Halifax-Ouest"," 97","Halifax",61,34,114,5,1,215,350
"Halifax West/Halifax-Ouest"," 98","Halifax",83,40,99,13,2,237,400
"Halifax West/Halifax-Ouest"," 99","Halifax",70,53,127,6,1,257,386
"Halifax West/Halifax-Ouest"," 100","Halifax",24,58,105,5,0,192,386
"Halifax West/Halifax-Ouest"," 101","Halifax",44,34,99,8,0,185,379
"Halifax West/Halifax-Ouest"," 102A","Halifax",48,36,126,5,0,215,419
"Halifax West/Halifax-Ouest"," 102B","Halifax",69,49,114,7,1,240,498
"Halifax West/Halifax-Ouest"," 102C","Halifax",51,52,84,5,0,192,352
"Halifax West/Halifax-Ouest"," 102D","Halifax",47,41,100,9,0,197,374
"Halifax West/Halifax-Ouest"," 102E","Mobile poll/Bureau itinérant",18,34,104,1,4,161,211
"Halifax West/Halifax-Ouest"," 103A","Halifax",21,46,79,5,4,155,192
"Halifax West/Halifax-Ouest"," 103B","Halifax",44,32,65,4,0,145,308
"Halifax West/Halifax-Ouest"," 103C","Halifax",42,68,128,5,1,244,402
"Halifax West/Halifax-Ouest"," 103D","Halifax",57,69,169,9,4,308,535
"Halifax West/Halifax-Ouest"," 103E","Halifax",59,55,136,6,1,257,485
"Halifax West/Halifax-Ouest"," 104","Halifax",39,31,61,6,2,139,233
"Halifax West/Halifax-Ouest"," 105A","Halifax",Merged with No. 104/Fusionné avec le nº 104,,,,,,215
"Halifax West/Halifax-Ouest"," 105B","Halifax",59,20,64,6,0,149,462
"Halifax West/Halifax-Ouest"," 106","Halifax",53,36,81,7,1,178,378
"Halifax West/Halifax-Ouest"," 107","Halifax",47,48,101,3,0,199,437
"Halifax West/Halifax-Ouest"," 108","Halifax",25,18,30,1,0,74,274
"Halifax West/Halifax-Ouest"," 109","Halifax",34,26,65,4,1,130,359
"Halifax West/Halifax-Ouest"," 110","Halifax",58,44,107,5,0,214,450
"Halifax West/Halifax-Ouest"," 111","Halifax",55,40,59,2,1,157,526
"Halifax West/Halifax-Ouest"," 112A","Halifax",Merged with No. 106/Fusionné avec le nº 106,,,,,,113
"Halifax West/Halifax-Ouest"," 112B","Halifax",70,22,88,10,1,191,507
"Halifax West/Halifax-Ouest"," 113A","Halifax",66,38,94,3,2,203,379
"Halifax West/Halifax-Ouest"," 113B","Halifax",69,53,96,5,0,223,398
"Halifax West/Halifax-Ouest"," 114","Halifax",100,78,141,10,0,329,518
"Halifax West/Halifax-Ouest"," 115","Halifax",116,39,127,3,1,286,525
"Halifax West/Halifax-Ouest"," 116A","Halifax",94,62,109,3,0,268,475
"Halifax West/Halifax-Ouest"," 116B","Halifax",72,43,118,7,0,240,418
"Halifax West/Halifax-Ouest"," 117","Halifax",83,47,110,6,0,246,432
"Halifax West/Halifax-Ouest"," 118","Halifax",Merged with No. 119A/Fusionné avec le nº 119A,,,,,,204
"Halifax West/Halifax-Ouest"," 119A","Halifax",69,53,103,10,0,235,207
"Halifax West/Halifax-Ouest"," 119B","Halifax",89,51,110,13,0,263,478
"Halifax West/Halifax-Ouest"," 120","Halifax",112,47,161,10,1,331,589
"Halifax West/Halifax-Ouest"," 121","Halifax",50,55,68,2,0,175,274
"Halifax West/Halifax-Ouest"," 122","Halifax",113,38,78,8,0,237,481
"Halifax West/Halifax-Ouest"," 123","Halifax",75,32,44,6,1,158,308
"Halifax West/Halifax-Ouest"," 124A","Halifax",68,52,133,2,0,255,519
"Halifax West/Halifax-Ouest"," 124B","Halifax",68,66,134,2,0,270,538
"Halifax West/Halifax-Ouest"," 125A","Tantallon",62,44,82,8,0,196,326
"Halifax West/Halifax-Ouest"," 125B","Tantallon",51,42,96,11,0,200,318
"Halifax West/Halifax-Ouest"," 126","Tantallon",101,52,102,11,0,266,443
"Halifax West/Halifax-Ouest"," 127","Hubley",54,66,127,8,0,255,418
"Halifax West/Halifax-Ouest"," 128","Tantallon",79,41,83,11,1,215,329
"Halifax West/Halifax-Ouest"," 129","Hubley",88,68,101,10,0,267,439
"Halifax West/Halifax-Ouest"," 130","Goodwood",48,25,77,4,1,155,359
"Halifax West/Halifax-Ouest"," 131","Harrietsfield",Void/Supprimé,,,,,,
"Halifax West/Halifax-Ouest"," 132","Hatchet Lake",67,42,86,13,0,208,344
"Halifax West/Halifax-Ouest"," 133","Goodwood",61,39,78,4,0,182,319
"Halifax West/Halifax-Ouest"," 134","Brookside",117,66,133,12,1,329,498
"Halifax West/Halifax-Ouest"," 135","Brookside",64,38,99,3,0,204,314
"Halifax West/Halifax-Ouest"," 136","Whites Lake",97,49,85,9,3,243,421
"Halifax West/Halifax-Ouest"," 137A","Brookside",93,40,91,2,0,226,396
"Halifax West/Halifax-Ouest"," 137B","Brookside",95,45,94,16,1,251,405
"Halifax West/Halifax-Ouest"," 138","Brookside",Void/Supprimé,,,,,,
"Halifax West/Halifax-Ouest"," 139","Shad Bay",115,38,126,13,1,293,497
"Halifax West/Halifax-Ouest"," 140","Prospect",108,45,150,21,0,324,561
"Halifax West/Halifax-Ouest"," 141","Whites Lake",78,32,96,11,0,217,428
"Halifax West/Halifax-Ouest"," 142","Prospect",125,40,116,17,1,299,495
"Halifax West/Halifax-Ouest"," 143","Terence Bay",95,55,106,9,1,266,432
"Halifax West/Halifax-Ouest"," 400","Mobile poll/Bureau itinérant",Merged with No. 102E/Fusionné avec le nº 102E,,,,,,84
"Halifax West/Halifax-Ouest"," 600","Hammond Plains",108,263,366,14,0,751,
"Halifax West/Halifax-Ouest"," 601","Bedford",178,443,772,39,5,1437,
"Halifax West/Halifax-Ouest"," 602","Clayton Park",118,260,441,28,4,851,
"Halifax West/Halifax-Ouest"," 603","Clayton Park",141,225,444,22,0,832,
"Halifax West/Halifax-Ouest"," 604","Fairview--Clayton Park",176,152,255,21,4,608,
"Halifax West/Halifax-Ouest"," 605","Clayton Park",132,182,363,19,0,696,
"Halifax West/Halifax-Ouest"," 606","Timberlea--Hubley",179,189,294,14,3,679,
"Halifax West/Halifax-Ouest"," 607","Prospect--Terrance Bay",94,76,188,13,0,371,
"Halifax West/Halifax-Ouest",,Group 1/Groupe 1,28,102,97,10,4,241,698
"Halifax West/Halifax-Ouest",,Group 2/Groupe 2,168,336,673,31,16,1224,
