Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Carl Danis,Luc Malo,Jean-Félix Racicot,Simon Vallée,Alanna Woods,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 69","Varennes",8,133,47,8,9,2,207,336
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 70","Varennes",4,92,39,16,4,2,157,256
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 71A","Varennes",8,152,64,18,11,4,257,405
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 71B","Varennes",12,152,66,28,11,4,273,436
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 71-1","Varennes",11,199,73,29,27,3,342,538
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 72","Varennes",9,58,15,6,9,2,99,178
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 73","Saint-Amable",7,227,41,15,14,10,314,545
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 74","Saint-Amable",14,181,28,13,20,5,261,463
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 75","Saint-Amable",12,194,51,16,23,5,301,526
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 76","Saint-Amable",8,155,57,11,17,0,248,410
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 77","Saint-Amable",5,207,46,12,19,6,295,470
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 78","Saint-Amable",6,160,53,7,14,9,249,487
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 79","Saint-Amable",5,85,19,9,11,5,134,207
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 80","Saint-Amable",8,143,49,10,11,2,223,396
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 81","Saint-Amable",2,111,25,10,23,5,176,361
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 82","Saint-Amable",6,129,39,11,15,3,203,377
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 83A","Saint-Amable",10,179,46,12,3,5,255,420
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 83B","Saint-Amable",5,168,36,10,6,2,227,369
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 84","Saint-Amable",11,230,50,27,30,5,353,550
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 85","Saint-Amable",8,181,50,24,15,4,282,514
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 86","Sainte-Julie",4,118,60,12,23,3,220,393
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 87","Sainte-Julie",11,194,56,15,17,11,304,450
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 88","Sainte-Julie",11,121,59,20,12,2,225,319
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 89","Sainte-Julie",16,166,55,27,12,3,279,357
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 90","Sainte-Julie",9,160,35,17,23,5,249,351
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 91","Sainte-Julie",6,168,41,31,17,2,265,341
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 92","Sainte-Julie",12,165,41,15,12,8,253,411
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 93","Sainte-Julie",11,197,54,17,30,7,316,494
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 94","Sainte-Julie",11,153,37,19,13,3,236,345
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 95","Sainte-Julie",9,134,57,25,14,2,241,357
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 96","Sainte-Julie",9,188,72,22,29,2,322,476
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 97","Sainte-Julie",8,162,61,27,11,10,279,368
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 98","Sainte-Julie",7,159,51,21,12,3,253,394
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 99","Sainte-Julie",6,131,58,19,17,2,233,401
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 100","Sainte-Julie",12,121,43,24,14,3,217,415
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 101","Sainte-Julie",8,186,34,23,15,1,267,486
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 102","Sainte-Julie",4,135,66,25,24,5,259,440
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 103","Sainte-Julie",5,89,60,17,14,3,188,323
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 104A","Sainte-Julie",15,147,72,29,13,4,280,462
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 104B","Sainte-Julie",11,143,70,22,12,3,261,446
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 105","Sainte-Julie",13,121,37,17,36,5,229,370
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 106","Sainte-Julie",4,104,29,14,13,3,167,256
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 107","Sainte-Julie",9,156,58,16,11,3,253,356
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 108","Sainte-Julie",7,168,57,33,17,4,286,403
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 109A","Sainte-Julie",5,137,57,22,18,9,248,423
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 109B","Mobile poll/Bureau itinérant",4,38,38,3,30,4,117,145
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 110","Sainte-Julie",10,183,52,17,22,3,287,472
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 111","Sainte-Julie",8,156,55,18,19,3,259,376
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 112","Sainte-Julie",6,177,35,18,6,1,243,375
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 113","Sainte-Julie",5,110,77,21,28,1,242,382
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 114","Sainte-Julie",6,169,78,23,22,5,303,428
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 115","Sainte-Julie",10,151,48,18,21,5,253,372
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 116","Sainte-Julie",12,158,57,11,18,7,263,373
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 117","Sainte-Julie",10,209,75,29,18,5,346,604
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 118","Sainte-Julie",14,161,59,29,17,1,281,513
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 119","Sainte-Julie",21,205,83,35,24,6,374,540
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 120","Sainte-Julie",5,147,73,29,22,5,281,463
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 121A","Sainte-Julie",7,173,69,20,20,4,293,553
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 121B","Sainte-Julie",10,165,67,19,16,5,282,556
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 122","Sainte-Julie",17,268,101,46,31,8,471,657
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 123","Sainte-Julie",14,172,75,35,26,6,328,496
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 124","Sainte-Julie",4,154,50,26,32,4,270,459
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 125","Sainte-Julie",6,108,37,16,20,1,188,366
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 126","Sainte-Julie",9,99,42,14,10,1,175,288
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 127A","Sainte-Julie",3,135,54,29,18,5,244,419
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 127B","Mobile poll/Bureau itinérant",Merged with No. 109B/Fusionné avec le nº 109B,,,,,,,44
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 128A","Sainte-Julie",17,174,82,42,30,0,345,508
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 128B","Mobile poll/Bureau itinérant",Merged with No. 109B/Fusionné avec le nº 109B,,,,,,,5
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 129","Sainte-Julie",17,129,65,40,28,4,283,393
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 130","Sainte-Julie",8,107,61,28,30,0,234,354
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 131","Sainte-Julie",14,131,54,44,29,1,273,389
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 132","Sainte-Julie",11,98,51,21,36,1,218,341
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 133","Sainte-Julie",17,173,97,35,39,5,366,522
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 134","Boucherville",15,133,48,28,23,3,250,396
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 135","Boucherville",11,112,55,23,21,3,225,345
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 136","Boucherville",17,88,66,19,22,3,215,358
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 137","Boucherville",17,199,80,56,29,5,386,551
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 138","Boucherville",18,145,75,34,17,2,291,415
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 139","Boucherville",8,99,52,15,30,5,209,350
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 140","Boucherville",7,112,55,23,33,2,232,350
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 141","Boucherville",13,134,45,31,37,4,264,387
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 142","Boucherville",11,118,61,30,32,4,256,388
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 143A","Boucherville",10,138,63,27,28,2,268,431
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 143B","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,,1
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 144","Boucherville",8,131,52,36,34,2,263,409
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 145","Boucherville",21,118,41,16,19,0,215,330
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 146","Boucherville",14,112,51,23,41,4,245,347
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 147","Boucherville",15,133,71,29,36,4,288,409
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 148","Boucherville",19,133,60,29,34,1,276,435
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 149","Boucherville",12,118,33,14,18,5,200,349
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 150","Boucherville",12,107,26,23,23,0,191,318
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 151A","Boucherville",10,58,20,11,8,1,108,174
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 151B","Mobile poll/Bureau itinérant",Merged with No. 168C/Fusionné avec le nº 168C,,,,,,,77
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 152","Boucherville",10,119,25,21,24,5,204,377
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 153","Boucherville",16,92,41,23,32,1,205,338
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 154","Boucherville",5,96,60,19,24,0,204,298
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 155","Boucherville",8,131,48,28,33,4,252,408
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 156","Boucherville",25,189,83,34,29,4,364,523
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 157","Boucherville",13,146,86,42,35,5,327,489
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 158","Boucherville",17,153,70,39,26,3,308,444
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 159","Boucherville",17,110,65,31,33,5,261,398
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 160","Boucherville",28,127,62,40,44,7,308,453
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 161","Boucherville",17,151,59,38,30,2,297,452
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 162","Boucherville",4,92,43,25,17,0,181,270
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 163","Boucherville",10,102,47,18,34,2,213,329
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 164","Boucherville",11,87,33,26,18,2,177,253
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 165","Boucherville",11,119,77,22,34,4,267,373
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 166","Boucherville",15,138,55,18,17,4,247,363
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 167","Boucherville",12,168,60,38,19,4,301,443
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 168A","Boucherville",14,128,73,33,36,4,288,421
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 168B","Boucherville",11,143,112,18,37,3,324,534
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 168C","Mobile poll/Bureau itinérant",2,30,30,5,56,5,128,189
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 168-1A","Boucherville",14,144,106,23,41,3,331,519
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 168-1B","Boucherville",19,157,129,43,38,2,388,586
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 168-1C","Boucherville",15,145,100,24,35,3,322,471
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 500","Mobile poll/Bureau itinérant",5,29,23,1,23,0,81,120
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 501","Mobile poll/Bureau itinérant",5,20,16,6,24,3,74,157
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 502","Mobile poll/Bureau itinérant",7,56,73,7,47,8,198,270
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 600","Contrecoeur",17,299,87,13,31,6,453,
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 601","Verchères--Calixa-Lavallée",5,186,86,20,30,2,329,
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 602","Saint-Antoine-sur-Richelieu--Saint-Marc-sur-Richel",7,84,37,6,22,1,157,
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 603","Saint-Denis-sur-Richelieu--Saint-Charles-sur-Riche",7,115,41,14,20,1,198,
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 604","Varennes",16,446,207,35,85,10,799,
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 605","Varennes",12,418,152,47,53,6,688,
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 606","Saint-Amable",9,196,84,5,40,3,337,
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 607","Sainte-Julie",16,366,175,43,50,11,661,
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 608","Sainte-Julie",18,423,178,66,75,10,770,
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 609","Sainte-Julie",22,180,103,29,50,2,386,
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 610","Boucherville",23,308,136,41,99,6,613,
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 611","Boucherville",25,328,297,63,146,8,867,
"Verchères--Les Patriotes/Verchères--Les Patriotes",,Group 1/Groupe 1,0,23,30,3,10,4,70,137
"Verchères--Les Patriotes/Verchères--Les Patriotes",,Group 2/Groupe 2,17,391,161,42,184,15,810,
