Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Larry Ashmore,Bernie Kennedy,Ted Menzies,Joyce Thomas,Catherine Whelan Costen,Myron Wolf Child,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Macleod/Macleod"," 26","Millarville",15,6,120,7,0,6,1,155,209
"Macleod/Macleod"," 27A","Millarville",1,16,142,6,0,4,0,169,391
"Macleod/Macleod"," 27B","Millarville",5,7,151,6,0,4,0,173,335
"Macleod/Macleod"," 28A","Black Diamond",22,9,160,14,0,3,0,208,409
"Macleod/Macleod"," 28B","Black Diamond",22,3,165,11,0,3,1,205,364
"Macleod/Macleod"," 29A","Black Diamond",7,5,160,11,1,3,1,188,352
"Macleod/Macleod"," 29B","Black Diamond",17,3,134,9,2,1,0,166,310
"Macleod/Macleod"," 30","Turner Valley",17,12,167,18,2,5,0,221,356
"Macleod/Macleod"," 31A","Turner Valley",25,9,145,25,0,3,1,208,295
"Macleod/Macleod"," 31B","Turner Valley",28,10,148,12,0,3,0,201,282
"Macleod/Macleod"," 32","Turner Valley",29,10,192,18,0,7,1,257,425
"Macleod/Macleod"," 33","Black Diamond",11,3,79,9,2,3,0,107,204
"Macleod/Macleod"," 34","Black Diamond",31,10,205,12,2,6,0,266,467
"Macleod/Macleod"," 35","Eden Valley 216",1,77,6,9,0,4,1,98,216
"Macleod/Macleod"," 36","High River",8,8,241,9,2,0,2,270,508
"Macleod/Macleod"," 37A","De Winton",16,16,289,10,3,5,0,339,515
"Macleod/Macleod"," 37B","De Winton",8,18,263,17,1,3,1,311,459
"Macleod/Macleod"," 37C","De Winton",14,27,248,20,1,2,0,312,492
"Macleod/Macleod"," 38A","De Winton",16,6,208,13,1,2,0,246,443
"Macleod/Macleod"," 38B","De Winton",10,13,160,20,0,1,0,204,366
"Macleod/Macleod"," 39","De Winton",18,14,299,14,1,4,0,350,530
"Macleod/Macleod"," 40","De Winton",18,21,352,21,0,7,4,423,630
"Macleod/Macleod"," 41","Okotoks",15,15,323,20,2,8,0,383,578
"Macleod/Macleod"," 42","Okotoks",2,4,117,7,2,2,0,134,247
"Macleod/Macleod"," 43A","Okotoks",12,17,120,9,0,1,0,159,281
"Macleod/Macleod"," 43B","Okotoks",13,14,137,8,0,2,0,174,312
"Macleod/Macleod"," 44","Okotoks",22,7,152,16,1,6,1,205,339
"Macleod/Macleod"," 45A","Okotoks",15,17,155,15,0,8,0,210,368
"Macleod/Macleod"," 45B","Okotoks",13,7,128,20,0,5,0,173,366
"Macleod/Macleod"," 46","Okotoks",19,24,274,41,1,3,1,363,636
"Macleod/Macleod"," 47","Okotoks",8,13,114,5,0,0,0,140,275
"Macleod/Macleod"," 48","Okotoks",21,11,175,23,0,9,0,239,503
"Macleod/Macleod"," 49","Okotoks",20,13,205,21,1,4,0,264,493
"Macleod/Macleod"," 50","Okotoks",17,15,196,12,2,3,0,245,480
"Macleod/Macleod"," 51A","Okotoks",8,17,184,12,3,1,0,225,418
"Macleod/Macleod"," 51B","Okotoks",15,18,164,16,1,1,0,215,405
"Macleod/Macleod"," 52","Okotoks",19,28,197,11,0,4,0,259,442
"Macleod/Macleod"," 53","Okotoks",6,21,190,21,0,2,0,240,421
"Macleod/Macleod"," 54","Okotoks",21,34,227,19,2,1,0,304,541
"Macleod/Macleod"," 55","Okotoks",19,12,209,14,1,4,1,260,428
"Macleod/Macleod"," 56","Okotoks",13,14,161,20,1,5,0,214,437
"Macleod/Macleod"," 57A","Okotoks",8,5,111,3,1,1,0,129,322
"Macleod/Macleod"," 57B","Okotoks",6,14,79,8,2,1,1,111,273
"Macleod/Macleod"," 58A","Okotoks",10,24,181,22,0,3,0,240,418
"Macleod/Macleod"," 58B","Okotoks",14,8,146,8,1,4,0,181,367
"Macleod/Macleod"," 59","Okotoks",17,23,236,19,0,3,0,298,487
"Macleod/Macleod"," 60A","Okotoks",11,22,253,23,2,4,2,317,615
"Macleod/Macleod"," 60B","Okotoks",24,21,240,19,0,6,0,310,600
"Macleod/Macleod"," 61A","Okotoks",3,7,111,14,0,0,0,135,248
"Macleod/Macleod"," 61B","Okotoks",4,13,149,11,0,6,2,185,312
"Macleod/Macleod"," 62","Okotoks",Void/Supprimé,,,,,,,,
"Macleod/Macleod"," 63","Okotoks",Void/Supprimé,,,,,,,,
"Macleod/Macleod"," 64","Okotoks",Void/Supprimé,,,,,,,,
"Macleod/Macleod"," 65","Okotoks",Void/Supprimé,,,,,,,,
"Macleod/Macleod"," 66","Okotoks",12,8,260,18,1,1,0,300,501
"Macleod/Macleod"," 67","Gladys",20,13,243,15,0,8,0,299,463
"Macleod/Macleod"," 68A","High River",16,3,177,7,4,2,0,209,314
"Macleod/Macleod"," 68B","High River",18,10,169,11,2,8,1,219,352
"Macleod/Macleod"," 69A","High River",13,13,251,20,1,5,0,303,565
"Macleod/Macleod"," 69B","High River",8,17,206,15,2,1,0,249,528
"Macleod/Macleod"," 70A","High River",5,22,246,20,0,5,0,298,622
"Macleod/Macleod"," 70B","High River",9,10,250,15,2,3,0,289,560
"Macleod/Macleod"," 71","High River",33,17,193,17,2,6,0,268,478
"Macleod/Macleod"," 72","High River",17,13,110,12,2,6,0,160,265
"Macleod/Macleod"," 73","High River",21,20,203,14,2,5,1,266,506
"Macleod/Macleod"," 74","High River",26,11,144,21,3,2,0,207,433
"Macleod/Macleod"," 75","High River",18,17,190,22,1,9,0,257,481
"Macleod/Macleod"," 76","High River",28,13,146,21,1,0,0,209,457
"Macleod/Macleod"," 77","High River",37,16,193,19,5,6,1,277,543
"Macleod/Macleod"," 78A","High River",9,13,130,9,1,2,1,165,308
"Macleod/Macleod"," 78B","High River",5,8,106,10,0,3,1,133,274
"Macleod/Macleod"," 79","High River",26,15,187,11,2,6,0,247,421
"Macleod/Macleod"," 80","High River",19,11,147,16,1,3,0,197,346
"Macleod/Macleod"," 81A","High River",9,12,156,12,0,6,0,195,366
"Macleod/Macleod"," 81B","High River",8,12,154,9,3,4,0,190,326
"Macleod/Macleod"," 82A","High River",7,12,148,13,0,1,0,181,290
"Macleod/Macleod"," 82B","High River",6,10,139,11,0,4,1,171,310
"Macleod/Macleod"," 83","High River",11,3,162,7,0,2,0,185,309
"Macleod/Macleod"," 84","Blackie",16,10,257,19,2,4,1,309,537
"Macleod/Macleod"," 85A","Cayley",8,9,143,10,1,3,0,174,288
"Macleod/Macleod"," 85B","Cayley",8,9,169,11,1,3,0,201,309
"Macleod/Macleod"," 86","Siksika",2,133,11,14,0,19,3,182,424
"Macleod/Macleod"," 87","Siksika",8,147,17,23,0,23,1,219,424
"Macleod/Macleod"," 88","Siksika",0,96,16,6,0,11,4,133,403
"Macleod/Macleod"," 89","Siksika",2,65,9,3,0,5,0,84,209
"Macleod/Macleod"," 90","Gladys",5,1,130,3,0,3,0,142,221
"Macleod/Macleod"," 91","Mossleigh",4,6,207,5,5,2,0,229,388
"Macleod/Macleod"," 92","Milo",8,6,204,12,0,1,0,231,420
"Macleod/Macleod"," 93","Brant",5,9,129,4,8,2,0,157,335
"Macleod/Macleod"," 94A","Vulcan",5,7,117,11,4,3,0,147,305
"Macleod/Macleod"," 94B","Vulcan",8,5,96,6,0,5,0,120,269
"Macleod/Macleod"," 95","Vulcan",10,7,113,11,4,1,0,146,267
"Macleod/Macleod"," 96","Vulcan",10,16,179,15,2,3,0,225,389
"Macleod/Macleod"," 97","Vulcan",6,1,134,9,0,1,0,151,292
"Macleod/Macleod"," 98","Armada",10,13,155,3,0,3,1,185,324
"Macleod/Macleod"," 99","Kirkcaldy",5,9,169,11,1,4,0,199,425
"Macleod/Macleod"," 100","Champion",14,18,255,9,7,2,2,307,444
"Macleod/Macleod"," 101","Travers",8,8,184,14,0,2,0,216,313
"Macleod/Macleod"," 101-1","Vulcan County",0,1,26,0,0,1,0,28,122
"Macleod/Macleod"," 102","Lundbreck",7,8,113,19,2,4,0,153,227
"Macleod/Macleod"," 103","Crowsnest Pass",10,11,145,27,3,8,0,204,354
"Macleod/Macleod"," 104","Crowsnest Pass",10,25,146,30,1,3,0,215,379
"Macleod/Macleod"," 105","Crowsnest Pass",19,14,109,19,0,4,0,165,294
"Macleod/Macleod"," 106A","Crowsnest Pass",14,12,96,24,2,1,2,151,318
"Macleod/Macleod"," 106B","Crowsnest Pass",12,14,106,20,2,3,0,157,322
"Macleod/Macleod"," 107","Crowsnest Pass",3,11,84,14,1,2,0,115,195
"Macleod/Macleod"," 108","Crowsnest Pass",8,28,92,21,0,7,0,156,297
"Macleod/Macleod"," 109","Crowsnest Pass",4,16,79,10,0,1,0,110,205
"Macleod/Macleod"," 110A","Crowsnest Pass",13,22,110,14,1,5,2,167,319
"Macleod/Macleod"," 110B","Crowsnest Pass",11,13,100,15,1,3,0,143,298
"Macleod/Macleod"," 111","Crowsnest Pass",12,24,120,29,1,2,1,189,320
"Macleod/Macleod"," 112","Crowsnest Pass",6,12,115,17,0,5,0,155,281
"Macleod/Macleod"," 113","Crowsnest Pass",17,25,198,32,0,5,0,277,523
"Macleod/Macleod"," 114","Crowsnest Pass",13,31,207,45,0,2,0,298,511
"Macleod/Macleod"," 115","Lundbreck",19,21,219,39,6,4,0,308,535
"Macleod/Macleod"," 116","Nanton",15,6,292,10,4,5,0,332,460
"Macleod/Macleod"," 117","Nanton",7,23,195,18,1,3,0,247,379
"Macleod/Macleod"," 118A","Nanton",13,11,161,13,0,1,0,199,310
"Macleod/Macleod"," 118B","Nanton",12,12,170,13,1,1,3,212,341
"Macleod/Macleod"," 119","Nanton",Merged with No. 120/Fusionné avec le nº 120,,,,,,,,149
"Macleod/Macleod"," 120","Nanton",15,24,285,28,4,3,1,360,409
"Macleod/Macleod"," 121","Parkland",4,4,143,7,3,4,0,165,251
"Macleod/Macleod"," 122","Stavely",11,8,205,5,1,3,0,233,333
"Macleod/Macleod"," 123","Stavely",15,8,140,15,1,3,0,182,330
"Macleod/Macleod"," 124A","Claresholm",16,5,157,16,0,5,0,199,354
"Macleod/Macleod"," 124B","Claresholm",5,9,136,8,0,2,2,162,325
"Macleod/Macleod"," 125","Claresholm",7,8,175,10,0,1,2,203,339
"Macleod/Macleod"," 126","Claresholm",11,3,155,17,2,2,0,190,351
"Macleod/Macleod"," 127","Claresholm",8,17,132,13,1,0,1,172,332
"Macleod/Macleod"," 128","Claresholm",12,2,147,19,0,3,0,183,307
"Macleod/Macleod"," 129","Claresholm",5,9,162,10,0,3,0,189,301
"Macleod/Macleod"," 130","Claresholm",12,17,197,18,1,5,1,251,496
"Macleod/Macleod"," 131","Claresholm",3,11,86,6,0,3,0,109,212
"Macleod/Macleod"," 132","Claresholm",9,23,234,24,2,4,1,297,490
"Macleod/Macleod"," 133","Granum",5,4,205,13,1,5,0,233,454
"Macleod/Macleod"," 134","Pincher Creek",13,16,189,22,2,3,1,246,499
"Macleod/Macleod"," 135","Peigan 147",3,88,6,9,0,29,0,135,370
"Macleod/Macleod"," 136","Peigan 147",3,127,14,6,0,35,1,186,372
"Macleod/Macleod"," 137","Beaver Mines",14,7,125,27,0,0,0,173,315
"Macleod/Macleod"," 138A","Pincher Creek",3,5,102,13,3,3,0,129,280
"Macleod/Macleod"," 138B","Pincher Creek",4,4,145,10,1,3,0,167,270
"Macleod/Macleod"," 139","Pincher Creek",18,12,155,23,0,1,0,209,426
"Macleod/Macleod"," 140","Pincher Creek",11,19,112,22,2,2,0,168,344
"Macleod/Macleod"," 141","Pincher Creek",5,11,93,18,1,3,0,131,286
"Macleod/Macleod"," 142","Pincher Creek",19,24,163,28,2,5,1,242,520
"Macleod/Macleod"," 143","Pincher Creek",17,11,119,13,1,5,0,166,333
"Macleod/Macleod"," 144","Pincher Creek",12,12,159,31,1,0,0,215,388
"Macleod/Macleod"," 145","Pincher Creek",13,31,131,22,3,3,0,203,335
"Macleod/Macleod"," 146","Twin Butte",9,14,121,18,1,4,1,168,224
"Macleod/Macleod"," 147","Hill Spring",10,12,225,15,2,3,0,267,516
"Macleod/Macleod"," 148","Granum",14,14,174,24,0,9,1,236,367
"Macleod/Macleod"," 149","Fort Macleod",14,13,165,15,0,9,0,216,437
"Macleod/Macleod"," 150","Fort Macleod",7,30,143,13,2,3,1,199,371
"Macleod/Macleod"," 151","Fort Macleod",12,24,222,20,2,6,1,287,575
"Macleod/Macleod"," 152","Fort Macleod",7,14,77,20,1,1,0,120,230
"Macleod/Macleod"," 153","Fort Macleod",4,11,79,19,0,3,1,117,227
"Macleod/Macleod"," 154","Fort Macleod",3,13,83,10,0,3,0,112,189
"Macleod/Macleod"," 155","Fort Macleod",9,22,173,24,1,7,0,236,369
"Macleod/Macleod"," 156","Fort Macleod",5,17,93,9,1,4,0,129,239
"Macleod/Macleod"," 157","Fort Macleod",6,9,249,11,1,5,0,281,492
"Macleod/Macleod"," 158","Monarch",9,6,137,11,0,1,0,164,349
"Macleod/Macleod"," 159","Glenwood",5,13,188,9,1,1,1,218,406
"Macleod/Macleod"," 160","Blood 148",1,109,6,1,0,14,0,131,389
"Macleod/Macleod"," 161","Blood 148",0,58,1,0,0,12,1,72,300
"Macleod/Macleod"," 162","Blood 148",3,165,7,3,0,21,1,200,398
"Macleod/Macleod"," 163","Blood 148",0,94,4,3,0,15,0,116,340
"Macleod/Macleod"," 164","Blood 148",3,232,4,4,0,36,0,279,749
"Macleod/Macleod"," 165","Blood 148",3,172,5,6,1,42,0,229,512
"Macleod/Macleod"," 500A","Mobile poll/Bureau itinérant",4,21,85,7,4,1,0,122,91
"Macleod/Macleod"," 500B","Mobile poll/Bureau itinérant",Merged with No. 502A/Fusionné avec le nº 502A,,,,,,,,50
"Macleod/Macleod"," 501","Mobile poll/Bureau itinérant",3,11,51,4,1,2,3,75,91
"Macleod/Macleod"," 502A","Mobile poll/Bureau itinérant",10,18,128,13,2,5,2,178,171
"Macleod/Macleod"," 502B","Mobile poll/Bureau itinérant",Merged with No. 500A/Fusionné avec le nº 500A,,,,,,,,48
"Macleod/Macleod"," 502C","Mobile poll/Bureau itinérant",Merged with No. 500A/Fusionné avec le nº 500A,,,,,,,,21
"Macleod/Macleod"," 503","Mobile poll/Bureau itinérant",3,23,98,11,0,5,2,142,214
"Macleod/Macleod"," 504","Mobile poll/Bureau itinérant",5,11,72,7,0,2,2,99,170
"Macleod/Macleod"," 505","Mobile poll/Bureau itinérant",1,7,41,9,0,2,1,61,99
"Macleod/Macleod"," 600","Redwood Meadows--Rockyview 44",54,51,513,26,2,14,0,660,
"Macleod/Macleod"," 601","Turner Valley",37,16,350,16,0,8,0,427,
"Macleod/Macleod"," 602","Okotoks",48,47,1071,56,4,10,0,1236,
"Macleod/Macleod"," 603","High River",54,53,744,48,5,19,1,924,
"Macleod/Macleod"," 604","Vulcan",6,14,298,5,1,6,0,330,
"Macleod/Macleod"," 605","Blairmore",25,31,295,54,1,3,0,409,
"Macleod/Macleod"," 606","Claresholm",15,20,436,26,4,8,0,509,
"Macleod/Macleod"," 607","Pincher Creek",24,18,270,32,1,8,0,353,
"Macleod/Macleod"," 608","Fort Macleod",11,17,183,27,2,4,0,244,
"Macleod/Macleod",,Group 1/Groupe 1,6,12,33,5,2,7,5,70,162
"Macleod/Macleod",,Group 2/Groupe 2,101,110,1532,105,4,28,37,1917,
