Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Doug Beards,Carson Chisholm,Guy Lauzon,Elaine MacDonald,Tom Manley,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 15","Iroquois",11,4,107,25,27,2,176,344
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 16","Iroquois",9,0,87,22,40,0,158,314
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 17","Matilda",9,4,165,28,53,1,260,479
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 18","Ormond",10,3,145,26,47,1,232,413
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 19","Morewood",9,3,136,23,56,1,228,358
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 20","Morewood",9,0,162,17,34,1,223,364
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 21","Annable Settlement",4,2,140,14,18,0,178,304
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 22","Winchester",4,2,137,25,35,0,203,326
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 23","Winchester",13,7,134,39,47,1,241,477
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 24","Winchester",17,2,129,22,45,0,215,443
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 25","Winchester",11,3,116,21,29,1,181,301
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 26","Winchester",11,3,103,20,35,1,173,300
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 27","The Ninth",7,1,103,17,42,0,170,371
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 28","Winchester Springs",6,5,163,30,37,0,241,406
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 29","Bethune Bush",6,4,134,21,29,0,194,317
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 30","Chesterville",8,1,104,19,31,1,164,326
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 31","Chesterville",8,1,170,27,58,0,264,469
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 32","Chesterville",11,2,117,19,47,1,197,353
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 33","Elma",7,1,153,18,27,2,208,307
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 34","Dunbar",17,5,181,31,49,0,283,396
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 35","Cahore",15,2,95,20,61,1,194,301
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 36","Crysler",9,0,116,48,100,6,279,405
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 37","Crysler",9,2,132,18,83,0,244,364
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 38","Berwick",8,3,123,13,47,0,194,361
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 39","Berwick",9,0,81,7,37,0,134,237
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 40","Lodi",11,0,134,24,59,0,228,367
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 41","Moose Creek",22,2,90,33,68,0,215,368
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 42","Sandringham",14,5,159,32,73,1,284,455
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 43","Finch",8,0,150,17,21,0,196,352
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 44","Finch",6,5,117,20,44,0,192,359
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 45","Avonmore",5,5,142,36,67,0,255,389
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 46","Gravel Hill",8,4,135,28,40,1,216,352
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 47","Roxborough",5,7,102,34,41,0,189,283
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 48","Strathmore",4,4,121,32,53,1,215,310
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 49","Sandtown",4,7,123,21,22,1,178,324
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 50","Newington",12,4,139,23,37,0,215,345
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 51","Williamsburg",7,4,142,26,38,5,222,314
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 52","Boucks Hill",11,3,178,33,41,1,267,403
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 53","Gallingertown",15,2,126,19,43,0,205,397
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 54","Osnabruck Centre",10,11,196,31,30,0,278,444
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 55","Glen Becker",11,4,143,23,50,0,231,461
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 56","Morrisburg",10,0,84,34,23,0,151,335
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 57","Morrisburg",6,5,102,27,27,0,167,311
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 58","Morrisburg",9,1,111,23,22,0,166,304
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 59","Morrisburg",12,1,149,45,74,0,281,531
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 60","Morrisburg",11,6,102,27,40,0,186,396
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 61","Froatburn",5,0,81,29,34,0,149,317
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 62","Riverside Heights",11,1,141,30,43,0,226,426
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 63","Ingleside",11,1,123,39,60,0,234,442
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 64","Ingleside",6,3,106,34,56,0,205,429
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 65","Ingleside",8,2,134,28,36,1,209,417
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 66","Northfield",6,8,125,25,41,1,206,353
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 67","Bonville",5,12,137,37,49,1,241,446
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 68","Lunenburg",3,4,110,27,28,0,172,347
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 69","Harrisons Corners",4,39,159,45,58,2,307,560
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 70","St. Andrews",8,5,140,20,34,0,207,361
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 71A","Vin Vista",4,0,94,20,45,1,164,334
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 71B","Vin Vista",3,4,87,22,34,2,152,321
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 72","Long Sault",11,3,188,39,99,0,340,522
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 73","Long Sault",6,7,112,21,62,0,208,369
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 74","Long Sault",10,2,136,32,68,0,248,370
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 75","Lakeview Heights",18,4,184,51,75,1,333,576
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 76","St. Andrews",2,18,171,50,73,0,314,557
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 77","Rosedale Terrace",3,2,109,18,48,2,182,371
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 78","Rosedale Terrace",3,2,95,22,31,3,156,299
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 79","Churchill Heights",5,3,127,16,46,0,197,365
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 80","Cornwall",6,0,112,45,42,0,205,463
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 81","Cornwall",6,6,123,60,76,1,272,483
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 82","Cornwall",5,2,103,52,97,1,260,450
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 83","Cornwall",9,6,117,49,53,1,235,477
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 84","Cornwall",5,1,104,47,62,3,222,434
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 85A","Cornwall",6,4,67,37,58,0,172,305
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 85B","Cornwall",5,1,93,38,44,1,182,296
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 86","Cornwall",5,3,116,39,80,1,244,402
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 87","Cornwall",10,1,124,29,95,1,260,458
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 88","Cornwall",7,0,134,35,69,0,245,426
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 89","Cornwall",8,2,128,43,67,0,248,400
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 90","Cornwall",5,3,122,33,52,0,215,387
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 91","Cornwall",9,0,83,31,39,0,162,294
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 92","Cornwall",9,3,102,31,31,0,176,362
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 93","Cornwall",10,1,96,19,73,3,202,426
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 94","Cornwall",4,7,64,28,63,1,167,363
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 95","Cornwall",9,7,115,39,79,0,249,461
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 96","Cornwall",3,2,119,53,102,0,279,514
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 97","Cornwall",2,2,55,28,72,0,159,311
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 98","Cornwall",3,0,104,24,45,0,176,356
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 99","Cornwall",5,2,77,38,76,1,199,391
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 100","Cornwall",6,2,39,32,71,0,150,374
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 101","Cornwall",5,1,82,35,41,0,164,335
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 102","Cornwall",4,2,70,54,58,0,188,373
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 103","Cornwall",6,4,84,28,65,1,188,362
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 104","Cornwall",3,1,86,26,68,2,186,342
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 105","Cornwall",6,1,70,32,75,1,185,377
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 106","Cornwall",5,0,74,25,43,0,147,308
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 107","Cornwall",5,1,87,40,64,1,198,408
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 108","Cornwall",2,3,68,41,62,2,178,396
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 109","Cornwall",1,2,83,37,37,1,161,306
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 110","Cornwall",2,2,79,26,49,0,158,348
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 111","Cornwall",3,4,84,27,66,0,184,411
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 112","Cornwall",3,7,63,39,69,0,181,350
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 113","Cornwall",8,1,67,28,45,0,149,384
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 114","Cornwall",4,3,62,20,45,0,134,270
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 115","Cornwall",2,5,55,28,76,0,166,353
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 116","Cornwall",4,5,61,34,38,1,143,341
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 117","Cornwall",5,3,69,36,42,2,157,366
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 118","Cornwall",5,2,75,30,42,3,157,324
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 119","Cornwall",4,5,55,33,32,0,129,347
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 120","Cornwall",5,3,82,54,39,1,184,414
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 121","Cornwall",7,5,73,35,53,1,174,357
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 122","Cornwall",1,3,56,27,55,0,142,271
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 123","Cornwall",4,0,65,29,23,1,122,273
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 124","Cornwall",4,0,52,33,22,3,114,274
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 125","Cornwall",5,1,73,25,71,0,175,398
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 126","Cornwall",4,6,55,41,41,1,148,275
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 127","Cornwall",1,1,31,18,45,0,96,231
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 128","Cornwall",2,2,97,30,88,2,221,322
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 129","Cornwall",4,3,72,29,54,1,163,326
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 130","Cornwall",10,1,47,28,31,0,117,311
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 131","Cornwall",3,2,72,38,57,0,172,325
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 132","Cornwall",1,2,85,41,39,5,173,348
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 133","Cornwall",3,1,59,25,39,2,129,323
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 134","Cornwall",2,0,75,41,70,0,188,366
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 135","Cornwall",5,4,65,29,64,1,168,331
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 136","Cornwall",0,1,74,29,38,0,142,320
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 137","Cornwall",5,1,56,26,46,1,135,305
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 138","Cornwall",4,2,42,24,53,1,126,271
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 139","Cornwall",5,5,81,43,84,2,220,432
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 140","Cornwall",6,0,48,42,56,0,152,370
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 141","Cornwall",4,5,57,41,78,1,186,369
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 142","Cornwall",4,0,21,13,39,0,77,238
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 143","Cornwall",12,3,100,26,50,0,191,414
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 144","Cornwall",1,2,77,35,69,0,184,390
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 145","Cornwall",4,0,53,18,46,2,123,302
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 146","Cornwall",7,0,80,34,91,2,214,398
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 147","Cornwall",2,4,66,27,76,0,175,346
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 148","Cornwall",0,1,58,16,50,3,128,334
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 149","Cornwall",6,1,72,22,84,1,186,336
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 150","Cornwall",4,0,81,32,50,0,167,389
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 151","Cornwall",7,1,37,15,44,0,104,280
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 152","Cornwall",4,0,47,19,72,1,143,288
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 153","Cornwall",7,3,68,41,51,0,170,394
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 154","Cornwall",3,1,49,20,50,0,123,291
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 155","Cornwall",0,0,32,32,46,1,111,296
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 156","Cornwall",0,1,32,27,43,0,103,384
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 157","Cornwall",0,0,33,21,60,1,115,347
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 158","Cornwall",2,1,27,32,37,0,99,288
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 159","Cornwall",3,2,56,22,36,4,123,307
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 160","Cornwall",7,5,115,35,114,2,278,456
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 161","Cornwall",3,6,50,33,75,0,167,335
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 162","Cornwall",12,2,98,36,73,1,222,421
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 163","Cornwall",5,0,100,37,106,0,248,516
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 164","Cornwall",5,4,80,39,101,4,233,386
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 165","Cornwall",2,7,55,31,55,0,150,346
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 166","Cornwall",15,2,107,39,97,0,260,404
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 167","Cornwall",6,2,61,23,94,1,187,324
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 168","Cornwall",4,11,131,30,134,1,311,567
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 169","Cornwall",10,0,63,36,55,1,165,322
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 170","Cornwall",4,3,71,30,54,1,163,421
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 171","Cornwall",7,1,66,30,44,0,148,268
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 172","Cornwall",1,3,61,14,52,0,131,257
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 173","Cornwall",5,2,93,51,87,2,240,481
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 174","Martintown",6,4,118,33,41,0,202,305
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 175","Martintown",14,8,198,40,64,2,326,477
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 176","Glenroy",7,2,97,23,78,1,208,308
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 177","Glenroy",20,7,132,33,79,0,271,444
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 178","Martintown",9,3,181,31,60,0,284,428
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 179","Williamstown",12,2,117,33,61,2,227,429
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 180","St. Raphaels",21,2,145,39,64,1,272,442
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 181","Glendale",4,3,125,36,61,3,232,366
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 182","Glendale",6,2,66,40,32,1,147,296
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 183","Summerstown Station",15,4,142,42,64,1,268,439
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 184","Tyotown",7,2,177,58,87,0,331,506
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 185","Paragon",4,0,79,16,54,0,153,270
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 186","Summerstown",5,1,91,11,56,0,164,324
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 187","Heritage",9,1,77,16,53,0,156,298
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 188","Cornwall Island",Merged with No. 128/Fusionné avec le nº 128,,,,,,,38
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 189A","Tyotown",7,2,112,32,81,2,236,377
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 189B","Tyotown",5,2,87,24,49,0,167,264
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 190","Parco Village",4,4,110,15,57,0,190,347
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 191","Glen Norman",10,2,136,52,92,1,293,489
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 192","Glen Nevis",23,1,159,42,117,1,343,592
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 193","North Lancaster",9,1,105,26,56,2,199,338
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 194","Bainsville",11,2,129,26,55,0,223,388
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 195","South Lancaster",8,2,121,26,63,0,220,403
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 196","Lancaster",2,0,91,19,50,1,163,318
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 197","Lancaster",9,0,57,22,38,0,126,237
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 198A","Bainsville",13,3,76,21,38,0,151,312
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 198B","Bainsville",10,1,71,24,45,0,151,343
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 500","Mobile poll/Bureau itinérant",2,1,32,7,21,1,64,159
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 501","Mobile poll/Bureau itinérant",2,4,51,11,44,3,115,252
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 502","Mobile poll/Bureau itinérant",2,0,26,9,30,2,69,136
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 503","Mobile poll/Bureau itinérant",1,4,29,12,34,2,82,166
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 504","Mobile poll/Bureau itinérant",0,0,72,8,28,5,113,201
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 505","Mobile poll/Bureau itinérant",0,4,28,3,10,0,45,110
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 600","North Dundas--Winchester",20,3,649,38,95,2,807,
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 601","North Dundas--Chesterville",12,2,357,15,69,2,457,
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 602","South Dundas--Iroquois",11,2,343,23,76,1,456,
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 603","South Dundas--Morrisburg",7,1,355,29,80,2,474,
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 604","North Stormont--Finch",7,1,321,12,61,0,402,
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 605","North Stormont--Moose Creek",3,0,169,19,37,0,228,
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 606","South Stormont--Ingleside",14,5,497,47,118,1,682,
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 607","South Stormont--St. Andrews",11,3,309,34,47,2,406,
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 608","Cornwall",9,9,475,89,213,1,796,
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 609","Cornwall",5,2,286,41,94,2,430,
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 610","Cornwall",12,1,313,81,239,7,653,
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 611","Cornwall",15,11,368,52,313,6,765,
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 612","South Glengarry--Williamstown",7,1,317,28,97,0,450,
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 613","South Glengarry--Lancaster",18,1,328,30,142,0,519,
