Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Maxime Bernier,Cléo Chartier,Jacques Lussier,Patrice Moore,Jean-Claude Roy,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Beauce/Beauce"," 43","Sainte-Marie",74,6,4,25,3,0,112,178
"Beauce/Beauce"," 44","Sainte-Marie",112,5,9,47,7,1,181,344
"Beauce/Beauce"," 45","Sainte-Marie",144,12,12,56,7,2,233,401
"Beauce/Beauce"," 46","Sainte-Marie",188,5,10,76,8,2,289,471
"Beauce/Beauce"," 47","Frampton",144,1,13,32,23,4,217,333
"Beauce/Beauce"," 48","Frampton",105,3,11,28,12,1,160,258
"Beauce/Beauce"," 49","Frampton",181,13,10,35,40,2,281,430
"Beauce/Beauce"," 50","Saint-Odilon-de-Cranbourne",155,4,28,36,10,0,233,342
"Beauce/Beauce"," 51","Saint-Odilon-de-Cranbourne",216,6,11,36,10,0,279,388
"Beauce/Beauce"," 52","Saint-Odilon-de-Cranbourne",146,3,20,47,1,2,219,329
"Beauce/Beauce"," 53","Saints-Anges",152,4,6,63,5,3,233,325
"Beauce/Beauce"," 54","Saints-Anges",231,4,19,61,11,4,330,472
"Beauce/Beauce"," 55","Vallée-Jonction",120,2,6,28,4,1,161,225
"Beauce/Beauce"," 56","Vallée-Jonction",123,3,12,37,4,3,182,329
"Beauce/Beauce"," 57","Vallée-Jonction",158,7,11,53,6,2,237,338
"Beauce/Beauce"," 58","Vallée-Jonction",92,5,4,13,4,6,124,217
"Beauce/Beauce"," 59","Vallée-Jonction",190,7,14,50,5,5,271,387
"Beauce/Beauce"," 60","Saint-Séverin",115,4,14,28,3,0,164,215
"Beauce/Beauce"," 61","Saint-Frédéric",94,1,13,32,4,4,148,219
"Beauce/Beauce"," 62A","Saint-Frédéric",97,0,16,35,1,2,151,249
"Beauce/Beauce"," 62B","Saint-Frédéric",170,3,9,33,4,0,219,353
"Beauce/Beauce"," 63","Tring-Jonction",155,2,8,26,3,0,194,296
"Beauce/Beauce"," 64","Tring-Jonction",250,3,9,50,3,3,318,438
"Beauce/Beauce"," 65","Tring-Jonction",234,6,5,53,2,2,302,436
"Beauce/Beauce"," 66","Saint-Jules-de-Beauce",272,6,4,47,3,6,338,428
"Beauce/Beauce"," 67","Saint-Joseph-de-Beauce",142,4,13,52,7,2,220,377
"Beauce/Beauce"," 68A","Saint-Joseph-de-Beauce",150,2,13,40,3,0,208,337
"Beauce/Beauce"," 68B","Saint-Joseph-de-Beauce",139,2,19,37,7,4,208,318
"Beauce/Beauce"," 69","Saint-Joseph-de-Beauce",172,8,11,49,10,2,252,444
"Beauce/Beauce"," 70","Saint-Joseph-de-Beauce",137,6,11,43,5,0,202,389
"Beauce/Beauce"," 71","Saint-Joseph-de-Beauce",129,9,9,64,5,4,220,372
"Beauce/Beauce"," 72","Saint-Joseph-de-Beauce",71,5,11,32,4,0,123,213
"Beauce/Beauce"," 73","Saint-Joseph-de-Beauce",129,8,6,36,4,1,184,304
"Beauce/Beauce"," 74","Saint-Joseph-de-Beauce",126,1,11,53,4,4,199,292
"Beauce/Beauce"," 75","Saint-Joseph-de-Beauce",153,7,26,46,5,2,239,528
"Beauce/Beauce"," 76","Saint-Joseph-des-Érables",155,1,10,29,6,2,203,325
"Beauce/Beauce"," 77","Beauceville",239,8,20,40,1,1,309,525
"Beauce/Beauce"," 78","Beauceville",220,10,8,50,6,1,295,540
"Beauce/Beauce"," 79","Beauceville",151,5,22,39,4,2,223,423
"Beauce/Beauce"," 80","Beauceville",85,2,8,24,4,1,124,275
"Beauce/Beauce"," 81","Beauceville",56,0,5,22,0,0,83,200
"Beauce/Beauce"," 82","Beauceville",151,4,32,51,6,2,246,495
"Beauce/Beauce"," 83","Beauceville",192,8,23,36,3,0,262,390
"Beauce/Beauce"," 84","Beauceville",113,4,15,42,4,1,179,321
"Beauce/Beauce"," 85","Beauceville",121,2,6,19,5,2,155,312
"Beauce/Beauce"," 86","Beauceville",121,3,18,33,0,2,177,307
"Beauce/Beauce"," 87","Beauceville",89,5,23,22,7,0,146,242
"Beauce/Beauce"," 88","Beauceville",244,13,16,71,13,3,360,580
"Beauce/Beauce"," 89","Beauceville",135,2,12,41,3,0,193,359
"Beauce/Beauce"," 90","Saint-Alfred",135,11,16,63,10,2,237,340
"Beauce/Beauce"," 91","Saint-Victor-Station",234,6,44,51,3,1,339,542
"Beauce/Beauce"," 92","Saint-Victor",219,6,20,51,5,2,303,489
"Beauce/Beauce"," 93","Saint-Victor",96,1,18,31,0,1,147,278
"Beauce/Beauce"," 94","Saint-Victor",98,2,12,24,2,0,138,232
"Beauce/Beauce"," 95","Saint-Victor-Station",133,1,12,39,8,0,193,288
"Beauce/Beauce"," 96","Saint-Benjamin",188,3,26,48,4,3,272,425
"Beauce/Beauce"," 97","Saint-Benjamin",125,4,17,35,4,3,188,284
"Beauce/Beauce"," 98","Saint-Prosper",161,5,17,42,9,0,234,411
"Beauce/Beauce"," 99","Saint-Prosper",185,7,19,40,10,0,261,409
"Beauce/Beauce"," 100","Saint-Prosper",185,9,21,53,5,2,275,512
"Beauce/Beauce"," 101","Saint-Prosper",187,8,18,55,5,1,274,473
"Beauce/Beauce"," 102","Saint-Prosper",105,4,9,30,1,2,151,256
"Beauce/Beauce"," 103","Saint-Prosper",184,10,15,33,9,0,251,454
"Beauce/Beauce"," 104","Saint-Prosper",183,11,11,28,9,2,244,439
"Beauce/Beauce"," 105","Sainte-Aurélie",175,6,12,48,2,2,245,353
"Beauce/Beauce"," 106","Sainte-Aurélie",153,7,20,42,6,6,234,344
"Beauce/Beauce"," 107","Saint-Éphrem-de-Beauce",245,4,47,51,7,2,356,542
"Beauce/Beauce"," 108","Saint-Éphrem-de-Tring",190,3,32,52,4,6,287,438
"Beauce/Beauce"," 109","Saint-Éphrem-de-Tring",164,2,20,45,4,1,236,324
"Beauce/Beauce"," 110","Saint-Éphrem-de-Tring",102,3,29,19,1,3,157,233
"Beauce/Beauce"," 111","Saint-Éphrem-de-Beauce",167,3,32,61,2,3,268,395
"Beauce/Beauce"," 112","Saint-Benoît-Labre",103,2,18,21,4,1,149,248
"Beauce/Beauce"," 113","Saint-Benoît-Labre",123,4,18,39,5,1,190,350
"Beauce/Beauce"," 114A","Saint-Benoît-Labre",145,4,12,45,2,2,210,324
"Beauce/Beauce"," 114B","Saint-Benoît-Labre",133,3,23,24,5,2,190,334
"Beauce/Beauce"," 115","Aubert-Gallion",153,6,18,46,8,1,232,395
"Beauce/Beauce"," 116","Aubert-Gallion",228,10,15,53,9,1,316,485
"Beauce/Beauce"," 117A","Aubert-Gallion",119,3,11,38,7,0,178,318
"Beauce/Beauce"," 117B","Aubert-Gallion",173,8,6,49,3,2,241,382
"Beauce/Beauce"," 118A","Saint-Georges",107,0,11,40,9,3,170,264
"Beauce/Beauce"," 118B","Saint-Georges",138,5,11,35,4,3,196,324
"Beauce/Beauce"," 119","Saint-Georges",195,10,13,45,6,1,270,400
"Beauce/Beauce"," 120","Saint-Georges",136,8,16,54,9,0,223,398
"Beauce/Beauce"," 121","Saint-Georges",149,9,25,45,5,0,233,447
"Beauce/Beauce"," 122","Saint-Georges",80,5,22,21,3,1,132,277
"Beauce/Beauce"," 123","Saint-Georges",122,8,14,53,1,5,203,370
"Beauce/Beauce"," 124","Saint-Georges",106,10,22,39,7,0,184,424
"Beauce/Beauce"," 125","Saint-Georges",112,9,10,42,5,3,181,317
"Beauce/Beauce"," 126","Saint-Georges",119,7,14,66,3,1,210,378
"Beauce/Beauce"," 127","Saint-Georges",111,9,8,29,6,2,165,298
"Beauce/Beauce"," 128","Saint-Georges",174,3,32,50,4,3,266,432
"Beauce/Beauce"," 129","Saint-Georges",131,13,11,57,7,0,219,396
"Beauce/Beauce"," 130","Saint-Georges",89,3,17,34,2,2,147,260
"Beauce/Beauce"," 131","Saint-Georges",102,3,7,39,2,0,153,313
"Beauce/Beauce"," 132","Saint-Georges",211,10,22,72,9,1,325,508
"Beauce/Beauce"," 133","Aubert-Gallion",89,2,5,26,6,2,130,244
"Beauce/Beauce"," 134","Saint-Jean-de-la-Lande",139,7,9,29,6,0,190,278
"Beauce/Beauce"," 135","Saint-Jean-de-la-Lande",137,5,13,38,3,3,199,276
"Beauce/Beauce"," 136","Saint-Simon-les-Mines",165,5,20,25,9,3,227,327
"Beauce/Beauce"," 137","Notre-Dame-des-Pins",163,3,10,78,9,2,265,384
"Beauce/Beauce"," 138","Notre-Dame-des-Pins",150,4,17,38,7,0,216,316
"Beauce/Beauce"," 139","Notre-Dame-des-Pins",38,3,7,13,5,0,66,99
"Beauce/Beauce"," 140","Saint-Georges-Est",191,9,10,63,12,2,287,459
"Beauce/Beauce"," 141","Saint-Georges-Est",148,5,13,55,8,0,229,393
"Beauce/Beauce"," 142","Saint-Georges-Est",211,9,10,62,1,2,295,542
"Beauce/Beauce"," 143","Saint-Georges-Est",174,10,5,42,9,2,242,471
"Beauce/Beauce"," 144","Saint-Georges",233,6,22,79,10,1,351,600
"Beauce/Beauce"," 145","Saint-Georges",162,10,18,82,7,4,283,517
"Beauce/Beauce"," 146","Saint-Georges",148,4,25,49,3,0,229,411
"Beauce/Beauce"," 147","Saint-Georges",181,9,24,50,7,4,275,482
"Beauce/Beauce"," 148","Saint-Georges",37,1,7,4,0,0,49,87
"Beauce/Beauce"," 149","Saint-Georges",131,10,12,52,4,5,214,370
"Beauce/Beauce"," 150","Saint-Georges",81,6,12,23,8,1,131,330
"Beauce/Beauce"," 151A","Saint-Georges",81,6,11,33,4,1,136,314
"Beauce/Beauce"," 151B","Saint-Georges",106,4,14,38,4,1,167,360
"Beauce/Beauce"," 152","Saint-Georges",144,16,22,46,9,2,239,447
"Beauce/Beauce"," 153","Saint-Georges",132,8,25,46,9,1,221,419
"Beauce/Beauce"," 154","Saint-Georges",96,7,14,31,2,0,150,356
"Beauce/Beauce"," 155","Saint-Georges",65,0,10,20,2,0,97,279
"Beauce/Beauce"," 156","Saint-Georges",138,8,21,51,3,2,223,512
"Beauce/Beauce"," 157","Saint-Georges",162,4,30,48,9,1,254,465
"Beauce/Beauce"," 158","Saint-Georges",113,7,13,41,8,3,185,380
"Beauce/Beauce"," 159","Saint-Georges",109,14,12,42,2,0,179,329
"Beauce/Beauce"," 160","Saint-Georges",163,7,16,31,6,1,224,483
"Beauce/Beauce"," 161","Saint-Georges",151,8,18,48,10,1,236,447
"Beauce/Beauce"," 162","Saint-Georges",110,6,17,28,3,1,165,292
"Beauce/Beauce"," 163","Saint-Georges",113,10,17,37,4,2,183,360
"Beauce/Beauce"," 164","Saint-Georges",132,7,28,48,6,0,221,368
"Beauce/Beauce"," 165","Saint-Georges",173,16,3,40,8,2,242,387
"Beauce/Beauce"," 166","Saint-Georges",142,11,8,36,8,0,205,330
"Beauce/Beauce"," 167","Saint-Georges",218,12,20,72,20,3,345,539
"Beauce/Beauce"," 168","Saint-Georges",262,7,48,65,6,11,399,603
"Beauce/Beauce"," 169A","Saint-Georges",145,6,11,39,7,0,208,351
"Beauce/Beauce"," 169B","Saint-Georges",106,8,10,41,8,0,173,295
"Beauce/Beauce"," 170","Saint-Georges",137,5,7,26,3,3,181,330
"Beauce/Beauce"," 171","Saint-Georges",132,12,7,43,5,0,199,380
"Beauce/Beauce"," 172","Saint-Georges-Est",142,10,13,43,6,2,216,366
"Beauce/Beauce"," 173","Saint-Georges-Est",143,7,4,55,4,2,215,408
"Beauce/Beauce"," 174","Saint-Georges-Est",126,9,17,37,6,1,196,362
"Beauce/Beauce"," 175","Saint-Philibert",130,8,14,28,12,3,195,283
"Beauce/Beauce"," 176","Saint-Côme-de-Kennebec",91,5,7,11,2,2,118,220
"Beauce/Beauce"," 177","Saint-Côme-de-Kennebec",163,10,12,50,5,4,244,457
"Beauce/Beauce"," 178","Saint-Côme-de-Kennebec",181,4,18,49,9,1,262,452
"Beauce/Beauce"," 179","Saint-Côme-de-Kennebec",208,6,19,33,10,1,277,466
"Beauce/Beauce"," 180","Saint-Côme-de-Kennebec",155,13,23,44,12,0,247,406
"Beauce/Beauce"," 181","Saint-Côme-de-Kennebec",190,3,14,41,11,1,260,434
"Beauce/Beauce"," 182","Saint-Zacharie",167,0,15,34,8,2,226,368
"Beauce/Beauce"," 183","Saint-Zacharie",109,5,9,36,4,1,164,269
"Beauce/Beauce"," 184","Saint-Zacharie",112,0,26,29,1,3,171,281
"Beauce/Beauce"," 185","Saint-Zacharie",98,6,38,33,3,2,180,278
"Beauce/Beauce"," 186","Saint-Zacharie",126,1,18,38,5,1,189,320
"Beauce/Beauce"," 187","La Guadeloupe",175,4,41,34,3,0,257,460
"Beauce/Beauce"," 188","La Guadeloupe",155,7,12,31,9,4,218,359
"Beauce/Beauce"," 189","La Guadeloupe",104,1,13,40,5,1,164,272
"Beauce/Beauce"," 190","La Guadeloupe",116,5,14,46,5,3,189,339
"Beauce/Beauce"," 191","Saint-Évariste-de-Forsyth",177,5,35,52,4,2,275,466
"Beauce/Beauce"," 192","Saint-Honoré",113,4,20,41,1,0,179,303
"Beauce/Beauce"," 193","Shenley",160,2,29,46,2,1,240,384
"Beauce/Beauce"," 194","Shenley",172,3,44,49,5,1,274,418
"Beauce/Beauce"," 195","Saint-Honoré",59,0,7,20,0,5,91,170
"Beauce/Beauce"," 196","Saint-Hilaire-de-Dorset",21,0,7,11,1,2,42,65
"Beauce/Beauce"," 197","Saint-Martin",194,2,12,41,2,2,253,456
"Beauce/Beauce"," 198","Saint-Martin",150,6,9,49,3,1,218,387
"Beauce/Beauce"," 199","Saint-Martin",110,3,14,39,9,3,178,328
"Beauce/Beauce"," 200","Saint-Martin",159,4,35,62,5,2,267,455
"Beauce/Beauce"," 201","Saint-Martin",134,7,28,32,4,0,205,337
"Beauce/Beauce"," 202","Saint-René",159,6,24,66,9,5,269,454
"Beauce/Beauce"," 203","Saint-Théophile",173,6,26,28,11,3,247,365
"Beauce/Beauce"," 204","Saint-Théophile",107,3,20,20,0,0,150,252
"Beauce/Beauce"," 205","Béland",141,5,29,34,1,2,212,425
"Beauce/Beauce"," 206","Saint-Gédéon",172,8,30,52,4,0,266,461
"Beauce/Beauce"," 207","Saint-Gédéon",251,9,27,40,2,4,333,509
"Beauce/Beauce"," 208","Saint-Gédéon",203,5,20,27,3,5,263,449
"Beauce/Beauce"," 209","Gayhurst-Partie-Sud-Est",104,2,9,15,2,3,135,253
"Beauce/Beauce"," 210","Risborough",150,7,26,35,2,2,222,382
"Beauce/Beauce"," 211","Risborough",121,2,10,41,5,0,179,300
"Beauce/Beauce"," 212","Saint-Robert-Bellarmin",235,3,27,28,3,5,301,493
"Beauce/Beauce"," 400","Saint-Georges",76,1,31,4,1,1,114,146
"Beauce/Beauce"," 500","Mobile poll/Bureau itinérant",25,0,8,4,0,3,40,140
"Beauce/Beauce"," 501","Mobile poll/Bureau itinérant",10,0,4,8,1,0,23,81
"Beauce/Beauce"," 502","Mobile poll/Bureau itinérant",19,0,6,4,1,0,30,53
"Beauce/Beauce"," 503","Mobile poll/Bureau itinérant",27,0,14,5,2,1,49,80
"Beauce/Beauce"," 504","Mobile poll/Bureau itinérant",80,2,28,11,0,0,121,207
"Beauce/Beauce"," 505","Mobile poll/Bureau itinérant",35,0,17,4,1,5,62,86
"Beauce/Beauce"," 506","Mobile poll/Bureau itinérant",50,1,7,1,1,1,61,109
"Beauce/Beauce"," 507","Mobile poll/Bureau itinérant",33,3,8,5,2,0,51,101
"Beauce/Beauce"," 508","Mobile poll/Bureau itinérant",33,2,9,4,2,5,55,115
"Beauce/Beauce"," 509","Mobile poll/Bureau itinérant",19,1,7,1,5,2,35,74
"Beauce/Beauce"," 600","Saint-Isidore--Sainte-Marguerite",143,7,22,53,4,2,231,
"Beauce/Beauce"," 601","Saint-Bernard--Saint-Elzéar",75,3,5,25,3,1,112,
"Beauce/Beauce"," 602","Sainte-Marie",574,12,62,254,15,5,922,
"Beauce/Beauce"," 603","Frampton--Saint-Odilon-de-Cranbourne",53,1,4,23,7,0,88,
"Beauce/Beauce"," 604","Saints-Anges--Vallée-Jonction",153,4,14,50,5,0,226,
"Beauce/Beauce"," 605","Saint-Frédéric--Saint-Jules",67,2,8,27,5,1,110,
"Beauce/Beauce"," 606","Saint-Joseph-de-Beauce",251,7,50,77,5,1,391,
"Beauce/Beauce"," 607","Beauceville--Saint-Alfred",285,11,75,123,7,0,501,
"Beauce/Beauce"," 608","Saint-Victor",74,0,24,29,3,2,132,
"Beauce/Beauce"," 609","Saint-Prosper--Sainte-Aurélie",193,5,28,54,1,2,283,
"Beauce/Beauce"," 610","Saint-Benoît",86,1,10,43,0,0,140,
"Beauce/Beauce"," 611","Saint-Georges",409,18,82,136,12,4,661,
"Beauce/Beauce"," 612","Saint-Georges",419,13,72,166,10,9,689,
"Beauce/Beauce"," 613","Saint-Georges--Saint-Philibert",240,10,35,74,1,5,365,
"Beauce/Beauce"," 614","Saint-Côme-Linière--Saint-Zacharie",130,3,33,44,5,2,217,
"Beauce/Beauce"," 615","La Guadeloupe",60,2,17,17,6,0,102,
"Beauce/Beauce"," 616","Saint-Honoré",32,2,20,18,0,1,73,
"Beauce/Beauce"," 617","Saint-Martin",97,6,21,65,2,2,193,
"Beauce/Beauce"," 618","Saint-Gédéon",67,3,25,32,1,0,128,
"Beauce/Beauce"," 619","Risborough",24,1,4,5,0,0,34,
"Beauce/Beauce",,Group 1/Groupe 1,51,2,9,33,2,3,100,196
"Beauce/Beauce",,Group 2/Groupe 2,595,31,229,388,25,8,1276,
