Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Stephanie Ashley-Pryce,Ed Fast,Tim Felger,Richard Gebert,Jeffrey Hansen-Carlson,David S. MacKay,David Oliver,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Abbotsford/Abbotsford"," 81","Abbotsford",17,165,1,2,49,1,26,0,261,480
"Abbotsford/Abbotsford"," 82","Abbotsford",8,100,1,0,20,0,26,1,156,279
"Abbotsford/Abbotsford"," 83","Abbotsford",13,129,2,0,31,0,19,0,194,358
"Abbotsford/Abbotsford"," 84","Abbotsford",11,197,0,1,29,0,39,3,280,530
"Abbotsford/Abbotsford"," 85","Abbotsford",3,55,0,0,13,0,13,0,84,142
"Abbotsford/Abbotsford"," 86","Abbotsford",7,120,1,0,20,0,33,0,181,340
"Abbotsford/Abbotsford"," 87","Abbotsford",20,168,1,1,45,1,27,1,264,499
"Abbotsford/Abbotsford"," 88","Abbotsford",2,98,0,1,17,0,12,0,130,196
"Abbotsford/Abbotsford"," 89","Abbotsford",17,229,0,2,46,0,21,1,316,466
"Abbotsford/Abbotsford"," 90","Abbotsford",19,109,1,3,37,1,25,1,196,296
"Abbotsford/Abbotsford"," 91","Abbotsford",17,204,5,0,40,0,45,2,313,478
"Abbotsford/Abbotsford"," 92","Abbotsford",12,121,4,1,65,0,28,0,231,371
"Abbotsford/Abbotsford"," 93","Abbotsford",11,85,2,0,20,0,15,0,133,248
"Abbotsford/Abbotsford"," 94","Abbotsford",16,165,2,3,55,1,30,3,275,483
"Abbotsford/Abbotsford"," 95","Abbotsford",5,50,0,0,21,0,7,1,84,219
"Abbotsford/Abbotsford"," 96","Abbotsford",7,87,1,1,42,0,25,0,163,380
"Abbotsford/Abbotsford"," 97","Abbotsford",4,53,2,1,28,0,12,0,100,270
"Abbotsford/Abbotsford"," 98","Abbotsford",12,100,1,1,61,0,20,0,195,422
"Abbotsford/Abbotsford"," 99","Abbotsford",11,167,4,1,21,0,53,0,257,487
"Abbotsford/Abbotsford"," 100","Abbotsford",37,167,1,1,40,1,31,1,279,474
"Abbotsford/Abbotsford"," 101","Abbotsford",22,201,3,1,44,1,37,0,309,508
"Abbotsford/Abbotsford"," 102","Abbotsford",16,209,3,3,27,1,43,1,303,511
"Abbotsford/Abbotsford"," 103","Abbotsford",15,147,0,0,17,0,37,0,216,334
"Abbotsford/Abbotsford"," 104","Abbotsford",13,201,0,1,41,0,26,3,285,453
"Abbotsford/Abbotsford"," 105","Abbotsford",13,163,2,0,43,0,24,0,245,405
"Abbotsford/Abbotsford"," 106","Abbotsford",21,164,1,0,35,0,21,0,242,412
"Abbotsford/Abbotsford"," 107","Abbotsford",13,157,1,0,68,1,36,1,277,494
"Abbotsford/Abbotsford"," 108","Abbotsford",19,116,1,2,47,0,40,0,225,351
"Abbotsford/Abbotsford"," 109","Abbotsford",17,142,1,2,45,0,25,0,232,427
"Abbotsford/Abbotsford"," 110","Abbotsford",15,79,0,0,30,0,17,0,141,276
"Abbotsford/Abbotsford"," 111","Abbotsford",9,92,3,0,30,0,17,1,152,269
"Abbotsford/Abbotsford"," 112","Abbotsford",14,154,0,0,37,0,36,3,244,438
"Abbotsford/Abbotsford"," 113","Abbotsford",15,175,1,0,42,0,36,2,271,479
"Abbotsford/Abbotsford"," 114","Abbotsford",18,147,2,1,57,0,32,0,257,411
"Abbotsford/Abbotsford"," 115","Abbotsford",6,123,2,0,35,1,37,0,204,385
"Abbotsford/Abbotsford"," 116","Abbotsford",23,145,2,3,47,0,26,1,247,424
"Abbotsford/Abbotsford"," 117","Abbotsford",23,118,4,0,68,1,22,0,236,409
"Abbotsford/Abbotsford"," 118","Abbotsford",10,111,3,1,47,1,42,1,216,449
"Abbotsford/Abbotsford"," 119","Abbotsford",17,165,3,2,32,2,17,1,239,400
"Abbotsford/Abbotsford"," 120","Abbotsford",13,86,4,0,34,0,32,2,171,389
"Abbotsford/Abbotsford"," 121","Abbotsford",29,135,2,0,42,0,30,4,242,429
"Abbotsford/Abbotsford"," 122","Abbotsford",23,114,4,1,45,0,32,0,219,391
"Abbotsford/Abbotsford"," 123","Abbotsford",22,108,3,0,48,1,16,0,198,411
"Abbotsford/Abbotsford"," 124","Abbotsford",13,89,5,3,41,1,18,0,170,414
"Abbotsford/Abbotsford"," 125","Abbotsford",20,146,1,3,43,0,27,0,240,453
"Abbotsford/Abbotsford"," 126","Abbotsford",23,142,1,0,41,0,36,0,243,422
"Abbotsford/Abbotsford"," 127","Abbotsford",22,146,0,1,59,0,26,0,254,460
"Abbotsford/Abbotsford"," 128","Abbotsford",21,115,2,3,54,0,30,0,225,388
"Abbotsford/Abbotsford"," 129","Abbotsford",30,161,4,1,54,0,38,2,290,442
"Abbotsford/Abbotsford"," 130","Abbotsford",27,126,3,0,46,2,24,0,228,375
"Abbotsford/Abbotsford"," 131","Abbotsford",45,236,1,0,45,1,37,2,367,646
"Abbotsford/Abbotsford"," 132","Abbotsford",10,31,1,0,27,0,10,1,80,213
"Abbotsford/Abbotsford"," 133","Abbotsford",9,62,2,0,46,1,14,0,134,304
"Abbotsford/Abbotsford"," 134","Abbotsford",6,80,2,0,56,0,30,0,174,359
"Abbotsford/Abbotsford"," 135","Abbotsford",12,108,1,1,46,0,27,0,195,425
"Abbotsford/Abbotsford"," 136","Abbotsford",7,52,3,1,11,0,8,0,82,135
"Abbotsford/Abbotsford"," 137","Abbotsford",21,92,3,2,47,1,41,0,207,466
"Abbotsford/Abbotsford"," 138","Abbotsford",16,160,1,1,30,0,34,1,243,449
"Abbotsford/Abbotsford"," 139","Abbotsford",11,137,1,0,38,0,30,0,217,382
"Abbotsford/Abbotsford"," 140","Abbotsford",12,173,2,2,54,0,25,2,270,446
"Abbotsford/Abbotsford"," 141","Abbotsford",9,154,1,0,31,1,39,0,235,450
"Abbotsford/Abbotsford"," 142","Abbotsford",20,196,3,3,36,1,32,0,291,472
"Abbotsford/Abbotsford"," 143","Fraser Valley H ",11,94,3,1,9,0,12,0,130,213
"Abbotsford/Abbotsford"," 144","Abbotsford",21,308,1,1,52,1,31,0,415,623
"Abbotsford/Abbotsford"," 145","Abbotsford",23,116,3,2,45,0,28,0,217,365
