Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Barbara Biley,Jen Fisher-Bradley,James Lunney,R. L. Dusty Miller,Jim Stewart,Manjeet Uppal,Frank Wagner,David Wright,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Nanaimo--Alberni/Nanaimo--Alberni"," 109B","Parksville",0,0,46,2,18,58,0,5,0,129,275
"Nanaimo--Alberni/Nanaimo--Alberni"," 110","Parksville",1,0,88,1,58,94,1,19,0,262,446
"Nanaimo--Alberni/Nanaimo--Alberni"," 111","Parksville",0,0,79,4,45,80,0,8,0,216,375
"Nanaimo--Alberni/Nanaimo--Alberni"," 112","Parksville",0,0,152,2,70,69,1,8,0,302,435
"Nanaimo--Alberni/Nanaimo--Alberni"," 113","Parksville",0,0,101,2,38,70,0,11,0,222,411
"Nanaimo--Alberni/Nanaimo--Alberni"," 114","False Bay",2,4,15,0,7,88,0,25,0,141,242
"Nanaimo--Alberni/Nanaimo--Alberni"," 115","False Bay",1,0,71,3,43,55,0,19,0,192,320
"Nanaimo--Alberni/Nanaimo--Alberni"," 116","Parksville",0,0,71,2,38,57,0,15,0,183,361
"Nanaimo--Alberni/Nanaimo--Alberni"," 117A","Parksville",0,0,93,0,58,24,0,13,0,188,352
"Nanaimo--Alberni/Nanaimo--Alberni"," 117B","Parksville",0,0,122,0,31,42,0,7,1,203,352
"Nanaimo--Alberni/Nanaimo--Alberni"," 118","Apenes",0,1,99,2,87,87,1,23,0,300,427
"Nanaimo--Alberni/Nanaimo--Alberni"," 119","Nanoose",1,0,131,2,59,67,0,17,0,277,424
"Nanaimo--Alberni/Nanaimo--Alberni"," 120","Nanoose",0,0,113,3,53,52,0,15,0,236,359
"Nanaimo--Alberni/Nanaimo--Alberni"," 121A","Nanoose",0,0,106,1,46,53,2,17,1,226,354
"Nanaimo--Alberni/Nanaimo--Alberni"," 121B","Nanoose",0,0,102,2,49,46,0,13,0,212,319
"Nanaimo--Alberni/Nanaimo--Alberni"," 122A","Nanoose",0,0,125,0,56,20,0,7,0,208,344
"Nanaimo--Alberni/Nanaimo--Alberni"," 122B","Nanoose",0,1,136,0,62,19,0,8,0,226,349
"Nanaimo--Alberni/Nanaimo--Alberni"," 123","Coombs",0,0,94,0,46,106,0,24,1,271,467
"Nanaimo--Alberni/Nanaimo--Alberni"," 124","Coombs",1,0,129,1,48,97,1,38,0,315,496
"Nanaimo--Alberni/Nanaimo--Alberni"," 125A","Coombs",0,0,53,2,24,62,0,16,0,157,277
"Nanaimo--Alberni/Nanaimo--Alberni"," 125B","Coombs",0,1,64,2,18,63,1,22,0,171,260
"Nanaimo--Alberni/Nanaimo--Alberni"," 126A","Errington",0,0,69,0,29,50,1,10,0,159,317
"Nanaimo--Alberni/Nanaimo--Alberni"," 126B","Errington",0,1,62,4,41,67,0,18,0,193,314
"Nanaimo--Alberni/Nanaimo--Alberni"," 127A","Errington",1,1,70,0,32,48,0,18,0,170,264
"Nanaimo--Alberni/Nanaimo--Alberni"," 127B","Errington",0,2,62,2,39,35,0,16,0,156,280
"Nanaimo--Alberni/Nanaimo--Alberni"," 128A","Errington",0,0,72,3,29,72,0,24,1,201,286
"Nanaimo--Alberni/Nanaimo--Alberni"," 128B","Errington",0,0,55,3,31,80,0,26,0,195,311
"Nanaimo--Alberni/Nanaimo--Alberni"," 129A","Little Mountain",0,0,56,3,22,63,0,23,0,167,283
"Nanaimo--Alberni/Nanaimo--Alberni"," 129B","Little Mountain",0,1,62,7,35,67,2,25,0,199,304
"Nanaimo--Alberni/Nanaimo--Alberni"," 130A","Nanoose",0,0,102,1,38,35,0,10,0,186,290
"Nanaimo--Alberni/Nanaimo--Alberni"," 130B","Nanoose",0,0,96,1,29,49,1,7,0,183,292
"Nanaimo--Alberni/Nanaimo--Alberni"," 131","Nanoose",0,1,153,3,54,76,1,19,0,307,498
"Nanaimo--Alberni/Nanaimo--Alberni"," 132","Nanoose",0,0,139,1,62,67,0,19,0,288,436
"Nanaimo--Alberni/Nanaimo--Alberni"," 133A","Lantzville",0,0,59,0,33,32,0,20,0,144,264
"Nanaimo--Alberni/Nanaimo--Alberni"," 133B","Lantzville",0,1,65,0,35,44,0,6,0,151,245
"Nanaimo--Alberni/Nanaimo--Alberni"," 134","Lantzville",0,0,69,0,35,83,0,14,0,201,358
"Nanaimo--Alberni/Nanaimo--Alberni"," 135","Lantzville",0,1,122,2,40,78,0,30,1,274,395
"Nanaimo--Alberni/Nanaimo--Alberni"," 136","Lantzville",2,0,75,0,43,75,1,16,0,212,352
"Nanaimo--Alberni/Nanaimo--Alberni"," 137","Lantzville",1,0,83,0,32,74,0,22,1,213,347
"Nanaimo--Alberni/Nanaimo--Alberni"," 138","Lantzville",0,0,75,0,46,64,0,15,0,200,302
"Nanaimo--Alberni/Nanaimo--Alberni"," 139","Lantzville",0,0,77,2,38,67,1,8,0,193,318
"Nanaimo--Alberni/Nanaimo--Alberni"," 140A","Lantzville",0,1,63,0,38,50,1,13,0,166,287
"Nanaimo--Alberni/Nanaimo--Alberni"," 140B","Lantzville",0,0,72,3,38,46,0,8,0,167,255
"Nanaimo--Alberni/Nanaimo--Alberni"," 141","Nanoose",0,0,73,2,37,55,2,14,0,183,284
"Nanaimo--Alberni/Nanaimo--Alberni"," 142A","Nanaimo",0,0,133,1,49,68,0,11,1,263,445
"Nanaimo--Alberni/Nanaimo--Alberni"," 142B","Nanaimo",0,1,121,3,75,67,0,7,3,277,441
"Nanaimo--Alberni/Nanaimo--Alberni"," 143","Nanaimo",1,0,109,1,62,71,2,5,0,251,402
"Nanaimo--Alberni/Nanaimo--Alberni"," 144A","Nanaimo",1,0,71,0,35,44,0,10,1,162,262
"Nanaimo--Alberni/Nanaimo--Alberni"," 144B","Nanaimo",0,0,63,1,32,54,0,6,0,156,254
"Nanaimo--Alberni/Nanaimo--Alberni"," 145","Nanaimo",0,0,138,0,61,45,2,6,2,254,393
"Nanaimo--Alberni/Nanaimo--Alberni"," 146A","Nanaimo",0,0,72,1,36,50,1,4,0,164,258
"Nanaimo--Alberni/Nanaimo--Alberni"," 146B","Nanaimo",0,1,78,2,40,54,0,8,0,183,267
"Nanaimo--Alberni/Nanaimo--Alberni"," 147","Nanaimo",0,0,100,0,59,58,0,8,0,225,366
"Nanaimo--Alberni/Nanaimo--Alberni"," 148","Nanaimo",0,0,40,1,39,42,0,5,0,127,224
"Nanaimo--Alberni/Nanaimo--Alberni"," 149","Nanaimo",0,0,107,1,55,67,0,16,0,246,369
"Nanaimo--Alberni/Nanaimo--Alberni"," 150","Nanaimo",0,0,69,1,58,30,0,5,0,163,257
"Nanaimo--Alberni/Nanaimo--Alberni"," 151","Nanaimo",0,0,132,1,59,63,0,17,2,274,444
"Nanaimo--Alberni/Nanaimo--Alberni"," 152A","Nanaimo",0,1,95,0,48,24,0,6,0,174,286
"Nanaimo--Alberni/Nanaimo--Alberni"," 152B","Nanaimo",0,0,100,2,34,34,0,5,0,175,261
"Nanaimo--Alberni/Nanaimo--Alberni"," 153A","Nanaimo",0,0,57,2,45,49,0,6,0,159,312
"Nanaimo--Alberni/Nanaimo--Alberni"," 153B","Nanaimo",0,0,73,0,26,59,3,15,0,176,312
"Nanaimo--Alberni/Nanaimo--Alberni"," 154A","Nanaimo",0,0,106,4,36,34,0,7,0,187,293
