Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Fayaz Choudhary,Partap Dua,Janice Hagan,Joe Li,John McCallum,Wesley Weese,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Markham--Unionville/Markham--Unionville"," 90","Markham",2,4,32,42,164,1,2,247,517
"Markham--Unionville/Markham--Unionville"," 91","Markham",0,4,19,45,191,8,0,267,474
"Markham--Unionville/Markham--Unionville"," 92","Markham",5,1,15,36,213,3,3,276,512
"Markham--Unionville/Markham--Unionville"," 93","Markham",7,1,28,48,203,1,1,289,559
"Markham--Unionville/Markham--Unionville"," 94","Markham",8,3,23,65,225,4,1,329,623
"Markham--Unionville/Markham--Unionville"," 95","Markham",2,0,30,42,175,2,0,251,476
"Markham--Unionville/Markham--Unionville"," 96","Markham",2,6,25,73,149,4,3,262,514
"Markham--Unionville/Markham--Unionville"," 97","Markham",1,1,17,65,210,0,2,296,648
"Markham--Unionville/Markham--Unionville"," 98","Markham",0,1,11,68,116,1,2,199,414
"Markham--Unionville/Markham--Unionville"," 99","Markham",1,1,11,39,142,3,0,197,404
"Markham--Unionville/Markham--Unionville"," 100","Markham",1,1,22,73,257,2,1,357,732
"Markham--Unionville/Markham--Unionville"," 101","Markham",1,1,21,59,208,6,0,296,553
"Markham--Unionville/Markham--Unionville"," 102","Markham",0,3,34,82,208,1,1,329,591
"Markham--Unionville/Markham--Unionville"," 103","Markham",4,1,17,44,87,7,0,160,290
"Markham--Unionville/Markham--Unionville"," 104","Markham",1,3,12,52,129,10,1,208,398
"Markham--Unionville/Markham--Unionville"," 105","Markham",2,1,29,79,201,4,2,318,578
"Markham--Unionville/Markham--Unionville"," 106","Markham",5,2,25,68,259,2,1,362,659
"Markham--Unionville/Markham--Unionville"," 107","Markham",0,1,17,37,127,1,2,185,342
"Markham--Unionville/Markham--Unionville"," 108","Markham",3,1,13,32,64,1,0,114,219
"Markham--Unionville/Markham--Unionville"," 109","Markham",4,2,40,65,203,1,0,315,600
"Markham--Unionville/Markham--Unionville"," 110","Markham",1,3,33,70,267,5,0,379,679
"Markham--Unionville/Markham--Unionville"," 111","Markham",4,2,32,55,239,3,3,338,580
"Markham--Unionville/Markham--Unionville"," 112","Markham",6,0,10,33,171,1,0,221,448
"Markham--Unionville/Markham--Unionville"," 113","Markham",4,3,23,33,217,4,2,286,537
"Markham--Unionville/Markham--Unionville"," 114A","Markham",1,0,24,58,205,6,0,294,549
"Markham--Unionville/Markham--Unionville"," 114B","Markham",1,2,15,59,191,2,0,270,493
"Markham--Unionville/Markham--Unionville"," 115A","Markham",2,1,24,41,249,3,2,322,576
"Markham--Unionville/Markham--Unionville"," 115B","Markham",7,5,26,57,295,7,8,405,661
"Markham--Unionville/Markham--Unionville"," 115-1","Markham",4,6,8,42,149,1,1,211,377
"Markham--Unionville/Markham--Unionville"," 116","Markham",1,3,22,56,217,8,1,308,585
"Markham--Unionville/Markham--Unionville"," 117","Markham",3,10,16,85,293,9,7,423,683
"Markham--Unionville/Markham--Unionville"," 118","Markham",4,6,10,46,222,3,3,294,496
