Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Alexandre Beaudin,Dennis Bevington,Ethel Blondin-Andrew,Richard Edjericon,Jan H. van der Veen,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Western Arctic/Western Arctic"," 81","Lutselk'e",1,20,27,57,0,0,105,225
"Western Arctic/Western Arctic"," 600","Mould Bay",2,4,21,1,0,0,28,
"Western Arctic/Western Arctic"," 601","Mould Bay",3,26,39,22,0,0,90,
"Western Arctic/Western Arctic"," 602","Mould Bay",0,20,10,5,4,0,39,
"Western Arctic/Western Arctic"," 603","Mould Bay",0,2,9,2,0,0,13,
"Western Arctic/Western Arctic"," 604","Mould Bay",16,367,159,195,7,1,745,
"Western Arctic/Western Arctic"," 605","Mould Bay",0,53,29,49,3,0,134,
"Western Arctic/Western Arctic"," 606","Mould Bay",0,93,48,16,0,3,160,
"Western Arctic/Western Arctic",,Group 1/Groupe 1,4,49,81,25,4,8,171,195
"Western Arctic/Western Arctic",,Group 2/Groupe 2,25,351,208,177,5,5,771,
