Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Céline Brault,Lawrence Cannon,Christine Émond Lapointe,Moe Garahan,Benoit Legros,David Smith,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Pontiac/Pontiac"," 140","Val-des-Monts",29,57,106,9,0,31,3,235,478
"Pontiac/Pontiac"," 141","L'Ange-Gardien",37,128,112,10,0,54,2,343,532
"Pontiac/Pontiac"," 142","L'Ange-Gardien",12,40,31,0,0,25,0,108,189
"Pontiac/Pontiac"," 143","L'Ange-Gardien",21,105,113,11,0,54,1,305,579
"Pontiac/Pontiac"," 144","L'Ange-Gardien",25,67,84,9,3,37,3,228,356
"Pontiac/Pontiac"," 145","L'Ange-Gardien",29,89,103,7,3,47,0,278,502
"Pontiac/Pontiac"," 146","L'Ange-Gardien",15,63,77,4,1,49,5,214,377
"Pontiac/Pontiac"," 147","L'Ange-Gardien",43,128,184,14,0,49,7,425,684
"Pontiac/Pontiac"," 148","Buckingham",19,61,76,6,1,43,4,210,407
"Pontiac/Pontiac"," 149","Buckingham",22,57,94,9,0,31,2,215,372
"Pontiac/Pontiac"," 150","Buckingham",21,69,71,9,1,51,1,223,376
"Pontiac/Pontiac"," 151","Buckingham",8,74,64,3,1,38,0,188,344
"Pontiac/Pontiac"," 152","Buckingham",19,82,57,6,0,43,4,211,323
"Pontiac/Pontiac"," 153","Buckingham",25,65,82,6,1,30,2,211,346
"Pontiac/Pontiac"," 154","Buckingham",14,67,128,9,1,47,3,269,494
"Pontiac/Pontiac"," 155","Buckingham",25,82,94,5,0,41,1,248,495
"Pontiac/Pontiac"," 156","Buckingham",8,14,72,2,1,22,3,122,349
"Pontiac/Pontiac"," 157","Buckingham",15,42,74,3,0,33,3,170,312
"Pontiac/Pontiac"," 158","Buckingham",8,52,59,3,0,40,0,162,370
"Pontiac/Pontiac"," 159","Buckingham",20,78,84,4,1,26,0,213,426
"Pontiac/Pontiac"," 160","Buckingham",10,50,40,5,0,36,3,144,431
"Pontiac/Pontiac"," 161","Buckingham",10,41,35,2,1,27,0,116,321
"Pontiac/Pontiac"," 162","Buckingham",11,47,76,3,0,28,1,166,344
"Pontiac/Pontiac"," 163","Buckingham",21,52,46,12,0,27,2,160,412
"Pontiac/Pontiac"," 164","Buckingham",18,75,65,4,0,31,0,193,351
"Pontiac/Pontiac"," 165","Buckingham",20,55,93,5,1,32,0,206,383
"Pontiac/Pontiac"," 166","Buckingham",12,73,77,9,0,29,1,201,404
"Pontiac/Pontiac"," 167","Buckingham",12,31,64,2,1,25,0,135,309
"Pontiac/Pontiac"," 168","Buckingham",8,52,52,3,0,44,0,159,346
"Pontiac/Pontiac"," 169","Buckingham",10,51,66,4,1,29,0,161,324
"Pontiac/Pontiac"," 170","Buckingham",10,60,55,6,0,33,0,164,367
"Pontiac/Pontiac"," 171","Buckingham",17,57,71,2,0,40,3,190,399
"Pontiac/Pontiac"," 172","Masson-Angers",63,105,195,9,0,81,1,454,820
"Pontiac/Pontiac"," 173","Masson-Angers",32,51,99,1,2,33,1,219,362
"Pontiac/Pontiac"," 174","Masson-Angers",22,32,82,6,0,48,1,191,305
"Pontiac/Pontiac"," 175","Masson-Angers",21,76,139,6,1,59,1,303,500
"Pontiac/Pontiac"," 176","Masson-Angers",28,52,90,1,0,43,1,215,411
"Pontiac/Pontiac"," 177","Masson-Angers",20,46,78,5,1,21,2,173,282
"Pontiac/Pontiac"," 178","Masson-Angers",11,67,103,3,1,20,0,205,312
"Pontiac/Pontiac"," 179","Masson-Angers",18,53,65,9,0,22,1,168,316
"Pontiac/Pontiac"," 180","Masson-Angers",20,53,74,7,0,27,0,181,307
"Pontiac/Pontiac"," 181","Masson-Angers",9,27,31,2,0,18,0,87,224
"Pontiac/Pontiac"," 182","Masson-Angers",28,81,139,5,0,49,2,304,569
"Pontiac/Pontiac"," 183","Masson-Angers",14,43,82,2,1,35,1,178,348
"Pontiac/Pontiac"," 184","Masson-Angers",17,50,57,8,1,30,1,164,362
"Pontiac/Pontiac"," 185","Masson-Angers",11,27,64,5,0,20,1,128,235
"Pontiac/Pontiac"," 186","Masson-Angers",15,22,42,3,0,30,0,112,226
"Pontiac/Pontiac"," 187","Masson-Angers",21,47,69,3,0,27,2,169,422
"Pontiac/Pontiac"," 188","Masson-Angers",29,57,103,7,0,26,4,226,368
"Pontiac/Pontiac"," 189","Masson-Angers",12,60,82,4,1,44,3,206,369
"Pontiac/Pontiac"," 190","Masson-Angers",18,49,91,4,0,24,3,189,378
"Pontiac/Pontiac"," 191","Masson-Angers",11,57,76,3,1,28,3,179,403
"Pontiac/Pontiac"," 192","Masson-Angers",18,88,93,4,0,54,2,259,529
"Pontiac/Pontiac"," 500","Mobile poll/Bureau itinérant",0,16,4,1,2,19,0,42,103
"Pontiac/Pontiac"," 600","Déléage",6,79,99,1,0,93,3,281,
"Pontiac/Pontiac"," 601","Maniwaki",12,135,92,6,1,166,1,413,
"Pontiac/Pontiac"," 602","Gracefield",15,90,84,2,0,80,3,274,
"Pontiac/Pontiac"," 603","Rapides-des-Joachims",3,6,7,1,0,1,1,19,
"Pontiac/Pontiac"," 604","Fort-Coulonge",16,178,77,6,1,168,0,446,
"Pontiac/Pontiac"," 605","Clarendon--Shawville",22,319,20,7,0,125,0,493,
"Pontiac/Pontiac"," 606","Wakefield",54,151,58,11,4,121,2,401,
"Pontiac/Pontiac"," 607","Clarendon--Shawville",19,70,15,2,0,37,1,144,
"Pontiac/Pontiac"," 608","Chelsea",112,183,73,47,1,202,2,620,
"Pontiac/Pontiac"," 609","Cantley",59,165,203,23,3,145,2,600,
"Pontiac/Pontiac"," 610","Val-des-Monts",41,145,144,12,0,77,0,419,
"Pontiac/Pontiac"," 611","Buckingham",33,124,113,11,0,95,2,378,
"Pontiac/Pontiac"," 612","Buckingham",20,149,94,13,0,136,2,414,
"Pontiac/Pontiac"," 613","Masson-Angers",40,171,204,8,0,157,4,584,
"Pontiac/Pontiac",,Group 1/Groupe 1,20,41,23,5,0,42,1,132,269
"Pontiac/Pontiac",,Group 2/Groupe 2,87,303,317,24,1,415,11,1158,
