Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Patrick Arnell,Jason Devine,Ghazanfar Khan,Deepak Obhrai,John Mark Taylor,Dobie To,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Calgary East/Calgary-Est"," 29","Calgary",20,1,3,134,13,19,1,191,394
"Calgary East/Calgary-Est"," 30","Calgary",19,2,0,132,9,46,1,209,429
"Calgary East/Calgary-Est"," 31","Calgary",21,2,3,156,14,52,2,250,518
"Calgary East/Calgary-Est"," 32","Calgary",16,3,0,170,14,37,0,240,486
"Calgary East/Calgary-Est"," 33","Calgary",20,4,2,106,7,31,1,171,388
"Calgary East/Calgary-Est"," 34","Calgary",31,3,2,164,17,25,1,243,473
"Calgary East/Calgary-Est"," 35","Calgary",22,1,0,93,4,26,0,146,269
"Calgary East/Calgary-Est"," 36","Calgary",11,1,1,103,7,23,0,146,302
"Calgary East/Calgary-Est"," 37","Calgary",23,0,0,164,10,30,0,227,467
"Calgary East/Calgary-Est"," 38","Calgary",25,0,2,132,16,51,1,227,468
"Calgary East/Calgary-Est"," 39","Calgary",21,4,0,142,11,28,1,207,440
"Calgary East/Calgary-Est"," 40","Calgary",14,0,1,157,11,24,1,208,468
"Calgary East/Calgary-Est"," 41","Calgary",12,0,0,93,3,26,0,134,360
"Calgary East/Calgary-Est"," 42","Calgary",17,1,0,155,9,21,2,205,434
"Calgary East/Calgary-Est"," 43","Calgary",17,1,0,127,14,20,1,180,350
"Calgary East/Calgary-Est"," 44","Calgary",14,1,1,122,9,18,0,165,342
"Calgary East/Calgary-Est"," 45","Calgary",21,0,2,115,18,24,1,181,402
"Calgary East/Calgary-Est"," 46","Calgary",22,1,2,101,15,22,0,163,341
"Calgary East/Calgary-Est"," 47","Calgary",23,3,1,121,9,39,0,196,362
"Calgary East/Calgary-Est"," 48","Calgary",25,1,0,136,12,27,1,202,463
"Calgary East/Calgary-Est"," 49","Calgary",26,1,1,154,11,34,1,228,516
"Calgary East/Calgary-Est"," 50","Calgary",12,1,0,105,7,20,0,145,332
"Calgary East/Calgary-Est"," 51","Calgary",26,1,1,134,17,28,0,207,423
"Calgary East/Calgary-Est"," 52","Calgary",14,3,1,122,14,43,1,198,475
"Calgary East/Calgary-Est"," 53","Calgary",16,0,0,82,7,15,1,121,317
"Calgary East/Calgary-Est"," 54","Calgary",21,1,0,93,5,25,0,145,363
"Calgary East/Calgary-Est"," 55","Calgary",24,1,0,98,9,33,0,165,455
"Calgary East/Calgary-Est"," 56","Calgary",11,1,0,109,11,27,1,160,341
"Calgary East/Calgary-Est"," 57","Calgary",12,0,0,77,6,13,2,110,292
"Calgary East/Calgary-Est"," 58","Calgary",20,0,2,112,9,30,2,175,401
"Calgary East/Calgary-Est"," 59","Calgary",8,1,3,70,3,36,1,122,361
"Calgary East/Calgary-Est"," 60","Calgary",9,1,0,120,15,34,5,184,432
"Calgary East/Calgary-Est"," 61","Calgary",17,1,0,135,8,28,0,189,429
"Calgary East/Calgary-Est"," 62","Calgary",20,0,1,108,15,20,1,165,407
"Calgary East/Calgary-Est"," 63","Calgary",19,0,1,88,7,21,0,136,360
"Calgary East/Calgary-Est"," 64","Calgary",17,0,0,37,5,15,1,75,281
"Calgary East/Calgary-Est"," 65","Calgary",15,1,0,42,10,23,0,91,291
"Calgary East/Calgary-Est"," 66","Calgary",18,1,5,132,12,32,1,201,493
"Calgary East/Calgary-Est"," 67","Calgary",31,2,3,147,11,23,1,218,537
"Calgary East/Calgary-Est"," 68A","Calgary",15,0,1,61,8,7,0,92,317
"Calgary East/Calgary-Est"," 68B","Calgary",12,1,0,75,5,15,0,108,348
"Calgary East/Calgary-Est"," 68C","Calgary",9,4,0,63,4,11,0,91,323
"Calgary East/Calgary-Est"," 69","Calgary",9,1,0,102,13,8,0,133,316
"Calgary East/Calgary-Est"," 70","Calgary",29,0,0,112,16,37,0,194,425
"Calgary East/Calgary-Est"," 71","Calgary",22,2,1,132,20,37,0,214,412
"Calgary East/Calgary-Est"," 72","Calgary",31,3,2,152,10,42,3,243,521
"Calgary East/Calgary-Est"," 73","Calgary",22,3,3,115,17,32,0,192,370
"Calgary East/Calgary-Est"," 74","Calgary",11,1,1,101,13,19,1,147,318
"Calgary East/Calgary-Est"," 75","Calgary",18,3,0,128,19,30,1,199,431
"Calgary East/Calgary-Est"," 76","Calgary",26,0,1,138,13,37,1,216,454
"Calgary East/Calgary-Est"," 77","Calgary",14,3,2,139,24,38,0,220,483
"Calgary East/Calgary-Est"," 78","Calgary",13,0,0,119,14,46,0,192,389
"Calgary East/Calgary-Est"," 79","Calgary",23,0,3,175,9,25,0,235,527
"Calgary East/Calgary-Est"," 80","Calgary",14,0,0,108,4,18,1,145,304
"Calgary East/Calgary-Est"," 81","Calgary",11,0,4,154,4,25,1,199,520
"Calgary East/Calgary-Est"," 82","Calgary",14,2,0,106,4,33,0,159,369
"Calgary East/Calgary-Est"," 83A","Calgary",10,3,1,90,13,25,1,143,400
"Calgary East/Calgary-Est"," 83B","Calgary",8,1,0,87,5,16,0,117,342
"Calgary East/Calgary-Est"," 84","Calgary",21,1,1,103,2,38,1,167,462
"Calgary East/Calgary-Est"," 85","Calgary",6,3,2,127,7,25,0,170,342
"Calgary East/Calgary-Est"," 86","Calgary",11,1,3,91,13,29,0,148,395
"Calgary East/Calgary-Est"," 87A","Calgary",17,5,2,114,4,35,2,179,460
"Calgary East/Calgary-Est"," 87B","Calgary",16,4,2,87,13,26,1,149,459
"Calgary East/Calgary-Est"," 88","Calgary",19,3,4,75,10,29,0,140,465
"Calgary East/Calgary-Est"," 89","Calgary",23,0,5,77,5,32,0,142,511
"Calgary East/Calgary-Est"," 90","Calgary",21,0,1,117,12,34,0,185,401
"Calgary East/Calgary-Est"," 91","Calgary",18,1,0,147,15,19,0,200,377
"Calgary East/Calgary-Est"," 92","Calgary",8,1,1,59,5,25,0,99,229
"Calgary East/Calgary-Est"," 93","Calgary",14,1,0,100,8,18,0,141,285
"Calgary East/Calgary-Est"," 94","Calgary",19,1,0,120,8,18,0,166,318
"Calgary East/Calgary-Est"," 95","Calgary",7,7,1,83,12,17,0,127,329
"Calgary East/Calgary-Est"," 96","Calgary",12,2,0,66,5,12,0,97,253
"Calgary East/Calgary-Est"," 97","Calgary",16,2,0,59,4,18,0,99,261
"Calgary East/Calgary-Est"," 98","Calgary",14,3,0,49,7,21,0,94,319
"Calgary East/Calgary-Est"," 99","Calgary",10,2,2,64,9,23,0,110,311
"Calgary East/Calgary-Est"," 100","Calgary",24,1,1,81,7,17,0,131,338
"Calgary East/Calgary-Est"," 101","Calgary",16,0,0,102,22,25,0,165,335
"Calgary East/Calgary-Est"," 102","Calgary",19,2,0,63,9,16,0,109,342
"Calgary East/Calgary-Est"," 103","Calgary",7,1,0,32,8,13,0,61,368
"Calgary East/Calgary-Est"," 104","Calgary",19,0,0,66,6,36,3,130,365
"Calgary East/Calgary-Est"," 105","Calgary",20,1,2,108,12,23,0,166,468
"Calgary East/Calgary-Est"," 106","Calgary",11,1,3,85,9,27,0,136,471
"Calgary East/Calgary-Est"," 107","Calgary",45,0,0,75,50,20,0,190,375
"Calgary East/Calgary-Est"," 108","Calgary",71,2,2,137,70,44,0,326,552
"Calgary East/Calgary-Est"," 109A","Calgary",34,0,1,124,52,39,2,252,409
"Calgary East/Calgary-Est"," 109B","Calgary",47,1,0,103,46,40,0,237,403
"Calgary East/Calgary-Est"," 110","Calgary",34,0,2,136,55,28,0,255,540
"Calgary East/Calgary-Est"," 111","Calgary",59,1,3,133,65,37,0,298,489
"Calgary East/Calgary-Est"," 112","Calgary",25,0,1,87,25,11,0,149,355
"Calgary East/Calgary-Est"," 113","Calgary",28,0,1,159,24,17,1,230,441
"Calgary East/Calgary-Est"," 114","Calgary",17,1,1,83,10,27,0,139,371
"Calgary East/Calgary-Est"," 115","Calgary",14,2,0,144,19,23,1,203,372
"Calgary East/Calgary-Est"," 116","Calgary",20,0,2,89,13,19,1,144,431
"Calgary East/Calgary-Est"," 117","Calgary",6,1,1,79,7,9,0,103,339
"Calgary East/Calgary-Est"," 118","Calgary",12,0,0,68,10,14,1,105,337
"Calgary East/Calgary-Est"," 119","Calgary",21,1,1,125,22,16,0,186,516
"Calgary East/Calgary-Est"," 120","Calgary",11,1,0,102,12,17,0,143,345
"Calgary East/Calgary-Est"," 121","Calgary",12,2,0,113,5,22,0,154,328
"Calgary East/Calgary-Est"," 122","Calgary",24,3,0,110,10,19,0,166,363
"Calgary East/Calgary-Est"," 123","Calgary",13,0,0,42,2,4,0,61,306
"Calgary East/Calgary-Est"," 124","Calgary",25,2,1,219,16,31,1,295,681
"Calgary East/Calgary-Est"," 125","Calgary",25,0,1,115,16,19,0,176,381
"Calgary East/Calgary-Est"," 126","Calgary",22,1,0,94,14,17,0,148,369
"Calgary East/Calgary-Est"," 127","Calgary",24,4,2,102,11,19,0,162,479
"Calgary East/Calgary-Est"," 128","Calgary",31,0,1,114,17,21,3,187,471
"Calgary East/Calgary-Est"," 129","Calgary",7,0,0,65,0,7,0,79,244
"Calgary East/Calgary-Est"," 130","Calgary",10,1,0,57,5,21,0,94,246
"Calgary East/Calgary-Est"," 131","Calgary",9,0,0,73,8,22,0,112,313
"Calgary East/Calgary-Est"," 132","Calgary",18,1,0,105,11,7,1,143,388
"Calgary East/Calgary-Est"," 133","Calgary",11,0,0,134,12,12,0,169,325
"Calgary East/Calgary-Est"," 134","Calgary",34,2,0,135,17,23,1,212,437
"Calgary East/Calgary-Est"," 135","Calgary",20,1,0,110,10,21,1,163,328
"Calgary East/Calgary-Est"," 136","Calgary",12,0,0,94,12,16,1,135,293
"Calgary East/Calgary-Est"," 137","Calgary",18,2,2,137,11,15,1,186,317
"Calgary East/Calgary-Est"," 138","Calgary",30,3,2,149,16,24,0,224,446
"Calgary East/Calgary-Est"," 139","Calgary",12,1,0,104,18,14,0,149,341
"Calgary East/Calgary-Est"," 140","Calgary",16,1,1,130,17,21,1,187,379
"Calgary East/Calgary-Est"," 141","Calgary",24,0,1,111,11,18,0,165,413
"Calgary East/Calgary-Est"," 142","Calgary",14,1,0,69,6,12,0,102,272
"Calgary East/Calgary-Est"," 143A","Calgary",10,1,2,123,5,16,0,157,371
"Calgary East/Calgary-Est"," 143B","Calgary",10,0,2,142,8,30,0,192,400
"Calgary East/Calgary-Est"," 144","Calgary",14,0,0,90,4,10,0,118,234
"Calgary East/Calgary-Est"," 145","Calgary",29,0,0,144,11,20,0,204,465
"Calgary East/Calgary-Est"," 146","Calgary",26,2,0,114,10,26,0,178,417
"Calgary East/Calgary-Est"," 147","Calgary",16,0,0,144,10,27,1,198,431
"Calgary East/Calgary-Est"," 148","Calgary",19,1,0,151,11,12,2,196,349
"Calgary East/Calgary-Est"," 149","Calgary",16,0,0,92,7,12,0,127,237
"Calgary East/Calgary-Est"," 150","Calgary",12,0,0,110,6,10,0,138,329
"Calgary East/Calgary-Est"," 151","Calgary",19,0,0,121,17,19,2,178,374
"Calgary East/Calgary-Est"," 152A","Calgary",15,0,1,125,7,32,0,180,386
"Calgary East/Calgary-Est"," 152B","Calgary",9,0,0,109,13,21,0,152,378
"Calgary East/Calgary-Est"," 152C","Calgary",22,2,1,126,9,20,0,180,382
"Calgary East/Calgary-Est"," 153","Calgary",10,0,1,123,19,22,0,175,444
"Calgary East/Calgary-Est"," 154","Calgary",13,0,1,105,21,9,0,149,248
"Calgary East/Calgary-Est"," 155","Calgary",10,0,0,80,8,16,0,114,298
"Calgary East/Calgary-Est"," 156","Calgary",29,0,0,153,24,29,1,236,404
"Calgary East/Calgary-Est"," 157","Calgary",17,0,1,136,19,22,0,195,347
"Calgary East/Calgary-Est"," 158","Calgary",23,1,0,154,15,23,1,217,345
"Calgary East/Calgary-Est"," 159","Calgary",20,1,1,109,15,14,0,160,322
"Calgary East/Calgary-Est"," 160","Calgary",18,0,2,150,9,17,1,197,327
"Calgary East/Calgary-Est"," 161","Calgary",21,1,0,208,23,15,0,268,461
"Calgary East/Calgary-Est"," 162","Calgary",18,0,0,149,23,34,0,224,392
"Calgary East/Calgary-Est"," 163","Calgary",32,1,1,205,17,26,1,283,483
"Calgary East/Calgary-Est"," 164","Calgary",35,2,0,142,23,22,0,224,419
"Calgary East/Calgary-Est"," 165","Calgary",22,1,0,108,11,17,0,159,321
"Calgary East/Calgary-Est"," 166","Calgary",26,1,4,131,14,25,2,203,397
"Calgary East/Calgary-Est"," 167","Calgary",25,0,1,126,14,14,1,181,349
"Calgary East/Calgary-Est"," 168","Calgary",21,1,1,115,12,17,2,169,328
"Calgary East/Calgary-Est"," 169","Calgary",20,2,0,176,17,26,0,241,457
"Calgary East/Calgary-Est"," 170","Calgary",19,2,0,100,11,15,2,149,447
"Calgary East/Calgary-Est"," 171","Calgary",22,1,0,168,19,14,0,224,342
"Calgary East/Calgary-Est"," 172","Calgary",16,1,0,170,16,23,0,226,333
"Calgary East/Calgary-Est"," 173","Calgary",Void/Supprimé,,,,,,,,
"Calgary East/Calgary-Est"," 174","Calgary",18,0,0,172,23,18,2,233,359
"Calgary East/Calgary-Est"," 175","Calgary",27,1,1,202,29,29,1,290,476
"Calgary East/Calgary-Est"," 176","Calgary",21,0,1,163,20,31,0,236,425
"Calgary East/Calgary-Est"," 177","Calgary",26,0,1,141,14,33,0,215,405
"Calgary East/Calgary-Est"," 178","Calgary",33,1,0,198,14,31,1,278,423
"Calgary East/Calgary-Est"," 179","Calgary",14,0,0,217,8,22,1,262,393
"Calgary East/Calgary-Est"," 180","Calgary",16,2,0,122,4,32,1,177,320
"Calgary East/Calgary-Est"," 181","Calgary",19,0,0,136,13,18,0,186,362
"Calgary East/Calgary-Est"," 182","Calgary",20,0,2,158,16,20,1,217,372
"Calgary East/Calgary-Est"," 183","Calgary",34,1,1,158,17,46,0,257,376
"Calgary East/Calgary-Est"," 184","Calgary",22,1,0,141,10,17,1,192,282
"Calgary East/Calgary-Est"," 185","Calgary",21,0,0,207,10,15,0,253,380
"Calgary East/Calgary-Est"," 186","Calgary",17,0,1,214,20,33,0,285,414
"Calgary East/Calgary-Est"," 187","Calgary",31,0,0,169,7,20,1,228,351
"Calgary East/Calgary-Est"," 188","Calgary",21,1,0,160,22,20,1,225,331
"Calgary East/Calgary-Est"," 189","Calgary",24,0,1,146,18,13,1,203,344
"Calgary East/Calgary-Est"," 190","Calgary",21,1,1,166,15,25,1,230,426
"Calgary East/Calgary-Est"," 191","Calgary",21,1,1,231,21,39,0,314,494
"Calgary East/Calgary-Est"," 192","Calgary",14,2,0,226,17,29,1,289,486
"Calgary East/Calgary-Est"," 193","Calgary",20,0,0,176,14,27,0,237,463
"Calgary East/Calgary-Est"," 194","Calgary",12,1,0,201,22,17,0,253,503
"Calgary East/Calgary-Est"," 195","Calgary",25,0,0,221,20,20,3,289,517
"Calgary East/Calgary-Est"," 500","Mobile poll/Bureau itinérant",7,5,3,87,6,18,4,130,325
"Calgary East/Calgary-Est"," 600","Calgary",43,3,0,288,13,46,2,395,
"Calgary East/Calgary-Est"," 601","Calgary",28,1,2,269,16,56,2,374,
"Calgary East/Calgary-Est"," 602","Calgary",34,2,5,314,12,72,4,443,
"Calgary East/Calgary-Est"," 603","Calgary",22,2,0,163,11,55,3,256,
"Calgary East/Calgary-Est"," 604","Calgary",11,0,0,41,22,20,0,94,
"Calgary East/Calgary-Est"," 605","Calgary",58,2,3,443,36,72,2,616,
"Calgary East/Calgary-Est"," 606","Calgary",15,0,1,105,12,13,0,146,
"Calgary East/Calgary-Est"," 607","Calgary",11,2,0,164,11,18,1,207,
"Calgary East/Calgary-Est",,Group 1/Groupe 1,6,1,1,46,18,54,8,134,227
"Calgary East/Calgary-Est",,Group 2/Groupe 2,60,3,2,427,30,80,40,642,
