Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Herta Barron,Mike Fornssler,Don Kossick,Sonje Kristtorn,D.-Jay Krozser,Lynne Yelich,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Blackstrap/Blackstrap"," 19","Saskatoon",28,4,59,1,1,64,0,157,336
"Blackstrap/Blackstrap"," 20","Saskatoon",35,13,90,1,3,84,0,226,358
"Blackstrap/Blackstrap"," 21","Saskatoon",52,11,126,0,3,100,0,292,431
"Blackstrap/Blackstrap"," 22","Saskatoon",35,6,95,1,3,96,3,239,363
"Blackstrap/Blackstrap"," 23","Saskatoon",58,8,93,2,4,76,0,241,395
"Blackstrap/Blackstrap"," 24","Saskatoon",61,9,100,0,3,79,1,253,397
"Blackstrap/Blackstrap"," 25","Saskatoon",26,13,83,3,4,71,0,200,357
"Blackstrap/Blackstrap"," 26","Saskatoon",60,8,106,2,4,176,0,356,571
"Blackstrap/Blackstrap"," 27","Saskatoon",29,4,66,0,0,46,0,145,286
"Blackstrap/Blackstrap"," 28","Saskatoon",22,9,108,1,4,56,0,200,358
"Blackstrap/Blackstrap"," 29","Saskatoon",29,3,82,0,3,43,2,162,279
"Blackstrap/Blackstrap"," 30","Saskatoon",36,6,69,0,2,78,1,192,295
"Blackstrap/Blackstrap"," 31","Saskatoon",20,6,47,0,3,63,0,139,253
"Blackstrap/Blackstrap"," 32","Saskatoon",19,7,71,0,1,49,0,147,298
"Blackstrap/Blackstrap"," 33","Saskatoon",41,7,121,0,2,100,0,271,439
"Blackstrap/Blackstrap"," 34","Saskatoon",33,14,86,1,4,104,1,243,396
"Blackstrap/Blackstrap"," 35","Saskatoon",30,13,88,0,2,110,1,244,361
"Blackstrap/Blackstrap"," 36","Saskatoon",37,10,106,0,2,113,0,268,427
"Blackstrap/Blackstrap"," 37","Saskatoon",40,13,81,1,3,85,0,223,323
"Blackstrap/Blackstrap"," 38","Saskatoon",40,6,93,1,1,116,0,257,404
"Blackstrap/Blackstrap"," 39","Saskatoon",46,7,109,0,4,107,0,273,401
"Blackstrap/Blackstrap"," 40","Saskatoon",43,8,89,0,0,77,0,217,334
"Blackstrap/Blackstrap"," 41","Saskatoon",55,7,88,0,5,129,1,285,427
"Blackstrap/Blackstrap"," 42","Saskatoon",47,7,92,0,0,76,0,222,345
"Blackstrap/Blackstrap"," 43","Saskatoon",28,5,67,3,0,86,0,189,284
"Blackstrap/Blackstrap"," 44","Saskatoon",29,6,67,0,4,65,0,171,289
"Blackstrap/Blackstrap"," 45","Saskatoon",60,16,106,0,3,97,1,283,402
"Blackstrap/Blackstrap"," 46","Saskatoon",28,6,64,0,1,83,0,182,287
"Blackstrap/Blackstrap"," 47","Saskatoon",38,6,85,0,6,125,0,260,428
"Blackstrap/Blackstrap"," 48","Saskatoon",40,4,79,0,2,92,0,217,326
"Blackstrap/Blackstrap"," 49","Saskatoon",41,7,53,1,0,119,1,222,383
"Blackstrap/Blackstrap"," 50","Saskatoon",38,7,79,0,5,83,1,213,388
"Blackstrap/Blackstrap"," 51","Saskatoon",30,9,54,1,4,65,1,164,300
"Blackstrap/Blackstrap"," 52","Saskatoon",35,4,59,0,0,61,0,159,303
"Blackstrap/Blackstrap"," 53","Saskatoon",28,8,56,2,3,53,0,150,338
"Blackstrap/Blackstrap"," 54","Saskatoon",60,15,120,0,5,118,1,319,550
"Blackstrap/Blackstrap"," 55","Saskatoon",40,6,66,0,0,70,0,182,292
"Blackstrap/Blackstrap"," 56","Saskatoon",54,9,78,0,2,78,0,221,376
"Blackstrap/Blackstrap"," 57","Saskatoon",27,4,61,1,1,71,0,165,283
"Blackstrap/Blackstrap"," 58","Saskatoon",33,3,64,1,2,61,0,164,221
"Blackstrap/Blackstrap"," 59","Saskatoon",86,6,91,1,4,107,6,301,511
"Blackstrap/Blackstrap"," 60","Saskatoon",89,8,110,0,2,110,0,319,440
"Blackstrap/Blackstrap"," 61","Saskatoon",60,0,83,1,4,76,2,226,269
"Blackstrap/Blackstrap"," 62","Saskatoon",109,12,119,2,2,165,2,411,615
"Blackstrap/Blackstrap"," 63","Saskatoon",87,2,48,2,4,87,1,231,311
"Blackstrap/Blackstrap"," 64","Saskatoon",27,3,52,0,9,64,0,155,250
"Blackstrap/Blackstrap"," 65","Saskatoon",53,9,78,1,3,99,0,243,357
"Blackstrap/Blackstrap"," 66","Saskatoon",33,4,64,0,0,65,0,166,325
"Blackstrap/Blackstrap"," 67","Saskatoon",40,6,75,0,3,70,0,194,327
"Blackstrap/Blackstrap"," 68","Saskatoon",26,5,31,0,0,58,0,120,207
"Blackstrap/Blackstrap"," 69","Saskatoon",35,13,96,1,5,109,2,261,426
"Blackstrap/Blackstrap"," 70","Saskatoon",43,5,91,0,1,93,0,233,422
"Blackstrap/Blackstrap"," 71","Saskatoon",46,3,87,0,2,122,0,260,462
"Blackstrap/Blackstrap"," 72A","Saskatoon",51,5,88,0,1,97,1,243,396
"Blackstrap/Blackstrap"," 72B","Saskatoon",36,8,63,0,1,87,2,197,315
"Blackstrap/Blackstrap"," 73","Saskatoon",46,3,64,0,0,156,3,272,360
"Blackstrap/Blackstrap"," 74","Saskatoon",42,7,108,1,1,95,0,254,499
"Blackstrap/Blackstrap"," 75","Saskatoon",52,10,91,0,2,119,1,275,478
"Blackstrap/Blackstrap"," 76","Saskatoon",64,14,56,1,3,128,0,266,464
"Blackstrap/Blackstrap"," 77","Saskatoon",47,6,44,0,0,89,0,186,323
"Blackstrap/Blackstrap"," 78","Saskatoon",43,11,74,1,0,107,0,236,378
"Blackstrap/Blackstrap"," 79","Saskatoon",59,10,62,1,1,130,0,263,468
"Blackstrap/Blackstrap"," 80","Saskatoon",42,9,74,0,0,71,0,196,333
"Blackstrap/Blackstrap"," 81","Saskatoon",28,7,52,1,0,48,0,136,298
"Blackstrap/Blackstrap"," 82","Saskatoon",57,10,65,1,0,132,0,265,441
"Blackstrap/Blackstrap"," 83","Saskatoon",31,2,37,0,0,59,0,129,244
"Blackstrap/Blackstrap"," 84","Saskatoon",64,10,74,1,1,110,0,260,409
"Blackstrap/Blackstrap"," 85A","Saskatoon",86,4,88,1,2,140,0,321,552
"Blackstrap/Blackstrap"," 85B","Mobile poll/Bureau itinérant",Merged with No. 10B/Fusionné avec le nº 10B,,,,,,,,19
"Blackstrap/Blackstrap"," 86","Saskatoon",28,12,41,0,6,81,0,168,348
"Blackstrap/Blackstrap"," 87","Saskatoon",19,10,64,0,7,96,0,196,353
"Blackstrap/Blackstrap"," 88","Saskatoon",16,4,46,0,0,54,0,120,236
"Blackstrap/Blackstrap"," 89","Saskatoon",94,8,103,0,5,211,1,422,772
"Blackstrap/Blackstrap"," 90","Saskatoon",17,2,32,1,2,44,0,98,174
"Blackstrap/Blackstrap"," 91","Saskatoon",61,12,115,0,1,128,0,317,665
"Blackstrap/Blackstrap"," 92","Saskatoon",63,4,45,0,2,133,0,247,453
"Blackstrap/Blackstrap"," 93A","Saskatoon",46,3,30,0,2,106,1,188,338
"Blackstrap/Blackstrap"," 93B","Saskatoon",26,3,36,0,1,83,0,149,295
"Blackstrap/Blackstrap"," 94A","Saskatoon",61,4,60,0,8,203,0,336,560
"Blackstrap/Blackstrap"," 94B","Saskatoon",59,4,48,0,7,154,2,274,466
"Blackstrap/Blackstrap"," 95A","Saskatoon",48,10,78,2,5,154,0,297,595
"Blackstrap/Blackstrap"," 95B","Saskatoon",62,15,77,0,0,145,1,300,583
"Blackstrap/Blackstrap"," 95C","Saskatoon",44,11,76,0,0,142,0,273,551
"Blackstrap/Blackstrap"," 96","Saskatoon",59,7,50,0,2,112,1,231,346
"Blackstrap/Blackstrap"," 97","Saskatoon",51,12,56,0,4,145,0,268,462
"Blackstrap/Blackstrap"," 98","Saskatoon",39,16,64,0,3,99,0,221,365
"Blackstrap/Blackstrap"," 99","Saskatoon",32,8,54,3,0,77,0,174,291
"Blackstrap/Blackstrap"," 100","Saskatoon",51,9,81,0,7,157,0,305,522
"Blackstrap/Blackstrap"," 101","Saskatoon",32,5,48,0,1,62,0,148,359
"Blackstrap/Blackstrap"," 102","Saskatoon",59,9,69,0,2,113,0,252,446
"Blackstrap/Blackstrap"," 103","Saskatoon",41,11,39,0,0,133,0,224,367
"Blackstrap/Blackstrap"," 103-1","Saskatoon",31,6,59,1,0,51,0,148,278
"Blackstrap/Blackstrap"," 104","Saskatoon",38,21,56,0,6,142,0,263,447
"Blackstrap/Blackstrap"," 105","Saskatoon",35,5,67,0,6,145,0,258,443
"Blackstrap/Blackstrap"," 106","Saskatoon",44,4,43,0,4,79,0,174,290
"Blackstrap/Blackstrap"," 107","Saskatoon",43,8,86,0,18,185,0,340,530
"Blackstrap/Blackstrap"," 108","Saskatoon",45,12,61,1,6,180,0,305,482
"Blackstrap/Blackstrap"," 109","Grasswood",44,14,71,2,0,172,5,308,511
"Blackstrap/Blackstrap"," 110","Grasswood",58,23,91,0,1,227,0,400,588
"Blackstrap/Blackstrap"," 111","Cedar Villa Estates",10,6,18,0,3,63,0,100,148
"Blackstrap/Blackstrap"," 112","Grasswood",33,7,59,0,6,104,1,210,294
"Blackstrap/Blackstrap"," 113","Grasswood",28,1,32,0,1,90,0,152,213
"Blackstrap/Blackstrap"," 114","Grasswood",11,9,15,0,0,46,0,81,138
"Blackstrap/Blackstrap"," 115","Blucher",43,12,104,0,4,133,0,296,453
"Blackstrap/Blackstrap"," 116","Clavet",13,9,113,0,3,196,1,335,552
"Blackstrap/Blackstrap"," 117","Bradwell",10,4,35,1,3,67,0,120,183
"Blackstrap/Blackstrap"," 118","Elstow",24,7,36,1,4,105,0,177,352
"Blackstrap/Blackstrap"," 119","Allan",55,8,86,1,7,170,1,328,535
"Blackstrap/Blackstrap"," 120","Beaver Creek",45,0,37,0,0,10,0,92,120
"Blackstrap/Blackstrap"," 121","Dundurn",7,3,23,0,6,75,0,114,167
"Blackstrap/Blackstrap"," 122A","Dundurn",15,5,43,0,4,119,0,186,336
"Blackstrap/Blackstrap"," 122B","Dundurn",17,8,29,1,4,105,0,164,317
"Blackstrap/Blackstrap"," 123","Dundurn",11,7,27,0,0,92,0,137,264
"Blackstrap/Blackstrap"," 124","Allan Hills",6,1,21,0,2,46,0,76,129
"Blackstrap/Blackstrap"," 125","Zelma",10,3,29,0,0,68,0,110,173
"Blackstrap/Blackstrap"," 126","Colonsay",23,6,97,0,5,169,0,300,458
"Blackstrap/Blackstrap"," 127","Viscount",17,11,63,1,0,164,1,257,430
"Blackstrap/Blackstrap"," 128","Young",18,7,70,0,1,102,0,198,275
"Blackstrap/Blackstrap"," 129","Watrous",16,3,46,1,0,93,0,159,242
"Blackstrap/Blackstrap"," 130A","Watrous",23,1,39,0,1,116,0,180,318
"Blackstrap/Blackstrap"," 130B","Watrous",17,9,44,0,0,78,2,150,239
"Blackstrap/Blackstrap"," 131","Watrous",19,3,51,1,0,109,2,185,323
"Blackstrap/Blackstrap"," 132","Watrous",19,4,62,0,0,111,0,196,298
"Blackstrap/Blackstrap"," 133","Watrous",15,4,24,1,1,67,0,112,205
"Blackstrap/Blackstrap"," 134","Guernsey",16,5,35,0,0,127,1,184,289
"Blackstrap/Blackstrap"," 135","Plunkett",9,3,32,0,1,64,0,109,190
"Blackstrap/Blackstrap"," 136","Lanigan",22,3,53,1,2,177,2,260,454
"Blackstrap/Blackstrap"," 137","Lanigan",11,3,39,0,2,69,0,124,214
"Blackstrap/Blackstrap"," 138","Lanigan",23,3,39,1,3,93,1,163,253
"Blackstrap/Blackstrap"," 139","Lanigan",17,7,37,0,3,125,1,190,317
"Blackstrap/Blackstrap"," 140","Drake",12,9,31,0,2,179,0,233,322
"Blackstrap/Blackstrap"," 141","Jansen",12,2,35,0,0,142,0,191,310
"Blackstrap/Blackstrap"," 142","Outlook",17,5,44,1,0,130,0,197,306
"Blackstrap/Blackstrap"," 143","Outlook",15,6,60,0,3,132,0,216,337
"Blackstrap/Blackstrap"," 144","Outlook",22,5,45,1,2,98,0,173,295
"Blackstrap/Blackstrap"," 145","Outlook",8,2,28,0,1,63,0,102,184
"Blackstrap/Blackstrap"," 146","Outlook",9,9,20,1,1,96,0,136,272
"Blackstrap/Blackstrap"," 147","Outlook",20,4,27,1,0,141,0,193,285
"Blackstrap/Blackstrap"," 148","Broderick",5,9,23,0,2,115,0,154,270
"Blackstrap/Blackstrap"," 149","Strong",9,5,22,0,2,78,0,116,160
"Blackstrap/Blackstrap"," 150","Hanley",31,3,35,1,7,168,0,245,394
"Blackstrap/Blackstrap"," 151","Hawarden",1,3,10,0,0,77,0,91,128
"Blackstrap/Blackstrap"," 152","Farrerdale",5,4,20,0,2,115,0,146,207
"Blackstrap/Blackstrap"," 153","Kenaston",5,1,10,0,1,99,0,116,236
"Blackstrap/Blackstrap"," 154","Bladworth",8,1,9,1,0,69,0,88,185
"Blackstrap/Blackstrap"," 155","Strongfield",6,1,6,0,2,81,0,96,151
"Blackstrap/Blackstrap"," 156","Loreburn",8,1,15,1,0,87,0,112,158
"Blackstrap/Blackstrap"," 157","Elbow",12,1,31,0,1,152,1,198,305
"Blackstrap/Blackstrap"," 400","Saskatoon",36,3,66,0,1,58,1,165,189
"Blackstrap/Blackstrap"," 401","Saskatoon",13,1,19,0,1,80,0,114,129
"Blackstrap/Blackstrap"," 402","Saskatoon",Void/Supprimé,,,,,,,,
"Blackstrap/Blackstrap"," 500","Mobile poll/Bureau itinérant",5,2,14,0,1,9,0,31,98
"Blackstrap/Blackstrap"," 501","Mobile poll/Bureau itinérant",5,0,19,0,2,12,2,40,118
"Blackstrap/Blackstrap"," 600","Saskatoon",103,17,303,4,2,241,1,671,
"Blackstrap/Blackstrap"," 601","Allan",107,18,192,1,2,268,0,588,
"Blackstrap/Blackstrap"," 602","Saskatoon",113,12,144,1,5,224,1,500,
"Blackstrap/Blackstrap"," 603","Saskatoon",255,26,242,0,7,623,1,1154,
"Blackstrap/Blackstrap"," 604","Saskatoon",97,8,104,0,1,265,0,475,
"Blackstrap/Blackstrap"," 605","Grasswood",26,3,37,0,1,167,0,234,
"Blackstrap/Blackstrap"," 606","Dundurn",10,2,11,0,1,55,0,79,
"Blackstrap/Blackstrap"," 607","Viscount",8,1,7,0,0,32,0,48,
"Blackstrap/Blackstrap"," 608","Watrous",28,0,41,2,1,96,0,168,
"Blackstrap/Blackstrap"," 609","Lanigan",8,1,23,0,1,80,0,113,
"Blackstrap/Blackstrap"," 610","Outlook",18,3,42,1,1,111,1,177,
"Blackstrap/Blackstrap"," 611","Kenaston",6,0,17,0,2,88,0,113,
"Blackstrap/Blackstrap",,Group 1/Groupe 1,16,4,11,0,0,27,4,62,154
"Blackstrap/Blackstrap",,Group 2/Groupe 2,246,33,303,4,3,725,28,1342,
