Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jim Karygiannis,Casey Maple,Bill Redwood,David Robertson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Scarborough--Agincourt/Scarborough--Agincourt"," 26","Scarborough",191,9,62,31,0,293,456
"Scarborough--Agincourt/Scarborough--Agincourt"," 27","Scarborough",179,11,64,26,2,282,558
"Scarborough--Agincourt/Scarborough--Agincourt"," 28","Scarborough",192,9,32,41,2,276,507
"Scarborough--Agincourt/Scarborough--Agincourt"," 29","Scarborough",146,9,52,28,1,236,391
"Scarborough--Agincourt/Scarborough--Agincourt"," 30","Scarborough",271,11,94,41,0,417,712
"Scarborough--Agincourt/Scarborough--Agincourt"," 31","Scarborough",161,5,31,24,0,221,404
"Scarborough--Agincourt/Scarborough--Agincourt"," 32","Scarborough",176,7,48,32,2,265,502
"Scarborough--Agincourt/Scarborough--Agincourt"," 33","Scarborough",214,7,64,30,0,315,526
"Scarborough--Agincourt/Scarborough--Agincourt"," 34","Scarborough",172,3,53,26,3,257,437
"Scarborough--Agincourt/Scarborough--Agincourt"," 35","Scarborough",124,6,46,28,0,204,325
"Scarborough--Agincourt/Scarborough--Agincourt"," 36","Scarborough",229,6,37,43,0,315,559
"Scarborough--Agincourt/Scarborough--Agincourt"," 37","Scarborough",144,6,27,21,1,199,357
"Scarborough--Agincourt/Scarborough--Agincourt"," 38","Scarborough",161,6,54,33,0,254,444
"Scarborough--Agincourt/Scarborough--Agincourt"," 39","Scarborough",158,6,65,33,0,262,452
"Scarborough--Agincourt/Scarborough--Agincourt"," 40","Scarborough",162,5,57,28,1,253,494
"Scarborough--Agincourt/Scarborough--Agincourt"," 41","Scarborough",171,7,62,64,0,304,529
"Scarborough--Agincourt/Scarborough--Agincourt"," 42","Scarborough",219,5,73,49,2,348,565
"Scarborough--Agincourt/Scarborough--Agincourt"," 43","Scarborough",211,6,80,36,2,335,610
"Scarborough--Agincourt/Scarborough--Agincourt"," 44","Scarborough",185,9,70,55,4,323,554
"Scarborough--Agincourt/Scarborough--Agincourt"," 45","Scarborough",185,7,61,36,1,290,461
"Scarborough--Agincourt/Scarborough--Agincourt"," 46","Scarborough",208,5,39,37,1,290,507
"Scarborough--Agincourt/Scarborough--Agincourt"," 47","Scarborough",286,8,58,42,1,395,679
"Scarborough--Agincourt/Scarborough--Agincourt"," 48","Scarborough",183,7,43,11,0,244,392
"Scarborough--Agincourt/Scarborough--Agincourt"," 49","Scarborough",122,6,52,33,1,214,374
"Scarborough--Agincourt/Scarborough--Agincourt"," 50","Scarborough",154,4,44,18,0,220,449
"Scarborough--Agincourt/Scarborough--Agincourt"," 51","Scarborough",100,9,31,28,1,169,379
"Scarborough--Agincourt/Scarborough--Agincourt"," 52","Scarborough",124,3,42,33,0,202,456
"Scarborough--Agincourt/Scarborough--Agincourt"," 53","Scarborough",144,0,44,39,1,228,482
"Scarborough--Agincourt/Scarborough--Agincourt"," 54","Scarborough",Void/Supprimé,,,,,,
"Scarborough--Agincourt/Scarborough--Agincourt"," 55","Scarborough",210,10,52,27,7,306,412
"Scarborough--Agincourt/Scarborough--Agincourt"," 56","Scarborough",167,5,31,20,0,223,400
"Scarborough--Agincourt/Scarborough--Agincourt"," 56-1","Scarborough",104,5,25,24,0,158,289
"Scarborough--Agincourt/Scarborough--Agincourt"," 56-2","Scarborough",256,8,50,31,0,345,515
"Scarborough--Agincourt/Scarborough--Agincourt"," 57","Scarborough",Void/Supprimé,,,,,,
"Scarborough--Agincourt/Scarborough--Agincourt"," 58","Scarborough",Void/Supprimé,,,,,,
"Scarborough--Agincourt/Scarborough--Agincourt"," 59","Scarborough",66,1,25,9,0,101,188
"Scarborough--Agincourt/Scarborough--Agincourt"," 60","Scarborough",166,6,50,26,1,249,556
"Scarborough--Agincourt/Scarborough--Agincourt"," 61","Scarborough",182,3,28,19,3,235,440
"Scarborough--Agincourt/Scarborough--Agincourt"," 62","Scarborough",137,8,50,50,0,245,449
"Scarborough--Agincourt/Scarborough--Agincourt"," 63","Scarborough",201,6,44,34,0,285,550
"Scarborough--Agincourt/Scarborough--Agincourt"," 64","Scarborough",152,3,55,21,0,231,424
"Scarborough--Agincourt/Scarborough--Agincourt"," 65","Scarborough",Void/Supprimé,,,,,,
"Scarborough--Agincourt/Scarborough--Agincourt"," 66","Scarborough",129,4,61,22,0,216,408
"Scarborough--Agincourt/Scarborough--Agincourt"," 67","Scarborough",149,6,66,18,0,239,418
"Scarborough--Agincourt/Scarborough--Agincourt"," 68","Scarborough",187,7,94,23,1,312,507
"Scarborough--Agincourt/Scarborough--Agincourt"," 69","Scarborough",181,10,83,31,0,305,531
"Scarborough--Agincourt/Scarborough--Agincourt"," 70","Scarborough",174,8,86,21,1,290,465
"Scarborough--Agincourt/Scarborough--Agincourt"," 71","Scarborough",141,9,73,24,0,247,446
"Scarborough--Agincourt/Scarborough--Agincourt"," 72","Scarborough",86,4,50,21,2,163,271
"Scarborough--Agincourt/Scarborough--Agincourt"," 73","Scarborough",159,11,64,13,2,249,410
"Scarborough--Agincourt/Scarborough--Agincourt"," 74","Scarborough",123,2,45,33,0,203,335
"Scarborough--Agincourt/Scarborough--Agincourt"," 75","Scarborough",125,4,65,19,0,213,374
"Scarborough--Agincourt/Scarborough--Agincourt"," 76","Scarborough",192,9,35,20,2,258,361
"Scarborough--Agincourt/Scarborough--Agincourt"," 77","Scarborough",160,5,47,15,1,228,345
"Scarborough--Agincourt/Scarborough--Agincourt"," 78","Scarborough",128,11,95,22,0,256,419
"Scarborough--Agincourt/Scarborough--Agincourt"," 79","Scarborough",101,13,79,31,1,225,393
"Scarborough--Agincourt/Scarborough--Agincourt"," 80","Scarborough",189,8,49,13,0,259,433
"Scarborough--Agincourt/Scarborough--Agincourt"," 81","Scarborough",118,6,30,21,0,175,303
"Scarborough--Agincourt/Scarborough--Agincourt"," 81-1","Scarborough",183,6,34,33,2,258,559
"Scarborough--Agincourt/Scarborough--Agincourt"," 81-2","Scarborough",123,0,40,21,2,186,339
"Scarborough--Agincourt/Scarborough--Agincourt"," 82","Scarborough",33,2,17,15,0,67,124
"Scarborough--Agincourt/Scarborough--Agincourt"," 83","Scarborough",157,6,69,16,0,248,336
"Scarborough--Agincourt/Scarborough--Agincourt"," 84","Scarborough",128,15,94,26,0,263,397
"Scarborough--Agincourt/Scarborough--Agincourt"," 85","Scarborough",139,6,57,12,0,214,444
"Scarborough--Agincourt/Scarborough--Agincourt"," 86","Scarborough",132,5,86,20,0,243,435
"Scarborough--Agincourt/Scarborough--Agincourt"," 87","Scarborough",163,10,66,31,0,270,560
"Scarborough--Agincourt/Scarborough--Agincourt"," 88","Scarborough",122,4,46,27,1,200,358
"Scarborough--Agincourt/Scarborough--Agincourt"," 89","Scarborough",132,6,73,17,0,228,453
"Scarborough--Agincourt/Scarborough--Agincourt"," 90","Scarborough",113,2,39,22,0,176,357
"Scarborough--Agincourt/Scarborough--Agincourt"," 91","Scarborough",161,4,75,31,1,272,606
"Scarborough--Agincourt/Scarborough--Agincourt"," 92","Scarborough",118,8,63,29,0,218,435
"Scarborough--Agincourt/Scarborough--Agincourt"," 93A","Scarborough",Merged with No. 120/Fusionné avec le nº 120,,,,,,19
"Scarborough--Agincourt/Scarborough--Agincourt"," 93B","Mobile poll/Bureau itinérant",Merged with No. 424/Fusionné avec le nº 424,,,,,,155
"Scarborough--Agincourt/Scarborough--Agincourt"," 93C","Mobile poll/Bureau itinérant",62,2,84,26,4,178,127
"Scarborough--Agincourt/Scarborough--Agincourt"," 94","Scarborough",177,5,71,22,0,275,530
"Scarborough--Agincourt/Scarborough--Agincourt"," 95","Scarborough",58,1,41,8,0,108,259
"Scarborough--Agincourt/Scarborough--Agincourt"," 96","Scarborough",188,16,71,25,1,301,571
"Scarborough--Agincourt/Scarborough--Agincourt"," 97","Scarborough",132,1,63,15,0,211,352
"Scarborough--Agincourt/Scarborough--Agincourt"," 98","Scarborough",143,7,44,31,3,228,475
"Scarborough--Agincourt/Scarborough--Agincourt"," 99","Scarborough",Void/Supprimé,,,,,,
"Scarborough--Agincourt/Scarborough--Agincourt"," 100","Scarborough",151,8,48,39,1,247,499
"Scarborough--Agincourt/Scarborough--Agincourt"," 101","Scarborough",Void/Supprimé,,,,,,
"Scarborough--Agincourt/Scarborough--Agincourt"," 102","Scarborough",145,3,26,22,0,196,479
"Scarborough--Agincourt/Scarborough--Agincourt"," 103","Scarborough",109,6,36,40,0,191,443
"Scarborough--Agincourt/Scarborough--Agincourt"," 104","Scarborough",123,7,56,35,0,221,472
"Scarborough--Agincourt/Scarborough--Agincourt"," 105","Scarborough",130,10,81,32,0,253,353
"Scarborough--Agincourt/Scarborough--Agincourt"," 106","Scarborough",110,8,83,54,0,255,395
"Scarborough--Agincourt/Scarborough--Agincourt"," 107","Scarborough",178,8,71,42,1,300,588
"Scarborough--Agincourt/Scarborough--Agincourt"," 108","Scarborough",Void/Supprimé,,,,,,
"Scarborough--Agincourt/Scarborough--Agincourt"," 109","Scarborough",Void/Supprimé,,,,,,
"Scarborough--Agincourt/Scarborough--Agincourt"," 110","Scarborough",169,11,71,29,0,280,422
"Scarborough--Agincourt/Scarborough--Agincourt"," 111","Scarborough",158,5,48,18,0,229,407
"Scarborough--Agincourt/Scarborough--Agincourt"," 112","Scarborough",146,16,71,21,1,255,374
"Scarborough--Agincourt/Scarborough--Agincourt"," 113","Scarborough",173,19,69,38,3,302,505
"Scarborough--Agincourt/Scarborough--Agincourt"," 114","Scarborough",204,9,67,22,1,303,493
"Scarborough--Agincourt/Scarborough--Agincourt"," 115","Scarborough",165,8,68,27,0,268,499
"Scarborough--Agincourt/Scarborough--Agincourt"," 116","Scarborough",138,1,35,24,2,200,381
"Scarborough--Agincourt/Scarborough--Agincourt"," 117","Scarborough",220,5,82,49,1,357,636
"Scarborough--Agincourt/Scarborough--Agincourt"," 118","Scarborough",147,9,56,37,0,249,409
"Scarborough--Agincourt/Scarborough--Agincourt"," 119","Scarborough",198,10,54,32,2,296,433
"Scarborough--Agincourt/Scarborough--Agincourt"," 120","Scarborough",176,6,54,49,1,286,441
"Scarborough--Agincourt/Scarborough--Agincourt"," 121","Scarborough",157,3,71,28,0,259,424
"Scarborough--Agincourt/Scarborough--Agincourt"," 122","Scarborough",86,4,49,35,3,177,358
"Scarborough--Agincourt/Scarborough--Agincourt"," 123","Scarborough",167,5,74,26,1,273,490
"Scarborough--Agincourt/Scarborough--Agincourt"," 124","Scarborough",74,0,10,13,2,99,295
"Scarborough--Agincourt/Scarborough--Agincourt"," 125","Scarborough",169,10,44,37,1,261,430
"Scarborough--Agincourt/Scarborough--Agincourt"," 126","Scarborough",122,6,45,28,0,201,365
"Scarborough--Agincourt/Scarborough--Agincourt"," 127","Scarborough",124,13,67,32,0,236,398
"Scarborough--Agincourt/Scarborough--Agincourt"," 128","Scarborough",183,5,41,16,5,250,576
"Scarborough--Agincourt/Scarborough--Agincourt"," 129","Scarborough",153,8,51,21,1,234,458
"Scarborough--Agincourt/Scarborough--Agincourt"," 130","Scarborough",145,3,64,25,0,237,419
"Scarborough--Agincourt/Scarborough--Agincourt"," 131","Scarborough",182,5,54,38,3,282,469
"Scarborough--Agincourt/Scarborough--Agincourt"," 132","Scarborough",163,5,44,27,0,239,400
"Scarborough--Agincourt/Scarborough--Agincourt"," 133","Scarborough",163,9,46,33,1,252,419
"Scarborough--Agincourt/Scarborough--Agincourt"," 134","Scarborough",122,6,49,42,0,219,439
"Scarborough--Agincourt/Scarborough--Agincourt"," 135","Scarborough",134,6,56,24,3,223,440
"Scarborough--Agincourt/Scarborough--Agincourt"," 136","Scarborough",109,2,86,24,1,222,439
"Scarborough--Agincourt/Scarborough--Agincourt"," 137","Scarborough",139,6,56,29,0,230,447
"Scarborough--Agincourt/Scarborough--Agincourt"," 138","Scarborough",111,8,58,26,1,204,387
"Scarborough--Agincourt/Scarborough--Agincourt"," 139","Scarborough",129,9,60,39,2,239,423
"Scarborough--Agincourt/Scarborough--Agincourt"," 140","Scarborough",155,11,70,25,4,265,484
"Scarborough--Agincourt/Scarborough--Agincourt"," 141","Scarborough",154,2,42,21,3,222,432
"Scarborough--Agincourt/Scarborough--Agincourt"," 142","Scarborough",104,7,58,35,0,204,400
"Scarborough--Agincourt/Scarborough--Agincourt"," 143","Scarborough",139,6,48,24,0,217,401
"Scarborough--Agincourt/Scarborough--Agincourt"," 144","Scarborough",200,17,39,31,1,288,525
"Scarborough--Agincourt/Scarborough--Agincourt"," 400","Scarborough",136,3,57,30,0,226,482
"Scarborough--Agincourt/Scarborough--Agincourt"," 401","Scarborough",164,0,85,25,3,277,483
"Scarborough--Agincourt/Scarborough--Agincourt"," 402","Scarborough",148,2,58,23,0,231,467
"Scarborough--Agincourt/Scarborough--Agincourt"," 403","Scarborough",80,1,34,25,0,140,307
"Scarborough--Agincourt/Scarborough--Agincourt"," 404","Scarborough",168,8,76,26,0,278,572
"Scarborough--Agincourt/Scarborough--Agincourt"," 405","Scarborough",109,5,37,21,1,173,384
"Scarborough--Agincourt/Scarborough--Agincourt"," 406","Scarborough",128,6,54,15,0,203,400
"Scarborough--Agincourt/Scarborough--Agincourt"," 407","Scarborough",106,3,60,16,0,185,426
"Scarborough--Agincourt/Scarborough--Agincourt"," 408","Scarborough",Void/Supprimé,,,,,,
"Scarborough--Agincourt/Scarborough--Agincourt"," 409","Scarborough",93,2,42,18,0,155,344
"Scarborough--Agincourt/Scarborough--Agincourt"," 410","Scarborough",94,2,27,15,1,139,278
"Scarborough--Agincourt/Scarborough--Agincourt"," 411","Scarborough",130,6,26,20,0,182,373
"Scarborough--Agincourt/Scarborough--Agincourt"," 412","Scarborough",88,4,66,13,0,171,290
"Scarborough--Agincourt/Scarborough--Agincourt"," 413","Scarborough",91,5,50,18,0,164,264
"Scarborough--Agincourt/Scarborough--Agincourt"," 414","Scarborough",142,3,82,20,0,247,457
"Scarborough--Agincourt/Scarborough--Agincourt"," 415","Scarborough",129,4,72,13,0,218,432
"Scarborough--Agincourt/Scarborough--Agincourt"," 416","Scarborough",204,1,31,25,0,261,501
"Scarborough--Agincourt/Scarborough--Agincourt"," 417","Scarborough",227,5,42,32,2,308,521
"Scarborough--Agincourt/Scarborough--Agincourt"," 418","Mobile poll/Bureau itinérant",Merged with No. 427/Fusionné avec le nº 427,,,,,,281
"Scarborough--Agincourt/Scarborough--Agincourt"," 419","Scarborough",118,3,39,15,1,176,446
"Scarborough--Agincourt/Scarborough--Agincourt"," 420","Scarborough",89,4,47,19,0,159,356
"Scarborough--Agincourt/Scarborough--Agincourt"," 421","Scarborough",122,4,27,15,1,169,362
"Scarborough--Agincourt/Scarborough--Agincourt"," 422","Mobile poll/Bureau itinérant",109,0,28,21,0,158,170
"Scarborough--Agincourt/Scarborough--Agincourt"," 423","Scarborough",40,1,30,13,0,84,240
"Scarborough--Agincourt/Scarborough--Agincourt"," 424","Mobile poll/Bureau itinérant",88,4,252,28,4,376,293
"Scarborough--Agincourt/Scarborough--Agincourt"," 425","Scarborough",27,0,18,7,0,52,92
"Scarborough--Agincourt/Scarborough--Agincourt"," 426","Scarborough",38,0,21,17,0,76,125
"Scarborough--Agincourt/Scarborough--Agincourt"," 427","Mobile poll/Bureau itinérant",265,16,45,42,10,378,316
"Scarborough--Agincourt/Scarborough--Agincourt"," 428","Mobile poll/Bureau itinérant",Merged with No. 93C/Fusionné avec le nº 93C,,,,,,113
"Scarborough--Agincourt/Scarborough--Agincourt"," 600","Toronto",496,23,209,62,2,792,
"Scarborough--Agincourt/Scarborough--Agincourt"," 601","Toronto",485,17,243,72,3,820,
"Scarborough--Agincourt/Scarborough--Agincourt"," 602","Toronto",439,21,268,93,0,821,
"Scarborough--Agincourt/Scarborough--Agincourt"," 603","Toronto",445,11,204,55,0,715,
"Scarborough--Agincourt/Scarborough--Agincourt"," 604","Toronto",239,8,112,30,2,391,
"Scarborough--Agincourt/Scarborough--Agincourt"," 605","Toronto",360,9,165,71,0,605,
"Scarborough--Agincourt/Scarborough--Agincourt",,Group 1/Groupe 1,35,6,13,4,6,64,119
"Scarborough--Agincourt/Scarborough--Agincourt",,Group 2/Groupe 2,432,10,235,79,2,758,
