Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Steve Armes,Bob Callow,Pamela Courtot,Lui Temelkovski,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Oak Ridges--Markham/Oak Ridges--Markham"," 38","Richmond Hill",19,112,33,143,1,308,514
"Oak Ridges--Markham/Oak Ridges--Markham"," 39A","Richmond Hill",19,102,41,130,1,293,425
"Oak Ridges--Markham/Oak Ridges--Markham"," 39B","Richmond Hill",12,118,33,100,1,264,418
"Oak Ridges--Markham/Oak Ridges--Markham"," 39-1","Richmond Hill",13,85,35,140,0,273,420
"Oak Ridges--Markham/Oak Ridges--Markham"," 40A","Richmond Hill",8,52,24,111,3,198,351
"Oak Ridges--Markham/Oak Ridges--Markham"," 40B","Richmond Hill",13,54,24,91,0,182,337
"Oak Ridges--Markham/Oak Ridges--Markham"," 41A","Richmond Hill",10,96,23,117,2,248,430
"Oak Ridges--Markham/Oak Ridges--Markham"," 41B","Richmond Hill",14,83,30,120,4,251,433
"Oak Ridges--Markham/Oak Ridges--Markham"," 42","Richmond Hill",7,52,19,81,0,159,280
"Oak Ridges--Markham/Oak Ridges--Markham"," 42-1","Richmond Hill",12,121,24,174,2,333,582
"Oak Ridges--Markham/Oak Ridges--Markham"," 42-2","Richmond Hill",9,97,42,126,2,276,480
"Oak Ridges--Markham/Oak Ridges--Markham"," 43","Richmond Hill",27,71,19,102,2,221,382
"Oak Ridges--Markham/Oak Ridges--Markham"," 44A","Richmond Hill",13,105,30,130,2,280,437
"Oak Ridges--Markham/Oak Ridges--Markham"," 44B","Richmond Hill",20,97,26,108,2,253,400
"Oak Ridges--Markham/Oak Ridges--Markham"," 45A","Richmond Hill",10,71,20,74,1,176,340
"Oak Ridges--Markham/Oak Ridges--Markham"," 45B","Richmond Hill",11,62,16,77,0,166,324
"Oak Ridges--Markham/Oak Ridges--Markham"," 45C","Richmond Hill",14,76,28,108,0,226,380
"Oak Ridges--Markham/Oak Ridges--Markham"," 46A","Richmond Hill",19,54,22,79,1,175,384
"Oak Ridges--Markham/Oak Ridges--Markham"," 46B","Richmond Hill",17,70,33,75,0,195,428
"Oak Ridges--Markham/Oak Ridges--Markham"," 47","Richmond Hill",9,65,31,54,0,159,311
"Oak Ridges--Markham/Oak Ridges--Markham"," 48A","Richmond Hill",11,100,21,108,0,240,396
"Oak Ridges--Markham/Oak Ridges--Markham"," 48B","Richmond Hill",8,129,29,108,1,275,454
"Oak Ridges--Markham/Oak Ridges--Markham"," 49A","Richmond Hill",3,73,17,110,0,203,372
"Oak Ridges--Markham/Oak Ridges--Markham"," 49B","Richmond Hill",3,57,13,99,5,177,378
"Oak Ridges--Markham/Oak Ridges--Markham"," 49C","Richmond Hill",8,78,16,107,1,210,471
"Oak Ridges--Markham/Oak Ridges--Markham"," 49D","Richmond Hill",11,86,19,129,1,246,460
