Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Virginia Ervin,Doug Moffatt,Bev Oda,Bruce Rogers,Henry Zekveld,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Durham/Durham"," 118","Clarington",6,47,83,37,7,0,180,289
"Durham/Durham"," 119","Clarington",15,75,99,60,1,0,250,424
"Durham/Durham"," 120","Clarington",12,95,153,60,0,1,321,503
"Durham/Durham"," 121","Clarington",8,97,123,49,2,1,280,457
"Durham/Durham"," 122","Clarington",5,58,40,47,4,0,154,300
"Durham/Durham"," 123","Clarington",15,90,97,57,4,2,265,424
"Durham/Durham"," 124","Clarington",3,27,38,28,0,1,97,190
"Durham/Durham"," 125","Clarington",7,60,63,53,3,1,187,363
"Durham/Durham"," 126","Clarington",11,87,94,36,4,0,232,394
"Durham/Durham"," 127","Clarington",17,102,173,84,1,0,377,600
"Durham/Durham"," 128A","Clarington",7,62,73,38,4,1,185,326
"Durham/Durham"," 128B","Clarington",13,40,76,62,3,0,194,355
"Durham/Durham"," 129","Clarington",13,92,141,66,3,2,317,511
"Durham/Durham"," 130","Clarington",10,54,95,66,4,3,232,433
"Durham/Durham"," 131","Clarington",12,55,98,46,2,2,215,398
"Durham/Durham"," 132","Clarington",17,91,148,78,7,0,341,588
"Durham/Durham"," 133","Clarington",2,47,77,39,2,1,168,391
"Durham/Durham"," 134","Clarington",12,57,109,39,3,0,220,418
"Durham/Durham"," 135","Clarington",12,70,104,46,2,0,234,372
"Durham/Durham"," 136","Clarington",13,52,99,45,6,0,215,369
"Durham/Durham"," 137","Clarington",14,50,84,45,4,0,197,381
"Durham/Durham"," 138","Clarington",15,62,120,45,2,0,244,445
"Durham/Durham"," 139","Clarington",13,75,100,45,1,0,234,444
"Durham/Durham"," 140","Clarington",13,107,143,72,2,0,337,601
"Durham/Durham"," 141A","Clarington",20,65,138,67,3,2,295,538
"Durham/Durham"," 141B","Clarington",14,58,121,65,1,2,261,487
"Durham/Durham"," 142A","Clarington",6,68,100,46,0,0,220,329
"Durham/Durham"," 142B","Clarington",7,62,132,56,3,2,262,412
"Durham/Durham"," 143","Clarington",12,62,110,52,4,1,241,404
"Durham/Durham"," 144","Clarington",13,65,105,67,4,0,254,426
"Durham/Durham"," 145","Clarington",20,95,161,63,1,1,341,487
"Durham/Durham"," 146","Clarington",13,64,91,65,1,0,234,422
"Durham/Durham"," 147","Clarington",9,92,101,45,2,0,249,376
"Durham/Durham"," 148A","Clarington",10,66,80,30,0,0,186,327
"Durham/Durham"," 148B","Clarington",9,79,64,49,1,0,202,337
"Durham/Durham"," 149","Clarington",9,49,70,23,0,0,151,321
"Durham/Durham"," 150A","Clarington",11,36,65,51,0,0,163,317
"Durham/Durham"," 150B","Clarington",3,41,67,52,2,0,165,315
"Durham/Durham"," 151","Clarington",13,86,77,42,1,0,219,376
"Durham/Durham"," 152","Clarington",8,80,93,67,4,0,252,446
"Durham/Durham"," 153","Clarington",8,39,90,46,1,0,184,425
"Durham/Durham"," 154","Clarington",11,29,92,60,1,2,195,331
"Durham/Durham"," 155","Clarington",14,41,62,44,4,1,166,331
"Durham/Durham"," 156","Clarington",7,51,98,54,4,0,214,382
"Durham/Durham"," 157","Clarington",1,57,63,44,1,2,168,360
"Durham/Durham"," 158","Clarington",12,59,88,72,3,1,235,385
"Durham/Durham"," 159","Clarington",9,58,102,46,4,0,219,368
"Durham/Durham"," 160","Clarington",17,81,99,62,5,0,264,482
"Durham/Durham"," 161","Clarington",7,41,48,25,2,1,124,237
"Durham/Durham"," 162","Clarington",6,36,54,26,5,0,127,229
"Durham/Durham"," 163A","Clarington",2,101,85,34,0,1,223,349
"Durham/Durham"," 163B","Clarington",4,93,111,43,0,0,251,360
"Durham/Durham"," 164","Clarington",2,92,109,41,1,2,247,358
"Durham/Durham"," 165","Clarington",3,106,140,32,0,1,282,395
"Durham/Durham"," 166","Clarington",8,47,92,23,6,0,176,304
"Durham/Durham"," 167","Clarington",7,71,128,44,15,1,266,399
"Durham/Durham"," 168","Clarington",13,73,150,54,7,2,299,453
"Durham/Durham"," 169","Clarington",16,81,153,42,2,2,296,455
"Durham/Durham"," 170","Clarington",23,91,191,60,0,0,365,518
"Durham/Durham"," 171","Clarington",17,98,170,50,4,0,339,543
"Durham/Durham"," 172","Clarington",16,74,118,54,10,0,272,416
"Durham/Durham"," 173","Clarington",6,49,50,46,1,0,152,225
"Durham/Durham"," 174","Clarington",11,47,93,39,5,0,195,331
"Durham/Durham"," 175","Clarington",12,78,120,60,2,1,273,381
"Durham/Durham"," 176","Clarington",11,72,88,38,8,1,218,385
"Durham/Durham"," 177","Clarington",11,95,101,57,2,0,266,437
"Durham/Durham"," 178","Clarington",11,63,120,52,2,1,249,343
"Durham/Durham"," 179","Clarington",11,63,120,55,0,1,250,389
"Durham/Durham"," 180","Clarington",12,67,154,47,3,1,284,386
"Durham/Durham"," 181A","Clarington",13,96,98,41,3,0,251,416
"Durham/Durham"," 181B","Clarington",15,114,124,36,0,0,289,461
"Durham/Durham"," 182","Clarington",6,74,73,34,6,2,195,289
"Durham/Durham"," 183","Clarington",11,44,65,45,5,0,170,273
"Durham/Durham"," 184","Clarington",5,53,56,34,0,0,148,205
"Durham/Durham"," 185A","Clarington",5,99,155,65,1,1,326,454
"Durham/Durham"," 185B","Clarington",16,88,147,51,4,2,308,472
"Durham/Durham"," 186","Clarington",20,87,153,87,4,1,352,568
"Durham/Durham"," 187","Clarington",12,53,92,46,2,1,206,365
"Durham/Durham"," 188","Clarington",13,73,139,59,10,0,294,448
"Durham/Durham"," 500","Mobile poll/Bureau itinérant",2,36,24,25,2,0,89,191
"Durham/Durham"," 600","Uxbridge North",42,197,481,53,5,1,779,
"Durham/Durham"," 601","Uxbridge South",23,237,417,60,15,1,753,
"Durham/Durham"," 602","Scugog",36,360,565,73,9,0,1043,
"Durham/Durham"," 603","Blackstock",21,145,304,46,3,1,520,
"Durham/Durham"," 604","Newcastle",20,146,392,52,12,0,622,
"Durham/Durham"," 605","Bowmanville North",29,185,459,98,9,3,783,
"Durham/Durham"," 606","Bowmanville South",38,269,513,148,9,2,979,
"Durham/Durham"," 607","Courtice",16,215,341,110,10,0,692,
"Durham/Durham"," 608","Courtice",22,165,351,62,4,1,605,
"Durham/Durham",,Group 1/Groupe 1,5,29,23,6,2,2,67,136
"Durham/Durham",,Group 2/Groupe 2,22,384,594,109,9,16,1134,
