Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Edward Guergis,Ron Matsusaki,Joe McGuire,Michael Nesbitt,Regena Kaye Russell,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Egmont/Egmont"," 34","Lennox Island",9,1,110,2,12,0,134,183
"Egmont/Egmont"," 35","Tyne Valley",79,14,162,6,19,0,280,448
"Egmont/Egmont"," 36","Springhill",82,3,84,0,19,4,192,356
"Egmont/Egmont"," 37","Arlington",42,4,131,6,19,1,203,357
"Egmont/Egmont"," 38","Central Lot 16",87,8,117,6,29,5,252,402
"Egmont/Egmont"," 39","Saint-Gilbert",59,4,145,2,14,2,226,308
"Egmont/Egmont"," 40","Egmont Bay",73,8,120,2,19,1,223,298
"Egmont/Egmont"," 41","Miscouche West",95,10,140,5,29,0,279,410
"Egmont/Egmont"," 42","Miscouche East",77,18,144,6,26,1,272,469
"Egmont/Egmont"," 43","Linkletter",71,9,89,0,19,2,190,279
"Egmont/Egmont"," 44","Wellington",68,6,200,3,42,0,319,442
"Egmont/Egmont"," 45","Abram-Village",51,3,97,0,22,1,174,232
"Egmont/Egmont"," 46","St. Nicholas",52,9,71,1,19,2,154,231
"Egmont/Egmont"," 47","Mount Carmel",70,9,167,0,34,0,280,374
"Egmont/Egmont"," 48","Sherbrooke",44,9,77,6,22,1,159,289
"Egmont/Egmont"," 49","Summerside",95,9,142,5,53,1,305,545
"Egmont/Egmont"," 50","Summerside",98,12,166,6,42,5,329,523
"Egmont/Egmont"," 51A","Summerside",49,4,72,3,12,0,140,256
"Egmont/Egmont"," 51B","Summerside",48,0,85,3,17,0,153,270
"Egmont/Egmont"," 52","Summerside",51,7,96,2,19,2,177,290
"Egmont/Egmont"," 53","Summerside",60,3,123,5,33,1,225,361
"Egmont/Egmont"," 54A","Summerside",39,4,78,1,18,1,141,288
"Egmont/Egmont"," 54B","Summerside",76,9,93,2,18,0,198,309
"Egmont/Egmont"," 55","Summerside",55,12,93,3,21,0,184,323
"Egmont/Egmont"," 56","Summerside",47,6,52,2,15,1,123,260
"Egmont/Egmont"," 57","Summerside",82,11,135,5,17,0,250,537
"Egmont/Egmont"," 58","Summerside",42,11,92,2,24,0,171,321
"Egmont/Egmont"," 59","Summerside",42,7,86,2,14,0,151,280
"Egmont/Egmont"," 60","Summerside",35,2,73,1,15,1,127,228
"Egmont/Egmont"," 61","Summerside",36,11,92,1,25,1,166,253
"Egmont/Egmont"," 62","Summerside",65,9,89,3,16,0,182,319
"Egmont/Egmont"," 63","Summerside",51,8,111,5,22,3,200,395
"Egmont/Egmont"," 64","Summerside",33,2,67,2,8,2,114,203
"Egmont/Egmont"," 65","Summerside",43,5,63,1,26,1,139,269
"Egmont/Egmont"," 66","Summerside",69,10,105,2,26,2,214,413
"Egmont/Egmont"," 67","Summerside",74,5,105,3,23,0,210,388
"Egmont/Egmont"," 68","Summerside",72,11,132,3,41,2,261,484
"Egmont/Egmont"," 69","Summerside",67,3,126,4,28,4,232,456
"Egmont/Egmont"," 70","Summerside",81,7,138,1,38,1,266,477
"Egmont/Egmont"," 71A","Summerside",42,5,87,0,15,0,149,267
"Egmont/Egmont"," 71B","Summerside",55,8,90,3,21,1,178,315
"Egmont/Egmont"," 72","Summerside",30,1,67,3,8,0,109,230
"Egmont/Egmont"," 73","Summerside",53,4,103,1,16,0,177,293
"Egmont/Egmont"," 74A","Summerside",28,4,43,4,27,0,106,228
"Egmont/Egmont"," 74B","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,,32
"Egmont/Egmont"," 75A","Summerside",44,2,76,3,14,0,139,276
"Egmont/Egmont"," 75B","Summerside",40,10,58,3,19,0,130,286
"Egmont/Egmont"," 76","Summerside",52,11,79,3,20,0,165,294
"Egmont/Egmont"," 77","Summerside",51,9,98,3,29,1,191,368
"Egmont/Egmont"," 78","Summerside",48,11,60,2,21,0,142,275
"Egmont/Egmont"," 500","Mobile poll/Bureau itinérant",34,1,59,5,5,0,104,136
"Egmont/Egmont"," 501","Mobile poll/Bureau itinérant",35,1,41,0,3,0,80,71
"Egmont/Egmont"," 600","Tignish",215,33,391,0,16,2,657,
"Egmont/Egmont"," 601","O'Leary",237,17,314,3,49,9,629,
"Egmont/Egmont"," 602","Wellington",105,3,187,3,20,1,319,
"Egmont/Egmont"," 603","Summerside",155,5,289,5,32,3,489,
"Egmont/Egmont"," 604","Summerside",189,22,316,18,45,3,593,
"Egmont/Egmont",,Group 1/Groupe 1,37,2,36,2,11,1,89,255
"Egmont/Egmont",,Group 2/Groupe 2,276,13,519,6,57,6,877,
