Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dragan Cimesa,Maria De Angelis-Pater,Paul Ferreira,Steve Halicki,Alan Tonks,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"York South--Weston/York-Sud--Weston"," 32","North York",2,19,34,41,148,0,244,401
"York South--Weston/York-Sud--Weston"," 33","North York",0,11,46,42,163,0,262,384
"York South--Weston/York-Sud--Weston"," 34","North York",3,10,28,28,168,3,240,346
"York South--Weston/York-Sud--Weston"," 35","North York",0,2,16,15,68,0,101,250
"York South--Weston/York-Sud--Weston"," 36","North York",0,2,90,12,147,18,269,448
"York South--Weston/York-Sud--Weston"," 37","North York",3,2,34,30,123,0,192,394
"York South--Weston/York-Sud--Weston"," 38","North York",1,9,23,39,119,3,194,326
"York South--Weston/York-Sud--Weston"," 39","North York",1,8,23,59,131,1,223,334
"York South--Weston/York-Sud--Weston"," 40","North York",1,4,30,23,133,1,192,377
"York South--Weston/York-Sud--Weston"," 41","North York",2,5,40,34,129,1,211,319
"York South--Weston/York-Sud--Weston"," 42","North York",3,4,40,37,141,3,228,370
"York South--Weston/York-Sud--Weston"," 43","North York",0,10,20,31,89,0,150,233
"York South--Weston/York-Sud--Weston"," 44","York",0,9,44,47,187,1,288,583
"York South--Weston/York-Sud--Weston"," 45","North York",1,3,62,30,138,0,234,461
"York South--Weston/York-Sud--Weston"," 46","North York",0,9,38,40,164,3,254,447
"York South--Weston/York-Sud--Weston"," 47","North York",0,12,42,65,150,2,271,420
"York South--Weston/York-Sud--Weston"," 48A","North York",0,3,36,23,111,2,175,377
"York South--Weston/York-Sud--Weston"," 48B","North York",2,4,27,29,93,0,155,347
"York South--Weston/York-Sud--Weston"," 49","North York",2,3,31,30,180,3,249,308
"York South--Weston/York-Sud--Weston"," 50","North York",Merged with No. 49/Fusionné avec le nº 49,,,,,,,200
"York South--Weston/York-Sud--Weston"," 51","North York",0,8,60,44,101,2,215,368
"York South--Weston/York-Sud--Weston"," 52","North York",2,12,53,58,140,0,265,402
"York South--Weston/York-Sud--Weston"," 53","North York",1,9,46,44,151,0,251,458
"York South--Weston/York-Sud--Weston"," 54","North York",1,3,29,45,147,3,228,455
"York South--Weston/York-Sud--Weston"," 55","North York",0,11,27,35,151,5,229,345
"York South--Weston/York-Sud--Weston"," 56","North York",1,19,41,50,173,0,284,428
"York South--Weston/York-Sud--Weston"," 57","North York",4,8,30,41,129,4,216,266
"York South--Weston/York-Sud--Weston"," 58","North York",1,13,33,34,118,2,201,348
"York South--Weston/York-Sud--Weston"," 59","North York",1,6,30,33,113,1,184,366
"York South--Weston/York-Sud--Weston"," 60","North York",1,16,24,20,140,4,205,315
"York South--Weston/York-Sud--Weston"," 61","North York",2,7,34,32,156,0,231,339
"York South--Weston/York-Sud--Weston"," 62","North York",0,10,56,45,154,5,270,459
"York South--Weston/York-Sud--Weston"," 63","North York",2,11,24,50,177,2,266,377
"York South--Weston/York-Sud--Weston"," 64","North York",1,3,46,28,115,0,193,412
"York South--Weston/York-Sud--Weston"," 65","North York",0,12,32,45,150,1,240,376
"York South--Weston/York-Sud--Weston"," 66","North York",3,9,40,32,121,2,207,357
"York South--Weston/York-Sud--Weston"," 67","North York",0,9,31,41,166,4,251,362
"York South--Weston/York-Sud--Weston"," 68","North York",1,10,33,39,113,2,198,357
"York South--Weston/York-Sud--Weston"," 69","North York",0,6,47,30,110,0,193,376
"York South--Weston/York-Sud--Weston"," 70","North York",1,4,22,24,103,1,155,371
"York South--Weston/York-Sud--Weston"," 71","North York",1,15,41,39,99,0,195,354
"York South--Weston/York-Sud--Weston"," 72","North York",1,15,59,27,159,0,261,374
"York South--Weston/York-Sud--Weston"," 73","North York",1,2,19,33,163,0,218,591
"York South--Weston/York-Sud--Weston"," 74","North York",0,7,41,22,130,3,203,394
"York South--Weston/York-Sud--Weston"," 75","North York",2,7,54,47,172,2,284,524
"York South--Weston/York-Sud--Weston"," 76","North York",2,8,15,42,114,0,181,334
"York South--Weston/York-Sud--Weston"," 77","North York",2,3,39,22,162,0,228,333
"York South--Weston/York-Sud--Weston"," 78","North York",0,9,36,47,161,1,254,389
"York South--Weston/York-Sud--Weston"," 79","North York",0,7,22,44,121,2,196,336
"York South--Weston/York-Sud--Weston"," 80","North York",2,5,45,36,133,2,223,484
"York South--Weston/York-Sud--Weston"," 81","North York",0,3,56,43,128,0,230,398
"York South--Weston/York-Sud--Weston"," 82","York",1,16,66,42,124,0,249,479
"York South--Weston/York-Sud--Weston"," 83","York",2,6,72,55,185,4,324,569
"York South--Weston/York-Sud--Weston"," 84","York",1,9,48,41,139,0,238,369
"York South--Weston/York-Sud--Weston"," 85","York",1,8,59,39,127,3,237,490
"York South--Weston/York-Sud--Weston"," 86","York",1,9,42,24,63,0,139,368
"York South--Weston/York-Sud--Weston"," 87","York",0,5,82,39,134,1,261,571
"York South--Weston/York-Sud--Weston"," 88","York",0,4,49,26,66,0,145,320
"York South--Weston/York-Sud--Weston"," 89","York",0,2,40,25,156,0,223,474
"York South--Weston/York-Sud--Weston"," 90","York",0,2,44,34,133,3,216,476
"York South--Weston/York-Sud--Weston"," 91","York",1,13,44,50,124,2,234,393
"York South--Weston/York-Sud--Weston"," 92","York",1,16,47,41,138,3,246,378
"York South--Weston/York-Sud--Weston"," 93","York",0,6,44,27,73,2,152,330
"York South--Weston/York-Sud--Weston"," 94","York",1,7,48,49,135,2,242,439
"York South--Weston/York-Sud--Weston"," 95","York",0,9,46,32,101,0,188,427
"York South--Weston/York-Sud--Weston"," 96","York",0,8,77,26,56,0,167,331
"York South--Weston/York-Sud--Weston"," 97","York",3,16,36,39,108,1,203,311
"York South--Weston/York-Sud--Weston"," 98","York",3,14,71,43,100,0,231,375
"York South--Weston/York-Sud--Weston"," 99","York",0,7,19,22,62,1,111,259
"York South--Weston/York-Sud--Weston"," 100","York",1,3,21,35,111,2,173,271
"York South--Weston/York-Sud--Weston"," 101","York",1,9,52,46,144,1,253,428
"York South--Weston/York-Sud--Weston"," 102","York",3,7,56,38,118,1,223,389
"York South--Weston/York-Sud--Weston"," 103","York",4,6,53,31,135,0,229,402
"York South--Weston/York-Sud--Weston"," 104","York",0,9,58,23,71,0,161,381
"York South--Weston/York-Sud--Weston"," 105","York",1,8,66,39,146,0,260,458
"York South--Weston/York-Sud--Weston"," 106","York",1,3,44,25,97,0,170,456
"York South--Weston/York-Sud--Weston"," 107","York",3,3,40,56,113,0,215,425
"York South--Weston/York-Sud--Weston"," 108","York",1,4,40,30,108,0,183,313
"York South--Weston/York-Sud--Weston"," 109","York",2,9,32,20,141,2,206,351
"York South--Weston/York-Sud--Weston"," 110","York",1,6,29,16,121,1,174,335
"York South--Weston/York-Sud--Weston"," 111","York",0,4,31,24,109,4,172,305
"York South--Weston/York-Sud--Weston"," 112","York",2,4,65,40,223,4,338,580
"York South--Weston/York-Sud--Weston"," 113","York",1,9,59,30,158,0,257,494
"York South--Weston/York-Sud--Weston"," 114","York",1,7,44,35,183,1,271,505
"York South--Weston/York-Sud--Weston"," 115","York",2,11,61,46,184,3,307,572
"York South--Weston/York-Sud--Weston"," 116","York",0,11,65,34,116,3,229,472
"York South--Weston/York-Sud--Weston"," 117","York",0,10,63,41,123,9,246,423
"York South--Weston/York-Sud--Weston"," 118","York",0,5,60,39,170,0,274,450
"York South--Weston/York-Sud--Weston"," 119","York",0,8,92,25,118,1,244,436
"York South--Weston/York-Sud--Weston"," 120","York",0,15,68,40,163,5,291,542
"York South--Weston/York-Sud--Weston"," 121","York",0,14,86,40,132,4,276,560
"York South--Weston/York-Sud--Weston"," 122","York",1,5,45,39,110,0,200,362
"York South--Weston/York-Sud--Weston"," 123","York",0,2,45,27,174,0,248,436
"York South--Weston/York-Sud--Weston"," 124","York",1,7,58,22,168,2,258,505
"York South--Weston/York-Sud--Weston"," 125","York",0,16,77,39,142,0,274,447
"York South--Weston/York-Sud--Weston"," 126","York",0,13,43,56,87,1,200,347
"York South--Weston/York-Sud--Weston"," 127","York",1,9,82,65,112,0,269,402
"York South--Weston/York-Sud--Weston"," 128","York",1,6,52,46,95,0,200,376
"York South--Weston/York-Sud--Weston"," 129","York",1,8,52,40,91,2,194,301
"York South--Weston/York-Sud--Weston"," 130","York",0,13,53,26,96,1,189,357
"York South--Weston/York-Sud--Weston"," 131","York",1,4,53,41,105,2,206,438
"York South--Weston/York-Sud--Weston"," 132","York",2,9,41,25,175,2,254,426
"York South--Weston/York-Sud--Weston"," 133","York",1,4,31,35,100,0,171,437
"York South--Weston/York-Sud--Weston"," 134","York",1,7,47,18,192,0,265,520
"York South--Weston/York-Sud--Weston"," 135","York",2,11,37,34,96,0,180,308
"York South--Weston/York-Sud--Weston"," 136","York",1,8,39,28,53,3,132,250
"York South--Weston/York-Sud--Weston"," 137","York",1,9,38,37,95,0,180,319
"York South--Weston/York-Sud--Weston"," 138","York",1,12,83,52,103,3,254,466
"York South--Weston/York-Sud--Weston"," 139","York",0,7,62,43,123,6,241,452
"York South--Weston/York-Sud--Weston"," 140","York",0,8,57,23,115,2,205,359
"York South--Weston/York-Sud--Weston"," 141","York",2,6,53,25,131,1,218,440
"York South--Weston/York-Sud--Weston"," 142","York",1,12,43,32,116,0,204,354
"York South--Weston/York-Sud--Weston"," 143","Toronto",2,13,46,31,119,5,216,398
"York South--Weston/York-Sud--Weston"," 144","York",1,4,65,31,195,4,300,567
"York South--Weston/York-Sud--Weston"," 145","York",3,5,62,29,110,2,211,408
"York South--Weston/York-Sud--Weston"," 146","York",1,18,69,53,148,0,289,536
"York South--Weston/York-Sud--Weston"," 147","Toronto",0,9,36,23,65,1,134,338
"York South--Weston/York-Sud--Weston"," 148A","Toronto",0,5,58,42,100,0,205,415
"York South--Weston/York-Sud--Weston"," 148B","Toronto",1,10,78,43,139,1,272,485
"York South--Weston/York-Sud--Weston"," 149","Toronto",0,11,66,42,103,0,222,425
"York South--Weston/York-Sud--Weston"," 400","York",0,0,21,28,51,0,100,175
"York South--Weston/York-Sud--Weston"," 401","York",0,4,26,20,47,1,98,177
"York South--Weston/York-Sud--Weston"," 402","York",0,8,41,29,97,0,175,330
"York South--Weston/York-Sud--Weston"," 403","York",2,1,54,23,143,0,223,388
"York South--Weston/York-Sud--Weston"," 404","York",0,2,47,29,131,0,209,342
"York South--Weston/York-Sud--Weston"," 405","North York",2,1,10,41,70,1,125,170
"York South--Weston/York-Sud--Weston"," 406","York",2,2,14,16,43,1,78,147
"York South--Weston/York-Sud--Weston"," 407","North York",2,11,39,39,208,1,300,511
"York South--Weston/York-Sud--Weston"," 408","North York",0,1,46,30,145,4,226,396
"York South--Weston/York-Sud--Weston"," 409","North York",0,2,26,31,130,0,189,398
"York South--Weston/York-Sud--Weston"," 410","York",1,3,19,22,46,0,91,161
"York South--Weston/York-Sud--Weston"," 411","York",0,6,19,26,65,0,116,188
"York South--Weston/York-Sud--Weston"," 412","York",1,11,49,49,165,1,276,457
"York South--Weston/York-Sud--Weston"," 413","York",0,11,45,26,94,1,177,300
"York South--Weston/York-Sud--Weston"," 414","York",1,6,40,36,130,2,215,369
"York South--Weston/York-Sud--Weston"," 415","York",2,6,35,15,102,3,163,380
"York South--Weston/York-Sud--Weston"," 416","York",0,3,36,24,72,0,135,303
"York South--Weston/York-Sud--Weston"," 417","York",0,16,67,62,133,1,279,358
"York South--Weston/York-Sud--Weston"," 418","York",1,10,32,84,145,3,275,348
"York South--Weston/York-Sud--Weston"," 419","York",1,13,37,88,129,0,268,354
"York South--Weston/York-Sud--Weston"," 420","York",3,12,33,58,157,0,263,337
"York South--Weston/York-Sud--Weston"," 421","York",1,1,8,12,47,3,72,148
"York South--Weston/York-Sud--Weston"," 422","York",1,2,32,26,87,37,185,317
"York South--Weston/York-Sud--Weston"," 500","Mobile poll/Bureau itinérant",0,1,17,17,22,2,59,107
"York South--Weston/York-Sud--Weston"," 501","Mobile poll/Bureau itinérant",1,5,6,7,18,0,37,113
"York South--Weston/York-Sud--Weston"," 600","Toronto",0,25,147,146,296,2,616,
"York South--Weston/York-Sud--Weston"," 601","Toronto",0,5,44,47,193,2,291,
"York South--Weston/York-Sud--Weston"," 602","Toronto",1,9,66,117,294,0,487,
"York South--Weston/York-Sud--Weston"," 603","Toronto",0,18,111,123,267,4,523,
"York South--Weston/York-Sud--Weston"," 604","Toronto",2,5,38,52,139,1,237,
"York South--Weston/York-Sud--Weston"," 605","Toronto",3,19,60,52,155,1,290,
"York South--Weston/York-Sud--Weston",,Group 1/Groupe 1,0,7,19,13,37,3,79,107
"York South--Weston/York-Sud--Weston",,Group 2/Groupe 2,2,12,83,74,247,7,425,
