Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Carole Freeman,Charles Ghorayeb,Ehsan Mohammadian,Alain Rioux,Rosaire Turcot,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 59","Châteauguay",115,82,12,21,50,3,283,399
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 60","Châteauguay",67,91,16,5,46,1,226,362
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 61","Châteauguay",76,97,13,18,45,1,250,403
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 62","Châteauguay",58,82,17,8,50,4,219,378
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 63","Châteauguay",72,85,21,15,59,2,254,447
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 64","Châteauguay",105,61,32,10,54,4,266,465
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 65","Châteauguay",Merged with No. 106/Fusionné avec le nº 106,,,,,,,381
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 66","Châteauguay",79,78,10,12,32,4,215,392
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 67","Châteauguay",102,90,13,9,77,6,297,472
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 68","Châteauguay",92,70,11,7,42,2,224,372
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 69","Châteauguay",115,86,12,16,40,5,274,410
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 70","Châteauguay",83,92,17,7,41,2,242,422
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 71","Châteauguay",98,43,9,7,39,4,200,409
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 72","Châteauguay",102,68,23,6,36,7,242,474
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 73","Châteauguay",95,45,4,5,62,4,215,370
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 74","Châteauguay",85,61,11,10,49,4,220,379
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 75","Châteauguay",78,57,12,10,36,2,195,329
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 76","Châteauguay",87,72,13,8,61,2,243,352
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 77","Châteauguay",91,57,9,6,40,7,210,356
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 78","Châteauguay",99,54,6,6,37,2,204,315
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 79","Châteauguay",112,70,10,4,44,6,246,404
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 80","Châteauguay",83,83,18,13,65,3,265,400
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 81","Châteauguay",121,102,25,14,77,3,342,536
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 82","Châteauguay",127,62,18,11,46,3,267,423
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 83","Châteauguay",88,48,15,7,62,1,221,356
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 84","Mercier",150,38,15,17,62,5,287,461
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 85","Mercier",113,44,9,10,57,6,239,385
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 86","Mercier",211,49,22,16,67,5,370,574
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 87","Mercier",223,31,14,24,85,3,380,570
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 88","Mercier",132,50,17,9,44,2,254,390
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 89","Mercier",231,38,20,12,76,10,387,553
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 90","Mercier",159,37,12,15,63,0,286,439
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 91","Mercier",161,45,12,13,70,5,306,456
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 92","Mercier",171,35,20,17,86,8,337,514
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 93","Mercier",119,14,10,17,49,3,212,342
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 94","Mercier",106,22,14,4,48,2,196,320
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 95","Mercier",108,29,9,15,41,3,205,339
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 96","Mercier",161,37,15,9,52,3,277,399
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 97","Mercier",219,25,17,15,73,2,351,530
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 98","Mercier",167,22,8,12,62,0,271,461
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 99","Mercier",196,29,5,10,51,7,298,475
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 100","Mercier",78,21,5,14,77,0,195,343
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 101","Saint-Isidore",112,31,11,4,49,11,218,312
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 102","Saint-Isidore",115,22,14,9,50,5,215,335
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 103","Saint-Isidore",162,17,5,14,58,7,263,351
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 104","Saint-Isidore",165,36,11,12,39,6,269,386
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 105","Saint-Isidore",166,24,18,19,110,7,344,517
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 106","Kahnawake 14",47,101,8,11,63,2,232,719
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 107","Sainte-Catherine",233,34,14,9,58,7,355,579
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 108","Sainte-Catherine",141,15,8,13,40,1,218,352
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 109","Sainte-Catherine",170,29,17,4,36,2,258,396
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 110","Sainte-Catherine",131,24,15,12,56,0,238,406
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 111A","Sainte-Catherine",73,20,10,4,28,3,138,208
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 111B","Sainte-Catherine",42,50,9,4,33,6,144,211
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 112","Sainte-Catherine",166,21,12,14,35,6,254,437
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 113","Sainte-Catherine",106,9,9,7,37,3,171,296
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 114","Sainte-Catherine",106,22,8,4,23,7,170,329
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 115","Sainte-Catherine",161,21,24,13,31,4,254,390
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 116","Sainte-Catherine",170,25,8,5,25,6,239,336
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 117","Sainte-Catherine",94,11,5,4,28,1,143,276
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 118","Sainte-Catherine",149,13,15,16,43,2,238,392
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 119","Sainte-Catherine",164,14,13,7,36,8,242,383
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 120","Sainte-Catherine",108,17,3,11,26,5,170,324
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 121","Sainte-Catherine",97,19,6,6,39,6,173,342
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 122","Sainte-Catherine",159,18,6,4,45,7,239,363
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 123","Sainte-Catherine",121,24,6,5,31,5,192,372
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 124","Sainte-Catherine",141,34,15,10,46,4,250,413
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 125","Sainte-Catherine",215,30,18,10,27,8,308,528
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 126","Sainte-Catherine",152,22,8,7,36,5,230,462
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 127","Sainte-Catherine",161,17,16,12,51,10,267,412
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 128","Sainte-Catherine",176,33,15,8,53,9,294,494
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 129A","Sainte-Catherine",171,24,8,4,30,2,239,375
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 129B","Sainte-Catherine",144,20,2,7,36,2,211,355
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 130","Sainte-Catherine",164,24,4,15,39,1,247,465
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 131","Sainte-Catherine",174,17,6,8,55,5,265,468
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 132","Sainte-Catherine",136,14,9,10,37,5,211,378
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 133","Sainte-Catherine",205,37,21,16,71,6,356,596
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 134","Sainte-Catherine",173,24,12,19,41,2,271,458
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 135","Sainte-Catherine",158,31,19,16,68,6,298,443
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 136","Delson",205,29,28,14,64,10,350,584
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 137","Delson",133,21,12,9,33,4,212,484
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 138","Delson",136,21,15,14,55,4,245,347
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 139","Delson",146,12,14,6,25,5,208,321
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 140","Delson",194,17,14,4,53,0,282,427
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 141","Delson",143,42,13,4,55,3,260,456
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 142","Saint-Constant",193,21,11,6,71,6,308,533
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 143","Saint-Constant",137,17,9,4,43,2,212,443
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 144","Saint-Constant",105,23,6,6,38,6,184,307
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 145","Saint-Constant",176,15,13,4,43,2,253,468
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 146","Saint-Constant",158,18,12,10,24,1,223,366
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 147","Saint-Constant",140,19,7,6,34,3,209,341
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 148","Saint-Constant",149,22,7,15,39,3,235,362
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 149","Saint-Constant",149,17,12,11,35,1,225,369
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 150","Saint-Constant",189,17,21,7,57,2,293,438
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 151","Saint-Constant",167,44,13,9,58,2,293,451
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 152","Saint-Constant",160,27,7,15,54,2,265,395
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 153","Saint-Constant",173,29,31,12,67,5,317,521
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 154","Delson",99,15,12,7,37,6,176,321
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 155","Delson",254,35,26,14,80,5,414,688
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 156","Delson",119,39,10,13,56,9,246,388
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 157","Delson",111,33,17,11,37,7,216,383
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 158","Delson",112,48,13,9,46,4,232,352
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 159","Delson",125,31,17,12,38,3,226,374
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 160","Delson",100,17,7,6,32,1,163,379
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 161","Saint-Constant",149,30,12,9,38,7,245,437
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 162","Saint-Constant",160,34,8,12,47,1,262,392
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 163","Saint-Constant",159,35,11,9,53,9,276,488
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 164","Saint-Constant",171,18,11,12,43,4,259,417
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 165","Saint-Constant",165,33,8,11,46,9,272,441
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 166","Saint-Constant",145,49,23,12,66,3,298,510
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 167","Saint-Constant",169,48,19,12,60,8,316,477
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 168","Saint-Constant",188,30,10,10,53,3,294,454
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 169","Saint-Constant",203,41,12,12,65,6,339,488
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 170","Saint-Constant",173,37,20,16,65,6,317,473
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 171","Saint-Constant",215,53,16,10,70,8,372,552
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 172","Saint-Constant",133,33,20,15,52,6,259,406
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 173","Saint-Constant",114,13,10,8,12,1,158,347
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 174","Saint-Constant",135,15,12,4,28,6,200,438
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 175","Saint-Constant",203,43,23,20,52,1,342,563
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 176A","Saint-Constant",162,17,17,11,55,7,269,410
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 176B","Saint-Constant",156,21,16,8,59,6,266,399
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 177A","Saint-Constant",206,28,15,12,60,2,323,504
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 177B","Saint-Constant",227,34,16,10,66,3,356,516
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 178","Saint-Constant",178,12,15,6,38,2,251,350
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 179","Saint-Constant",163,23,10,9,45,0,250,415
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 180","Saint-Constant",156,25,13,11,49,0,254,411
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 181","Saint-Constant",191,35,12,11,66,5,320,509
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 182","Saint-Constant",171,42,20,7,43,6,289,478
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 183","Saint-Constant",138,12,14,5,34,3,206,352
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 184","Saint-Constant",155,26,7,10,48,6,252,440
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 185","Saint-Constant",170,22,19,9,61,5,286,461
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 186","Saint-Constant",119,47,6,12,49,1,234,411
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 187","Saint-Mathieu",101,26,6,9,41,5,188,316
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 188","Saint-Mathieu",88,31,9,2,42,5,177,305
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 189","Saint-Mathieu",137,27,13,9,53,6,245,382
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 190","Saint-Mathieu",143,42,14,16,60,9,284,515
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 500","Mobile poll/Bureau itinérant",24,42,1,2,14,5,88,147
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 501","Mobile poll/Bureau itinérant",50,50,3,2,36,6,147,164
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 502","Mobile poll/Bureau itinérant",31,58,1,4,32,11,137,184
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 600","Châteauguay",177,218,18,25,162,0,600,
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 601","Léry",45,34,0,6,43,0,128,
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 602","Châteauguay",257,110,22,21,134,11,555,
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 603","Châteauguay",174,262,17,23,179,12,667,
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 604","Châteauguay",129,148,16,14,106,10,423,
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 605","Mercier",246,71,21,13,127,1,479,
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 606","Saint-Isidore",35,12,7,9,17,0,80,
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 607","Kahnawake--Sainte-Catherine",164,50,12,11,64,10,311,
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 608","Sainte-Catherine",263,71,24,18,128,6,510,
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 609","Delson",251,73,10,12,111,8,465,
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 610","Saint-Constant",306,96,17,14,152,10,595,
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 611","Saint-Constant",276,67,19,19,85,5,471,
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 612","Saint-Mathieu",63,24,4,9,29,3,132,
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant",,Group 1/Groupe 1,28,21,3,6,17,1,76,167
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant",,Group 2/Groupe 2,596,299,33,23,181,16,1148,
