Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dan Banov,Mike Bocking,Keith Henry,Robert Hornsey,Randy Kamp,Erin Knipstrom,Frank Martin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 64","Maple Ridge",1,85,39,5,128,0,0,0,258,397
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 65","Maple Ridge",0,99,55,14,73,1,0,0,242,376
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 66","Maple Ridge",0,104,49,5,74,3,0,0,235,391
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 67","Maple Ridge",4,104,37,11,74,1,1,0,232,403
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 68","Maple Ridge",1,68,36,14,56,2,0,0,177,368
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 69","Maple Ridge",1,106,40,4,81,2,0,0,234,449
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 70","Maple Ridge",3,118,49,9,76,1,0,0,256,442
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 71","Maple Ridge",1,90,35,11,67,6,1,0,211,329
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 71-1","Maple Ridge",0,43,14,5,45,2,0,0,109,193
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 72","Maple Ridge",1,102,54,16,124,3,0,0,300,479
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 73","Maple Ridge",3,127,47,8,63,1,0,0,249,421
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 74","Maple Ridge",4,139,56,6,135,2,1,2,345,565
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 75","Maple Ridge",3,117,38,16,65,1,0,0,240,482
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 76","Maple Ridge",1,88,56,9,94,1,0,0,249,403
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 77","Maple Ridge",2,118,67,9,127,1,0,1,325,510
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 78","Maple Ridge",2,107,61,6,123,5,0,1,305,454
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 79","Maple Ridge",0,74,79,17,96,0,0,0,266,403
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 80","Maple Ridge",0,109,67,13,81,1,1,0,272,414
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 81","Maple Ridge",0,121,53,8,112,0,1,0,295,459
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 82","Maple Ridge",1,95,76,13,121,1,1,1,309,492
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 83","Maple Ridge",1,120,52,10,84,1,0,0,268,452
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 84","Maple Ridge",0,95,60,15,109,4,0,0,283,501
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 85","Maple Ridge",2,93,73,13,120,0,0,0,301,533
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 86","Maple Ridge",3,80,45,11,69,2,0,0,210,421
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 87","Maple Ridge",4,117,55,6,63,1,0,0,246,436
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 88","Maple Ridge",1,126,55,16,105,2,1,0,306,500
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 89","Maple Ridge",3,64,37,7,103,1,0,0,215,394
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 90","Maple Ridge",1,92,42,3,69,2,0,0,209,457
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 91","Maple Ridge",2,96,55,3,76,3,0,1,236,459
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 92","Maple Ridge",1,46,29,1,48,0,0,0,125,266
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 93","Maple Ridge",3,92,40,6,70,1,0,0,212,402
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 94","Maple Ridge",1,88,43,1,51,0,0,2,186,362
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 95","Maple Ridge",0,52,34,3,58,0,1,0,148,301
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 96","Maple Ridge",3,73,34,3,71,0,1,0,185,351
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 97","Maple Ridge",0,90,61,8,78,4,0,4,245,462
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 98","Maple Ridge",1,61,34,7,46,0,1,0,150,327
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 99A","Maple Ridge",0,36,17,5,37,1,0,2,98,312
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 99B","Maple Ridge",2,41,24,10,39,1,0,0,117,338
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 100","Maple Ridge",1,43,52,1,73,2,0,0,172,318
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 101","Maple Ridge",0,91,58,6,98,4,1,0,258,434
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 102","Maple Ridge",1,97,39,4,73,1,1,1,217,400
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 103","Maple Ridge",4,97,38,4,60,2,1,0,206,374
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 104","Maple Ridge",2,59,56,8,124,1,2,1,253,457
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 105","Maple Ridge",0,97,64,6,142,1,1,2,313,520
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 106","Maple Ridge",2,89,43,4,115,9,1,1,264,450
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 107","Maple Ridge",0,78,45,6,95,1,0,0,225,416
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 108","Maple Ridge",2,102,61,11,88,0,1,0,265,465
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 109","Maple Ridge",4,113,53,13,101,4,0,1,289,512
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 110","Maple Ridge",1,92,51,7,118,1,4,0,274,488
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 111A","Maple Ridge",1,64,28,0,55,2,0,1,151,311
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 111B","Maple Ridge",1,56,26,5,53,0,0,0,141,295
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 112","Maple Ridge",3,67,39,5,48,3,0,0,165,350
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 113","Maple Ridge",2,43,22,1,35,1,0,0,104,210
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 114","Maple Ridge",6,73,51,14,94,2,0,0,240,410
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 115","Maple Ridge",2,58,46,3,75,2,1,0,187,283
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 116","Maple Ridge",2,92,34,7,67,0,0,0,202,369
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 117","Maple Ridge",1,69,38,5,56,0,0,0,169,293
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 118","Maple Ridge",0,53,29,1,28,0,1,0,112,209
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 118-1","Maple Ridge",1,78,43,7,60,1,0,0,190,365
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 119","Maple Ridge",1,78,42,7,70,3,0,0,201,367
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 120","Maple Ridge",2,74,38,6,72,0,1,1,194,337
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 120-1","Maple Ridge",0,43,60,1,98,1,1,0,204,321
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 121","Maple Ridge",2,84,50,3,98,0,0,0,237,330
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 122","Maple Ridge",0,72,57,3,91,1,1,0,225,328
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 123","Maple Ridge",0,89,77,8,107,1,0,1,283,472
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 124","Maple Ridge",0,61,32,4,80,1,0,0,178,285
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 124-1","Maple Ridge",4,80,46,13,80,0,0,2,225,380
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 125","Maple Ridge",0,57,38,8,58,0,0,1,162,302
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 126","Maple Ridge",3,77,66,9,107,0,0,1,263,474
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 127","Maple Ridge",0,99,80,9,139,2,0,1,330,567
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 128","Mission",1,127,52,23,145,2,0,0,350,535
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 129","Mission",3,51,24,4,46,2,0,0,130,288
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 130","Mission",3,77,40,6,78,2,0,0,206,397
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 131","Mission",3,60,18,7,33,0,0,0,121,266
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 132","Mission",1,96,21,14,107,2,0,0,241,386
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 133","Mission",5,96,35,5,73,0,0,0,214,327
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 134","Mission",0,81,39,11,98,1,1,1,232,431
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 135A","Mission",3,55,31,7,67,2,1,0,166,282
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 135B","Mission",0,62,33,10,72,2,0,1,180,311
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 136","Mission",1,67,42,5,69,1,0,0,185,285
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 136-1","Mission",3,96,64,6,98,2,0,0,269,514
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 137","Mission",0,77,56,7,144,0,0,0,284,495
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 138","Mission",0,56,59,6,124,1,0,1,247,399
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 139","Mission",2,80,72,10,135,2,0,0,301,542
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 140","Mission",3,112,63,6,104,1,0,5,294,494
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 141","Mission",3,77,40,11,113,2,1,1,248,464
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 142","Mission",0,44,21,3,47,1,0,0,116,150
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 143","Mission",1,74,38,14,47,0,0,0,174,345
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 144","Mission",3,133,46,13,90,1,0,0,286,522
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 145","Mission",1,132,59,11,83,3,1,1,291,544
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 146","Mission",1,99,46,10,104,0,0,0,260,457
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 147","Mission",3,112,58,18,138,1,0,1,331,566
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 148","Mission",0,94,60,8,152,0,0,2,316,476
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 148-1","Mission",0,94,39,12,113,0,2,0,260,486
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 149","Mission",1,91,56,10,134,1,1,0,294,480
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 150","Mission",2,34,23,4,83,0,0,0,146,242
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 151","Mission",2,113,56,6,131,0,0,1,309,474
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 152","Mission",1,103,53,6,95,0,0,0,258,421
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 153","Mission",1,135,57,11,134,1,0,0,339,553
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 154","Mission",4,98,58,9,113,0,0,0,282,457
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 155","Mission",1,41,13,2,40,0,0,0,97,171
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 156","Mission",2,101,46,16,83,2,1,4,255,460
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 157","Mission",2,95,26,2,72,1,0,1,199,372
