Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Harold Glenn Albrecht,Len Carter,Lynn Myers,Kristine Yvonne Stapleton,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Kitchener--Conestoga/Kitchener--Conestoga"," 61B","Baden",105,23,79,11,0,218,353
"Kitchener--Conestoga/Kitchener--Conestoga"," 62","Baden",121,39,62,17,1,240,340
"Kitchener--Conestoga/Kitchener--Conestoga"," 63","Haysville",173,36,157,20,0,386,599
"Kitchener--Conestoga/Kitchener--Conestoga"," 64","Wilmot",99,19,77,7,0,202,314
"Kitchener--Conestoga/Kitchener--Conestoga"," 65","New Dundee",176,36,111,22,2,347,490
"Kitchener--Conestoga/Kitchener--Conestoga"," 66","New Dundee",47,24,49,8,1,129,180
"Kitchener--Conestoga/Kitchener--Conestoga"," 67","New Dundee",252,44,164,21,0,481,699
"Kitchener--Conestoga/Kitchener--Conestoga"," 68","New Hamburg",117,46,106,9,1,279,449
"Kitchener--Conestoga/Kitchener--Conestoga"," 69","New Hamburg",142,56,126,24,1,349,592
"Kitchener--Conestoga/Kitchener--Conestoga"," 70","New Hamburg",47,37,65,23,1,173,311
"Kitchener--Conestoga/Kitchener--Conestoga"," 71","New Hamburg",159,46,125,20,0,350,591
"Kitchener--Conestoga/Kitchener--Conestoga"," 72","New Hamburg",99,32,72,14,0,217,341
"Kitchener--Conestoga/Kitchener--Conestoga"," 73","New Hamburg",26,20,15,2,0,63,127
"Kitchener--Conestoga/Kitchener--Conestoga"," 74","New Hamburg",113,32,75,13,5,238,380
"Kitchener--Conestoga/Kitchener--Conestoga"," 75","New Hamburg",91,25,58,4,1,179,297
"Kitchener--Conestoga/Kitchener--Conestoga"," 76","New Hamburg",107,30,89,20,0,246,411
"Kitchener--Conestoga/Kitchener--Conestoga"," 77","New Hamburg",58,17,37,6,0,118,191
"Kitchener--Conestoga/Kitchener--Conestoga"," 78","New Hamburg",147,50,114,17,0,328,576
"Kitchener--Conestoga/Kitchener--Conestoga"," 79","New Hamburg",108,28,112,4,1,253,360
"Kitchener--Conestoga/Kitchener--Conestoga"," 80","New Hamburg",73,18,59,6,0,156,255
"Kitchener--Conestoga/Kitchener--Conestoga"," 81A","Kitchener",154,74,156,11,3,398,725
"Kitchener--Conestoga/Kitchener--Conestoga"," 81B","Kitchener",138,66,132,16,2,354,639
"Kitchener--Conestoga/Kitchener--Conestoga"," 81C","Kitchener",128,54,147,17,1,347,685
"Kitchener--Conestoga/Kitchener--Conestoga"," 82A","Kitchener",109,68,118,13,2,310,651
"Kitchener--Conestoga/Kitchener--Conestoga"," 82B","Kitchener",96,74,123,15,1,309,611
"Kitchener--Conestoga/Kitchener--Conestoga"," 83A","Kitchener",23,14,29,4,0,70,156
"Kitchener--Conestoga/Kitchener--Conestoga"," 83B","Kitchener",81,27,82,13,2,205,363
"Kitchener--Conestoga/Kitchener--Conestoga"," 84","Kitchener",92,54,146,20,0,312,573
"Kitchener--Conestoga/Kitchener--Conestoga"," 84-1A","Kitchener",83,47,79,17,2,228,412
"Kitchener--Conestoga/Kitchener--Conestoga"," 84-1B","Kitchener",91,38,90,6,0,225,390
"Kitchener--Conestoga/Kitchener--Conestoga"," 85A","Kitchener",76,39,80,11,0,206,360
"Kitchener--Conestoga/Kitchener--Conestoga"," 85B","Kitchener",77,24,86,3,0,190,336
"Kitchener--Conestoga/Kitchener--Conestoga"," 86","Kitchener",78,45,130,15,0,268,449
"Kitchener--Conestoga/Kitchener--Conestoga"," 87","Kitchener",92,47,118,25,0,282,477
"Kitchener--Conestoga/Kitchener--Conestoga"," 88","Kitchener",108,71,91,16,0,286,472
"Kitchener--Conestoga/Kitchener--Conestoga"," 89","Kitchener",74,39,89,12,1,215,354
"Kitchener--Conestoga/Kitchener--Conestoga"," 90","Kitchener",89,39,73,12,1,214,331
"Kitchener--Conestoga/Kitchener--Conestoga"," 90-1","Kitchener",73,11,68,3,4,159,239
"Kitchener--Conestoga/Kitchener--Conestoga"," 91","Kitchener",93,27,71,4,0,195,364
"Kitchener--Conestoga/Kitchener--Conestoga"," 92","Kitchener",71,30,99,7,0,207,372
"Kitchener--Conestoga/Kitchener--Conestoga"," 92-1","Kitchener",72,27,60,7,0,166,358
"Kitchener--Conestoga/Kitchener--Conestoga"," 93","Kitchener",88,35,102,12,0,237,472
"Kitchener--Conestoga/Kitchener--Conestoga"," 94","Kitchener",21,23,48,8,0,100,215
"Kitchener--Conestoga/Kitchener--Conestoga"," 95","Kitchener",34,11,30,1,0,76,197
"Kitchener--Conestoga/Kitchener--Conestoga"," 96","Kitchener",76,54,77,15,0,222,449
"Kitchener--Conestoga/Kitchener--Conestoga"," 97","Kitchener",102,49,92,18,0,261,453
"Kitchener--Conestoga/Kitchener--Conestoga"," 98","Kitchener",97,36,94,11,1,239,421
"Kitchener--Conestoga/Kitchener--Conestoga"," 99","Kitchener",111,36,95,18,5,265,460
"Kitchener--Conestoga/Kitchener--Conestoga"," 100","Kitchener",81,48,87,16,0,232,457
"Kitchener--Conestoga/Kitchener--Conestoga"," 101","Kitchener",57,28,79,2,0,166,287
"Kitchener--Conestoga/Kitchener--Conestoga"," 102","Kitchener",40,15,56,6,0,117,256
"Kitchener--Conestoga/Kitchener--Conestoga"," 103","Kitchener",83,38,131,10,1,263,430
"Kitchener--Conestoga/Kitchener--Conestoga"," 104","Kitchener",116,48,97,12,0,273,465
"Kitchener--Conestoga/Kitchener--Conestoga"," 105","Kitchener",57,69,67,20,0,213,417
"Kitchener--Conestoga/Kitchener--Conestoga"," 106","Kitchener",116,74,125,19,0,334,563
"Kitchener--Conestoga/Kitchener--Conestoga"," 107","Kitchener",118,45,103,16,2,284,435
"Kitchener--Conestoga/Kitchener--Conestoga"," 108","Kitchener",111,52,98,16,0,277,415
"Kitchener--Conestoga/Kitchener--Conestoga"," 109","Kitchener",66,39,72,14,1,192,408
"Kitchener--Conestoga/Kitchener--Conestoga"," 110","Kitchener",59,62,99,13,3,236,625
"Kitchener--Conestoga/Kitchener--Conestoga"," 111","Kitchener",7,5,21,1,1,35,72
"Kitchener--Conestoga/Kitchener--Conestoga"," 112","Kitchener",41,35,86,10,2,174,474
"Kitchener--Conestoga/Kitchener--Conestoga"," 113","Kitchener",93,62,108,16,3,282,449
"Kitchener--Conestoga/Kitchener--Conestoga"," 114","Kitchener",88,52,80,20,0,240,386
"Kitchener--Conestoga/Kitchener--Conestoga"," 115","Kitchener",68,52,119,12,0,251,409
"Kitchener--Conestoga/Kitchener--Conestoga"," 116","Kitchener",52,42,60,6,0,160,500
"Kitchener--Conestoga/Kitchener--Conestoga"," 117","Kitchener",83,37,74,12,0,206,326
"Kitchener--Conestoga/Kitchener--Conestoga"," 118","Kitchener",39,43,69,10,0,161,350
"Kitchener--Conestoga/Kitchener--Conestoga"," 119","Kitchener",42,53,91,12,2,200,371
"Kitchener--Conestoga/Kitchener--Conestoga"," 120","Kitchener",87,65,123,19,1,295,544
"Kitchener--Conestoga/Kitchener--Conestoga"," 121","Kitchener",110,51,113,12,0,286,402
"Kitchener--Conestoga/Kitchener--Conestoga"," 122","Kitchener",54,63,78,7,0,202,368
"Kitchener--Conestoga/Kitchener--Conestoga"," 123","Kitchener",45,31,73,9,0,158,389
"Kitchener--Conestoga/Kitchener--Conestoga"," 124","Kitchener",74,46,82,9,1,212,409
"Kitchener--Conestoga/Kitchener--Conestoga"," 125","Kitchener",63,50,76,13,2,204,346
"Kitchener--Conestoga/Kitchener--Conestoga"," 126","Kitchener",58,49,68,12,0,187,399
"Kitchener--Conestoga/Kitchener--Conestoga"," 127","Kitchener",77,59,109,9,2,256,424
"Kitchener--Conestoga/Kitchener--Conestoga"," 128","Kitchener",37,37,49,8,0,131,366
"Kitchener--Conestoga/Kitchener--Conestoga"," 129","Kitchener",48,48,62,8,0,166,327
"Kitchener--Conestoga/Kitchener--Conestoga"," 130","Kitchener",88,49,100,16,1,254,563
"Kitchener--Conestoga/Kitchener--Conestoga"," 131","Kitchener",19,20,30,7,2,78,244
"Kitchener--Conestoga/Kitchener--Conestoga"," 132","Kitchener",67,61,80,12,1,221,387
"Kitchener--Conestoga/Kitchener--Conestoga"," 133","Kitchener",69,50,71,11,2,203,400
"Kitchener--Conestoga/Kitchener--Conestoga"," 134","Kitchener",72,47,83,12,0,214,415
"Kitchener--Conestoga/Kitchener--Conestoga"," 135","Kitchener",84,45,110,5,0,244,369
"Kitchener--Conestoga/Kitchener--Conestoga"," 136","Kitchener",69,45,126,25,2,267,517
"Kitchener--Conestoga/Kitchener--Conestoga"," 137","Kitchener",67,60,79,9,0,215,385
"Kitchener--Conestoga/Kitchener--Conestoga"," 138","Kitchener",64,74,114,8,0,260,423
"Kitchener--Conestoga/Kitchener--Conestoga"," 139","Kitchener",Void/Supprimé,,,,,,
"Kitchener--Conestoga/Kitchener--Conestoga"," 140","Kitchener",117,65,140,19,0,341,633
"Kitchener--Conestoga/Kitchener--Conestoga"," 141","Kitchener",85,48,116,19,4,272,405
"Kitchener--Conestoga/Kitchener--Conestoga"," 142","Kitchener",118,55,96,16,1,286,462
"Kitchener--Conestoga/Kitchener--Conestoga"," 143","Kitchener",106,75,135,11,1,328,564
"Kitchener--Conestoga/Kitchener--Conestoga"," 144","Kitchener",73,49,117,12,0,251,435
"Kitchener--Conestoga/Kitchener--Conestoga"," 145","Kitchener",104,55,119,16,0,294,440
"Kitchener--Conestoga/Kitchener--Conestoga"," 146","Kitchener",118,43,112,20,0,293,493
"Kitchener--Conestoga/Kitchener--Conestoga"," 147A","Kitchener",129,59,188,26,1,403,668
"Kitchener--Conestoga/Kitchener--Conestoga"," 147B","Kitchener",183,63,166,17,2,431,679
"Kitchener--Conestoga/Kitchener--Conestoga"," 148","Kitchener",131,32,147,24,1,335,482
"Kitchener--Conestoga/Kitchener--Conestoga"," 149","Kitchener",96,54,112,12,1,275,438
"Kitchener--Conestoga/Kitchener--Conestoga"," 150","Kitchener",91,39,97,10,1,238,331
"Kitchener--Conestoga/Kitchener--Conestoga"," 151","Kitchener",89,55,109,25,0,278,447
"Kitchener--Conestoga/Kitchener--Conestoga"," 152","Kitchener",67,48,80,11,0,206,360
"Kitchener--Conestoga/Kitchener--Conestoga"," 153","Kitchener",98,49,115,19,0,281,439
"Kitchener--Conestoga/Kitchener--Conestoga"," 154","Kitchener",74,47,114,17,0,252,441
"Kitchener--Conestoga/Kitchener--Conestoga"," 155","Kitchener",52,35,53,10,0,150,314
"Kitchener--Conestoga/Kitchener--Conestoga"," 156","Kitchener",59,18,61,12,0,150,251
"Kitchener--Conestoga/Kitchener--Conestoga"," 157","Kitchener",91,42,91,8,1,233,347
"Kitchener--Conestoga/Kitchener--Conestoga"," 158","Kitchener",80,56,86,20,0,242,463
"Kitchener--Conestoga/Kitchener--Conestoga"," 159","Kitchener",58,36,40,8,1,143,288
"Kitchener--Conestoga/Kitchener--Conestoga"," 160A","Kitchener",124,55,193,9,0,381,655
"Kitchener--Conestoga/Kitchener--Conestoga"," 160B","Kitchener",178,41,151,11,1,382,647
"Kitchener--Conestoga/Kitchener--Conestoga"," 161","Kitchener",162,43,181,11,0,397,654
"Kitchener--Conestoga/Kitchener--Conestoga"," 162","Kitchener",162,40,163,16,3,384,558
"Kitchener--Conestoga/Kitchener--Conestoga"," 162-1","Kitchener",50,15,27,10,0,102,147
"Kitchener--Conestoga/Kitchener--Conestoga"," 163","Kitchener",146,68,207,19,1,441,691
"Kitchener--Conestoga/Kitchener--Conestoga"," 164","Kitchener",17,12,21,10,0,60,161
"Kitchener--Conestoga/Kitchener--Conestoga"," 165","Kitchener",69,59,87,20,0,235,393
"Kitchener--Conestoga/Kitchener--Conestoga"," 166","Kitchener",40,30,42,16,0,128,254
"Kitchener--Conestoga/Kitchener--Conestoga"," 167","Kitchener",45,30,63,14,0,152,325
"Kitchener--Conestoga/Kitchener--Conestoga"," 168","Kitchener",105,56,124,24,0,309,565
"Kitchener--Conestoga/Kitchener--Conestoga"," 169","Kitchener",55,33,70,14,0,172,381
"Kitchener--Conestoga/Kitchener--Conestoga"," 170A","Kitchener",171,20,146,18,0,355,585
"Kitchener--Conestoga/Kitchener--Conestoga"," 170B","Kitchener",125,17,152,6,0,300,467
"Kitchener--Conestoga/Kitchener--Conestoga"," 171","Kitchener",141,18,118,13,2,292,487
"Kitchener--Conestoga/Kitchener--Conestoga"," 400","Kitchener",57,38,92,24,2,213,258
"Kitchener--Conestoga/Kitchener--Conestoga"," 401","Kitchener",44,29,67,5,2,147,344
"Kitchener--Conestoga/Kitchener--Conestoga"," 402","Kitchener",50,39,56,18,0,163,302
"Kitchener--Conestoga/Kitchener--Conestoga"," 500","Mobile poll/Bureau itinérant",23,7,25,2,0,57,88
"Kitchener--Conestoga/Kitchener--Conestoga"," 501","Mobile poll/Bureau itinérant",44,12,41,2,0,99,180
"Kitchener--Conestoga/Kitchener--Conestoga"," 600","Bloomingdale",208,19,95,14,0,336,
"Kitchener--Conestoga/Kitchener--Conestoga"," 601","Elmira",292,38,170,19,0,519,
"Kitchener--Conestoga/Kitchener--Conestoga"," 602","Heidelberg",223,20,96,12,0,351,
"Kitchener--Conestoga/Kitchener--Conestoga"," 603","Baden",342,23,187,28,1,581,
"Kitchener--Conestoga/Kitchener--Conestoga"," 604","New Hamburg",253,31,122,20,2,428,
"Kitchener--Conestoga/Kitchener--Conestoga"," 605","Kitchener",278,72,205,22,4,581,
"Kitchener--Conestoga/Kitchener--Conestoga"," 606","Kitchener",268,53,196,24,1,542,
"Kitchener--Conestoga/Kitchener--Conestoga"," 607","Kitchener",197,55,150,29,0,431,
"Kitchener--Conestoga/Kitchener--Conestoga"," 608","Kitchener",508,88,308,48,2,954,
"Kitchener--Conestoga/Kitchener--Conestoga",,Group 1/Groupe 1,28,8,27,7,5,75,157
"Kitchener--Conestoga/Kitchener--Conestoga",,Group 2/Groupe 2,520,77,373,41,23,1034,
