Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,John Welsford Bethell,Danny Gay,Charles Isaac Hubbard,Jeannette Manuel-Allain,Mike Morrison,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Miramichi/Miramichi"," 27","Tabusintac 9",8,29,102,23,124,1,287,409
"Miramichi/Miramichi"," 28","Covedell",2,37,94,73,59,0,265,419
"Miramichi/Miramichi"," 29","Brantville",8,25,119,90,48,6,296,387
"Miramichi/Miramichi"," 30","Brantville",2,15,145,68,81,9,320,400
"Miramichi/Miramichi"," 31","Pontgravé",2,20,82,67,30,7,208,270
"Miramichi/Miramichi"," 32","Brantville",9,27,130,59,25,6,256,330
"Miramichi/Miramichi"," 33A","Rivière-du-Portage",1,24,113,76,60,3,277,383
"Miramichi/Miramichi"," 33B","Rivière-du-Portage",6,19,54,45,55,5,184,249
"Miramichi/Miramichi"," 34A","Burnt Church 14",1,3,85,11,22,0,122,344
"Miramichi/Miramichi"," 34B","Burnt Church 14",7,12,72,16,21,1,129,320
"Miramichi/Miramichi"," 35","Neguac",1,12,76,21,32,1,143,239
"Miramichi/Miramichi"," 36","Neguac",2,29,90,42,38,3,204,321
"Miramichi/Miramichi"," 37","Lower Neguac",3,35,121,57,56,4,276,406
"Miramichi/Miramichi"," 38","Lower Neguac",4,32,125,47,41,4,253,382
"Miramichi/Miramichi"," 39","Miramichi",3,7,75,25,49,0,159,265
"Miramichi/Miramichi"," 40","Miramichi",2,12,85,38,73,1,211,309
"Miramichi/Miramichi"," 41","Miramichi",4,5,69,27,71,0,176,276
"Miramichi/Miramichi"," 42","Miramichi",3,3,72,17,37,2,134,326
"Miramichi/Miramichi"," 43","Miramichi",7,6,95,36,79,0,223,390
"Miramichi/Miramichi"," 44","Miramichi",2,8,69,26,49,1,155,306
"Miramichi/Miramichi"," 45","Miramichi",11,3,61,27,55,2,159,284
"Miramichi/Miramichi"," 46A","Miramichi",2,7,82,11,61,1,164,254
"Miramichi/Miramichi"," 46B","Miramichi",5,6,78,14,60,1,164,242
"Miramichi/Miramichi"," 47","Miramichi",2,18,90,32,89,4,235,396
"Miramichi/Miramichi"," 48","Miramichi",6,11,102,43,88,0,250,449
"Miramichi/Miramichi"," 49","Miramichi",3,5,27,18,30,0,83,147
"Miramichi/Miramichi"," 50A","Miramichi",2,6,67,23,55,0,153,250
"Miramichi/Miramichi"," 50B","Miramichi",5,11,69,24,51,3,163,269
"Miramichi/Miramichi"," 51","Miramichi",3,12,102,34,57,1,209,411
"Miramichi/Miramichi"," 52","Miramichi",3,11,71,23,70,1,179,294
"Miramichi/Miramichi"," 53","Miramichi",4,19,108,54,118,2,305,466
"Miramichi/Miramichi"," 54","Miramichi",4,30,117,48,103,0,302,513
"Miramichi/Miramichi"," 55","Miramichi",6,21,121,43,97,0,288,458
"Miramichi/Miramichi"," 56A","Miramichi",5,10,69,21,69,0,174,287
"Miramichi/Miramichi"," 56B","Miramichi",6,8,70,32,70,1,187,279
"Miramichi/Miramichi"," 57A","Miramichi",4,19,74,19,65,2,183,291
"Miramichi/Miramichi"," 57B","Miramichi",3,13,66,30,88,2,202,301
"Miramichi/Miramichi"," 58","Miramichi",4,10,83,43,71,0,211,319
"Miramichi/Miramichi"," 59","Miramichi",3,9,112,61,89,3,277,400
"Miramichi/Miramichi"," 60","Miramichi",4,8,114,39,61,2,228,346
"Miramichi/Miramichi"," 61","Miramichi",1,22,84,28,50,0,185,267
"Miramichi/Miramichi"," 62","Miramichi",3,2,67,13,34,3,122,169
"Miramichi/Miramichi"," 63","Miramichi",4,13,90,32,84,3,226,323
"Miramichi/Miramichi"," 64","Miramichi",7,18,105,60,114,4,308,423
"Miramichi/Miramichi"," 65","Miramichi",6,6,72,19,86,0,189,349
"Miramichi/Miramichi"," 66","Miramichi",1,18,121,59,77,2,278,499
"Miramichi/Miramichi"," 67","Miramichi",2,8,79,31,64,2,186,367
"Miramichi/Miramichi"," 68","Miramichi",0,10,81,31,49,3,174,284
"Miramichi/Miramichi"," 69","Miramichi",2,7,75,23,55,0,162,258
"Miramichi/Miramichi"," 70","Miramichi",2,1,40,18,39,6,106,241
"Miramichi/Miramichi"," 71","Miramichi",4,7,78,24,39,0,152,244
"Miramichi/Miramichi"," 72","Miramichi",7,11,101,28,53,1,201,324
"Miramichi/Miramichi"," 73","Miramichi",5,23,107,38,84,2,259,384
"Miramichi/Miramichi"," 74","Miramichi",4,11,74,32,70,0,191,313
"Miramichi/Miramichi"," 75","Miramichi",1,16,80,48,81,5,231,394
"Miramichi/Miramichi"," 76","Miramichi",7,12,121,50,101,4,295,459
"Miramichi/Miramichi"," 77A","Miramichi",2,5,79,32,60,1,179,275
"Miramichi/Miramichi"," 77B","Miramichi",1,12,54,26,59,0,152,237
"Miramichi/Miramichi"," 78","Miramichi",3,13,88,31,66,0,201,305
"Miramichi/Miramichi"," 79","Miramichi",3,10,88,19,80,2,202,288
"Miramichi/Miramichi"," 80","Lower Napan",4,10,103,61,139,0,317,435
"Miramichi/Miramichi"," 81","Matthews",1,6,80,17,127,1,232,349
"Miramichi/Miramichi"," 82","Sillikers",0,6,35,3,54,0,98,172
"Miramichi/Miramichi"," 83","Red Bank 4",1,6,174,18,23,0,222,344
"Miramichi/Miramichi"," 84","Warwick Settlement",2,12,147,38,55,0,254,359
"Miramichi/Miramichi"," 85A","Williamstown",4,11,57,31,77,0,180,275
"Miramichi/Miramichi"," 85B","Williamstown",2,8,55,20,77,0,162,241
"Miramichi/Miramichi"," 86A","South Esk",2,5,53,25,51,0,136,228
"Miramichi/Miramichi"," 86B","South Esk",0,8,57,33,79,0,177,280
"Miramichi/Miramichi"," 87","Upper Derby",1,5,37,17,43,1,104,157
"Miramichi/Miramichi"," 88","Millerton",2,5,49,53,148,2,259,383
"Miramichi/Miramichi"," 89","McKinleyville",1,9,74,34,64,0,182,321
"Miramichi/Miramichi"," 90","Nelson",1,6,46,28,57,3,141,207
"Miramichi/Miramichi"," 91","Barnaby River",8,12,65,34,62,0,181,263
"Miramichi/Miramichi"," 92","Rogersville",3,3,119,47,62,9,243,351
"Miramichi/Miramichi"," 93","Pleasant Ridge",7,7,72,30,36,4,156,245
"Miramichi/Miramichi"," 94","Rogersville",6,11,138,55,73,6,289,428
"Miramichi/Miramichi"," 95","Rogersville",6,4,110,38,55,6,219,342
"Miramichi/Miramichi"," 96","Collette",6,7,94,47,50,4,208,274
"Miramichi/Miramichi"," 97","East Collette",4,0,59,42,37,0,142,182
"Miramichi/Miramichi"," 98","Rogersville",3,7,63,45,35,3,156,241
"Miramichi/Miramichi"," 99","Acadieville",2,6,76,44,33,1,162,256
"Miramichi/Miramichi"," 100","Acadieville",1,5,117,113,58,5,299,426
"Miramichi/Miramichi"," 101","Glenwood",4,9,70,36,80,1,200,289
"Miramichi/Miramichi"," 102","Centre Napan",3,10,90,43,150,1,297,423
"Miramichi/Miramichi"," 103","Black River Bridge",0,5,63,43,123,1,235,341
"Miramichi/Miramichi"," 104","St. Margarets",4,5,64,28,47,0,148,255
"Miramichi/Miramichi"," 105","Bay du Vin",4,3,91,27,156,3,284,395
"Miramichi/Miramichi"," 106","Hardwicke",1,2,39,17,58,3,120,171
"Miramichi/Miramichi"," 107","Escuminac",1,2,45,57,73,1,179,294
"Miramichi/Miramichi"," 108A","Eel River Bridge",1,3,55,73,37,5,174,259
"Miramichi/Miramichi"," 108B","Eel River Bridge",1,8,49,47,41,0,146,245
"Miramichi/Miramichi"," 109","Baie-Sainte-Anne",2,1,46,28,16,1,94,160
"Miramichi/Miramichi"," 110","Baie-Sainte-Anne",2,10,99,64,84,1,260,393
"Miramichi/Miramichi"," 111","Baie-Sainte-Anne",2,2,37,31,35,2,109,174
"Miramichi/Miramichi"," 112","Kouchibouguac",3,6,70,35,104,6,224,278
"Miramichi/Miramichi"," 113","Pointe-Sapin",5,3,115,57,66,9,255,304
"Miramichi/Miramichi"," 114","Pointe-Sapin",0,11,51,48,38,11,159,202
"Miramichi/Miramichi"," 115","Holtville",3,5,67,28,120,0,223,389
"Miramichi/Miramichi"," 116","Carrolls Crossing",2,5,63,12,114,0,196,314
"Miramichi/Miramichi"," 117","Boiestown",2,4,76,27,105,1,215,282
"Miramichi/Miramichi"," 118","Ludlow",6,3,71,20,102,0,202,356
"Miramichi/Miramichi"," 119","Storeytown",1,2,48,17,59,0,127,219
"Miramichi/Miramichi"," 120","Storeytown",3,1,81,15,81,1,182,300
"Miramichi/Miramichi"," 121","Doaktown",1,0,42,12,69,1,125,222
"Miramichi/Miramichi"," 122","Blissfield",2,2,48,10,72,0,134,239
"Miramichi/Miramichi"," 123","Doaktown",3,1,53,11,69,2,139,250
"Miramichi/Miramichi"," 124","Renous",2,14,100,43,54,3,216,286
"Miramichi/Miramichi"," 125","Renous",2,17,109,33,52,3,216,269
"Miramichi/Miramichi"," 126","White Rapids",4,3,72,31,80,1,191,264
"Miramichi/Miramichi"," 127","Coughlan",2,4,39,15,106,4,170,252
"Miramichi/Miramichi"," 128","Barnettville",2,6,17,10,76,0,111,198
"Miramichi/Miramichi"," 129","Blackville",1,6,100,21,101,5,234,367
"Miramichi/Miramichi"," 130","Blackville",6,19,124,55,108,3,315,475
"Miramichi/Miramichi"," 131","Upper Blackville",5,5,87,26,110,0,233,379
"Miramichi/Miramichi"," 500","Mobile poll/Bureau itinérant",0,3,40,2,10,1,56,77
"Miramichi/Miramichi"," 501","Mobile poll/Bureau itinérant",0,4,43,6,24,3,80,189
"Miramichi/Miramichi"," 502","Mobile poll/Bureau itinérant",3,1,16,1,20,0,41,60
"Miramichi/Miramichi"," 600","Belledune",12,5,123,49,71,6,266,
"Miramichi/Miramichi"," 601","Miramichi",5,18,110,31,145,3,312,
"Miramichi/Miramichi"," 602","Neguac",7,40,218,59,147,7,478,
"Miramichi/Miramichi"," 603","Sunny Corner--Red Bank",1,13,90,7,124,0,235,
"Miramichi/Miramichi"," 604","Miramichi",7,20,264,42,211,0,544,
"Miramichi/Miramichi"," 605","Miramichi",6,15,217,51,196,1,486,
"Miramichi/Miramichi"," 606","Miramichi",3,7,92,14,84,2,202,
"Miramichi/Miramichi"," 607","Baie-Sainte-Anne",3,7,109,43,69,0,231,
"Miramichi/Miramichi"," 608","Doaktown",5,1,103,13,96,1,219,
"Miramichi/Miramichi"," 609","Rogersville",4,2,147,57,72,3,285,
"Miramichi/Miramichi"," 610","Blackville",1,5,85,15,103,4,213,
"Miramichi/Miramichi",,Group 1/Groupe 1,5,4,52,9,64,0,134,375
"Miramichi/Miramichi",,Group 2/Groupe 2,17,52,569,80,364,20,1102,
