Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Marc Boulianne,Yvan Corriveau,Jean François Hamel,Christian Paradis,Isabelle Tremblay,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Mégantic--L'Érable/Mégantic--L'Érable"," 53","Sacré-Coeur-de-Jésus",57,20,10,146,12,1,246,367
"Mégantic--L'Érable/Mégantic--L'Érable"," 54","East Broughton",80,12,10,139,6,3,250,413
"Mégantic--L'Érable/Mégantic--L'Érable"," 55","East Broughton",61,8,3,147,6,1,226,386
"Mégantic--L'Érable/Mégantic--L'Érable"," 56","East Broughton",48,10,4,158,7,3,230,345
"Mégantic--L'Érable/Mégantic--L'Érable"," 57","East Broughton",72,23,3,184,4,5,291,391
"Mégantic--L'Érable/Mégantic--L'Érable"," 58","East Broughton",50,31,11,130,9,5,236,373
"Mégantic--L'Érable/Mégantic--L'Érable"," 59","Kinnear's Mills",54,16,6,96,6,1,179,264
"Mégantic--L'Érable/Mégantic--L'Érable"," 60","Pontbriand",61,26,3,143,3,5,241,340
"Mégantic--L'Érable/Mégantic--L'Érable"," 61","Pontbriand",71,6,5,128,7,4,221,347
"Mégantic--L'Érable/Mégantic--L'Érable"," 62","Robertsonville",76,18,3,132,14,3,246,376
"Mégantic--L'Érable/Mégantic--L'Érable"," 63","Robertsonville",40,20,7,128,5,2,202,350
"Mégantic--L'Érable/Mégantic--L'Érable"," 64","Robertsonville",53,9,7,97,6,4,176,324
"Mégantic--L'Érable/Mégantic--L'Érable"," 65","Robertsonville",35,18,5,113,1,1,173,295
"Mégantic--L'Érable/Mégantic--L'Érable"," 66A","Adstock",61,12,6,126,7,3,215,364
"Mégantic--L'Érable/Mégantic--L'Érable"," 66B","Adstock",50,8,3,127,7,6,201,345
"Mégantic--L'Érable/Mégantic--L'Érable"," 67","Adstock (Saint-Méthode)",40,28,7,109,7,0,191,276
"Mégantic--L'Érable/Mégantic--L'Érable"," 68","Adstock (Saint-Méthode)",38,18,4,141,10,0,211,271
"Mégantic--L'Érable/Mégantic--L'Érable"," 69","Adstock (Saint-Méthode)",42,32,1,170,8,0,253,329
"Mégantic--L'Érable/Mégantic--L'Érable"," 70","Adstock (Saint-Daniel)",70,37,8,138,3,8,264,374
"Mégantic--L'Érable/Mégantic--L'Érable"," 71","Thetford-Partie-Sud",80,13,4,197,9,2,305,481
"Mégantic--L'Érable/Mégantic--L'Érable"," 72A","Thetford-Partie-Sud",67,29,4,97,3,3,203,321
"Mégantic--L'Érable/Mégantic--L'Érable"," 72B","Thetford-Partie-Sud",64,21,2,96,4,3,190,324
"Mégantic--L'Érable/Mégantic--L'Érable"," 73","Thetford-Partie-Sud",78,13,8,140,9,0,248,388
"Mégantic--L'Érable/Mégantic--L'Érable"," 74","Thetford Mines",85,6,5,139,9,0,244,345
"Mégantic--L'Érable/Mégantic--L'Érable"," 75","Thetford Mines",80,11,4,123,8,3,229,362
"Mégantic--L'Érable/Mégantic--L'Érable"," 76","Thetford Mines",61,17,9,104,6,5,202,390
"Mégantic--L'Érable/Mégantic--L'Érable"," 77","Thetford Mines",79,25,4,73,4,4,189,359
"Mégantic--L'Érable/Mégantic--L'Érable"," 78","Thetford Mines",77,29,7,124,9,0,246,407
"Mégantic--L'Érable/Mégantic--L'Érable"," 79","Thetford Mines",59,21,3,109,7,3,202,328
"Mégantic--L'Érable/Mégantic--L'Érable"," 80","Thetford Mines",55,13,3,126,9,0,206,367
"Mégantic--L'Érable/Mégantic--L'Érable"," 81","Thetford Mines",61,15,4,82,7,2,171,360
"Mégantic--L'Érable/Mégantic--L'Érable"," 82","Thetford Mines",60,20,4,87,6,4,181,367
"Mégantic--L'Érable/Mégantic--L'Érable"," 83","Thetford Mines",66,21,5,101,9,3,205,384
"Mégantic--L'Érable/Mégantic--L'Érable"," 84","Thetford Mines",69,23,10,91,4,1,198,403
"Mégantic--L'Érable/Mégantic--L'Érable"," 85","Thetford Mines",48,4,7,97,8,1,165,315
"Mégantic--L'Érable/Mégantic--L'Érable"," 86","Thetford-Partie-Sud",74,19,7,152,8,3,263,410
"Mégantic--L'Érable/Mégantic--L'Érable"," 87","Thetford-Partie-Sud",37,7,8,115,10,0,177,305
"Mégantic--L'Érable/Mégantic--L'Érable"," 88","Thetford Mines",91,24,5,175,4,0,299,438
"Mégantic--L'Érable/Mégantic--L'Érable"," 89","Thetford Mines",95,9,2,125,11,3,245,349
"Mégantic--L'Érable/Mégantic--L'Érable"," 90","Thetford Mines",66,16,4,109,13,4,212,343
"Mégantic--L'Érable/Mégantic--L'Érable"," 91","Thetford Mines",54,16,3,107,8,3,191,329
"Mégantic--L'Érable/Mégantic--L'Érable"," 92","Thetford Mines",77,29,5,92,3,1,207,383
"Mégantic--L'Érable/Mégantic--L'Érable"," 93","Thetford Mines",58,23,3,96,7,1,188,296
"Mégantic--L'Érable/Mégantic--L'Érable"," 94","Thetford Mines",59,36,2,116,4,2,219,386
"Mégantic--L'Érable/Mégantic--L'Érable"," 95","Thetford Mines",31,11,8,56,6,0,112,199
"Mégantic--L'Érable/Mégantic--L'Érable"," 96","Thetford Mines",62,12,9,115,3,0,201,382
"Mégantic--L'Érable/Mégantic--L'Érable"," 97","Thetford Mines",58,11,5,103,7,3,187,342
"Mégantic--L'Érable/Mégantic--L'Érable"," 98","Thetford Mines",65,28,4,87,3,1,188,357
"Mégantic--L'Érable/Mégantic--L'Érable"," 99","Thetford Mines",68,19,7,103,8,1,206,297
"Mégantic--L'Érable/Mégantic--L'Érable"," 100","Thetford Mines",57,18,5,115,3,5,203,337
"Mégantic--L'Érable/Mégantic--L'Érable"," 101","Thetford Mines",80,17,7,91,7,1,203,356
"Mégantic--L'Érable/Mégantic--L'Érable"," 102","Thetford Mines",59,29,4,122,4,2,220,334
"Mégantic--L'Érable/Mégantic--L'Érable"," 103","Thetford Mines",73,21,4,120,6,2,226,353
"Mégantic--L'Érable/Mégantic--L'Érable"," 104","Thetford Mines",111,1,5,122,14,2,255,370
"Mégantic--L'Érable/Mégantic--L'Érable"," 105","Thetford Mines",70,21,5,109,0,1,206,312
"Mégantic--L'Érable/Mégantic--L'Érable"," 106","Thetford Mines",68,12,9,104,12,3,208,328
"Mégantic--L'Érable/Mégantic--L'Érable"," 107","Thetford Mines",82,14,6,108,7,1,218,384
"Mégantic--L'Érable/Mégantic--L'Érable"," 108","Thetford Mines",76,24,9,106,9,1,225,351
"Mégantic--L'Érable/Mégantic--L'Érable"," 109","Thetford Mines",71,16,6,97,10,1,201,317
"Mégantic--L'Érable/Mégantic--L'Érable"," 110","Thetford-Partie-Sud",110,27,9,149,13,5,313,506
"Mégantic--L'Érable/Mégantic--L'Érable"," 111","Thetford Mines",85,14,6,88,4,1,198,294
"Mégantic--L'Érable/Mégantic--L'Érable"," 112","Thetford Mines",86,9,9,100,7,6,217,389
"Mégantic--L'Érable/Mégantic--L'Érable"," 113","Thetford Mines",58,11,4,106,2,1,182,364
"Mégantic--L'Érable/Mégantic--L'Érable"," 114","Saint-Jean-de-Brébeuf",25,19,5,121,2,0,172,252
"Mégantic--L'Érable/Mégantic--L'Érable"," 115","Saint-Adrien-d'Irlande",53,8,10,91,4,3,169,267
"Mégantic--L'Érable/Mégantic--L'Érable"," 116","Irlande",76,7,19,101,8,1,212,328
"Mégantic--L'Érable/Mégantic--L'Érable"," 117","Irlande",65,7,16,92,6,1,187,335
"Mégantic--L'Érable/Mégantic--L'Érable"," 118","Black Lake",87,18,4,99,7,0,215,338
"Mégantic--L'Érable/Mégantic--L'Érable"," 119","Black Lake",71,7,14,124,7,4,227,358
"Mégantic--L'Érable/Mégantic--L'Érable"," 120","Black Lake",89,11,4,149,16,4,273,382
"Mégantic--L'Érable/Mégantic--L'Érable"," 121","Black Lake",75,9,5,103,10,3,205,311
"Mégantic--L'Érable/Mégantic--L'Érable"," 122","Black Lake",61,8,11,121,6,0,207,394
"Mégantic--L'Érable/Mégantic--L'Érable"," 123","Black Lake",85,21,9,92,8,3,218,381
"Mégantic--L'Érable/Mégantic--L'Érable"," 124","Black Lake",75,19,5,101,7,2,209,372
"Mégantic--L'Érable/Mégantic--L'Érable"," 125","Black Lake",89,21,7,93,8,4,222,376
"Mégantic--L'Érable/Mégantic--L'Érable"," 126","Black Lake",86,16,13,86,8,1,210,370
"Mégantic--L'Érable/Mégantic--L'Érable"," 127","Thetford-Partie-Sud",62,13,2,115,4,3,199,317
"Mégantic--L'Érable/Mégantic--L'Érable"," 128","Saint-Julien",94,22,10,61,5,2,194,294
"Mégantic--L'Érable/Mégantic--L'Érable"," 129","Saint-Joseph-de-Coleraine",66,10,6,98,6,2,188,349
"Mégantic--L'Érable/Mégantic--L'Érable"," 130","Saint-Joseph-de-Coleraine",78,17,5,94,7,3,204,335
"Mégantic--L'Érable/Mégantic--L'Érable"," 131","Saint-Joseph-de-Coleraine",76,24,8,99,4,0,211,383
"Mégantic--L'Érable/Mégantic--L'Érable"," 132","Saint-Joseph-de-Coleraine",62,19,3,89,3,1,177,361
"Mégantic--L'Érable/Mégantic--L'Érable"," 133","Sainte-Praxède",45,20,3,61,3,1,133,216
"Mégantic--L'Érable/Mégantic--L'Érable"," 134","Stratford",64,13,8,85,13,1,184,277
"Mégantic--L'Érable/Mégantic--L'Érable"," 135","Stratford",138,32,15,140,18,2,345,536
"Mégantic--L'Érable/Mégantic--L'Érable"," 136","Garthby",87,20,6,61,13,1,188,386
"Mégantic--L'Érable/Mégantic--L'Érable"," 137","Beaulac",79,18,10,98,9,0,214,345
"Mégantic--L'Érable/Mégantic--L'Érable"," 138","Disraëli",86,27,14,108,6,3,244,461
"Mégantic--L'Érable/Mégantic--L'Érable"," 139","Disraëli",84,23,3,103,10,3,226,377
"Mégantic--L'Érable/Mégantic--L'Érable"," 140","Disraëli",67,15,16,128,9,1,236,446
"Mégantic--L'Érable/Mégantic--L'Érable"," 141","Disraëli",99,15,6,99,4,0,223,417
"Mégantic--L'Érable/Mégantic--L'Érable"," 142","Disraëli",76,28,12,92,9,3,220,406
"Mégantic--L'Érable/Mégantic--L'Érable"," 143","Disraëli",96,15,2,101,8,0,222,476
"Mégantic--L'Érable/Mégantic--L'Érable"," 144","Disraëli",102,29,6,101,5,1,244,438
"Mégantic--L'Érable/Mégantic--L'Érable"," 145","Saint-Jacques-le-Majeur-de-Wolfestown",32,7,9,27,3,2,80,113
"Mégantic--L'Érable/Mégantic--L'Érable"," 146","Saint-Fortunat",70,23,5,40,16,0,154,210
"Mégantic--L'Érable/Mégantic--L'Érable"," 147","Lambton",48,27,5,94,3,3,180,364
"Mégantic--L'Érable/Mégantic--L'Érable"," 148","Courcelles",37,26,1,110,11,0,185,294
"Mégantic--L'Érable/Mégantic--L'Érable"," 149","Courcelles",64,26,7,219,7,4,327,461
"Mégantic--L'Érable/Mégantic--L'Érable"," 150","Saint-Sébastien",41,15,10,107,17,0,190,303
"Mégantic--L'Érable/Mégantic--L'Érable"," 151","Lac-Drolet",108,38,9,119,7,2,283,412
"Mégantic--L'Érable/Mégantic--L'Érable"," 152","Lac-Drolet",112,37,6,146,21,3,325,474
"Mégantic--L'Érable/Mégantic--L'Érable"," 153","Audet",56,9,7,73,9,0,154,246
"Mégantic--L'Érable/Mégantic--L'Érable"," 154","Sainte-Clotilde-de-Beauce",57,72,9,157,11,8,314,431
"Mégantic--L'Érable/Mégantic--L'Érable"," 155","Audet",60,23,10,94,4,0,191,288
"Mégantic--L'Érable/Mégantic--L'Érable"," 156","Frontenac",95,28,16,126,11,4,280,476
"Mégantic--L'Érable/Mégantic--L'Érable"," 157A","Sainte-Cécile-de-Whitton",58,23,10,82,11,2,186,295
"Mégantic--L'Érable/Mégantic--L'Érable"," 157B","Sainte-Cécile-de-Whitton",82,20,4,82,17,0,205,323
"Mégantic--L'Érable/Mégantic--L'Érable"," 158","Saint-Sébastien",45,16,2,121,1,1,186,268
"Mégantic--L'Érable/Mégantic--L'Érable"," 159","Lambton",65,29,5,120,7,2,228,421
"Mégantic--L'Érable/Mégantic--L'Érable"," 160","Lambton",67,16,6,119,2,7,217,410
"Mégantic--L'Érable/Mégantic--L'Érable"," 161","Saint-Romain",78,17,9,119,5,1,229,341
"Mégantic--L'Érable/Mégantic--L'Érable"," 162","Saint-Romain",52,15,3,54,8,3,135,206
"Mégantic--L'Érable/Mégantic--L'Érable"," 163","Stornoway",100,37,12,132,7,3,291,434
"Mégantic--L'Érable/Mégantic--L'Érable"," 164","Nantes",69,14,3,85,17,3,191,343
"Mégantic--L'Érable/Mégantic--L'Érable"," 165","Nantes",79,16,7,67,15,0,184,352
"Mégantic--L'Érable/Mégantic--L'Érable"," 166","Nantes",83,11,3,71,4,3,175,356
"Mégantic--L'Érable/Mégantic--L'Érable"," 167","Lac-Mégantic",134,17,8,86,18,3,266,464
"Mégantic--L'Érable/Mégantic--L'Érable"," 168A","Lac-Mégantic",118,17,7,105,11,3,261,507
"Mégantic--L'Érable/Mégantic--L'Érable"," 168B","Mobile poll/Bureau itinérant",Merged with No. 506/Fusionné avec le nº 506,,,,,,,1
"Mégantic--L'Érable/Mégantic--L'Érable"," 169","Lac-Mégantic",88,14,5,119,5,0,231,356
"Mégantic--L'Érable/Mégantic--L'Érable"," 170","Lac-Mégantic",80,21,14,64,10,2,191,408
"Mégantic--L'Érable/Mégantic--L'Érable"," 171","Lac-Mégantic",77,30,6,77,8,2,200,380
"Mégantic--L'Érable/Mégantic--L'Érable"," 172","Lac-Mégantic",75,29,6,77,5,1,193,387
"Mégantic--L'Érable/Mégantic--L'Érable"," 173","Lac-Mégantic",52,26,10,64,8,3,163,366
"Mégantic--L'Érable/Mégantic--L'Érable"," 174","Lac-Mégantic",58,32,6,72,7,0,175,332
"Mégantic--L'Érable/Mégantic--L'Érable"," 175","Lac-Mégantic",68,12,7,68,7,0,162,331
"Mégantic--L'Érable/Mégantic--L'Érable"," 176","Lac-Mégantic",72,23,4,65,6,1,171,285
"Mégantic--L'Érable/Mégantic--L'Érable"," 177","Lac-Mégantic",97,16,5,96,4,2,220,370
"Mégantic--L'Érable/Mégantic--L'Érable"," 178","Lac-Mégantic",71,18,13,93,12,1,208,377
"Mégantic--L'Érable/Mégantic--L'Érable"," 179","Milan",46,14,4,48,11,2,125,202
"Mégantic--L'Érable/Mégantic--L'Érable"," 180A","Marsboro",52,13,15,56,13,2,151,260
"Mégantic--L'Érable/Mégantic--L'Érable"," 180B","Marsboro",42,15,9,54,9,3,132,256
"Mégantic--L'Érable/Mégantic--L'Érable"," 181","Frontenac",100,13,3,115,19,2,252,390
"Mégantic--L'Érable/Mégantic--L'Érable"," 182","Frontenac",99,12,14,104,17,3,249,431
"Mégantic--L'Érable/Mégantic--L'Érable"," 183","Saint-Augustin-de-Woburn",55,7,7,90,6,2,167,245
"Mégantic--L'Érable/Mégantic--L'Érable"," 184","Piopolis",96,16,11,65,16,1,205,294
"Mégantic--L'Érable/Mégantic--L'Érable"," 185","Val-Racine",27,0,3,22,10,2,64,92
"Mégantic--L'Érable/Mégantic--L'Érable"," 186A","Notre-Dame-des-Bois",65,13,9,110,9,3,209,301
"Mégantic--L'Érable/Mégantic--L'Érable"," 186B","Notre-Dame-des-Bois",67,16,6,90,7,4,190,311
"Mégantic--L'Érable/Mégantic--L'Érable"," 187","Saint-Augustin-de-Woburn",48,23,7,81,4,4,167,296
"Mégantic--L'Érable/Mégantic--L'Érable"," 500A","Mobile poll/Bureau itinérant",13,27,1,22,1,1,65,103
"Mégantic--L'Érable/Mégantic--L'Érable"," 500B","Mobile poll/Bureau itinérant",16,23,4,20,5,3,71,41
"Mégantic--L'Érable/Mégantic--L'Érable"," 501","Mobile poll/Bureau itinérant",6,15,0,32,1,3,57,80
"Mégantic--L'Érable/Mégantic--L'Érable"," 502","Mobile poll/Bureau itinérant",32,32,5,61,1,2,133,192
"Mégantic--L'Érable/Mégantic--L'Érable"," 503","Mobile poll/Bureau itinérant",25,40,4,52,2,3,126,164
"Mégantic--L'Érable/Mégantic--L'Érable"," 504","Mobile poll/Bureau itinérant",32,48,7,37,3,5,132,201
"Mégantic--L'Érable/Mégantic--L'Érable"," 505","Mobile poll/Bureau itinérant",13,21,3,28,0,3,68,117
"Mégantic--L'Érable/Mégantic--L'Érable"," 506","Mobile poll/Bureau itinérant",15,17,3,55,1,2,93,155
"Mégantic--L'Érable/Mégantic--L'Érable"," 600","Princeville",54,22,6,104,16,1,203,
"Mégantic--L'Érable/Mégantic--L'Érable"," 601","Plessisville",74,25,6,102,9,6,222,
"Mégantic--L'Érable/Mégantic--L'Érable"," 602","Plessisville",160,81,7,212,28,4,492,
"Mégantic--L'Érable/Mégantic--L'Érable"," 603","Saint-Ferdinand",48,30,3,80,4,1,166,
"Mégantic--L'Érable/Mégantic--L'Érable"," 604","East Broughton",79,21,6,94,5,3,208,
"Mégantic--L'Érable/Mégantic--L'Érable"," 605","Thetford Mines (Sect. Robertsonville)",68,60,12,121,9,5,275,
"Mégantic--L'Érable/Mégantic--L'Érable"," 606","Thetford Mines",97,45,4,191,16,2,355,
"Mégantic--L'Érable/Mégantic--L'Érable"," 607","Thetford Mines",89,20,4,104,7,0,224,
"Mégantic--L'Érable/Mégantic--L'Érable"," 608","Thetford Mines",108,60,3,157,8,2,338,
"Mégantic--L'Érable/Mégantic--L'Érable"," 609","Thetford Mines",106,51,1,155,14,2,329,
"Mégantic--L'Érable/Mégantic--L'Érable"," 610","Thetford Mines",137,74,20,207,8,1,447,
"Mégantic--L'Érable/Mégantic--L'Érable"," 611","Disraëli",187,71,7,181,14,3,463,
"Mégantic--L'Érable/Mégantic--L'Érable"," 612","Lambton",84,41,2,95,10,0,232,
"Mégantic--L'Érable/Mégantic--L'Érable"," 613","Lac-Mégantic",160,90,24,150,18,7,449,
"Mégantic--L'Érable/Mégantic--L'Érable"," 614","Lac-Mégantic",129,58,8,111,6,0,312,
"Mégantic--L'Érable/Mégantic--L'Érable",,Group 1/Groupe 1,28,14,2,50,1,6,101,250
"Mégantic--L'Érable/Mégantic--L'Érable",,Group 2/Groupe 2,340,290,19,365,30,23,1067,
