Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kevin Blake,Mike Janssens,Jim Johnston,Bev Shipley,Jeff Wesley,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 78","Strathroy",15,1,6,75,51,0,148,239
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 79A","Strathroy",39,8,10,125,100,0,282,527
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 79B","Mobile poll/Bureau itinérant",16,4,1,26,28,6,81,91
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 80","Strathroy",41,10,12,80,80,1,224,384
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 81","Strathroy",50,6,4,83,86,3,232,377
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 82","Strathroy",24,16,15,185,55,3,298,416
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 83","Strathroy",26,6,10,84,85,1,212,390
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 84","Strathroy",43,5,7,83,58,0,196,354
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 85","Strathroy",58,6,15,72,88,4,243,482
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 86","Strathroy",41,3,14,57,87,1,203,399
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 87","Strathroy",54,11,12,125,93,10,305,524
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 88","Strathroy",35,3,7,85,84,1,215,345
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 89","Strathroy",45,2,10,122,84,0,263,439
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 90","Strathroy",36,0,4,85,71,0,196,355
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 91","Strathroy",34,9,11,70,68,2,194,402
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 92","Strathroy",54,10,9,84,71,1,229,423
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 93","Strathroy",30,9,5,99,52,1,196,392
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 94","Strathroy",48,1,10,88,70,2,219,381
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 95","Strathroy",45,12,23,89,104,2,275,488
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 96","Strathroy",50,2,11,120,116,1,300,441
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 97","Strathroy",48,1,18,95,92,3,257,399
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 98","Strathroy",41,10,9,103,80,2,245,475
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 99","Warwick",28,5,14,86,41,0,174,312
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 100","Warwick",16,4,5,74,26,0,125,192
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 101","Warwick",11,6,5,80,46,1,149,236
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 102","Adelaide",42,10,6,123,77,3,261,402
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 103","Adelaide",20,5,6,99,57,0,187,269
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 104","Adelaide",23,4,7,99,62,4,199,398
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 105","Adelaide",55,6,7,134,58,1,261,372
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 106A","Warwick",45,12,13,160,78,0,308,492
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 106B","Mobile poll/Bureau itinérant",Merged with No. 107B/Fusionné avec le nº 107B,,,,,,,38
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 107A","Watford",33,7,14,96,78,1,229,417
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 107B","Mobile poll/Bureau itinérant",8,2,5,34,26,2,77,73
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 108","Watford",40,1,6,88,63,1,199,323
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 109","Watford",39,3,9,101,49,2,203,382
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 110","Warwick",33,8,11,134,71,0,257,432
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 111","Caradoc",29,1,11,89,57,2,189,311
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 112","Caradoc",16,1,3,56,61,3,140,242
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 113","Caradoc",36,5,5,98,62,1,207,282
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 114","Caradoc",45,3,13,107,69,0,237,370
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 115","Caradoc",65,4,16,133,70,2,290,487
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 116","Caradoc",72,2,16,118,97,1,306,493
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 117","Caradoc",45,4,10,135,84,1,279,495
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 118","Caradoc",47,4,12,92,42,0,197,332
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 119","Caradoc",41,2,14,109,85,0,251,402
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 120","Caradoc",51,2,4,101,78,1,237,362
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 121","Caradoc",50,4,14,108,54,0,230,374
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 122","Caradoc",43,1,15,129,96,0,284,413
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 123","Caradoc",53,4,16,110,83,0,266,492
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 124","Chippewas of the Thames First Nation 42",40,0,2,8,84,0,134,366
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 125","Muncee-Delaware Nation 1",6,0,0,1,18,0,25,46
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 126","Oneida 41",27,0,0,1,58,0,86,120
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 127","Brooke",24,2,4,67,31,0,128,208
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 128","Brooke",64,15,13,127,74,2,295,492
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 129","Brooke",55,5,14,72,48,0,194,307
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 130","Alvinston",76,8,15,119,67,1,286,491
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 131","Brooke",21,1,7,132,63,0,224,355
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 132","Metcalfe",24,1,10,101,67,0,203,321
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 133","Metcalfe",15,2,13,105,65,1,201,302
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 134","Ekfrid",59,1,9,143,72,1,285,429
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 135","Ekfrid",38,1,7,124,94,0,264,384
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 136","Glencoe",50,4,11,99,76,2,242,429
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 137","Glencoe",46,4,10,88,55,1,204,393
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 138","Glencoe",47,8,6,72,96,1,230,403
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 139","Glencoe",46,5,10,62,61,0,184,375
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 140","Mosa",28,3,7,65,31,0,134,267
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 141","Newbury",68,1,10,91,73,0,243,400
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 142","Mosa",25,2,7,72,51,1,158,253
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 143A","Wardsville",30,4,5,67,52,0,158,264
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 143B","Mobile poll/Bureau itinérant",Merged with No. 107B/Fusionné avec le nº 107B,,,,,,,65
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 144","Mosa",34,3,12,98,62,0,209,323
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 145","Ekfrid",32,1,7,92,52,2,186,365
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 146","Ekfrid",66,3,13,122,66,2,272,446
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 147","Dawn",25,7,4,99,24,1,160,223
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 148","Dawn",28,5,3,140,53,0,229,355
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 149","Dawn",26,1,1,82,31,0,141,238
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 150","Euphemia",43,1,8,108,49,0,209,314
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 151","Euphemia",36,8,10,111,49,0,214,325
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 152","Chatham-Kent",46,5,9,129,56,0,245,345
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 153","Chatham-Kent",79,2,13,132,50,0,276,436
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 154","Chatham-Kent",48,5,16,77,61,1,208,349
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 155","Chatham-Kent",38,6,10,101,49,3,207,366
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 156","Chatham-Kent",21,2,2,57,39,0,121,227
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 157","Chatham-Kent",49,0,9,84,40,0,182,308
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 158","Chatham-Kent",50,1,11,96,26,1,185,400
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 159","Chatham-Kent",31,4,7,127,63,0,232,409
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 160","Chatham-Kent",31,4,9,118,49,0,211,333
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 161","Chatham-Kent",41,4,9,116,88,3,261,433
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 162","Chatham-Kent",33,3,5,109,53,1,204,321
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 163","Chatham-Kent",74,1,13,133,101,2,324,602
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 164","Chatham-Kent",101,2,4,106,165,3,381,562
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 165","Chatham-Kent",26,5,7,78,45,0,161,297
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 166","Chatham-Kent",55,3,4,71,54,0,187,291
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 167","Chatham-Kent",46,5,4,98,46,0,199,342
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 168","Chatham-Kent",19,0,5,82,30,0,136,216
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 169","Chatham-Kent",43,0,7,91,51,0,192,290
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 170","Chatham-Kent",29,4,4,126,48,0,211,321
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 171","Chatham-Kent",27,4,2,95,48,1,177,308
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 172","Chatham-Kent",28,1,6,89,34,0,158,251
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 173","Chatham-Kent",40,4,8,73,44,0,169,301
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 174","Chatham-Kent",57,2,8,79,39,0,185,307
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 175","Chatham-Kent",82,7,7,138,62,1,297,489
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 176","Chatham-Kent",33,0,7,117,50,1,208,354
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 177","Chatham-Kent",51,3,5,72,47,0,178,339
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 178","Chatham-Kent",23,3,3,108,36,1,174,322
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 179","Chatham-Kent",9,0,6,97,32,0,144,242
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 180","Chatham-Kent",68,2,2,67,72,0,211,394
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 181","Chatham-Kent",62,4,3,62,103,1,235,390
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 182","Chatham-Kent",55,1,6,61,61,3,187,353
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 183","Chatham-Kent",75,7,5,51,72,0,210,373
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 184","Chatham-Kent",49,6,3,89,99,0,246,413
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 185","Chatham-Kent",73,5,4,60,62,0,204,361
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 186","Chatham-Kent",42,0,4,54,66,1,167,304
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 187","Chatham-Kent",27,2,1,61,49,1,141,266
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 188","Chatham-Kent",59,6,5,65,88,2,225,403
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 189","Chatham-Kent",35,3,2,102,102,0,244,400
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 190","Chatham-Kent",47,1,5,91,69,0,213,375
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 191","Chatham-Kent",43,3,5,75,81,0,207,371
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 192","Mobile poll/Bureau itinérant",25,0,1,43,34,0,103,230
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 193A","Chatham-Kent",136,3,9,122,85,0,355,675
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 193B","Mobile poll/Bureau itinérant",Merged with No. 192/Fusionné avec le nº 192,,,,,,,166
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 194","Chatham-Kent",46,2,7,62,57,0,174,351
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 195","Chatham-Kent",54,2,2,45,66,0,169,322
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 196","Chatham-Kent",59,3,4,57,72,2,197,355
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 197","Chatham-Kent",49,1,4,47,36,0,137,296
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 198","Chatham-Kent",45,5,5,55,53,0,163,387
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 199","Chatham-Kent",43,5,3,46,55,2,154,311
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 200","Chatham-Kent",49,1,3,86,114,0,253,410
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 201","Walpole Island 46",30,2,8,10,127,0,177,451
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 202","Walpole Island 46",19,3,3,12,161,3,201,420
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 203","Chatham-Kent",26,2,4,75,49,0,156,276
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 204","Chatham-Kent",36,0,2,88,58,0,184,303
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 205","Chatham-Kent",26,1,3,90,62,0,182,351
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 206","Chatham-Kent",37,1,8,64,54,1,165,279
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 207","Chatham-Kent",29,2,2,98,61,1,193,298
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 208","Chatham-Kent",30,0,3,82,48,0,163,281
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 209","Chatham-Kent",52,4,8,69,84,1,218,339
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 210","Chatham-Kent",43,1,5,77,76,2,204,322
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 211","Chatham-Kent",24,1,4,83,65,0,177,313
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 500","Mobile poll/Bureau itinérant",13,4,5,52,42,4,120,211
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 600","Lambton Shores",78,5,18,316,196,0,613,
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 601","Forest (Lambton Shores)",74,6,15,305,173,5,578,
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 602","North Middlesex",33,9,17,257,115,2,433,
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 603","Lucan",33,2,10,194,84,0,323,
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 604","Ilderton",70,0,33,407,157,1,668,
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 605","Caradoc (Mount Brydges)",65,10,18,368,156,2,619,
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 606","Strathroy Caradoc",99,13,23,462,265,4,866,
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 607","Glencoe",91,4,11,268,171,1,546,
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 608","Watford",33,6,4,179,64,0,286,
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 609","Dresden",59,4,16,318,127,1,525,
