Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Lou Grimshaw,Rob Hutchison,Peter Milliken,Don Rogers,Karl Eric Walker,Eric Walton,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Kingston and the Islands/Kingston et les Îles"," 31","Kingston",61,39,109,1,0,21,0,231,389
"Kingston and the Islands/Kingston et les Îles"," 32","Kingston",58,48,97,0,0,16,1,220,385
"Kingston and the Islands/Kingston et les Îles"," 33","Kingston",53,28,117,0,0,11,2,211,334
"Kingston and the Islands/Kingston et les Îles"," 34","Kingston",66,30,140,0,1,9,0,246,432
"Kingston and the Islands/Kingston et les Îles"," 35","Kingston",67,32,76,0,2,3,1,181,341
"Kingston and the Islands/Kingston et les Îles"," 36","Kingston",51,27,117,0,0,9,1,205,357
"Kingston and the Islands/Kingston et les Îles"," 37","Kingston",58,35,105,0,0,17,0,215,356
"Kingston and the Islands/Kingston et les Îles"," 38","Kingston",78,38,174,0,0,12,1,303,527
"Kingston and the Islands/Kingston et les Îles"," 39","Kingston",59,47,133,0,1,14,3,257,449
"Kingston and the Islands/Kingston et les Îles"," 40","Kingston",71,34,101,1,2,17,0,226,379
"Kingston and the Islands/Kingston et les Îles"," 41","Kingston",64,64,100,1,1,21,0,251,493
"Kingston and the Islands/Kingston et les Îles"," 42","Kingston",24,23,54,1,1,10,0,113,201
"Kingston and the Islands/Kingston et les Îles"," 43","Kingston",42,41,78,0,3,15,0,179,334
"Kingston and the Islands/Kingston et les Îles"," 44","Kingston",44,55,110,3,3,7,0,222,385
"Kingston and the Islands/Kingston et les Îles"," 45","Kingston",41,34,52,0,1,6,1,135,339
"Kingston and the Islands/Kingston et les Îles"," 46","Kingston",45,56,94,1,2,10,2,210,362
"Kingston and the Islands/Kingston et les Îles"," 47","Kingston",43,55,109,1,1,18,0,227,447
"Kingston and the Islands/Kingston et les Îles"," 48","Kingston",49,52,69,0,2,16,2,190,450
"Kingston and the Islands/Kingston et les Îles"," 49","Kingston",35,40,54,2,0,5,2,138,334
"Kingston and the Islands/Kingston et les Îles"," 50","Kingston",53,59,92,0,2,21,0,227,447
"Kingston and the Islands/Kingston et les Îles"," 51","Kingston",46,39,82,0,0,4,0,171,338
"Kingston and the Islands/Kingston et les Îles"," 52","Kingston",28,28,55,1,3,7,0,122,398
"Kingston and the Islands/Kingston et les Îles"," 53","Kingston",24,30,49,2,1,4,0,110,440
"Kingston and the Islands/Kingston et les Îles"," 54","Kingston",29,47,47,3,1,4,1,132,362
"Kingston and the Islands/Kingston et les Îles"," 55","Kingston",39,50,70,1,2,8,2,172,397
"Kingston and the Islands/Kingston et les Îles"," 56A","Kingston",41,43,71,0,2,7,0,164,292
"Kingston and the Islands/Kingston et les Îles"," 56B","Kingston",56,34,65,0,1,6,2,164,301
"Kingston and the Islands/Kingston et les Îles"," 57A","Kingston",31,31,62,1,0,6,0,131,297
"Kingston and the Islands/Kingston et les Îles"," 57B","Kingston",31,30,57,1,1,6,3,129,310
"Kingston and the Islands/Kingston et les Îles"," 58","Kingston",33,63,71,1,1,13,2,184,440
"Kingston and the Islands/Kingston et les Îles"," 59","Kingston",41,45,76,0,2,9,0,173,411
"Kingston and the Islands/Kingston et les Îles"," 60","Kingston",39,38,84,2,1,17,1,182,341
"Kingston and the Islands/Kingston et les Îles"," 61","Kingston",35,59,80,1,2,11,0,188,412
"Kingston and the Islands/Kingston et les Îles"," 62","Kingston",24,33,68,0,1,7,0,133,317
"Kingston and the Islands/Kingston et les Îles"," 63","Kingston",47,43,55,1,1,13,0,160,357
"Kingston and the Islands/Kingston et les Îles"," 64","Kingston",34,66,65,3,0,13,0,181,420
"Kingston and the Islands/Kingston et les Îles"," 65","Kingston",39,48,102,0,0,10,0,199,537
"Kingston and the Islands/Kingston et les Îles"," 66","Kingston",48,49,62,3,2,8,0,172,489
"Kingston and the Islands/Kingston et les Îles"," 67","Kingston",Void/Supprimé,,,,,,,,
"Kingston and the Islands/Kingston et les Îles"," 68","Kingston",52,29,104,2,1,16,1,205,398
"Kingston and the Islands/Kingston et les Îles"," 69","Kingston",50,37,98,1,1,10,0,197,372
"Kingston and the Islands/Kingston et les Îles"," 70","Kingston",48,44,75,0,2,10,1,180,382
"Kingston and the Islands/Kingston et les Îles"," 71","Kingston",58,34,95,0,0,27,1,215,434
"Kingston and the Islands/Kingston et les Îles"," 72","Kingston",63,52,122,1,1,20,0,259,446
"Kingston and the Islands/Kingston et les Îles"," 73","Kingston",74,41,87,0,0,13,1,216,381
"Kingston and the Islands/Kingston et les Îles"," 74","Kingston",66,39,126,0,2,15,0,248,405
"Kingston and the Islands/Kingston et les Îles"," 75","Kingston",36,41,96,0,1,12,0,186,362
"Kingston and the Islands/Kingston et les Îles"," 76","Kingston",20,57,56,1,1,14,0,149,322
"Kingston and the Islands/Kingston et les Îles"," 77","Kingston",77,32,121,0,0,10,0,240,370
"Kingston and the Islands/Kingston et les Îles"," 78","Kingston",95,39,98,1,0,9,0,242,445
"Kingston and the Islands/Kingston et les Îles"," 79","Kingston",63,47,122,3,0,16,1,252,382
"Kingston and the Islands/Kingston et les Îles"," 80","Kingston",43,41,120,0,4,13,0,221,396
"Kingston and the Islands/Kingston et les Îles"," 81","Kingston",92,28,113,0,1,14,0,248,406
"Kingston and the Islands/Kingston et les Îles"," 82","Kingston",56,42,132,0,2,14,0,246,400
"Kingston and the Islands/Kingston et les Îles"," 83A","Kingston",49,31,71,0,0,8,0,159,292
"Kingston and the Islands/Kingston et les Îles"," 83B","Kingston",55,19,73,0,1,6,1,155,254
"Kingston and the Islands/Kingston et les Îles"," 84","Kingston",81,43,110,0,1,14,0,249,462
"Kingston and the Islands/Kingston et les Îles"," 85","Kingston",63,27,49,0,0,4,2,145,260
"Kingston and the Islands/Kingston et les Îles"," 86","Kingston",73,57,154,0,2,18,0,304,469
"Kingston and the Islands/Kingston et les Îles"," 87","Kingston",32,28,52,2,0,5,1,120,268
"Kingston and the Islands/Kingston et les Îles"," 88","Kingston",49,42,113,0,1,6,0,211,373
"Kingston and the Islands/Kingston et les Îles"," 89","Kingston",32,43,64,0,0,11,0,150,367
"Kingston and the Islands/Kingston et les Îles"," 90","Kingston",48,34,145,0,1,8,0,236,363
"Kingston and the Islands/Kingston et les Îles"," 91","Kingston",79,35,149,0,0,26,1,290,404
"Kingston and the Islands/Kingston et les Îles"," 92","Kingston",62,50,114,0,1,13,2,242,380
"Kingston and the Islands/Kingston et les Îles"," 93","Kingston",23,32,70,1,1,11,0,138,439
"Kingston and the Islands/Kingston et les Îles"," 94","Kingston",87,52,192,0,2,9,2,344,518
"Kingston and the Islands/Kingston et les Îles"," 95A","Kingston",30,8,54,1,2,2,6,103,159
"Kingston and the Islands/Kingston et les Îles"," 95B","Kingston",80,52,108,1,0,15,0,256,428
"Kingston and the Islands/Kingston et les Îles"," 96","Kingston",62,37,114,1,6,21,0,241,416
"Kingston and the Islands/Kingston et les Îles"," 97","Kingston",49,36,75,2,0,7,0,169,319
"Kingston and the Islands/Kingston et les Îles"," 98","Kingston",65,20,106,0,2,19,0,212,389
"Kingston and the Islands/Kingston et les Îles"," 99A","Kingston",78,48,137,1,1,17,1,283,506
"Kingston and the Islands/Kingston et les Îles"," 99B","Kingston",57,60,99,1,0,6,0,223,400
"Kingston and the Islands/Kingston et les Îles"," 100","Kingston",84,70,142,0,1,11,3,311,573
"Kingston and the Islands/Kingston et les Îles"," 101","Kingston",57,44,108,1,1,13,1,225,442
"Kingston and the Islands/Kingston et les Îles"," 102A","Kingston",38,47,86,0,0,26,1,198,295
"Kingston and the Islands/Kingston et les Îles"," 102B","Mobile poll/Bureau itinérant",22,15,75,2,1,4,4,123,153
"Kingston and the Islands/Kingston et les Îles"," 103","Kingston",33,28,76,0,1,8,0,146,236
"Kingston and the Islands/Kingston et les Îles"," 104","Kingston",49,39,94,0,0,18,2,202,363
"Kingston and the Islands/Kingston et les Îles"," 105","Kingston",39,65,62,0,1,20,0,187,355
"Kingston and the Islands/Kingston et les Îles"," 106","Kingston",48,31,135,1,0,17,2,234,384
"Kingston and the Islands/Kingston et les Îles"," 107A","Kingston",34,34,101,0,0,16,1,186,377
"Kingston and the Islands/Kingston et les Îles"," 107B","Mobile poll/Bureau itinérant",Merged with No. 102B/Fusionné avec le nº 102B,,,,,,,,65
"Kingston and the Islands/Kingston et les Îles"," 108","Kingston",58,53,112,4,2,10,1,240,545
"Kingston and the Islands/Kingston et les Îles"," 109A","Kingston",41,24,79,0,0,2,1,147,330
"Kingston and the Islands/Kingston et les Îles"," 109B","Kingston",33,13,69,1,0,3,0,119,301
"Kingston and the Islands/Kingston et les Îles"," 110","Kingston",56,26,75,0,1,14,0,172,297
"Kingston and the Islands/Kingston et les Îles"," 111","Kingston",61,30,114,0,0,9,0,214,407
"Kingston and the Islands/Kingston et les Îles"," 112A","Kingston",42,44,110,1,0,8,0,205,399
"Kingston and the Islands/Kingston et les Îles"," 112B","Kingston",40,30,68,1,1,11,0,151,293
"Kingston and the Islands/Kingston et les Îles"," 112C","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,,31
"Kingston and the Islands/Kingston et les Îles"," 113","Kingston",64,44,110,2,0,14,0,234,470
"Kingston and the Islands/Kingston et les Îles"," 114","Kingston",46,40,59,1,0,14,0,160,388
"Kingston and the Islands/Kingston et les Îles"," 115","Kingston",39,21,84,0,0,7,0,151,329
"Kingston and the Islands/Kingston et les Îles"," 116","Kingston",75,55,146,1,24,0,0,301,455
"Kingston and the Islands/Kingston et les Îles"," 117","Kingston",76,21,120,0,0,14,1,232,343
"Kingston and the Islands/Kingston et les Îles"," 118","Kingston",52,26,119,0,0,21,1,219,401
"Kingston and the Islands/Kingston et les Îles"," 119","Kingston",53,24,102,0,2,8,1,190,327
"Kingston and the Islands/Kingston et les Îles"," 120","Kingston",78,27,87,0,2,15,0,209,366
"Kingston and the Islands/Kingston et les Îles"," 121A","Kingston",46,23,75,0,1,9,0,154,269
"Kingston and the Islands/Kingston et les Îles"," 121B","Kingston",49,18,100,0,0,14,1,182,303
"Kingston and the Islands/Kingston et les Îles"," 122","Kingston",54,31,114,0,0,8,0,207,339
"Kingston and the Islands/Kingston et les Îles"," 123","Kingston",63,39,78,0,3,13,1,197,335
"Kingston and the Islands/Kingston et les Îles"," 124","Kingston",46,36,102,1,0,4,2,191,320
"Kingston and the Islands/Kingston et les Îles"," 125","Kingston",50,30,92,1,1,10,0,184,349
"Kingston and the Islands/Kingston et les Îles"," 126","Kingston",74,44,124,0,0,10,0,252,409
"Kingston and the Islands/Kingston et les Îles"," 127","Kingston",57,40,124,1,2,24,0,248,369
"Kingston and the Islands/Kingston et les Îles"," 128","Kingston",50,21,122,0,0,23,1,217,336
"Kingston and the Islands/Kingston et les Îles"," 129","Kingston",50,37,88,0,0,26,2,203,341
"Kingston and the Islands/Kingston et les Îles"," 130","Kingston",45,54,124,1,0,24,0,248,404
"Kingston and the Islands/Kingston et les Îles"," 131","Kingston",66,44,108,0,1,16,0,235,461
"Kingston and the Islands/Kingston et les Îles"," 132","Kingston",15,39,59,2,1,8,0,124,297
"Kingston and the Islands/Kingston et les Îles"," 133","Kingston",29,33,68,0,1,9,1,141,291
"Kingston and the Islands/Kingston et les Îles"," 134","Kingston",29,49,97,1,2,12,0,190,433
"Kingston and the Islands/Kingston et les Îles"," 135","Kingston",47,62,96,1,0,9,0,215,447
"Kingston and the Islands/Kingston et les Îles"," 136","Kingston",34,48,68,0,0,15,0,165,347
"Kingston and the Islands/Kingston et les Îles"," 137","Kingston",49,46,112,5,2,18,1,233,518
"Kingston and the Islands/Kingston et les Îles"," 138","Kingston",44,53,93,2,1,25,0,218,400
"Kingston and the Islands/Kingston et les Îles"," 139","Kingston",33,40,60,0,2,18,3,156,324
"Kingston and the Islands/Kingston et les Îles"," 140","Kingston",50,18,118,1,2,27,2,218,334
"Kingston and the Islands/Kingston et les Îles"," 141","Kingston",65,49,145,0,0,24,1,284,414
"Kingston and the Islands/Kingston et les Îles"," 142","Kingston",61,43,128,0,0,14,2,248,333
"Kingston and the Islands/Kingston et les Îles"," 143","Kingston",67,29,116,0,1,18,1,232,357
"Kingston and the Islands/Kingston et les Îles"," 144","Kingston",36,40,94,3,0,20,3,196,287
"Kingston and the Islands/Kingston et les Îles"," 145A","Kingston",33,63,32,0,0,24,0,152,362
"Kingston and the Islands/Kingston et les Îles"," 145B","Kingston",52,31,85,4,0,15,1,188,201
"Kingston and the Islands/Kingston et les Îles"," 146","Kingston",22,41,51,1,1,9,0,125,345
"Kingston and the Islands/Kingston et les Îles"," 147","Kingston",41,55,116,2,1,29,1,245,421
"Kingston and the Islands/Kingston et les Îles"," 148","Kingston",42,35,53,0,0,15,0,145,339
"Kingston and the Islands/Kingston et les Îles"," 149","Kingston",32,51,86,1,2,32,0,204,404
"Kingston and the Islands/Kingston et les Îles"," 150","Kingston",22,66,71,1,0,19,1,180,327
"Kingston and the Islands/Kingston et les Îles"," 151","Kingston",34,49,75,0,1,16,1,176,295
"Kingston and the Islands/Kingston et les Îles"," 152A","Kingston",51,14,77,0,0,14,0,156,345
"Kingston and the Islands/Kingston et les Îles"," 152B","Kingston",38,23,77,0,0,14,0,152,306
"Kingston and the Islands/Kingston et les Îles"," 153","Kingston",38,51,103,1,0,44,0,237,408
"Kingston and the Islands/Kingston et les Îles"," 154","Kingston",57,33,140,0,0,21,0,251,426
"Kingston and the Islands/Kingston et les Îles"," 155","Kingston",32,55,62,0,2,19,0,170,332
"Kingston and the Islands/Kingston et les Îles"," 156","Kingston",24,43,64,1,1,15,2,150,339
"Kingston and the Islands/Kingston et les Îles"," 157","Kingston",28,37,57,0,2,19,2,145,343
"Kingston and the Islands/Kingston et les Îles"," 158","Kingston",29,52,71,0,0,26,0,178,320
"Kingston and the Islands/Kingston et les Îles"," 159","Kingston",39,55,64,1,2,18,0,179,398
"Kingston and the Islands/Kingston et les Îles"," 160","Kingston",13,54,58,2,1,26,1,155,274
"Kingston and the Islands/Kingston et les Îles"," 161","Kingston",12,40,50,0,0,27,2,131,238
"Kingston and the Islands/Kingston et les Îles"," 162","Kingston",24,51,49,0,0,19,0,143,260
"Kingston and the Islands/Kingston et les Îles"," 163","Kingston",27,39,70,1,0,23,0,160,190
"Kingston and the Islands/Kingston et les Îles"," 164","Kingston",27,40,77,1,0,23,1,169,270
"Kingston and the Islands/Kingston et les Îles"," 165","Kingston",27,34,81,0,3,15,0,160,330
"Kingston and the Islands/Kingston et les Îles"," 166","Kingston",31,41,66,2,1,20,0,161,300
"Kingston and the Islands/Kingston et les Îles"," 167","Kingston",33,39,79,2,0,29,2,184,303
"Kingston and the Islands/Kingston et les Îles"," 168","Kingston",27,46,102,1,2,26,1,205,336
"Kingston and the Islands/Kingston et les Îles"," 169","Kingston",27,54,100,1,1,29,0,212,349
"Kingston and the Islands/Kingston et les Îles"," 170","Kingston",23,35,81,1,0,29,1,170,288
"Kingston and the Islands/Kingston et les Îles"," 171","Kingston",46,71,97,1,0,51,1,267,399
"Kingston and the Islands/Kingston et les Îles"," 172","Kingston",44,62,153,0,1,66,0,326,489
"Kingston and the Islands/Kingston et les Îles"," 173","Kingston",68,85,162,1,2,76,1,395,617
"Kingston and the Islands/Kingston et les Îles"," 174","Kingston",23,59,86,3,0,18,1,190,530
"Kingston and the Islands/Kingston et les Îles"," 175","Kingston",29,38,56,1,0,7,0,131,327
"Kingston and the Islands/Kingston et les Îles"," 176","Kingston",38,55,62,2,0,13,1,171,365
"Kingston and the Islands/Kingston et les Îles"," 177","Kingston",15,75,79,1,1,27,0,198,378
"Kingston and the Islands/Kingston et les Îles"," 178","Kingston",51,80,78,1,5,26,2,243,432
"Kingston and the Islands/Kingston et les Îles"," 179","Kingston",19,50,74,2,0,25,0,170,285
"Kingston and the Islands/Kingston et les Îles"," 180","Kingston",12,69,87,3,0,53,3,227,462
"Kingston and the Islands/Kingston et les Îles"," 181","Kingston",21,73,65,2,1,24,0,186,363
"Kingston and the Islands/Kingston et les Îles"," 182","Kingston",20,47,43,0,1,24,2,137,239
"Kingston and the Islands/Kingston et les Îles"," 183","Kingston",28,70,82,0,1,29,0,210,325
"Kingston and the Islands/Kingston et les Îles"," 184","Kingston",19,80,61,1,2,23,0,186,267
"Kingston and the Islands/Kingston et les Îles"," 185","Kingston",58,82,118,0,0,45,0,303,461
"Kingston and the Islands/Kingston et les Îles"," 186","Kingston",28,46,77,1,1,26,1,180,343
"Kingston and the Islands/Kingston et les Îles"," 187","Kingston",31,50,117,2,5,33,1,239,407
"Kingston and the Islands/Kingston et les Îles"," 188","Kingston",49,89,117,0,1,34,0,290,438
"Kingston and the Islands/Kingston et les Îles"," 189","Kingston",26,48,104,0,0,22,3,203,208
"Kingston and the Islands/Kingston et les Îles"," 190","Kingston",35,62,109,0,2,52,0,260,290
"Kingston and the Islands/Kingston et les Îles"," 191","Kingston",46,50,125,0,1,48,1,271,415
"Kingston and the Islands/Kingston et les Îles"," 192","Kingston",23,45,113,0,0,36,0,217,378
"Kingston and the Islands/Kingston et les Îles"," 193","Kingston",42,44,113,1,1,39,0,240,400
"Kingston and the Islands/Kingston et les Îles"," 194","Kingston",30,39,72,4,1,20,0,166,283
"Kingston and the Islands/Kingston et les Îles"," 195","Kingston",56,74,151,2,2,51,1,337,422
"Kingston and the Islands/Kingston et les Îles"," 196","Kingston",79,92,207,0,1,79,3,461,653
"Kingston and the Islands/Kingston et les Îles"," 197","Kingston",84,121,250,0,3,88,5,551,771
"Kingston and the Islands/Kingston et les Îles"," 198","Kingston",34,53,76,0,3,29,1,196,315
"Kingston and the Islands/Kingston et les Îles"," 199","Kingston",21,40,77,2,0,24,0,164,258
"Kingston and the Islands/Kingston et les Îles"," 200","Kingston",54,21,102,1,0,15,0,193,325
"Kingston and the Islands/Kingston et les Îles"," 201","Kingston",58,61,115,1,2,23,0,260,448
"Kingston and the Islands/Kingston et les Îles"," 202","Kingston",45,45,114,1,1,34,1,241,407
"Kingston and the Islands/Kingston et les Îles"," 203","Kingston",50,97,117,1,2,41,1,309,497
"Kingston and the Islands/Kingston et les Îles"," 204","Kingston",16,49,55,2,0,22,0,144,224
"Kingston and the Islands/Kingston et les Îles"," 205","Kingston",41,58,76,0,0,44,0,219,324
"Kingston and the Islands/Kingston et les Îles"," 206A","Kingston",48,29,88,0,0,26,0,191,326
"Kingston and the Islands/Kingston et les Îles"," 206B","Mobile poll/Bureau itinérant",Merged with No. 502/Fusionné avec le nº 502,,,,,,,,12
"Kingston and the Islands/Kingston et les Îles"," 207","Kingston",88,26,131,1,0,15,0,261,460
"Kingston and the Islands/Kingston et les Îles"," 208","Kingston",83,50,101,0,0,21,1,256,426
"Kingston and the Islands/Kingston et les Îles"," 209A","Kingston",69,33,105,0,3,20,1,231,379
"Kingston and the Islands/Kingston et les Îles"," 209B","Mobile poll/Bureau itinérant",Merged with No. 10B/Fusionné avec le nº 10B,,,,,,,,21
"Kingston and the Islands/Kingston et les Îles"," 210","Kingston",78,48,111,3,0,15,0,255,532
"Kingston and the Islands/Kingston et les Îles"," 211","Kingston",31,26,63,1,2,31,0,154,790
"Kingston and the Islands/Kingston et les Îles"," 212","Kingston",89,36,124,0,1,30,0,280,502
"Kingston and the Islands/Kingston et les Îles"," 213","Kingston",39,17,16,0,0,2,0,74,233
"Kingston and the Islands/Kingston et les Îles"," 214","Kingston",43,15,36,0,0,10,0,104,296
"Kingston and the Islands/Kingston et les Îles"," 215","Kingston",29,19,31,0,0,15,2,96,233
"Kingston and the Islands/Kingston et les Îles"," 216","Kingston",53,25,41,0,1,18,0,138,221
"Kingston and the Islands/Kingston et les Îles"," 217","Kingston",79,39,103,0,0,23,0,244,427
"Kingston and the Islands/Kingston et les Îles"," 218","Kingston",114,58,117,1,0,31,0,321,523
"Kingston and the Islands/Kingston et les Îles"," 219","Kingston",63,12,98,0,1,17,1,192,342
"Kingston and the Islands/Kingston et les Îles"," 220","Kingston",38,19,64,0,0,13,1,135,322
"Kingston and the Islands/Kingston et les Îles"," 221A","Kingston",125,35,127,0,1,33,0,321,484
"Kingston and the Islands/Kingston et les Îles"," 221B","Kingston",108,51,142,0,0,17,2,320,496
"Kingston and the Islands/Kingston et les Îles"," 222A","Kingston",91,31,86,0,0,8,1,217,371
"Kingston and the Islands/Kingston et les Îles"," 222B","Kingston",83,38,74,0,0,9,0,204,371
"Kingston and the Islands/Kingston et les Îles"," 223","Kingston",98,43,154,0,0,20,3,318,464
"Kingston and the Islands/Kingston et les Îles"," 224","Howe Island",68,37,137,1,1,17,0,261,425
"Kingston and the Islands/Kingston et les Îles"," 225","Wolfe Island",111,35,136,0,2,33,2,319,365
"Kingston and the Islands/Kingston et les Îles"," 226","Wolfe Island",64,37,180,0,2,37,1,321,529
"Kingston and the Islands/Kingston et les Îles"," 400","Kingston",10,1,22,1,1,0,2,37,101
"Kingston and the Islands/Kingston et les Îles"," 401","Kingston",40,8,65,3,1,2,5,124,166
"Kingston and the Islands/Kingston et les Îles"," 402","Kingston",91,101,199,1,2,64,2,460,470
"Kingston and the Islands/Kingston et les Îles"," 403A","Kingston",51,40,71,1,1,18,0,182,192
"Kingston and the Islands/Kingston et les Îles"," 403B","Kingston",28,20,65,0,1,19,2,135,143
"Kingston and the Islands/Kingston et les Îles"," 404","Kingston",Void/Supprimé,,,,,,,,
"Kingston and the Islands/Kingston et les Îles"," 405","Kingston",40,47,98,0,1,23,4,213,232
"Kingston and the Islands/Kingston et les Îles"," 406A","Kingston",72,49,120,0,0,39,1,281,322
"Kingston and the Islands/Kingston et les Îles"," 406B","Kingston",67,41,122,0,0,33,1,264,289
"Kingston and the Islands/Kingston et les Îles"," 407","Kingston",23,14,19,3,0,4,2,65,141
"Kingston and the Islands/Kingston et les Îles"," 500","Mobile poll/Bureau itinérant",27,18,56,1,0,3,1,106,115
"Kingston and the Islands/Kingston et les Îles"," 501","Mobile poll/Bureau itinérant",22,10,44,1,1,0,2,80,88
"Kingston and the Islands/Kingston et les Îles"," 502","Mobile poll/Bureau itinérant",26,5,39,0,1,8,0,79,77
"Kingston and the Islands/Kingston et les Îles"," 600","Pittsburgh",52,35,55,1,4,6,1,154,
"Kingston and the Islands/Kingston et les Îles"," 601","Kingston",257,71,248,2,4,40,1,623,
"Kingston and the Islands/Kingston et les Îles"," 602","High Gate Park",351,84,465,3,6,36,3,948,
"Kingston and the Islands/Kingston et les Îles"," 603","Rideau Heights",190,137,297,3,3,30,5,665,
"Kingston and the Islands/Kingston et les Îles"," 604","Bayridge",234,74,340,0,1,19,0,668,
"Kingston and the Islands/Kingston et les Îles"," 605","Strathcona Park",340,136,499,3,2,44,3,1027,
"Kingston and the Islands/Kingston et les Îles"," 606","Lakeland Acres",359,131,546,0,3,50,2,1091,
"Kingston and the Islands/Kingston et les Îles"," 607","Polson Park",247,129,364,3,2,44,2,791,
"Kingston and the Islands/Kingston et les Îles"," 608","Kingston",93,82,248,1,0,46,2,472,
"Kingston and the Islands/Kingston et les Îles"," 609","Kingston",83,63,139,0,1,34,0,320,
"Kingston and the Islands/Kingston et les Îles"," 610","Kingston",141,94,273,3,2,32,2,547,
"Kingston and the Islands/Kingston et les Îles"," 611","Pittsburgh",167,42,218,0,1,18,0,446,
"Kingston and the Islands/Kingston et les Îles"," 612","Pittsburgh",184,46,159,0,4,24,0,417,
"Kingston and the Islands/Kingston et les Îles",,Group 1/Groupe 1,217,48,224,2,4,20,5,520,1053
"Kingston and the Islands/Kingston et les Îles",,Group 2/Groupe 2,371,198,783,4,4,76,20,1456,
