Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ken Dryden,Marco Iacampo,Constantine Kritsonis,Michael Mostyn,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"York Centre/York-Centre"," 58B","North York",77,34,9,72,1,193,354
"York Centre/York-Centre"," 58C","North York",54,20,2,47,2,125,402
"York Centre/York-Centre"," 59A","North York",21,7,1,20,0,49,93
"York Centre/York-Centre"," 59B","North York",33,16,4,58,0,111,174
"York Centre/York-Centre"," 60A","North York",53,18,6,58,0,135,224
"York Centre/York-Centre"," 60B","North York",70,16,0,41,1,128,209
"York Centre/York-Centre"," 61","North York",97,14,6,77,2,196,454
"York Centre/York-Centre"," 62","North York",75,23,7,56,0,161,433
"York Centre/York-Centre"," 63A","North York",47,19,3,37,1,107,249
"York Centre/York-Centre"," 63B","North York",42,2,1,34,1,80,165
"York Centre/York-Centre"," 64","North York",93,12,11,107,1,224,403
"York Centre/York-Centre"," 65","North York",90,14,12,79,0,195,336
"York Centre/York-Centre"," 66","North York",92,16,9,35,1,153,376
"York Centre/York-Centre"," 67","North York",62,27,9,40,1,139,271
"York Centre/York-Centre"," 68","North York",93,25,14,71,1,204,413
"York Centre/York-Centre"," 69","North York",89,24,6,56,1,176,381
"York Centre/York-Centre"," 70","North York",75,13,12,41,3,144,315
"York Centre/York-Centre"," 71","North York",138,33,11,65,3,250,417
"York Centre/York-Centre"," 72","North York",108,14,4,62,0,188,351
"York Centre/York-Centre"," 73","North York",113,33,7,81,0,234,395
"York Centre/York-Centre"," 74","North York",116,20,10,55,0,201,363
"York Centre/York-Centre"," 75","North York",124,25,6,65,2,222,405
"York Centre/York-Centre"," 76","North York",137,30,6,41,0,214,455
"York Centre/York-Centre"," 77","North York",95,26,16,69,1,207,397
"York Centre/York-Centre"," 78A","North York",168,36,14,58,0,276,777
"York Centre/York-Centre"," 78B","North York",33,8,4,20,2,67,69
"York Centre/York-Centre"," 78C","North York",37,13,3,22,0,75,123
"York Centre/York-Centre"," 78D","North York",56,18,6,35,2,117,122
"York Centre/York-Centre"," 79A","North York",109,34,10,64,3,220,379
"York Centre/York-Centre"," 79B","North York",22,2,1,10,0,35,55
"York Centre/York-Centre"," 80","North York",70,19,12,40,0,141,256
"York Centre/York-Centre"," 81A","North York",42,17,5,22,0,86,222
"York Centre/York-Centre"," 81B","North York",43,25,8,30,2,108,150
"York Centre/York-Centre"," 81C","North York",45,19,5,26,1,96,137
"York Centre/York-Centre"," 82A","North York",41,10,4,21,0,76,96
"York Centre/York-Centre"," 82B","North York",37,7,5,29,1,79,136
"York Centre/York-Centre"," 83A","North York",66,11,3,47,0,127,201
"York Centre/York-Centre"," 83B","North York",40,9,3,24,0,76,139
"York Centre/York-Centre"," 83C","North York",Merged with No. 81A/Fusionné avec le nº 81A,,,,,,12
"York Centre/York-Centre"," 84","North York",79,29,13,77,0,198,348
"York Centre/York-Centre"," 85A","North York",110,26,12,62,0,210,346
"York Centre/York-Centre"," 85B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,28
"York Centre/York-Centre"," 86","North York",177,42,6,51,1,277,421
"York Centre/York-Centre"," 87","North York",119,26,13,66,1,225,395
"York Centre/York-Centre"," 88","North York",108,23,10,53,1,195,421
"York Centre/York-Centre"," 89A","North York",34,10,2,53,2,101,156
"York Centre/York-Centre"," 89B","North York",60,5,2,64,2,133,206
"York Centre/York-Centre"," 90A","North York",43,12,2,19,0,76,147
"York Centre/York-Centre"," 90B","North York",31,8,1,21,0,61,129
"York Centre/York-Centre"," 91","North York",129,33,11,87,1,261,508
"York Centre/York-Centre"," 92","North York",105,25,7,111,0,248,431
"York Centre/York-Centre"," 93","North York",83,15,10,72,2,182,359
"York Centre/York-Centre"," 94","North York",69,6,8,87,1,171,370
"York Centre/York-Centre"," 95","North York",131,18,9,137,1,296,451
"York Centre/York-Centre"," 96","North York",91,15,8,137,0,251,461
"York Centre/York-Centre"," 97","North York",74,20,4,98,0,196,382
"York Centre/York-Centre"," 98","North York",123,11,6,100,1,241,425
"York Centre/York-Centre"," 99","North York",146,13,1,127,1,288,471
"York Centre/York-Centre"," 100","North York",110,29,12,129,0,280,438
"York Centre/York-Centre"," 101","North York",75,22,8,39,4,148,312
"York Centre/York-Centre"," 102","North York",97,39,6,40,2,184,355
"York Centre/York-Centre"," 103","North York",155,15,8,154,0,332,520
"York Centre/York-Centre"," 104","North York",92,18,8,103,1,222,385
"York Centre/York-Centre"," 105","North York",103,16,8,103,0,230,360
"York Centre/York-Centre"," 106","North York",105,21,7,70,0,203,388
"York Centre/York-Centre"," 107","North York",54,13,2,32,1,102,247
"York Centre/York-Centre"," 108","North York",72,25,6,69,0,172,298
"York Centre/York-Centre"," 109","North York",112,39,15,71,4,241,423
"York Centre/York-Centre"," 110","North York",74,23,9,58,2,166,357
"York Centre/York-Centre"," 111","North York",121,20,14,92,0,247,415
"York Centre/York-Centre"," 112","North York",146,62,8,48,0,264,439
"York Centre/York-Centre"," 113A","North York",101,39,8,48,0,196,318
"York Centre/York-Centre"," 113B","North York",68,18,5,18,2,111,184
"York Centre/York-Centre"," 114","North York",101,44,8,31,0,184,334
"York Centre/York-Centre"," 115","North York",148,43,8,34,2,235,375
"York Centre/York-Centre"," 116","North York",124,45,3,26,1,199,311
"York Centre/York-Centre"," 117","North York",128,40,1,17,2,188,269
"York Centre/York-Centre"," 118","North York",138,41,3,42,2,226,377
"York Centre/York-Centre"," 119","North York",148,25,8,22,4,207,310
"York Centre/York-Centre"," 120","North York",100,33,6,32,1,172,370
"York Centre/York-Centre"," 121","North York",153,49,15,65,2,284,434
"York Centre/York-Centre"," 122","North York",158,45,10,55,2,270,391
"York Centre/York-Centre"," 123","North York",88,40,5,36,1,170,330
"York Centre/York-Centre"," 124","North York",177,53,9,50,1,290,429
"York Centre/York-Centre"," 125","North York",140,35,11,29,1,216,455
"York Centre/York-Centre"," 126","North York",206,50,10,27,3,296,437
"York Centre/York-Centre"," 127","North York",133,35,6,29,1,204,471
"York Centre/York-Centre"," 128","North York",147,47,11,35,1,241,482
"York Centre/York-Centre"," 129","North York",157,53,4,33,2,249,413
"York Centre/York-Centre"," 130","North York",203,38,7,32,0,280,422
"York Centre/York-Centre"," 131","North York",90,37,2,35,1,165,387
"York Centre/York-Centre"," 132","North York",160,50,7,65,2,284,476
"York Centre/York-Centre"," 133","North York",149,40,8,58,0,255,448
"York Centre/York-Centre"," 134","North York",156,37,5,35,1,234,397
"York Centre/York-Centre"," 135","North York",92,49,2,18,0,161,257
"York Centre/York-Centre"," 136","North York",79,43,6,18,0,146,353
"York Centre/York-Centre"," 137","North York",170,40,11,41,0,262,431
"York Centre/York-Centre"," 138","North York",86,40,1,40,2,169,282
"York Centre/York-Centre"," 139","North York",148,55,9,29,4,245,452
"York Centre/York-Centre"," 140","North York",176,46,3,28,3,256,535
"York Centre/York-Centre"," 141","North York",98,23,3,36,1,161,382
"York Centre/York-Centre"," 142","North York",180,34,10,31,3,258,394
"York Centre/York-Centre"," 143","North York",126,50,6,34,4,220,407
"York Centre/York-Centre"," 144","North York",145,59,10,33,3,250,384
"York Centre/York-Centre"," 145","North York",133,44,3,45,1,226,427
"York Centre/York-Centre"," 146","North York",190,39,9,49,4,291,495
"York Centre/York-Centre"," 147","North York",117,32,5,34,2,190,311
"York Centre/York-Centre"," 148","North York",160,70,9,25,1,265,383
"York Centre/York-Centre"," 149","North York",103,55,9,25,1,193,330
"York Centre/York-Centre"," 150","North York",87,43,4,40,1,175,300
"York Centre/York-Centre"," 151","North York",125,38,15,52,1,231,311
"York Centre/York-Centre"," 152","North York",124,27,5,33,0,189,487
"York Centre/York-Centre"," 153","North York",122,64,8,32,2,228,362
"York Centre/York-Centre"," 154","North York",111,44,6,32,0,193,311
"York Centre/York-Centre"," 155","North York",115,35,5,36,2,193,342
"York Centre/York-Centre"," 156","North York",117,34,7,31,0,189,341
"York Centre/York-Centre"," 157","North York",67,36,7,24,1,135,239
"York Centre/York-Centre"," 158","North York",91,24,6,25,0,146,255
"York Centre/York-Centre"," 159","North York",150,52,6,48,3,259,443
"York Centre/York-Centre"," 160","North York",130,39,3,38,1,211,500
"York Centre/York-Centre"," 161","North York",138,44,4,35,6,227,402
"York Centre/York-Centre"," 162","North York",98,25,5,21,0,149,317
"York Centre/York-Centre"," 163","North York",161,30,5,23,4,223,435
"York Centre/York-Centre"," 164","North York",139,18,5,44,4,210,335
"York Centre/York-Centre"," 165","North York",167,44,5,39,2,257,496
"York Centre/York-Centre"," 166","North York",90,27,1,38,1,157,306
"York Centre/York-Centre"," 167","North York",50,16,3,14,0,83,211
"York Centre/York-Centre"," 168","North York",123,51,16,33,1,224,427
"York Centre/York-Centre"," 169","North York",142,48,6,40,1,237,418
"York Centre/York-Centre"," 170","North York",154,47,7,37,3,248,478
"York Centre/York-Centre"," 171","North York",92,29,5,33,2,161,375
"York Centre/York-Centre"," 400","North York",147,33,11,101,1,293,469
"York Centre/York-Centre"," 401","North York",77,19,9,97,1,203,316
"York Centre/York-Centre"," 402","North York",87,13,7,90,0,197,327
"York Centre/York-Centre"," 403","North York",55,9,9,58,0,131,231
"York Centre/York-Centre"," 404","North York",104,37,8,67,1,217,414
"York Centre/York-Centre"," 405","North York",89,21,5,107,2,224,347
"York Centre/York-Centre"," 406","North York",64,23,9,47,0,143,292
"York Centre/York-Centre"," 407","North York",53,8,6,144,11,222,329
"York Centre/York-Centre"," 500","Mobile poll/Bureau itinérant",47,11,6,21,0,85,34
"York Centre/York-Centre"," 600","Toronto",326,64,18,198,0,606,
"York Centre/York-Centre"," 601","Toronto",231,24,12,173,1,441,
"York Centre/York-Centre"," 602","Toronto",465,73,16,293,9,856,
"York Centre/York-Centre"," 603","Toronto",257,58,13,229,4,561,
"York Centre/York-Centre"," 604","Toronto",182,27,11,99,2,321,
"York Centre/York-Centre"," 605","Toronto",206,65,13,56,3,343,
"York Centre/York-Centre"," 606","Toronto",304,77,14,124,2,521,
"York Centre/York-Centre",,Group 1/Groupe 1,38,10,4,40,4,96,192
"York Centre/York-Centre",,Group 2/Groupe 2,489,85,24,279,25,902,
