Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Armand Caouette,Pierre M. Denis,Gilles Gagnon,Yvon Lévesque,Dominique Vaillancourt,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 109","Val-d'Or",20,4,30,71,8,2,135,357
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 110","Val-d'Or",39,9,35,59,10,4,156,291
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 111","Val-d'Or",35,5,68,101,10,3,222,408
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 112","Val-d'Or",41,7,34,126,11,3,222,447
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 113","Val-d'Or",20,6,55,116,7,8,212,416
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 114","Val-d'Or",43,17,47,83,21,6,217,371
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 115","Val-d'Or",23,5,23,88,9,3,151,279
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 116","Val-d'Or",25,6,35,82,12,8,168,316
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 117","Sullivan",19,3,42,78,11,1,154,350
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 118","Sullivan",25,2,18,57,4,5,111,234
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 119","Val-d'Or",16,6,57,91,15,3,188,335
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 120","Val-d'Or",42,5,47,66,11,3,174,339
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 121","Val-d'Or",18,6,47,101,17,10,199,459
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 122","Val-d'Or",17,4,15,50,8,1,95,251
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 123","Val-d'Or",43,7,41,92,24,2,209,394
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 124","Val-d'Or",24,7,35,92,10,0,168,352
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 125","Val-d'Or",22,4,44,79,5,10,164,271
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 126","Val-d'Or",32,11,50,133,16,10,252,484
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 127","Val-d'Or",27,6,55,126,16,2,232,402
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 128","Val-d'Or",24,16,44,106,8,1,199,318
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 129","Val-d'Or",19,6,55,103,25,4,212,387
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 130","Val-d'Or",31,6,43,145,20,4,249,437
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 131","Val-d'Or",25,9,67,128,17,7,253,454
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 132","Val-d'Or",34,6,31,101,12,5,189,371
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 133","Val-d'Or",26,11,57,118,11,4,227,417
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 134","Val-d'Or",23,5,54,100,21,1,204,372
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 135","Val-d'Or",38,13,68,145,23,3,290,528
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 136","Dubuisson",37,8,74,167,18,14,318,532
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 137","Dubuisson",16,4,16,57,3,1,97,184
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 138","Dubuisson",36,15,73,167,13,6,310,586
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 139","Val-d'Or",21,12,47,123,9,10,222,431
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 140","Val-d'Or",26,13,37,76,12,6,170,267
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 141","Rivière-Héva",16,12,34,111,11,5,189,388
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 142","Rivière-Héva",29,6,65,105,10,3,218,392
