Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Andrew J. Chisholm,David Lobie Daughton,Tom DeBlois,Baird Judson,Shawn Murphy,Brian Pollard,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Charlottetown/Charlottetown"," 23","Charlottetown",1,5,92,0,126,13,1,238,388
"Charlottetown/Charlottetown"," 24","Charlottetown",2,15,65,0,106,13,0,201,352
"Charlottetown/Charlottetown"," 25","Charlottetown",0,3,87,0,70,11,1,172,260
"Charlottetown/Charlottetown"," 26","Charlottetown",0,7,126,1,124,34,2,294,460
"Charlottetown/Charlottetown"," 27","Charlottetown",2,5,80,4,89,26,2,208,330
"Charlottetown/Charlottetown"," 28","Charlottetown",2,5,64,1,100,17,3,192,403
"Charlottetown/Charlottetown"," 29","Charlottetown",3,9,82,8,139,29,0,270,469
"Charlottetown/Charlottetown"," 30","Charlottetown",1,5,71,3,125,26,0,231,426
"Charlottetown/Charlottetown"," 31","Charlottetown",2,2,71,3,60,16,0,154,252
"Charlottetown/Charlottetown"," 32","Charlottetown",2,5,77,0,127,24,3,238,448
"Charlottetown/Charlottetown"," 33","Charlottetown",3,3,67,2,105,25,0,205,408
"Charlottetown/Charlottetown"," 34","Charlottetown",1,1,67,1,93,26,0,189,340
"Charlottetown/Charlottetown"," 35","Charlottetown",2,2,76,3,99,17,7,206,326
"Charlottetown/Charlottetown"," 36","Charlottetown",3,1,71,1,115,34,0,225,436
"Charlottetown/Charlottetown"," 37A","Charlottetown",1,3,52,0,68,27,0,151,267
"Charlottetown/Charlottetown"," 37B","Charlottetown",0,5,48,0,60,31,1,145,278
"Charlottetown/Charlottetown"," 38","Charlottetown",4,8,88,1,108,17,1,227,368
"Charlottetown/Charlottetown"," 39A","Charlottetown",1,4,58,1,76,17,2,159,279
"Charlottetown/Charlottetown"," 39B","Charlottetown",2,1,53,0,86,30,2,174,308
"Charlottetown/Charlottetown"," 40","Charlottetown",2,5,93,0,134,28,1,263,427
"Charlottetown/Charlottetown"," 41","Charlottetown",1,7,59,0,104,16,1,188,317
"Charlottetown/Charlottetown"," 42","Charlottetown",1,5,119,1,117,42,2,287,502
"Charlottetown/Charlottetown"," 43A","Charlottetown",1,7,43,1,60,9,0,121,205
"Charlottetown/Charlottetown"," 43B","Mobile poll/Bureau itinérant",Merged with No. 502/Fusionné avec le nº 502,,,,,,,,53
"Charlottetown/Charlottetown"," 44","Charlottetown",1,3,55,0,70,25,1,155,243
"Charlottetown/Charlottetown"," 45","Charlottetown",1,4,54,1,61,13,0,134,264
"Charlottetown/Charlottetown"," 46","Charlottetown",0,7,49,1,84,12,1,154,273
"Charlottetown/Charlottetown"," 47A","Charlottetown",5,4,48,1,64,20,1,143,227
"Charlottetown/Charlottetown"," 47B","Charlottetown",0,5,47,0,72,18,0,142,255
"Charlottetown/Charlottetown"," 48A","Charlottetown",1,10,35,0,83,28,1,158,302
"Charlottetown/Charlottetown"," 48B","Charlottetown",0,4,41,1,70,12,0,128,276
"Charlottetown/Charlottetown"," 49","Charlottetown",0,6,41,2,69,13,1,132,294
"Charlottetown/Charlottetown"," 50","Charlottetown",0,7,76,0,80,27,2,192,314
"Charlottetown/Charlottetown"," 51","Charlottetown",2,5,64,0,81,32,2,186,353
"Charlottetown/Charlottetown"," 52","Charlottetown",3,11,62,1,94,30,1,202,392
"Charlottetown/Charlottetown"," 53","Charlottetown",6,10,48,1,108,17,1,191,406
"Charlottetown/Charlottetown"," 54","Charlottetown",4,8,74,2,80,41,1,210,334
"Charlottetown/Charlottetown"," 55","Charlottetown",1,6,40,2,99,37,2,187,370
"Charlottetown/Charlottetown"," 56","Charlottetown",4,8,57,0,106,33,1,209,384
"Charlottetown/Charlottetown"," 57","Charlottetown",6,8,48,1,90,39,1,193,386
"Charlottetown/Charlottetown"," 58A","Charlottetown",2,8,48,1,82,22,2,165,350
"Charlottetown/Charlottetown"," 58B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,,20
"Charlottetown/Charlottetown"," 59","Charlottetown",2,9,17,0,56,22,1,107,246
"Charlottetown/Charlottetown"," 60A","Charlottetown",3,16,29,0,65,46,0,159,382
"Charlottetown/Charlottetown"," 60B","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,,,17
"Charlottetown/Charlottetown"," 61A","Charlottetown",3,7,25,0,64,16,2,117,260
"Charlottetown/Charlottetown"," 61B","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,,,31
"Charlottetown/Charlottetown"," 62","Charlottetown",2,12,31,1,78,32,0,156,347
"Charlottetown/Charlottetown"," 63","Charlottetown",6,6,41,0,86,27,2,168,281
"Charlottetown/Charlottetown"," 64","Charlottetown",2,5,35,0,80,10,0,132,217
"Charlottetown/Charlottetown"," 65","Charlottetown",4,11,43,3,59,27,1,148,291
"Charlottetown/Charlottetown"," 66","Charlottetown",2,6,32,1,54,37,0,132,242
"Charlottetown/Charlottetown"," 67","Charlottetown",0,8,29,0,61,26,1,125,291
"Charlottetown/Charlottetown"," 68","Charlottetown",4,8,49,1,49,21,0,132,288
"Charlottetown/Charlottetown"," 69","Charlottetown",1,6,43,0,81,15,0,146,240
"Charlottetown/Charlottetown"," 70","Charlottetown",4,8,57,0,82,15,1,167,286
"Charlottetown/Charlottetown"," 71","Charlottetown",6,11,63,2,95,36,1,214,418
"Charlottetown/Charlottetown"," 72","Charlottetown",0,8,48,1,79,18,1,155,283
"Charlottetown/Charlottetown"," 73","Charlottetown",4,6,51,1,118,17,2,199,354
"Charlottetown/Charlottetown"," 74","Charlottetown",3,18,70,3,104,36,1,235,423
"Charlottetown/Charlottetown"," 500","Mobile poll/Bureau itinérant",1,1,64,0,72,2,9,149,184
"Charlottetown/Charlottetown"," 501","Mobile poll/Bureau itinérant",4,1,47,2,61,5,2,122,169
"Charlottetown/Charlottetown"," 502","Mobile poll/Bureau itinérant",4,2,52,2,68,4,5,137,142
"Charlottetown/Charlottetown"," 600","Charlottetown",4,28,463,2,680,66,2,1245,
"Charlottetown/Charlottetown"," 601","Charlottetown",5,13,476,3,511,77,1,1086,
"Charlottetown/Charlottetown"," 602","Charlottetown",5,17,244,6,353,62,1,688,
"Charlottetown/Charlottetown",,Group 1/Groupe 1,2,1,42,2,29,6,1,83,202
"Charlottetown/Charlottetown",,Group 2/Groupe 2,7,31,336,4,637,107,6,1128,
