Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bernard Cleary,Robert Donnelly,Lucien Gravelle,Isa Gros-Louis,Christian Légaré,Josée Verner,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 19","Québec",69,14,12,19,8,152,0,274,467
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 20","Québec",61,16,7,8,10,102,0,204,348
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 21","Québec",43,11,9,10,7,100,2,182,292
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 22","Québec",47,14,5,11,5,116,2,200,387
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 23","Québec",30,3,7,10,5,62,1,118,386
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 24","Québec",55,5,8,11,5,99,1,184,471
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 25","Québec",48,5,6,15,4,92,5,175,316
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 26","Québec",60,10,4,10,1,94,2,181,357
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 27","Québec",43,12,4,11,16,125,2,213,355
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 28","Québec",52,15,6,4,8,89,6,180,293
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 29","Québec",54,7,6,7,4,94,4,176,359
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 30","Québec",101,24,12,9,7,225,2,380,587
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 31A","Québec",49,12,5,9,8,118,3,204,356
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 31B","Québec",53,9,7,9,6,125,4,213,336
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 32","Québec",66,15,10,19,6,174,2,292,537
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 33","Québec",46,20,6,15,8,131,0,226,356
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 34","Québec",65,23,8,17,6,159,1,279,448
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 35","Québec",42,14,6,12,4,75,1,154,276
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 36","Québec",41,4,4,9,4,131,0,193,401
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 37A","Loretteville",35,12,9,23,10,80,0,169,373
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 37B","Loretteville",34,7,6,30,7,91,0,175,357
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 38","Loretteville",73,10,7,22,8,145,3,268,485
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 39","Loretteville",64,20,8,6,9,121,2,230,390
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 40","Loretteville",46,9,12,5,6,65,5,148,362
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 41A","Village-des-Hurons",12,13,3,27,7,68,2,132,420
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 41B","Village-des-Hurons",22,17,3,31,2,52,2,129,386
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 41C","Mobile poll/Bureau itinérant",Merged with No. 501B/Fusionné avec le nº 501B,,,,,,,,11
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 42","Village-des-Hurons",17,4,1,29,3,49,0,103,273
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 43","Loretteville",43,18,14,9,15,117,2,218,407
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 44","Québec",47,14,6,8,7,123,3,208,422
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 45","Loretteville",71,24,10,9,4,135,2,255,458
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 46","Loretteville",66,12,10,9,7,125,1,230,365
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 47","Loretteville",46,16,11,14,9,166,1,263,433
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 48","Loretteville",47,16,3,14,5,99,0,184,382
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 49","Loretteville",52,13,10,18,10,73,3,179,412
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 50","Loretteville",45,9,12,20,6,91,1,184,352
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 51","Loretteville",54,18,13,6,4,126,4,225,346
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 52","Loretteville",13,10,4,7,2,60,0,96,251
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 53","Loretteville",58,15,13,12,13,149,3,263,431
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 54","Loretteville",38,22,5,14,1,65,0,145,291
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 55","Loretteville",58,16,5,9,9,97,2,196,416
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 56","Loretteville",51,14,6,13,6,122,0,212,405
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 57A","Loretteville",55,11,6,16,4,105,5,202,395
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 57B","Mobile poll/Bureau itinérant",Merged with No. 500B/Fusionné avec le nº 500B,,,,,,,,55
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 58","Loretteville",77,7,3,12,5,98,0,202,326
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 59A","Loretteville",66,21,7,3,5,103,0,205,313
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 59B","Mobile poll/Bureau itinérant",8,3,5,16,5,43,1,81,81
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 59C","Mobile poll/Bureau itinérant",Merged with No. 59B/Fusionné avec le nº 59B,,,,,,,,56
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 60","Loretteville",45,13,2,11,2,114,1,188,335
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 61","Loretteville",47,16,7,10,1,82,11,174,329
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 62","Loretteville",43,14,4,26,10,131,1,229,450
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 63","Loretteville",43,10,6,13,9,154,2,237,462
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 64","Loretteville",39,5,7,8,3,122,0,184,440
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 65","Loretteville",49,8,4,16,8,92,3,180,383
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 66","Loretteville",27,9,2,10,1,92,1,142,362
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 67","Loretteville",54,9,7,12,4,107,1,194,358
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 68","Val-Bélair",28,9,9,12,7,108,0,173,434
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 69","Val-Bélair",56,8,8,14,11,122,3,222,441
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 70","Val-Bélair",46,7,5,9,10,115,4,196,371
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 71","Val-Bélair",48,8,11,7,12,135,4,225,425
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 72","Val-Bélair",21,9,3,13,5,119,2,172,455
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 73","Val-Bélair",32,7,4,7,2,120,2,174,348
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 74","Val-Bélair",69,17,7,8,4,138,1,244,455
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 75","Val-Bélair",51,17,4,8,10,159,3,252,504
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 76","Val-Bélair",67,11,3,17,4,127,2,231,528
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 77","Val-Bélair",33,11,3,7,10,93,3,160,331
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 78","Val-Bélair",46,4,3,9,8,100,0,170,371
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 79","Val-Bélair",57,13,9,7,1,97,1,185,383
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 80A","Val-Bélair",47,8,11,8,5,144,2,225,362
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 80B","Val-Bélair",59,8,5,5,4,129,1,211,388
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 81","Val-Bélair",46,7,5,7,4,116,1,186,435
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 82","Val-Bélair",45,2,10,10,8,106,9,190,413
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 83","Val-Bélair",42,7,2,3,9,77,1,141,313
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 84","Val-Bélair",50,14,10,14,8,154,1,251,469
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 85","Val-Bélair",42,10,6,5,12,126,1,202,405
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 86","Val-Bélair",49,7,8,8,6,157,3,238,569
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 87A","Val-Bélair",29,8,5,3,5,80,0,130,357
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 87B","Val-Bélair",27,9,6,4,2,57,1,106,300
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 88","Val-Bélair",43,8,5,2,4,102,0,164,349
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 89","Val-Bélair",37,9,5,13,2,60,1,127,483
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 90","Val-Bélair",39,4,3,10,5,87,0,148,353
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 91","Val-Bélair",55,12,8,6,5,139,2,227,528
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 92","Val-Bélair",43,7,4,9,6,99,2,170,375
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 93","Val-Bélair",38,19,6,9,9,127,6,214,420
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 94","Val-Bélair",63,10,7,11,7,126,1,225,454
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 95","Val-Bélair",54,21,8,14,1,219,3,320,591
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 96A","Val-Bélair",31,7,2,7,1,116,0,164,298
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 96B","Val-Bélair",23,6,2,2,3,113,1,150,302
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 97","Val-Bélair",49,14,5,7,4,155,0,234,466
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 98","Val-Bélair",25,15,3,4,4,120,1,172,323
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 99","Val-Bélair",36,6,6,6,1,128,2,185,334
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 100","Val-Bélair",27,8,4,7,4,56,2,108,258
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 101","Val-Bélair",53,9,6,10,9,134,1,222,430
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 102","Val-Bélair",59,11,7,8,7,88,0,180,352
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 103A","Val-Bélair",51,5,8,3,4,124,0,195,329
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 103B","Val-Bélair",50,9,10,2,2,128,3,204,362
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 104","Val-Bélair",62,12,9,11,2,123,3,222,420
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 105","Québec",69,37,13,14,3,171,2,309,519
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 106","Québec",58,16,9,14,3,124,2,226,355
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 107","Québec",90,17,17,13,8,145,4,294,448
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 108","Québec",79,27,12,20,6,158,3,305,509
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 109A","Québec",46,11,4,7,3,121,0,192,353
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 109B","Québec",51,9,12,5,6,126,2,211,344
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 110A","Québec",65,29,9,14,8,145,1,271,352
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 110B","Québec",26,4,3,48,3,71,12,167,231
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 111","Québec",50,10,4,4,10,132,0,210,420
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 112","Québec",69,14,5,10,2,128,1,229,437
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 113","Québec",38,8,5,6,10,112,1,180,284
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 114","Québec",47,8,2,11,8,82,3,161,270
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 115","Québec",31,19,3,14,4,98,3,172,279
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 116","Québec",57,12,3,11,3,93,0,179,378
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 117A","Québec",95,24,15,14,16,190,5,359,650
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 117B","Québec",Merged with No. 110A/Fusionné avec le nº 110A,,,,,,,,172
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 118","Québec",39,11,7,7,8,111,0,183,311
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 119","Québec",51,18,8,2,5,92,0,176,326
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 120","Québec",55,11,4,12,8,143,4,237,405
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 121","Québec",62,17,6,6,12,122,1,226,396
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 122","Québec",40,9,0,3,9,130,1,192,301
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 123","Québec",59,15,6,11,10,136,2,239,366
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 124","Québec",56,17,10,6,8,138,0,235,388
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 125","Québec",55,13,5,9,5,162,3,252,421
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 126","Québec",73,17,10,10,6,127,3,246,569
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 127","Québec",50,21,4,14,9,105,5,208,451
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 128","Québec",70,12,15,13,4,113,1,228,496
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 129","Québec",29,8,4,9,5,107,3,165,276
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 130","Québec",41,20,14,10,6,106,3,200,460
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 131","Québec",54,10,5,7,4,66,1,147,403
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 132","Québec",49,10,8,7,6,108,2,190,337
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 133A","Québec",74,15,10,10,6,171,2,288,461
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 133B","Québec",73,21,11,10,7,168,3,293,473
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 134","Québec",46,20,7,3,4,114,0,194,291
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 135","Québec",60,19,4,10,5,120,1,219,369
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 136","Québec",89,22,10,10,5,107,0,243,393
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 137","Québec",93,12,9,8,3,120,1,246,450
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 138","Québec",62,20,4,25,5,156,1,273,531
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 139","Québec",51,12,7,1,10,83,1,165,288
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 140","Québec",42,10,5,10,8,68,0,143,309
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 141A","Québec",39,13,6,9,6,85,1,159,419
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 141B","Québec",47,11,2,13,4,90,0,167,299
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 142","Québec",54,11,11,7,6,100,1,190,431
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 143","Québec",46,8,4,6,5,71,1,141,356
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 144","Québec",51,7,1,10,2,88,5,164,522
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 145","Québec",72,18,5,17,12,109,2,235,597
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 146A","L'Ancienne-Lorette",37,16,6,11,3,163,1,237,387
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 146B","L'Ancienne-Lorette",54,16,5,13,4,156,1,249,393
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 147","L'Ancienne-Lorette",90,14,7,9,12,268,4,404,646
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 148","L'Ancienne-Lorette",67,23,4,6,8,142,1,251,360
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 149","L'Ancienne-Lorette",58,15,7,8,0,99,1,188,325
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 150","L'Ancienne-Lorette",33,16,7,9,10,126,10,211,361
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 151A","L'Ancienne-Lorette",33,17,11,13,3,136,2,215,359
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 151B","L'Ancienne-Lorette",59,9,5,10,8,138,1,230,362
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 152","L'Ancienne-Lorette",41,15,12,11,10,114,2,205,291
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 153","L'Ancienne-Lorette",65,22,9,16,9,158,3,282,428
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 154","L'Ancienne-Lorette",56,5,9,9,3,127,1,210,350
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 155","L'Ancienne-Lorette",45,16,6,16,3,142,1,229,368
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 156","L'Ancienne-Lorette",57,12,8,10,6,152,3,248,373
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 157","L'Ancienne-Lorette",49,13,3,6,7,146,3,227,363
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 158","L'Ancienne-Lorette",52,18,5,18,11,160,2,266,411
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 159","L'Ancienne-Lorette",39,8,2,5,5,116,3,178,381
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 160","L'Ancienne-Lorette",59,24,9,13,2,139,1,247,398
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 161","L'Ancienne-Lorette",49,18,3,17,3,99,4,193,335
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 162","L'Ancienne-Lorette",54,9,7,9,7,125,5,216,369
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 163","L'Ancienne-Lorette",44,11,10,8,6,107,0,186,329
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 164","L'Ancienne-Lorette",48,29,9,11,4,126,1,228,392
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 165","L'Ancienne-Lorette",49,14,11,10,9,99,5,197,340
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 166","L'Ancienne-Lorette",75,12,4,10,9,110,0,220,436
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 167","L'Ancienne-Lorette",72,15,2,14,8,120,5,236,421
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 168","L'Ancienne-Lorette",53,12,10,19,9,127,3,233,434
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 169","L'Ancienne-Lorette",58,22,11,15,9,169,4,288,476
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 170","L'Ancienne-Lorette",53,14,7,6,4,124,3,211,408
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 171","L'Ancienne-Lorette",79,17,6,16,5,157,3,283,548
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 172","L'Ancienne-Lorette",56,11,7,26,11,147,4,262,407
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 173","L'Ancienne-Lorette",45,19,11,9,6,148,1,239,454
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 174","L'Ancienne-Lorette",54,15,6,9,9,104,2,199,397
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 175","L'Ancienne-Lorette",18,5,1,7,10,36,1,78,194
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 176","L'Ancienne-Lorette",47,10,3,26,3,128,0,217,448
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 500A","Mobile poll/Bureau itinérant",9,1,2,13,3,11,6,45,83
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 500B","Mobile poll/Bureau itinérant",20,8,1,33,2,57,3,124,102
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 501A","Mobile poll/Bureau itinérant",8,1,1,16,1,23,2,52,87
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 501B","Mobile poll/Bureau itinérant",9,1,2,17,5,35,1,70,90
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 600","Québec",122,28,5,48,38,333,4,578,
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 601","Québec",63,15,7,39,19,236,1,380,
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 602","Québec",114,24,7,39,21,316,4,525,
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 603","Québec",99,15,18,47,10,286,4,479,
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 604","Québec",86,17,6,25,6,243,0,383,
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 605","Québec",119,20,5,67,14,362,2,589,
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 606","Québec",54,8,5,23,4,166,0,260,
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 607","Québec",82,16,15,28,21,254,4,420,
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 608","Québec",87,16,7,16,14,222,0,362,
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 609","Québec",105,15,7,41,9,302,1,480,
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 610","Québec",124,20,8,43,13,302,6,516,
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 611","Québec",106,13,14,48,19,361,0,561,
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 612","Québec",93,16,6,24,6,189,0,334,
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 613","Québec",82,13,8,48,11,259,5,426,
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 614","Québec",90,11,9,36,13,276,0,435,
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 615","Québec",76,7,8,33,18,263,1,406,
"Louis-Saint-Laurent/Louis-Saint-Laurent",,Group 1/Groupe 1,68,23,8,54,9,272,15,449,1396
"Louis-Saint-Laurent/Louis-Saint-Laurent",,Group 2/Groupe 2,420,58,20,297,72,860,31,1758,
