Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Gary Burroughs,Wayne Gates,Kay Green,Rob Nicholson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Niagara Falls/Niagara Falls"," 25","Niagara-on-the-Lake",106,51,21,130,0,308,471
"Niagara Falls/Niagara Falls"," 26","Niagara Falls",42,48,17,50,1,158,319
"Niagara Falls/Niagara Falls"," 27","Niagara Falls",120,45,5,154,2,326,509
"Niagara Falls/Niagara Falls"," 28","Niagara Falls",135,73,12,146,1,367,589
"Niagara Falls/Niagara Falls"," 29","Niagara Falls",98,25,8,103,1,235,362
"Niagara Falls/Niagara Falls"," 30","Niagara Falls",135,63,7,119,4,328,491
"Niagara Falls/Niagara Falls"," 31","Niagara Falls",82,46,11,66,3,208,358
"Niagara Falls/Niagara Falls"," 32","Niagara Falls",101,36,13,95,1,246,395
"Niagara Falls/Niagara Falls"," 33","Niagara Falls",106,65,10,113,2,296,447
"Niagara Falls/Niagara Falls"," 34","Niagara Falls",99,37,12,100,0,248,378
"Niagara Falls/Niagara Falls"," 35","Niagara Falls",100,41,10,98,0,249,396
"Niagara Falls/Niagara Falls"," 36","Niagara Falls",69,41,3,60,1,174,318
"Niagara Falls/Niagara Falls"," 37","Niagara Falls",84,16,3,103,0,206,342
"Niagara Falls/Niagara Falls"," 38","Niagara Falls",121,33,12,141,2,309,502
"Niagara Falls/Niagara Falls"," 39","Niagara Falls",144,50,9,101,0,304,520
"Niagara Falls/Niagara Falls"," 40","Niagara Falls",91,52,3,64,0,210,389
"Niagara Falls/Niagara Falls"," 41","Niagara Falls",74,58,11,78,0,221,347
"Niagara Falls/Niagara Falls"," 42","Niagara Falls",106,40,5,84,0,235,372
"Niagara Falls/Niagara Falls"," 43","Niagara Falls",66,46,4,76,0,192,330
"Niagara Falls/Niagara Falls"," 44","Niagara Falls",67,43,7,72,0,189,302
"Niagara Falls/Niagara Falls"," 45","Niagara Falls",103,50,7,100,0,260,458
"Niagara Falls/Niagara Falls"," 46A","Niagara Falls",70,18,7,110,0,205,383
"Niagara Falls/Niagara Falls"," 46B","Niagara Falls",63,33,3,82,0,181,318
"Niagara Falls/Niagara Falls"," 47","Niagara Falls",106,43,8,123,0,280,475
"Niagara Falls/Niagara Falls"," 48","Niagara Falls",125,58,11,128,2,324,528
"Niagara Falls/Niagara Falls"," 49","Niagara Falls",90,61,6,88,0,245,399
"Niagara Falls/Niagara Falls"," 50","Niagara Falls",73,65,18,109,1,266,429
"Niagara Falls/Niagara Falls"," 51","Niagara Falls",84,72,13,110,2,281,503
"Niagara Falls/Niagara Falls"," 52","Niagara Falls",31,45,8,47,0,131,277
"Niagara Falls/Niagara Falls"," 53","Niagara Falls",72,64,9,73,3,221,375
"Niagara Falls/Niagara Falls"," 54","Niagara Falls",88,49,13,87,2,239,433
"Niagara Falls/Niagara Falls"," 55","Niagara Falls",128,45,9,121,1,304,465
"Niagara Falls/Niagara Falls"," 56","Niagara Falls",69,48,11,73,2,203,314
"Niagara Falls/Niagara Falls"," 57","Niagara Falls",98,44,7,120,2,271,417
"Niagara Falls/Niagara Falls"," 58","Niagara Falls",87,43,12,72,1,215,325
"Niagara Falls/Niagara Falls"," 59","Niagara Falls",48,16,4,31,0,99,191
"Niagara Falls/Niagara Falls"," 60","Niagara Falls",70,27,6,84,2,189,293
"Niagara Falls/Niagara Falls"," 61","Niagara Falls",82,51,14,99,1,247,458
"Niagara Falls/Niagara Falls"," 62","Niagara Falls",64,63,8,84,1,220,430
"Niagara Falls/Niagara Falls"," 63","Niagara Falls",71,43,4,76,1,195,367
"Niagara Falls/Niagara Falls"," 64A","Niagara Falls",92,46,7,72,2,219,337
"Niagara Falls/Niagara Falls"," 64B","Mobile poll/Bureau itinérant",51,16,2,51,2,122,126
"Niagara Falls/Niagara Falls"," 65","Niagara Falls",35,34,7,43,3,122,253
"Niagara Falls/Niagara Falls"," 66","Niagara Falls",67,35,8,63,1,174,377
"Niagara Falls/Niagara Falls"," 67A","Niagara Falls",94,73,9,124,1,301,516
"Niagara Falls/Niagara Falls"," 67B","Niagara Falls",58,44,6,90,0,198,391
"Niagara Falls/Niagara Falls"," 67C","Mobile poll/Bureau itinérant",16,6,2,14,0,38,91
"Niagara Falls/Niagara Falls"," 68A","Niagara Falls",84,48,4,91,0,227,397
"Niagara Falls/Niagara Falls"," 68B","Niagara Falls",98,36,5,54,5,198,388
"Niagara Falls/Niagara Falls"," 69","Niagara Falls",82,59,15,83,0,239,439
"Niagara Falls/Niagara Falls"," 70","Niagara Falls",69,32,6,108,1,216,416
"Niagara Falls/Niagara Falls"," 71","Niagara Falls",82,63,5,61,0,211,399
"Niagara Falls/Niagara Falls"," 72","Niagara Falls",102,83,12,117,2,316,551
"Niagara Falls/Niagara Falls"," 73A","Niagara Falls",80,45,7,102,3,237,455
"Niagara Falls/Niagara Falls"," 73B","Niagara Falls",80,50,6,106,1,243,453
"Niagara Falls/Niagara Falls"," 74","Niagara Falls",65,37,9,56,4,171,282
"Niagara Falls/Niagara Falls"," 75","Niagara Falls",107,65,8,102,3,285,525
"Niagara Falls/Niagara Falls"," 76","Niagara Falls",93,19,5,84,1,202,300
"Niagara Falls/Niagara Falls"," 77","Niagara Falls",94,49,5,79,1,228,387
"Niagara Falls/Niagara Falls"," 78","Niagara Falls",82,48,7,78,2,217,364
"Niagara Falls/Niagara Falls"," 79","Niagara Falls",90,30,13,70,2,205,317
"Niagara Falls/Niagara Falls"," 80","Niagara Falls",69,78,7,46,1,201,299
"Niagara Falls/Niagara Falls"," 81","Niagara Falls",89,66,7,64,1,227,377
"Niagara Falls/Niagara Falls"," 82","Niagara Falls",123,38,11,98,2,272,437
"Niagara Falls/Niagara Falls"," 83A","Niagara Falls",76,54,15,69,1,215,386
"Niagara Falls/Niagara Falls"," 83B","Mobile poll/Bureau itinérant",Merged with No. 168B/Fusionné avec le nº 168B,,,,,,46
"Niagara Falls/Niagara Falls"," 84","Niagara Falls",74,44,3,85,1,207,371
"Niagara Falls/Niagara Falls"," 85","Niagara Falls",78,61,6,92,1,238,369
"Niagara Falls/Niagara Falls"," 86","Niagara Falls",130,53,10,78,0,271,448
"Niagara Falls/Niagara Falls"," 87","Niagara Falls",97,51,3,65,1,217,406
"Niagara Falls/Niagara Falls"," 88","Niagara Falls",79,36,10,42,0,167,344
"Niagara Falls/Niagara Falls"," 89","Niagara Falls",63,40,4,43,1,151,347
"Niagara Falls/Niagara Falls"," 90","Niagara Falls",42,39,11,55,0,147,344
"Niagara Falls/Niagara Falls"," 91","Niagara Falls",99,48,9,86,0,242,450
"Niagara Falls/Niagara Falls"," 92","Niagara Falls",94,63,10,104,2,273,466
"Niagara Falls/Niagara Falls"," 93","Niagara Falls",60,65,8,77,0,210,348
"Niagara Falls/Niagara Falls"," 94","Niagara Falls",57,51,3,67,0,178,311
"Niagara Falls/Niagara Falls"," 95","Niagara Falls",46,38,5,62,0,151,247
"Niagara Falls/Niagara Falls"," 96","Niagara Falls",89,40,6,67,3,205,338
"Niagara Falls/Niagara Falls"," 97","Niagara Falls",90,76,21,88,4,279,469
"Niagara Falls/Niagara Falls"," 98","Niagara Falls",75,53,17,59,1,205,435
"Niagara Falls/Niagara Falls"," 99","Niagara Falls",76,59,6,54,1,196,364
"Niagara Falls/Niagara Falls"," 100","Niagara Falls",75,62,6,72,0,215,342
"Niagara Falls/Niagara Falls"," 101","Niagara Falls",87,35,8,90,0,220,395
"Niagara Falls/Niagara Falls"," 102","Niagara Falls",92,54,2,77,1,226,404
"Niagara Falls/Niagara Falls"," 103","Niagara Falls",49,28,4,48,1,130,230
"Niagara Falls/Niagara Falls"," 104","Niagara Falls",50,86,18,76,1,231,402
"Niagara Falls/Niagara Falls"," 105","Niagara Falls",55,54,17,53,1,180,358
"Niagara Falls/Niagara Falls"," 106","Niagara Falls",56,48,8,47,1,160,266
"Niagara Falls/Niagara Falls"," 107","Niagara Falls",75,77,8,73,0,233,451
"Niagara Falls/Niagara Falls"," 108","Niagara Falls",74,70,11,71,0,226,414
"Niagara Falls/Niagara Falls"," 109","Niagara Falls",75,75,10,61,2,223,453
"Niagara Falls/Niagara Falls"," 110","Niagara Falls",67,23,8,40,3,141,303
"Niagara Falls/Niagara Falls"," 111","Niagara Falls",62,57,5,34,2,160,286
"Niagara Falls/Niagara Falls"," 112","Niagara Falls",69,84,8,75,4,240,516
"Niagara Falls/Niagara Falls"," 113","Niagara Falls",71,47,12,49,0,179,343
"Niagara Falls/Niagara Falls"," 114","Niagara Falls",86,81,12,93,0,272,499
"Niagara Falls/Niagara Falls"," 115","Niagara Falls",56,58,7,47,1,169,391
"Niagara Falls/Niagara Falls"," 116","Niagara Falls",101,71,11,87,1,271,464
"Niagara Falls/Niagara Falls"," 117","Niagara Falls",74,68,8,46,0,196,376
"Niagara Falls/Niagara Falls"," 118","Niagara Falls",63,71,8,41,0,183,399
"Niagara Falls/Niagara Falls"," 119","Niagara Falls",36,42,0,51,0,129,313
"Niagara Falls/Niagara Falls"," 120","Niagara Falls",58,36,11,47,0,152,406
"Niagara Falls/Niagara Falls"," 121","Niagara Falls",30,41,7,33,1,112,361
"Niagara Falls/Niagara Falls"," 122","Niagara Falls",55,48,7,57,0,167,334
"Niagara Falls/Niagara Falls"," 123","Niagara Falls",62,57,17,60,0,196,400
"Niagara Falls/Niagara Falls"," 124","Niagara Falls",63,78,6,48,5,200,424
"Niagara Falls/Niagara Falls"," 125","Niagara Falls",75,57,5,58,0,195,340
"Niagara Falls/Niagara Falls"," 126","Niagara Falls",57,45,5,56,0,163,326
"Niagara Falls/Niagara Falls"," 127","Niagara Falls",70,58,18,61,4,211,405
"Niagara Falls/Niagara Falls"," 128","Niagara Falls",43,46,7,49,1,146,312
"Niagara Falls/Niagara Falls"," 129","Niagara Falls",51,29,6,41,0,127,354
"Niagara Falls/Niagara Falls"," 130","Niagara Falls",64,29,4,54,0,151,354
"Niagara Falls/Niagara Falls"," 131","Niagara Falls",64,58,4,65,0,191,312
"Niagara Falls/Niagara Falls"," 132","Niagara Falls",86,53,5,69,1,214,382
"Niagara Falls/Niagara Falls"," 133","Niagara Falls",63,54,4,43,0,164,328
"Niagara Falls/Niagara Falls"," 134","Niagara Falls",48,28,8,44,1,129,282
"Niagara Falls/Niagara Falls"," 135","Niagara Falls",34,46,6,33,2,121,303
"Niagara Falls/Niagara Falls"," 136","Niagara Falls",44,39,8,52,1,144,376
"Niagara Falls/Niagara Falls"," 137","Niagara Falls",55,24,5,32,0,116,240
"Niagara Falls/Niagara Falls"," 138","Niagara Falls",59,25,5,36,0,125,334
"Niagara Falls/Niagara Falls"," 139A","Niagara Falls",104,82,9,88,3,286,465
"Niagara Falls/Niagara Falls"," 139B","Mobile poll/Bureau itinérant",Merged with No. 67C/Fusionné avec le nº 67C,,,,,,52
"Niagara Falls/Niagara Falls"," 140","Niagara Falls",66,51,7,57,0,181,302
"Niagara Falls/Niagara Falls"," 141","Niagara Falls",100,58,5,124,3,290,469
"Niagara Falls/Niagara Falls"," 142","Niagara Falls",42,54,5,61,0,162,301
"Niagara Falls/Niagara Falls"," 143","Niagara Falls",83,51,5,61,1,201,389
"Niagara Falls/Niagara Falls"," 144","Niagara Falls",67,75,10,87,0,239,411
"Niagara Falls/Niagara Falls"," 145","Niagara Falls",59,58,5,89,3,214,429
"Niagara Falls/Niagara Falls"," 146","Niagara Falls",64,50,10,55,0,179,368
"Niagara Falls/Niagara Falls"," 147","Niagara Falls",69,33,6,61,0,169,363
"Niagara Falls/Niagara Falls"," 148A","Niagara Falls",107,82,15,126,0,330,608
"Niagara Falls/Niagara Falls"," 148B","Mobile poll/Bureau itinérant",53,30,4,39,5,131,137
"Niagara Falls/Niagara Falls"," 148C","Mobile poll/Bureau itinérant",Merged with No. 148B/Fusionné avec le nº 148B,,,,,,106
"Niagara Falls/Niagara Falls"," 149","Niagara Falls",38,26,2,24,1,91,184
"Niagara Falls/Niagara Falls"," 150","Niagara Falls",47,46,12,54,2,161,335
"Niagara Falls/Niagara Falls"," 151","Niagara Falls",67,92,9,65,1,234,423
"Niagara Falls/Niagara Falls"," 152","Niagara Falls",63,70,8,67,0,208,346
"Niagara Falls/Niagara Falls"," 153","Niagara Falls",50,52,3,46,1,152,288
"Niagara Falls/Niagara Falls"," 154","Niagara Falls",48,65,6,50,4,173,371
"Niagara Falls/Niagara Falls"," 155","Niagara Falls",72,57,5,78,4,216,339
"Niagara Falls/Niagara Falls"," 156","Niagara Falls",52,52,13,39,0,156,310
"Niagara Falls/Niagara Falls"," 157","Niagara Falls",84,80,5,91,0,260,494
"Niagara Falls/Niagara Falls"," 158","Niagara Falls",77,69,7,46,1,200,348
"Niagara Falls/Niagara Falls"," 159","Niagara Falls",98,52,6,63,2,221,342
"Niagara Falls/Niagara Falls"," 160","Niagara Falls",78,44,13,77,1,213,356
"Niagara Falls/Niagara Falls"," 161","Niagara Falls",41,65,12,44,1,163,337
"Niagara Falls/Niagara Falls"," 162","Niagara Falls",51,45,4,72,1,173,335
"Niagara Falls/Niagara Falls"," 163","Niagara Falls",79,66,14,79,2,240,425
"Niagara Falls/Niagara Falls"," 164","Niagara Falls",97,49,6,97,0,249,418
"Niagara Falls/Niagara Falls"," 165","Niagara Falls",102,58,11,113,2,286,417
"Niagara Falls/Niagara Falls"," 166","Niagara Falls",91,59,6,104,0,260,406
"Niagara Falls/Niagara Falls"," 167","Niagara Falls",41,56,10,66,0,173,329
"Niagara Falls/Niagara Falls"," 168A","Niagara Falls",44,50,6,63,0,163,362
"Niagara Falls/Niagara Falls"," 168B","Mobile poll/Bureau itinérant",45,11,2,34,2,94,114
"Niagara Falls/Niagara Falls"," 169","Niagara Falls",62,52,12,57,0,183,357
"Niagara Falls/Niagara Falls"," 170","Niagara Falls",53,55,13,63,2,186,304
"Niagara Falls/Niagara Falls"," 171","Niagara Falls",66,38,10,86,1,201,393
"Niagara Falls/Niagara Falls"," 172","Niagara Falls",60,59,7,76,2,204,351
"Niagara Falls/Niagara Falls"," 173","Niagara Falls",55,22,7,64,2,150,225
"Niagara Falls/Niagara Falls"," 174","Niagara Falls",57,46,9,92,0,204,320
"Niagara Falls/Niagara Falls"," 175","Niagara Falls",38,53,10,92,1,194,355
"Niagara Falls/Niagara Falls"," 176","Niagara Falls",61,63,11,110,0,245,493
"Niagara Falls/Niagara Falls"," 177","Niagara Falls",107,47,18,146,0,318,570
"Niagara Falls/Niagara Falls"," 178","Fort Erie",53,54,15,155,0,277,450
"Niagara Falls/Niagara Falls"," 179A","Fort Erie",67,47,7,95,1,217,348
"Niagara Falls/Niagara Falls"," 179B","Fort Erie",38,48,7,110,2,205,326
"Niagara Falls/Niagara Falls"," 180","Fort Erie",77,74,18,187,0,356,571
"Niagara Falls/Niagara Falls"," 181","Fort Erie",44,56,8,123,1,232,362
"Niagara Falls/Niagara Falls"," 182","Fort Erie",55,41,18,118,0,232,383
"Niagara Falls/Niagara Falls"," 183","Fort Erie",63,44,8,113,1,229,432
"Niagara Falls/Niagara Falls"," 184","Fort Erie",25,22,1,35,0,83,199
"Niagara Falls/Niagara Falls"," 185","Fort Erie",52,56,15,90,0,213,469
"Niagara Falls/Niagara Falls"," 186","Fort Erie",66,56,9,111,1,243,464
"Niagara Falls/Niagara Falls"," 187","Fort Erie",36,28,9,73,2,148,294
"Niagara Falls/Niagara Falls"," 188","Fort Erie",52,32,11,47,1,143,324
"Niagara Falls/Niagara Falls"," 189","Fort Erie",24,34,8,43,0,109,257
"Niagara Falls/Niagara Falls"," 190","Fort Erie",32,73,10,69,0,184,378
"Niagara Falls/Niagara Falls"," 191","Fort Erie",74,49,12,68,0,203,466
"Niagara Falls/Niagara Falls"," 192","Fort Erie",61,68,7,59,2,197,423
"Niagara Falls/Niagara Falls"," 193","Fort Erie",72,41,12,113,0,238,438
"Niagara Falls/Niagara Falls"," 194","Fort Erie",65,33,13,102,1,214,383
"Niagara Falls/Niagara Falls"," 195","Fort Erie",94,54,15,94,3,260,501
"Niagara Falls/Niagara Falls"," 196","Fort Erie",72,51,11,113,1,248,509
"Niagara Falls/Niagara Falls"," 197","Fort Erie",72,71,15,109,0,267,514
"Niagara Falls/Niagara Falls"," 198","Fort Erie",53,24,8,82,0,167,379
"Niagara Falls/Niagara Falls"," 199A","Fort Erie",58,53,5,84,0,200,413
"Niagara Falls/Niagara Falls"," 199B","Fort Erie",53,40,11,62,0,166,367
"Niagara Falls/Niagara Falls"," 200","Fort Erie",64,51,10,117,1,243,441
"Niagara Falls/Niagara Falls"," 201","Fort Erie",58,55,8,75,1,197,354
"Niagara Falls/Niagara Falls"," 202","Fort Erie",44,53,19,65,2,183,337
"Niagara Falls/Niagara Falls"," 203","Fort Erie",50,29,10,65,0,154,311
"Niagara Falls/Niagara Falls"," 204","Fort Erie",53,17,4,38,0,112,275
"Niagara Falls/Niagara Falls"," 205","Fort Erie",37,41,5,65,1,149,307
"Niagara Falls/Niagara Falls"," 206","Fort Erie",48,43,13,68,2,174,358
"Niagara Falls/Niagara Falls"," 207","Fort Erie",77,46,4,53,0,180,352
"Niagara Falls/Niagara Falls"," 208","Fort Erie",49,54,7,65,2,177,397
"Niagara Falls/Niagara Falls"," 209","Fort Erie",55,28,8,52,1,144,308
"Niagara Falls/Niagara Falls"," 210","Fort Erie",68,54,8,69,1,200,359
"Niagara Falls/Niagara Falls"," 211","Fort Erie",70,50,9,71,0,200,375
"Niagara Falls/Niagara Falls"," 212","Fort Erie",47,38,13,78,0,176,379
"Niagara Falls/Niagara Falls"," 213A","Fort Erie",59,41,9,55,2,166,316
"Niagara Falls/Niagara Falls"," 213B","Mobile poll/Bureau itinérant",Merged with No. 213D/Fusionné avec le nº 213D,,,,,,14
"Niagara Falls/Niagara Falls"," 213C","Mobile poll/Bureau itinérant",Merged with No. 213D/Fusionné avec le nº 213D,,,,,,56
"Niagara Falls/Niagara Falls"," 213D","Mobile poll/Bureau itinérant",16,18,6,23,2,65,72
"Niagara Falls/Niagara Falls"," 214","Fort Erie",55,47,13,101,2,218,451
"Niagara Falls/Niagara Falls"," 215","Fort Erie",54,40,13,95,1,203,358
"Niagara Falls/Niagara Falls"," 216","Fort Erie",63,31,2,76,1,173,360
"Niagara Falls/Niagara Falls"," 217","Fort Erie",81,63,13,89,0,246,408
"Niagara Falls/Niagara Falls"," 218","Fort Erie",81,33,10,100,0,224,401
"Niagara Falls/Niagara Falls"," 219","Fort Erie",57,59,9,110,0,235,473
"Niagara Falls/Niagara Falls"," 220","Fort Erie",50,59,11,68,2,190,426
"Niagara Falls/Niagara Falls"," 221","Fort Erie",62,40,11,94,0,207,421
"Niagara Falls/Niagara Falls"," 222","Fort Erie",66,33,6,93,0,198,414
"Niagara Falls/Niagara Falls"," 223","Fort Erie",105,51,10,118,0,284,596
"Niagara Falls/Niagara Falls"," 224A","Fort Erie",52,20,11,72,0,155,352
"Niagara Falls/Niagara Falls"," 224B","Fort Erie",42,20,9,88,1,160,330
"Niagara Falls/Niagara Falls"," 225","Fort Erie",69,67,8,105,0,249,536
"Niagara Falls/Niagara Falls"," 400","Fort Erie",89,60,4,111,3,267,461
"Niagara Falls/Niagara Falls"," 500","Mobile poll/Bureau itinérant",21,10,1,27,0,59,115
"Niagara Falls/Niagara Falls"," 501","Mobile poll/Bureau itinérant",16,9,2,14,1,42,119
"Niagara Falls/Niagara Falls"," 600","Niagara-on-the-Lake",456,74,38,637,1,1206,
"Niagara Falls/Niagara Falls"," 601","Niagara Falls",195,62,21,251,1,530,
"Niagara Falls/Niagara Falls"," 602","Niagara Falls",198,78,13,299,1,589,
"Niagara Falls/Niagara Falls"," 603","Niagara Falls",224,88,12,249,4,577,
"Niagara Falls/Niagara Falls"," 604","Niagara Falls",167,87,19,219,0,492,
"Niagara Falls/Niagara Falls"," 605","Niagara Falls",149,112,23,158,0,442,
"Niagara Falls/Niagara Falls"," 606","Niagara Falls",128,90,11,214,3,446,
"Niagara Falls/Niagara Falls"," 607","Niagara Falls",58,37,3,109,1,208,
"Niagara Falls/Niagara Falls"," 608","Niagara Falls",29,31,10,119,0,189,
"Niagara Falls/Niagara Falls"," 609","Fort Erie",191,127,27,380,1,726,
"Niagara Falls/Niagara Falls"," 610","Fort Erie",182,73,20,288,0,563,
"Niagara Falls/Niagara Falls",,Group 1/Groupe 1,54,15,12,48,2,131,270
"Niagara Falls/Niagara Falls",,Group 2/Groupe 2,554,157,39,756,23,1529,
