Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Gus Gutoski,Jason Kenney,Eric Leavitt,James Ludwar,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Calgary Southeast/Calgary-Sud-Est"," 101","Calgary",12,265,18,43,0,338,496
"Calgary Southeast/Calgary-Sud-Est"," 102","Calgary",6,163,7,18,0,194,325
"Calgary Southeast/Calgary-Sud-Est"," 103","Calgary",9,192,15,32,0,248,375
"Calgary Southeast/Calgary-Sud-Est"," 104","Calgary",16,290,26,28,0,360,557
"Calgary Southeast/Calgary-Sud-Est"," 105","Calgary",12,215,12,31,0,270,472
"Calgary Southeast/Calgary-Sud-Est"," 106","Calgary",18,208,17,25,0,268,436
"Calgary Southeast/Calgary-Sud-Est"," 107","Calgary",9,200,9,21,1,240,408
"Calgary Southeast/Calgary-Sud-Est"," 108","Calgary",10,245,20,40,0,315,562
"Calgary Southeast/Calgary-Sud-Est"," 109","Calgary",7,187,13,33,0,240,381
"Calgary Southeast/Calgary-Sud-Est"," 110","Calgary",9,159,12,22,0,202,391
"Calgary Southeast/Calgary-Sud-Est"," 111","Calgary",6,181,12,24,0,223,359
"Calgary Southeast/Calgary-Sud-Est"," 112","Calgary",12,222,29,34,0,297,550
"Calgary Southeast/Calgary-Sud-Est"," 113","Calgary",9,189,10,21,0,229,361
"Calgary Southeast/Calgary-Sud-Est"," 114","Calgary",9,215,11,22,0,257,456
"Calgary Southeast/Calgary-Sud-Est"," 115","Calgary",12,132,13,24,1,182,364
"Calgary Southeast/Calgary-Sud-Est"," 116","Calgary",7,186,3,25,2,223,363
"Calgary Southeast/Calgary-Sud-Est"," 117","Calgary",6,88,6,16,0,116,243
"Calgary Southeast/Calgary-Sud-Est"," 118","Calgary",19,182,11,30,1,243,399
"Calgary Southeast/Calgary-Sud-Est"," 119A","Calgary",13,136,13,24,0,186,353
"Calgary Southeast/Calgary-Sud-Est"," 119B","Calgary",12,137,19,26,0,194,382
"Calgary Southeast/Calgary-Sud-Est"," 120","Calgary",16,132,20,18,2,188,303
"Calgary Southeast/Calgary-Sud-Est"," 121","Calgary",7,113,15,21,0,156,407
"Calgary Southeast/Calgary-Sud-Est"," 122","Calgary",11,133,30,15,0,189,319
"Calgary Southeast/Calgary-Sud-Est"," 123","Calgary",12,116,9,15,1,153,283
"Calgary Southeast/Calgary-Sud-Est"," 124","Calgary",19,136,28,34,0,217,401
"Calgary Southeast/Calgary-Sud-Est"," 125","Calgary",17,141,16,16,2,192,329
"Calgary Southeast/Calgary-Sud-Est"," 126","Calgary",21,164,31,25,0,241,416
"Calgary Southeast/Calgary-Sud-Est"," 127A","Calgary",23,184,21,14,0,242,469
"Calgary Southeast/Calgary-Sud-Est"," 127B","Mobile poll/Bureau itinérant",Merged with No. 501A/Fusionné avec le nº 501A,,,,,,57
"Calgary Southeast/Calgary-Sud-Est"," 128","Calgary",16,206,10,28,1,261,400
"Calgary Southeast/Calgary-Sud-Est"," 129","Calgary",22,206,36,23,0,287,457
"Calgary Southeast/Calgary-Sud-Est"," 130","Calgary",8,90,13,14,0,125,196
"Calgary Southeast/Calgary-Sud-Est"," 131","Calgary",37,238,21,28,0,324,488
"Calgary Southeast/Calgary-Sud-Est"," 132","Calgary",15,150,17,14,0,196,292
"Calgary Southeast/Calgary-Sud-Est"," 133","Calgary",12,102,15,13,0,142,264
"Calgary Southeast/Calgary-Sud-Est"," 134","Calgary",16,218,19,26,0,279,443
"Calgary Southeast/Calgary-Sud-Est"," 135","Calgary",12,155,18,13,0,198,330
"Calgary Southeast/Calgary-Sud-Est"," 136","Calgary",15,171,16,18,1,221,341
"Calgary Southeast/Calgary-Sud-Est"," 137","Calgary",14,203,21,18,0,256,366
"Calgary Southeast/Calgary-Sud-Est"," 138","Calgary",19,153,12,35,0,219,326
"Calgary Southeast/Calgary-Sud-Est"," 139","Calgary",26,219,8,48,0,301,423
"Calgary Southeast/Calgary-Sud-Est"," 140","Calgary",40,195,44,26,0,305,457
"Calgary Southeast/Calgary-Sud-Est"," 141","Calgary",32,271,34,27,0,364,546
"Calgary Southeast/Calgary-Sud-Est"," 142","Calgary",24,190,14,24,0,252,393
"Calgary Southeast/Calgary-Sud-Est"," 143","Calgary",33,145,32,40,0,250,371
"Calgary Southeast/Calgary-Sud-Est"," 144","Calgary",28,185,27,29,0,269,406
"Calgary Southeast/Calgary-Sud-Est"," 145","Calgary",29,208,29,30,0,296,455
"Calgary Southeast/Calgary-Sud-Est"," 146","Calgary",17,139,19,14,0,189,343
"Calgary Southeast/Calgary-Sud-Est"," 147","Calgary",27,232,39,33,0,331,530
"Calgary Southeast/Calgary-Sud-Est"," 148","Calgary",23,196,24,30,0,273,440
"Calgary Southeast/Calgary-Sud-Est"," 149","Calgary",26,228,15,24,1,294,466
"Calgary Southeast/Calgary-Sud-Est"," 150","Calgary",25,240,18,26,0,309,467
"Calgary Southeast/Calgary-Sud-Est"," 151A","Calgary",7,90,11,26,0,134,303
"Calgary Southeast/Calgary-Sud-Est"," 151B","Calgary",13,117,17,15,0,162,315
"Calgary Southeast/Calgary-Sud-Est"," 152","Calgary",23,217,9,23,0,272,465
"Calgary Southeast/Calgary-Sud-Est"," 153A","Calgary",6,70,8,4,0,88,158
"Calgary Southeast/Calgary-Sud-Est"," 153B","Mobile poll/Bureau itinérant",Merged with No. 501A/Fusionné avec le nº 501A,,,,,,112
"Calgary Southeast/Calgary-Sud-Est"," 154","Calgary",13,109,17,14,1,154,244
"Calgary Southeast/Calgary-Sud-Est"," 155","Calgary",16,205,24,25,0,270,406
"Calgary Southeast/Calgary-Sud-Est"," 156","Calgary",13,213,14,24,1,265,397
"Calgary Southeast/Calgary-Sud-Est"," 157","Calgary",23,220,17,26,1,287,459
"Calgary Southeast/Calgary-Sud-Est"," 158","Calgary",12,222,15,22,0,271,425
"Calgary Southeast/Calgary-Sud-Est"," 159","Calgary",18,210,19,22,0,269,386
"Calgary Southeast/Calgary-Sud-Est"," 160","Calgary",10,262,15,25,1,313,529
"Calgary Southeast/Calgary-Sud-Est"," 161","Calgary",11,149,10,15,0,185,335
"Calgary Southeast/Calgary-Sud-Est"," 162","Calgary",12,150,9,31,2,204,391
"Calgary Southeast/Calgary-Sud-Est"," 163","Calgary",12,201,12,19,1,245,410
"Calgary Southeast/Calgary-Sud-Est"," 164","Calgary",17,155,25,17,0,214,353
"Calgary Southeast/Calgary-Sud-Est"," 165","Calgary",9,232,22,20,0,283,441
"Calgary Southeast/Calgary-Sud-Est"," 166","Calgary",20,187,17,16,0,240,376
"Calgary Southeast/Calgary-Sud-Est"," 167A","Calgary",8,124,18,15,0,165,258
"Calgary Southeast/Calgary-Sud-Est"," 167B","Calgary",14,158,9,20,0,201,308
"Calgary Southeast/Calgary-Sud-Est"," 168","Calgary",13,244,12,24,1,294,414
"Calgary Southeast/Calgary-Sud-Est"," 169","Calgary",11,280,20,35,1,347,509
"Calgary Southeast/Calgary-Sud-Est"," 170","Calgary",22,229,15,30,1,297,484
"Calgary Southeast/Calgary-Sud-Est"," 171A","Calgary",12,162,15,20,0,209,358
"Calgary Southeast/Calgary-Sud-Est"," 171B","Calgary",10,180,12,24,0,226,398
"Calgary Southeast/Calgary-Sud-Est"," 172A","Calgary",4,234,5,33,0,276,402
"Calgary Southeast/Calgary-Sud-Est"," 172B","Calgary",4,215,20,22,0,261,376
"Calgary Southeast/Calgary-Sud-Est"," 173A","Calgary",9,244,19,30,1,303,491
"Calgary Southeast/Calgary-Sud-Est"," 173B","Calgary",15,224,16,26,2,283,454
"Calgary Southeast/Calgary-Sud-Est"," 173C","Calgary",21,232,17,30,0,300,470
"Calgary Southeast/Calgary-Sud-Est"," 174","Calgary",24,241,21,26,0,312,585
"Calgary Southeast/Calgary-Sud-Est"," 175","Calgary",19,248,5,24,0,296,476
"Calgary Southeast/Calgary-Sud-Est"," 176","Calgary",22,301,15,39,0,377,583
"Calgary Southeast/Calgary-Sud-Est"," 177","Calgary",13,223,27,22,0,285,508
"Calgary Southeast/Calgary-Sud-Est"," 178","Calgary",15,166,4,25,0,210,376
"Calgary Southeast/Calgary-Sud-Est"," 179","Calgary",8,88,7,9,0,112,186
"Calgary Southeast/Calgary-Sud-Est"," 180","Calgary",10,189,17,22,0,238,413
"Calgary Southeast/Calgary-Sud-Est"," 181","Calgary",12,162,10,22,1,207,329
"Calgary Southeast/Calgary-Sud-Est"," 182","Calgary",10,199,7,34,0,250,399
"Calgary Southeast/Calgary-Sud-Est"," 183","Calgary",5,219,13,26,0,263,400
"Calgary Southeast/Calgary-Sud-Est"," 184","Calgary",19,150,10,26,1,206,312
"Calgary Southeast/Calgary-Sud-Est"," 185","Calgary",20,223,17,51,0,311,558
"Calgary Southeast/Calgary-Sud-Est"," 186","Calgary",9,136,16,10,0,171,295
"Calgary Southeast/Calgary-Sud-Est"," 187","Calgary",12,129,21,11,0,173,297
"Calgary Southeast/Calgary-Sud-Est"," 188","Calgary",11,179,21,16,1,228,384
"Calgary Southeast/Calgary-Sud-Est"," 189","Calgary",9,213,11,31,1,265,414
"Calgary Southeast/Calgary-Sud-Est"," 190","Calgary",10,189,10,35,0,244,378
"Calgary Southeast/Calgary-Sud-Est"," 191","Calgary",17,176,26,21,0,240,460
"Calgary Southeast/Calgary-Sud-Est"," 192","Calgary",18,204,25,19,1,267,444
"Calgary Southeast/Calgary-Sud-Est"," 193","Calgary",31,340,22,56,0,449,853
"Calgary Southeast/Calgary-Sud-Est"," 193-1A","Calgary",7,171,20,23,0,221,442
"Calgary Southeast/Calgary-Sud-Est"," 193-1B","Calgary",9,234,22,22,0,287,487
"Calgary Southeast/Calgary-Sud-Est"," 193-2A","Calgary",19,213,12,40,0,284,472
"Calgary Southeast/Calgary-Sud-Est"," 193-2B","Calgary",16,184,16,32,0,248,406
"Calgary Southeast/Calgary-Sud-Est"," 193-2C","Calgary",17,198,14,20,0,249,477
"Calgary Southeast/Calgary-Sud-Est"," 194","Calgary",Merged with No. 195/Fusionné avec le nº 195,,,,,,23
"Calgary Southeast/Calgary-Sud-Est"," 194-1","Calgary",24,207,21,35,0,287,486
"Calgary Southeast/Calgary-Sud-Est"," 194-2A","Calgary",20,219,33,20,0,292,481
"Calgary Southeast/Calgary-Sud-Est"," 194-2B","Calgary",36,235,29,31,1,332,506
"Calgary Southeast/Calgary-Sud-Est"," 195","Calgary",13,123,15,35,0,186,372
"Calgary Southeast/Calgary-Sud-Est"," 195-1A","Calgary",22,142,27,26,0,217,371
"Calgary Southeast/Calgary-Sud-Est"," 195-1B","Calgary",22,148,19,25,0,214,386
"Calgary Southeast/Calgary-Sud-Est"," 195-1C","Calgary",12,152,27,26,1,218,376
"Calgary Southeast/Calgary-Sud-Est"," 195-2","Calgary",21,143,20,17,0,201,413
"Calgary Southeast/Calgary-Sud-Est"," 196","Calgary",20,249,23,27,0,319,566
"Calgary Southeast/Calgary-Sud-Est"," 197A","Calgary",17,211,35,28,0,291,509
"Calgary Southeast/Calgary-Sud-Est"," 197B","Calgary",21,218,37,26,0,302,496
"Calgary Southeast/Calgary-Sud-Est"," 197C","Calgary",20,208,22,25,0,275,478
"Calgary Southeast/Calgary-Sud-Est"," 198A","Calgary",25,255,23,31,1,335,522
"Calgary Southeast/Calgary-Sud-Est"," 198B","Calgary",15,165,18,16,0,214,425
"Calgary Southeast/Calgary-Sud-Est"," 198C","Mobile poll/Bureau itinérant",Merged with No. 501B/Fusionné avec le nº 501B,,,,,,146
"Calgary Southeast/Calgary-Sud-Est"," 199","Calgary",37,281,24,28,1,371,549
"Calgary Southeast/Calgary-Sud-Est"," 200A","Calgary",6,184,20,22,0,232,434
"Calgary Southeast/Calgary-Sud-Est"," 200B","Calgary",14,220,19,25,0,278,522
"Calgary Southeast/Calgary-Sud-Est"," 200C","Calgary",18,228,27,23,2,298,551
"Calgary Southeast/Calgary-Sud-Est"," 200D","Calgary",12,137,16,14,0,179,318
"Calgary Southeast/Calgary-Sud-Est"," 200E","Calgary",20,245,17,24,1,307,518
"Calgary Southeast/Calgary-Sud-Est"," 400","Calgary",9,75,19,14,0,117,316
"Calgary Southeast/Calgary-Sud-Est"," 500","Mobile poll/Bureau itinérant",2,123,15,28,0,168,200
"Calgary Southeast/Calgary-Sud-Est"," 501A","Mobile poll/Bureau itinérant",3,150,11,27,1,192,141
"Calgary Southeast/Calgary-Sud-Est"," 501B","Mobile poll/Bureau itinérant",6,205,18,40,0,269,48
"Calgary Southeast/Calgary-Sud-Est"," 600","Calgary",23,300,26,43,5,397,
"Calgary Southeast/Calgary-Sud-Est"," 601","Calgary",34,468,37,67,0,606,
"Calgary Southeast/Calgary-Sud-Est"," 602","Calgary",33,565,35,89,1,723,
"Calgary Southeast/Calgary-Sud-Est"," 603","Calgary",30,376,30,49,1,486,
"Calgary Southeast/Calgary-Sud-Est"," 604","Calgary",22,436,24,46,1,529,
"Calgary Southeast/Calgary-Sud-Est"," 605","Calgary",22,322,18,34,0,396,
"Calgary Southeast/Calgary-Sud-Est"," 606","Calgary",22,284,29,24,1,360,
"Calgary Southeast/Calgary-Sud-Est"," 607","Calgary",33,583,25,61,0,702,
"Calgary Southeast/Calgary-Sud-Est"," 608","Calgary",33,675,65,73,0,846,
"Calgary Southeast/Calgary-Sud-Est"," 609","Calgary",35,500,41,89,0,665,
"Calgary Southeast/Calgary-Sud-Est",,Group 1/Groupe 1,8,65,6,24,5,108,177
"Calgary Southeast/Calgary-Sud-Est",,Group 2/Groupe 2,67,1067,89,136,17,1376,
