Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jeff Brownridge,Gary Dale,Tim Dobson,Pedro Gonsalves,Chai Kalevar,Dan McTeague,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Pickering--Scarborough East/Pickering--Scarborough-Est"," 170A","Scarborough",16,17,44,1,2,98,0,178,283
"Pickering--Scarborough East/Pickering--Scarborough-Est"," 170B","Scarborough",7,20,50,0,0,104,0,181,290
"Pickering--Scarborough East/Pickering--Scarborough-Est"," 171","Scarborough",13,21,99,1,0,136,0,270,426
"Pickering--Scarborough East/Pickering--Scarborough-Est"," 400","Pickering",2,41,93,0,2,123,0,261,343
"Pickering--Scarborough East/Pickering--Scarborough-Est"," 401","Pickering",1,28,110,0,0,117,2,258,376
"Pickering--Scarborough East/Pickering--Scarborough-Est"," 402","Pickering",3,19,58,0,0,83,0,163,287
"Pickering--Scarborough East/Pickering--Scarborough-Est"," 403","Scarborough",3,38,63,0,0,76,1,181,329
"Pickering--Scarborough East/Pickering--Scarborough-Est"," 404","Scarborough",4,20,83,1,0,105,0,213,296
"Pickering--Scarborough East/Pickering--Scarborough-Est"," 405","Scarborough",8,23,72,1,0,87,1,192,291
"Pickering--Scarborough East/Pickering--Scarborough-Est"," 406","Scarborough",5,24,64,1,2,143,0,239,337
"Pickering--Scarborough East/Pickering--Scarborough-Est"," 600","Pickering",20,38,179,0,0,232,1,470,
"Pickering--Scarborough East/Pickering--Scarborough-Est"," 601","Pickering",15,64,237,1,0,299,2,618,
"Pickering--Scarborough East/Pickering--Scarborough-Est"," 602","Pickering",30,48,292,1,1,349,2,723,
"Pickering--Scarborough East/Pickering--Scarborough-Est"," 603","Pickering",30,65,407,1,1,545,3,1052,
"Pickering--Scarborough East/Pickering--Scarborough-Est"," 604","Toronto",6,43,118,0,1,285,0,453,
"Pickering--Scarborough East/Pickering--Scarborough-Est"," 605","Toronto",12,49,235,1,1,408,1,707,
"Pickering--Scarborough East/Pickering--Scarborough-Est"," 606","Toronto",37,111,550,0,3,653,3,1357,
"Pickering--Scarborough East/Pickering--Scarborough-Est",,Group 1/Groupe 1,4,5,24,2,1,30,3,69,135
"Pickering--Scarborough East/Pickering--Scarborough-Est",,Group 2/Groupe 2,14,65,283,0,2,439,16,819,
