Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Gary Anderson,Moe Kovatch,Tom Lukiwski,Bill Sorochan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 29","Marquis",21,20,75,9,0,125,217
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 30","Tuxford",29,41,124,10,1,205,324
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 31","Craven",72,62,125,19,0,278,416
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 32","Bethune Rural",87,16,70,2,0,175,239
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 33","Bethune",85,26,68,6,0,185,250
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 34","Regina Beach",63,49,123,13,0,248,415
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 35A","Regina Beach",50,33,106,11,1,201,281
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 35B","Regina Beach",39,36,65,8,0,148,268
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 36","Buena Vista",64,63,122,9,0,258,408
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 37","Disley",71,28,109,5,0,213,342
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 38","Craven Rural",38,22,91,12,0,163,307
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 39","Lumsden",65,53,102,10,0,230,350
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 40","Lumsden",81,59,87,9,1,237,423
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 41","Lumsden",78,80,90,14,0,262,444
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 42","Condie",106,66,167,9,0,348,558
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 43","Valleyview",33,12,100,3,0,148,196
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 44","Grand Coulee",52,50,103,10,0,215,307
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 45","Regina",76,98,95,9,0,278,501
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 46","Regina",63,68,112,5,1,249,401
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 47","Regina",63,78,73,6,3,223,358
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 48","Regina",84,60,143,14,0,301,472
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 49","Regina",74,70,150,9,0,303,453
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 50","Regina",98,73,135,5,1,312,494
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 51","Regina",48,52,62,6,0,168,315
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 52","Regina",57,81,74,7,0,219,382
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 53","Regina",62,63,63,7,0,195,354
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 54","Regina",65,58,76,6,0,205,373
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 55","Regina",75,66,86,8,1,236,405
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 56","Regina",68,72,92,14,0,246,476
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 57","Regina",45,49,58,6,0,158,306
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 58","Regina",45,84,83,6,0,218,370
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 59","Regina",47,92,68,5,0,212,346
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 60","Regina",60,96,89,10,1,256,449
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 61","Regina",54,99,64,9,0,226,400
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 62","Regina",72,76,99,5,1,253,392
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 63","Regina",52,108,97,6,0,263,489
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 64","Regina",54,45,60,3,0,162,292
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 65","Regina",64,87,78,13,0,242,404
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 66A","Regina",50,61,103,5,0,219,323
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 66B","Regina",46,54,82,4,0,186,280
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 67","Regina",88,84,131,5,0,308,458
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 68","Regina",83,60,95,7,0,245,373
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 69","Regina",77,63,83,8,0,231,370
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 70","Regina",66,83,96,4,0,249,395
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 71","Regina",47,67,85,11,0,210,385
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 72","Regina",73,75,115,6,2,271,394
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 73A","Regina",61,60,55,3,0,179,331
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 73B","Regina",49,45,54,5,0,153,289
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 74","Regina",26,37,44,1,0,108,225
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 75","Regina",58,38,91,5,0,192,299
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 76","Regina",39,66,69,4,0,178,302
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 77","Regina",65,96,69,8,0,238,348
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 78","Regina",68,61,79,3,0,211,329
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 79","Regina",94,101,130,6,1,332,501
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 80","Regina",84,112,71,6,0,273,443
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 81","Regina",41,57,59,8,0,165,342
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 82","Regina",30,99,62,7,1,199,346
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 83","Regina",62,72,81,11,0,226,365
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 84","Regina",52,96,76,8,0,232,376
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 85","Regina",61,78,75,8,0,222,371
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 86","Regina",62,102,64,13,0,241,370
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 87","Regina",65,71,54,5,0,195,348
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 88","Regina",43,67,48,8,0,166,256
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 89","Regina",43,72,37,6,1,159,292
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 90","Regina",65,81,58,10,0,214,405
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 91","Regina",75,40,104,5,0,224,347
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 92","Regina",126,31,94,3,0,254,381
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 93","Regina",87,55,114,9,1,266,452
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 93-1A","Regina",69,56,101,10,0,236,365
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 93-1B","Regina",59,42,84,3,0,188,333
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 94","Regina",84,76,117,5,0,282,463
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 95A","Regina",62,52,88,6,0,208,328
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 95B","Regina",53,49,89,9,0,200,313
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 96","Regina",57,82,74,8,0,221,396
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 97","Regina",101,81,134,12,0,328,485
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 98","Regina",76,98,100,7,1,282,446
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 99","Regina",91,88,111,4,1,295,437
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 100","Regina",80,101,119,9,1,310,490
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 101","Regina",74,63,115,9,0,261,457
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 102","Regina",58,79,69,8,1,215,368
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 103","Regina",80,83,107,5,1,276,404
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 104","Regina",67,67,88,4,0,226,342
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 105","Regina",51,81,68,9,0,209,314
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 106","Regina",58,70,88,5,0,221,447
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 107","Regina",75,83,86,5,1,250,357
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 108","Regina",59,56,68,6,0,189,283
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 109","Regina",53,85,62,4,2,206,298
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 110","Regina",54,106,82,7,0,249,395
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 111","Regina",43,40,57,2,0,142,226
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 112","Regina",61,65,45,6,0,177,415
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 113","Regina",80,108,73,8,0,269,429
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 114","Regina",31,75,65,5,0,176,277
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 115","Regina",39,76,58,7,0,180,320
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 116","Regina",48,92,51,4,1,196,350
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 117","Regina",38,72,42,1,0,153,350
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 118","Regina",64,85,88,11,1,249,394
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 119","Regina",73,84,75,7,2,241,382
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 120","Regina",46,61,90,5,0,202,384
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 121","Regina",63,73,56,1,0,193,332
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 122","Regina",50,39,53,4,1,147,357
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 123","Regina",57,116,63,7,0,243,453
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 124","Regina",30,35,45,3,0,113,198
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 125","Regina",83,120,102,14,1,320,489
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 126","Regina",53,96,62,7,0,218,385
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 127","Regina",45,67,48,10,1,171,303
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 128","Regina",47,46,49,5,2,149,298
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 129","Regina",41,63,35,9,0,148,279
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 130","Regina",37,73,65,11,0,186,333
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 131","Regina",41,79,46,5,0,171,333
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 132","Regina",61,97,54,5,1,218,408
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 133","Regina",63,65,34,8,2,172,365
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 134","Regina",49,70,31,3,5,158,236
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 135","Regina",39,62,68,13,1,183,376
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 136","Regina",55,58,56,4,0,173,332
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 600","Craik",11,14,48,1,0,74,
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 601","Liberty",7,11,34,0,0,52,
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 602","Strasbourg",39,33,120,3,1,196,
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 603","Marquis",14,9,59,0,0,82,
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 604","Lumsden",97,51,143,3,0,294,
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 605","Regina",125,127,197,14,1,464,
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 606","Regina",104,91,214,12,2,423,
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 607","Regina",124,119,256,7,0,506,
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 608","Regina",78,86,131,14,0,309,
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre",,Group 1/Groupe 1,26,10,20,3,5,64,123
"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre",,Group 2/Groupe 2,429,301,631,19,12,1392,
