Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Richard De Smet,Werner Gisler,Cory Ollikka,Peter Opryshko,Clarence Schultz,Brian Storseth,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Westlock--St. Paul/Westlock--St. Paul"," 97","Kikino",6,0,57,16,1,50,0,130,442
"Westlock--St. Paul/Westlock--St. Paul"," 98","Beaver Lake 131",Merged with No. 97/Fusionné avec le nº 97,,,,,,,,60
"Westlock--St. Paul/Westlock--St. Paul"," 99","Rich Lake",4,2,6,16,4,101,0,133,194
"Westlock--St. Paul/Westlock--St. Paul"," 100","Spedden",9,4,29,9,0,145,0,196,285
"Westlock--St. Paul/Westlock--St. Paul"," 101","Vilna",5,0,24,10,2,105,0,146,234
"Westlock--St. Paul/Westlock--St. Paul"," 102","Vilna",4,1,34,17,1,100,1,158,301
"Westlock--St. Paul/Westlock--St. Paul"," 103","Edwand",8,0,21,21,0,134,0,184,309
"Westlock--St. Paul/Westlock--St. Paul"," 104","Smoky Lake",9,1,42,20,3,113,0,188,301
"Westlock--St. Paul/Westlock--St. Paul"," 105","Smoky Lake",13,3,60,27,5,171,1,280,513
"Westlock--St. Paul/Westlock--St. Paul"," 106","Victoria Settlement",7,2,11,5,0,76,0,101,186
"Westlock--St. Paul/Westlock--St. Paul"," 107","Bellis",6,3,23,11,0,84,0,127,207
"Westlock--St. Paul/Westlock--St. Paul"," 108","Stry",11,0,26,11,0,66,0,114,169
"Westlock--St. Paul/Westlock--St. Paul"," 109","Saddle Lake 125",1,1,322,20,0,15,4,363,663
"Westlock--St. Paul/Westlock--St. Paul"," 110","Iron River",11,8,13,29,1,295,1,358,680
"Westlock--St. Paul/Westlock--St. Paul"," 111","Fort Kent",8,22,24,8,1,167,0,230,400
"Westlock--St. Paul/Westlock--St. Paul"," 112","Bonnyville No. 87",6,3,17,10,1,145,1,183,389
"Westlock--St. Paul/Westlock--St. Paul"," 113","Bonnyville No. 87",10,9,15,19,1,128,0,182,354
"Westlock--St. Paul/Westlock--St. Paul"," 114","Glendon",9,0,4,26,2,236,0,277,400
"Westlock--St. Paul/Westlock--St. Paul"," 115","Glendon",13,3,5,23,3,169,0,216,361
"Westlock--St. Paul/Westlock--St. Paul"," 116","St. Lina",5,3,28,19,2,193,0,250,398
"Westlock--St. Paul/Westlock--St. Paul"," 117A","White Fish Lake 128",1,1,121,7,0,11,0,141,451
"Westlock--St. Paul/Westlock--St. Paul"," 117B","White Fish Lake 128",3,0,131,5,0,10,2,151,394
"Westlock--St. Paul/Westlock--St. Paul"," 118","Mallaig",7,3,33,25,7,196,1,272,383
"Westlock--St. Paul/Westlock--St. Paul"," 119","St. Vincent",9,0,37,17,2,111,0,176,296
"Westlock--St. Paul/Westlock--St. Paul"," 120","Beacon Corner",1,4,19,13,1,129,0,167,248
"Westlock--St. Paul/Westlock--St. Paul"," 121","Hoselaw",5,2,8,8,0,103,0,126,211
"Westlock--St. Paul/Westlock--St. Paul"," 122","Bonnyville Beach",15,12,44,16,4,257,0,348,584
"Westlock--St. Paul/Westlock--St. Paul"," 123A","Bonnyville",10,5,34,21,2,102,1,175,385
"Westlock--St. Paul/Westlock--St. Paul"," 123B","Mobile poll/Bureau itinérant",Merged with No. 506/Fusionné avec le nº 506,,,,,,,,5
"Westlock--St. Paul/Westlock--St. Paul"," 124","Bonnyville",8,6,17,15,6,123,2,177,442
"Westlock--St. Paul/Westlock--St. Paul"," 125","Bonnyville",3,1,11,10,0,48,2,75,118
"Westlock--St. Paul/Westlock--St. Paul"," 126","Bonnyville",13,9,39,32,4,224,2,323,774
"Westlock--St. Paul/Westlock--St. Paul"," 127","Bonnyville",8,2,18,24,1,176,2,231,542
"Westlock--St. Paul/Westlock--St. Paul"," 128","Bonnyville",7,4,18,16,0,108,0,153,378
"Westlock--St. Paul/Westlock--St. Paul"," 129","Bonnyville",9,6,36,19,0,179,0,249,594
"Westlock--St. Paul/Westlock--St. Paul"," 130","Bonnyville",8,7,36,36,1,160,0,248,473
"Westlock--St. Paul/Westlock--St. Paul"," 131","Bonnyville",5,10,36,38,0,281,1,371,723
"Westlock--St. Paul/Westlock--St. Paul"," 132","Kehiwin 123",5,1,245,5,0,15,2,273,542
"Westlock--St. Paul/Westlock--St. Paul"," 133","Muriel Lake",3,30,32,16,0,224,1,306,540
"Westlock--St. Paul/Westlock--St. Paul"," 134","Happy Hollow",11,4,35,20,3,237,1,311,604
"Westlock--St. Paul/Westlock--St. Paul"," 135","Cold Lake",11,0,38,15,0,272,0,336,675
"Westlock--St. Paul/Westlock--St. Paul"," 136","Cold Lake",Merged with No. 137/Fusionné avec le nº 137,,,,,,,,2
"Westlock--St. Paul/Westlock--St. Paul"," 137","Cold Lake",9,2,29,35,0,258,1,334,642
"Westlock--St. Paul/Westlock--St. Paul"," 138","Cold Lake",17,0,25,26,1,198,1,268,549
"Westlock--St. Paul/Westlock--St. Paul"," 139","Cold Lake",9,0,36,34,0,165,0,244,594
"Westlock--St. Paul/Westlock--St. Paul"," 140","Cold Lake",5,3,13,14,0,85,0,120,257
"Westlock--St. Paul/Westlock--St. Paul"," 141","Cold Lake",4,0,13,12,0,84,3,116,216
"Westlock--St. Paul/Westlock--St. Paul"," 142","Cold Lake",11,3,32,46,3,247,1,343,712
"Westlock--St. Paul/Westlock--St. Paul"," 143","Beaver River",7,1,14,15,0,95,1,133,251
"Westlock--St. Paul/Westlock--St. Paul"," 144","Cold Lake",17,1,38,29,1,171,0,257,816
"Westlock--St. Paul/Westlock--St. Paul"," 145","Cold Lake",11,3,36,26,1,177,0,254,524
"Westlock--St. Paul/Westlock--St. Paul"," 146","Cold Lake",17,0,39,25,2,194,1,278,582
"Westlock--St. Paul/Westlock--St. Paul"," 147","Cold Lake",7,1,36,21,2,141,0,208,603
"Westlock--St. Paul/Westlock--St. Paul"," 148","Cold Lake",11,1,46,29,1,196,0,284,649
"Westlock--St. Paul/Westlock--St. Paul"," 149","Cold Lake",13,3,40,18,2,166,0,242,514
"Westlock--St. Paul/Westlock--St. Paul"," 150","Cold Lake",19,2,54,37,0,146,2,260,999
"Westlock--St. Paul/Westlock--St. Paul"," 151","Cold Lake",Merged with No. 153/Fusionné avec le nº 153,,,,,,,,91
"Westlock--St. Paul/Westlock--St. Paul"," 152","Cold Lake",Merged with No. 153/Fusionné avec le nº 153,,,,,,,,59
"Westlock--St. Paul/Westlock--St. Paul"," 153","Cold Lake",13,2,26,14,0,93,1,149,221
"Westlock--St. Paul/Westlock--St. Paul"," 154","Ardmore",11,5,13,27,1,221,1,279,472
"Westlock--St. Paul/Westlock--St. Paul"," 155","Cold Lake 149",10,1,153,16,4,31,2,217,567
"Westlock--St. Paul/Westlock--St. Paul"," 156","Cherry Grove",3,3,37,17,1,213,1,275,500
"Westlock--St. Paul/Westlock--St. Paul"," 157","Beaverdam",4,9,18,6,1,78,0,116,240
"Westlock--St. Paul/Westlock--St. Paul"," 158","Ashmont",4,3,25,28,1,188,2,251,478
"Westlock--St. Paul/Westlock--St. Paul"," 159","Owlseye",7,1,21,10,4,167,0,210,362
"Westlock--St. Paul/Westlock--St. Paul"," 160","Saint-Paul",9,1,30,33,1,120,0,194,421
"Westlock--St. Paul/Westlock--St. Paul"," 161","Saint-Paul",10,0,37,30,2,193,2,274,472
"Westlock--St. Paul/Westlock--St. Paul"," 162","Saint-Paul",15,1,26,5,0,72,2,121,251
"Westlock--St. Paul/Westlock--St. Paul"," 163A","Saint-Paul",19,1,32,20,2,148,3,225,414
"Westlock--St. Paul/Westlock--St. Paul"," 163B","Mobile poll/Bureau itinérant",Merged with No. 507/Fusionné avec le nº 507,,,,,,,,2
"Westlock--St. Paul/Westlock--St. Paul"," 164","Saint-Paul",14,5,56,22,2,225,0,324,510
"Westlock--St. Paul/Westlock--St. Paul"," 165","Saint-Paul",13,1,31,19,1,186,0,251,450
"Westlock--St. Paul/Westlock--St. Paul"," 166","Saint-Paul",12,1,40,21,2,114,1,191,377
"Westlock--St. Paul/Westlock--St. Paul"," 167","Saint-Paul",15,1,45,35,5,262,0,363,636
"Westlock--St. Paul/Westlock--St. Paul"," 168","Lafond",8,0,16,6,0,82,0,112,173
"Westlock--St. Paul/Westlock--St. Paul"," 169","Lafond",5,0,17,12,2,83,0,119,176
"Westlock--St. Paul/Westlock--St. Paul"," 170","Therien Lake",10,1,25,8,3,146,0,193,402
"Westlock--St. Paul/Westlock--St. Paul"," 171","St. Edouard",16,3,33,21,2,177,0,252,389
"Westlock--St. Paul/Westlock--St. Paul"," 172","Lake Eliza",10,3,22,35,0,125,0,195,276
"Westlock--St. Paul/Westlock--St. Paul"," 173","Elk Point",19,2,21,16,2,207,0,267,365
"Westlock--St. Paul/Westlock--St. Paul"," 174","Lindbergh",13,4,17,22,0,133,0,189,213
"Westlock--St. Paul/Westlock--St. Paul"," 175A","Elk Point",18,3,25,27,0,141,0,214,464
"Westlock--St. Paul/Westlock--St. Paul"," 175B","Elk Point",11,0,21,16,1,161,0,210,408
"Westlock--St. Paul/Westlock--St. Paul"," 176","Elk Point",Void/Supprimé,,,,,,,,
"Westlock--St. Paul/Westlock--St. Paul"," 177A","Elk Point",Merged with No. 174/Fusionné avec le nº 174,,,,,,,,121
"Westlock--St. Paul/Westlock--St. Paul"," 177B","Mobile poll/Bureau itinérant",Merged with No. 508/Fusionné avec le nº 508,,,,,,,,3
"Westlock--St. Paul/Westlock--St. Paul"," 178","Fishing Lake Metis Settlement",10,1,92,29,0,24,1,157,272
"Westlock--St. Paul/Westlock--St. Paul"," 179","Frog Lake",1,1,127,5,1,16,0,151,410
"Westlock--St. Paul/Westlock--St. Paul"," 180","Northern Valley",3,2,6,14,1,75,0,101,181
"Westlock--St. Paul/Westlock--St. Paul"," 181","Tulliby Lake",4,0,11,6,0,81,0,102,166
"Westlock--St. Paul/Westlock--St. Paul"," 500","Mobile poll/Bureau itinérant",5,6,28,18,15,96,7,175,280
"Westlock--St. Paul/Westlock--St. Paul"," 501","Mobile poll/Bureau itinérant",3,3,20,13,1,54,2,96,155
"Westlock--St. Paul/Westlock--St. Paul"," 502","Mobile poll/Bureau itinérant",Merged with No. 504/Fusionné avec le nº 504,,,,,,,,54
"Westlock--St. Paul/Westlock--St. Paul"," 503","Mobile poll/Bureau itinérant",1,0,25,13,7,37,0,83,101
"Westlock--St. Paul/Westlock--St. Paul"," 504","Mobile poll/Bureau itinérant",3,4,27,14,3,50,0,101,105
"Westlock--St. Paul/Westlock--St. Paul"," 505","Mobile poll/Bureau itinérant",3,0,21,11,5,33,0,73,108
"Westlock--St. Paul/Westlock--St. Paul"," 506","Mobile poll/Bureau itinérant",3,13,20,9,3,58,1,107,189
"Westlock--St. Paul/Westlock--St. Paul"," 507","Mobile poll/Bureau itinérant",3,2,48,8,1,83,1,146,256
"Westlock--St. Paul/Westlock--St. Paul"," 508","Mobile poll/Bureau itinérant",4,1,18,6,5,29,1,64,100
"Westlock--St. Paul/Westlock--St. Paul"," 600","Westlock",27,3,56,43,11,473,3,616,
"Westlock--St. Paul/Westlock--St. Paul"," 601","Morinville",25,0,85,64,2,395,1,572,
"Westlock--St. Paul/Westlock--St. Paul"," 602","Morinville",8,0,20,19,0,164,0,211,
"Westlock--St. Paul/Westlock--St. Paul"," 603","Gibbons",40,3,40,57,3,351,2,496,
"Westlock--St. Paul/Westlock--St. Paul"," 604","Thorhild",6,0,20,17,4,148,0,195,
"Westlock--St. Paul/Westlock--St. Paul"," 605","Smoky Lake",9,0,37,15,0,140,0,201,
"Westlock--St. Paul/Westlock--St. Paul"," 606","Bonnyville",17,11,60,29,2,374,0,493,
"Westlock--St. Paul/Westlock--St. Paul"," 607","Cold Lake",18,4,64,38,4,445,2,575,
"Westlock--St. Paul/Westlock--St. Paul"," 608","Saint-Paul",12,6,62,51,2,333,0,466,
"Westlock--St. Paul/Westlock--St. Paul",,Group 1/Groupe 1,16,6,53,18,1,228,6,328,853
"Westlock--St. Paul/Westlock--St. Paul",,Group 2/Groupe 2,25,3,122,56,2,616,16,840,
