Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Michael Crawford,Matt G. Greenwood,Betty Zane Hinton,Ken Sommerfeld,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 19","Little Fort--Darfield",44,5,74,21,0,144,218
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 20","Chu Chua",40,5,7,36,1,89,140
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 21A","Barrière ",56,20,121,69,0,266,516
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 21B","Barrière ",67,19,147,68,0,301,530
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 21C","Barrière ",70,11,132,87,0,300,479
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 21D","Barrière ",83,15,145,61,0,304,533
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 22","McLure",30,3,46,22,0,101,154
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 23","Kamloops ",Void/Supprimé,,,,,,
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 24","Kamloops--Heffley Creek",51,26,120,107,0,304,534
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 25A","Kamloops ",49,10,80,52,0,191,296
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 25B","Kamloops ",55,18,77,56,0,206,336
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 26","Kamloops ",104,13,120,68,0,305,482
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 27","Kamloops ",80,11,96,68,0,255,433
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 28A","Kamloops ",52,13,89,59,0,213,376
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 28B","Kamloops ",48,2,104,36,0,190,330
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 29","Kamloops ",89,11,91,53,0,244,377
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 30","Kamloops ",52,3,43,38,0,136,247
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 31","Kamloops 1",52,11,51,40,0,154,346
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 32A","Kamloops 1",83,15,63,86,1,248,529
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 32B","Kamloops 1",102,22,77,75,1,277,559
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 33","Kamloops--LaFarge",34,8,84,40,0,166,392
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 34","Pinantan Lake",89,18,93,70,1,271,440
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 35","Black Pines",20,1,38,36,0,95,145
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 36","Kamloops ",74,9,72,42,0,197,362
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 37","Kamloops ",78,6,70,54,0,208,376
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 38","Kamloops ",116,15,65,49,0,245,383
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 39","Kamloops ",82,18,82,51,0,233,416
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 40","Kamloops ",100,13,82,58,1,254,506
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 41","Kamloops ",84,20,108,75,0,287,509
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 42","Kamloops ",69,5,95,40,1,210,357
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 43","Kamloops ",75,8,48,27,0,158,309
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 44","Kamloops ",56,11,117,53,1,238,410
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 45","Kamloops ",83,11,100,78,0,272,555
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 46","Kamloops ",92,2,66,56,0,216,358
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 47","Kamloops ",104,14,86,52,0,256,534
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 48","Kamloops ",61,12,84,46,0,203,376
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 49A","Kamloops ",73,3,88,63,0,227,416
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 49B","Kamloops ",73,9,88,84,0,254,462
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 50","Kamloops ",98,9,98,68,1,274,513
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 51","Kamloops ",63,4,73,36,0,176,325
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 52","Kamloops ",79,11,62,80,0,232,430
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 53","Criss Creek--Red Lake",12,6,12,11,0,41,61
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 54","Kamloops ",66,8,67,55,1,197,423
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 55","Kamloops ",71,7,79,49,0,206,484
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 56","Kamloops ",72,1,52,64,2,191,365
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 57","Kamloops ",68,7,66,42,0,183,338
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 58","Kamloops ",68,13,71,38,0,190,370
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 59","Kamloops ",80,8,109,65,0,262,450
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 60","Kamloops ",64,3,59,47,0,173,298
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 61","Kamloops ",87,6,69,68,1,231,463
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 62","Kamloops ",72,12,65,33,0,182,349
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 63","Kamloops ",96,5,93,62,0,256,497
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 64","Kamloops ",102,20,99,48,0,269,560
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 65","Kamloops ",85,9,77,76,0,247,504
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 66","Kamloops ",81,9,59,40,1,190,346
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 67","Kamloops ",86,8,61,40,0,195,453
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 68","Kamloops ",106,14,67,71,0,258,510
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 69","Kamloops ",77,11,61,40,0,189,445
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 70","Kamloops ",74,17,87,57,0,235,466
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 71","Kamloops ",60,4,60,66,0,190,373
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 72","Kamloops ",95,13,81,55,0,244,463
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 73","Kamloops ",56,12,50,27,0,145,330
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 74","Kamloops ",61,8,58,45,1,173,372
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 75","Kamloops ",74,6,57,47,0,184,322
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 76","Kamloops ",83,15,46,45,1,190,377
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 77","Kamloops ",103,13,71,56,1,244,481
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 78","Kamloops ",93,6,91,70,0,260,501
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 79","Kamloops ",95,10,74,55,1,235,467
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 80","Kamloops ",72,5,57,49,0,183,358
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 81","Kamloops ",62,1,31,28,0,122,306
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 82","Kamloops ",48,8,52,29,1,138,278
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 83","Kamloops ",75,13,56,55,0,199,422
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 84","Kamloops ",58,6,47,22,0,133,302
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 85","Kamloops ",93,16,91,58,0,258,545
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 86","Kamloops ",52,11,35,17,2,117,310
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 87","Kamloops ",51,18,49,25,0,143,310
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 88","Kamloops ",70,12,65,54,1,202,476
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 89","Kamloops ",67,4,62,33,0,166,357
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 90","Kamloops ",67,10,55,50,1,183,359
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 91","Kamloops ",74,14,54,35,1,178,348
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 92","Kamloops ",68,6,56,35,0,165,402
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 93","Kamloops ",80,13,81,55,1,230,459
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 94","Kamloops ",53,8,45,39,0,145,315
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 95","Kamloops ",109,16,48,31,1,205,387
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 96","Kamloops ",99,15,99,63,1,277,495
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 97A","Kamloops ",56,12,49,54,0,171,350
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 97B","Kamloops ",55,10,45,29,0,139,299
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 98","Kamloops ",112,31,52,67,0,262,533
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 99","Kamloops ",126,19,68,64,0,277,495
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 100","Kamloops ",101,22,66,65,0,254,364
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 101","Kamloops ",143,25,78,82,1,329,570
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 102","Kamloops ",50,11,55,49,1,166,384
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 103A","Kamloops ",65,5,54,49,0,173,411
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 103B","Kamloops ",62,14,59,59,0,194,405
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 104","Kamloops ",54,5,49,29,2,139,290
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 105","Kamloops ",125,25,36,77,0,263,493
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 106","Kamloops ",92,17,91,79,0,279,600
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 107","Kamloops ",78,9,58,60,0,205,329
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 108","Kamloops ",93,13,48,56,0,210,351
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 109","Kamloops ",88,10,52,40,0,190,346
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 110","Kamloops ",81,16,68,48,0,213,358
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 111","Kamloops ",75,11,74,58,3,221,395
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 112","Kamloops ",91,12,50,58,0,211,311
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 113","Kamloops ",79,14,54,50,0,197,349
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 114","Kamloops ",79,5,68,43,0,195,346
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 115A","Kamloops ",79,13,65,49,1,207,346
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 115B","Kamloops ",53,8,70,52,0,183,331
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 116","Kamloops ",104,14,87,86,0,291,499
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 117","Kamloops ",72,4,62,52,0,190,369
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 118A","Kamloops ",52,4,62,53,0,171,316
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 118B","Kamloops ",51,5,64,48,0,168,312
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 119","Kamloops ",130,22,95,84,2,333,570
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 120A","Kamloops ",49,11,65,68,1,194,326
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 120B","Kamloops ",56,12,76,80,1,225,356
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 121","Kamloops ",55,10,30,28,0,123,256
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 122","Kamloops ",85,9,79,94,0,267,466
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 123","Kamloops ",68,14,79,61,0,222,362
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 124","Kamloops ",70,14,112,58,3,257,405
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 125","Kamloops ",71,13,111,75,0,270,451
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 126A","Kamloops ",71,7,67,51,0,196,373
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 126B","Kamloops ",56,7,60,63,0,186,342
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 127","Kamloops ",53,14,50,38,0,155,283
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 128","Kamloops ",72,22,117,92,1,304,470
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 129","Kamloops ",38,1,66,40,0,145,216
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 130A","Kamloops ",63,9,84,39,0,195,325
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 130B","Kamloops ",64,9,77,40,0,190,323
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 131A","Savona",64,7,83,26,0,180,336
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 131B","Savona",62,5,71,30,0,168,310
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 132","Cherry Creek",57,4,81,56,0,198,330
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 133A","Kamloops ",66,11,89,74,2,242,393
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 133B","Kamloops ",71,13,85,83,0,252,420
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 134A","Kamloops ",60,4,78,43,0,185,358
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 134B","Kamloops ",48,6,87,48,0,189,343
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 135","Kamloops ",86,9,100,98,0,293,552
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 136A","Kamloops ",77,5,78,68,0,228,494
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 136B","Mobile poll/Bureau itinérant",Merged with No. 502/Fusionné avec le nº 502,,,,,,57
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 137","Kamloops ",76,15,130,86,0,307,513
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 138","Kamloops ",70,12,84,94,0,260,416
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 139A","Kamloops ",33,6,90,63,0,192,304
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 139B","Kamloops ",60,2,62,65,0,189,306
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 140","Kamloops ",86,11,170,107,0,374,584
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 141","Kamloops ",36,8,100,66,0,210,335
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 142","Kamloops ",74,8,77,42,0,201,360
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 143","Kamloops ",79,9,89,70,0,247,381
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 144","Kamloops ",53,11,87,63,0,214,413
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 145A","Kamloops ",37,3,111,87,0,238,369
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 145B","Kamloops ",57,14,79,76,0,226,359
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 146","Knutsford--Lac Le Jeune",84,14,178,70,1,347,563
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 147","Kamloops ",71,17,91,70,0,249,407
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 148","Kamloops ",87,13,74,67,0,241,423
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 149","Kamloops ",91,12,107,63,0,273,484
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 150","Kamloops ",97,7,122,62,0,288,547
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 151","Kamloops ",73,7,88,83,0,251,419
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 152","Kamloops ",96,15,128,73,0,312,522
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 153A","Kamloops ",64,12,87,88,0,251,402
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 153B","Kamloops ",69,9,93,59,0,230,404
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 154","Kamloops ",73,11,99,73,0,256,460
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 155","Kamloops ",108,10,103,78,0,299,474
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 156","Kamloops ",84,11,108,61,0,264,493
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 157","Kamloops ",65,15,135,58,1,274,537
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 158","Kamloops ",104,25,97,89,0,315,521
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 159","Kamloops ",78,12,101,52,1,244,434
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 160","Kamloops ",71,11,98,54,0,234,378
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 161","Kamloops ",59,8,91,52,0,210,368
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 162","Kamloops ",75,12,117,69,0,273,447
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 163","Kamloops ",66,21,82,45,0,214,378
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 164A","Kamloops ",61,14,128,60,1,264,414
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 164B","Kamloops ",46,8,99,53,0,206,412
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 165","Kamloops--Rivershore",36,12,119,90,0,257,434
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 166A","Pritchard ",77,10,124,43,0,254,423
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 166B","Pritchard ",59,17,144,41,1,262,431
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 167","Kamloops ",46,10,119,68,0,243,430
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 168","Monte Lake--Westwold",48,22,139,46,0,255,416
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 500","Mobile poll/Bureau itinérant",45,8,41,15,0,109,238
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 501","Mobile poll/Bureau itinérant",42,3,30,30,0,105,156
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 502","Mobile poll/Bureau itinérant",42,6,37,32,1,118,196
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 600","Valemount ",10,2,82,18,0,112,
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 601","Bluewater--Clearwater",40,8,144,67,0,259,
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 602","Lac la Hache--108 Ranch",19,5,87,37,1,149,
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 603","One Hundred Mile House",73,9,196,61,0,339,
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 604","Interlakes",34,12,92,27,1,166,
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 605","70 Mile House--Clinton",15,3,28,34,0,80,
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 606","Barrière--McLure",44,9,92,48,0,193,
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 607","Kamloops ",37,14,105,64,1,221,
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 608","Kamloops ",109,12,196,109,0,426,
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 609","Kamloops ",88,11,207,104,0,410,
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 610","Kamloops ",139,15,169,135,1,459,
"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 611","Kamloops ",237,16,267,229,2,751,
