Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Tom Cochrane,Jim Flaherty,Marty Gobin,Ajay Krishnan,Judi Longfield,Maret Sadem-Thompson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Whitby--Oshawa/Whitby--Oshawa"," 81","Whitby",0,165,1,12,170,45,0,393,596
"Whitby--Oshawa/Whitby--Oshawa"," 82","Whitby",1,108,3,7,111,22,1,253,449
"Whitby--Oshawa/Whitby--Oshawa"," 83","Whitby",0,129,0,10,112,19,0,270,436
"Whitby--Oshawa/Whitby--Oshawa"," 84A","Whitby",0,94,1,11,109,33,1,249,401
"Whitby--Oshawa/Whitby--Oshawa"," 84B","Whitby",0,106,4,6,136,29,2,283,465
"Whitby--Oshawa/Whitby--Oshawa"," 85","Whitby",3,80,0,6,106,35,0,230,381
"Whitby--Oshawa/Whitby--Oshawa"," 86","Whitby",2,112,0,5,137,33,0,289,477
"Whitby--Oshawa/Whitby--Oshawa"," 87","Whitby",3,73,1,8,81,32,0,198,389
"Whitby--Oshawa/Whitby--Oshawa"," 88","Whitby",1,118,1,9,116,53,5,303,535
"Whitby--Oshawa/Whitby--Oshawa"," 89A","Whitby",0,60,1,3,91,25,1,181,316
"Whitby--Oshawa/Whitby--Oshawa"," 89B","Whitby",2,72,1,4,101,29,2,211,335
"Whitby--Oshawa/Whitby--Oshawa"," 90","Whitby",0,73,0,9,85,45,0,212,384
"Whitby--Oshawa/Whitby--Oshawa"," 91","Whitby",1,138,0,11,142,46,2,340,572
"Whitby--Oshawa/Whitby--Oshawa"," 92","Whitby",1,102,0,7,85,42,1,238,429
"Whitby--Oshawa/Whitby--Oshawa"," 93","Whitby",1,154,2,12,108,37,3,317,507
"Whitby--Oshawa/Whitby--Oshawa"," 94","Whitby",1,128,2,7,81,34,0,253,439
"Whitby--Oshawa/Whitby--Oshawa"," 95","Whitby",1,89,0,6,103,31,1,231,399
"Whitby--Oshawa/Whitby--Oshawa"," 96","Whitby",0,150,2,15,142,37,1,347,577
"Whitby--Oshawa/Whitby--Oshawa"," 97","Whitby",1,128,2,6,86,27,0,250,405
"Whitby--Oshawa/Whitby--Oshawa"," 98","Whitby",0,114,3,14,123,40,1,295,464
"Whitby--Oshawa/Whitby--Oshawa"," 99","Whitby",2,120,1,11,126,34,0,294,452
"Whitby--Oshawa/Whitby--Oshawa"," 100","Whitby",0,121,1,14,123,24,3,286,486
"Whitby--Oshawa/Whitby--Oshawa"," 101","Whitby",0,118,3,5,132,25,1,284,474
"Whitby--Oshawa/Whitby--Oshawa"," 102","Whitby",1,134,2,6,158,29,1,331,515
"Whitby--Oshawa/Whitby--Oshawa"," 103","Whitby",2,133,1,5,113,26,3,283,490
"Whitby--Oshawa/Whitby--Oshawa"," 104","Whitby",0,107,0,16,84,39,0,246,425
"Whitby--Oshawa/Whitby--Oshawa"," 105","Whitby",1,93,3,6,83,16,1,203,342
"Whitby--Oshawa/Whitby--Oshawa"," 106","Whitby",4,119,2,8,106,42,0,281,433
"Whitby--Oshawa/Whitby--Oshawa"," 107","Whitby",0,155,0,5,113,27,1,301,480
"Whitby--Oshawa/Whitby--Oshawa"," 108","Whitby",2,107,1,8,126,26,1,271,465
"Whitby--Oshawa/Whitby--Oshawa"," 109","Whitby",1,118,3,8,97,32,2,261,432
"Whitby--Oshawa/Whitby--Oshawa"," 110","Whitby",1,98,0,11,104,51,0,265,411
"Whitby--Oshawa/Whitby--Oshawa"," 111","Whitby",0,77,1,13,105,46,1,243,407
"Whitby--Oshawa/Whitby--Oshawa"," 112A","Whitby",1,65,0,8,76,19,2,171,325
"Whitby--Oshawa/Whitby--Oshawa"," 112B","Whitby",1,56,1,6,72,22,0,158,321
"Whitby--Oshawa/Whitby--Oshawa"," 113","Whitby",2,31,0,7,31,33,1,105,258
"Whitby--Oshawa/Whitby--Oshawa"," 114A","Whitby",0,98,1,5,80,36,0,220,439
"Whitby--Oshawa/Whitby--Oshawa"," 114B","Whitby",0,144,2,5,77,24,1,253,307
"Whitby--Oshawa/Whitby--Oshawa"," 115A","Whitby",0,99,1,10,87,20,3,220,433
"Whitby--Oshawa/Whitby--Oshawa"," 115B","Whitby",1,84,3,8,116,24,3,239,384
"Whitby--Oshawa/Whitby--Oshawa"," 116","Whitby",1,167,0,9,161,28,0,366,569
"Whitby--Oshawa/Whitby--Oshawa"," 117","Whitby",0,149,2,10,143,32,0,336,524
"Whitby--Oshawa/Whitby--Oshawa"," 118","Whitby",0,146,1,14,170,21,3,355,556
"Whitby--Oshawa/Whitby--Oshawa"," 119","Whitby",1,136,0,15,168,22,1,343,537
"Whitby--Oshawa/Whitby--Oshawa"," 120","Whitby",1,130,0,12,152,19,2,316,481
"Whitby--Oshawa/Whitby--Oshawa"," 121A","Whitby",0,102,1,9,77,25,1,215,307
"Whitby--Oshawa/Whitby--Oshawa"," 121B","Whitby",0,100,0,7,102,9,1,219,317
"Whitby--Oshawa/Whitby--Oshawa"," 122A","Whitby",1,87,1,8,95,29,1,222,389
"Whitby--Oshawa/Whitby--Oshawa"," 122B","Whitby",1,102,1,6,71,22,0,203,356
"Whitby--Oshawa/Whitby--Oshawa"," 123","Whitby",2,150,1,12,155,49,0,369,596
"Whitby--Oshawa/Whitby--Oshawa"," 124","Whitby",3,106,2,15,147,24,2,299,455
"Whitby--Oshawa/Whitby--Oshawa"," 125","Whitby",2,89,0,8,94,13,0,206,341
"Whitby--Oshawa/Whitby--Oshawa"," 126","Whitby",2,97,0,8,89,27,0,223,354
"Whitby--Oshawa/Whitby--Oshawa"," 127","Whitby",0,136,2,5,158,35,4,340,499
"Whitby--Oshawa/Whitby--Oshawa"," 128","Whitby",0,105,0,9,102,22,0,238,338
"Whitby--Oshawa/Whitby--Oshawa"," 129","Whitby",0,141,0,7,122,26,2,298,455
"Whitby--Oshawa/Whitby--Oshawa"," 130","Whitby",0,126,1,7,106,25,0,265,437
"Whitby--Oshawa/Whitby--Oshawa"," 131","Whitby",0,142,0,16,139,19,2,318,497
"Whitby--Oshawa/Whitby--Oshawa"," 132","Whitby",1,92,1,8,87,29,0,218,361
"Whitby--Oshawa/Whitby--Oshawa"," 133","Whitby",0,79,0,8,126,45,1,259,503
"Whitby--Oshawa/Whitby--Oshawa"," 134A","Whitby",0,116,4,8,105,21,1,255,426
"Whitby--Oshawa/Whitby--Oshawa"," 134B","Whitby",0,77,0,8,96,30,0,211,382
"Whitby--Oshawa/Whitby--Oshawa"," 135","Whitby",1,87,0,6,64,16,0,174,335
"Whitby--Oshawa/Whitby--Oshawa"," 136","Whitby",0,162,1,2,128,7,0,300,427
"Whitby--Oshawa/Whitby--Oshawa"," 137","Whitby",1,110,0,12,80,39,0,242,377
"Whitby--Oshawa/Whitby--Oshawa"," 138","Whitby",3,121,0,16,136,38,0,314,289
"Whitby--Oshawa/Whitby--Oshawa"," 139","Whitby",0,115,2,10,90,39,0,256,403
"Whitby--Oshawa/Whitby--Oshawa"," 140","Whitby",0,95,0,5,72,35,0,207,347
"Whitby--Oshawa/Whitby--Oshawa"," 141","Whitby",0,83,0,15,82,42,0,222,360
"Whitby--Oshawa/Whitby--Oshawa"," 142","Whitby",Merged with No. 138/Fusionné avec le nº 138,,,,,,,,192
"Whitby--Oshawa/Whitby--Oshawa"," 143","Whitby",0,111,0,16,109,38,2,276,581
"Whitby--Oshawa/Whitby--Oshawa"," 144","Whitby",0,92,1,11,90,22,3,219,415
"Whitby--Oshawa/Whitby--Oshawa"," 145","Whitby",0,95,1,11,87,32,0,226,385
"Whitby--Oshawa/Whitby--Oshawa"," 146","Whitby",0,102,1,4,101,20,1,229,355
"Whitby--Oshawa/Whitby--Oshawa"," 147","Whitby",0,88,0,4,95,12,2,201,354
"Whitby--Oshawa/Whitby--Oshawa"," 148","Whitby",1,137,2,25,108,68,1,342,590
"Whitby--Oshawa/Whitby--Oshawa"," 149","Whitby",0,94,0,9,93,31,1,228,412
"Whitby--Oshawa/Whitby--Oshawa"," 150","Whitby",0,80,0,8,80,35,1,204,334
"Whitby--Oshawa/Whitby--Oshawa"," 151","Whitby",1,86,3,7,101,54,0,252,516
"Whitby--Oshawa/Whitby--Oshawa"," 152","Whitby",1,57,1,6,56,24,2,147,286
"Whitby--Oshawa/Whitby--Oshawa"," 153","Whitby",1,73,0,9,78,37,1,199,381
"Whitby--Oshawa/Whitby--Oshawa"," 154","Whitby",0,90,2,14,96,42,1,245,384
"Whitby--Oshawa/Whitby--Oshawa"," 155","Whitby",1,88,0,20,105,38,0,252,439
"Whitby--Oshawa/Whitby--Oshawa"," 156A","Whitby",Merged with No. 157/Fusionné avec le nº 157,,,,,,,,214
"Whitby--Oshawa/Whitby--Oshawa"," 156B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,,194
"Whitby--Oshawa/Whitby--Oshawa"," 157","Whitby",1,141,0,18,138,44,2,344,331
"Whitby--Oshawa/Whitby--Oshawa"," 158","Whitby",0,124,0,8,103,30,0,265,440
"Whitby--Oshawa/Whitby--Oshawa"," 159","Whitby",1,146,0,15,126,39,0,327,499
"Whitby--Oshawa/Whitby--Oshawa"," 160","Whitby",0,54,1,2,63,22,0,142,326
"Whitby--Oshawa/Whitby--Oshawa"," 161","Whitby",1,61,3,6,73,32,0,176,393
"Whitby--Oshawa/Whitby--Oshawa"," 162","Whitby",1,104,1,8,92,44,0,250,432
"Whitby--Oshawa/Whitby--Oshawa"," 163","Whitby",1,101,1,12,98,39,0,252,474
"Whitby--Oshawa/Whitby--Oshawa"," 164","Whitby",0,121,4,11,86,35,1,258,461
"Whitby--Oshawa/Whitby--Oshawa"," 165","Whitby",2,119,2,5,119,32,0,279,437
"Whitby--Oshawa/Whitby--Oshawa"," 166","Whitby",0,94,1,10,89,30,0,224,365
"Whitby--Oshawa/Whitby--Oshawa"," 167","Whitby",0,92,2,4,94,35,0,227,391
"Whitby--Oshawa/Whitby--Oshawa"," 168","Whitby",0,67,3,8,87,42,0,207,353
"Whitby--Oshawa/Whitby--Oshawa"," 169","Whitby",0,56,0,7,62,27,0,152,337
"Whitby--Oshawa/Whitby--Oshawa"," 170","Whitby",2,102,2,4,89,42,1,242,405
"Whitby--Oshawa/Whitby--Oshawa"," 171","Whitby",1,110,0,7,101,29,0,248,408
"Whitby--Oshawa/Whitby--Oshawa"," 172","Whitby",2,63,1,6,55,30,1,158,393
"Whitby--Oshawa/Whitby--Oshawa"," 173","Whitby",0,78,1,12,80,39,0,210,354
"Whitby--Oshawa/Whitby--Oshawa"," 174","Whitby",3,41,0,4,46,37,1,132,293
"Whitby--Oshawa/Whitby--Oshawa"," 175","Whitby",2,81,1,12,75,38,0,209,355
"Whitby--Oshawa/Whitby--Oshawa"," 176","Whitby",1,124,1,12,99,22,2,261,403
"Whitby--Oshawa/Whitby--Oshawa"," 177","Whitby",2,100,0,13,100,49,0,264,403
"Whitby--Oshawa/Whitby--Oshawa"," 178A","Whitby",0,97,0,7,66,27,0,197,316
"Whitby--Oshawa/Whitby--Oshawa"," 178B","Whitby",0,99,2,8,76,27,0,212,319
"Whitby--Oshawa/Whitby--Oshawa"," 179","Whitby",2,149,1,13,167,16,1,349,547
"Whitby--Oshawa/Whitby--Oshawa"," 180","Whitby",0,150,0,10,135,31,1,327,550
"Whitby--Oshawa/Whitby--Oshawa"," 181A","Whitby",0,90,3,4,113,37,0,247,466
"Whitby--Oshawa/Whitby--Oshawa"," 181B","Whitby",2,115,2,8,139,46,0,312,556
"Whitby--Oshawa/Whitby--Oshawa"," 181C","Whitby",1,96,4,10,137,32,3,283,495
"Whitby--Oshawa/Whitby--Oshawa"," 182","Whitby",1,81,2,16,98,46,0,244,494
"Whitby--Oshawa/Whitby--Oshawa"," 183","Whitby",2,72,1,9,96,40,0,220,458
"Whitby--Oshawa/Whitby--Oshawa"," 184","Whitby",1,85,4,9,86,25,0,210,364
"Whitby--Oshawa/Whitby--Oshawa"," 185","Whitby",0,103,0,8,83,36,4,234,363
"Whitby--Oshawa/Whitby--Oshawa"," 186","Whitby",0,45,0,6,50,27,0,128,307
"Whitby--Oshawa/Whitby--Oshawa"," 187","Whitby",1,67,3,10,107,60,2,250,370
"Whitby--Oshawa/Whitby--Oshawa"," 188","Whitby",0,76,0,9,102,20,0,207,310
"Whitby--Oshawa/Whitby--Oshawa"," 189","Whitby",3,87,0,15,76,26,2,209,327
"Whitby--Oshawa/Whitby--Oshawa"," 190","Whitby",0,88,0,14,102,33,0,237,339
"Whitby--Oshawa/Whitby--Oshawa"," 191","Whitby",1,113,0,8,100,44,1,267,417
"Whitby--Oshawa/Whitby--Oshawa"," 192","Whitby",0,73,0,5,95,23,0,196,321
"Whitby--Oshawa/Whitby--Oshawa"," 193","Whitby",0,93,0,6,98,32,0,229,354
"Whitby--Oshawa/Whitby--Oshawa"," 194","Whitby",0,100,0,8,121,40,1,270,388
"Whitby--Oshawa/Whitby--Oshawa"," 195","Whitby",1,101,0,12,86,28,2,230,380
"Whitby--Oshawa/Whitby--Oshawa"," 196","Whitby",1,85,0,9,90,21,1,207,322
"Whitby--Oshawa/Whitby--Oshawa"," 197","Whitby",3,87,3,11,86,50,0,240,459
"Whitby--Oshawa/Whitby--Oshawa"," 198A","Whitby",1,113,0,11,131,37,0,293,491
"Whitby--Oshawa/Whitby--Oshawa"," 198B","Whitby",2,118,1,8,121,39,1,290,499
"Whitby--Oshawa/Whitby--Oshawa"," 199","Whitby",2,93,1,13,106,27,1,243,433
"Whitby--Oshawa/Whitby--Oshawa"," 200","Whitby",0,102,3,8,98,33,1,245,389
"Whitby--Oshawa/Whitby--Oshawa"," 201","Whitby",1,126,1,11,151,43,0,333,539
"Whitby--Oshawa/Whitby--Oshawa"," 202","Whitby",2,128,0,19,106,33,0,288,551
"Whitby--Oshawa/Whitby--Oshawa"," 500","Mobile poll/Bureau itinérant",4,41,6,5,40,17,2,115,191
"Whitby--Oshawa/Whitby--Oshawa"," 600","Whitby",2,737,5,36,396,71,3,1250,
"Whitby--Oshawa/Whitby--Oshawa"," 601","Oshawa",1,540,2,20,272,72,2,909,
"Whitby--Oshawa/Whitby--Oshawa"," 602","Whitby",3,522,0,18,336,55,4,938,
"Whitby--Oshawa/Whitby--Oshawa"," 603","Whitby",0,562,0,23,354,54,1,994,
"Whitby--Oshawa/Whitby--Oshawa"," 604","Whitby",1,645,2,33,414,74,2,1171,
"Whitby--Oshawa/Whitby--Oshawa"," 605","Whitby",1,417,1,19,294,79,3,814,
"Whitby--Oshawa/Whitby--Oshawa"," 606","Oshawa",1,420,5,22,240,99,2,789,
"Whitby--Oshawa/Whitby--Oshawa"," 607","Whitby",1,475,3,26,294,82,0,881,
"Whitby--Oshawa/Whitby--Oshawa"," 608","Whitby",0,477,0,14,295,53,2,841,
"Whitby--Oshawa/Whitby--Oshawa",,Group 1/Groupe 1,1,31,1,3,28,5,5,74,143
"Whitby--Oshawa/Whitby--Oshawa",,Group 2/Groupe 2,0,935,6,61,757,208,20,1987,
