Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,André Arthur,Jérôme Beaulieu,Howard M. Bruce,Guy Côté,Jean-Marie Fiset,Gilles Landry,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 83A","Saint-Augustin-de-Desmaures",94,12,79,88,15,13,3,304,423
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 83B","Saint-Augustin-de-Desmaures",94,7,69,74,19,12,0,275,409
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 84","Saint-Augustin-de-Desmaures",102,12,46,70,18,12,1,261,457
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 85","Saint-Augustin-de-Desmaures",140,6,48,54,14,7,3,272,466
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 86","Saint-Augustin-de-Desmaures",58,7,42,70,9,16,2,204,442
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 87","Saint-Augustin-de-Desmaures",110,23,118,108,31,27,2,419,643
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 88","Saint-Augustin-de-Desmaures",47,6,52,50,17,7,2,181,314
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 89","Saint-Augustin-de-Desmaures",54,3,32,47,11,7,1,155,246
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 90","Saint-Augustin-de-Desmaures",78,10,84,77,21,18,0,288,438
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 91","Saint-Augustin-de-Desmaures",74,15,76,136,40,14,1,356,500
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 92","Saint-Augustin-de-Desmaures",53,8,61,84,17,15,0,238,371
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 93","Saint-Augustin-de-Desmaures",54,10,79,127,16,12,2,300,425
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 94","Saint-Augustin-de-Desmaures",79,9,73,88,21,13,4,287,411
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 95","Saint-Augustin-de-Desmaures",68,4,72,99,19,18,3,283,442
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 96","Saint-Augustin-de-Desmaures",66,14,48,99,29,13,1,270,445
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 97","Saint-Augustin-de-Desmaures",35,16,93,76,18,26,0,264,383
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 98","Saint-Augustin-de-Desmaures",77,14,114,98,16,31,1,351,598
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 99","Pont-Rouge",187,5,40,87,12,8,1,340,571
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 100","Pont-Rouge",133,5,44,61,9,7,0,259,403
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 101","Pont-Rouge",141,6,49,64,10,6,4,280,499
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 102","Neuville",95,7,37,63,6,6,1,215,361
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 103","Neuville",113,11,66,139,3,6,2,340,475
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 104","Neuville",94,8,56,112,8,4,2,284,400
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 105","Neuville",136,6,66,113,7,13,0,341,548
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 106","Neuville",92,12,63,102,10,11,5,295,419
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 107","Neuville",113,7,60,57,8,8,5,258,402
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 108","Neuville",138,7,31,43,8,6,1,234,369
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 109","Pont-Rouge",136,3,42,44,6,16,5,252,414
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 110","Pont-Rouge",91,7,42,53,9,16,2,220,402
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 111","Pont-Rouge",103,6,32,49,4,4,1,199,354
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 112","Pont-Rouge",147,8,58,55,8,7,3,286,432
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 113","Pont-Rouge",108,2,39,54,6,10,4,223,343
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 114","Pont-Rouge",199,8,79,107,16,3,3,415,593
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 115","Pont-Rouge",116,3,50,79,7,10,3,268,399
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 116","Pont-Rouge",163,3,58,70,18,5,5,322,482
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 117","Pont-Rouge",133,4,41,59,9,6,2,254,460
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 118","Pont-Rouge",126,6,48,92,11,4,2,289,445
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 119","Saint-Basile",148,7,49,68,6,5,2,285,450
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 120","Saint-Basile",185,8,37,85,12,13,0,340,470
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 121","Saint-Basile",161,6,58,43,13,12,4,297,411
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 122","Saint-Basile",163,5,56,70,7,13,3,317,415
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 123","Saint-Basile",100,6,41,52,5,7,3,214,296
