Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Leon Benoit,Robert Peter Kratchmer,Len Legault,Brian Rozmahel,Blaine William Stephan,Duff Stewart,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Vegreville--Wainwright/Vegreville--Wainwright"," 196","Wainwright",122,2,29,10,4,11,0,178,366
"Vegreville--Wainwright/Vegreville--Wainwright"," 197","Wainwright",162,3,19,9,1,23,0,217,380
"Vegreville--Wainwright/Vegreville--Wainwright"," 198","Wainwright",117,1,16,15,0,20,0,169,318
"Vegreville--Wainwright/Vegreville--Wainwright"," 199","Wainwright",124,0,19,21,3,25,0,192,400
"Vegreville--Wainwright/Vegreville--Wainwright"," 200","Amisk",187,6,10,8,4,2,0,217,362
"Vegreville--Wainwright/Vegreville--Wainwright"," 201","Hughenden",181,7,12,20,0,12,0,232,352
"Vegreville--Wainwright/Vegreville--Wainwright"," 202","Metiskow",92,3,4,5,0,3,0,107,169
"Vegreville--Wainwright/Vegreville--Wainwright"," 203","Czar",143,4,20,10,0,6,0,183,264
"Vegreville--Wainwright/Vegreville--Wainwright"," 204","Cadogan",130,6,2,8,0,2,0,148,201
"Vegreville--Wainwright/Vegreville--Wainwright"," 205","Green Glade",173,2,5,2,0,5,0,187,279
"Vegreville--Wainwright/Vegreville--Wainwright"," 206","Provost",67,4,7,5,0,4,0,87,178
"Vegreville--Wainwright/Vegreville--Wainwright"," 207A","Provost",161,3,11,2,1,10,1,189,387
"Vegreville--Wainwright/Vegreville--Wainwright"," 207B","Provost",120,2,9,6,0,10,1,148,317
"Vegreville--Wainwright/Vegreville--Wainwright"," 208","Provost",92,3,7,10,0,10,0,122,308
"Vegreville--Wainwright/Vegreville--Wainwright"," 209","Provost",94,4,10,12,2,6,0,128,215
"Vegreville--Wainwright/Vegreville--Wainwright"," 210","Hayter",192,2,2,6,4,8,0,214,405
"Vegreville--Wainwright/Vegreville--Wainwright"," 500","Mobile poll/Bureau itinérant",78,1,7,6,2,17,0,111,159
"Vegreville--Wainwright/Vegreville--Wainwright"," 501","Mobile poll/Bureau itinérant",88,2,7,4,2,22,1,126,185
"Vegreville--Wainwright/Vegreville--Wainwright"," 502","Mobile poll/Bureau itinérant",63,5,4,4,1,6,1,84,147
"Vegreville--Wainwright/Vegreville--Wainwright"," 503","Mobile poll/Bureau itinérant",101,0,5,5,2,16,2,131,206
"Vegreville--Wainwright/Vegreville--Wainwright"," 504","Mobile poll/Bureau itinérant",47,3,4,15,0,9,0,78,125
"Vegreville--Wainwright/Vegreville--Wainwright"," 505","Mobile poll/Bureau itinérant",36,3,8,1,3,9,1,61,101
"Vegreville--Wainwright/Vegreville--Wainwright"," 506A","Mobile poll/Bureau itinérant",26,1,7,3,0,3,1,41,100
"Vegreville--Wainwright/Vegreville--Wainwright"," 506B","Mobile poll/Bureau itinérant",Merged with No. 506C/Fusionné avec le nº 506C,,,,,,,,27
"Vegreville--Wainwright/Vegreville--Wainwright"," 506C","Mobile poll/Bureau itinérant",110,0,9,4,0,13,0,136,94
"Vegreville--Wainwright/Vegreville--Wainwright"," 507A","Mobile poll/Bureau itinérant",16,1,3,0,1,0,0,21,63
"Vegreville--Wainwright/Vegreville--Wainwright"," 507B","Mobile poll/Bureau itinérant",Merged with No. 506C/Fusionné avec le nº 506C,,,,,,,,29
"Vegreville--Wainwright/Vegreville--Wainwright"," 507C","Mobile poll/Bureau itinérant",Merged with No. 506A/Fusionné avec le nº 506A,,,,,,,,49
"Vegreville--Wainwright/Vegreville--Wainwright"," 508","Mobile poll/Bureau itinérant",78,3,12,4,1,6,4,108,176
"Vegreville--Wainwright/Vegreville--Wainwright"," 509","Mobile poll/Bureau itinérant",71,0,8,0,1,5,2,87,120
"Vegreville--Wainwright/Vegreville--Wainwright"," 510","Mobile poll/Bureau itinérant",43,4,3,2,1,7,0,60,48
"Vegreville--Wainwright/Vegreville--Wainwright"," 511","Mobile poll/Bureau itinérant",Merged with No. 510/Fusionné avec le nº 510,,,,,,,,44
