Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Gérard Asselin,Pierre Ducasse,Jacques Gélineau,Randy Jones,Pierre Paradis,Eric Vivier,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Manicouagan/Manicouagan"," 97","Sept-Îles",135,19,9,23,40,3,0,229,371
"Manicouagan/Manicouagan"," 98","Sept-Îles",10,16,3,55,14,2,0,100,712
"Manicouagan/Manicouagan"," 99","Sept-Îles",78,33,4,24,29,0,0,168,305
"Manicouagan/Manicouagan"," 100","Sept-Îles",66,31,2,10,28,1,1,139,277
"Manicouagan/Manicouagan"," 101","Sept-Îles",86,31,3,23,24,0,1,168,294
"Manicouagan/Manicouagan"," 102","Sept-Îles",120,44,6,21,27,2,3,223,345
"Manicouagan/Manicouagan"," 103","Sept-Îles",80,34,6,31,40,0,2,193,347
"Manicouagan/Manicouagan"," 104","Sept-Îles",100,52,9,23,49,0,1,234,405
"Manicouagan/Manicouagan"," 105","Sept-Îles",91,34,4,17,36,1,8,191,323
"Manicouagan/Manicouagan"," 106","Sept-Îles",76,65,8,25,41,1,2,218,360
"Manicouagan/Manicouagan"," 107","Sept-Îles",74,24,2,13,16,1,1,131,306
"Manicouagan/Manicouagan"," 108","Sept-Îles",81,16,2,21,18,1,1,140,268
"Manicouagan/Manicouagan"," 109","Sept-Îles",134,99,16,17,39,5,5,315,520
"Manicouagan/Manicouagan"," 110","Sept-Îles",92,29,2,19,32,0,1,175,309
"Manicouagan/Manicouagan"," 111","Sept-Îles",70,23,5,19,21,0,3,141,352
"Manicouagan/Manicouagan"," 112","Sept-Îles",98,23,3,28,19,0,3,174,364
"Manicouagan/Manicouagan"," 113","Sept-Îles",86,22,6,23,20,0,2,159,370
"Manicouagan/Manicouagan"," 114","Sept-Îles",63,23,4,16,20,0,2,128,303
"Manicouagan/Manicouagan"," 115","Sept-Îles",56,29,3,8,24,1,1,122,206
"Manicouagan/Manicouagan"," 116","Sept-Îles",107,26,7,64,69,2,4,279,458
"Manicouagan/Manicouagan"," 117","Sept-Îles",58,23,5,19,17,0,2,124,302
"Manicouagan/Manicouagan"," 118","Sept-Îles",81,33,7,21,32,0,4,178,388
"Manicouagan/Manicouagan"," 119","Sept-Îles",77,49,3,19,34,1,6,189,395
"Manicouagan/Manicouagan"," 120","Sept-Îles",91,22,9,10,36,0,2,170,368
"Manicouagan/Manicouagan"," 121","Sept-Îles",102,16,4,11,40,2,2,177,278
"Manicouagan/Manicouagan"," 122","Sept-Îles",104,23,1,8,25,1,1,163,308
"Manicouagan/Manicouagan"," 123","Sept-Îles",107,34,1,5,33,2,4,186,341
"Manicouagan/Manicouagan"," 124","Sept-Îles",148,49,2,16,30,2,2,249,444
"Manicouagan/Manicouagan"," 125","Sept-Îles",163,42,9,23,51,2,1,291,460
"Manicouagan/Manicouagan"," 126","Sept-Îles",168,28,3,16,28,1,4,248,458
"Manicouagan/Manicouagan"," 127","Sept-Îles",117,42,6,18,50,1,2,236,418
"Manicouagan/Manicouagan"," 128","Sept-Îles",125,34,7,34,45,0,3,248,430
"Manicouagan/Manicouagan"," 129","Sept-Îles",99,39,1,23,24,1,0,187,378
"Manicouagan/Manicouagan"," 130","Sept-Îles",120,29,1,19,29,0,6,204,397
"Manicouagan/Manicouagan"," 131","Sept-Îles",102,48,2,16,36,2,8,214,359
"Manicouagan/Manicouagan"," 132","Sept-Îles",116,52,7,24,52,0,6,257,477
"Manicouagan/Manicouagan"," 133","Sept-Îles",77,66,7,14,39,1,5,209,351
"Manicouagan/Manicouagan"," 134","Sept-Îles",105,21,7,11,34,0,1,179,394
"Manicouagan/Manicouagan"," 135","Sept-Îles",73,17,1,22,18,1,1,133,366
"Manicouagan/Manicouagan"," 136","Sept-Îles",116,33,5,19,38,1,4,216,403
"Manicouagan/Manicouagan"," 137","Sept-Îles",72,17,1,20,24,1,3,138,350
"Manicouagan/Manicouagan"," 138","Sept-Îles",113,30,5,24,41,1,2,216,539
"Manicouagan/Manicouagan"," 139","Sept-Îles",75,20,4,8,17,2,1,127,302
"Manicouagan/Manicouagan"," 140","Sept-Îles",143,73,2,33,56,1,2,310,506
"Manicouagan/Manicouagan"," 141","Sept-Îles",84,46,1,16,36,0,0,183,289
"Manicouagan/Manicouagan"," 142","Sept-Îles",96,74,7,13,36,0,6,232,383
"Manicouagan/Manicouagan"," 143","Sept-Îles",82,43,2,16,51,0,1,195,308
"Manicouagan/Manicouagan"," 144","Sept-Îles",78,46,5,15,33,2,7,186,273
"Manicouagan/Manicouagan"," 145","Sept-Îles",113,58,8,14,43,2,1,239,400
"Manicouagan/Manicouagan"," 146","Sept-Îles",104,49,9,9,34,1,4,210,360
"Manicouagan/Manicouagan"," 147","Sept-Îles",117,78,11,21,49,0,2,278,417
"Manicouagan/Manicouagan"," 148","Moisie",97,25,5,17,37,0,0,181,353
"Manicouagan/Manicouagan"," 149A","Lac-Daigle",26,7,5,2,18,0,0,58,71
"Manicouagan/Manicouagan"," 149B","Lac-Daigle",158,36,11,19,34,1,3,262,468
"Manicouagan/Manicouagan"," 150","Maliotenam 27A",7,3,2,37,6,0,0,55,236
"Manicouagan/Manicouagan"," 151","Maliotenam 27A",14,7,5,69,12,0,0,107,546
"Manicouagan/Manicouagan"," 152","Sheldrake",19,3,3,7,13,0,0,45,70
"Manicouagan/Manicouagan"," 153","Rivière-au-Tonnerre",87,8,4,19,17,1,0,136,323
"Manicouagan/Manicouagan"," 154","Magpie",66,8,2,16,13,0,0,105,223
"Manicouagan/Manicouagan"," 155","Longue-Pointe",121,20,18,15,27,3,2,206,455
"Manicouagan/Manicouagan"," 156","Havre-Saint-Pierre",156,27,4,21,45,0,0,253,454
"Manicouagan/Manicouagan"," 157","Havre-Saint-Pierre",159,33,5,9,37,2,0,245,430
"Manicouagan/Manicouagan"," 158","Havre-Saint-Pierre",135,31,6,22,60,1,4,259,512
"Manicouagan/Manicouagan"," 159","Havre-Saint-Pierre",115,15,6,10,28,0,2,176,380
"Manicouagan/Manicouagan"," 160","Havre-Saint-Pierre",75,7,2,14,28,0,0,126,248
"Manicouagan/Manicouagan"," 161","Havre-Saint-Pierre",63,8,2,14,19,2,0,108,179
"Manicouagan/Manicouagan"," 162","Havre-Saint-Pierre",83,11,2,10,46,0,2,154,269
"Manicouagan/Manicouagan"," 163","Aguanish",91,7,4,48,22,1,0,173,260
"Manicouagan/Manicouagan"," 164","Natashquan",77,5,14,45,25,1,3,170,258
"Manicouagan/Manicouagan"," 165","Natashquan 1",6,0,1,98,9,1,1,116,437
"Manicouagan/Manicouagan"," 166","Port-Menier",54,9,3,13,27,1,3,110,202
"Manicouagan/Manicouagan"," 167","La Tabatière",4,5,2,235,5,1,0,252,348
"Manicouagan/Manicouagan"," 168","Shekatika",2,2,1,54,3,0,0,62,91
"Manicouagan/Manicouagan"," 169","Saint-Augustin",1,0,0,94,5,0,0,100,164
"Manicouagan/Manicouagan"," 170","Saint-Augustin",6,2,0,128,6,0,0,142,295
"Manicouagan/Manicouagan"," 171","Baie-des-Moutons",1,3,0,69,0,0,0,73,97
"Manicouagan/Manicouagan"," 172","Tête-à-la-Baleine",13,1,1,90,0,0,2,107,163
"Manicouagan/Manicouagan"," 173","Harrington Harbour",1,1,0,154,2,0,0,158,196
"Manicouagan/Manicouagan"," 174","Chevery",4,4,0,132,9,0,1,150,221
"Manicouagan/Manicouagan"," 175","La Romaine 2",12,3,3,103,2,28,5,156,568
"Manicouagan/Manicouagan"," 176","La Romaine",27,0,3,55,2,3,0,90,159
"Manicouagan/Manicouagan"," 177","Kegaska",0,0,0,92,1,0,0,93,103
"Manicouagan/Manicouagan"," 178","Middle Bay",3,4,0,35,0,0,0,42,60
"Manicouagan/Manicouagan"," 179","Lourdes-de-Blanc-Sablon",3,2,0,138,4,0,0,147,239
"Manicouagan/Manicouagan"," 180A","Lourdes-de-Blanc-Sablon",15,4,3,139,8,0,2,171,335
"Manicouagan/Manicouagan"," 180B","Lourdes-de-Blanc-Sablon",19,8,3,141,12,0,0,183,337
"Manicouagan/Manicouagan"," 181","Rivière-Saint-Paul",0,9,1,227,5,0,1,243,357
"Manicouagan/Manicouagan"," 182","Vieux-Fort",3,3,0,160,7,0,0,173,271
"Manicouagan/Manicouagan"," 400","Fermont",62,9,4,7,15,2,1,100,247
"Manicouagan/Manicouagan"," 401","Fermont",60,12,1,4,13,0,0,90,198
"Manicouagan/Manicouagan"," 500","Mobile poll/Bureau itinérant",53,9,3,18,34,2,2,121,230
"Manicouagan/Manicouagan"," 501","Mobile poll/Bureau itinérant",23,2,1,10,13,0,1,50,103
"Manicouagan/Manicouagan"," 502","Mobile poll/Bureau itinérant",15,2,1,18,11,0,0,47,83
"Manicouagan/Manicouagan"," 600","Schefferville--Matimekosh",5,1,1,12,2,0,0,21,
"Manicouagan/Manicouagan"," 601","Fermont",38,4,2,5,14,0,1,64,
"Manicouagan/Manicouagan"," 602","Baie-Trinité",30,4,0,4,0,0,2,40,
"Manicouagan/Manicouagan"," 603","Baie-Comeau--Rivière-aux-Outardes",124,26,6,43,96,3,2,300,
"Manicouagan/Manicouagan"," 604","Baie-Comeau",324,48,7,27,141,3,5,555,
"Manicouagan/Manicouagan"," 605","Chute-aux-Outardes--Bersimis 3",100,8,1,11,42,0,0,162,
"Manicouagan/Manicouagan"," 606","Gallix--Port-Cartier",157,16,10,31,52,0,0,266,
"Manicouagan/Manicouagan"," 607","Sept-Îles",190,52,10,89,80,2,2,425,
"Manicouagan/Manicouagan"," 608","Sept-Îles",256,64,5,85,90,1,1,502,
"Manicouagan/Manicouagan"," 609","Sept-Îles",12,1,2,5,11,0,0,31,
"Manicouagan/Manicouagan"," 610","Havre-Saint-Pierre",38,2,1,13,6,0,0,60,
"Manicouagan/Manicouagan"," 611","Lourdes-de-Blanc-Sablon",4,3,0,32,2,0,0,41,
"Manicouagan/Manicouagan"," 612","Port-Menier",4,0,0,0,5,0,0,9,
"Manicouagan/Manicouagan",,Group 1/Groupe 1,45,7,0,14,35,1,6,108,307
"Manicouagan/Manicouagan",,Group 2/Groupe 2,882,118,14,154,158,6,25,1357,
