Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,André Bellavance,Laurier Busque,Jean Landry,Isabelle Maguire,Louis Napoléon Mercier,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Richmond--Arthabaska/Richmond--Arthabaska"," 168","Cleveland",Merged with No. 179B/Fusionné avec le nº 179B,,,,,,,116
"Richmond--Arthabaska/Richmond--Arthabaska"," 169","Cleveland",96,15,133,12,53,5,314,527
"Richmond--Arthabaska/Richmond--Arthabaska"," 170","Cleveland",90,17,104,21,51,4,287,458
"Richmond--Arthabaska/Richmond--Arthabaska"," 171","Richmond",72,10,57,3,26,0,168,329
"Richmond--Arthabaska/Richmond--Arthabaska"," 172","Richmond",83,14,47,9,24,5,182,369
"Richmond--Arthabaska/Richmond--Arthabaska"," 173","Richmond",94,7,93,8,34,1,237,441
"Richmond--Arthabaska/Richmond--Arthabaska"," 174","Richmond",72,16,70,12,43,1,214,374
"Richmond--Arthabaska/Richmond--Arthabaska"," 175","Richmond",71,16,83,7,36,0,213,399
"Richmond--Arthabaska/Richmond--Arthabaska"," 176","Richmond",73,5,62,14,41,0,195,412
"Richmond--Arthabaska/Richmond--Arthabaska"," 177","Melbourne",50,12,76,18,31,3,190,356
"Richmond--Arthabaska/Richmond--Arthabaska"," 178","Melbourne",89,27,76,26,48,0,266,415
"Richmond--Arthabaska/Richmond--Arthabaska"," 179A","Melbourne",63,9,55,21,36,5,189,304
"Richmond--Arthabaska/Richmond--Arthabaska"," 179B","Melbourne",20,1,53,8,88,1,171,153
"Richmond--Arthabaska/Richmond--Arthabaska"," 180","Kingsbury",47,18,11,6,14,0,96,143
"Richmond--Arthabaska/Richmond--Arthabaska"," 181","Windsor",58,6,29,10,17,1,121,193
"Richmond--Arthabaska/Richmond--Arthabaska"," 182","Windsor",116,11,71,25,10,4,237,406
"Richmond--Arthabaska/Richmond--Arthabaska"," 183","Windsor",162,10,70,19,16,3,280,505
"Richmond--Arthabaska/Richmond--Arthabaska"," 184","Windsor",107,5,54,13,17,1,197,362
"Richmond--Arthabaska/Richmond--Arthabaska"," 185","Windsor",114,7,48,11,17,3,200,319
"Richmond--Arthabaska/Richmond--Arthabaska"," 186","Windsor",128,9,35,8,8,0,188,288
"Richmond--Arthabaska/Richmond--Arthabaska"," 187","Windsor",122,6,62,15,25,0,230,420
"Richmond--Arthabaska/Richmond--Arthabaska"," 188","Windsor",81,10,46,4,15,4,160,305
