Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Patrick Clune,Normand Fournier,Ronaldo Garcia,Jean-Jacques Hermans,Maka Kotto,Sonia Ziadé,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Saint-Lambert/Saint-Lambert"," 31","Longueuil",21,0,13,22,135,15,2,208,450
"Saint-Lambert/Saint-Lambert"," 32","Longueuil",28,3,13,20,106,4,4,178,434
"Saint-Lambert/Saint-Lambert"," 33","Longueuil",32,1,12,16,139,8,0,208,443
"Saint-Lambert/Saint-Lambert"," 34","Longueuil",28,0,26,32,129,3,3,221,430
"Saint-Lambert/Saint-Lambert"," 35","Longueuil",30,0,19,35,127,7,0,218,403
"Saint-Lambert/Saint-Lambert"," 36","Longueuil",35,3,25,30,143,8,4,248,421
"Saint-Lambert/Saint-Lambert"," 37","Longueuil",21,0,9,29,132,10,0,201,385
"Saint-Lambert/Saint-Lambert"," 38","Longueuil",23,1,17,24,89,3,5,162,384
"Saint-Lambert/Saint-Lambert"," 39","Longueuil",35,1,9,21,129,4,15,214,338
"Saint-Lambert/Saint-Lambert"," 40","Longueuil",22,3,15,37,153,10,5,245,473
"Saint-Lambert/Saint-Lambert"," 41","Longueuil",36,3,15,26,146,6,6,238,496
"Saint-Lambert/Saint-Lambert"," 42","Longueuil",15,1,10,34,76,2,4,142,361
"Saint-Lambert/Saint-Lambert"," 43","Longueuil",22,4,16,29,89,8,0,168,342
"Saint-Lambert/Saint-Lambert"," 44","Longueuil",16,1,13,23,105,3,2,163,352
"Saint-Lambert/Saint-Lambert"," 45","Longueuil",21,2,6,20,89,5,2,145,357
"Saint-Lambert/Saint-Lambert"," 46A","Longueuil",26,1,8,31,111,7,2,186,408
"Saint-Lambert/Saint-Lambert"," 46B","Longueuil",21,3,10,23,136,4,2,199,412
"Saint-Lambert/Saint-Lambert"," 47","Longueuil",30,2,18,20,114,7,4,195,438
"Saint-Lambert/Saint-Lambert"," 48","Longueuil",34,2,17,18,110,5,3,189,361
"Saint-Lambert/Saint-Lambert"," 49","Longueuil",Void/Supprimé,,,,,,,,
"Saint-Lambert/Saint-Lambert"," 50","Longueuil",27,4,16,21,105,3,1,177,419
"Saint-Lambert/Saint-Lambert"," 51","Longueuil",35,1,20,41,122,9,6,234,448
"Saint-Lambert/Saint-Lambert"," 52","Longueuil",23,0,11,25,117,6,6,188,463
"Saint-Lambert/Saint-Lambert"," 53","Longueuil",19,0,14,10,76,3,2,124,297
"Saint-Lambert/Saint-Lambert"," 54","Longueuil",22,0,12,23,89,2,1,149,391
"Saint-Lambert/Saint-Lambert"," 55","Longueuil",25,0,8,20,100,7,3,163,403
"Saint-Lambert/Saint-Lambert"," 56","Longueuil",28,1,10,16,114,6,4,179,393
"Saint-Lambert/Saint-Lambert"," 57","Longueuil",20,2,7,22,86,10,0,147,353
"Saint-Lambert/Saint-Lambert"," 58","Longueuil",18,4,12,20,124,7,2,187,378
"Saint-Lambert/Saint-Lambert"," 59","Longueuil",27,0,15,20,125,3,0,190,379
"Saint-Lambert/Saint-Lambert"," 60","Longueuil",24,1,13,37,105,9,0,189,390
"Saint-Lambert/Saint-Lambert"," 61","Longueuil",17,1,11,28,92,8,0,157,355
"Saint-Lambert/Saint-Lambert"," 62","Longueuil",27,0,9,24,70,2,4,136,273
"Saint-Lambert/Saint-Lambert"," 63","Longueuil",39,1,1,20,93,8,7,169,346
"Saint-Lambert/Saint-Lambert"," 64","Longueuil",30,0,12,21,103,6,6,178,354
"Saint-Lambert/Saint-Lambert"," 65","Longueuil",29,1,8,24,81,7,3,153,399
"Saint-Lambert/Saint-Lambert"," 66A","Longueuil",25,0,7,21,85,5,4,147,291
"Saint-Lambert/Saint-Lambert"," 66B","Longueuil",28,1,7,20,85,2,6,149,303
"Saint-Lambert/Saint-Lambert"," 67","Longueuil",23,2,10,18,63,6,6,128,336
"Saint-Lambert/Saint-Lambert"," 68","Longueuil",30,1,12,47,78,4,3,175,355
"Saint-Lambert/Saint-Lambert"," 69","Longueuil",59,2,19,34,94,9,2,219,372
"Saint-Lambert/Saint-Lambert"," 70","Longueuil",17,1,3,19,74,2,0,116,274
"Saint-Lambert/Saint-Lambert"," 71","Longueuil",40,0,11,42,117,8,3,221,492
"Saint-Lambert/Saint-Lambert"," 72","Longueuil",27,1,12,31,116,5,2,194,427
"Saint-Lambert/Saint-Lambert"," 73","Longueuil",38,2,20,30,98,3,3,194,348
"Saint-Lambert/Saint-Lambert"," 74","Longueuil",31,1,5,27,103,5,0,172,407
"Saint-Lambert/Saint-Lambert"," 75","Longueuil",38,0,18,40,114,8,1,219,412
"Saint-Lambert/Saint-Lambert"," 76","Longueuil",37,1,20,39,132,11,1,241,372
"Saint-Lambert/Saint-Lambert"," 77","Longueuil",47,0,18,24,108,5,3,205,391
"Saint-Lambert/Saint-Lambert"," 78","Longueuil",34,1,18,23,121,7,2,206,451
"Saint-Lambert/Saint-Lambert"," 79","Longueuil",65,1,16,30,119,6,6,243,449
"Saint-Lambert/Saint-Lambert"," 80","Longueuil",26,2,19,27,97,6,7,184,407
"Saint-Lambert/Saint-Lambert"," 81","Longueuil",40,1,19,37,123,9,2,231,489
"Saint-Lambert/Saint-Lambert"," 82","Longueuil",31,1,7,44,126,11,12,232,424
"Saint-Lambert/Saint-Lambert"," 83","Longueuil",13,0,5,15,70,3,0,106,258
"Saint-Lambert/Saint-Lambert"," 84","Longueuil",23,1,10,43,74,6,1,158,319
"Saint-Lambert/Saint-Lambert"," 85","Longueuil",38,1,9,33,74,13,4,172,325
"Saint-Lambert/Saint-Lambert"," 86","Longueuil",38,1,16,28,71,6,1,161,314
"Saint-Lambert/Saint-Lambert"," 87","Longueuil",36,1,20,36,68,5,3,169,313
"Saint-Lambert/Saint-Lambert"," 88A","Longueuil",16,0,7,11,57,3,1,95,261
"Saint-Lambert/Saint-Lambert"," 88B","Longueuil",17,1,7,8,77,7,5,122,284
"Saint-Lambert/Saint-Lambert"," 89","Longueuil",53,2,17,44,114,6,2,238,382
"Saint-Lambert/Saint-Lambert"," 90","Longueuil",52,1,27,28,171,10,5,294,492
"Saint-Lambert/Saint-Lambert"," 91A","Longueuil",37,2,6,48,97,3,1,194,278
"Saint-Lambert/Saint-Lambert"," 91B","Longueuil",37,5,12,53,88,4,5,204,284
"Saint-Lambert/Saint-Lambert"," 92","Longueuil",13,0,11,16,95,0,1,136,361
"Saint-Lambert/Saint-Lambert"," 93","Longueuil",35,0,14,28,142,5,7,231,387
"Saint-Lambert/Saint-Lambert"," 94","Longueuil",19,0,11,18,125,9,5,187,398
"Saint-Lambert/Saint-Lambert"," 95","Longueuil",12,0,2,5,91,3,3,116,294
"Saint-Lambert/Saint-Lambert"," 96","Longueuil",30,0,17,24,138,6,5,220,410
"Saint-Lambert/Saint-Lambert"," 97","Longueuil",18,4,7,31,94,5,4,163,336
"Saint-Lambert/Saint-Lambert"," 98","Longueuil",25,1,11,14,90,3,1,145,316
"Saint-Lambert/Saint-Lambert"," 99","Longueuil",48,0,18,33,80,6,3,188,367
"Saint-Lambert/Saint-Lambert"," 100","Longueuil",40,1,17,22,109,7,3,199,332
"Saint-Lambert/Saint-Lambert"," 101","Longueuil",49,0,19,32,119,5,1,225,341
"Saint-Lambert/Saint-Lambert"," 102","Longueuil",24,0,30,24,204,14,3,299,408
"Saint-Lambert/Saint-Lambert"," 103","Saint-Lambert",69,0,10,39,64,15,1,198,352
"Saint-Lambert/Saint-Lambert"," 104","Saint-Lambert",38,0,26,41,97,24,2,228,370
"Saint-Lambert/Saint-Lambert"," 105","Le Moyne",22,2,2,12,65,3,1,107,288
"Saint-Lambert/Saint-Lambert"," 106","Le Moyne",33,1,11,19,165,8,4,241,450
"Saint-Lambert/Saint-Lambert"," 107","Saint-Lambert",48,1,13,33,105,3,3,206,438
"Saint-Lambert/Saint-Lambert"," 108","Le Moyne",16,2,18,31,80,5,1,153,381
"Saint-Lambert/Saint-Lambert"," 109","Le Moyne",18,0,7,19,90,5,3,142,308
"Saint-Lambert/Saint-Lambert"," 110","Saint-Lambert",40,1,31,48,92,25,4,241,383
"Saint-Lambert/Saint-Lambert"," 111","Saint-Lambert",55,0,22,51,116,16,2,262,408
"Saint-Lambert/Saint-Lambert"," 112","Saint-Lambert",52,0,21,69,101,25,1,269,386
"Saint-Lambert/Saint-Lambert"," 113","Saint-Lambert",24,0,20,24,84,13,1,166,316
"Saint-Lambert/Saint-Lambert"," 114","Saint-Lambert",77,0,22,59,114,16,2,290,429
"Saint-Lambert/Saint-Lambert"," 115","Saint-Lambert",50,0,35,46,147,20,3,301,434
"Saint-Lambert/Saint-Lambert"," 116","Saint-Lambert",47,0,33,45,99,20,3,247,383
"Saint-Lambert/Saint-Lambert"," 117","Saint-Lambert",32,1,27,27,112,11,2,212,341
"Saint-Lambert/Saint-Lambert"," 118","Saint-Lambert",38,1,32,34,136,25,4,270,414
"Saint-Lambert/Saint-Lambert"," 119","Saint-Lambert",47,0,6,62,35,2,2,154,329
"Saint-Lambert/Saint-Lambert"," 120","Saint-Lambert",32,0,18,52,104,12,1,219,427
"Saint-Lambert/Saint-Lambert"," 121","Saint-Lambert",32,0,15,48,72,12,3,182,466
"Saint-Lambert/Saint-Lambert"," 122","Saint-Lambert",39,2,12,95,66,8,1,223,387
"Saint-Lambert/Saint-Lambert"," 123","Saint-Lambert",41,2,3,46,51,5,5,153,393
"Saint-Lambert/Saint-Lambert"," 124","Saint-Lambert",18,1,6,37,62,15,4,143,287
"Saint-Lambert/Saint-Lambert"," 125A","Saint-Lambert",56,0,18,41,95,12,4,226,357
"Saint-Lambert/Saint-Lambert"," 125B","Saint-Lambert",61,1,19,38,84,15,1,219,345
"Saint-Lambert/Saint-Lambert"," 126A","Saint-Lambert",28,0,14,35,71,7,1,156,287
"Saint-Lambert/Saint-Lambert"," 126B","Saint-Lambert",23,0,20,34,76,17,0,170,302
"Saint-Lambert/Saint-Lambert"," 127","Saint-Lambert",49,1,29,61,95,13,1,249,445
"Saint-Lambert/Saint-Lambert"," 128","Saint-Lambert",45,0,15,52,83,25,1,221,374
"Saint-Lambert/Saint-Lambert"," 129","Saint-Lambert",59,1,28,59,95,14,1,257,378
"Saint-Lambert/Saint-Lambert"," 130","Saint-Lambert",49,0,11,48,53,9,0,170,320
"Saint-Lambert/Saint-Lambert"," 131","Saint-Lambert",61,0,17,50,62,16,2,208,376
"Saint-Lambert/Saint-Lambert"," 132","Saint-Lambert",79,0,12,69,43,12,0,215,333
"Saint-Lambert/Saint-Lambert"," 133","Saint-Lambert",56,0,15,53,83,7,2,216,383
"Saint-Lambert/Saint-Lambert"," 134","Saint-Lambert",30,0,9,42,37,5,2,125,342
"Saint-Lambert/Saint-Lambert"," 135A","Saint-Lambert",68,0,7,45,37,6,1,164,312
"Saint-Lambert/Saint-Lambert"," 135B","Saint-Lambert",63,0,8,60,31,6,1,169,336
"Saint-Lambert/Saint-Lambert"," 136","Saint-Lambert",17,0,13,42,44,5,1,122,290
"Saint-Lambert/Saint-Lambert"," 137","Saint-Lambert",40,0,8,43,48,17,0,156,279
"Saint-Lambert/Saint-Lambert"," 138A","Saint-Lambert",37,0,8,43,30,4,1,123,284
"Saint-Lambert/Saint-Lambert"," 138B","Saint-Lambert",35,0,4,44,40,5,0,128,258
"Saint-Lambert/Saint-Lambert"," 139","Saint-Lambert",49,0,16,52,68,13,0,198,324
"Saint-Lambert/Saint-Lambert"," 140","Saint-Lambert",62,0,15,65,46,10,1,199,322
"Saint-Lambert/Saint-Lambert"," 141","Saint-Lambert",54,1,13,51,55,13,2,189,316
"Saint-Lambert/Saint-Lambert"," 142","Saint-Lambert",78,0,13,53,56,23,1,224,358
"Saint-Lambert/Saint-Lambert"," 143A","Saint-Lambert",57,3,4,79,34,5,2,184,269
"Saint-Lambert/Saint-Lambert"," 143B","Saint-Lambert",39,3,6,85,37,3,0,173,264
"Saint-Lambert/Saint-Lambert"," 144A","Saint-Lambert",40,0,13,29,34,4,3,123,249
"Saint-Lambert/Saint-Lambert"," 144B","Saint-Lambert",33,0,10,31,41,8,1,124,282
"Saint-Lambert/Saint-Lambert"," 145","Saint-Lambert",55,0,24,60,49,7,0,195,397
"Saint-Lambert/Saint-Lambert"," 146","Saint-Lambert",33,0,24,46,53,0,0,156,390
"Saint-Lambert/Saint-Lambert"," 147","Saint-Lambert",19,0,14,36,53,4,2,128,312
"Saint-Lambert/Saint-Lambert"," 148","Saint-Lambert",49,0,31,41,91,9,0,221,434
"Saint-Lambert/Saint-Lambert"," 149","Saint-Lambert",71,0,19,55,91,9,3,248,461
"Saint-Lambert/Saint-Lambert"," 150","Le Moyne",18,0,11,19,89,4,2,143,343
"Saint-Lambert/Saint-Lambert"," 151A","Le Moyne",25,0,11,16,89,2,1,144,257
"Saint-Lambert/Saint-Lambert"," 151B","Le Moyne",24,1,8,20,77,5,6,141,256
"Saint-Lambert/Saint-Lambert"," 152A","Le Moyne",22,0,5,19,97,2,3,148,278
"Saint-Lambert/Saint-Lambert"," 152B","Le Moyne",24,1,10,13,55,4,2,109,264
"Saint-Lambert/Saint-Lambert"," 153","Le Moyne",23,1,11,22,104,4,0,165,383
"Saint-Lambert/Saint-Lambert"," 154","Le Moyne",23,0,14,26,66,3,2,134,222
"Saint-Lambert/Saint-Lambert"," 155","Le Moyne",43,1,15,34,119,8,4,224,377
"Saint-Lambert/Saint-Lambert"," 156","Le Moyne",36,0,8,26,125,9,1,205,352
"Saint-Lambert/Saint-Lambert"," 157","Greenfield Park",35,1,20,61,97,19,1,234,416
"Saint-Lambert/Saint-Lambert"," 158","Greenfield Park",33,0,14,35,43,8,3,136,275
"Saint-Lambert/Saint-Lambert"," 159","Greenfield Park",35,1,18,52,75,11,3,195,403
"Saint-Lambert/Saint-Lambert"," 160","Greenfield Park",60,2,17,118,76,10,3,286,497
"Saint-Lambert/Saint-Lambert"," 161","Greenfield Park",26,1,19,45,41,9,4,145,415
"Saint-Lambert/Saint-Lambert"," 162A","Greenfield Park",21,0,9,42,55,10,0,137,239
"Saint-Lambert/Saint-Lambert"," 162B","Greenfield Park",23,0,16,30,71,13,2,155,272
"Saint-Lambert/Saint-Lambert"," 163","Greenfield Park",28,1,22,87,86,12,0,236,437
"Saint-Lambert/Saint-Lambert"," 164","Greenfield Park",33,0,20,73,68,13,1,208,342
"Saint-Lambert/Saint-Lambert"," 165","Greenfield Park",34,0,25,61,62,9,1,192,311
"Saint-Lambert/Saint-Lambert"," 166A","Greenfield Park",20,0,6,41,44,6,3,120,287
"Saint-Lambert/Saint-Lambert"," 166B","Greenfield Park",28,0,10,33,47,6,2,126,306
"Saint-Lambert/Saint-Lambert"," 167","Greenfield Park",50,0,18,66,90,9,1,234,380
"Saint-Lambert/Saint-Lambert"," 168","Greenfield Park",39,0,16,66,58,15,0,194,338
"Saint-Lambert/Saint-Lambert"," 169","Greenfield Park",55,0,22,71,62,9,0,219,461
"Saint-Lambert/Saint-Lambert"," 170","Greenfield Park",56,0,18,77,44,5,2,202,329
"Saint-Lambert/Saint-Lambert"," 171","Greenfield Park",55,1,25,99,57,13,2,252,419
"Saint-Lambert/Saint-Lambert"," 172","Greenfield Park",45,0,22,76,57,5,0,205,396
"Saint-Lambert/Saint-Lambert"," 173","Greenfield Park",25,1,20,98,28,2,0,174,260
"Saint-Lambert/Saint-Lambert"," 174","Greenfield Park",23,1,14,86,34,7,2,167,387
"Saint-Lambert/Saint-Lambert"," 175","Greenfield Park",36,1,15,99,36,10,1,198,353
"Saint-Lambert/Saint-Lambert"," 176","Greenfield Park",43,1,11,76,31,12,3,177,310
"Saint-Lambert/Saint-Lambert"," 177","Greenfield Park",39,0,17,62,62,4,4,188,350
"Saint-Lambert/Saint-Lambert"," 178A","Greenfield Park",34,3,14,49,56,5,3,164,294
"Saint-Lambert/Saint-Lambert"," 178B","Greenfield Park",36,0,18,55,40,3,1,153,296
"Saint-Lambert/Saint-Lambert"," 179","Greenfield Park",44,0,10,73,31,8,1,167,316
"Saint-Lambert/Saint-Lambert"," 180","Greenfield Park",65,0,18,57,83,10,1,234,402
"Saint-Lambert/Saint-Lambert"," 181","Greenfield Park",50,0,15,56,68,4,5,198,378
"Saint-Lambert/Saint-Lambert"," 182","Greenfield Park",39,1,17,70,57,6,2,192,301
"Saint-Lambert/Saint-Lambert"," 183A","Greenfield Park",20,1,11,65,45,5,3,150,276
"Saint-Lambert/Saint-Lambert"," 183B","Greenfield Park",35,0,11,79,42,5,2,174,312
"Saint-Lambert/Saint-Lambert"," 184","Greenfield Park",51,0,25,89,56,12,1,234,420
"Saint-Lambert/Saint-Lambert"," 185","Greenfield Park",35,0,24,35,75,3,3,175,377
"Saint-Lambert/Saint-Lambert"," 186","Greenfield Park",45,3,25,54,66,3,3,199,338
"Saint-Lambert/Saint-Lambert"," 187A","Greenfield Park",37,0,13,43,35,3,1,132,249
"Saint-Lambert/Saint-Lambert"," 187B","Greenfield Park",35,0,21,51,36,8,0,151,281
"Saint-Lambert/Saint-Lambert"," 188","Greenfield Park",55,0,26,91,79,8,1,260,425
"Saint-Lambert/Saint-Lambert"," 189","Greenfield Park",35,1,13,63,91,12,3,218,363
"Saint-Lambert/Saint-Lambert"," 500A","Mobile poll/Bureau itinérant",5,4,2,16,4,1,3,35,55
"Saint-Lambert/Saint-Lambert"," 500B","Mobile poll/Bureau itinérant",17,1,2,20,8,1,2,51,102
"Saint-Lambert/Saint-Lambert"," 600","Longueuil",163,2,42,165,327,19,5,723,
"Saint-Lambert/Saint-Lambert"," 601","Longueuil",100,1,32,122,275,13,6,549,
"Saint-Lambert/Saint-Lambert"," 602","Longueuil",92,5,13,63,254,7,8,442,
"Saint-Lambert/Saint-Lambert"," 603","Longueuil",97,3,21,93,253,9,9,485,
"Saint-Lambert/Saint-Lambert"," 604","Longueuil",134,3,24,124,311,12,7,615,
"Saint-Lambert/Saint-Lambert"," 605","Longueuil",199,2,49,294,237,19,5,805,
"Saint-Lambert/Saint-Lambert"," 606","Longueuil",345,1,54,473,226,46,8,1153,
"Saint-Lambert/Saint-Lambert"," 607","Longueuil",224,1,49,334,222,25,9,864,
"Saint-Lambert/Saint-Lambert"," 608","Longueuil",154,2,23,202,111,11,1,504,
"Saint-Lambert/Saint-Lambert",,Group 1/Groupe 1,26,1,4,36,32,8,7,114,221
"Saint-Lambert/Saint-Lambert",,Group 2/Groupe 2,331,4,72,819,865,35,20,2146,
