Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Terry Albright,Vern M. Garnett,John Wallace,Paul Zed,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Saint John/Saint John"," 33","Saint John",50,5,125,108,1,289,491
"Saint John/Saint John"," 34","Saint John",23,5,82,79,2,191,325
"Saint John/Saint John"," 35","Saint John",52,4,125,97,0,278,496
"Saint John/Saint John"," 36","Saint John",23,1,47,24,0,95,320
"Saint John/Saint John"," 37","Saint John",34,4,119,102,1,260,495
"Saint John/Saint John"," 38","Saint John",25,7,66,80,1,179,314
"Saint John/Saint John"," 39","Saint John",43,4,73,79,0,199,408
"Saint John/Saint John"," 40","Saint John",46,3,54,70,0,173,356
"Saint John/Saint John"," 41","Saint John",43,5,57,35,1,141,322
"Saint John/Saint John"," 42","Saint John",21,1,27,25,0,74,223
"Saint John/Saint John"," 43","Saint John",58,4,138,112,0,312,499
"Saint John/Saint John"," 44","Saint John",17,1,34,44,1,97,356
"Saint John/Saint John"," 45","Saint John",36,3,62,55,1,157,310
"Saint John/Saint John"," 46","Saint John",25,3,52,40,1,121,282
"Saint John/Saint John"," 47","Saint John",31,2,80,94,1,208,364
"Saint John/Saint John"," 48","Saint John",54,8,80,71,1,214,505
"Saint John/Saint John"," 49","Saint John",15,0,66,56,1,138,275
"Saint John/Saint John"," 50","Saint John",28,4,112,91,1,236,410
"Saint John/Saint John"," 51","Saint John",40,3,72,59,1,175,424
"Saint John/Saint John"," 52","Saint John",57,5,144,99,1,306,548
"Saint John/Saint John"," 53","Saint John",63,9,84,84,0,240,584
"Saint John/Saint John"," 54","Saint John",37,1,61,68,1,168,382
"Saint John/Saint John"," 55","Saint John",42,1,40,58,1,142,352
"Saint John/Saint John"," 56","Saint John",32,5,60,58,2,157,361
"Saint John/Saint John"," 57","Saint John",29,3,54,37,0,123,293
"Saint John/Saint John"," 58","Saint John",17,3,20,19,0,59,204
"Saint John/Saint John"," 59","Saint John",15,4,85,91,3,198,328
"Saint John/Saint John"," 60","Saint John",36,2,94,80,0,212,415
"Saint John/Saint John"," 61","Saint John",38,11,85,109,4,247,390
"Saint John/Saint John"," 62","Saint John",33,2,58,80,2,175,299
"Saint John/Saint John"," 63","Saint John",23,7,73,85,0,188,322
"Saint John/Saint John"," 64","Saint John",31,4,106,80,5,226,328
"Saint John/Saint John"," 65","Saint John",42,4,87,98,1,232,419
"Saint John/Saint John"," 66","Saint John",28,1,45,46,2,122,283
"Saint John/Saint John"," 67","Saint John",31,4,61,66,0,162,356
"Saint John/Saint John"," 68","Saint John",42,8,56,65,1,172,304
"Saint John/Saint John"," 69","Saint John",27,5,62,86,2,182,343
"Saint John/Saint John"," 70","Saint John",43,4,64,84,1,196,410
"Saint John/Saint John"," 71","Saint John",35,4,66,60,1,166,354
"Saint John/Saint John"," 72","Saint John",42,7,67,46,2,164,304
"Saint John/Saint John"," 73","Saint John",43,1,76,58,3,181,309
"Saint John/Saint John"," 74","Saint John",34,13,73,63,2,185,325
"Saint John/Saint John"," 75","Saint John",79,11,112,127,2,331,632
"Saint John/Saint John"," 76","Saint John",30,8,113,150,4,305,475
"Saint John/Saint John"," 77","Saint John",18,5,124,131,1,279,419
"Saint John/Saint John"," 78","Saint John",29,1,84,125,2,241,386
"Saint John/Saint John"," 79","Saint John",24,8,32,61,0,125,248
"Saint John/Saint John"," 80A","Saint John",13,3,88,105,1,210,321
"Saint John/Saint John"," 80B","Saint John",9,0,92,86,0,187,294
"Saint John/Saint John"," 81","Saint John",23,2,108,175,1,309,433
"Saint John/Saint John"," 82","Saint John",21,3,91,107,0,222,375
"Saint John/Saint John"," 83","Saint John",30,3,60,103,0,196,292
"Saint John/Saint John"," 84","Saint John",32,1,108,110,2,253,443
"Saint John/Saint John"," 85","Saint John",25,1,28,57,2,113,215
"Saint John/Saint John"," 86","Saint John",26,1,49,48,0,124,303
"Saint John/Saint John"," 87","Saint John",26,4,40,55,1,126,291
"Saint John/Saint John"," 88","Saint John",22,5,54,81,0,162,359
"Saint John/Saint John"," 89","Saint John",31,7,75,58,1,172,355
"Saint John/Saint John"," 90","Saint John",15,1,16,25,3,60,198
"Saint John/Saint John"," 91","Saint John",37,3,42,67,1,150,368
"Saint John/Saint John"," 92","Saint John",32,6,54,73,0,165,379
"Saint John/Saint John"," 93","Saint John",28,3,35,63,0,129,338
"Saint John/Saint John"," 94","Saint John",22,1,26,64,0,113,225
"Saint John/Saint John"," 95","Saint John",34,5,33,77,0,149,408
"Saint John/Saint John"," 96","Saint John",26,2,30,44,0,102,332
"Saint John/Saint John"," 97","Saint John",45,5,81,95,3,229,471
"Saint John/Saint John"," 98","Saint John",32,10,36,91,0,169,342
"Saint John/Saint John"," 99","Saint John",27,3,78,130,1,239,467
"Saint John/Saint John"," 100","Saint John",11,3,16,29,0,59,294
"Saint John/Saint John"," 101","Saint John",23,4,23,38,5,93,243
"Saint John/Saint John"," 102","Saint John",15,6,29,45,0,95,325
"Saint John/Saint John"," 103","Saint John",37,5,39,65,1,147,401
"Saint John/Saint John"," 104","Saint John",23,1,25,45,3,97,303
"Saint John/Saint John"," 105","Saint John",30,7,43,57,1,138,347
"Saint John/Saint John"," 106","Saint John",34,7,20,43,0,104,270
"Saint John/Saint John"," 107","Saint John",27,1,81,96,3,208,342
"Saint John/Saint John"," 108","Saint John",30,4,51,87,1,173,292
"Saint John/Saint John"," 109","Saint John",23,8,64,86,1,182,394
"Saint John/Saint John"," 110","Saint John",24,0,30,60,0,114,325
"Saint John/Saint John"," 111","Saint John",27,3,30,55,0,115,290
"Saint John/Saint John"," 112","Saint John",30,7,31,51,0,119,311
"Saint John/Saint John"," 113","Saint John",41,6,59,77,0,183,379
"Saint John/Saint John"," 114","Saint John",31,8,48,69,1,157,353
"Saint John/Saint John"," 115","Saint John",43,4,24,56,0,127,288
"Saint John/Saint John"," 116","Saint John",35,5,38,47,2,127,328
"Saint John/Saint John"," 117","Saint John",14,6,19,49,0,88,302
"Saint John/Saint John"," 118","Saint John",23,7,36,62,1,129,341
"Saint John/Saint John"," 119","Saint John",33,1,38,64,0,136,418
"Saint John/Saint John"," 120","Saint John",33,3,61,83,0,180,396
"Saint John/Saint John"," 121","Saint John",47,3,84,89,3,226,342
"Saint John/Saint John"," 122","Saint John",34,5,82,91,1,213,356
"Saint John/Saint John"," 123","Saint John",13,3,40,35,0,91,249
"Saint John/Saint John"," 124","Saint John",35,5,51,55,3,149,358
"Saint John/Saint John"," 125","Saint John",16,6,66,70,2,160,330
"Saint John/Saint John"," 126","Saint John",25,2,49,36,1,113,347
"Saint John/Saint John"," 127","Saint John",30,4,44,23,0,101,306
"Saint John/Saint John"," 128","Saint John",28,3,51,33,0,115,318
"Saint John/Saint John"," 129","Saint John",26,6,38,45,0,115,293
"Saint John/Saint John"," 130","Saint John",31,5,57,78,1,172,361
"Saint John/Saint John"," 131","Saint John",26,6,72,94,1,199,364
"Saint John/Saint John"," 132","Saint John",39,6,80,105,0,230,386
"Saint John/Saint John"," 133","Saint John",39,7,46,67,2,161,362
"Saint John/Saint John"," 134","Saint John",56,8,68,111,1,244,430
"Saint John/Saint John"," 135","Saint John",21,2,99,115,1,238,390
"Saint John/Saint John"," 136","Saint John",40,8,74,76,3,201,361
"Saint John/Saint John"," 137","Saint John",32,3,28,54,0,117,277
"Saint John/Saint John"," 138","Saint John",29,1,43,45,3,121,358
"Saint John/Saint John"," 139","Saint John",16,2,77,89,1,185,328
"Saint John/Saint John"," 140","Saint John",35,4,99,92,4,234,390
"Saint John/Saint John"," 141A","Saint John",20,1,61,80,0,162,286
"Saint John/Saint John"," 141B","Saint John",29,2,62,66,0,159,278
"Saint John/Saint John"," 142A","Saint John",23,4,101,132,0,260,470
"Saint John/Saint John"," 142B","Saint John",11,0,52,37,0,100,136
"Saint John/Saint John"," 143","Saint John",23,7,91,89,0,210,405
"Saint John/Saint John"," 144","Saint John",14,0,88,78,0,180,312
"Saint John/Saint John"," 145","Saint John",35,3,116,111,2,267,436
"Saint John/Saint John"," 146A","Saint John",11,4,75,96,1,187,295
"Saint John/Saint John"," 146B","Saint John",23,4,70,89,1,187,300
"Saint John/Saint John"," 147","Saint John",42,5,52,44,0,143,285
"Saint John/Saint John"," 148","Saint John",54,9,75,97,2,237,490
"Saint John/Saint John"," 149","Saint John",41,5,43,61,2,152,351
"Saint John/Saint John"," 150","Saint John",30,1,53,44,0,128,331
"Saint John/Saint John"," 151","Saint John",14,1,36,37,0,88,197
"Saint John/Saint John"," 152","Saint John",44,1,56,69,0,170,334
"Saint John/Saint John"," 153","Saint John",28,1,56,72,0,157,311
"Saint John/Saint John"," 154","Saint John",39,3,41,33,0,116,245
"Saint John/Saint John"," 155","Saint John",33,4,77,92,0,206,383
"Saint John/Saint John"," 156","Saint John",56,2,92,82,1,233,385
"Saint John/Saint John"," 157","Saint John",51,4,62,86,2,205,347
"Saint John/Saint John"," 158","Saint John",23,1,78,87,0,189,412
"Saint John/Saint John"," 159A","Saint John",38,4,67,63,1,173,308
"Saint John/Saint John"," 159B","Saint John",21,2,62,85,1,171,321
"Saint John/Saint John"," 160","Saint John",33,2,65,105,0,205,332
"Saint John/Saint John"," 161","Saint John",31,2,113,115,1,262,482
"Saint John/Saint John"," 162","Saint John",23,6,58,65,1,153,352
"Saint John/Saint John"," 163","Saint John",53,6,75,66,0,200,400
"Saint John/Saint John"," 164","Saint John",44,7,83,116,0,250,424
"Saint John/Saint John"," 165","Saint John",34,6,83,60,0,183,314
"Saint John/Saint John"," 166","Saint John",47,6,59,57,1,170,294
"Saint John/Saint John"," 167","Saint John",24,10,84,71,0,189,303
"Saint John/Saint John"," 168","Saint John",40,6,133,58,1,238,381
"Saint John/Saint John"," 169","Saint John",31,5,93,83,0,212,416
"Saint John/Saint John"," 170","Saint John",41,5,98,93,0,237,388
"Saint John/Saint John"," 171","Saint John",27,6,64,45,0,142,229
"Saint John/Saint John"," 172","Saint John",48,5,64,59,0,176,347
"Saint John/Saint John"," 500","Mobile poll/Bureau itinérant",6,6,36,44,1,93,223
"Saint John/Saint John"," 501","Mobile poll/Bureau itinérant",14,5,60,54,4,137,149
"Saint John/Saint John"," 502","Mobile poll/Bureau itinérant",13,2,49,63,4,131,324
"Saint John/Saint John"," 503","Mobile poll/Bureau itinérant",1,1,23,84,1,110,217
"Saint John/Saint John"," 600","Saint John",39,7,278,196,2,522,
"Saint John/Saint John"," 601","Saint John",42,5,288,227,0,562,
"Saint John/Saint John"," 602","Saint John",39,9,201,175,2,426,
"Saint John/Saint John"," 603","Saint John",80,11,286,279,2,658,
"Saint John/Saint John"," 604","Saint John",21,4,54,57,3,139,
"Saint John/Saint John"," 605","Saint John",44,5,131,199,2,381,
"Saint John/Saint John"," 606","Saint John",52,6,244,274,2,578,
"Saint John/Saint John"," 607","Saint John",35,2,149,120,1,307,
"Saint John/Saint John"," 608","Saint John",78,16,310,223,1,628,
"Saint John/Saint John"," 609","Saint John",46,6,196,179,1,428,
"Saint John/Saint John"," 610","Saint John",14,3,167,183,1,368,
"Saint John/Saint John",,Group 1/Groupe 1,16,4,60,95,5,180,504
"Saint John/Saint John",,Group 2/Groupe 2,129,19,476,923,25,1572,
