Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sylvie Lavallée,Gérard Leclerc,Jean-François Lévêque,Pierre A. Paquette,Jacques Trudeau,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Joliette/Joliette"," 40","Sainte-Béatrix",54,28,17,170,8,4,281,429
"Joliette/Joliette"," 41","Saint-Côme",73,15,11,126,15,1,241,444
"Joliette/Joliette"," 42","Saint-Côme",45,23,6,128,8,1,211,369
"Joliette/Joliette"," 43","Saint-Côme",69,26,5,140,15,9,264,422
"Joliette/Joliette"," 44","Saint-Côme",71,31,4,127,15,12,260,445
"Joliette/Joliette"," 45","Saint-Alphonse-Rodriguez",69,15,6,136,18,6,250,503
"Joliette/Joliette"," 46","Saint-Alphonse-Rodriguez",45,13,6,118,12,1,195,379
"Joliette/Joliette"," 47","Saint-Alphonse-Rodriguez",55,21,10,132,19,1,238,454
"Joliette/Joliette"," 48","Sainte-Béatrix",81,25,13,156,12,4,291,474
"Joliette/Joliette"," 49","Sainte-Béatrix",62,23,8,178,19,7,297,497
"Joliette/Joliette"," 50","Saint-Alphonse-Rodriguez",68,27,16,169,15,3,298,537
"Joliette/Joliette"," 51","Saint-Alphonse-Rodriguez",79,32,7,186,13,4,321,636
"Joliette/Joliette"," 52","Sainte-Marcelline-de-Kildare",93,31,21,214,20,9,388,605
"Joliette/Joliette"," 53","Sainte-Marcelline-de-Kildare",46,25,13,171,22,8,285,452
"Joliette/Joliette"," 54","Rawdon",54,40,14,99,20,4,231,474
"Joliette/Joliette"," 55","Rawdon",91,48,26,120,12,0,297,525
"Joliette/Joliette"," 56","Rawdon",52,50,12,109,21,7,251,368
"Joliette/Joliette"," 57","Rawdon",39,25,6,103,14,3,190,397
"Joliette/Joliette"," 58","Rawdon",38,20,12,136,14,1,221,450
"Joliette/Joliette"," 59","Rawdon",Merged with No. 56/Fusionné avec le nº 56,,,,,,,191
"Joliette/Joliette"," 60","Rawdon",45,28,20,123,9,8,233,428
"Joliette/Joliette"," 61","Rawdon",68,28,12,151,17,3,279,586
"Joliette/Joliette"," 62","Rawdon",43,45,17,76,4,5,190,397
"Joliette/Joliette"," 63","Rawdon",61,29,16,92,15,5,218,472
"Joliette/Joliette"," 64","Rawdon",54,28,14,144,14,4,258,507
"Joliette/Joliette"," 65","Rawdon",66,49,19,115,20,4,273,511
"Joliette/Joliette"," 66","Rawdon",70,58,13,113,36,5,295,531
"Joliette/Joliette"," 67","Rawdon",46,38,12,92,9,2,199,440
"Joliette/Joliette"," 68","Rawdon",70,61,18,96,20,5,270,480
"Joliette/Joliette"," 69","Rawdon",44,8,11,137,18,1,219,400
"Joliette/Joliette"," 70","Rawdon",38,17,10,107,21,2,195,391
"Joliette/Joliette"," 71A","Sainte-Mélanie",54,12,13,125,13,2,219,310
"Joliette/Joliette"," 71B","Sainte-Mélanie",65,19,8,135,7,7,241,373
"Joliette/Joliette"," 72","Sainte-Mélanie",58,17,7,117,16,4,219,406
"Joliette/Joliette"," 73","Sainte-Mélanie",111,42,8,214,14,9,398,567
"Joliette/Joliette"," 74","Sainte-Mélanie",60,14,3,159,16,6,258,455
"Joliette/Joliette"," 75","Notre-Dame-de-Lourdes",78,14,11,147,9,9,268,403
"Joliette/Joliette"," 76A","Notre-Dame-de-Lourdes",65,26,4,146,9,7,257,445
"Joliette/Joliette"," 76B","Notre-Dame-de-Lourdes",Merged with No. 78/Fusionné avec le nº 78,,,,,,,229
"Joliette/Joliette"," 77","Notre-Dame-de-Lourdes",43,14,5,202,6,7,277,524
"Joliette/Joliette"," 78","Notre-Dame-de-Lourdes",58,19,8,174,14,7,280,235
"Joliette/Joliette"," 79","Saint-Ambroise-de-Kildare",71,6,7,167,6,1,258,399
"Joliette/Joliette"," 80","Saint-Ambroise-de-Kildare",62,6,16,161,19,9,273,441
"Joliette/Joliette"," 81","Saint-Ambroise-de-Kildare",73,13,10,192,13,8,309,518
"Joliette/Joliette"," 82","Saint-Ambroise-de-Kildare",92,26,15,188,11,7,339,554
"Joliette/Joliette"," 83","Saint-Ambroise-de-Kildare",46,14,16,149,13,6,244,432
"Joliette/Joliette"," 84","Saint-Ambroise-de-Kildare",70,13,13,113,10,2,221,367
"Joliette/Joliette"," 85","Saint-Félix-de-Valois",76,17,9,109,17,2,230,392
"Joliette/Joliette"," 86","Saint-Félix-de-Valois",Merged with No. 87/Fusionné avec le nº 87,,,,,,,254
"Joliette/Joliette"," 87","Saint-Félix-de-Valois",95,9,18,182,18,10,332,331
"Joliette/Joliette"," 88","Saint-Félix-de-Valois",63,15,4,103,10,5,200,363
"Joliette/Joliette"," 89","Saint-Félix-de-Valois",56,17,5,95,5,5,183,337
"Joliette/Joliette"," 90","Saint-Félix-de-Valois",47,8,5,109,6,2,177,336
"Joliette/Joliette"," 91","Saint-Félix-de-Valois",61,15,13,126,13,1,229,402
"Joliette/Joliette"," 92","Saint-Félix-de-Valois",60,10,0,127,4,2,203,386
"Joliette/Joliette"," 93","Saint-Félix-de-Valois",90,22,8,198,12,8,338,291
"Joliette/Joliette"," 94","Saint-Félix-de-Valois",Merged with No. 93/Fusionné avec le nº 93,,,,,,,287
"Joliette/Joliette"," 95","Saint-Félix-de-Valois",76,12,7,164,7,6,272,458
"Joliette/Joliette"," 96","Saint-Félix-de-Valois",72,20,16,132,13,8,261,564
"Joliette/Joliette"," 97","Saint-Charles-Borromée",67,15,11,125,12,5,235,443
"Joliette/Joliette"," 98","Saint-Charles-Borromée",100,15,19,198,22,2,356,597
"Joliette/Joliette"," 99","Saint-Charles-Borromée",78,19,10,173,17,3,300,621
"Joliette/Joliette"," 100","Saint-Charles-Borromée",99,14,19,205,19,9,365,582
"Joliette/Joliette"," 101","Saint-Charles-Borromée",51,22,11,179,9,7,279,505
"Joliette/Joliette"," 102","Saint-Charles-Borromée",52,16,11,119,21,1,220,349
"Joliette/Joliette"," 103","Saint-Charles-Borromée",75,8,11,148,15,4,261,430
"Joliette/Joliette"," 104","Saint-Charles-Borromée",50,20,6,120,15,2,213,333
"Joliette/Joliette"," 105","Saint-Charles-Borromée",63,22,10,110,14,7,226,384
"Joliette/Joliette"," 106","Saint-Charles-Borromée",80,20,6,153,21,3,283,465
"Joliette/Joliette"," 107","Saint-Charles-Borromée",69,26,9,99,4,6,213,498
"Joliette/Joliette"," 108","Saint-Charles-Borromée",98,21,10,124,19,3,275,433
"Joliette/Joliette"," 109","Saint-Charles-Borromée",54,20,4,113,9,7,207,410
"Joliette/Joliette"," 110","Saint-Charles-Borromée",54,11,4,91,11,6,177,302
"Joliette/Joliette"," 111","Saint-Charles-Borromée",42,21,5,42,3,3,116,335
"Joliette/Joliette"," 112A","Saint-Charles-Borromée",42,12,3,76,4,4,141,356
"Joliette/Joliette"," 112B","Saint-Charles-Borromée",12,9,7,21,3,3,55,102
"Joliette/Joliette"," 113","Saint-Charles-Borromée",69,21,5,131,8,10,244,480
"Joliette/Joliette"," 114","Saint-Charles-Borromée",45,13,8,122,6,1,195,320
"Joliette/Joliette"," 115","Saint-Charles-Borromée",59,17,12,131,14,2,235,376
"Joliette/Joliette"," 116A","Saint-Charles-Borromée",69,13,13,107,14,4,220,373
"Joliette/Joliette"," 116B","Saint-Charles-Borromée",60,12,8,109,12,3,204,369
"Joliette/Joliette"," 117","Saint-Charles-Borromée",78,12,8,125,12,13,248,418
"Joliette/Joliette"," 118","Joliette",Merged with No. 159/Fusionné avec le nº 159,,,,,,,275
"Joliette/Joliette"," 119","Joliette",42,10,7,108,9,4,180,336
"Joliette/Joliette"," 120A","Joliette",32,12,8,75,16,1,144,327
"Joliette/Joliette"," 120B","Mobile poll/Bureau itinérant",Merged with No. 503B/Fusionné avec le nº 503B,,,,,,,180
"Joliette/Joliette"," 120C","Mobile poll/Bureau itinérant",Merged with No. 503B/Fusionné avec le nº 503B,,,,,,,55
"Joliette/Joliette"," 121","Joliette",55,25,14,106,21,8,229,637
"Joliette/Joliette"," 122","Joliette",45,18,11,112,18,6,210,320
"Joliette/Joliette"," 123","Joliette",40,19,14,110,11,1,195,675
"Joliette/Joliette"," 124","Joliette",Merged with No. 122/Fusionné avec le nº 122,,,,,,,255
"Joliette/Joliette"," 125","Joliette",60,18,15,79,10,4,186,379
"Joliette/Joliette"," 126","Joliette",86,20,11,129,11,1,258,447
"Joliette/Joliette"," 127","Joliette",61,9,9,66,6,0,151,306
"Joliette/Joliette"," 128","Joliette",49,21,13,71,9,2,165,288
"Joliette/Joliette"," 129","Joliette",61,8,7,109,18,2,205,369
"Joliette/Joliette"," 130","Joliette",79,18,24,106,14,0,241,525
"Joliette/Joliette"," 131","Joliette",24,8,2,75,10,1,120,391
"Joliette/Joliette"," 132","Joliette",32,17,7,64,8,3,131,323
"Joliette/Joliette"," 133","Joliette",51,46,12,120,8,3,240,387
"Joliette/Joliette"," 134","Joliette",43,15,9,71,4,6,148,322
"Joliette/Joliette"," 135","Joliette",56,24,9,74,9,1,173,335
"Joliette/Joliette"," 136","Joliette",114,30,7,155,13,4,323,566
"Joliette/Joliette"," 137","Joliette",87,27,8,136,19,7,284,524
"Joliette/Joliette"," 138","Notre-Dame-des-Prairies",54,24,15,182,13,2,290,486
"Joliette/Joliette"," 139","Notre-Dame-des-Prairies",74,7,4,171,16,3,275,457
"Joliette/Joliette"," 140","Notre-Dame-des-Prairies",104,20,20,255,23,6,428,657
"Joliette/Joliette"," 141","Notre-Dame-des-Prairies",49,6,6,72,6,4,143,284
"Joliette/Joliette"," 142","Notre-Dame-des-Prairies",52,12,5,96,4,3,172,317
"Joliette/Joliette"," 143","Notre-Dame-des-Prairies",128,31,12,134,19,5,329,530
"Joliette/Joliette"," 144","Notre-Dame-des-Prairies",79,29,9,141,15,2,275,468
"Joliette/Joliette"," 145","Notre-Dame-des-Prairies",56,18,6,102,9,5,196,351
"Joliette/Joliette"," 146","Notre-Dame-des-Prairies",62,17,15,129,10,5,238,389
"Joliette/Joliette"," 147","Notre-Dame-des-Prairies",74,6,10,110,5,6,211,360
"Joliette/Joliette"," 148","Notre-Dame-des-Prairies",31,10,8,110,14,1,174,342
"Joliette/Joliette"," 149","Notre-Dame-des-Prairies",75,23,7,124,14,4,247,380
"Joliette/Joliette"," 150","Notre-Dame-des-Prairies",62,15,12,202,12,10,313,487
"Joliette/Joliette"," 151A","Notre-Dame-des-Prairies",60,10,8,121,17,6,222,366
"Joliette/Joliette"," 151B","Notre-Dame-des-Prairies",59,9,12,141,14,4,239,409
"Joliette/Joliette"," 152","Notre-Dame-des-Prairies",87,28,7,104,8,1,235,413
"Joliette/Joliette"," 153","Saint-Thomas",Merged with No. 158/Fusionné avec le nº 158,,,,,,,107
"Joliette/Joliette"," 154","Saint-Thomas",80,24,17,164,15,4,304,467
"Joliette/Joliette"," 155","Saint-Thomas",89,17,7,145,11,3,272,420
"Joliette/Joliette"," 156","Saint-Thomas",98,16,15,136,11,1,277,402
"Joliette/Joliette"," 157","Saint-Thomas",102,15,16,169,15,10,327,507
"Joliette/Joliette"," 158","Saint-Thomas",94,16,12,157,25,3,307,378
"Joliette/Joliette"," 159","Joliette",85,30,14,145,17,8,299,277
"Joliette/Joliette"," 160","Joliette",65,17,14,176,13,0,285,568
"Joliette/Joliette"," 161","Joliette",70,23,15,126,11,3,248,358
"Joliette/Joliette"," 162","Joliette",62,26,14,129,11,5,247,460
"Joliette/Joliette"," 163A","Joliette",41,23,3,58,3,7,135,256
"Joliette/Joliette"," 163B","Joliette",Merged with No. 161/Fusionné avec le nº 161,,,,,,,79
"Joliette/Joliette"," 164","Joliette",46,14,17,98,14,4,193,373
"Joliette/Joliette"," 165","Joliette",Merged with No. 171/Fusionné avec le nº 171,,,,,,,293
"Joliette/Joliette"," 166","Joliette",40,19,2,117,11,4,193,396
"Joliette/Joliette"," 167","Joliette",48,18,4,78,11,6,165,322
"Joliette/Joliette"," 168","Joliette",41,5,8,74,6,2,136,324
"Joliette/Joliette"," 169","Joliette",51,18,10,88,17,1,185,311
"Joliette/Joliette"," 170","Joliette",31,8,5,80,10,1,135,347
"Joliette/Joliette"," 171","Joliette",81,19,7,155,21,5,288,304
"Joliette/Joliette"," 172","Joliette",68,24,10,123,11,7,243,376
"Joliette/Joliette"," 173","Joliette",73,19,9,181,16,6,304,474
"Joliette/Joliette"," 174A","Joliette",50,12,14,135,9,3,223,402
"Joliette/Joliette"," 174B","Joliette",72,9,17,139,10,4,251,438
"Joliette/Joliette"," 175","Joliette",97,16,23,186,18,6,346,485
"Joliette/Joliette"," 176","Saint-Pierre",Merged with No. 179/Fusionné avec le nº 179,,,,,,,174
"Joliette/Joliette"," 177","Saint-Paul",95,29,13,197,10,8,352,650
"Joliette/Joliette"," 178","Saint-Paul",73,11,7,170,20,4,285,418
"Joliette/Joliette"," 179","Saint-Paul",67,17,10,126,17,6,243,308
"Joliette/Joliette"," 180","Saint-Paul",54,12,7,98,12,7,190,388
"Joliette/Joliette"," 181","Saint-Paul",56,9,2,131,15,18,231,413
"Joliette/Joliette"," 182","Crabtree",72,16,7,84,19,7,205,335
"Joliette/Joliette"," 183","Crabtree",51,10,8,150,12,7,238,409
"Joliette/Joliette"," 184","Crabtree",107,20,19,191,23,17,377,513
"Joliette/Joliette"," 185","Crabtree",89,22,8,153,10,21,303,412
"Joliette/Joliette"," 186","Crabtree",102,17,15,146,17,11,308,489
"Joliette/Joliette"," 187","Crabtree",78,15,12,164,16,10,295,440
"Joliette/Joliette"," 188","Saint-Paul",67,23,12,179,7,2,290,497
"Joliette/Joliette"," 189","Saint-Paul",50,14,6,129,10,0,209,360
"Joliette/Joliette"," 500","Mobile poll/Bureau itinérant",11,18,5,7,3,0,44,117
"Joliette/Joliette"," 501","Mobile poll/Bureau itinérant",Merged with No. 503C/Fusionné avec le nº 503C,,,,,,,10
"Joliette/Joliette"," 502","Mobile poll/Bureau itinérant",27,27,3,38,0,4,99,141
"Joliette/Joliette"," 503A","Mobile poll/Bureau itinérant",55,42,6,39,6,12,160,338
"Joliette/Joliette"," 503B","Mobile poll/Bureau itinérant",83,60,7,63,5,8,226,54
"Joliette/Joliette"," 503C","Mobile poll/Bureau itinérant",20,16,3,18,6,1,64,123
"Joliette/Joliette"," 600","Manawan",4,12,0,6,0,1,23,
"Joliette/Joliette"," 601","Saint-Michel-des-Saints--Saint-Zénon",60,27,10,163,7,6,273,
"Joliette/Joliette"," 602","Saint-Donat--Notre-Dame-de-la-Merci",185,81,12,277,25,2,582,
"Joliette/Joliette"," 603","Saint-Jean-de-Matha--Saint-Damien",122,50,18,294,20,6,510,
"Joliette/Joliette"," 604","Rawdon",155,205,41,315,34,9,759,
"Joliette/Joliette"," 605","Chertsey--Entrelacs",131,71,16,295,31,5,549,
"Joliette/Joliette"," 606","Saint-Ambroise-de-Kildare--Sainte-Mélanie",97,26,7,209,18,6,363,
"Joliette/Joliette"," 607","Saint-Félix-de-Valois",100,35,6,179,16,3,339,
"Joliette/Joliette"," 608","Saint-Alphonse-Rodriguez--Saint-Côme",97,34,2,213,16,5,367,
"Joliette/Joliette"," 609","Saint-Thomas",27,9,3,54,3,1,97,
"Joliette/Joliette"," 610","Crabtree--Saint-Paul",90,17,5,166,11,4,293,
"Joliette/Joliette"," 611","Saint-Charles-Borromée",176,57,16,266,33,5,553,
"Joliette/Joliette"," 612","Saint-Charles-Borromée",180,92,10,156,13,11,462,
"Joliette/Joliette"," 613","Notre-Dame-des-Prairies",182,78,14,300,27,10,611,
"Joliette/Joliette"," 614","Joliette",130,66,17,222,24,9,468,
"Joliette/Joliette"," 615","Joliette",173,110,12,258,23,0,576,
"Joliette/Joliette",,Group 1/Groupe 1,34,8,5,30,4,4,85,188
"Joliette/Joliette",,Group 2/Groupe 2,209,241,28,499,41,22,1040,
