Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Neal Gray,Amarjit Grewal,Kate Harrington,Mike Lake,Kyle McLeod,Naomi Rankin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 99","Edmonton",37,45,10,199,3,0,0,294,530
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 100A","Edmonton",28,66,11,136,7,0,0,248,498
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 100B","Edmonton",32,60,11,139,1,0,0,243,479
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 100C","Edmonton",44,31,13,172,7,0,0,267,494
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 100D","Edmonton",37,46,11,163,13,0,0,270,485
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 100E","Edmonton",34,33,12,147,6,1,0,233,457
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 101A","Edmonton",28,57,5,135,2,0,0,227,413
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 101B","Edmonton",14,46,7,102,0,0,0,169,347
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 101C","Edmonton",14,47,11,95,2,0,0,169,348
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 101D","Edmonton",30,42,4,134,5,0,1,216,412
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 102","Edmonton",51,44,20,164,9,0,0,288,516
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 103","Edmonton",35,42,15,165,1,0,1,259,418
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 104","Edmonton",31,45,9,115,1,0,1,202,375
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 105","Edmonton",33,26,7,106,0,0,0,172,403
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 106","Edmonton",35,47,8,90,1,0,1,182,346
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 107","Edmonton",54,59,14,191,1,1,1,321,543
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 108","Edmonton",27,53,9,100,1,1,0,191,345
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 109","Edmonton",32,35,9,125,2,0,0,203,376
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 110","Edmonton",39,38,8,136,1,0,0,222,384
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 111","Edmonton",28,57,7,105,0,1,0,198,385
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 112","Edmonton",17,30,8,96,3,0,0,154,339
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 113","Edmonton",51,49,11,100,5,0,2,218,432
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 114","Edmonton",39,57,4,123,3,1,1,228,475
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 115","Edmonton",42,49,8,136,3,1,1,240,512
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 116","Edmonton",26,54,5,101,0,0,0,186,449
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 117","Edmonton",63,46,9,118,1,1,2,240,475
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 118","Edmonton",45,60,10,104,1,0,2,222,491
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 119","Edmonton",12,72,4,91,2,2,1,184,375
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 120","Edmonton",28,29,12,127,6,0,0,202,391
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 121","Edmonton",53,33,5,142,3,3,0,239,460
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 122","Edmonton",43,42,11,142,3,1,0,242,487
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 123","Edmonton",24,27,10,106,5,0,0,172,340
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 124","Edmonton",20,34,2,79,3,0,0,138,297
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 125","Edmonton",20,16,8,54,3,2,0,103,223
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 126","Edmonton",36,53,17,180,9,0,1,296,476
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 127","Edmonton",41,47,15,95,2,0,0,200,397
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 128","Edmonton",33,33,14,103,4,2,1,190,383
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 129","Edmonton",56,50,21,149,2,1,0,279,461
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 130A","Edmonton",42,56,11,169,1,0,1,280,427
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 130B","Edmonton",31,57,19,173,1,0,1,282,428
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 130C","Edmonton",21,58,12,146,2,0,0,239,400
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 130-1A","Edmonton",42,54,14,168,5,1,1,285,508
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 130-1B","Edmonton",58,46,9,179,3,1,1,297,497
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 130-1C","Edmonton",28,42,11,134,1,0,1,217,434
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 130-1D","Edmonton",30,49,8,133,2,0,0,222,390
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 131","Edmonton",49,41,13,179,5,0,1,288,451
