Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ernst Braendli,Frank Chilelli,Gurbax S. Malhi,Cesar Martello,John Sprovieri,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 147","Mississauga",3,2,101,22,26,0,154,357
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 148A","Mississauga",2,1,142,20,25,0,190,431
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 148B","Mississauga",3,5,39,7,12,2,68,177
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 149","Mississauga",5,2,103,26,46,0,182,418
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 150A","Mississauga",4,0,58,15,36,0,113,292
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 150B","Mississauga",2,1,47,24,45,0,119,312
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 151","Mississauga",2,3,105,15,51,1,177,419
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 152","Mississauga",4,1,113,10,13,1,142,474
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 153","Mississauga",3,1,115,30,59,2,210,442
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 154","Mississauga",2,0,142,20,36,4,204,412
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 155","Mississauga",5,5,145,15,49,1,220,461
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 156","Mississauga",3,2,88,18,22,2,135,341
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 157","Mississauga",3,3,148,21,54,3,232,513
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 158","Mississauga",11,2,188,27,47,1,276,483
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 159","Mississauga",6,2,140,32,53,0,233,394
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 160","Mississauga",2,2,166,25,47,2,244,454
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 161","Mississauga",3,0,97,16,28,0,144,321
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 162","Mississauga",9,2,111,9,50,1,182,354
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 163","Mississauga",2,1,142,19,53,4,221,428
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 164","Mississauga",6,1,168,19,49,3,246,432
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 165","Mississauga",6,0,147,29,35,0,217,460
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 166","Mississauga",1,1,178,16,50,2,248,410
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 167","Mississauga",3,2,159,16,51,1,232,369
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 168","Mississauga",14,0,112,43,76,0,245,427
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 169","Mississauga",5,1,84,21,50,0,161,299
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 170","Mississauga",15,1,122,21,57,0,216,401
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 171","Mississauga",6,1,141,21,50,2,221,483
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 172","Mississauga",9,0,67,33,70,1,180,369
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 173","Mississauga",9,0,97,35,75,0,216,451
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 174","Mississauga",7,3,95,25,52,4,186,446
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 400","Brampton",2,1,53,4,45,2,107,280
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 401","Brampton",4,1,51,19,38,0,113,301
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 402","Brampton",6,1,59,21,85,1,173,341
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 403","Brampton",12,0,65,29,58,2,166,396
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 404","Brampton",13,0,62,30,45,1,151,337
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 405","Brampton",3,0,59,23,23,2,110,339
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 406","Brampton",0,2,36,13,24,1,76,195
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 407","Brampton",2,1,62,23,57,2,147,297
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 408","Brampton",4,1,62,30,76,1,174,310
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 600","Brampton",14,2,1002,67,444,10,1539,
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 601","Brampton",25,3,460,87,371,2,948,
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 602","Brampton",32,2,242,108,394,7,785,
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 603","Brampton",30,4,214,68,247,1,564,
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 604","Brampton",27,5,215,59,274,2,582,
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 605","Brampton",19,3,523,56,175,1,777,
"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 606","Brampton",3,2,185,17,74,3,284,
"Bramalea--Gore--Malton/Bramalea--Gore--Malton",,Group 1/Groupe 1,4,0,23,6,22,2,57,110
"Bramalea--Gore--Malton/Bramalea--Gore--Malton",,Group 2/Groupe 2,21,1,691,77,235,15,1040,
