Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jillana Bishop,Werner Keller,Brian Masse,Chris Schnurr,Al Teshuba,Enver Villamizar,Habib Zaidi,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Windsor West/Windsor-Ouest"," 19A","Windsor",9,26,53,1,16,0,1,1,107,266
"Windsor West/Windsor-Ouest"," 19B","Mobile poll/Bureau itinérant",Merged with No. 502/Fusionné avec le nº 502,,,,,,,,,52
"Windsor West/Windsor-Ouest"," 20","Windsor",3,37,72,0,19,0,3,1,135,236
"Windsor West/Windsor-Ouest"," 21","Windsor",8,33,76,1,28,2,0,1,149,275
"Windsor West/Windsor-Ouest"," 22","Windsor",7,48,140,2,26,0,0,0,223,437
"Windsor West/Windsor-Ouest"," 23","Windsor",10,53,94,3,28,2,1,1,192,420
"Windsor West/Windsor-Ouest"," 24","Windsor",7,56,104,1,38,1,2,3,212,447
"Windsor West/Windsor-Ouest"," 25","Windsor",38,173,199,4,67,2,1,5,489,676
"Windsor West/Windsor-Ouest"," 26","Windsor",8,37,49,2,16,1,1,1,115,239
"Windsor West/Windsor-Ouest"," 27","Windsor",17,75,95,2,26,0,1,1,217,398
"Windsor West/Windsor-Ouest"," 28","Windsor",6,50,57,0,20,0,0,1,134,268
"Windsor West/Windsor-Ouest"," 29","Windsor",7,79,160,2,47,2,0,3,300,470
"Windsor West/Windsor-Ouest"," 30","Windsor",9,25,53,2,12,0,0,0,101,212
"Windsor West/Windsor-Ouest"," 31","Windsor",4,40,50,1,24,1,0,3,123,310
"Windsor West/Windsor-Ouest"," 32","Windsor",8,47,101,2,12,1,0,0,171,351
"Windsor West/Windsor-Ouest"," 33","Windsor",4,49,83,5,19,0,1,1,162,290
"Windsor West/Windsor-Ouest"," 34","Windsor",4,24,64,1,18,0,1,2,114,221
"Windsor West/Windsor-Ouest"," 35","Windsor",4,40,102,4,23,0,0,1,174,353
"Windsor West/Windsor-Ouest"," 36","Windsor",4,31,78,0,17,1,2,1,134,343
"Windsor West/Windsor-Ouest"," 37","Windsor",6,38,84,0,18,1,1,0,148,313
"Windsor West/Windsor-Ouest"," 38","Windsor",6,34,62,8,22,1,0,1,134,376
"Windsor West/Windsor-Ouest"," 39","Windsor",8,46,54,4,27,0,1,0,140,388
"Windsor West/Windsor-Ouest"," 40","Windsor",8,45,108,5,19,0,0,2,187,549
"Windsor West/Windsor-Ouest"," 41","Windsor",4,50,98,4,17,1,3,0,177,463
"Windsor West/Windsor-Ouest"," 42","Windsor",9,50,109,8,38,1,0,1,216,537
"Windsor West/Windsor-Ouest"," 43","Windsor",8,41,57,2,15,0,0,0,123,212
"Windsor West/Windsor-Ouest"," 44","Windsor",7,45,58,2,28,0,0,1,141,290
"Windsor West/Windsor-Ouest"," 45","Windsor",5,27,46,1,11,0,0,1,91,226
"Windsor West/Windsor-Ouest"," 46","Windsor",6,39,40,0,22,1,2,1,111,289
"Windsor West/Windsor-Ouest"," 47","Windsor",8,49,94,4,25,2,1,0,183,419
"Windsor West/Windsor-Ouest"," 48","Windsor",5,35,67,0,8,0,0,2,117,293
"Windsor West/Windsor-Ouest"," 49","Windsor",8,42,115,0,21,3,3,0,192,462
"Windsor West/Windsor-Ouest"," 50","Windsor",4,39,89,3,10,0,1,1,147,332
"Windsor West/Windsor-Ouest"," 51","Windsor",0,21,33,4,5,0,3,0,66,214
"Windsor West/Windsor-Ouest"," 52","Windsor",3,10,58,1,6,1,4,0,83,283
"Windsor West/Windsor-Ouest"," 53","Windsor",5,21,98,4,13,0,0,0,141,296
"Windsor West/Windsor-Ouest"," 54","Windsor",4,19,117,1,19,0,8,0,168,456
"Windsor West/Windsor-Ouest"," 55","Windsor",2,33,111,1,12,1,1,0,161,364
"Windsor West/Windsor-Ouest"," 56","Windsor",2,14,139,1,11,0,11,4,182,408
"Windsor West/Windsor-Ouest"," 57","Windsor",4,35,81,5,20,0,5,0,150,289
"Windsor West/Windsor-Ouest"," 58","Windsor",5,21,118,0,20,0,0,2,166,360
"Windsor West/Windsor-Ouest"," 59","Windsor",4,37,103,3,34,1,0,0,182,346
"Windsor West/Windsor-Ouest"," 60","Windsor",4,22,91,0,14,0,0,2,133,284
"Windsor West/Windsor-Ouest"," 61","Windsor",8,27,167,2,43,0,0,2,249,460
"Windsor West/Windsor-Ouest"," 62","Windsor",2,23,145,3,20,0,0,0,193,396
"Windsor West/Windsor-Ouest"," 63","Windsor",5,32,157,2,22,0,2,2,222,423
"Windsor West/Windsor-Ouest"," 64","Windsor",4,34,167,0,43,0,0,2,250,395
"Windsor West/Windsor-Ouest"," 65","Windsor",4,56,154,2,36,1,0,0,253,384
"Windsor West/Windsor-Ouest"," 66","Windsor",15,80,156,0,39,2,0,0,292,568
"Windsor West/Windsor-Ouest"," 67","Windsor",5,33,90,1,22,0,1,2,154,349
"Windsor West/Windsor-Ouest"," 68","Windsor",4,16,42,1,6,2,0,1,72,261
"Windsor West/Windsor-Ouest"," 69","Windsor",3,26,55,0,10,0,0,1,95,242
"Windsor West/Windsor-Ouest"," 70","Windsor",3,25,37,2,8,0,0,0,75,271
"Windsor West/Windsor-Ouest"," 71","Windsor",9,32,61,2,20,0,0,0,124,351
"Windsor West/Windsor-Ouest"," 72","Windsor",6,42,93,1,18,0,1,2,163,345
"Windsor West/Windsor-Ouest"," 73","Windsor",3,43,106,4,22,1,2,2,183,430
"Windsor West/Windsor-Ouest"," 74","Windsor",10,30,142,3,17,0,0,0,202,409
"Windsor West/Windsor-Ouest"," 75","Windsor",5,52,123,1,21,0,0,2,204,381
"Windsor West/Windsor-Ouest"," 76","Windsor",4,39,125,0,22,0,0,0,190,347
"Windsor West/Windsor-Ouest"," 77","Windsor",2,18,59,3,14,0,1,1,98,254
"Windsor West/Windsor-Ouest"," 78","Windsor",2,34,99,1,24,0,2,1,163,269
"Windsor West/Windsor-Ouest"," 79","Windsor",5,45,161,2,37,0,2,0,252,432
"Windsor West/Windsor-Ouest"," 80","Windsor",3,41,133,2,33,0,1,4,217,381
"Windsor West/Windsor-Ouest"," 81","Windsor",3,17,90,0,19,0,0,0,129,284
"Windsor West/Windsor-Ouest"," 82","Windsor",2,18,78,2,8,0,0,0,108,251
"Windsor West/Windsor-Ouest"," 83","Windsor",6,63,109,5,18,0,0,3,204,402
"Windsor West/Windsor-Ouest"," 84","Windsor",21,79,112,3,40,1,0,4,260,510
"Windsor West/Windsor-Ouest"," 85","Windsor",7,56,69,5,23,0,1,0,161,348
"Windsor West/Windsor-Ouest"," 86","Windsor",10,67,108,3,37,1,3,2,231,470
"Windsor West/Windsor-Ouest"," 87","Windsor",11,24,114,2,43,0,0,0,194,359
"Windsor West/Windsor-Ouest"," 88","Windsor",11,61,62,0,48,2,0,0,184,316
"Windsor West/Windsor-Ouest"," 89","Windsor",7,34,80,5,18,0,0,2,146,310
"Windsor West/Windsor-Ouest"," 90","Windsor",3,25,47,1,22,0,0,2,100,253
"Windsor West/Windsor-Ouest"," 91","Windsor",5,39,95,0,32,0,1,0,172,295
"Windsor West/Windsor-Ouest"," 92","Windsor",6,45,104,2,36,0,1,2,196,379
"Windsor West/Windsor-Ouest"," 93","Windsor",9,51,111,4,31,0,0,0,206,370
"Windsor West/Windsor-Ouest"," 94","Windsor",10,37,115,0,32,3,0,0,197,344
"Windsor West/Windsor-Ouest"," 95","Windsor",6,60,87,5,53,1,1,0,213,318
"Windsor West/Windsor-Ouest"," 96","Windsor",12,70,84,4,60,0,1,0,231,342
"Windsor West/Windsor-Ouest"," 97","Windsor",6,76,85,7,73,0,0,1,248,392
"Windsor West/Windsor-Ouest"," 98","Windsor",8,53,124,2,70,0,0,0,257,385
"Windsor West/Windsor-Ouest"," 99","Windsor",10,60,75,4,49,2,0,1,201,324
"Windsor West/Windsor-Ouest"," 100","Windsor",9,79,99,1,45,1,0,0,234,369
"Windsor West/Windsor-Ouest"," 101","Windsor",11,52,69,3,47,2,1,2,187,335
"Windsor West/Windsor-Ouest"," 102","Windsor",9,65,110,0,60,0,0,0,244,405
"Windsor West/Windsor-Ouest"," 103","Windsor",3,41,147,5,27,0,1,2,226,423
"Windsor West/Windsor-Ouest"," 104","Windsor",3,44,159,4,25,2,0,1,238,395
"Windsor West/Windsor-Ouest"," 105","Windsor",7,48,142,13,41,0,2,2,255,425
"Windsor West/Windsor-Ouest"," 106","Windsor",8,51,137,4,53,0,0,1,254,420
"Windsor West/Windsor-Ouest"," 107","Windsor",6,54,154,5,35,0,1,0,255,436
"Windsor West/Windsor-Ouest"," 108","Windsor",14,55,165,6,53,0,0,0,293,529
"Windsor West/Windsor-Ouest"," 109","Windsor",7,52,153,6,66,0,1,1,286,492
"Windsor West/Windsor-Ouest"," 110","Windsor",8,38,155,4,49,0,0,0,254,463
"Windsor West/Windsor-Ouest"," 111","Windsor",7,9,34,2,13,0,0,1,66,190
"Windsor West/Windsor-Ouest"," 112","Windsor",3,28,93,3,27,0,0,1,155,331
"Windsor West/Windsor-Ouest"," 113","Windsor",6,53,110,4,47,0,0,0,220,434
"Windsor West/Windsor-Ouest"," 114","Windsor",4,101,108,2,46,0,2,1,264,493
"Windsor West/Windsor-Ouest"," 115","Windsor",0,39,84,3,26,1,0,4,157,343
"Windsor West/Windsor-Ouest"," 116","Windsor",1,28,87,1,27,0,1,1,146,295
"Windsor West/Windsor-Ouest"," 117","Windsor",6,49,74,5,35,1,1,0,171,331
"Windsor West/Windsor-Ouest"," 118","Windsor",13,63,153,2,45,0,1,3,280,475
"Windsor West/Windsor-Ouest"," 119","Windsor",3,88,77,1,35,1,1,1,207,314
"Windsor West/Windsor-Ouest"," 120","Windsor",5,36,94,0,24,0,1,0,160,334
"Windsor West/Windsor-Ouest"," 121","Windsor",5,28,86,2,17,0,0,2,140,323
"Windsor West/Windsor-Ouest"," 122","Windsor",4,31,78,0,31,0,0,2,146,236
"Windsor West/Windsor-Ouest"," 123","Windsor",2,56,75,2,27,0,0,1,163,225
"Windsor West/Windsor-Ouest"," 124","Windsor",1,50,160,3,81,0,0,3,298,582
"Windsor West/Windsor-Ouest"," 125","Windsor",3,32,127,0,47,0,1,0,210,340
"Windsor West/Windsor-Ouest"," 126","Windsor",7,35,157,2,54,0,0,1,256,484
"Windsor West/Windsor-Ouest"," 127","Windsor",4,49,213,9,77,1,2,6,361,715
"Windsor West/Windsor-Ouest"," 128","Windsor",4,35,123,2,31,0,1,3,199,354
"Windsor West/Windsor-Ouest"," 129","Windsor",4,20,112,7,30,2,0,0,175,365
"Windsor West/Windsor-Ouest"," 130","Windsor",3,23,65,1,14,0,0,1,107,271
"Windsor West/Windsor-Ouest"," 131","Windsor",3,29,65,3,25,0,0,0,125,234
"Windsor West/Windsor-Ouest"," 132","Windsor",6,50,115,5,38,0,2,2,218,424
"Windsor West/Windsor-Ouest"," 133A","Windsor",11,57,158,2,41,1,0,2,272,539
"Windsor West/Windsor-Ouest"," 133B","Windsor",7,48,134,3,46,1,0,2,241,529
"Windsor West/Windsor-Ouest"," 134","Windsor",3,29,97,3,48,0,0,0,180,427
"Windsor West/Windsor-Ouest"," 135A","Windsor",10,46,95,0,35,0,0,4,190,407
"Windsor West/Windsor-Ouest"," 135B","Windsor",7,47,125,0,27,0,2,3,211,425
"Windsor West/Windsor-Ouest"," 136","Windsor",4,80,122,1,54,0,1,0,262,610
"Windsor West/Windsor-Ouest"," 137A","Windsor",3,64,54,2,63,0,0,1,187,359
"Windsor West/Windsor-Ouest"," 137B","Windsor",5,58,59,2,41,0,0,1,166,312
"Windsor West/Windsor-Ouest"," 138","Windsor",1,57,36,6,81,1,1,0,183,349
"Windsor West/Windsor-Ouest"," 139","Windsor",9,77,134,2,53,1,0,2,278,498
"Windsor West/Windsor-Ouest"," 140","Windsor",5,81,91,8,34,1,1,5,226,446
"Windsor West/Windsor-Ouest"," 141","Windsor",6,96,133,6,33,0,0,6,280,455
"Windsor West/Windsor-Ouest"," 142","Windsor",0,44,101,5,25,0,2,1,178,409
"Windsor West/Windsor-Ouest"," 143","Windsor",3,48,130,1,27,0,5,3,217,537
"Windsor West/Windsor-Ouest"," 144","Windsor",10,61,127,2,60,0,1,1,262,504
"Windsor West/Windsor-Ouest"," 145","Windsor",5,35,53,3,38,0,1,1,136,254
"Windsor West/Windsor-Ouest"," 146","Windsor",3,53,65,0,38,0,0,0,159,268
"Windsor West/Windsor-Ouest"," 147","Windsor",9,68,100,2,71,1,1,2,254,497
"Windsor West/Windsor-Ouest"," 148","Windsor",10,79,106,1,49,0,1,3,249,505
"Windsor West/Windsor-Ouest"," 149","Windsor",10,74,100,5,34,0,2,2,227,562
"Windsor West/Windsor-Ouest"," 150","Windsor",2,45,91,1,44,0,3,2,188,445
"Windsor West/Windsor-Ouest"," 151","Windsor",9,57,190,5,83,1,0,1,346,623
"Windsor West/Windsor-Ouest"," 152","Windsor",6,78,108,2,53,0,3,3,253,498
"Windsor West/Windsor-Ouest"," 153","Windsor",1,7,32,1,17,0,0,0,58,95
"Windsor West/Windsor-Ouest"," 154","Windsor",3,39,104,0,29,0,0,1,176,323
"Windsor West/Windsor-Ouest"," 155","Windsor",6,118,107,4,81,0,0,2,318,528
"Windsor West/Windsor-Ouest"," 156","Windsor",5,71,67,2,62,0,1,2,210,317
"Windsor West/Windsor-Ouest"," 157","Windsor",6,78,54,0,43,1,1,0,183,318
"Windsor West/Windsor-Ouest"," 158","Windsor",4,58,88,1,31,0,0,1,183,300
"Windsor West/Windsor-Ouest"," 159","Windsor",4,59,112,4,36,0,5,1,221,379
"Windsor West/Windsor-Ouest"," 160","Windsor",6,105,168,4,68,0,0,1,352,529
"Windsor West/Windsor-Ouest"," 161","Windsor",5,63,69,2,48,0,0,1,188,312
"Windsor West/Windsor-Ouest"," 162","Windsor",5,49,53,2,34,1,1,0,145,233
"Windsor West/Windsor-Ouest"," 163","Windsor",1,66,126,1,60,0,0,1,255,422
"Windsor West/Windsor-Ouest"," 164","Windsor",9,61,109,2,85,0,1,1,268,422
"Windsor West/Windsor-Ouest"," 165","Windsor",7,53,74,2,44,0,0,1,181,317
"Windsor West/Windsor-Ouest"," 166","Windsor",5,32,82,3,34,1,0,0,157,262
"Windsor West/Windsor-Ouest"," 167","Windsor",8,58,94,2,30,1,0,2,195,320
"Windsor West/Windsor-Ouest"," 168","Windsor",5,49,42,5,56,0,0,0,157,251
"Windsor West/Windsor-Ouest"," 169","Windsor",5,65,109,1,48,2,0,0,230,379
"Windsor West/Windsor-Ouest"," 170","Windsor",2,30,57,2,43,1,0,0,135,242
"Windsor West/Windsor-Ouest"," 171","Windsor",2,45,99,0,61,0,1,0,208,373
"Windsor West/Windsor-Ouest"," 172","Windsor",6,63,134,1,52,1,0,1,258,420
"Windsor West/Windsor-Ouest"," 173","Windsor",9,68,105,3,87,1,0,2,275,468
"Windsor West/Windsor-Ouest"," 174","Windsor",4,16,43,0,20,0,0,0,83,251
"Windsor West/Windsor-Ouest"," 175","Windsor",6,51,93,0,53,0,0,0,203,361
"Windsor West/Windsor-Ouest"," 176","Windsor",9,43,126,2,52,1,0,0,233,417
"Windsor West/Windsor-Ouest"," 177","Windsor",6,36,75,3,54,0,0,4,178,286
"Windsor West/Windsor-Ouest"," 178","Windsor",2,89,135,2,84,0,0,2,314,441
"Windsor West/Windsor-Ouest"," 179","Windsor",5,65,91,5,75,1,1,0,243,441
"Windsor West/Windsor-Ouest"," 180","Windsor",10,48,113,1,57,0,0,0,229,405
"Windsor West/Windsor-Ouest"," 181","Windsor",6,66,66,0,36,0,0,1,175,317
"Windsor West/Windsor-Ouest"," 182","Windsor",4,75,112,5,62,0,0,0,258,437
"Windsor West/Windsor-Ouest"," 183","Windsor",9,54,112,2,51,0,1,2,231,390
"Windsor West/Windsor-Ouest"," 184","Windsor",7,46,121,3,63,1,0,1,242,410
"Windsor West/Windsor-Ouest"," 185","Windsor",9,60,111,2,56,0,1,2,241,406
"Windsor West/Windsor-Ouest"," 186","Windsor",9,58,106,2,67,2,0,0,244,359
"Windsor West/Windsor-Ouest"," 187","Windsor",9,42,81,0,41,0,1,0,174,308
"Windsor West/Windsor-Ouest"," 188","Windsor",7,65,124,2,75,0,1,2,276,470
"Windsor West/Windsor-Ouest"," 189","Windsor",10,39,59,0,58,0,0,2,168,313
"Windsor West/Windsor-Ouest"," 190","Windsor",7,66,109,1,71,0,0,0,254,446
"Windsor West/Windsor-Ouest"," 191","Windsor",4,47,89,4,40,0,0,2,186,337
"Windsor West/Windsor-Ouest"," 192","Windsor",8,52,80,4,46,0,1,3,194,340
"Windsor West/Windsor-Ouest"," 193","Windsor",3,56,110,4,65,0,0,0,238,400
"Windsor West/Windsor-Ouest"," 194","Windsor",7,51,93,0,45,1,0,3,200,348
"Windsor West/Windsor-Ouest"," 195","Windsor",7,93,86,5,64,2,0,2,259,450
"Windsor West/Windsor-Ouest"," 196","Windsor",10,52,113,1,78,1,0,0,255,552
"Windsor West/Windsor-Ouest"," 197","Windsor",6,37,129,4,57,1,0,1,235,477
"Windsor West/Windsor-Ouest"," 198","Windsor",9,46,103,5,99,1,2,3,268,521
"Windsor West/Windsor-Ouest"," 199A","Windsor",4,61,102,1,60,1,0,2,231,540
"Windsor West/Windsor-Ouest"," 199B","Windsor",2,50,100,5,47,0,1,1,206,547
"Windsor West/Windsor-Ouest"," 199C","Windsor",2,64,111,4,51,0,0,0,232,540
"Windsor West/Windsor-Ouest"," 200","Windsor",7,63,29,6,37,1,4,4,151,305
"Windsor West/Windsor-Ouest"," 201","Windsor",3,83,78,2,77,0,2,1,246,451
"Windsor West/Windsor-Ouest"," 202","Windsor",6,110,94,3,116,0,2,0,331,571
"Windsor West/Windsor-Ouest"," 203","Windsor",6,81,141,4,94,2,2,1,331,532
"Windsor West/Windsor-Ouest"," 204","Windsor",7,60,94,4,84,0,0,3,252,489
"Windsor West/Windsor-Ouest"," 205A","Windsor",5,69,80,0,73,0,0,4,231,439
"Windsor West/Windsor-Ouest"," 205B","Windsor",3,59,79,3,81,0,3,2,230,444
"Windsor West/Windsor-Ouest"," 400","Windsor",2,24,44,4,12,0,0,2,88,232
"Windsor West/Windsor-Ouest"," 401","Windsor",Merged with No. 38/Fusionné avec le nº 38,,,,,,,,,23
"Windsor West/Windsor-Ouest"," 402","Windsor",3,30,39,3,27,0,0,0,102,164
"Windsor West/Windsor-Ouest"," 403","Windsor",7,40,42,5,25,0,0,1,120,225
"Windsor West/Windsor-Ouest"," 404","Windsor",2,21,23,0,11,0,0,0,57,176
"Windsor West/Windsor-Ouest"," 405","Windsor",Void/Supprimé,,,,,,,,,
"Windsor West/Windsor-Ouest"," 406","Windsor",5,50,81,7,21,0,1,8,173,283
"Windsor West/Windsor-Ouest"," 407","Windsor",3,48,30,3,40,2,1,1,128,184
"Windsor West/Windsor-Ouest"," 408","Windsor",5,47,103,4,21,0,1,0,181,269
"Windsor West/Windsor-Ouest"," 409","Windsor",10,39,143,2,28,0,0,4,226,358
"Windsor West/Windsor-Ouest"," 500","Mobile poll/Bureau itinérant",6,35,34,2,11,0,0,0,88,234
"Windsor West/Windsor-Ouest"," 501","Mobile poll/Bureau itinérant",3,24,34,5,5,1,0,1,73,156
"Windsor West/Windsor-Ouest"," 502","Mobile poll/Bureau itinérant",6,31,31,0,16,0,1,4,89,144
"Windsor West/Windsor-Ouest"," 503","Mobile poll/Bureau itinérant",3,41,61,3,13,0,0,3,124,295
"Windsor West/Windsor-Ouest"," 600","Windsor",10,72,119,3,45,1,0,1,251,
"Windsor West/Windsor-Ouest"," 601","Windsor",9,80,197,4,60,0,0,3,353,
"Windsor West/Windsor-Ouest"," 602","Windsor",9,67,223,4,50,1,4,1,359,
"Windsor West/Windsor-Ouest"," 603","Windsor",1,57,146,2,45,2,0,3,256,
"Windsor West/Windsor-Ouest"," 604","Windsor",13,90,146,3,68,0,0,0,320,
"Windsor West/Windsor-Ouest"," 605","Windsor",11,104,218,4,128,1,5,1,472,
"Windsor West/Windsor-Ouest"," 606","Windsor",5,93,159,4,104,0,0,0,365,
"Windsor West/Windsor-Ouest"," 607","Windsor",13,197,325,7,192,0,0,0,734,
"Windsor West/Windsor-Ouest"," 608","Windsor",25,275,322,10,314,3,1,4,954,
"Windsor West/Windsor-Ouest",,Group 1/Groupe 1,7,52,33,3,27,2,1,6,131,236
"Windsor West/Windsor-Ouest",,Group 2/Groupe 2,27,254,422,6,242,7,9,20,987,
