Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Brian Fitzpatrick,Patrick Jahn,Valerie Mushinski,Larry Zepp,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Prince Albert/Prince Albert"," 93","Gronlid",161,13,58,11,1,244,417
"Prince Albert/Prince Albert"," 94","Brooksby",48,8,11,1,0,68,168
"Prince Albert/Prince Albert"," 95","Beatty",106,15,31,2,0,154,291
"Prince Albert/Prince Albert"," 96","Pathlow",141,2,25,1,1,170,347
"Prince Albert/Prince Albert"," 97","Melfort",123,15,28,0,0,166,306
"Prince Albert/Prince Albert"," 98","Melfort",63,17,35,4,0,119,221
"Prince Albert/Prince Albert"," 99","Melfort",70,25,34,2,0,131,224
"Prince Albert/Prince Albert"," 100","Melfort",133,25,42,5,0,205,400
"Prince Albert/Prince Albert"," 101","Melfort",172,39,65,9,1,286,504
"Prince Albert/Prince Albert"," 102","Melfort",154,36,47,2,0,239,406
"Prince Albert/Prince Albert"," 103","Melfort",59,23,26,1,0,109,221
"Prince Albert/Prince Albert"," 104","Melfort",91,17,30,1,0,139,256
"Prince Albert/Prince Albert"," 105","Melfort",71,22,28,3,0,124,281
"Prince Albert/Prince Albert"," 106","Melfort",102,14,40,5,0,161,272
"Prince Albert/Prince Albert"," 107","Melfort",148,28,59,3,0,238,394
"Prince Albert/Prince Albert"," 108","Melfort",101,20,36,2,0,159,219
"Prince Albert/Prince Albert"," 109","Melfort",96,31,21,3,0,151,293
"Prince Albert/Prince Albert"," 110","Ridgedale",156,14,17,12,0,199,338
"Prince Albert/Prince Albert"," 111","Zenon Park",99,32,32,5,2,170,247
"Prince Albert/Prince Albert"," 112","Star City",152,16,60,10,0,238,486
"Prince Albert/Prince Albert"," 113","Star City",133,16,41,8,2,200,324
"Prince Albert/Prince Albert"," 114","Tisdale",91,10,28,5,0,134,218
"Prince Albert/Prince Albert"," 115","Tisdale",137,4,32,2,0,175,309
"Prince Albert/Prince Albert"," 116","Sylvania",97,17,11,9,0,134,250
"Prince Albert/Prince Albert"," 117A","Tisdale",108,27,56,3,0,194,459
"Prince Albert/Prince Albert"," 117B","Tisdale",122,31,35,4,1,193,454
"Prince Albert/Prince Albert"," 118","Tisdale",106,11,49,4,0,170,297
"Prince Albert/Prince Albert"," 119","Tisdale",105,17,41,4,0,167,282
"Prince Albert/Prince Albert"," 120","Tisdale",69,23,55,4,0,151,275
"Prince Albert/Prince Albert"," 121","Tisdale",92,15,42,2,0,151,249
"Prince Albert/Prince Albert"," 122","Tisdale",58,18,60,1,0,137,273
"Prince Albert/Prince Albert"," 123","Tisdale",78,11,11,5,0,105,178
"Prince Albert/Prince Albert"," 124","Nipawin",154,22,57,6,0,239,519
"Prince Albert/Prince Albert"," 125","Codette",99,12,23,7,2,143,414
"Prince Albert/Prince Albert"," 126","Codette",173,6,48,6,2,235,368
"Prince Albert/Prince Albert"," 127","Aylsham",64,7,11,2,0,84,158
"Prince Albert/Prince Albert"," 128","Nipawin",92,20,25,3,1,141,289
"Prince Albert/Prince Albert"," 129","Nipawin",92,11,35,3,0,141,281
"Prince Albert/Prince Albert"," 130","Nipawin",58,14,19,0,1,92,154
"Prince Albert/Prince Albert"," 131","Nipawin",136,15,36,3,0,190,344
"Prince Albert/Prince Albert"," 132","Nipawin",109,22,34,4,0,169,327
"Prince Albert/Prince Albert"," 133","Nipawin",69,13,22,0,0,104,192
"Prince Albert/Prince Albert"," 134","Nipawin",48,13,26,1,0,88,220
"Prince Albert/Prince Albert"," 135","Nipawin",70,14,30,0,0,114,242
"Prince Albert/Prince Albert"," 136","Nipawin",62,10,16,4,0,92,177
"Prince Albert/Prince Albert"," 137","Nipawin",75,12,28,2,0,117,214
"Prince Albert/Prince Albert"," 138","Nipawin",149,23,45,4,0,221,388
"Prince Albert/Prince Albert"," 139","Petaigan",124,5,25,6,0,160,311
"Prince Albert/Prince Albert"," 140","Carrot River",135,22,28,2,1,188,377
"Prince Albert/Prince Albert"," 141A","Jordan River",55,8,10,9,1,83,140
"Prince Albert/Prince Albert"," 141B","Jordan River",39,0,7,0,0,46,129
"Prince Albert/Prince Albert"," 142","Arborfield",111,9,9,1,0,130,185
"Prince Albert/Prince Albert"," 143","Carrot River",91,37,38,5,0,171,349
"Prince Albert/Prince Albert"," 144","Carrot River",136,21,51,4,1,213,364
"Prince Albert/Prince Albert"," 145","Arborfield",124,19,11,7,0,161,245
"Prince Albert/Prince Albert"," 500","Mobile poll/Bureau itinérant",49,39,25,6,2,121,231
"Prince Albert/Prince Albert"," 501","Mobile poll/Bureau itinérant",34,25,27,3,0,89,164
"Prince Albert/Prince Albert"," 502","Mobile poll/Bureau itinérant",34,19,29,1,2,85,197
"Prince Albert/Prince Albert"," 503","Mobile poll/Bureau itinérant",37,12,13,0,4,66,159
"Prince Albert/Prince Albert"," 504","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,
"Prince Albert/Prince Albert"," 600","Shellbrook",100,8,35,4,0,147,
"Prince Albert/Prince Albert"," 601","Buckland",144,45,37,1,0,227,
"Prince Albert/Prince Albert"," 602","Prince Albert",148,90,65,4,0,307,
"Prince Albert/Prince Albert"," 603","Prince Albert",127,55,74,7,0,263,
"Prince Albert/Prince Albert"," 604","Prince Albert",229,118,89,9,1,446,
"Prince Albert/Prince Albert"," 605","Birson",107,21,20,6,0,154,
"Prince Albert/Prince Albert"," 606","Birch Hills",95,16,43,2,3,159,
"Prince Albert/Prince Albert"," 607","Melfort",395,58,129,5,0,587,
"Prince Albert/Prince Albert"," 608","Tisdale",243,32,78,3,0,356,
"Prince Albert/Prince Albert"," 609","Nipawin",354,63,91,5,1,514,
"Prince Albert/Prince Albert"," 610","Carrot River",106,8,24,1,0,139,
"Prince Albert/Prince Albert",,Group 1/Groupe 1,35,68,20,13,5,141,211
"Prince Albert/Prince Albert",,Group 2/Groupe 2,507,178,237,19,17,958,
