Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Roger Carter,Marilyn Churley,Peter Conroy,Jim Harris,Jim Love,Maria Minna,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Beaches--East York/Beaches--East York"," 23","East York",0,42,81,13,2,113,1,252,399
"Beaches--East York/Beaches--East York"," 24","East York",0,61,60,14,1,107,0,243,365
"Beaches--East York/Beaches--East York"," 25","East York",0,78,52,11,0,79,1,221,363
"Beaches--East York/Beaches--East York"," 26","East York",0,67,28,5,1,130,2,233,454
"Beaches--East York/Beaches--East York"," 27","East York",1,76,54,16,1,101,0,249,524
"Beaches--East York/Beaches--East York"," 28","East York",0,78,23,4,3,96,1,205,490
"Beaches--East York/Beaches--East York"," 29","East York",0,46,17,2,2,52,0,119,259
"Beaches--East York/Beaches--East York"," 30","East York",1,40,30,8,0,58,1,138,273
"Beaches--East York/Beaches--East York"," 31","East York",0,32,25,3,2,103,1,166,362
"Beaches--East York/Beaches--East York"," 32","East York",0,45,40,8,0,71,0,164,225
"Beaches--East York/Beaches--East York"," 33","East York",0,171,109,24,2,174,1,481,717
"Beaches--East York/Beaches--East York"," 34","East York",0,43,28,5,0,70,1,147,334
"Beaches--East York/Beaches--East York"," 35","East York",0,39,38,7,0,94,0,178,406
"Beaches--East York/Beaches--East York"," 36","East York",0,58,24,11,0,64,2,159,282
"Beaches--East York/Beaches--East York"," 37","East York",0,11,7,1,0,25,0,44,93
"Beaches--East York/Beaches--East York"," 38","East York",0,20,7,1,0,30,1,59,132
"Beaches--East York/Beaches--East York"," 39","East York",Void/Supprimé,,,,,,,,
"Beaches--East York/Beaches--East York"," 40","East York",0,42,41,4,1,133,0,221,403
"Beaches--East York/Beaches--East York"," 41","East York",0,78,27,6,1,58,1,171,366
"Beaches--East York/Beaches--East York"," 42","East York",2,102,42,19,0,135,0,300,485
"Beaches--East York/Beaches--East York"," 43","East York",1,95,33,14,1,98,0,242,407
"Beaches--East York/Beaches--East York"," 44","East York",0,79,29,18,1,124,0,251,434
"Beaches--East York/Beaches--East York"," 45","East York",1,86,49,12,1,88,0,237,416
"Beaches--East York/Beaches--East York"," 46","East York",0,76,49,5,3,90,0,223,444
"Beaches--East York/Beaches--East York"," 47","East York",0,63,56,16,0,104,2,241,448
"Beaches--East York/Beaches--East York"," 48","East York",0,96,59,15,1,104,1,276,420
"Beaches--East York/Beaches--East York"," 49","East York",0,86,40,5,2,108,2,243,409
"Beaches--East York/Beaches--East York"," 50","East York",1,59,72,14,2,114,0,262,397
"Beaches--East York/Beaches--East York"," 51","East York",0,59,39,6,0,80,0,184,329
"Beaches--East York/Beaches--East York"," 52","East York",2,68,45,7,1,107,0,230,358
"Beaches--East York/Beaches--East York"," 53","East York",0,101,30,11,0,95,2,239,375
"Beaches--East York/Beaches--East York"," 54","East York",0,53,48,13,2,82,3,201,296
"Beaches--East York/Beaches--East York"," 55","East York",1,92,39,7,0,63,2,204,367
"Beaches--East York/Beaches--East York"," 56","East York",0,123,26,9,1,71,2,232,378
"Beaches--East York/Beaches--East York"," 57","East York",0,97,30,19,0,97,0,243,385
"Beaches--East York/Beaches--East York"," 58","East York",0,75,50,14,1,89,0,229,411
"Beaches--East York/Beaches--East York"," 59","East York",0,81,29,13,0,69,0,192,328
"Beaches--East York/Beaches--East York"," 60","East York",0,47,29,24,1,67,0,168,275
"Beaches--East York/Beaches--East York"," 61","East York",0,92,29,26,1,102,1,251,370
"Beaches--East York/Beaches--East York"," 62","East York",1,95,43,11,1,79,1,231,364
"Beaches--East York/Beaches--East York"," 63","East York",0,104,34,17,0,114,0,269,439
"Beaches--East York/Beaches--East York"," 64","East York",0,89,22,14,2,67,2,196,336
"Beaches--East York/Beaches--East York"," 65","East York",1,100,55,12,1,96,0,265,417
"Beaches--East York/Beaches--East York"," 66","East York",0,115,44,20,0,107,2,288,436
"Beaches--East York/Beaches--East York"," 67","East York",1,88,36,3,1,91,1,221,437
"Beaches--East York/Beaches--East York"," 68A","East York",0,58,30,7,1,95,1,192,379
"Beaches--East York/Beaches--East York"," 68B","Mobile poll/Bureau itinérant",2,26,11,7,2,29,2,79,84
"Beaches--East York/Beaches--East York"," 69","East York",0,44,37,9,0,54,1,145,276
"Beaches--East York/Beaches--East York"," 70","East York",2,44,40,8,0,42,2,138,254
"Beaches--East York/Beaches--East York"," 71","East York",2,79,40,7,1,111,1,241,450
"Beaches--East York/Beaches--East York"," 72","East York",0,61,48,8,0,108,1,226,417
"Beaches--East York/Beaches--East York"," 73","East York",1,49,54,8,0,94,2,208,399
"Beaches--East York/Beaches--East York"," 74","East York",0,93,28,14,0,106,0,241,428
"Beaches--East York/Beaches--East York"," 75","Toronto",0,114,42,20,0,121,3,300,477
"Beaches--East York/Beaches--East York"," 76","Toronto",1,74,27,18,2,115,2,239,443
"Beaches--East York/Beaches--East York"," 77","Toronto",0,131,27,18,0,86,1,263,386
"Beaches--East York/Beaches--East York"," 78","Toronto",0,55,12,13,2,56,0,138,292
"Beaches--East York/Beaches--East York"," 79A","Toronto",2,72,41,5,0,100,3,223,469
"Beaches--East York/Beaches--East York"," 79B","Toronto",1,47,28,5,0,97,1,179,386
"Beaches--East York/Beaches--East York"," 80","Toronto",0,67,14,6,0,80,0,167,360
"Beaches--East York/Beaches--East York"," 81","Toronto",Void/Supprimé,,,,,,,,
"Beaches--East York/Beaches--East York"," 82","Toronto",1,112,28,16,1,131,0,289,622
"Beaches--East York/Beaches--East York"," 83","East York",0,31,20,16,0,45,0,112,199
"Beaches--East York/Beaches--East York"," 84","East York",2,91,30,15,0,86,0,224,396
"Beaches--East York/Beaches--East York"," 85","East York",0,122,40,24,0,136,1,323,417
"Beaches--East York/Beaches--East York"," 86","East York",0,87,40,18,2,108,0,255,394
"Beaches--East York/Beaches--East York"," 87","East York",1,93,45,15,2,106,0,262,473
"Beaches--East York/Beaches--East York"," 88","Toronto",0,72,28,17,0,112,2,231,330
"Beaches--East York/Beaches--East York"," 89","Toronto",3,106,14,17,1,102,0,243,361
"Beaches--East York/Beaches--East York"," 90","Toronto",3,132,37,13,0,117,0,302,461
"Beaches--East York/Beaches--East York"," 91","Toronto",1,92,43,12,0,112,0,260,420
"Beaches--East York/Beaches--East York"," 92","Toronto",1,73,21,7,2,113,0,217,339
"Beaches--East York/Beaches--East York"," 93","Toronto",1,104,34,25,1,119,1,285,433
"Beaches--East York/Beaches--East York"," 94","Toronto",0,102,37,13,0,83,3,238,355
"Beaches--East York/Beaches--East York"," 95","Toronto",0,113,30,19,3,96,1,262,381
"Beaches--East York/Beaches--East York"," 96","Toronto",0,129,22,31,2,98,1,283,421
"Beaches--East York/Beaches--East York"," 97","Toronto",2,111,22,27,3,114,3,282,434
"Beaches--East York/Beaches--East York"," 98","Toronto",0,98,26,33,7,65,0,229,325
"Beaches--East York/Beaches--East York"," 99","Toronto",0,98,24,15,1,69,0,207,293
"Beaches--East York/Beaches--East York"," 100","Toronto",0,147,30,18,0,122,1,318,437
"Beaches--East York/Beaches--East York"," 101","Toronto",0,105,31,22,2,69,1,230,359
"Beaches--East York/Beaches--East York"," 102","Toronto",0,108,27,16,2,99,1,253,404
"Beaches--East York/Beaches--East York"," 103","Toronto",0,66,25,18,3,123,0,235,425
"Beaches--East York/Beaches--East York"," 104","Toronto",2,95,35,5,4,146,0,287,468
"Beaches--East York/Beaches--East York"," 105","Toronto",2,104,30,14,2,85,0,237,345
"Beaches--East York/Beaches--East York"," 106","Toronto",0,108,36,19,0,96,3,262,412
"Beaches--East York/Beaches--East York"," 107","Toronto",1,107,34,29,0,100,1,272,365
"Beaches--East York/Beaches--East York"," 108","Toronto",0,138,31,16,0,68,0,253,344
"Beaches--East York/Beaches--East York"," 109","Toronto",0,86,34,15,3,82,0,220,323
"Beaches--East York/Beaches--East York"," 110","Toronto",2,86,31,24,0,88,0,231,391
"Beaches--East York/Beaches--East York"," 111","Toronto",1,102,29,13,0,63,1,209,350
"Beaches--East York/Beaches--East York"," 112","Toronto",1,84,54,19,0,96,0,254,348
"Beaches--East York/Beaches--East York"," 113","Toronto",0,77,46,16,1,76,1,217,311
"Beaches--East York/Beaches--East York"," 114","Toronto",1,90,55,18,0,82,0,246,352
"Beaches--East York/Beaches--East York"," 115","Toronto",1,106,55,7,3,104,4,280,561
"Beaches--East York/Beaches--East York"," 116A","Toronto",0,52,35,5,0,63,0,155,289
"Beaches--East York/Beaches--East York"," 116B","Mobile poll/Bureau itinérant",Merged with No. 68B/Fusionné avec le nº 68B,,,,,,,,55
"Beaches--East York/Beaches--East York"," 117","Toronto",1,109,55,10,1,86,0,262,389
"Beaches--East York/Beaches--East York"," 118","Toronto",0,90,51,16,2,76,1,236,387
"Beaches--East York/Beaches--East York"," 119","Toronto",0,56,31,10,0,83,0,180,290
"Beaches--East York/Beaches--East York"," 120","Toronto",0,74,76,16,0,141,1,308,403
"Beaches--East York/Beaches--East York"," 121","Toronto",1,122,62,17,0,120,0,322,499
"Beaches--East York/Beaches--East York"," 122","Toronto",0,85,31,16,0,80,1,213,306
"Beaches--East York/Beaches--East York"," 123","Toronto",1,86,44,13,0,91,0,235,373
"Beaches--East York/Beaches--East York"," 124","Toronto",1,108,33,9,1,97,0,249,346
"Beaches--East York/Beaches--East York"," 125","Toronto",2,120,60,19,2,88,0,291,400
"Beaches--East York/Beaches--East York"," 126","Toronto",0,98,49,30,1,101,0,279,405
"Beaches--East York/Beaches--East York"," 127","Toronto",0,111,52,13,0,92,1,269,395
"Beaches--East York/Beaches--East York"," 128","Toronto",0,85,24,19,1,74,1,204,302
"Beaches--East York/Beaches--East York"," 129","Toronto",0,134,54,23,0,105,0,316,421
"Beaches--East York/Beaches--East York"," 130","Toronto",0,135,47,27,1,128,0,338,457
"Beaches--East York/Beaches--East York"," 131","Toronto",0,116,39,10,0,93,2,260,368
"Beaches--East York/Beaches--East York"," 132","Toronto",0,111,44,12,2,120,1,290,444
"Beaches--East York/Beaches--East York"," 133","Toronto",0,115,36,11,1,72,0,235,405
"Beaches--East York/Beaches--East York"," 134","Toronto",0,124,32,29,0,72,1,258,351
"Beaches--East York/Beaches--East York"," 135","Toronto",0,71,39,20,0,87,0,217,314
"Beaches--East York/Beaches--East York"," 136","Toronto",2,125,31,21,1,92,0,272,442
"Beaches--East York/Beaches--East York"," 137","Toronto",0,73,32,23,0,48,1,177,249
"Beaches--East York/Beaches--East York"," 138","Toronto",0,96,34,24,0,88,0,242,351
"Beaches--East York/Beaches--East York"," 139","Toronto",1,140,26,29,2,98,1,297,421
"Beaches--East York/Beaches--East York"," 140","Toronto",1,102,25,25,1,99,1,254,394
"Beaches--East York/Beaches--East York"," 141","Toronto",1,108,32,23,3,75,0,242,386
"Beaches--East York/Beaches--East York"," 142","Toronto",3,98,50,25,0,87,0,263,412
"Beaches--East York/Beaches--East York"," 143","Toronto",1,116,39,15,1,72,3,247,373
"Beaches--East York/Beaches--East York"," 144","Toronto",0,105,36,25,0,80,1,247,347
"Beaches--East York/Beaches--East York"," 145","Toronto",1,109,47,17,1,78,0,253,383
"Beaches--East York/Beaches--East York"," 146","Toronto",0,116,39,29,1,105,1,291,401
"Beaches--East York/Beaches--East York"," 147","Toronto",0,133,49,17,0,98,0,297,393
"Beaches--East York/Beaches--East York"," 148","Toronto",0,116,53,17,0,93,0,279,424
"Beaches--East York/Beaches--East York"," 149","Toronto",0,75,35,22,2,60,0,194,298
"Beaches--East York/Beaches--East York"," 150","Toronto",0,93,37,24,0,91,0,245,342
"Beaches--East York/Beaches--East York"," 151","Toronto",1,63,31,22,0,68,0,185,245
"Beaches--East York/Beaches--East York"," 152","Toronto",0,84,41,28,0,93,0,246,371
"Beaches--East York/Beaches--East York"," 153","Toronto",0,77,38,16,0,98,4,233,376
"Beaches--East York/Beaches--East York"," 154","Toronto",1,84,44,33,2,95,0,259,389
"Beaches--East York/Beaches--East York"," 155","Toronto",0,99,48,34,1,102,0,284,391
"Beaches--East York/Beaches--East York"," 156","Toronto",1,113,47,26,0,91,0,278,401
"Beaches--East York/Beaches--East York"," 157","Toronto",0,91,55,19,0,103,1,269,409
"Beaches--East York/Beaches--East York"," 158","Toronto",0,109,72,15,0,110,0,306,451
"Beaches--East York/Beaches--East York"," 159","Toronto",0,68,63,27,0,66,0,224,359
"Beaches--East York/Beaches--East York"," 160","Toronto",0,60,55,19,1,70,1,206,340
"Beaches--East York/Beaches--East York"," 161","Toronto",0,74,66,21,0,79,0,240,369
"Beaches--East York/Beaches--East York"," 162","Toronto",0,87,43,19,0,80,1,230,356
"Beaches--East York/Beaches--East York"," 163","Toronto",0,104,46,19,1,84,1,255,381
"Beaches--East York/Beaches--East York"," 164","Toronto",0,62,43,15,1,84,0,205,311
"Beaches--East York/Beaches--East York"," 165","Toronto",0,86,57,23,0,89,0,255,426
"Beaches--East York/Beaches--East York"," 166","Toronto",0,111,53,14,1,90,1,270,433
"Beaches--East York/Beaches--East York"," 167","Toronto",1,141,93,30,3,146,5,419,591
"Beaches--East York/Beaches--East York"," 168","Toronto",Merged with No. 169A/Fusionné avec le nº 169A,,,,,,,,45
"Beaches--East York/Beaches--East York"," 169A","Toronto",0,56,40,15,2,64,0,177,267
"Beaches--East York/Beaches--East York"," 169B","Toronto",0,67,121,17,2,97,0,304,410
"Beaches--East York/Beaches--East York"," 170","Toronto",0,36,52,9,0,79,0,176,326
"Beaches--East York/Beaches--East York"," 171","Toronto",0,42,76,15,0,115,1,249,382
"Beaches--East York/Beaches--East York"," 172","Toronto",0,113,39,19,0,101,2,274,407
"Beaches--East York/Beaches--East York"," 173","Toronto",1,93,56,16,0,62,0,228,337
"Beaches--East York/Beaches--East York"," 174","Toronto",0,127,49,30,1,104,0,311,482
"Beaches--East York/Beaches--East York"," 175","Toronto",0,83,54,27,0,65,1,230,405
"Beaches--East York/Beaches--East York"," 176","Toronto",0,71,32,13,1,57,0,174,309
"Beaches--East York/Beaches--East York"," 177","Toronto",0,85,29,21,1,57,0,193,337
"Beaches--East York/Beaches--East York"," 178","Toronto",0,104,42,14,0,96,0,256,435
"Beaches--East York/Beaches--East York"," 179","Toronto",0,75,30,8,0,49,0,162,254
"Beaches--East York/Beaches--East York"," 180","Toronto",0,76,27,14,0,78,0,195,333
"Beaches--East York/Beaches--East York"," 181","Toronto",0,83,38,16,2,45,1,185,307
"Beaches--East York/Beaches--East York"," 182","Toronto",0,79,39,18,1,74,0,211,370
"Beaches--East York/Beaches--East York"," 400","East York",1,30,27,0,0,87,0,145,298
"Beaches--East York/Beaches--East York"," 401","East York",1,45,44,5,0,177,2,274,577
"Beaches--East York/Beaches--East York"," 402","East York",0,34,23,5,0,119,1,182,402
"Beaches--East York/Beaches--East York"," 403","East York",0,27,7,2,0,75,0,111,264
"Beaches--East York/Beaches--East York"," 404","East York",0,12,9,3,1,66,1,92,227
"Beaches--East York/Beaches--East York"," 405","East York",0,51,42,8,1,93,0,195,404
"Beaches--East York/Beaches--East York"," 406","East York",0,26,16,1,0,87,1,131,327
"Beaches--East York/Beaches--East York"," 407","East York",1,47,44,6,3,181,0,282,518
"Beaches--East York/Beaches--East York"," 408","East York",0,51,31,3,1,151,0,237,483
"Beaches--East York/Beaches--East York"," 600","East York",0,106,140,19,2,193,0,460,
"Beaches--East York/Beaches--East York"," 601","East York",1,140,105,16,1,188,2,453,
"Beaches--East York/Beaches--East York"," 602","East York",0,84,71,16,2,400,1,574,
"Beaches--East York/Beaches--East York"," 603","East York",0,277,157,36,5,310,0,785,
"Beaches--East York/Beaches--East York"," 604","Toronto",0,208,91,32,4,283,3,621,
"Beaches--East York/Beaches--East York"," 605","Toronto",0,269,75,40,2,269,1,656,
"Beaches--East York/Beaches--East York"," 606","Toronto",0,228,110,27,1,209,2,577,
"Beaches--East York/Beaches--East York"," 607","Toronto",0,235,170,36,1,245,2,689,
"Beaches--East York/Beaches--East York"," 608","Toronto",0,250,220,39,1,254,0,764,
"Beaches--East York/Beaches--East York"," 609","Toronto",0,171,99,18,1,121,0,410,
"Beaches--East York/Beaches--East York",,Group 1/Groupe 1,0,34,12,9,1,43,5,104,183
"Beaches--East York/Beaches--East York",,Group 2/Groupe 2,0,259,156,35,1,247,6,704,
