Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,John Hugh Edwards,Mark Eyking,Howie MacDonald,Chris Milburn,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Sydney--Victoria/Sydney--Victoria"," 43","Cape Breton",63,51,16,4,0,134,291
"Sydney--Victoria/Sydney--Victoria"," 44","Cape Breton",68,47,31,2,3,151,303
"Sydney--Victoria/Sydney--Victoria"," 45A","Cape Breton",50,71,19,2,1,143,289
"Sydney--Victoria/Sydney--Victoria"," 45B","Cape Breton",49,70,24,2,0,145,312
"Sydney--Victoria/Sydney--Victoria"," 46","Cape Breton",31,73,18,1,0,123,316
"Sydney--Victoria/Sydney--Victoria"," 47A","Cape Breton",55,66,31,7,1,160,382
"Sydney--Victoria/Sydney--Victoria"," 47B","Mobile poll/Bureau itinérant",Merged with No. 501A/Fusionné avec le nº 501A,,,,,,6
"Sydney--Victoria/Sydney--Victoria"," 48","Cape Breton",82,108,29,8,5,232,552
"Sydney--Victoria/Sydney--Victoria"," 49","Cape Breton",46,48,33,2,0,129,270
"Sydney--Victoria/Sydney--Victoria"," 50","Cape Breton, Sydney Mines",76,83,16,1,1,177,394
"Sydney--Victoria/Sydney--Victoria"," 51","Cape Breton",60,70,31,4,2,167,385
"Sydney--Victoria/Sydney--Victoria"," 52","Cape Breton",58,77,22,4,2,163,295
"Sydney--Victoria/Sydney--Victoria"," 53","Cape Breton",69,90,32,5,4,200,402
"Sydney--Victoria/Sydney--Victoria"," 54","Cape Breton",67,94,48,4,2,215,433
"Sydney--Victoria/Sydney--Victoria"," 55","Cape Breton",115,118,46,10,2,291,607
"Sydney--Victoria/Sydney--Victoria"," 56","Cape Breton",77,61,19,3,0,160,341
"Sydney--Victoria/Sydney--Victoria"," 57","Cape Breton",50,82,25,4,1,162,346
"Sydney--Victoria/Sydney--Victoria"," 58","Cape Breton",47,60,26,2,0,135,291
"Sydney--Victoria/Sydney--Victoria"," 59","Cape Breton",36,59,28,4,0,127,211
"Sydney--Victoria/Sydney--Victoria"," 60","Cape Breton",62,80,35,8,3,188,370
"Sydney--Victoria/Sydney--Victoria"," 61","Cape Breton",55,108,52,3,0,218,389
"Sydney--Victoria/Sydney--Victoria"," 62","Cape Breton",51,92,35,8,0,186,348
"Sydney--Victoria/Sydney--Victoria"," 63","Cape Breton",51,94,40,10,1,196,403
"Sydney--Victoria/Sydney--Victoria"," 64","Cape Breton",58,109,36,1,0,204,406
"Sydney--Victoria/Sydney--Victoria"," 65","Cape Breton",66,153,62,9,0,290,418
"Sydney--Victoria/Sydney--Victoria"," 66","Cape Breton",66,122,53,7,0,248,388
"Sydney--Victoria/Sydney--Victoria"," 67","Cape Breton",43,78,35,7,2,165,312
"Sydney--Victoria/Sydney--Victoria"," 68","Cape Breton",64,100,19,5,0,188,330
"Sydney--Victoria/Sydney--Victoria"," 69","Cape Breton",61,111,67,8,1,248,380
"Sydney--Victoria/Sydney--Victoria"," 70","Cape Breton",30,90,26,7,3,156,370
"Sydney--Victoria/Sydney--Victoria"," 71","Westmount",90,162,89,13,1,355,564
"Sydney--Victoria/Sydney--Victoria"," 72","Westmount",59,123,49,12,1,244,428
"Sydney--Victoria/Sydney--Victoria"," 73","Westmount",46,118,44,2,1,211,355
"Sydney--Victoria/Sydney--Victoria"," 74","Westmount",41,82,41,6,0,170,282
"Sydney--Victoria/Sydney--Victoria"," 75","Westmount",72,112,70,9,1,264,437
"Sydney--Victoria/Sydney--Victoria"," 76","Westmount",61,124,66,21,0,272,460
"Sydney--Victoria/Sydney--Victoria"," 77","Coxheath",41,73,60,9,2,185,335
"Sydney--Victoria/Sydney--Victoria"," 78","Coxheath",61,115,55,13,0,244,418
"Sydney--Victoria/Sydney--Victoria"," 79","Coxheath",62,142,89,15,3,311,491
"Sydney--Victoria/Sydney--Victoria"," 80","Balls Creek",51,69,32,16,0,168,315
"Sydney--Victoria/Sydney--Victoria"," 81","Rear Balls Creek",82,123,61,14,1,281,511
"Sydney--Victoria/Sydney--Victoria"," 82","Blacketts Lake",29,85,35,10,0,159,314
"Sydney--Victoria/Sydney--Victoria"," 83","Blacketts Lake",29,106,33,9,0,177,310
"Sydney--Victoria/Sydney--Victoria"," 84","Frenchvale",87,133,42,8,0,270,480
"Sydney--Victoria/Sydney--Victoria"," 85","Northside East Bay",49,137,68,12,2,268,524
"Sydney--Victoria/Sydney--Victoria"," 86A","Eskasoni 3",13,70,17,1,1,102,379
"Sydney--Victoria/Sydney--Victoria"," 86B","Eskasoni 3",11,84,16,0,1,112,367
"Sydney--Victoria/Sydney--Victoria"," 87A","Eskasoni 3",14,121,8,2,0,145,406
"Sydney--Victoria/Sydney--Victoria"," 87B","Eskasoni 3",8,122,15,1,2,148,394
"Sydney--Victoria/Sydney--Victoria"," 88","Cape Breton",54,106,31,8,0,199,441
"Sydney--Victoria/Sydney--Victoria"," 89","Cape Breton",39,126,45,12,1,223,459
"Sydney--Victoria/Sydney--Victoria"," 90","Cape Breton",48,110,34,15,0,207,393
"Sydney--Victoria/Sydney--Victoria"," 91","Cape Breton",44,105,45,6,0,200,358
"Sydney--Victoria/Sydney--Victoria"," 92","Cape Breton",42,105,33,11,0,191,343
"Sydney--Victoria/Sydney--Victoria"," 93","Cape Breton",48,94,33,6,0,181,382
"Sydney--Victoria/Sydney--Victoria"," 94","Cape Breton",44,113,26,1,1,185,331
"Sydney--Victoria/Sydney--Victoria"," 95","Cape Breton",44,71,19,11,2,147,352
"Sydney--Victoria/Sydney--Victoria"," 96","Cape Breton",46,84,34,11,1,176,359
"Sydney--Victoria/Sydney--Victoria"," 97","Membertou 28B",12,171,12,4,1,200,449
"Sydney--Victoria/Sydney--Victoria"," 98","Cape Breton",52,114,45,8,0,219,395
"Sydney--Victoria/Sydney--Victoria"," 99","Cape Breton",48,132,39,6,3,228,466
"Sydney--Victoria/Sydney--Victoria"," 100","Cape Breton",67,107,44,5,0,223,393
"Sydney--Victoria/Sydney--Victoria"," 101","Cape Breton",64,88,32,18,0,202,396
"Sydney--Victoria/Sydney--Victoria"," 102","Cape Breton",49,92,33,9,2,185,343
"Sydney--Victoria/Sydney--Victoria"," 103","Cape Breton",38,52,15,5,1,111,317
"Sydney--Victoria/Sydney--Victoria"," 104","Cape Breton",44,88,26,6,1,165,348
"Sydney--Victoria/Sydney--Victoria"," 105","Cape Breton",42,82,34,9,1,168,287
"Sydney--Victoria/Sydney--Victoria"," 106","Cape Breton",39,106,50,17,0,212,364
"Sydney--Victoria/Sydney--Victoria"," 107","Cape Breton",42,135,28,11,0,216,382
"Sydney--Victoria/Sydney--Victoria"," 108","Cape Breton",93,128,46,16,1,284,435
"Sydney--Victoria/Sydney--Victoria"," 109","Cape Breton",103,233,59,22,2,419,588
"Sydney--Victoria/Sydney--Victoria"," 110","Cape Breton",56,77,26,13,1,173,335
"Sydney--Victoria/Sydney--Victoria"," 111","Cape Breton",55,86,28,6,1,176,337
"Sydney--Victoria/Sydney--Victoria"," 112","Cape Breton",90,131,31,11,6,269,530
"Sydney--Victoria/Sydney--Victoria"," 113A","Cape Breton",26,46,8,3,0,83,205
"Sydney--Victoria/Sydney--Victoria"," 113B","Mobile poll/Bureau itinérant",Merged with No. 502A/Fusionné avec le nº 502A,,,,,,147
"Sydney--Victoria/Sydney--Victoria"," 114","Cape Breton",74,95,34,10,0,213,469
"Sydney--Victoria/Sydney--Victoria"," 115","Cape Breton",62,83,21,15,0,181,379
"Sydney--Victoria/Sydney--Victoria"," 116","Cape Breton",51,75,16,4,0,146,300
"Sydney--Victoria/Sydney--Victoria"," 117","Cape Breton",36,90,31,17,0,174,335
"Sydney--Victoria/Sydney--Victoria"," 118","Cape Breton",68,90,31,27,1,217,413
"Sydney--Victoria/Sydney--Victoria"," 119","Sydney",41,86,21,5,0,153,303
"Sydney--Victoria/Sydney--Victoria"," 120","Cape Breton",53,103,23,10,0,189,331
"Sydney--Victoria/Sydney--Victoria"," 121","Cape Breton",74,113,26,12,0,225,367
"Sydney--Victoria/Sydney--Victoria"," 122","Cape Breton",48,81,11,10,1,151,299
"Sydney--Victoria/Sydney--Victoria"," 123","Cape Breton",23,77,18,2,1,121,248
"Sydney--Victoria/Sydney--Victoria"," 124","Cape Breton",60,101,22,6,0,189,381
"Sydney--Victoria/Sydney--Victoria"," 125","Cape Breton",68,115,24,9,1,217,367
"Sydney--Victoria/Sydney--Victoria"," 126","Cape Breton",43,127,37,3,0,210,334
"Sydney--Victoria/Sydney--Victoria"," 127","Cape Breton",58,119,34,6,0,217,389
"Sydney--Victoria/Sydney--Victoria"," 128","Cape Breton",102,85,13,0,0,200,365
"Sydney--Victoria/Sydney--Victoria"," 129","Cape Breton",76,94,19,2,2,193,374
"Sydney--Victoria/Sydney--Victoria"," 130","Cape Breton",70,92,22,7,3,194,381
"Sydney--Victoria/Sydney--Victoria"," 131","Cape Breton",39,70,14,6,0,129,315
"Sydney--Victoria/Sydney--Victoria"," 132","Cape Breton",70,85,33,3,1,192,347
"Sydney--Victoria/Sydney--Victoria"," 133","Cape Breton",83,84,21,3,2,193,364
"Sydney--Victoria/Sydney--Victoria"," 134","Cape Breton",61,57,24,3,2,147,301
"Sydney--Victoria/Sydney--Victoria"," 135","Cape Breton",68,49,14,7,0,138,304
"Sydney--Victoria/Sydney--Victoria"," 136","Cape Breton",45,39,16,0,1,101,255
"Sydney--Victoria/Sydney--Victoria"," 137","Cape Breton",42,49,20,1,3,115,260
"Sydney--Victoria/Sydney--Victoria"," 138","Cape Breton",62,86,18,5,2,173,363
"Sydney--Victoria/Sydney--Victoria"," 139","Cape Breton",66,61,18,3,0,148,333
"Sydney--Victoria/Sydney--Victoria"," 140","Cape Breton",62,55,12,2,2,133,288
"Sydney--Victoria/Sydney--Victoria"," 141","Cape Breton",51,85,24,2,0,162,291
"Sydney--Victoria/Sydney--Victoria"," 142","Cape Breton",59,74,25,1,3,162,338
"Sydney--Victoria/Sydney--Victoria"," 143","Cape Breton",64,104,31,9,0,208,468
"Sydney--Victoria/Sydney--Victoria"," 144","Cape Breton",45,90,20,9,0,164,333
"Sydney--Victoria/Sydney--Victoria"," 145","Cape Breton",33,93,13,4,1,144,332
"Sydney--Victoria/Sydney--Victoria"," 146","New Victoria",98,86,42,11,3,240,426
"Sydney--Victoria/Sydney--Victoria"," 147","New Victoria",60,81,32,3,0,176,312
"Sydney--Victoria/Sydney--Victoria"," 148","New Victoria",65,77,34,1,1,178,330
"Sydney--Victoria/Sydney--Victoria"," 149","South Bar",62,72,20,8,0,162,264
"Sydney--Victoria/Sydney--Victoria"," 150","South Bar",80,99,41,6,0,226,386
"Sydney--Victoria/Sydney--Victoria"," 151","Lingan Road",77,131,42,4,5,259,493
"Sydney--Victoria/Sydney--Victoria"," 152","Scotchtown",81,124,55,9,0,269,482
"Sydney--Victoria/Sydney--Victoria"," 153","Scotchtown",55,87,41,8,0,191,427
"Sydney--Victoria/Sydney--Victoria"," 154","River Ryan",58,73,45,2,1,179,371
"Sydney--Victoria/Sydney--Victoria"," 155","Scotchtown",70,81,30,3,2,186,434
"Sydney--Victoria/Sydney--Victoria"," 156","Lingan",121,128,30,5,0,284,454
"Sydney--Victoria/Sydney--Victoria"," 157","Cape Breton",101,86,37,4,0,228,428
"Sydney--Victoria/Sydney--Victoria"," 158","Cape Breton",92,86,30,2,2,212,410
"Sydney--Victoria/Sydney--Victoria"," 159","Cape Breton",49,55,9,1,1,115,288
"Sydney--Victoria/Sydney--Victoria"," 160","Cape Breton",65,83,27,7,0,182,446
"Sydney--Victoria/Sydney--Victoria"," 161","Cape Breton",75,86,26,2,1,190,365
"Sydney--Victoria/Sydney--Victoria"," 162","Cape Breton",58,70,35,3,0,166,360
"Sydney--Victoria/Sydney--Victoria"," 163","Cape Breton",30,35,25,2,0,92,222
"Sydney--Victoria/Sydney--Victoria"," 164","Cape Breton",70,87,27,3,0,187,356
"Sydney--Victoria/Sydney--Victoria"," 165","Cape Breton",63,76,22,3,2,166,373
"Sydney--Victoria/Sydney--Victoria"," 166","Cape Breton",41,67,33,2,2,145,352
"Sydney--Victoria/Sydney--Victoria"," 167","Cape Breton",66,102,20,7,0,195,428
"Sydney--Victoria/Sydney--Victoria"," 168","Cape Breton",65,53,18,2,1,139,296
"Sydney--Victoria/Sydney--Victoria"," 169","Cape Breton",77,119,46,7,0,249,429
"Sydney--Victoria/Sydney--Victoria"," 170","Cape Breton",66,72,35,3,0,176,366
"Sydney--Victoria/Sydney--Victoria"," 171","Cape Breton",90,100,28,2,1,221,405
"Sydney--Victoria/Sydney--Victoria"," 400","Cape Breton",Void/Supprimé,,,,,,
"Sydney--Victoria/Sydney--Victoria"," 401","Cape Breton",14,65,25,1,5,110,275
"Sydney--Victoria/Sydney--Victoria"," 402","Mobile poll/Bureau itinérant",Merged with No. 502A/Fusionné avec le nº 502A,,,,,,125
"Sydney--Victoria/Sydney--Victoria"," 500","Mobile poll/Bureau itinérant",6,17,25,1,2,51,104
"Sydney--Victoria/Sydney--Victoria"," 501A","Mobile poll/Bureau itinérant",13,21,14,1,5,54,83
"Sydney--Victoria/Sydney--Victoria"," 501B","Mobile poll/Bureau itinérant",Merged with No. 502B/Fusionné avec le nº 502B,,,,,,92
"Sydney--Victoria/Sydney--Victoria"," 502A","Mobile poll/Bureau itinérant",48,116,47,9,5,225,150
"Sydney--Victoria/Sydney--Victoria"," 502B","Mobile poll/Bureau itinérant",13,46,18,0,0,77,145
"Sydney--Victoria/Sydney--Victoria"," 600","Pleasant Bay",14,24,12,2,0,52,
"Sydney--Victoria/Sydney--Victoria"," 601","Ingonish",6,55,22,0,3,86,
"Sydney--Victoria/Sydney--Victoria"," 602","Englishtown",17,22,18,2,0,59,
"Sydney--Victoria/Sydney--Victoria"," 603","Baddeck",46,149,109,3,1,308,
"Sydney--Victoria/Sydney--Victoria"," 604","Florence",139,217,78,9,3,446,
"Sydney--Victoria/Sydney--Victoria"," 605","Gannon",39,121,46,9,3,218,
"Sydney--Victoria/Sydney--Victoria"," 606","Sydney Mines",218,396,187,24,0,825,
"Sydney--Victoria/Sydney--Victoria"," 607","North Sydney",85,233,92,11,5,426,
"Sydney--Victoria/Sydney--Victoria"," 608","Westmount",104,386,170,17,3,680,
"Sydney--Victoria/Sydney--Victoria"," 609","Membertou",165,508,206,29,1,909,
"Sydney--Victoria/Sydney--Victoria"," 610","Sydney",139,373,87,29,2,630,
"Sydney--Victoria/Sydney--Victoria"," 611","Sydney",145,303,57,16,2,523,
"Sydney--Victoria/Sydney--Victoria"," 612","New Victoria",123,165,51,5,0,344,
"Sydney--Victoria/Sydney--Victoria"," 613","New Waterford",168,259,86,10,2,525,
"Sydney--Victoria/Sydney--Victoria"," 614","Eskasoni",4,38,10,1,1,54,
"Sydney--Victoria/Sydney--Victoria",,Group 1/Groupe 1,23,109,80,10,6,228,724
"Sydney--Victoria/Sydney--Victoria",,Group 2/Groupe 2,265,500,128,21,22,936,
