Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Douglas Christie,Troy DeSouza,Randall Garrison,Keith Martin,David Piney,Mike Robinson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 36","Langford",3,117,110,140,1,17,0,388,603
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 37","Langford",0,128,114,155,0,24,0,421,643
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 38","Langford",1,102,104,91,1,21,0,320,530
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 39","Langford",0,46,88,64,1,9,1,209,361
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 40","Langford",0,73,60,67,0,16,0,216,365
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 41","Langford",1,149,88,162,0,19,0,419,646
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 42","Langford",3,60,75,65,0,8,1,212,380
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 43","Langford",0,55,85,63,0,14,0,217,398
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 44","Langford",2,91,116,65,0,20,0,294,478
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 45","Langford",0,36,68,58,0,11,0,173,345
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 46","Langford",0,90,101,112,1,27,1,332,599
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 47","Langford",0,91,58,79,0,14,0,242,387
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 48","Langford",1,78,83,117,2,16,1,298,525
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 49","Langford",4,56,99,70,0,14,1,244,490
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 50","Langford",0,65,104,82,0,11,0,262,434
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 51","Langford",0,71,69,107,1,18,0,266,418
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 52","Langford",2,69,81,101,1,9,1,264,427
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 53","Langford",0,64,85,107,0,13,3,272,462
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 54","Langford",2,32,54,50,1,12,0,151,239
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 55","Langford",2,68,64,84,1,18,0,237,397
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 56","Langford",6,86,97,105,0,18,0,312,502
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 57","Langford",0,120,77,101,0,10,0,308,459
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 58","Langford",0,56,49,57,0,3,1,166,261
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 59","Willis Point",1,59,59,89,1,18,0,227,340
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 60","Saanich",2,78,87,104,1,27,1,300,459
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 61","Elk Lake",2,79,80,81,1,19,1,263,430
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 62","Prospect Lake",1,101,95,136,0,29,1,363,546
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 63","Prospect Lake",1,118,79,146,0,18,0,362,545
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 64","Elk Lake",5,110,68,118,0,23,0,324,449
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 65","Beaver Lake",2,84,78,103,0,17,0,284,451
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 66","Prospect Lake",1,105,97,105,0,20,1,329,623
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 67","Prospect Lake",0,75,70,89,2,11,0,247,384
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 68","Glyn",0,90,93,109,0,17,0,309,467
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 69","Glyn",0,69,72,95,0,9,0,245,372
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 70","Saanich",1,131,82,127,3,23,0,367,505
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 71","Saanich",0,124,72,149,0,10,0,355,568
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 72","Saanich",0,48,29,41,0,7,0,125,200
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 73","Saanich",1,82,62,99,0,7,0,251,391
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 74","Saanich",1,87,109,98,0,10,0,305,453
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 75","Saanich",3,83,73,83,0,19,0,261,391
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 76","Saanich",0,100,96,94,0,14,1,305,457
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 77","Saanich",0,61,114,68,0,17,1,261,425
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 78","Saanich",1,73,121,120,0,13,0,328,521
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 79","Saanich",4,84,98,104,0,12,0,302,463
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 80","Saanich",1,40,53,56,1,9,0,160,244
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 81","Marigold",3,98,81,97,0,12,0,291,391
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 82","Saanich",1,82,94,102,0,15,1,295,515
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 83","Saanich",5,116,83,93,0,18,0,315,484
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 84","Saanich",1,66,61,82,0,3,1,214,365
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 85","Marigold",0,77,107,124,0,14,0,322,501
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 86","Marigold",1,91,96,103,0,21,1,313,439
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 87","Saanich",0,102,83,149,0,17,0,351,528
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 88","Saanich",2,61,80,89,1,12,1,246,373
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 89","Saanich",1,66,44,79,1,4,0,195,276
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 90","View Royal",1,53,77,82,0,13,0,226,380
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 91","Saanich",0,60,83,79,0,21,0,243,402
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 92","Saanich",0,109,94,102,1,13,0,319,487
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 93","View Royal",1,91,89,154,0,26,0,361,563
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 94","View Royal",1,56,47,72,0,13,0,189,308
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 95","View Royal",3,52,69,87,0,12,0,223,360
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 96","View Royal",2,93,87,128,0,19,1,330,583
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 97","View Royal",1,82,66,127,0,5,1,282,500
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 98","View Royal",1,102,119,94,0,17,0,333,595
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 99","View Royal",0,33,98,70,0,8,1,210,303
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 100","View Royal",1,28,53,63,0,5,1,151,252
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 101","View Royal",3,113,93,140,0,15,3,367,572
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 102","View Royal",1,61,80,86,0,27,3,258,426
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 103","View Royal",1,50,110,49,1,7,0,218,342
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 104","View Royal",2,81,67,99,0,12,0,261,414
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 105","View Royal",1,51,84,80,1,6,0,223,386
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 106","New Songhees 1A",0,10,42,15,0,6,0,73,178
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 107","New Songhees 1A",2,108,171,119,0,17,3,420,795
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 108","Saanich",4,71,108,77,0,23,1,284,424
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 109","Saanich",1,60,68,76,0,9,0,214,303
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 110","Saanich",1,101,97,94,1,18,0,312,460
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 111","Saanich",1,61,101,112,2,14,0,291,453
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 112","Saanich",0,45,105,85,0,22,0,257,457
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 113","Saanich",0,68,122,64,0,11,0,265,418
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 114","Saanich",1,36,62,62,0,7,0,168,310
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 115","Sevenoaks",1,50,85,75,0,17,0,228,369
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 116","Saanich",0,51,78,90,0,22,0,241,400
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 117","Saanich",0,60,82,71,0,9,0,222,386
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 118","Saanich",1,42,77,68,0,11,1,200,347
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 119","Saanich",0,41,102,70,1,19,0,233,408
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 120","Saanich",1,48,81,121,0,27,0,278,408
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 121","Saanich",0,43,93,98,1,12,0,247,357
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 122","Saanich",1,41,57,69,0,13,0,181,275
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 123","Saanich",2,33,73,89,2,10,1,210,442
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 124","Saanich",0,47,102,117,0,17,1,284,470
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 125","Saanich",2,60,95,66,1,23,0,247,389
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 126","Saanich",0,36,91,60,0,16,0,203,349
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 127","Saanich",0,33,106,70,0,9,0,218,365
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 128","Saanich",0,71,70,85,0,19,0,245,433
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 129","Saanich",3,63,92,69,0,17,0,244,413
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 130","Saanich",7,52,93,88,0,19,2,261,500
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 131","Saanich",1,28,100,69,0,15,0,213,397
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 132","Saanich",0,40,85,71,2,10,3,211,453
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 133","Saanich",2,29,67,68,0,11,1,178,307
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 134","Saanich",1,48,106,87,1,25,2,270,409
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 135","Saanich",0,52,125,81,1,20,0,279,455
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 136","Saanich",1,22,62,20,0,4,0,109,246
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 137","Saanich",2,38,61,54,2,10,2,169,318
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 138","Saanich",1,38,87,50,0,14,0,190,390
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 139","Colwood",2,120,101,126,1,15,1,366,541
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 140","Colwood",1,66,87,87,0,18,0,259,479
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 141","Colwood",0,36,18,30,0,10,2,96,271
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 142","Colwood",1,61,34,90,0,11,0,197,319
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 143","Colwood",2,54,39,68,0,4,0,167,270
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 144","Colwood",2,89,80,83,0,16,0,270,464
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 145","Colwood",2,52,65,52,0,10,0,181,271
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 146","Colwood",1,45,48,65,0,5,0,164,278
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 147","Colwood",0,90,73,94,2,16,0,275,449
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 148","Colwood",0,34,47,41,0,12,0,134,274
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 149","Colwood",1,61,57,71,2,4,0,196,319
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 150","Colwood",0,78,61,91,0,14,0,244,396
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 151","Colwood",2,33,57,81,1,16,1,191,330
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 152","Colwood",1,51,75,85,0,17,0,229,391
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 153","Colwood",1,66,78,68,0,8,1,222,376
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 154","Colwood",1,78,96,125,0,14,0,314,455
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 155","Colwood",1,68,77,114,0,7,0,267,416
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 156","Colwood",0,56,35,53,1,14,0,159,371
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 157","Colwood",1,93,68,97,0,13,0,272,460
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 158","Colwood",1,63,68,117,0,7,0,256,453
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 159","Colwood",0,79,93,129,0,22,1,324,508
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 160","Colwood",3,77,119,104,1,11,2,317,467
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 161","Colwood",1,70,91,93,2,7,0,264,402
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 162","Colwood",1,85,69,159,0,9,0,323,487
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 163","Colwood",0,141,105,175,0,13,0,434,744
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 164","Esquimalt",1,59,94,115,0,15,2,286,479
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 165","Esquimalt",0,73,85,94,0,9,0,261,488
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 166","Esquimalt",1,80,98,124,0,19,0,322,535
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 167","Esquimalt",2,61,127,99,1,24,1,315,483
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 168","Esquimalt",1,56,67,86,0,10,0,220,390
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 169","Esquimalt",2,41,60,107,0,8,0,218,350
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 170","Esquimalt",1,30,37,57,0,10,0,135,234
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 171","Esquimalt",1,61,100,109,0,24,0,295,465
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 172","Esquimalt",5,43,110,100,0,21,0,279,480
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 173","Esquimalt",0,35,75,65,1,9,0,185,381
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 174","Esquimalt",1,44,55,44,0,14,0,158,341
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 175","Esquimalt",5,49,86,74,0,12,2,228,500
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 176","Esquimalt",0,46,80,76,0,9,0,211,319
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 177","Esquimalt",0,50,80,86,1,18,0,235,425
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 178","Esquimalt",0,28,67,42,0,0,1,138,242
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 179","Esquimalt",0,41,65,48,1,8,0,163,343
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 180","Esquimalt",0,28,84,68,1,21,0,202,484
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 181","Esquimalt",1,22,28,51,0,5,0,107,317
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 182","Esquimalt",1,19,43,28,0,4,0,95,215
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 183","Esquimalt",1,24,55,41,0,23,1,145,291
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 184","Esquimalt",0,19,37,44,0,12,0,112,256
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 185","Esquimalt",0,26,26,50,1,4,1,108,246
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 186","Esquimalt",0,54,104,95,2,16,1,272,503
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 187","Esquimalt",1,46,79,81,0,12,0,219,388
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 188","Esquimalt",1,29,108,83,0,19,1,241,398
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 189","Esquimalt",0,15,57,39,0,12,0,123,275
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 190","Esquimalt",0,36,56,64,1,12,0,169,324
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 191","Esquimalt",1,65,107,107,0,21,0,301,460
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 192","Esquimalt",1,45,50,58,0,11,0,165,249
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 193","Esquimalt",0,26,61,72,1,16,0,176,225
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 194","Esquimalt",0,47,57,101,0,17,0,222,345
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 195","Esquimalt",0,49,80,89,0,24,1,243,466
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 196","Esquimalt",0,47,66,87,1,10,1,212,389
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 197","Esquimalt",0,34,47,51,0,15,1,148,238
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 198","Metchosin",3,74,100,75,0,22,1,275,439
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 199","Metchosin",4,95,70,117,0,32,1,319,547
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 200","Metchosin",0,83,91,110,0,17,2,303,497
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 201","Metchosin",1,81,118,127,1,17,1,346,523
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 202","Metchosin",2,42,39,68,0,13,0,164,269
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 203","Metchosin",0,54,83,91,0,9,0,237,377
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 204","Metchosin",2,85,97,93,0,31,1,309,464
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 205","Metchosin",2,46,22,49,1,6,0,126,225
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 206","Metchosin",0,50,81,68,0,12,0,211,347
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 600","Sooke",2,264,220,255,3,42,0,786,
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 601","Langford",5,368,246,332,2,38,0,991,
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 602","Saanich",0,140,96,122,0,17,1,376,
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 603","Saanich",3,204,123,174,2,19,0,525,
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 604","View Royal",1,180,160,178,0,16,0,535,
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 605","Saanich",1,80,102,90,1,6,0,280,
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 606","Saanich",6,161,200,152,0,35,0,554,
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 607","Colwood",3,324,175,286,1,27,2,818,
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 608","Esquimalt",4,326,385,356,0,49,1,1121,
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 609","Metchosin",2,99,100,84,0,7,0,292,
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca",,Group 1/Groupe 1,0,164,32,158,0,22,8,384,1079
"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca",,Group 2/Groupe 2,5,441,327,473,2,42,18,1308,
