Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jim Abbott,Jhim Burwell,Brent Bush,Thomas Fredrick Sima,Clements Verhoeven,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Kootenay--Columbia/Kootenay--Columbia"," 51","Windermere",106,22,39,0,12,0,179,283
"Kootenay--Columbia/Kootenay--Columbia"," 52","Windermere",11,9,21,0,4,0,45,68
"Kootenay--Columbia/Kootenay--Columbia"," 53A","Fairmont",142,17,27,0,17,0,203,352
"Kootenay--Columbia/Kootenay--Columbia"," 53B","Fairmont",116,22,34,1,20,0,193,350
"Kootenay--Columbia/Kootenay--Columbia"," 54","Canal Flats",213,42,50,2,5,0,312,533
"Kootenay--Columbia/Kootenay--Columbia"," 55","Meadowbrook",137,19,66,0,20,1,243,396
"Kootenay--Columbia/Kootenay--Columbia"," 56","Wasa",183,33,67,2,16,1,302,513
"Kootenay--Columbia/Kootenay--Columbia"," 57","Skookumchuck",35,12,7,0,5,0,59,88
"Kootenay--Columbia/Kootenay--Columbia"," 58","Elk Prairie",87,4,16,0,3,0,110,215
"Kootenay--Columbia/Kootenay--Columbia"," 59","Fording",108,16,43,4,5,0,176,295
"Kootenay--Columbia/Kootenay--Columbia"," 60","Elkford",131,12,57,1,5,2,208,377
"Kootenay--Columbia/Kootenay--Columbia"," 61","Elkford",118,19,40,5,6,1,189,324
"Kootenay--Columbia/Kootenay--Columbia"," 62","Elkford",112,15,52,3,8,0,190,350
"Kootenay--Columbia/Kootenay--Columbia"," 63","Elkford",145,13,44,1,4,1,208,347
"Kootenay--Columbia/Kootenay--Columbia"," 64","Sparwood",83,16,24,0,5,0,128,261
"Kootenay--Columbia/Kootenay--Columbia"," 65","Sparwood",177,23,43,2,10,0,255,525
"Kootenay--Columbia/Kootenay--Columbia"," 66","Sparwood",147,36,49,1,11,1,245,476
"Kootenay--Columbia/Kootenay--Columbia"," 67","Sparwood",120,19,70,0,9,0,218,416
"Kootenay--Columbia/Kootenay--Columbia"," 68","Sparwood",124,10,44,0,7,1,186,349
"Kootenay--Columbia/Kootenay--Columbia"," 69","Sparwood",94,15,44,0,6,2,161,335
"Kootenay--Columbia/Kootenay--Columbia"," 70","Sparwood",114,9,42,0,6,0,171,276
"Kootenay--Columbia/Kootenay--Columbia"," 71","Hosmer",126,32,47,0,16,0,221,445
"Kootenay--Columbia/Kootenay--Columbia"," 72","Fernie Ski Hill--Cokato",77,27,44,1,22,1,172,325
"Kootenay--Columbia/Kootenay--Columbia"," 73A","Fernie",69,28,31,0,19,1,148,291
"Kootenay--Columbia/Kootenay--Columbia"," 73B","Fernie",65,28,35,1,11,1,141,283
"Kootenay--Columbia/Kootenay--Columbia"," 74A","Fernie",156,47,70,0,6,0,279,527
"Kootenay--Columbia/Kootenay--Columbia"," 74B","Mobile poll/Bureau itinérant",Merged with No. 503/Fusionné avec le nº 503,,,,,,,57
"Kootenay--Columbia/Kootenay--Columbia"," 75","Fernie",116,44,73,0,21,0,254,450
"Kootenay--Columbia/Kootenay--Columbia"," 76","Fernie",64,22,60,1,17,2,166,326
"Kootenay--Columbia/Kootenay--Columbia"," 77","Fernie",57,28,58,1,20,0,164,285
"Kootenay--Columbia/Kootenay--Columbia"," 78","Fernie",33,21,39,0,17,0,110,258
"Kootenay--Columbia/Kootenay--Columbia"," 79","Fernie",118,55,78,1,29,3,284,488
"Kootenay--Columbia/Kootenay--Columbia"," 80","Fernie",131,26,44,1,19,1,222,387
"Kootenay--Columbia/Kootenay--Columbia"," 81","West Fernie",50,18,35,0,16,1,120,221
"Kootenay--Columbia/Kootenay--Columbia"," 82","Fort Steele",61,15,17,0,6,0,99,197
"Kootenay--Columbia/Kootenay--Columbia"," 83","St. Marys",7,10,23,0,8,0,48,87
"Kootenay--Columbia/Kootenay--Columbia"," 84","Idlewild",Merged with No. 92/Fusionné avec le nº 92,,,,,,,184
"Kootenay--Columbia/Kootenay--Columbia"," 85","Gold Creek Northeast",146,19,56,0,7,0,228,426
"Kootenay--Columbia/Kootenay--Columbia"," 86","Gold Creek Southwest",185,28,53,1,4,0,271,531
"Kootenay--Columbia/Kootenay--Columbia"," 87","Moyie",83,11,29,0,4,0,127,236
"Kootenay--Columbia/Kootenay--Columbia"," 88","Silver Creek--Hidden Valley",175,39,41,2,13,0,270,464
"Kootenay--Columbia/Kootenay--Columbia"," 89","Jim Smith Lake",140,29,60,0,13,1,243,476
"Kootenay--Columbia/Kootenay--Columbia"," 90","New Lake",132,42,43,2,6,0,225,431
"Kootenay--Columbia/Kootenay--Columbia"," 91","Wycliffe",144,27,51,1,7,0,230,398
"Kootenay--Columbia/Kootenay--Columbia"," 92","Standard Hill",140,17,41,0,9,0,207,291
"Kootenay--Columbia/Kootenay--Columbia"," 93","Cranbrook",61,22,20,0,9,0,112,253
"Kootenay--Columbia/Kootenay--Columbia"," 94A","Cranbrook",68,14,46,1,11,0,140,310
"Kootenay--Columbia/Kootenay--Columbia"," 94B","Cranbrook",86,21,40,1,7,1,156,339
"Kootenay--Columbia/Kootenay--Columbia"," 95","Cranbrook",161,25,46,0,5,0,237,410
"Kootenay--Columbia/Kootenay--Columbia"," 96","Cranbrook",111,43,49,0,3,0,206,387
"Kootenay--Columbia/Kootenay--Columbia"," 97","Cranbrook",146,33,52,0,8,1,240,433
"Kootenay--Columbia/Kootenay--Columbia"," 98","Cranbrook",117,19,42,1,7,0,186,373
"Kootenay--Columbia/Kootenay--Columbia"," 99","Cranbrook",91,16,28,1,3,0,139,336
"Kootenay--Columbia/Kootenay--Columbia"," 100","Cranbrook",145,27,48,2,11,2,235,450
"Kootenay--Columbia/Kootenay--Columbia"," 101","Cranbrook",167,34,35,0,13,0,249,437
"Kootenay--Columbia/Kootenay--Columbia"," 102","Cranbrook",148,40,49,1,3,0,241,436
"Kootenay--Columbia/Kootenay--Columbia"," 103","Cranbrook",142,31,57,2,4,0,236,424
"Kootenay--Columbia/Kootenay--Columbia"," 104","Cranbrook",118,41,67,0,9,0,235,436
"Kootenay--Columbia/Kootenay--Columbia"," 105","Cranbrook",135,21,56,0,7,1,220,490
"Kootenay--Columbia/Kootenay--Columbia"," 106","Cranbrook",174,33,55,1,7,1,271,447
"Kootenay--Columbia/Kootenay--Columbia"," 107","Cranbrook",143,30,49,0,4,1,227,426
"Kootenay--Columbia/Kootenay--Columbia"," 108","Cranbrook",129,32,46,0,12,0,219,439
"Kootenay--Columbia/Kootenay--Columbia"," 109","Cranbrook",105,22,68,0,6,0,201,391
"Kootenay--Columbia/Kootenay--Columbia"," 110","Cranbrook",129,32,75,0,14,0,250,544
"Kootenay--Columbia/Kootenay--Columbia"," 111","Cranbrook",97,24,47,1,12,0,181,378
"Kootenay--Columbia/Kootenay--Columbia"," 112","Cranbrook",95,32,61,1,10,1,200,386
"Kootenay--Columbia/Kootenay--Columbia"," 113","Cranbrook",104,21,49,0,15,2,191,377
"Kootenay--Columbia/Kootenay--Columbia"," 114","Cranbrook",92,15,61,2,12,0,182,408
"Kootenay--Columbia/Kootenay--Columbia"," 115","Cranbrook",92,31,43,0,3,0,169,269
"Kootenay--Columbia/Kootenay--Columbia"," 116","Cranbrook",Merged with No. 115/Fusionné avec le nº 115,,,,,,,97
"Kootenay--Columbia/Kootenay--Columbia"," 117","Cranbrook",123,23,62,0,3,0,211,436
"Kootenay--Columbia/Kootenay--Columbia"," 118","Cranbrook",93,25,46,1,3,0,168,411
"Kootenay--Columbia/Kootenay--Columbia"," 119","Cranbrook",81,21,45,0,7,2,156,428
"Kootenay--Columbia/Kootenay--Columbia"," 120","Cranbrook",138,39,46,1,3,0,227,485
"Kootenay--Columbia/Kootenay--Columbia"," 121","Cranbrook",87,17,44,0,5,0,153,357
"Kootenay--Columbia/Kootenay--Columbia"," 122","Cranbrook",138,28,38,0,9,0,213,449
"Kootenay--Columbia/Kootenay--Columbia"," 123","Cranbrook",113,37,57,0,12,0,219,403
"Kootenay--Columbia/Kootenay--Columbia"," 124","Cranbrook",132,25,68,3,3,0,231,526
"Kootenay--Columbia/Kootenay--Columbia"," 125","Kimberley",142,34,78,1,14,2,271,419
"Kootenay--Columbia/Kootenay--Columbia"," 126","Kimberley",113,24,56,1,4,0,198,354
"Kootenay--Columbia/Kootenay--Columbia"," 127","Kimberley",104,16,95,0,10,4,229,358
"Kootenay--Columbia/Kootenay--Columbia"," 128","Kimberley",96,26,63,0,16,0,201,378
"Kootenay--Columbia/Kootenay--Columbia"," 129","Kimberley",95,15,86,0,22,1,219,364
"Kootenay--Columbia/Kootenay--Columbia"," 130","Kimberley",99,17,86,0,17,2,221,402
"Kootenay--Columbia/Kootenay--Columbia"," 131","Kimberley",69,27,59,1,20,0,176,343
"Kootenay--Columbia/Kootenay--Columbia"," 132","Kimberley",58,14,52,0,10,0,134,284
"Kootenay--Columbia/Kootenay--Columbia"," 133","Kimberley",79,17,87,0,11,0,194,304
"Kootenay--Columbia/Kootenay--Columbia"," 134","Kimberley",89,15,66,0,9,2,181,323
"Kootenay--Columbia/Kootenay--Columbia"," 135","Kimberley",102,26,102,0,7,1,238,383
"Kootenay--Columbia/Kootenay--Columbia"," 136","Porteous",55,15,40,1,6,0,117,202
"Kootenay--Columbia/Kootenay--Columbia"," 137","Kimberley",121,15,56,0,8,0,200,349
"Kootenay--Columbia/Kootenay--Columbia"," 138","Kimberley",183,20,69,0,10,1,283,427
"Kootenay--Columbia/Kootenay--Columbia"," 139","Fortie's Corner",140,20,57,0,13,0,230,376
"Kootenay--Columbia/Kootenay--Columbia"," 140","Riondel",89,19,69,1,24,0,202,292
"Kootenay--Columbia/Kootenay--Columbia"," 141A","Crawford Bay",57,17,77,1,42,0,194,285
"Kootenay--Columbia/Kootenay--Columbia"," 141B","Crawford Bay",57,24,87,0,41,0,209,309
"Kootenay--Columbia/Kootenay--Columbia"," 142","Boswell",85,8,14,0,21,1,129,214
"Kootenay--Columbia/Kootenay--Columbia"," 143","West Creston",115,18,45,2,23,1,204,352
"Kootenay--Columbia/Kootenay--Columbia"," 144","Wynndel",126,15,40,0,19,2,202,325
"Kootenay--Columbia/Kootenay--Columbia"," 145A","Wynndel",152,25,40,1,12,0,230,450
"Kootenay--Columbia/Kootenay--Columbia"," 145B","Wynndel",11,2,15,0,2,0,30,55
"Kootenay--Columbia/Kootenay--Columbia"," 146","Lister",126,4,43,0,20,1,194,416
"Kootenay--Columbia/Kootenay--Columbia"," 147","Canyon",154,14,56,0,25,2,251,436
"Kootenay--Columbia/Kootenay--Columbia"," 148","Erickson",133,26,44,0,24,0,227,444
"Kootenay--Columbia/Kootenay--Columbia"," 149","Goatfell",70,14,31,0,4,0,119,288
"Kootenay--Columbia/Kootenay--Columbia"," 150","Canyon",107,25,33,0,9,1,175,317
"Kootenay--Columbia/Kootenay--Columbia"," 151","Arrow Creek",154,19,59,1,34,0,267,520
"Kootenay--Columbia/Kootenay--Columbia"," 152","Yahk",100,14,29,0,22,0,165,283
"Kootenay--Columbia/Kootenay--Columbia"," 153A","Creston",90,16,39,0,8,0,153,312
"Kootenay--Columbia/Kootenay--Columbia"," 153B","Creston",84,24,26,0,9,0,143,295
"Kootenay--Columbia/Kootenay--Columbia"," 154A","Creston",106,22,55,1,29,0,213,411
"Kootenay--Columbia/Kootenay--Columbia"," 154B","Mobile poll/Bureau itinérant",Merged with No. 504/Fusionné avec le nº 504,,,,,,,70
"Kootenay--Columbia/Kootenay--Columbia"," 155","Creston",126,31,54,0,22,0,233,458
"Kootenay--Columbia/Kootenay--Columbia"," 156","Creston",83,23,52,0,16,0,174,336
"Kootenay--Columbia/Kootenay--Columbia"," 157","Creston",127,24,61,1,30,1,244,559
"Kootenay--Columbia/Kootenay--Columbia"," 158","Creston",117,30,53,3,13,0,216,400
"Kootenay--Columbia/Kootenay--Columbia"," 159","Creston",87,28,37,0,7,0,159,334
"Kootenay--Columbia/Kootenay--Columbia"," 160","Creston",98,34,51,0,14,0,197,339
"Kootenay--Columbia/Kootenay--Columbia"," 161","Creston",80,36,42,1,18,0,177,333
"Kootenay--Columbia/Kootenay--Columbia"," 162","Erickson",102,25,35,0,17,0,179,356
"Kootenay--Columbia/Kootenay--Columbia"," 163","Erickson",91,13,21,0,7,1,133,252
"Kootenay--Columbia/Kootenay--Columbia"," 164","Wardner",116,23,16,0,7,0,162,278
"Kootenay--Columbia/Kootenay--Columbia"," 165","Jaffray",123,10,23,2,5,0,163,292
"Kootenay--Columbia/Kootenay--Columbia"," 166","Galloway",150,16,30,1,1,0,198,371
"Kootenay--Columbia/Kootenay--Columbia"," 167","Elko",74,18,22,0,4,1,119,173
"Kootenay--Columbia/Kootenay--Columbia"," 168","Baynes Lake",112,18,38,1,10,1,180,312
"Kootenay--Columbia/Kootenay--Columbia"," 169","Grasmere",58,12,23,0,3,0,96,147
"Kootenay--Columbia/Kootenay--Columbia"," 170","Tobacco Plains 2",7,0,17,0,0,0,24,31
"Kootenay--Columbia/Kootenay--Columbia"," 500","Mobile poll/Bureau itinérant",21,18,22,1,3,2,67,120
"Kootenay--Columbia/Kootenay--Columbia"," 501A","Mobile poll/Bureau itinérant",23,9,17,0,2,2,53,118
"Kootenay--Columbia/Kootenay--Columbia"," 501B","Mobile poll/Bureau itinérant",Merged with No. 502/Fusionné avec le nº 502,,,,,,,1
"Kootenay--Columbia/Kootenay--Columbia"," 502","Mobile poll/Bureau itinérant",83,18,30,1,3,1,136,306
"Kootenay--Columbia/Kootenay--Columbia"," 503","Mobile poll/Bureau itinérant",18,8,18,0,1,3,48,41
"Kootenay--Columbia/Kootenay--Columbia"," 504","Mobile poll/Bureau itinérant",75,20,27,1,6,1,130,140
"Kootenay--Columbia/Kootenay--Columbia"," 505","Mobile poll/Bureau itinérant",2,1,2,0,0,0,5,13
"Kootenay--Columbia/Kootenay--Columbia"," 600","Revelstoke",242,98,267,6,23,0,636,
"Kootenay--Columbia/Kootenay--Columbia"," 601","Golden",191,46,81,3,18,1,340,
"Kootenay--Columbia/Kootenay--Columbia"," 602","Nakusp",91,33,50,0,16,0,190,
"Kootenay--Columbia/Kootenay--Columbia"," 603","Invermere",234,48,55,1,19,3,360,
"Kootenay--Columbia/Kootenay--Columbia"," 604","Wasa--Canal Flats",47,2,7,0,6,0,62,
"Kootenay--Columbia/Kootenay--Columbia"," 605","Sparwood--Elkford",228,28,64,1,4,0,325,
"Kootenay--Columbia/Kootenay--Columbia"," 606","Fernie ",232,86,85,0,20,2,425,
"Kootenay--Columbia/Kootenay--Columbia"," 607","Cranbrook--Rural",307,32,66,0,7,0,412,
"Kootenay--Columbia/Kootenay--Columbia"," 608","Cranbrook",540,106,132,3,20,2,803,
"Kootenay--Columbia/Kootenay--Columbia"," 609","Cranbrook",455,103,164,5,22,5,754,
"Kootenay--Columbia/Kootenay--Columbia"," 610","Kimberley",296,57,166,0,25,1,545,
"Kootenay--Columbia/Kootenay--Columbia"," 611","Creston--Rural",236,30,44,1,25,0,336,
"Kootenay--Columbia/Kootenay--Columbia"," 612","Creston--Erickson",358,82,83,1,40,1,565,
"Kootenay--Columbia/Kootenay--Columbia"," 613","Jaffray ",92,10,19,0,3,0,124,
"Kootenay--Columbia/Kootenay--Columbia",,Group 1/Groupe 1,41,8,17,1,10,1,78,177
"Kootenay--Columbia/Kootenay--Columbia",,Group 2/Groupe 2,674,130,200,0,57,12,1073,
