Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dean Allison,David W. Bylsma,Heather Carter,Tom Ferguson,Dave Heatley,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 33","Stoney Creek",109,1,122,9,85,0,326,438
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 34","Stoney Creek",129,1,126,16,53,1,326,504
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 35","Stoney Creek",109,1,102,5,56,0,273,453
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 36","Stoney Creek",88,1,63,7,70,1,230,424
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 37A","Stoney Creek",59,2,63,2,42,3,171,328
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 37B","Stoney Creek",57,2,65,6,48,1,179,290
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 38A","Stoney Creek",63,5,93,0,37,1,199,314
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 38B","Stoney Creek",79,5,74,7,37,0,202,333
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 38C","Stoney Creek",93,2,107,8,41,1,252,437
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 39","Stoney Creek",116,4,103,9,62,0,294,509
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 40","Stoney Creek",130,5,140,4,52,0,331,519
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 41","Stoney Creek",99,1,110,8,74,1,293,462
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 42","Stoney Creek",88,0,108,9,39,2,246,344
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 43","Stoney Creek",87,1,79,10,80,0,257,462
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 44","Stoney Creek",114,0,97,8,72,1,292,484
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 45","Stoney Creek",111,4,68,10,81,3,277,422
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 46","Stoney Creek",74,1,34,1,48,0,158,318
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 47","Stoney Creek",113,3,93,14,82,2,307,448
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 48","Stoney Creek",91,2,111,10,76,3,293,449
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 49","Stoney Creek",69,1,73,8,34,0,185,388
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 50A","Stoney Creek",70,0,91,4,51,0,216,357
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 50B","Stoney Creek",46,0,69,7,46,0,168,257
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 51","Stoney Creek",96,1,91,8,56,2,254,403
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 52","Stoney Creek",52,3,48,4,68,0,175,385
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 53","Stoney Creek",91,2,90,11,77,2,273,392
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 54","Stoney Creek",88,1,94,5,49,4,241,402
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 55","Stoney Creek",93,4,100,10,49,0,256,408
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 56","Stoney Creek",95,3,85,25,61,1,270,417
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 57","Stoney Creek",Void/Supprimé,,,,,,,
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 58","Fulton",98,11,67,8,35,0,219,362
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 59","Smithville",138,8,46,14,28,0,234,391
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 60","Fulton",100,8,47,3,25,0,183,309
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 61A","Smithville",115,6,52,5,32,1,211,319
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 61B","Smithville",101,12,41,5,33,1,193,330
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 62","Kimbo",96,4,40,7,26,0,173,272
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 63A","Smithville",115,1,53,9,29,0,207,336
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 63B","Smithville",72,3,39,11,28,0,153,276
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 64","Smithville",170,4,43,14,46,0,277,459
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 65","Smithville",91,16,45,3,33,0,188,324
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 66","Smithville",145,12,73,7,29,0,266,518
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 67","Smithville",107,5,29,8,19,0,168,265
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 68","West Lincoln",131,15,58,10,50,1,265,428
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 69","West Lincoln",141,6,49,5,46,1,248,411
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 70","Abingdon",106,5,65,12,42,1,231,357
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 71","Caistorville",136,2,66,12,36,0,252,378
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 72","West Lincoln",165,12,75,10,48,0,310,428
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 73","Grimsby",112,2,82,7,73,0,276,456
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 74","Grimsby",105,1,93,14,24,1,238,366
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 75","Grimsby",96,2,71,13,34,0,216,348
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 76","Grimsby",110,1,54,8,48,0,221,343
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 77","Grimsby",89,5,78,15,40,1,228,347
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 78","Grimsby",92,7,61,10,54,1,225,352
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 79","Grimsby",105,2,80,15,60,2,264,399
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 80","Grimsby",51,2,63,4,38,0,158,350
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 81","Grimsby",101,5,82,9,50,0,247,384
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 82","Grimsby",93,3,82,12,42,1,233,366
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 83","Grimsby",142,2,123,16,44,2,329,535
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 84A","Grimsby",76,0,87,9,27,0,199,338
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 84B","Grimsby",106,2,87,14,33,0,242,390
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 85","Grimsby",70,3,71,14,26,0,184,310
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 86","Grimsby",72,6,57,25,46,2,208,369
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 87","Grimsby",91,3,109,12,44,0,259,439
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 88","Grimsby",115,3,64,11,63,0,256,421
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 89","Grimsby",154,2,138,14,59,4,371,583
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 90","Grimsby",124,4,71,11,55,2,267,488
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 91","Grimsby",118,3,53,14,34,0,222,372
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 92","Grimsby",144,2,102,16,34,3,301,497
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 93","Grimsby",118,0,126,9,36,0,289,453
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 94","Grimsby",139,5,126,6,26,0,302,479
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 95A","Grimsby",Merged with No. 96A/Fusionné avec le nº 96A,,,,,,,79
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 95B","Grimsby",Merged with No. 96B/Fusionné avec le nº 96B,,,,,,,87
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 96A","Grimsby",89,8,49,11,39,1,197,242
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 96B","Grimsby",99,0,84,5,34,0,222,282
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 97","Grimsby",91,6,51,17,36,0,201,284
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 98","Grimsby",94,3,68,17,53,0,235,393
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 99","Grimsby",106,2,99,3,38,0,248,392
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 100","Grimsby",136,1,75,7,45,0,264,436
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 101","Grimsby",107,6,113,9,46,2,283,429
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 102A","Grimsby",113,1,72,14,28,0,228,357
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 102B","Grimsby",91,2,37,3,17,0,150,276
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 103","Grimsby",143,3,100,17,60,0,323,521
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 104","Grimsby",90,0,73,25,42,3,233,381
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 105","Grimsby",90,0,69,8,38,1,206,316
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 106","Grimsby",120,2,92,9,31,0,254,405
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 107","Grimsby",121,0,86,5,31,0,243,370
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 108","Grimsby",107,3,89,8,37,2,246,440
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 109","Grimsby",148,2,96,6,25,0,277,404
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 110","Grimsby",145,3,113,13,48,1,323,493
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 111A","Grimsby",154,23,56,12,18,4,267,382
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 111B","Grimsby",135,1,100,14,26,1,277,435
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 112","Grimsby",137,5,86,11,46,1,286,400
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 113","Grimsby",94,9,67,8,21,0,199,314
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 114","Lincoln",135,5,73,10,24,0,247,402
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 115","Lincoln",150,5,61,14,36,0,266,407
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 116","Lincoln",139,7,62,7,24,1,240,387
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 117A","Lincoln",88,0,70,14,27,0,199,295
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 117B","Lincoln",111,5,67,10,23,0,216,319
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 118","Lincoln",142,6,98,15,43,1,305,497
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 119A","Lincoln",85,2,61,9,33,0,190,309
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 119B","Lincoln",109,5,65,12,38,0,229,367
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 120","Lincoln",148,7,58,12,53,1,279,445
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 121","Lincoln",137,1,81,14,49,1,283,472
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 122A","Lincoln",106,5,63,11,34,1,220,337
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 122B","Lincoln",149,2,55,5,42,0,253,414
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 123A","Lincoln",93,12,44,5,21,2,177,314
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 123B","Lincoln",109,4,55,11,46,0,225,383
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 124","Lincoln",155,17,85,16,74,0,347,592
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 125","Lincoln",123,9,55,7,40,1,235,390
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 126","Lincoln",107,6,73,14,59,0,259,429
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 127A","Lincoln",98,5,72,9,26,0,210,318
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 127B","Lincoln",115,5,58,10,26,3,217,376
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 128","Lincoln",68,8,55,9,23,1,164,263
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 129","Lincoln",140,10,40,8,20,1,219,349
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 130","Lincoln",97,9,49,12,21,0,188,282
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 131","Lincoln",77,7,65,13,69,0,231,408
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 132","Lincoln",161,5,55,17,30,0,268,405
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 133","Lincoln",189,9,85,8,39,3,333,544
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 134","Lincoln",134,17,44,15,25,1,236,366
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 135","Lincoln",140,10,65,7,32,0,254,419
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 136","Lincoln",93,10,58,15,19,1,196,328
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 137","Lincoln",140,13,45,8,33,0,239,367
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 138","Lincoln",180,17,60,5,29,0,291,421
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 139","Lincoln",137,4,78,3,31,1,254,383
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 140","Lincoln",69,4,67,5,27,1,173,279
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 141","Lincoln",184,5,76,18,34,3,320,482
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 142","Lincoln",184,9,107,12,22,0,334,525
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 143","Lincoln",132,4,67,16,22,1,242,349
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 144","Lincoln",208,11,83,19,36,0,357,489
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 145","Lincoln",201,12,83,17,28,0,341,479
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 146","Lincoln",143,4,66,10,14,0,237,327
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 147","Lincoln",159,6,68,7,25,1,266,367
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 148A","Bismarck",149,19,36,5,26,0,235,336
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 148B","Bismarck",122,12,29,1,26,2,192,295
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 149","Vaughan",134,18,42,4,13,0,211,336
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 150","Elcho",130,17,45,8,15,2,217,329
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 151","Wellandport",120,19,55,9,27,0,230,363
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 152","St. Anns",162,22,51,8,36,0,279,437
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 153","Silverdale",153,33,33,13,33,3,268,391
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 154","Boyle",137,16,32,7,33,0,225,365
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 155","Pelham",119,3,48,11,38,3,222,343
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 156","Pelham",103,5,39,8,45,0,200,286
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 157","Pelham",144,1,79,17,42,1,284,430
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 158","Pelham",105,3,50,2,34,2,196,282
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 159A","Pelham",123,2,63,5,23,0,216,392
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 159B","Pelham",102,2,65,12,43,0,224,346
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 160","Pelham",83,6,66,15,53,0,223,372
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 161","Pelham",97,4,76,19,42,0,238,369
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 162","Pelham",114,4,73,14,45,2,252,385
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 163","Pelham",123,6,78,7,49,0,263,391
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 164","Pelham",91,4,46,7,28,1,177,287
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 165","Pelham",121,2,55,16,35,0,229,339
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 166","Pelham",145,3,125,5,35,3,316,540
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 167","Pelham",95,3,73,5,39,1,216,328
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 168","Pelham",86,1,70,16,34,1,208,357
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 169","Pelham",87,0,66,9,33,1,196,356
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 170A","Pelham",86,2,63,4,22,1,178,311
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 170B","Pelham",77,4,74,17,26,0,198,317
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 171","Pelham",67,0,65,11,26,0,169,267
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 172","Pelham",68,3,80,2,38,0,191,276
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 173","Pelham",104,4,89,10,37,0,244,417
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 174","Pelham",112,4,75,24,51,3,269,420
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 175","Pelham",92,2,85,11,58,2,250,394
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 176","Pelham",115,4,124,8,53,0,304,468
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 177","Pelham",106,1,97,15,52,1,272,426
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 178","Pelham",80,1,87,7,22,0,197,326
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 179","Pelham",126,2,129,6,46,0,309,488
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 180","Pelham",99,2,122,12,38,1,274,429
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 181","Pelham",99,3,85,11,29,1,228,370
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 182","Pelham",106,3,98,9,29,0,245,424
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 183","Pelham",75,2,79,10,17,0,183,302
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 184","Pelham",64,0,81,8,12,0,165,247
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 185","Pelham",86,1,64,8,25,1,185,336
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 400","Stoney Creek",9,3,17,4,12,6,51,71
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 401","Stoney Creek",32,2,14,0,10,1,59,103
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 402","Grimsby",42,27,1,0,3,0,73,112
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 403","Lincoln",24,3,45,2,10,1,85,174
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 404","Pelham",17,0,21,1,3,1,43,93
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 500","Mobile poll/Bureau itinérant",25,1,24,1,10,0,61,105
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 501","Mobile poll/Bureau itinérant",21,9,20,4,8,4,66,122
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 600","Glanbrook",442,10,172,13,84,3,724,
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 601","Stoney Creek",287,5,264,19,103,0,678,
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 602","Smithville",291,14,91,9,40,1,446,
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 603","Grimsby",390,10,206,26,66,2,700,
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 604","Grimsby",496,9,271,32,64,1,873,
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 605","Beamsville--Lincoln",483,15,234,24,65,4,825,
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 606","Vineland--Lincoln",431,15,104,22,32,3,607,
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 607","Vaughan",128,11,36,4,14,0,193,
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 608","Pelham",264,5,125,17,38,0,449,
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 609","Fonthill",484,7,384,30,69,4,978,
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook",,Group 1/Groupe 1,25,3,30,5,7,0,70,156
"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook",,Group 2/Groupe 2,764,20,474,36,101,15,1410,
