Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Gina Barber,Sue Barnes,Al Gretzky,Steve Hunter,Monica Jarabek,Margaret Villamizar,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"London West/London-Ouest"," 103","London",61,83,73,1,14,0,1,233,412
"London West/London-Ouest"," 104","London",40,45,50,2,6,0,2,145,291
"London West/London-Ouest"," 105","London",47,104,70,0,14,0,1,236,415
"London West/London-Ouest"," 106","London",43,34,22,1,4,0,0,104,284
"London West/London-Ouest"," 107","London",61,99,77,5,6,0,0,248,413
"London West/London-Ouest"," 108","London",60,83,66,1,15,0,1,226,475
"London West/London-Ouest"," 109","London",69,50,38,0,17,0,1,175,317
"London West/London-Ouest"," 110","London",36,57,27,0,18,0,0,138,299
"London West/London-Ouest"," 111","London",96,91,42,2,35,0,4,270,432
"London West/London-Ouest"," 112","London",79,94,46,3,24,1,1,248,383
"London West/London-Ouest"," 113","London",87,37,33,1,13,0,1,172,294
"London West/London-Ouest"," 114","London",79,113,66,3,21,0,1,283,411
"London West/London-Ouest"," 115","London",64,88,59,1,20,0,0,232,366
"London West/London-Ouest"," 116","London",68,86,36,0,25,0,1,216,361
"London West/London-Ouest"," 117A","London",35,47,31,4,6,0,0,123,199
"London West/London-Ouest"," 117B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,,88
"London West/London-Ouest"," 118","London",87,63,59,1,14,1,0,225,384
"London West/London-Ouest"," 119","London",69,44,54,1,10,0,2,180,342
"London West/London-Ouest"," 120","London",82,97,46,1,23,0,2,251,381
"London West/London-Ouest"," 121","London",73,101,56,0,22,0,1,253,373
"London West/London-Ouest"," 122","London",82,105,67,3,25,0,2,284,418
"London West/London-Ouest"," 123","London",71,98,40,0,32,0,2,243,408
"London West/London-Ouest"," 124","London",72,129,46,1,15,0,1,264,404
"London West/London-Ouest"," 125","London",101,85,51,3,11,0,1,252,385
"London West/London-Ouest"," 126","London",75,94,68,1,13,0,0,251,395
"London West/London-Ouest"," 127","London",109,72,59,2,16,0,1,259,512
"London West/London-Ouest"," 128","London",51,88,86,2,9,1,2,239,449
"London West/London-Ouest"," 129","London",54,57,67,3,7,0,0,188,295
"London West/London-Ouest"," 130","London",70,61,43,2,5,0,0,181,401
"London West/London-Ouest"," 131","London",53,53,38,0,4,0,1,149,262
"London West/London-Ouest"," 132","London",38,69,54,3,5,0,0,169,368
"London West/London-Ouest"," 133","London",54,82,79,0,7,0,2,224,487
"London West/London-Ouest"," 134","London",64,140,80,0,15,0,0,299,428
"London West/London-Ouest"," 135","London",54,117,103,1,18,0,0,293,416
"London West/London-Ouest"," 136","London",84,102,66,0,31,0,1,284,416
"London West/London-Ouest"," 137","London",48,78,139,0,9,3,0,277,330
"London West/London-Ouest"," 138","London",83,86,52,1,27,0,3,252,353
"London West/London-Ouest"," 139","London",67,91,55,0,12,0,0,225,408
"London West/London-Ouest"," 140","London",60,60,42,2,5,0,1,170,339
"London West/London-Ouest"," 141","London",85,75,54,2,12,1,2,231,359
"London West/London-Ouest"," 142","London",49,62,47,1,19,0,1,179,309
"London West/London-Ouest"," 143","London",53,48,18,0,17,1,0,137,313
"London West/London-Ouest"," 144A","London",35,55,15,0,3,0,0,108,166
"London West/London-Ouest"," 144B","London",12,46,25,0,3,0,2,88,111
"London West/London-Ouest"," 145","London",75,41,39,1,9,0,0,165,282
"London West/London-Ouest"," 146","London",100,116,55,0,17,0,2,290,413
"London West/London-Ouest"," 147","London",82,92,46,1,20,0,1,242,322
"London West/London-Ouest"," 148","London",82,72,59,2,18,0,1,234,359
"London West/London-Ouest"," 149","London",75,69,36,1,17,0,0,198,305
"London West/London-Ouest"," 150","London",91,78,57,0,18,0,1,245,396
"London West/London-Ouest"," 151","London",45,34,28,2,9,0,1,119,261
"London West/London-Ouest"," 152","London",77,58,66,4,11,0,1,217,433
"London West/London-Ouest"," 153","London",46,41,38,0,12,0,1,138,231
"London West/London-Ouest"," 154","London",67,83,51,0,21,1,0,223,387
"London West/London-Ouest"," 155","London",77,78,40,0,12,0,1,208,358
"London West/London-Ouest"," 156","London",39,88,51,1,7,0,1,187,286
"London West/London-Ouest"," 157","London",46,67,74,0,12,0,0,199,334
"London West/London-Ouest"," 158","London",62,67,56,2,4,0,1,192,403
"London West/London-Ouest"," 159","London",36,104,89,3,7,0,0,239,410
"London West/London-Ouest"," 159-1","London",24,61,60,4,1,1,5,156,271
"London West/London-Ouest"," 160","London",18,86,73,0,11,0,0,188,347
"London West/London-Ouest"," 161","London",18,80,95,1,9,0,0,203,397
"London West/London-Ouest"," 162","London",27,55,59,1,1,0,0,143,201
"London West/London-Ouest"," 163","London",18,90,85,0,6,0,0,199,433
"London West/London-Ouest"," 164","London",61,88,76,2,17,0,0,244,460
"London West/London-Ouest"," 165","London",72,95,53,3,15,1,0,239,387
"London West/London-Ouest"," 166","London",46,63,31,1,2,0,0,143,296
"London West/London-Ouest"," 167","London",32,51,51,3,7,0,0,144,273
"London West/London-Ouest"," 168","London",36,78,59,2,8,0,1,184,332
"London West/London-Ouest"," 169","London",65,83,66,1,13,1,0,229,346
"London West/London-Ouest"," 170","London",52,40,33,1,4,1,1,132,263
"London West/London-Ouest"," 171","London",36,95,86,1,5,0,1,224,352
"London West/London-Ouest"," 172","London",48,81,58,2,2,0,7,198,388
"London West/London-Ouest"," 173","London",45,138,109,1,7,0,0,300,487
"London West/London-Ouest"," 174","London",28,117,98,0,10,0,0,253,464
"London West/London-Ouest"," 175","London",32,129,127,0,7,0,1,296,524
"London West/London-Ouest"," 176","London",26,101,115,2,6,0,0,250,387
"London West/London-Ouest"," 177","London",47,101,113,0,9,0,1,271,520
"London West/London-Ouest"," 178","London",31,115,105,0,8,0,0,259,443
"London West/London-Ouest"," 179","London",31,75,90,0,10,1,2,209,396
"London West/London-Ouest"," 180","London",44,102,95,0,4,1,0,246,364
"London West/London-Ouest"," 181","London",59,85,59,4,7,1,2,217,405
"London West/London-Ouest"," 182","London",71,50,30,2,7,1,0,161,462
"London West/London-Ouest"," 183","London",37,91,95,0,8,0,2,233,357
"London West/London-Ouest"," 184A","London",36,91,79,0,9,0,0,215,378
"London West/London-Ouest"," 184B","London",27,59,63,0,4,1,0,154,290
"London West/London-Ouest"," 185","London",48,89,83,1,11,2,0,234,399
"London West/London-Ouest"," 186","London",40,81,67,0,10,0,0,198,335
"London West/London-Ouest"," 187","London",42,91,69,0,4,0,2,208,389
"London West/London-Ouest"," 188","London",55,122,107,1,14,0,0,299,450
"London West/London-Ouest"," 189","London",24,92,65,3,12,0,2,198,369
"London West/London-Ouest"," 190","London",49,66,94,3,14,0,1,227,374
"London West/London-Ouest"," 191","London",49,88,51,0,7,0,0,195,344
"London West/London-Ouest"," 192","London",44,55,39,0,2,0,3,143,303
"London West/London-Ouest"," 193","London",68,83,107,2,22,0,0,282,508
"London West/London-Ouest"," 194","London",29,115,78,1,8,0,0,231,353
"London West/London-Ouest"," 195","London",52,92,72,1,13,0,3,233,385
"London West/London-Ouest"," 196","London",41,91,97,0,16,0,1,246,400
"London West/London-Ouest"," 197","London",52,150,110,0,8,0,1,321,475
"London West/London-Ouest"," 198","London",57,103,81,1,13,0,0,255,512
"London West/London-Ouest"," 199","London",17,58,44,1,4,0,1,125,317
"London West/London-Ouest"," 200","London",45,78,51,2,9,0,1,186,363
"London West/London-Ouest"," 201","London",52,77,39,3,6,1,0,178,368
"London West/London-Ouest"," 202","London",22,97,87,1,5,0,3,215,349
"London West/London-Ouest"," 203","London",49,125,74,0,2,1,0,251,400
"London West/London-Ouest"," 204","London",71,74,58,0,9,0,0,212,397
"London West/London-Ouest"," 205","London",60,96,84,0,11,1,1,253,398
"London West/London-Ouest"," 206","London",65,92,40,2,4,0,1,204,404
"London West/London-Ouest"," 207","London",65,52,30,4,4,1,0,156,324
"London West/London-Ouest"," 208","London",49,96,58,2,8,1,0,214,363
"London West/London-Ouest"," 209","London",66,109,77,2,17,1,2,274,431
"London West/London-Ouest"," 210","London",65,88,81,1,7,1,1,244,443
"London West/London-Ouest"," 211","London",32,55,69,0,4,0,0,160,253
"London West/London-Ouest"," 212","London",25,60,72,3,3,0,0,163,331
"London West/London-Ouest"," 213","London",36,119,92,6,0,0,0,253,402
"London West/London-Ouest"," 400","London",Void/Supprimé,,,,,,,,
"London West/London-Ouest"," 401","London",28,65,25,0,11,0,2,131,300
"London West/London-Ouest"," 402","London",35,50,37,0,7,1,0,130,290
"London West/London-Ouest"," 403","London",48,52,27,1,6,0,0,134,265
"London West/London-Ouest"," 404","London",46,55,31,0,8,0,0,140,286
"London West/London-Ouest"," 405","London",4,27,28,4,0,0,2,65,83
"London West/London-Ouest"," 406","London",58,59,31,3,4,0,3,158,231
"London West/London-Ouest"," 500","Mobile poll/Bureau itinérant",24,47,37,3,1,0,2,114,89
"London West/London-Ouest"," 600","London",82,180,288,3,24,0,3,580,
"London West/London-Ouest"," 601","London",35,144,185,2,14,1,1,382,
"London West/London-Ouest"," 602","London",81,220,367,5,18,0,0,691,
"London West/London-Ouest"," 603","London",71,179,315,1,15,0,0,581,
"London West/London-Ouest"," 604","London",57,187,371,0,13,0,3,631,
"London West/London-Ouest"," 605","London",57,262,390,1,33,0,0,743,
"London West/London-Ouest"," 606","London",110,171,180,6,19,0,0,486,
"London West/London-Ouest"," 607","London",176,243,257,0,23,2,1,702,
"London West/London-Ouest"," 608","London",153,229,269,2,26,0,3,682,
"London West/London-Ouest"," 609","London",69,280,433,0,18,0,2,802,
"London West/London-Ouest"," 610","London",72,192,355,3,16,2,0,640,
"London West/London-Ouest"," 611","London",94,212,264,7,28,0,2,607,
"London West/London-Ouest",,Group 1/Groupe 1,16,40,48,5,5,0,3,117,287
"London West/London-Ouest",,Group 2/Groupe 2,185,661,909,8,66,0,14,1843,
