Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jean-Claude J. C. D'Amours,Irka Laplante,Rodolphe Martin,Jean-Pierre Ouellet,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Madawaska--Restigouche/Madawaska--Restigouche"," 24","Charlo",73,4,47,49,1,174,227
"Madawaska--Restigouche/Madawaska--Restigouche"," 25","Campbellton",89,7,55,54,4,209,346
"Madawaska--Restigouche/Madawaska--Restigouche"," 26","Campbellton",63,10,44,67,4,188,360
"Madawaska--Restigouche/Madawaska--Restigouche"," 27","Campbellton",123,4,47,49,4,227,313
"Madawaska--Restigouche/Madawaska--Restigouche"," 28","Campbellton",82,6,35,51,4,178,375
"Madawaska--Restigouche/Madawaska--Restigouche"," 29","Campbellton",96,7,44,71,1,219,376
"Madawaska--Restigouche/Madawaska--Restigouche"," 30A","Campbellton",75,7,48,50,0,180,321
"Madawaska--Restigouche/Madawaska--Restigouche"," 30B","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,31
"Madawaska--Restigouche/Madawaska--Restigouche"," 31","Campbellton",76,6,44,35,6,167,287
"Madawaska--Restigouche/Madawaska--Restigouche"," 32","Campbellton",73,3,35,43,4,158,226
"Madawaska--Restigouche/Madawaska--Restigouche"," 33","Campbellton",53,3,21,28,2,107,270
"Madawaska--Restigouche/Madawaska--Restigouche"," 34","Campbellton",82,2,38,55,3,180,353
"Madawaska--Restigouche/Madawaska--Restigouche"," 35","Campbellton",90,5,43,58,8,204,342
"Madawaska--Restigouche/Madawaska--Restigouche"," 36","Campbellton",111,4,65,77,6,263,469
"Madawaska--Restigouche/Madawaska--Restigouche"," 37","Campbellton",59,5,32,30,1,127,320
"Madawaska--Restigouche/Madawaska--Restigouche"," 38","Campbellton",52,3,36,47,1,139,269
"Madawaska--Restigouche/Madawaska--Restigouche"," 39","Campbellton",54,0,41,68,3,166,290
"Madawaska--Restigouche/Madawaska--Restigouche"," 40","Campbellton",55,3,28,38,0,124,262
"Madawaska--Restigouche/Madawaska--Restigouche"," 41","Campbellton",118,4,63,76,3,264,434
"Madawaska--Restigouche/Madawaska--Restigouche"," 42","Campbellton",109,4,54,54,6,227,397
"Madawaska--Restigouche/Madawaska--Restigouche"," 43","Tide Head",104,9,76,108,6,303,437
"Madawaska--Restigouche/Madawaska--Restigouche"," 44","Tide Head",81,6,53,85,2,227,327
"Madawaska--Restigouche/Madawaska--Restigouche"," 45","Atholville",100,3,55,70,11,239,396
"Madawaska--Restigouche/Madawaska--Restigouche"," 46","Atholville",142,9,71,51,0,273,436
"Madawaska--Restigouche/Madawaska--Restigouche"," 47","Atholville",120,3,64,60,6,253,395
"Madawaska--Restigouche/Madawaska--Restigouche"," 48","Flatlands",54,6,17,61,0,138,209
"Madawaska--Restigouche/Madawaska--Restigouche"," 49","Robinsonville",69,3,32,66,0,170,256
"Madawaska--Restigouche/Madawaska--Restigouche"," 50","Glen Levit",98,6,51,56,1,212,330
"Madawaska--Restigouche/Madawaska--Restigouche"," 51","Glencoe",36,3,28,53,2,122,177
"Madawaska--Restigouche/Madawaska--Restigouche"," 52","Val-d'Amour",84,6,78,62,15,245,323
"Madawaska--Restigouche/Madawaska--Restigouche"," 53","Val-d'Amour",Merged with No. 56B/Fusionné avec le nº 56B,,,,,,210
"Madawaska--Restigouche/Madawaska--Restigouche"," 54","Saint-Arthur",67,7,55,92,9,230,317
"Madawaska--Restigouche/Madawaska--Restigouche"," 55","Saint-Arthur",92,8,69,72,5,246,338
"Madawaska--Restigouche/Madawaska--Restigouche"," 56A","Val-d'Amour",122,13,91,67,13,306,423
"Madawaska--Restigouche/Madawaska--Restigouche"," 56B","Val-d'Amour",127,10,87,73,11,308,217
"Madawaska--Restigouche/Madawaska--Restigouche"," 57","Maltais",116,12,112,50,10,300,413
"Madawaska--Restigouche/Madawaska--Restigouche"," 58","Balmoral",116,7,78,57,13,271,412
"Madawaska--Restigouche/Madawaska--Restigouche"," 59A","Balmoral",126,9,91,79,13,318,498
"Madawaska--Restigouche/Madawaska--Restigouche"," 59B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,11
"Madawaska--Restigouche/Madawaska--Restigouche"," 60","Balmoral",96,5,73,46,5,225,343
"Madawaska--Restigouche/Madawaska--Restigouche"," 61","Balmoral",99,7,97,90,13,306,439
"Madawaska--Restigouche/Madawaska--Restigouche"," 62A","Saint-Quentin",43,10,87,137,7,284,432
"Madawaska--Restigouche/Madawaska--Restigouche"," 62B","Saint-Quentin",Merged with No. 67/Fusionné avec le nº 67,,,,,,109
"Madawaska--Restigouche/Madawaska--Restigouche"," 63","Saint-Martin-de-Restigouche",35,3,35,27,8,108,166
"Madawaska--Restigouche/Madawaska--Restigouche"," 64","Saint-Quentin",33,8,67,128,6,242,351
"Madawaska--Restigouche/Madawaska--Restigouche"," 65","Saint-Quentin",41,9,86,110,10,256,410
"Madawaska--Restigouche/Madawaska--Restigouche"," 66A","Saint-Quentin",44,7,81,134,11,277,439
"Madawaska--Restigouche/Madawaska--Restigouche"," 66B","Saint-Quentin",36,6,59,100,5,206,335
"Madawaska--Restigouche/Madawaska--Restigouche"," 67","Saint-Quentin",50,8,85,109,15,267,324
"Madawaska--Restigouche/Madawaska--Restigouche"," 68","Saint-Quentin",36,8,72,101,13,230,436
"Madawaska--Restigouche/Madawaska--Restigouche"," 69","Saint-Jean-Baptiste-de-Restigouche",59,10,77,30,2,178,231
"Madawaska--Restigouche/Madawaska--Restigouche"," 70","Kedgwick-Ouest",75,13,114,54,1,257,418
"Madawaska--Restigouche/Madawaska--Restigouche"," 71","Kedgwick",74,6,68,50,9,207,336
"Madawaska--Restigouche/Madawaska--Restigouche"," 72A","Kedgwick",92,11,95,48,12,258,400
"Madawaska--Restigouche/Madawaska--Restigouche"," 72B","Mobile poll/Bureau itinérant",Merged with No. 503/Fusionné avec le nº 503,,,,,,9
"Madawaska--Restigouche/Madawaska--Restigouche"," 73","Kedgwick",54,2,63,28,3,150,211
"Madawaska--Restigouche/Madawaska--Restigouche"," 74","Kedgwick",78,6,64,46,8,202,297
"Madawaska--Restigouche/Madawaska--Restigouche"," 75","Kedgwick",31,6,28,27,1,93,152
"Madawaska--Restigouche/Madawaska--Restigouche"," 76","Saint-Joseph",74,4,71,49,3,201,296
"Madawaska--Restigouche/Madawaska--Restigouche"," 77","Saint-Joseph",75,14,68,78,8,243,392
"Madawaska--Restigouche/Madawaska--Restigouche"," 78","Saint-Joseph",98,11,69,74,2,254,426
"Madawaska--Restigouche/Madawaska--Restigouche"," 79","Saint-Joseph",48,10,59,70,3,190,324
"Madawaska--Restigouche/Madawaska--Restigouche"," 80","Saint-Jacques",73,7,55,97,3,235,435
"Madawaska--Restigouche/Madawaska--Restigouche"," 81","Saint-Jacques",Merged with No. 83B/Fusionné avec le nº 83B,,,,,,134
"Madawaska--Restigouche/Madawaska--Restigouche"," 82","Saint-Jacques",74,15,57,96,9,251,427
"Madawaska--Restigouche/Madawaska--Restigouche"," 83A","Saint-Jacques",81,14,28,92,4,219,380
"Madawaska--Restigouche/Madawaska--Restigouche"," 83B","Saint-Jacques",54,6,48,61,2,171,202
"Madawaska--Restigouche/Madawaska--Restigouche"," 84","Edmundston",65,9,54,74,9,211,363
"Madawaska--Restigouche/Madawaska--Restigouche"," 85","Edmundston",42,10,30,59,3,144,262
"Madawaska--Restigouche/Madawaska--Restigouche"," 86","Edmundston",42,5,27,40,2,116,213
"Madawaska--Restigouche/Madawaska--Restigouche"," 87","Edmundston",79,10,43,85,4,221,376
"Madawaska--Restigouche/Madawaska--Restigouche"," 88","Edmundston",42,6,24,47,4,123,197
"Madawaska--Restigouche/Madawaska--Restigouche"," 89","Edmundston",51,8,35,53,3,150,263
"Madawaska--Restigouche/Madawaska--Restigouche"," 90","Edmundston",56,8,38,69,2,173,283
"Madawaska--Restigouche/Madawaska--Restigouche"," 91","Edmundston",86,6,48,104,11,255,471
"Madawaska--Restigouche/Madawaska--Restigouche"," 92","Edmundston",103,12,45,97,8,265,428
"Madawaska--Restigouche/Madawaska--Restigouche"," 93","Edmundston",100,9,49,90,5,253,410
"Madawaska--Restigouche/Madawaska--Restigouche"," 94A","Edmundston",43,3,24,40,6,116,230
"Madawaska--Restigouche/Madawaska--Restigouche"," 94B","Mobile poll/Bureau itinérant",Merged with No. 506/Fusionné avec le nº 506,,,,,,16
"Madawaska--Restigouche/Madawaska--Restigouche"," 94C","Mobile poll/Bureau itinérant",Merged with No. 506/Fusionné avec le nº 506,,,,,,28
"Madawaska--Restigouche/Madawaska--Restigouche"," 94D","Mobile poll/Bureau itinérant",Merged with No. 506/Fusionné avec le nº 506,,,,,,47
"Madawaska--Restigouche/Madawaska--Restigouche"," 95","Edmundston",34,9,25,37,6,111,217
"Madawaska--Restigouche/Madawaska--Restigouche"," 96","Edmundston",67,13,30,97,6,213,461
"Madawaska--Restigouche/Madawaska--Restigouche"," 97","Edmundston",60,7,22,77,0,166,276
"Madawaska--Restigouche/Madawaska--Restigouche"," 98","Edmundston",112,3,30,85,3,233,387
"Madawaska--Restigouche/Madawaska--Restigouche"," 99","Edmundston",71,6,41,62,1,181,322
"Madawaska--Restigouche/Madawaska--Restigouche"," 100","Edmundston",79,3,27,67,0,176,325
"Madawaska--Restigouche/Madawaska--Restigouche"," 101","Edmundston",60,6,30,79,4,179,360
"Madawaska--Restigouche/Madawaska--Restigouche"," 102","Edmundston",84,6,35,67,6,198,446
"Madawaska--Restigouche/Madawaska--Restigouche"," 103","Edmundston",57,2,35,78,2,174,354
"Madawaska--Restigouche/Madawaska--Restigouche"," 104","Edmundston",30,4,28,35,1,98,270
"Madawaska--Restigouche/Madawaska--Restigouche"," 105","Edmundston",61,3,41,46,5,156,349
"Madawaska--Restigouche/Madawaska--Restigouche"," 106","Edmundston",58,9,43,67,5,182,353
"Madawaska--Restigouche/Madawaska--Restigouche"," 107","St. Basile 10",56,8,40,83,5,192,372
"Madawaska--Restigouche/Madawaska--Restigouche"," 108","Edmundston",52,9,25,62,7,155,331
"Madawaska--Restigouche/Madawaska--Restigouche"," 109","Edmundston",93,6,26,79,4,208,375
"Madawaska--Restigouche/Madawaska--Restigouche"," 110","Edmundston",62,7,31,52,2,154,385
"Madawaska--Restigouche/Madawaska--Restigouche"," 111","Edmundston",52,3,21,52,5,133,382
"Madawaska--Restigouche/Madawaska--Restigouche"," 112","Edmundston",62,9,42,63,6,182,357
"Madawaska--Restigouche/Madawaska--Restigouche"," 113","Edmundston",64,9,51,51,4,179,347
"Madawaska--Restigouche/Madawaska--Restigouche"," 114","Edmundston",69,6,32,63,3,173,370
"Madawaska--Restigouche/Madawaska--Restigouche"," 115","Edmundston",47,11,25,90,4,177,349
"Madawaska--Restigouche/Madawaska--Restigouche"," 116","Edmundston",46,2,18,29,1,96,261
"Madawaska--Restigouche/Madawaska--Restigouche"," 117","Rivière-Verte",69,6,46,50,6,177,326
"Madawaska--Restigouche/Madawaska--Restigouche"," 118","Rivière-Verte",30,2,32,37,2,103,197
"Madawaska--Restigouche/Madawaska--Restigouche"," 119","Rivière-Verte",104,4,52,94,7,261,417
"Madawaska--Restigouche/Madawaska--Restigouche"," 120","Rivière-Verte",81,12,66,81,4,244,379
"Madawaska--Restigouche/Madawaska--Restigouche"," 121A","Saint-Basile",35,11,40,62,1,149,288
"Madawaska--Restigouche/Madawaska--Restigouche"," 121B","Saint-Basile",32,13,20,55,4,124,226
"Madawaska--Restigouche/Madawaska--Restigouche"," 122","Saint-Basile",71,21,35,76,5,208,337
"Madawaska--Restigouche/Madawaska--Restigouche"," 123","Edmundston",61,7,52,90,5,215,388
"Madawaska--Restigouche/Madawaska--Restigouche"," 124","Edmundston",35,8,35,41,3,122,168
"Madawaska--Restigouche/Madawaska--Restigouche"," 125","Edmundston",Merged with No. 126B/Fusionné avec le nº 126B,,,,,,53
"Madawaska--Restigouche/Madawaska--Restigouche"," 126A","Edmundston",54,19,24,52,2,151,289
"Madawaska--Restigouche/Madawaska--Restigouche"," 126B","Edmundston",58,9,27,61,3,158,237
"Madawaska--Restigouche/Madawaska--Restigouche"," 127","Edmundston",92,15,38,69,1,215,387
"Madawaska--Restigouche/Madawaska--Restigouche"," 128","Edmundston",102,18,47,77,5,249,393
"Madawaska--Restigouche/Madawaska--Restigouche"," 129","Sainte-Anne",30,1,41,46,2,120,260
"Madawaska--Restigouche/Madawaska--Restigouche"," 130","Sainte-Anne",74,11,69,73,5,232,390
"Madawaska--Restigouche/Madawaska--Restigouche"," 131","Sainte-Anne de Madawaska",61,4,78,83,4,230,372
"Madawaska--Restigouche/Madawaska--Restigouche"," 132","Sainte-Anne de Madawaska",57,3,42,80,4,186,333
"Madawaska--Restigouche/Madawaska--Restigouche"," 133","Sainte-Anne",74,2,75,63,9,223,416
"Madawaska--Restigouche/Madawaska--Restigouche"," 134","Notre-Dame-de-Lourdes",41,6,44,48,3,142,225
"Madawaska--Restigouche/Madawaska--Restigouche"," 135","Saint-Léonard",34,6,30,54,5,129,239
"Madawaska--Restigouche/Madawaska--Restigouche"," 136A","Saint-Léonard",42,8,29,56,5,140,271
"Madawaska--Restigouche/Madawaska--Restigouche"," 136B","Saint-Léonard",38,6,46,80,2,172,301
"Madawaska--Restigouche/Madawaska--Restigouche"," 137","Saint-Léonard",32,4,44,50,3,133,280
"Madawaska--Restigouche/Madawaska--Restigouche"," 138","Saint-Léonard",60,5,47,87,12,211,429
"Madawaska--Restigouche/Madawaska--Restigouche"," 139","Saint-Léonard",32,6,29,91,10,168,337
"Madawaska--Restigouche/Madawaska--Restigouche"," 140","Edmundston",37,6,17,48,1,109,175
"Madawaska--Restigouche/Madawaska--Restigouche"," 141","Edmundston",82,6,36,96,4,224,324
"Madawaska--Restigouche/Madawaska--Restigouche"," 142","St. Hilaire",70,2,45,88,4,209,289
"Madawaska--Restigouche/Madawaska--Restigouche"," 143","St. Hilaire",50,5,20,121,4,200,289
"Madawaska--Restigouche/Madawaska--Restigouche"," 144","Baker Brook",39,2,11,87,3,142,196
"Madawaska--Restigouche/Madawaska--Restigouche"," 145","Baker Brook",15,2,5,37,0,59,123
"Madawaska--Restigouche/Madawaska--Restigouche"," 146","Baker Brook",43,2,13,165,4,227,386
"Madawaska--Restigouche/Madawaska--Restigouche"," 147","Lac-Baker",52,3,22,73,4,154,251
"Madawaska--Restigouche/Madawaska--Restigouche"," 148","Lac-Baker",57,8,34,99,1,199,320
"Madawaska--Restigouche/Madawaska--Restigouche"," 149","Clair",97,0,21,121,0,239,462
"Madawaska--Restigouche/Madawaska--Restigouche"," 150","Clair",65,8,26,130,1,230,482
"Madawaska--Restigouche/Madawaska--Restigouche"," 151","Saint-François",44,4,17,156,4,225,399
"Madawaska--Restigouche/Madawaska--Restigouche"," 152","Saint-François",61,4,10,154,1,230,364
"Madawaska--Restigouche/Madawaska--Restigouche"," 153","Connors",47,2,20,111,2,182,316
"Madawaska--Restigouche/Madawaska--Restigouche"," 500","Mobile poll/Bureau itinérant",28,2,4,12,1,47,119
"Madawaska--Restigouche/Madawaska--Restigouche"," 501","Mobile poll/Bureau itinérant",54,2,15,47,1,119,285
"Madawaska--Restigouche/Madawaska--Restigouche"," 502","Mobile poll/Bureau itinérant",31,2,9,21,2,65,84
"Madawaska--Restigouche/Madawaska--Restigouche"," 503","Mobile poll/Bureau itinérant",48,2,12,37,1,100,122
"Madawaska--Restigouche/Madawaska--Restigouche"," 504","Mobile poll/Bureau itinérant",25,1,6,21,1,54,95
"Madawaska--Restigouche/Madawaska--Restigouche"," 505","Mobile poll/Bureau itinérant",47,3,7,24,2,83,89
"Madawaska--Restigouche/Madawaska--Restigouche"," 506","Mobile poll/Bureau itinérant",68,2,12,49,0,131,94
"Madawaska--Restigouche/Madawaska--Restigouche"," 507","Mobile poll/Bureau itinérant",65,4,9,32,6,116,223
"Madawaska--Restigouche/Madawaska--Restigouche"," 600","Dalhousie",270,19,98,174,8,569,
"Madawaska--Restigouche/Madawaska--Restigouche"," 601","Eel River Crossing",134,4,60,92,22,312,
"Madawaska--Restigouche/Madawaska--Restigouche"," 602","Campbellton",272,14,75,182,9,552,
"Madawaska--Restigouche/Madawaska--Restigouche"," 603","Atholville",123,8,41,86,5,263,
"Madawaska--Restigouche/Madawaska--Restigouche"," 604","Edmundston",242,10,83,216,6,557,
"Madawaska--Restigouche/Madawaska--Restigouche"," 605","Saint-Quentin",54,8,61,112,10,245,
"Madawaska--Restigouche/Madawaska--Restigouche"," 606","Kedgwick",115,7,34,62,1,219,
"Madawaska--Restigouche/Madawaska--Restigouche"," 607","Saint-Jacques",166,19,69,213,9,476,
"Madawaska--Restigouche/Madawaska--Restigouche"," 608","Edmundston",271,15,106,270,11,673,
"Madawaska--Restigouche/Madawaska--Restigouche"," 609","Saint-Basile",143,15,45,122,11,336,
"Madawaska--Restigouche/Madawaska--Restigouche"," 610","Saint-Léonard",110,5,42,149,9,315,
"Madawaska--Restigouche/Madawaska--Restigouche"," 611","Clair",61,2,5,88,1,157,
"Madawaska--Restigouche/Madawaska--Restigouche",,Group 1/Groupe 1,42,7,14,65,5,133,332
"Madawaska--Restigouche/Madawaska--Restigouche",,Group 2/Groupe 2,671,27,182,405,27,1312,
