Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mark de Pelham,Phil Green,Paul D.J. McMurray,Dagmar Sullivan,Paul Szabo,Brendan Tarry,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Mississauga South/Mississauga-Sud"," 63","Mississauga",14,110,1,1,111,16,0,253,395
"Mississauga South/Mississauga-Sud"," 64","Mississauga",17,95,0,0,109,17,0,238,357
"Mississauga South/Mississauga-Sud"," 65","Mississauga",10,73,0,0,83,6,1,173,268
"Mississauga South/Mississauga-Sud"," 66","Mississauga",26,77,0,0,107,12,0,222,348
"Mississauga South/Mississauga-Sud"," 67","Mississauga",30,93,1,1,150,8,3,286,406
"Mississauga South/Mississauga-Sud"," 68","Mississauga",23,73,0,0,79,12,2,189,284
"Mississauga South/Mississauga-Sud"," 69","Mississauga",22,62,1,0,101,24,1,211,387
"Mississauga South/Mississauga-Sud"," 70","Mississauga",45,93,1,0,112,21,0,272,415
"Mississauga South/Mississauga-Sud"," 71","Mississauga",34,65,0,1,112,28,0,240,384
"Mississauga South/Mississauga-Sud"," 72","Mississauga",24,56,0,0,60,12,0,152,294
"Mississauga South/Mississauga-Sud"," 73","Mississauga",20,74,0,0,87,12,0,193,294
"Mississauga South/Mississauga-Sud"," 74","Mississauga",25,35,0,0,72,8,2,142,247
"Mississauga South/Mississauga-Sud"," 75","Mississauga",32,62,1,0,95,9,0,199,360
"Mississauga South/Mississauga-Sud"," 76A","Mississauga",16,81,0,0,84,10,0,191,352
"Mississauga South/Mississauga-Sud"," 76B","Mississauga",10,80,0,0,77,4,1,172,309
"Mississauga South/Mississauga-Sud"," 77","Mississauga",10,104,0,0,102,7,0,223,329
"Mississauga South/Mississauga-Sud"," 78","Mississauga",14,153,0,0,87,5,0,259,411
"Mississauga South/Mississauga-Sud"," 79","Mississauga",13,89,1,0,113,7,2,225,410
"Mississauga South/Mississauga-Sud"," 80","Mississauga",7,117,1,0,64,16,1,206,375
"Mississauga South/Mississauga-Sud"," 81","Mississauga",10,154,1,0,94,13,0,272,423
"Mississauga South/Mississauga-Sud"," 82","Mississauga",3,81,0,0,40,2,0,126,277
"Mississauga South/Mississauga-Sud"," 83","Mississauga",23,123,0,0,97,8,0,251,449
"Mississauga South/Mississauga-Sud"," 84","Mississauga",16,127,0,0,125,5,0,273,445
"Mississauga South/Mississauga-Sud"," 85","Mississauga",19,103,0,0,152,12,1,287,457
"Mississauga South/Mississauga-Sud"," 86","Mississauga",13,140,1,0,120,9,0,283,435
"Mississauga South/Mississauga-Sud"," 87A","Mississauga",7,166,1,0,156,3,0,333,504
"Mississauga South/Mississauga-Sud"," 87B","Mississauga",12,138,0,0,133,6,0,289,441
"Mississauga South/Mississauga-Sud"," 88","Mississauga",2,60,0,0,46,9,0,117,199
"Mississauga South/Mississauga-Sud"," 89","Mississauga",16,93,0,0,75,15,0,199,322
"Mississauga South/Mississauga-Sud"," 90","Mississauga",50,71,1,0,59,11,0,192,337
"Mississauga South/Mississauga-Sud"," 91","Mississauga",22,72,3,1,71,8,2,179,305
"Mississauga South/Mississauga-Sud"," 92","Mississauga",35,77,0,0,63,9,2,186,338
"Mississauga South/Mississauga-Sud"," 93","Mississauga",38,50,2,0,78,11,1,180,370
"Mississauga South/Mississauga-Sud"," 94","Mississauga",38,66,1,0,39,9,2,155,336
"Mississauga South/Mississauga-Sud"," 95","Mississauga",30,44,0,0,58,5,0,137,252
"Mississauga South/Mississauga-Sud"," 96","Mississauga",48,69,0,0,60,8,4,189,355
"Mississauga South/Mississauga-Sud"," 97","Mississauga",33,60,1,0,85,11,0,190,314
"Mississauga South/Mississauga-Sud"," 98","Mississauga",24,54,0,0,95,15,0,188,329
"Mississauga South/Mississauga-Sud"," 99","Mississauga",24,64,0,0,84,9,1,182,351
"Mississauga South/Mississauga-Sud"," 100","Mississauga",28,55,1,0,63,7,1,155,308
"Mississauga South/Mississauga-Sud"," 101","Mississauga",4,110,0,1,90,6,0,211,336
"Mississauga South/Mississauga-Sud"," 102","Mississauga",11,119,1,1,147,10,0,289,502
"Mississauga South/Mississauga-Sud"," 103","Mississauga",18,68,0,0,86,9,1,182,325
"Mississauga South/Mississauga-Sud"," 104","Mississauga",15,124,0,1,117,12,0,269,429
"Mississauga South/Mississauga-Sud"," 105","Mississauga",8,120,1,0,150,7,1,287,432
"Mississauga South/Mississauga-Sud"," 106","Mississauga",3,115,1,0,104,11,0,234,383
"Mississauga South/Mississauga-Sud"," 107","Mississauga",18,108,0,1,92,13,0,232,404
"Mississauga South/Mississauga-Sud"," 108A","Mississauga",10,70,0,0,83,6,0,169,270
"Mississauga South/Mississauga-Sud"," 108B","Mississauga",8,57,1,0,55,3,0,124,248
"Mississauga South/Mississauga-Sud"," 109","Mississauga",16,123,0,0,88,14,0,241,383
"Mississauga South/Mississauga-Sud"," 110","Mississauga",9,128,0,0,112,7,2,258,411
"Mississauga South/Mississauga-Sud"," 111","Mississauga",8,63,0,0,75,5,0,151,247
"Mississauga South/Mississauga-Sud"," 112","Mississauga",8,63,0,0,71,5,0,147,252
"Mississauga South/Mississauga-Sud"," 113","Mississauga",17,142,0,0,128,16,0,303,427
"Mississauga South/Mississauga-Sud"," 114","Mississauga",8,127,0,0,72,9,0,216,355
"Mississauga South/Mississauga-Sud"," 115","Mississauga",12,104,0,0,66,10,0,192,326
"Mississauga South/Mississauga-Sud"," 116","Mississauga",7,128,0,0,69,4,0,208,349
"Mississauga South/Mississauga-Sud"," 117A","Mississauga",14,63,0,0,62,2,3,144,295
"Mississauga South/Mississauga-Sud"," 117B","Mississauga",16,50,0,0,65,11,1,143,274
"Mississauga South/Mississauga-Sud"," 118","Mississauga",23,56,0,0,68,9,0,156,286
"Mississauga South/Mississauga-Sud"," 119","Mississauga",8,68,0,0,87,6,0,169,279
"Mississauga South/Mississauga-Sud"," 120","Mississauga",16,94,0,0,90,9,0,209,399
"Mississauga South/Mississauga-Sud"," 121","Mississauga",23,87,0,0,93,8,0,211,392
"Mississauga South/Mississauga-Sud"," 122","Mississauga",31,70,0,0,58,13,0,172,348
"Mississauga South/Mississauga-Sud"," 123","Mississauga",39,70,0,0,88,9,0,206,426
"Mississauga South/Mississauga-Sud"," 124","Mississauga",34,79,2,0,77,10,0,202,401
"Mississauga South/Mississauga-Sud"," 125","Mississauga",19,119,0,0,65,10,2,215,340
"Mississauga South/Mississauga-Sud"," 126","Mississauga",15,120,0,1,132,15,1,284,404
"Mississauga South/Mississauga-Sud"," 127","Mississauga",18,98,0,0,126,8,0,250,392
"Mississauga South/Mississauga-Sud"," 128","Mississauga",26,79,2,0,97,12,0,216,327
"Mississauga South/Mississauga-Sud"," 129","Mississauga",33,121,1,0,155,16,2,328,477
"Mississauga South/Mississauga-Sud"," 130","Mississauga",8,103,0,1,73,7,0,192,362
"Mississauga South/Mississauga-Sud"," 131","Mississauga",13,156,0,0,123,14,4,310,499
"Mississauga South/Mississauga-Sud"," 132","Mississauga",32,76,0,1,72,12,0,193,328
"Mississauga South/Mississauga-Sud"," 133","Mississauga",27,68,0,1,96,13,0,205,347
"Mississauga South/Mississauga-Sud"," 134","Mississauga",29,61,0,1,53,10,0,154,373
"Mississauga South/Mississauga-Sud"," 135","Mississauga",21,72,0,1,107,12,1,214,345
"Mississauga South/Mississauga-Sud"," 136","Mississauga",44,86,1,1,125,12,1,270,398
"Mississauga South/Mississauga-Sud"," 137","Mississauga",Merged with No. 136/Fusionné avec le nº 136,,,,,,,,64
"Mississauga South/Mississauga-Sud"," 138","Mississauga",32,102,0,0,139,21,0,294,441
"Mississauga South/Mississauga-Sud"," 139","Mississauga",11,61,0,0,74,3,0,149,295
"Mississauga South/Mississauga-Sud"," 140","Mississauga",17,98,1,0,75,7,1,199,330
"Mississauga South/Mississauga-Sud"," 141","Mississauga",21,43,0,0,85,10,0,159,303
"Mississauga South/Mississauga-Sud"," 142","Mississauga",41,80,1,1,123,8,0,254,457
"Mississauga South/Mississauga-Sud"," 143","Mississauga",45,89,0,1,103,11,2,251,439
"Mississauga South/Mississauga-Sud"," 144","Mississauga",20,54,0,0,75,11,0,160,274
"Mississauga South/Mississauga-Sud"," 145","Mississauga",10,91,0,0,89,19,1,210,338
"Mississauga South/Mississauga-Sud"," 146A","Mississauga",14,64,0,0,68,4,2,152,224
"Mississauga South/Mississauga-Sud"," 146B","Mississauga",6,22,1,0,34,1,0,64,91
"Mississauga South/Mississauga-Sud"," 147","Mississauga",5,68,0,0,66,10,0,149,250
"Mississauga South/Mississauga-Sud"," 148","Mississauga",9,92,0,0,94,10,0,205,323
"Mississauga South/Mississauga-Sud"," 149","Mississauga",5,109,0,0,109,11,1,235,392
"Mississauga South/Mississauga-Sud"," 150A","Mississauga",9,64,0,0,85,10,1,169,328
"Mississauga South/Mississauga-Sud"," 150B","Mississauga",6,41,0,0,90,6,0,143,251
"Mississauga South/Mississauga-Sud"," 151A","Mississauga",20,66,2,0,106,2,2,198,314
"Mississauga South/Mississauga-Sud"," 151B","Mississauga",14,71,0,0,80,7,0,172,282
"Mississauga South/Mississauga-Sud"," 152","Mississauga",23,61,1,2,121,3,0,211,438
"Mississauga South/Mississauga-Sud"," 153","Mississauga",21,33,2,0,94,3,4,157,412
"Mississauga South/Mississauga-Sud"," 154","Mississauga",17,24,1,1,83,6,0,132,301
"Mississauga South/Mississauga-Sud"," 155","Mississauga",18,27,1,1,46,2,3,98,226
"Mississauga South/Mississauga-Sud"," 156","Mississauga",55,61,1,0,91,3,1,212,402
"Mississauga South/Mississauga-Sud"," 157","Mississauga",28,68,0,0,80,6,1,183,268
"Mississauga South/Mississauga-Sud"," 158","Mississauga",23,81,0,0,83,7,0,194,274
"Mississauga South/Mississauga-Sud"," 159","Mississauga",13,55,0,0,86,3,0,157,230
"Mississauga South/Mississauga-Sud"," 160","Mississauga",27,73,2,0,95,14,1,212,397
"Mississauga South/Mississauga-Sud"," 161","Mississauga",24,90,0,0,109,11,1,235,332
"Mississauga South/Mississauga-Sud"," 162","Mississauga",10,65,1,0,69,4,1,150,224
"Mississauga South/Mississauga-Sud"," 163","Mississauga",9,51,0,1,85,2,0,148,231
"Mississauga South/Mississauga-Sud"," 164","Mississauga",17,83,0,0,66,9,4,179,306
"Mississauga South/Mississauga-Sud"," 165","Mississauga",26,89,2,0,100,12,1,230,350
"Mississauga South/Mississauga-Sud"," 166","Mississauga",44,97,0,2,114,12,0,269,390
"Mississauga South/Mississauga-Sud"," 167","Mississauga",27,121,1,0,129,14,0,292,401
"Mississauga South/Mississauga-Sud"," 168","Mississauga",26,103,0,0,117,10,1,257,413
"Mississauga South/Mississauga-Sud"," 169","Mississauga",23,106,0,1,141,9,2,282,420
"Mississauga South/Mississauga-Sud"," 170","Mississauga",18,115,0,0,141,5,0,279,494
"Mississauga South/Mississauga-Sud"," 171","Mississauga",30,61,0,0,80,11,1,183,311
"Mississauga South/Mississauga-Sud"," 172","Mississauga",14,63,0,0,91,11,0,179,276
"Mississauga South/Mississauga-Sud"," 173","Mississauga",18,49,1,0,77,5,1,151,230
"Mississauga South/Mississauga-Sud"," 174","Mississauga",24,55,0,1,90,14,0,184,317
"Mississauga South/Mississauga-Sud"," 175","Mississauga",27,97,0,0,79,14,1,218,394
"Mississauga South/Mississauga-Sud"," 176","Mississauga",23,51,0,0,36,7,0,117,210
"Mississauga South/Mississauga-Sud"," 177","Mississauga",42,85,0,0,86,20,0,233,375
"Mississauga South/Mississauga-Sud"," 178","Mississauga",31,27,1,0,76,6,1,142,346
"Mississauga South/Mississauga-Sud"," 179","Mississauga",28,41,0,1,75,14,3,162,334
"Mississauga South/Mississauga-Sud"," 180","Mississauga",26,48,0,0,64,9,1,148,276
"Mississauga South/Mississauga-Sud"," 181","Mississauga",32,77,1,3,99,11,1,224,364
"Mississauga South/Mississauga-Sud"," 182","Mississauga",39,88,0,0,84,15,0,226,410
"Mississauga South/Mississauga-Sud"," 183","Mississauga",37,60,0,0,44,16,0,157,273
"Mississauga South/Mississauga-Sud"," 184","Mississauga",22,83,1,0,93,6,1,206,368
"Mississauga South/Mississauga-Sud"," 185","Mississauga",25,59,0,0,69,14,2,169,326
"Mississauga South/Mississauga-Sud"," 186","Mississauga",24,62,0,0,101,13,0,200,352
"Mississauga South/Mississauga-Sud"," 187","Mississauga",36,59,0,0,90,6,1,192,359
"Mississauga South/Mississauga-Sud"," 188","Mississauga",32,88,1,0,94,17,1,233,337
"Mississauga South/Mississauga-Sud"," 189A","Mississauga",18,58,0,2,77,9,0,164,284
"Mississauga South/Mississauga-Sud"," 189B","Mississauga",31,35,1,0,62,7,0,136,231
"Mississauga South/Mississauga-Sud"," 190","Mississauga",30,56,3,0,91,7,1,188,301
"Mississauga South/Mississauga-Sud"," 191","Mississauga",35,83,0,0,98,16,2,234,407
"Mississauga South/Mississauga-Sud"," 192","Mississauga",24,36,0,0,61,12,0,133,240
"Mississauga South/Mississauga-Sud"," 193","Mississauga",31,34,0,0,56,5,0,126,259
"Mississauga South/Mississauga-Sud"," 194A","Mississauga",19,44,1,0,58,8,0,130,327
"Mississauga South/Mississauga-Sud"," 194B","Mississauga",23,34,0,0,42,6,0,105,227
"Mississauga South/Mississauga-Sud"," 195","Mississauga",11,41,0,0,42,8,0,102,205
"Mississauga South/Mississauga-Sud"," 196","Mississauga",29,45,0,0,66,5,3,148,340
"Mississauga South/Mississauga-Sud"," 197","Mississauga",9,98,1,1,122,6,1,238,383
"Mississauga South/Mississauga-Sud"," 400","Mississauga",14,80,0,0,72,5,0,171,348
"Mississauga South/Mississauga-Sud"," 401","Mississauga",36,87,0,0,117,18,1,259,341
"Mississauga South/Mississauga-Sud"," 402","Mississauga",40,89,0,0,107,9,0,245,341
"Mississauga South/Mississauga-Sud"," 403","Mississauga",28,54,0,1,79,15,1,178,275
"Mississauga South/Mississauga-Sud"," 404","Mississauga",31,30,5,0,64,4,3,137,375
"Mississauga South/Mississauga-Sud"," 405","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,,,205
"Mississauga South/Mississauga-Sud"," 406","Mississauga",28,48,0,0,44,3,0,123,314
"Mississauga South/Mississauga-Sud"," 407","Mississauga",17,44,0,1,50,8,4,124,241
"Mississauga South/Mississauga-Sud"," 408","Mississauga",11,20,0,0,58,4,1,94,233
"Mississauga South/Mississauga-Sud"," 409","Mississauga",24,44,1,0,56,6,1,132,274
"Mississauga South/Mississauga-Sud"," 410","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,,208
"Mississauga South/Mississauga-Sud"," 411","Mississauga",14,46,0,0,56,2,1,119,153
"Mississauga South/Mississauga-Sud"," 412","Mississauga",25,47,3,1,64,13,0,153,316
"Mississauga South/Mississauga-Sud"," 500","Mobile poll/Bureau itinérant",10,61,2,2,86,4,1,166,73
"Mississauga South/Mississauga-Sud"," 501","Mobile poll/Bureau itinérant",20,55,8,3,86,2,3,177,204
"Mississauga South/Mississauga-Sud"," 502","Mobile poll/Bureau itinérant",9,28,2,0,39,2,3,83,278
"Mississauga South/Mississauga-Sud"," 600","Mississauga",74,420,1,0,330,33,6,864,
"Mississauga South/Mississauga-Sud"," 601","Mississauga",80,366,4,1,385,19,6,861,
"Mississauga South/Mississauga-Sud"," 602","Mississauga",38,375,1,0,316,28,0,758,
"Mississauga South/Mississauga-Sud"," 603","Mississauga",82,508,2,1,361,48,1,1003,
"Mississauga South/Mississauga-Sud"," 604","Mississauga",58,583,3,1,410,22,4,1081,
"Mississauga South/Mississauga-Sud"," 605","Mississauga",41,432,0,0,328,39,1,841,
"Mississauga South/Mississauga-Sud"," 606","Mississauga",41,259,1,0,229,14,1,545,
"Mississauga South/Mississauga-Sud"," 607","Mississauga",68,307,3,0,263,23,2,666,
"Mississauga South/Mississauga-Sud",,Group 1/Groupe 1,3,35,0,0,40,6,1,85,165
"Mississauga South/Mississauga-Sud",,Group 2/Groupe 2,124,844,1,3,722,60,19,1773,
